31-100634,http://tshop.r10s.jp/cocodecow/cabinet/373/579808.jpg?fitin=700:700,2660.0000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,ヤマ吾陶器/キャロルコーヒー碗皿 6客入/72190035,【税込1900円以上で送料無料】,"<span class=""feature""></span><img src=""http://image.rakuten.co.jp/cocodecow/cabinet/zaikocall.gif"" width=""303"" height=""100"" border=""0""><br /><BR>【仕様】<BR><BR>●サイズ：蛇口／径７４×高さ６７ｍｍ、ソーサー／直径１５０×高さ２１ｍｍ<BR>●容量：１８０ｍｌ<BR>●材質：磁器<BR>●注文単位：１セット（６客）<BR><BR><BR><BR><BR><font size=""1"">【検索用キーワード】<BR><BR>食器　ソーサー受け皿　コーヒー関連用品　コーヒーカップソーサー　コーヒーカップ＆ソーサー　こーひーかっぷ　コーヒー碗皿　１セット　６客　　やまごとうき　ヤマゴトウキ　１８０ｍｌ　１８０ミリリットル　セット　６客入　磁器　ｃｏｆｆｅｅｃｕｐ</font><style type=""text/css"">
<!--
span.unit { background: url(""//image.rakuten.co.jp/cocodecow/cabinet/0421cocodecow1900.gif"") no-repeat left top; text-indent:
-9999; display: block; width: 400; height: 100; margin:15px 0; }

/*商品名*/
.item_name{
width:375px;/*商品名のエリアの幅を指定*/
line-height:120%;/*行間を空ける指定*/
letter-spacing:1.5px;/*文字間を空ける指定*/
border-left: solid 5px #d40000;/*商品名の左側に赤い線を引く*/
border-bottom: dotted 1px #999;/*商品名の下にグレーの点線*/
padding: 4px 0px 4px 5px;/*余白の調整*/
margin:0;
display: block;/*これを入れると＜ｂｒ＞を入れなくてもキャッチコピーが改行される*/
}

/*商品キャッチコピー*/
span.catch_copy{
font-size:14px;
color:#CE0005;
display: block;
margin:0;
padding: 4px 0px 4px 0px;
}


/*特色欄*/
span.feature{
font-size:23px;
color:#FE0005;
}

-->
</style>

    <!--<img src=""https://image.rakuten.co.jp/cocodecow/cabinet/free/0520deliverydelay.jpg"" >-->",ヤマ吾陶器/キャロルコーヒー碗皿 6客入/72190035：ココデカウ,ここでかうココデカウcocodecowkokodekaukokodecowヤマ吾陶器/キャロルコーヒー碗皿 6客入/72190035,【税込1900円以上で送料無料】。ヤマ吾陶器/キャロルコーヒー碗皿 6客入/72190035[rn]
31-100635,http://tshop.r10s.jp/omotesando-club/cabinet/photo/maebata24743.jpg?fitin=700:700,3456.0000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,ディズニー(Disney)　ペアカップ＆ソーサー/フラワープー（カラー）D-WP02,化粧箱付きでプレゼントに最適！,"<img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/photo/maebata24743_2.jpg""><br>
<img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/photo/maebata24743.jpg""><br><DIV class=example>
<TABLE>
<CAPTION><B>商品詳細</B></CAPTION>
<TBODY>

<TR><TH>商品サイズ</TH></TR>
<TR><TD><FONT size=2>★カップ：直径9.8cm×高さ5.6cm 容量200ml<br>
★ソーサー：直径14.8cm×高さ2.7cm<br>
</FONT></TD></TR>

<TR><TH>材質</TH></TR>
<TR><TD><FONT size=2>磁器
</FONT></TD></TR>

<TR><TH>化粧箱サイズ</TH></TR>
<TR><TD><FONT size=2>縦16cm×横27cm×高さ10cm 重量900g
</FONT></TD></TR>

<TR><TH>製造国</TH></TR>
<TR><TD><FONT size=2>日本
</FONT></TD></TR>

<TR><TH>その他</TH></TR>
<TR><TD><FONT size=2>電子レンジ対応
</FONT></TD></TR>

<TR><TH>コピーライト</TH></TR>
<TR><TD><FONT size=2><img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/page/pooh_copyright.jpg"">
</FONT></TD></TR>

</TBODY>
</TABLE>",ディズニー(Disney)　ペアカップ＆ソーサー/フラワープー（カラー）D-WP02：表参道通販クラブ,地震対策品不動王耐震マット甘酒あまさけあまざけ甘ざけUVカットディズニー(Disney)　ペアカップ＆ソーサー/フラワープー（カラー）D-WP02,化粧箱付きでプレゼントに最適！。ディズニー(Disney)　ペアカップ＆ソーサー/フラワープー（カラー）D-WP02[rn]
31-100636,http://tshop.r10s.jp/omotesando-club/cabinet/photo/maebata23480.jpg?fitin=700:700,3456.0000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,ディズニー(Disney)　ペアカップ＆ソーサー/ハンドドローイング　D-MF01,化粧箱付きでプレゼントに最適！,"<img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/photo/maebata23480_2.jpg""><br>
<img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/photo/maebata23480.jpg""><br><DIV class=example>
<TABLE>
<CAPTION><B>商品詳細</B></CAPTION>
<TBODY>

<TR><TH>商品サイズ</TH></TR>
<TR><TD><FONT size=2>直径8.1cm×高さ5.5cm 容量200ml<br>
★ソーサー：直径14.9cm×高さ2.3cm<br>
</FONT></TD></TR>

<TR><TH>材質</TH></TR>
<TR><TD><FONT size=2>磁器
</FONT></TD></TR>

<TR><TH>化粧箱サイズ</TH></TR>
<TR><TD><FONT size=2>縦16cm×横26cm×高さ9cm 重量800g
</FONT></TD></TR>

<TR><TH>製造国</TH></TR>
<TR><TD><FONT size=2>日本
</FONT></TD></TR>

<TR><TH>その他</TH></TR>
<TR><TD><FONT size=2>電子レンジ対応
</FONT></TD></TR>

<TR><TH>コピーライト</TH></TR>
<TR><TD><FONT size=2><img src=""https://image.rakuten.co.jp/omotesando-club/cabinet/page/disney_copyright.jpg"">
</FONT></TD></TR>

</TBODY>
</TABLE>",ディズニー(Disney)　ペアカップ＆ソーサー/ハンドドローイング　D-MF01：表参道通販クラブ,地震対策品不動王耐震マット甘酒あまさけあまざけ甘ざけUVカットディズニー(Disney)　ペアカップ＆ソーサー/ハンドドローイング　D-MF01,化粧箱付きでプレゼントに最適！。ディズニー(Disney)　ペアカップ＆ソーサー/ハンドドローイング　D-MF01[rn]
31-100637,http://tshop.r10s.jp/jetprice/cabinet/086/649894.jpg?fitin=700:700,281.6000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,Studio-S/アイボリートライアングルコーヒー碗皿,【税込1万円以上で送料無料】,"<span class=""feature""></span><img src=""http://image.rakuten.co.jp/cocodecow/cabinet/zaikocall.gif"" width=""303"" height=""100"" border=""0""><br /><BR>【仕様】<BR><BR>●材質：磁器<BR>●カップ容量：２００ｍｌ<BR>●サイズ：カップ／直径８７×高さ６７ｍｍ、ソーサー／直径１５５×高さ２６ｍｍ<BR>●注文単位：１客<BR>●スマートな形、シックな色合い。<BR><BR><BR><BR><BR><font size=""1"">【検索用キーワード】<BR><BR>食器　コップ　コーヒーカップ　スタジオエス　すたじおえす　スタジオエス　すたじおえす　あいぼりーとらいあんぐる　コーヒーカップ＆ソーサー　こーひーかっぷ　１客　磁器　カフェ食器　業務用食器　白い食器　白磁　キッチン・テーブル用品　洋食器　カップ＆ソーサー　コーヒー、紅茶</font><style type=""text/css"">
<!--
span.catch_copy{
font-size:14px;
color:#555555;
display: block;
margin:0;
padding:0px;
}
-->
</style>
<!--ジェットプライス-->

<!--
<img src=""https://image.rakuten.co.jp/jetprice/cabinet/guidepage/0520deliverydelay.jpg"" >-->",Studio-S/アイボリートライアングルコーヒー碗皿：JET PRICE,ジェットプライスココデカウフォーレストforestwayじぇっとぷらいすジェット　プライスJETPRICEStudio-S/アイボリートライアングルコーヒー碗皿,【税込1万円以上で送料無料】。Studio-S/アイボリートライアングルコーヒー碗皿[rn]
31-100638,http://tshop.r10s.jp/jetprice/cabinet/179/603526.jpg?fitin=700:700,1208.8000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,西陶/スタッキングマグ 平型 6客/24FW-3,【税込1万円以上で送料無料】,"<span class=""feature"">重ねられるので、収納に便利！</span><img src=""http://image.rakuten.co.jp/cocodecow/cabinet/zaikocall.gif"" width=""303"" height=""100"" border=""0""><br /><BR>【商品説明】<BR>ドリンクバーなどで活躍します。<BR><BR>【仕様】<BR><BR>●サイズ：口径８３（横１０８）×高さ５５ｍｍ<BR>●容量：２００ｍｌ<BR>●材質：磁器<BR>●日本製<BR>●美濃焼<BR>●注文単位：１セット（６客）<BR><BR><BR><BR><BR><font size=""1"">【検索用キーワード】<BR><BR>食器　コップ　コーヒーカップ　スタッキングマグカップ　ドリンクバー　すたっきんぐまぐ　マグカップ　まぐかっぷ　こーひかっぷ　１セット　６客　磁器　カフェ食器　業務用食器　２４ＦＷ３　白い食器　白磁　美濃焼　キッチン・テーブル用品　洋食器　カップ＆ソーサー　コーヒー、紅茶</font><style type=""text/css"">
<!--
span.catch_copy{
font-size:14px;
color:#555555;
display: block;
margin:0;
padding:0px;
}
-->
</style>
<!--ジェットプライス-->

<!--
<img src=""https://image.rakuten.co.jp/jetprice/cabinet/guidepage/0520deliverydelay.jpg"" >-->",西陶/スタッキングマグ 平型 6客/24FW-3：JET PRICE,ジェットプライスココデカウフォーレストforestwayじぇっとぷらいすジェット　プライスJETPRICE西陶/スタッキングマグ 平型 6客/24FW-3,【税込1万円以上で送料無料】。西陶/スタッキングマグ 平型 6客/24FW-3[rn]
31-100639,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii500356.jpg?fitin=700:700,3110.4000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,★ロールストランド （Rorstrand） クビント （Qvint） コーヒーカップ＆ソーサー 150ml 【楽ギフ_包装選択】,在庫限り　,"<div style=""width:640px;margin:10px 0 0 0;"">
<img src=""/prokitchen/cabinet/rorstrand/top-logo-ror.jpg"" height=""41"" width=""640""><br><br>
</div>

<div style=""margin-bottom:10px;"">
<div style=""width:640px;font-size:1em;line-height:1.4em;height:300px;"">
<div style=""border-bottom:2px dotted #cec4b3;padding-bottom:5px;"">
<img src=""/prokitchen/cabinet/rorstrand/ror-t-04.jpg"" width=""640"" height=""34"" alt=""クビントタイトル"">
</div>
<div style=""margin:15px 0 0px 0; "">
<div style=""width:200px;height:250px;float:left;margin-right:13px;"">
<img src=""/prokitchen/cabinet/rorstrand/ror-qvi01.jpg"" width=""200"" height=""200"" alt=""クビント比較"" style=""background:#ccc;""><br><p style=""font-size:10px;line-height:1.4em;"">ディーププレート 24cm《上》とプレート 29cm《下》を女性が持つと、こんな感じです。</p>
</div>
<div style=""width:200px;height:250px;float:left;margin-right:13px;"">
<img src=""/prokitchen/cabinet/rorstrand/ror-qvi02.jpg"" width=""200"" height=""200"" alt=""クビント比較"" style=""background:#ccc;""><br><p style=""font-size:10px;line-height:1.4em;"">スモールジャグを女性が持つと、こんな感じです。</p>
</div>
<div style=""width:200px;height:250px;float:left;"">
<img src=""/prokitchen/cabinet/rorstrand/ror-qvi03.jpg"" width=""200"" height=""200"" alt=""クビント比較"" style=""background:#ccc;""><br><p style=""font-size:10px;line-height:1.4em;"">裏の刻印はこんな感じです。<span style=""color:#43a1d4;"">※</span><br></p>
</div>
</div>
</div>
</div>

<div style=""margin-bottom: 10px;width: 640px;background: #f8f8f8;"">
<p style=""font-size: 10px;color:#43a1d4;clear: both;margin:0 0 0 0;background: #f8f8f8;padding:5px;"" >※製造時期により、商品裏のロゴが「iittala」表記のものと「Rorstrand」表記のものがございます。まとめてお買い上げの場合には、なるべく同じロゴをそろえてお届けいたしますが、お届けする商品のロゴに関するご希望にお応えすることは出来かねますのでご了承ください。</p>
<p style=""font-size: 10px;color:#43a1d4;clear: both;margin:0 0 15px 0;background: #f8f8f8;padding:5px;"" >・このシリーズの商品はメーカー出荷時の状態が”箱なし”の商品ですので、ギフト包装には別途専用のギフトボックスが必要になります。ギフトでご注文の際はご相談下さい。</p>

</div><style type=""text/css"">
<!--
.style1 {font-size: 9px}
-->
</style>
<table width=""500"" border='0' cellpadding='2' cellspacing='0'> 
<tr valign='top'> 
<td nowrap><p style=""line-height:130%;""><font size=""-1"">ギフト対応について<br>
  詳しくはこちらを<br>
  ご覧下さい。</font>
</p>
  </td>
<td valign=""middle""><img src='http://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000243.gif' alt='ラッピング選択可' width='100'height='21' hspace='1'>　<img src='http://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000241.gif' alt='のし記名可' width='100' height='21'hspace='1'>　<img src='http://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000238.gif' alt='メッセージカード' width='100'height='21' hspace='1'></td> 
</tr> 
</table> 

<br>
【楽ギフ_のし宛書】 
【楽ギフ_メッセ】
<p>&nbsp;</p>
<table width=""500"" height=""180"" border=""1"" cellpadding=""2"" cellspacing=""0"" bordercolor=""#FFFFFF"">
  <tr> 
    <td width=""22%"" bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">サイズ（目安）</p></td>
    <td width=""78%"" bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;""> カップ / 約 直径8.3cm×高さ5.6cm<br>
ソーサー / 直径約13.4cm


    </p></td>
  </tr>
  <tr>
    <td bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">容量</p></td>
    <td bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;"">150ml</p></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">材質</p></td>
    <td bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;"">磁器</p></td>
  </tr>
    <tr> 
    <td bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">使用区分</p></td>
    <td bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;""> オーブン・フリーザー・食洗機　使用可　電子レンジ使用不可
</p></td>
  </tr>
    
   <tr> 
    <td bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">デザイナー</p></td>
    <td bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;""> ジョナス・ボーリン （Jonas Bohlin）

    </p></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><p style=""line-height:150%;font-size:12px;color:#FFFFFF;"">スタッフの<br>おすすめポイント</p></td>
    <td bgcolor=""#EEEEEE""><p style=""line-height:150%;font-size:12px;color:#666666;"">白いシンプルなカップ＆ソーサーですが、上品なプラチナのお花がとってもかわいくて、おしゃれ感がありますね。





</p>    </td>
  </tr>
</table>
<table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top""><p style=""line-height:150%;font-size:12px;""><font color=""#FF6600"">■この商品について</font><br>
      プラチナの花模様で飾られた『クビント』は 調和を楽しむ音楽のように、   食事を楽しんで欲しいとデザインされたものです。<br />
      周りのお花がかわいらしいのだけれど、シルバーとブルーがとっても上品な感じで   パーティーや特別なディナーなんかにぴったりです。<br />
      <br />
      ※製造時期により、商品裏のロゴが「iittala」表記のものと「Rorstrand」表記のものがございます。まとめてお買い上げの場合には、なるべく同じロゴをそろえてお届けいたしますが、お届けする商品のロゴに関するご希望にお応えすることは出来かねますのでご了承ください。<br />
    </p></td>
        </tr>
      
    </table></td>
  </tr>
</table>

<br />
<table width=""500"" cellspacing=""0"" cellpadding=""10"" bordercolor=""#FFFFFF"" border=""1"" style=""margin-top:8px;"">
  <tbody>
    <tr valign=""top"" bordercolor=""#000000"">
      <td colspan=""2""><table width=""475"" cellspacing=""0"" border=""0"">
        <tbody>
          <tr>
            <td valign=""top""><p style=""line-height:150%;font-size:12px;""><font color=""#FF6600"">■ご購入前にお読みください</font><br />
              ●商品により、プリントの色とび・ムラ・ズレ等がある場合がございます。 <br />
              ●製造過程上できてしまう、高台のへこみ・ザラツキがある場合がございます。 <br />
              ●多少のがたつきが見られることがあります。
              上記の項目をご理解して頂いた上、ご購入下さいますよう宜しくお願い致します。</p></td>
          </tr>
        </tbody>
      </table></td>
    </tr>
  </tbody>
</table>
<table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top"">
<p style=""line-height:150%;font-size:12px;"">
<font color=""#FF6600"">■取り扱いの注意</font><br>
●本体に貼ってあるシールは必ずはがしてからご使用ください。 <br>
●初めてご使用になる時は、食器用洗剤を付けてスポンジ等で内面をよく洗ってください。<br>
●衝撃や急熱、急冷でヒビワレやカケが発生することがありますので、ご注意ください。<br>                        ●金属タワシ、研磨剤付ナイロンタワシやクレンザーはご使用にならないでください。表面にキズがつく恐れがあります。<br>●バーコードシールがはがれない場合は、中性洗剤などでふやかしてから、 スポンジ等でやさしくこすってください。
詳しくは
こちら→</p>

<p style=""line-height:150%;font-size:12px;"">
<font color=""#FF6600"">■ご確認ください</font><br>
●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br />
●陶磁器製品は、製造上どうしてもできてしまうポッチや小さな傷、高台のへこみ、色ムラや歪み、黒点が見られる場合がございます。特に海外輸入製品において  は昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</p>

<p style=""line-height:150%;font-size:12px;color:#993300;""><strong>※ラッピングをご希望の方はこちらをご覧ください。</strong></p>
</td>
    </tr>
</table>

 </td>
 </tr>
</table>",★ロールストランド （Rorstrand） クビント （Qvint） コーヒーカップ＆ソーサー 150ml 【楽ギフ_包装選択】：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン★ロールストランド （Rorstrand） クビント （Qvint） コーヒーカップ＆ソーサー 150ml 【楽ギフ_包装選択】,在庫限り　。★ロールストランド （Rorstrand） クビント （Qvint） コーヒーカップ＆ソーサー 150ml 【楽ギフ_包装選択】[rn]
31-100640,http://tshop.r10s.jp/tsuruyakagu/cabinet/01846010/imgrc0066104875.jpg?fitin=700:700,1376.0000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,【単品2個から送料無料】【一緒に買って送料無料】 ギフトBOX入り♪　おしゃれネコ(=^・^=)と薔薇で飾るカップ＆ソーサー（フラワーキャッツ）【ロイヤルアーデン】【smtb-KD】,３６０度　全周のネコちゃんたち♪柔らかな色合いで和みます,"<center><font size=""6"">ネコが大好き(=^・^=)♪<BR>ネコのギフト箱もネコグッズ収納箱として使えます。</font><BR><BR><img src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/01846010/imgrc0066104881.jpg""width=""300"">
<img src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/01846010/imgrc0066104883.jpg""width=""300""><TABLE>
  <TBODY>
    <TR>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
      <TD colspan=""3"" valign=""middle"" align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949724.gif"" width=""300"" height=""20"" border=""0"" align=""middle""></TD>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
    </TR>
    <TR>
      <TD align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949725.gif"" width=""20"" height=""150"" border=""0""></TD>
      <TD colspan=""3"" align=""center""><FONT color=""#ad8b58"" size=""2""> ギフトBOX入り♪　おしゃれネコ(=^・^=)と薔薇で飾るカップ＆ソーサー（フラワーキャッツ）
      
      <BR>サイズ：カップ直径10ｃｍ*高さ7.5cm　<BR>ソーサー　直径15cm
      <BR>容量：250ml
      <br>ボーンチャイナ、中国製<BR>
　　ネコがお好きな方へのプレゼントにもぴったり。ギフト箱も収納箱として使えます。
　　　<BR>
   </FONT><BR>
      </TD>
      <TD align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949725.gif"" width=""20"" height=""150"" border=""0""></TD>
    </TR>
    <TR>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""57"" height=""56"" border=""0""></TD>
      <TD colspan=""3""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949724.gif"" width=""300"" height=""20"" border=""0""></TD>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
    </TR>
  </TBODY>
</TABLE><BR><br>
<table border=""0"" cellpadding=""0"" cellspacing=""0""width=""500"">
<tr height=""15"">
<td height=""15"" width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529664.gif""></td>
<td height=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529666.gif""></td>
<td height=""15"" width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529665.gif""></td>
</tr>
<tr>
<td width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529671.gif""></td>
<td align=""left"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529663.gif"" style=""line-height: 25px;""><font size=""+2""><b>送料無料について</b></font><br>  <br>こちらの商品は、<BR><b> 【送料無料】は単品での購入でも送料無料</b><BR><b>【単品2個から送料無料】は単品購入の場合2個から送料無料</b><BR><b> 【一緒に買って送料無料】を送料がかかる商品とあわせて購入の場合もすべて送料無料</b><BR>となります。<BR>なお、送料無料商品以外のものとあわせて購入の場合、買い物かごや最初の自動送信メールには送料が540円と記載されますが、<b>後ほど店舗から送料を訂正したメールを送信</b>いたしますので、安心してお買いもの下さいませ。<Br>
  なお、申し訳ありませんが、沖縄一部離島のかたは、送料の一部負担をお願いします。</td>
<td width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529667.gif""></td>
</tr>
<tr height=""15"">
<td height=""15"" width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529670.gif""></td>
<td height=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529669.gif""></td>
<td height=""15"" width=""15"" background=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/parts/img56529668.gif""></td>
</tr>
</table>",【単品2個から送料無料】【一緒に買って送料無料】 ギフトBOX入り♪　おしゃれネコ(=^・^=)と薔薇で飾るカップ＆ソーサー（フラワーキャッツ）【ロイヤルアーデン】【smtb-KD】：インテリア　つるや,かごマニーステンドグラス　ランプ薔薇インテリアつるや水切りかご玄関マット　屋外バスケット　かごスイッチカバースイッチプレート琺瑯ココマットスツールバスケット野田琺瑯　ホワイトシリーズ野田琺瑯ステンドグラスカラーボックスピクニックバスケット収納【単品2個から送料無料】【一緒に買って送料無料】 ギフトBOX入り♪　おしゃれネコ(=^・^=)と薔薇で飾るカップ＆ソーサー（フラワーキャッツ）【ロイヤルアーデン】【smtb-KD】,３６０度　全周のネコちゃんたち♪柔らかな色合いで和みます。【単品2個から送料無料】【一緒に買って送料無料】 ギフトBOX入り♪　おしゃれネコ(=^・^=)と薔薇で飾るカップ＆ソーサー（フラワーキャッツ）【ロイヤルアーデン】【smtb-KD】[rn]
31-100641,http://tshop.r10s.jp/tsuruyakagu/cabinet/many/img57396391.gif?fitin=700:700,1641.6000,,キッチン用品・食器・調理器具 > コーヒー・お茶用品 > マグカップ・ティーカップ > カップ＆ソーサー,マニーローズ　カップ＆ソーサー（C&S),,"<TABLE>
  <TBODY>
    <TR>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
      <TD colspan=""3"" valign=""middle"" align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949724.gif"" width=""300"" height=""20"" border=""0"" align=""middle""></TD>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
    </TR>
    <TR>
      <TD align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949725.gif"" width=""20"" height=""150"" border=""0""></TD>
      <TD colspan=""3"" align=""center""><FONT color=""#ad8b58"" size=""2""><B>マニーローズ<BR>　陶器カップ＆ソーサー（C&S) </b><BR>サイズ:直径9.7*高さ9.5ｃｍ
<BR>お茶の時間が楽しくなる　マニーローズ定番のカップです。<BR>
   </FONT><BR>
      </TD>
      <TD align=""center""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949725.gif"" width=""20"" height=""150"" border=""0""></TD>
    </TR>
    <TR>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""57"" height=""56"" border=""0""></TD>
      <TD colspan=""3""><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949724.gif"" width=""300"" height=""20"" border=""0""></TD>
      <TD><IMG src=""https://image.rakuten.co.jp/tsuruyakagu/cabinet/img55949726.gif"" width=""52"" height=""54"" border=""0""></TD>
    </TR>
  </TBODY>
</TABLE><br>",マニーローズ　カップ＆ソーサー（C&amp;S)：インテリア　つるや,かごマニーステンドグラス　ランプ薔薇インテリアつるや水切りかご玄関マット　屋外バスケット　かごスイッチカバースイッチプレート琺瑯ココマットスツールバスケット野田琺瑯　ホワイトシリーズ野田琺瑯ステンドグラスカラーボックスピクニックバスケット収納マニーローズ　カップ＆ソーサー（C&amp;S),マニーローズ　カップ＆ソーサー（C&amp;S)[rn]
