40-29301,http://tshop.r10s.jp/gold/auc-asahi360/images/products/cp-hypr-0010.jpg?fitin=700:700,888.8000,,車用品・バイク用品 > カー用品 > 洗車・ケア用品 > ワックス,【親水促進剤 　100ml　単品】ミラーコート　ガラスコート　ガラス被膜,ミラーコート用の2液目のコート剤！,"<br><img src=https://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000414.jpg width=550 border=0>

</a>
ミラーコート用　親水促進剤 100ml

<p><font 
color=""#ff0000""><b><u>※この商品は単品です。初めて施工のお客様は「乗用車セット」または「ワゴン車セット」をお買い求め下さい。</u></b></font></p>
<hr width=""100%"">

<p style=""MARGIN-TOP: 0px"">◆商品用途◆<br>◎　自動車ボディーのコーティング（親水性）<br><br>◆特徴◆<br><font 
size=""4""><b><u>■鏡面の輝き！深みのある艶！</u></b></font><br><font 
size=""4""><b><u>　光沢度計100以上の実現！</u></b></font><br>◎　ミラーコートは無機質100％のガラス水溶液です。<br>塗り込み後塗面の官能基と化学結合し<br>無機質100％のガラスバリアを形成します。<br>このガラスバリアが鏡面の輝きと深みのある艶を実現します。<br><br><font 
size=""4""><b><u>■抜群の耐久性</u></b></font><br><font 
size=""4""><b><u>　水洗いだけで愛車の輝きを長期間守ります！</u></b></font><br>◎　ミラーコートの耐熱温度は500℃～600℃です。<br>真夏の直射日光にもひび割れることなく、酸性雨・強力な洗剤<br>（強力クリーナーや強力水垢取りなど）にも強く、塗装の色褪せ・劣化を防ぎます。<br>また、強固な被膜は洗車機・小枝等による塗面へのダメージを最小限に抑えます。<br><br><font 
size=""4""><b><u>■容易なメンテナンス！</u></b></font><br><font 
size=""4""><b><u>　面倒なWAXがけは一切不要！</u></b></font><br>◎　ミラーコートは市販のWAX等とは違い<font 
color=""#ff0000""><u>親水性タイプ</u></font>（※1）です。<br>その為、水垢やウォータースポットの原因となる水滴が出来にく<br>く、汚れが付きにくいコーティングです。付着してしまった汚れ<br>も水洗いで簡単に落とすことができ、メンテナンスが非常に楽で<br>す。<br>◎　<font 
color=""#ff0000"">業務用なので、一般のカー用品店等では手に入りません！</font><br><br><font 
color=""#ff0000""><u>※1親水性タイプ</u></font>とは？ 
一般的なWAXやポリマーは撥水（はっすい）性といい、ボディーに付いた水分を弾きます。<br>撥水性は水を弾くことによりコーティングの効き具合が一目で判<br>るという利点の反面、ボディに水滴が残り雨上がりの直射日光な<br>どでウォータースポット（うろこ状の焼き付き）が出来てしまう<br>事が多々あり、メンテナンスを苦に感じる方も多いようです。<br>それに比べミラーコートはコーティング＋親水剤を塗りこむこと<br>により、ボディに付着した水滴がひと塊になり流れ落ちる<font 
color=""#ff0000""><u>親水性タイプ</u></font>になり、 
撥水性タイプに比べメンテナンスが非常に楽になります。<br><br>◆使用方法◆<br>1、コンパウンド等で磨いたボディをコンパウンドや油分・汚れや<br>水分がボディーに残らないよう綺麗に洗車・拭き取りをしてくだ<br>さい。<br>2、次に完全にボディーが乾いた状態で、セーム布などのボディー<br>を傷付けることのない柔らかい布にミラーコーティング剤を適量<br>取り、塗りムラが無い様にしっかり塗り込んで下さい。（一度塗<br>り終えて、ミラーコートが乾いた状態で更に重ね塗りをするとム<br>ラ無く塗り込む事が出来ます。）<br>3、ミラーコート塗り込み後、別のセーム布などのボディーを 

<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">傷付けることのない柔らかい布に親水剤を適量取り、</p>
<p style=""MARGIN-TOP: 0px"">塗りムラが無い様にしっかり塗り込んで下さい。<br>　 
※尚、ミラーコートや親水剤を塗り込む際に、セーム布等を 　 <br>柔らかい固形物（スポンジ等）に巻きつけて作業を行なうと 　 
<br>塗り込みやすいです。<br>4、次に塗り込んだ親水剤が乾いたら（目安として夏場は<br>10分～15分、冬場は20分～25分）、水で流し水分を綺麗に拭きと<br>って作業は終了です。<br><br><img 
alt=""使用方法"" src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/kouteimirror-s.jpg"" 
width=""560"" border=""1"" height=""798""> </p>
<hr width=""100%"">

<center style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px; WORD-SPACING: 0px"" 
<p>ご注文前にお読み下さい!! 
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px; WORD-SPACING: 0px"">↓↓↓↓</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px; WORD-SPACING: 0px""><font 
color=""#ff0000"" size=""4""><strong>注意事項</strong></font> </p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px; WORD-SPACING: 0px"">↑↑↑↑ 
<hr>
</center><style type=""txt/css"">
h2{
	clear:both;
	border-left:solid 15px #F6F;
	border-bottom:solid 2px #f6f;
	margin-left:5px;
	width:770px;
	color:#f6f;

}
</style>


<!-- 2015.12.1 削除 ここから　レビュー記入
<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/present_microcloth_1.gif"" alt=""レビュー記入でマイクロスーパークロスプレゼント"" width=""795px"" border=""0"" usemap=""#reviewMap"">
<map name=""reviewMap"">
  
  
</map></p>
<br><br>
2015.12.1 削除 ここまで　レビュー記入 -->


<div style=""width:785px;border:solid 1px #0000ff;background-color:ffeffe;padding:5px;"">


<center>

<!-- ここから 長期休暇のお知らせ
<br><br>
<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/imgrc0063727070.jpg"" width=""700px"">
 ここまで 長期休暇のお知らせ -->

<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2016campaign.jpg"" width=""600px"" alt=""イーグルス＆ヴィッセ勝利でポイント２倍"">
<br><br>

<!-- ここから　楽天_期間限定_広告 -->

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015card800.gif"" alt=""新規カード会員"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015resear.jpg""  alt=""楽天リサーチ"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160124_point7x.jpg"" width=""600px"" alt=""SPUカードで4倍"">
<br><br>

<!-- ここまで　楽天_期間限定_広告 -->
<!-- 2016_09_30 10:00　から　

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160930_social.jpg"" width=""600px"" alt=""200円offクーポン"">
<br><br>
ここまで　2016_10_06 1:59 -->




</p>

</center>

</div>",【親水促進剤 　100ml　単品】ミラーコート　ガラスコート　ガラス被膜：カーピカル JAPAN NET 事業部,車コーティング剤ポリッシャー　バフカーケア用品ガラス磨きウインドコーティング３Ｍコンパウンドウォータースポット撥水コートブレーキダスト汚れ鉄粉除去車　クリーナー車の傷消しガラスコーティングアルミ錆取り鏡面仕上げガラス撥水コート洗車用品水あか取りカーワックス車内ルームクリーニング【親水促進剤 　100ml　単品】ミラーコート　ガラスコート　ガラス被膜,ミラーコート用の2液目のコート剤！。【親水促進剤 　100ml　単品】ミラーコート　ガラスコート　ガラス被膜[rn]
40-29302,http://tshop.r10s.jp/pvd8/cabinet/001/0010010497_c0.jpg?fitin=700:700,3537.6000,,車用品・バイク用品 > カー用品 > 洗車・ケア用品 > ワックス,タイホーコーザイ ポリッシングワックス カーポリッシュL  4L / NX39,　,"　リソッド、メタリック、ホワイト車兼用<BR>
<BR>
簡単にワックスがけや拭き取り作業ができ、ボディについた水あか等の汚れも手軽に落とし、スッキリとした光沢に仕上げるポリッシングワックスです。 　
各種塗装車に使用できる乳化型液体ワックスです。　　<BR>
作業性の良い乳化型ポリッシングワックスです。　　<BR>
<BR>
商品内容：ポリッシングワックス <BR>
商品名：カーポリッシュL  4L <BR>
商品番号：NX39<BR>
メーカー：タイホーコーザイ<BR><style type=""text/css"">
<!--

td.rakutenLimitedId_GPImage {
width:600px;
}

.rakutenLimitedId_GPImage img {
width:500px;
}

.item_name {
display:block;
margin-bottom:15px;
}

.catch_copy {
display:block;
margin-bottom:15px;
color:gray;
}

td.inventory font{
font-size:10px;color:#666666;
}

td.inventory_choice_name {
    padding:10px 10px;
    margin:10px 0px;
}
-->
</style>",タイホーコーザイ ポリッシングワックス カーポリッシュL  4L / NX39：Proバイダー堺駅前店,タイホーコーザイ ポリッシングワックス カーポリッシュL  4L / NX39,　。タイホーコーザイ ポリッシングワックス カーポリッシュL  4L / NX39[rn]
40-29303,http://tshop.r10s.jp/gold/auc-asahi360/images/products/cp-hswa-0050_1.gif?fitin=700:700,1546.4000,,車用品・バイク用品 > カー用品 > 洗車・ケア用品 > ワックス,撥水ワックスコート　ボディワックス【業務用破水ワックス　500ml　お試しサイズ】　コーティングメンテナンス　ポリマー加工メンテナンス　スプレーワックス　水性ワックス　カルナバワックス　洗車道具,コーティング屋さんのメンテナンスコート剤！簡単ＷＡＸ★,"<br><img src=https://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000414.jpg width=550 border=0>

</a>
<Hr Width=""100%"">
◆商品用途◆<BR>
◎　自動車ボディーの撥水コート<BR><BR>
◆特徴◆<BR>
◎　スプレー式で手軽に撥水効果が得られます！<BR>
◎　中古車販売業者様は展示車や納車前に一吹きするだけで、<BR>
お客様にも大変喜ばれます！<BR>
◎　少量でよく伸びますので、かなり経済的で作業も楽々です！<BR>
◎　<FONT color=#ff0000>業務用なので、一般のカー用品店等では手に入りません！</FONT><BR><BR>
◆使用方法◆<BR>
◎　始めにボディーのホコリや汚れをよく洗い流しておいてくだ<br>
さい。ボディーが濡れている所に吹きかけてスポンジ等で塗り伸<br>
ばしてください。最後に水分を拭き取って作業は終了です。<BR><BR>
<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/kouteihasuiwax-s.jpg"" width=""560"" alt=""使用方法"">

<Hr Width=""100%"">
<Center><FONT color=#ff0080 size=4><B>★当社独自の使用方法★</B></FONT></Center><BR>
ご参考までに私の会社では、中古展示車の洗車の際や納車前の<BR>
サービスとして使用し、お客様に大変喜ばれております。<BR><BR>
<Hr Width=""100%"">
<Center><FONT size=4><B><U>■　注意事項　■</U></B></FONT></Center><BR>
◎　施工部分の材質や劣化状態によっては、ダメージを与えてし<br>
まう恐れがある為、作業前には必ず目立たないところでお試しに<br>
なってからご使用下さい。<BR>
◎　その他、詳しくは商品に取扱説明書を同梱いたしますので、<BR>
必ずよくお読みになってから作業を行なってください。<BR>
◎　業務用の為、この商品を他の用途には使用しないで下さい。<BR>
外国車や特別な素材などでは目立たない所で試してからご使用下さい。<BR>
◎　この商品の使用上の損害には一切責任を持ちませんので、予めご了承下さい。<BR><BR>
<Hr Width=""100%"">
<font size=5 color=""#ff55ff"">■関連商品＿＿＿＿＿　
</font><br><br><style type=""txt/css"">
h2{
	clear:both;
	border-left:solid 15px #F6F;
	border-bottom:solid 2px #f6f;
	margin-left:5px;
	width:770px;
	color:#f6f;

}
</style>


<!-- 2015.12.1 削除 ここから　レビュー記入
<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/present_microcloth_1.gif"" alt=""レビュー記入でマイクロスーパークロスプレゼント"" width=""795px"" border=""0"" usemap=""#reviewMap"">
<map name=""reviewMap"">
  
  
</map></p>
<br><br>
2015.12.1 削除 ここまで　レビュー記入 -->


<div style=""width:785px;border:solid 1px #0000ff;background-color:ffeffe;padding:5px;"">


<center>

<!-- ここから 長期休暇のお知らせ
<br><br>
<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/imgrc0063727070.jpg"" width=""700px"">
 ここまで 長期休暇のお知らせ -->

<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2016campaign.jpg"" width=""600px"" alt=""イーグルス＆ヴィッセ勝利でポイント２倍"">
<br><br>

<!-- ここから　楽天_期間限定_広告 -->

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015card800.gif"" alt=""新規カード会員"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015resear.jpg""  alt=""楽天リサーチ"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160124_point7x.jpg"" width=""600px"" alt=""SPUカードで4倍"">
<br><br>

<!-- ここまで　楽天_期間限定_広告 -->
<!-- 2016_09_30 10:00　から　

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160930_social.jpg"" width=""600px"" alt=""200円offクーポン"">
<br><br>
ここまで　2016_10_06 1:59 -->




</p>

</center>

</div>",撥水ワックスコート　ボディワックス【業務用破水ワックス　500ml　お試しサイズ】　コーティングメンテナンス　ポリマー加工メンテナンス　スプレーワックス　水性ワックス　カルナバワックス　洗車道具：カーピカル JAPAN NET 事業部,車コーティング剤ポリッシャー　バフカーケア用品ガラス磨きウインドコーティング３Ｍコンパウンドウォータースポット撥水コートブレーキダスト汚れ鉄粉除去車　クリーナー車の傷消しガラスコーティングアルミ錆取り鏡面仕上げガラス撥水コート洗車用品水あか取りカーワックス車内ルームクリーニング撥水ワックスコート　ボディワックス【業務用破水ワックス　500ml　お試しサイズ】　コーティングメンテナンス　ポリマー加工メンテナンス　スプレーワックス　水性ワックス　カルナバワックス　洗車道具,コーティング屋さんのメンテナンスコート剤！簡単ＷＡＸ★。撥水ワックスコート　ボディワックス【業務用破水ワックス　500ml　お試しサイズ】　コーティングメンテナンス　ポリマー加工メンテナンス　スプレーワックス　水性ワックス　カルナバワックス　洗車道具[rn]
40-29304,http://tshop.r10s.jp/pvd8/cabinet/001/0010010495_c0.jpg?fitin=700:700,660.0000,,車用品・バイク用品 > カー用品 > 洗車・ケア用品 > ワックス,艶を出し汚れを落とす自動車のレザーシート、内張りなどに レザーワックスF  420ml タイホーコーザイ  NX55,　,"　<TABLE class=""dataTable01"" id=""specTable01"" width=""596"" border=""1"">
<TBODY>
<TR>
<TH style=""FONT-SIZE: 14px; COLOR: #cc0000; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2"">艶出し 汚れ落とし レザーワックスF 420ml / NX55</TH>
    </TR>
<TR>
<TH style=""FONT-SIZE: 14px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2"">特徴</TH>
    </TR>
<TR>
<TH style=""FONT-WEIGHT: normal; FONT-SIZE: 12px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2""><FONT style=""FONT-WEIGHT: normal; FONT-SIZE: 12px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" color=""#000000"" size=""3""><FONT size=""2""><FONT style=""FONT-WEIGHT: normal; FONT-SIZE: 12px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" color=""#000000"" size=""3""><FONT size=""2"">●乾きが早く、べとつかずなめらかな美しい艶を与えます。<BR>●油汚れ、タバコのヤニ等の汚れが落ち、撥水性の艶のあるしなやかな保護被膜をつくり、汚れの再付着を防ぎます。<BR>●有機溶剤中毒予防規則の適用を受けません。<BR>
      </FONT></FONT></FONT></FONT></TH>
    </TR>
    <TR>
<TH style=""FONT-WEIGHT: bold; FONT-SIZE: 14px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2"">使用用途</TH>
    </TR>
<TR>
<TH style=""FONT-WEIGHT: normal; FONT-SIZE: 12px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2"">●自動車のレザーシート、内張り、ダッシュボード、タイヤ、ウレタンバンパー等に。<BR>●その他のレザー製品、プラスチック製品、ゴム製品全般。</TH>
    </TR>
    <TR>
<TH style=""FONT-WEIGHT: bold; FONT-SIZE: 15px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" colspan=""2"">使用例</TH>
    </TR>
    <TR>
      <TH colspan=""2"" align=""left"" style=""font-size : 12px;font-weight : normal;line-height : 20px;letter-spacing : 1px;"">※塗装作業の近くで使用すると塗料をはじくことがあります。</TH>
    </TR>
    <TR>
<TH style=""FONT-WEIGHT: bold; FONT-SIZE: 15px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""middle"" width=""183"">成分</TH>
<TH style=""FONT-WEIGHT: normal; FONT-SIZE: 12px; LINE-HEIGHT: 20px; LETTER-SPACING: 1px"" align=""left"" width=""397"">●ジメチルシリコーンオイル<BR>●天然ワックス<BR>●脂肪族系炭化水素<BR>●LPG<BR>
      ●第四類第一石油類210ml　危険等級III</TH>
    </TR>
  </TBODY>
</TABLE><style type=""text/css"">
<!--

td.rakutenLimitedId_GPImage {
width:600px;
}

.rakutenLimitedId_GPImage img {
width:500px;
}

.item_name {
display:block;
margin-bottom:15px;
}

.catch_copy {
display:block;
margin-bottom:15px;
color:gray;
}

td.inventory font{
font-size:10px;color:#666666;
}

td.inventory_choice_name {
    padding:10px 10px;
    margin:10px 0px;
}
-->
</style>",艶を出し汚れを落とす自動車のレザーシート、内張りなどに レザーワックスF  420ml タイホーコーザイ  NX55：Proバイダー堺駅前店,艶を出し汚れを落とす自動車のレザーシート、内張りなどに レザーワックスF  420ml タイホーコーザイ  NX55,　。艶を出し汚れを落とす自動車のレザーシート、内張りなどに レザーワックスF  420ml タイホーコーザイ  NX55[rn]
40-29305,http://tshop.r10s.jp/gold/auc-asahi360/images/products/set-mcjs.jpg?fitin=700:700,5744.0000,,車用品・バイク用品 > カー用品 > 洗車・ケア用品 > ワックス,新車コーティング　ガラスコーティング　【ミラーコート★乗用車セット】　ガラスバリア　ガラスコート　ガラス被膜　ノーワックス　ガラス系コーティング　無機質100％　親水コート,本物のプロの光沢施工、Sio2シリカガラスコーティング,"<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/img59012967.jpg"" width=""550"" border=""0""> 
>
<a href=""https://event.rakuten.co.jp/asuraku/about/""><img src=""https://image.rakuten.co.jp/com/img/rms/cabinet/recommend_new/img00000414.jpg"" border=0 width=465></a>

<Hr Width=""100%"">
◆商品用途◆<BR>
◎　自動車ボディーのコーティング（親水性）<BR><BR>
◆特徴◆<BR>
<FONT size=4><B><U>■鏡面の輝き！深みのある艶！</U></B></FONT><BR>
<FONT size=4><B><U>　光沢度計100以上の実現！</U></B></FONT><BR>
◎　ミラーコートは無機質100％のガラス水溶液です。<BR>
塗り込み後塗面の官能基と化学結合し<BR>
無機質100％のガラスバリアを形成します。<BR>
このガラスバリアが鏡面の輝きと深みのある艶を実現します。<BR><BR>
<FONT size=4><B><U>■抜群の耐久性</U></B></FONT><BR>
<FONT size=4><B><U>　水洗いだけで愛車の輝きを長期間守ります！</U></B></FONT><BR>
◎　ミラーコートの耐熱温度は500℃～600℃です。<BR>
真夏の直射日光にもひび割れることなく、酸性雨・強力な洗剤<BR>
（強力クリーナーや強力水垢取りなど）にも強く、塗装の色褪せ・劣化を防ぎます。<BR>
また、強固な被膜は洗車機・小枝等による塗面へのダメージを最小限に抑えます。<BR><BR>
<FONT size=4><B><U>■容易なメンテナンス！</U></B></FONT><BR>
<FONT size=4><B><U>　面倒なWAXがけは一切不要！</U></B></FONT><BR>
◎　ミラーコートは市販のWAX等とは違い<FONT color=#ff0000><U>親水性タイプ</U></FONT>（※1）です。<BR>
その為、水垢やウォータースポットの原因となる水滴が出来にく<br>
く、汚れが付きにくいコーティングです。付着してしまった汚れ<br>
も水洗いで簡単に落とすことができ、メンテナンスが非常に楽で<br>
す。<BR>
◎　<FONT color=#ff0000>業務用なので、一般のカー用品店等では手に入りません！</FONT><BR><BR>
<FONT color=#ff0000><U>※1親水性タイプ</U></FONT>とは？
一般的なWAXやポリマーは撥水（はっすい）性といい、ボディーに付いた水分を弾きます。<BR>
撥水性は水を弾くことによりコーティングの効き具合が一目で判<br>
るという利点の反面、ボディに水滴が残り雨上がりの直射日光な<br>
どでウォータースポット（うろこ状の焼き付き）が出来てしまう<br>
事が多々あり、メンテナンスを苦に感じる方も多いようです。<BR>
それに比べミラーコートはコーティング＋親水剤を塗りこむこと<br>
により、ボディに付着した水滴がひと塊になり流れ落ちる<FONT color=#ff0000><U>親水性タイプ</U></FONT>になり、

撥水性タイプに比べメンテナンスが非常に楽になります。<BR><BR>
◆使用方法◆<BR>
1、コンパウンド等で磨いたボディをコンパウンドや油分・汚れや<br>
水分がボディーに残らないよう綺麗に洗車・拭き取りをしてくだ<br>
さい。<br>
2、次に完全にボディーが乾いた状態で、セーム布などのボディー<br>
を傷付けることのない柔らかい布にミラーコーティング剤を適量<br>
取り、塗りムラが無い様にしっかり塗り込んで下さい。（一度塗<br>
り終えて、ミラーコートが乾いた状態で更に重ね塗りをするとム<br>
ラ無く塗り込む事が出来ます。）<BR>
3、次に塗り込んだミラーコートが完全に乾いた事を確認し、別の<BR>
セーム布などのボディーを傷付けることのない柔らかい布に親水<br>
剤を適量取り、塗りムラが無い様にしっかり塗り込んで下さい。<BR>
　 ※尚、ミラーコートや親水剤を塗り込む際に、セーム布等を
　 <br>
   柔らかい固形物（スポンジ等）に巻きつけて作業を行なうと
　 <br>
   塗り込みやすいです。<BR>
4、次に塗り込んだ親水剤が乾いたら（目安として夏場は<br>
10分～15分、冬場は20分～25分）、水で流し水分を綺麗に拭きと<br>
って作業は終了です。<BR><BR>
<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/kouteimirror-s.jpg"" width=""560"" alt=""使用方法"">

<Hr Width=""100%"">
<Center><FONT color=#ff0080 size=4><B>★当社独自の使用方法★</B></FONT></Center><BR>
ご参考までに私の会社では、ボディーの下地処理の磨きには別売<br>
の「3Mコンパウンド」各種を、コーティング前の洗車には「脱脂<br>
シャンプー」を使用し、仕上げに「タイヤWAX」等でお客様に大変<br>
ご好評を頂いております。<BR><BR>
<Hr Width=""100%"">
<CENTER><FONT color=#000080 size=4><B><U>■乗用車1台施工分セット内容■</U></B></FONT></CENTER><BR>
<FONT color=#0000ff><b>　　　　　　　　　　　　　　　　　　ミラーコート　　　　　<FONT color=#ff0000>　50</FONT>cc　<FONT color=#ff0000>1</FONT>本<BR>
　　　　　　　　　　　　　　　　　　親水剤　　　　　　　　<FONT color=#ff0000>100</FONT>ml　<FONT color=#ff0000>1</FONT>本<BR>
　　　　　　　　　　　　　　　　　　塗り込み用セーム布　<FONT color=#ff0000>　　　　2</FONT>枚<BR>
　　　　　　　　　　　　　　　　　　脱脂シャンプー　　　 <FONT color=#ff0000>100</FONT>ml　<FONT color=#ff0000>1</FONT>本<BR>
　　　　　　　　　　　　　　　　　　オリジナルステッカー　　　 　<FONT color=#ff0000>1</FONT>枚<BR>
　　　　　　　　　　　　　　　　　　加工証明書　　　 　　　　　　 <FONT color=#ff0000>1</FONT>枚<BR>
　　　　　　　　　　　　　　　　　　メンテナンスステッカー　　　 <FONT color=#ff0000>1</FONT>枚</FONT></b><BR><BR>
<Hr Width=""100%"">
<Center><FONT size=4><B><U>■　注意事項　■</U></B></FONT></Center><BR>
◎　施工部分の材質や劣化状態によっては、ダメージを与えて
<br>
しまう恐れがある為、作業前には必ず目立たないところでお試
<br>
しになってからご使用下さい。<BR>
◎　<FONT color=#ff0000>ミラーコートは特殊なガスで充填し
<br>
てある為、開栓後は時間を置くと白く変色し、容器内で凝固し
てしまいますので一度の作業で使い切るようにして下さい。</FONT><BR>
◎　<FONT color=#ff0000>ボディにシミやムラが出来る恐れがありますので、<BR>
炎天下での作業はお避けください。</FONT><BR>
◎　その他、詳しくは商品に取扱説明書を同梱いたしますので、
<BR>
必ずよくお読みになってから作業を行なってください。<BR>
◎　業務用の為、この商品を他の用途には使用しないで下さい。<BR>
外国車や特別な素材などでは目立たない所で試してからご使用
<br>下さい。<BR>
◎　この商品の使用上の損害には一切責任を持ちませんので、
<br>予めご了承下さい。<BR><BR>
※耐スリ傷性クリヤ塗装（自己修復機能）を施してあるお車にご使用しますと、車の鉄板や塗料の伸び縮みについていけず、蜘蛛の巣状のヒビ割れを起こしますのでご使用はお控え下さい。<BR>
※トヨタ セルフリストアリングコート・日産 スクラッチシールド等<BR><BR>
<Hr Width=""100%""><style type=""txt/css"">
h2{
	clear:both;
	border-left:solid 15px #F6F;
	border-bottom:solid 2px #f6f;
	margin-left:5px;
	width:770px;
	color:#f6f;

}
</style>


<!-- 2015.12.1 削除 ここから　レビュー記入
<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/present_microcloth_1.gif"" alt=""レビュー記入でマイクロスーパークロスプレゼント"" width=""795px"" border=""0"" usemap=""#reviewMap"">
<map name=""reviewMap"">
  
  
</map></p>
<br><br>
2015.12.1 削除 ここまで　レビュー記入 -->


<div style=""width:785px;border:solid 1px #0000ff;background-color:ffeffe;padding:5px;"">


<center>

<!-- ここから 長期休暇のお知らせ
<br><br>
<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/imgrc0063727070.jpg"" width=""700px"">
 ここまで 長期休暇のお知らせ -->

<p><img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2016campaign.jpg"" width=""600px"" alt=""イーグルス＆ヴィッセ勝利でポイント２倍"">
<br><br>

<!-- ここから　楽天_期間限定_広告 -->

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015card800.gif"" alt=""新規カード会員"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/2015resear.jpg""  alt=""楽天リサーチ"">
<br><br>


<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160124_point7x.jpg"" width=""600px"" alt=""SPUカードで4倍"">
<br><br>

<!-- ここまで　楽天_期間限定_広告 -->
<!-- 2016_09_30 10:00　から　

<img src=""https://image.rakuten.co.jp/auc-asahi360/cabinet/04423136/20160930_social.jpg"" width=""600px"" alt=""200円offクーポン"">
<br><br>
ここまで　2016_10_06 1:59 -->




</p>

</center>

</div>",新車コーティング　ガラスコーティング　【ミラーコート★乗用車セット】　ガラスバリア　ガラスコート　ガラス被膜　ノーワックス　ガラス系コーティング　無機質100％　親水コート：カーピカル JAPAN NET 事業部,車コーティング剤ポリッシャー　バフカーケア用品ガラス磨きウインドコーティング３Ｍコンパウンドウォータースポット撥水コートブレーキダスト汚れ鉄粉除去車　クリーナー車の傷消しガラスコーティングアルミ錆取り鏡面仕上げガラス撥水コート洗車用品水あか取りカーワックス車内ルームクリーニング新車コーティング　ガラスコーティング　【ミラーコート★乗用車セット】　ガラスバリア　ガラスコート　ガラス被膜　ノーワックス　ガラス系コーティング　無機質100％　親水コート,本物のプロの光沢施工、Sio2シリカガラスコーティング。新車コーティング　ガラスコーティング　【ミラーコート★乗用車セット】　ガラスバリア　ガラスコート　ガラス被膜　ノーワックス　ガラス系コーティング　無機質100％　親水コート[rn]
