40-96715,http://tshop.r10s.jp/jetprice/cabinet/078/639022.jpg?fitin=700:700,805.6000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,エポラス/ベガデザートフォーク 12本/VEG-02,【税込1万円以上で送料無料】,"<span class=""feature""></span><img src=""http://image.rakuten.co.jp/cocodecow/cabinet/zaikocall.gif"" width=""303"" height=""100"" border=""0""><br /><BR>【仕様】<BR><BR>●材質：１８－１０ステンレス鋼<BR>●長さ：約１８０ｍｍ<BR>●重量（１本）：３０ｇ<BR>●注文単位：１セット（１２本）<BR><BR><BR><BR><BR><font size=""1"">【検索用キーワード】<BR><BR>食器　カトラリー　フォーク　えぽらす　べがでざーとふぉーく　デザート用フォーク　１セット　１２本　ステンレス　ＶＥＧ０２　ステンレス製カトラリー　キッチン・テーブル用品　洋食器　カトラリー　フォーク</font><style type=""text/css"">
<!--
span.catch_copy{
font-size:14px;
color:#555555;
display: block;
margin:0;
padding:0px;
}
-->
</style>
<!--ジェットプライス-->

<!--
<img src=""https://image.rakuten.co.jp/jetprice/cabinet/guidepage/0520deliverydelay.jpg"" >-->",エポラス/ベガデザートフォーク 12本/VEG-02：JET PRICE,ジェットプライスココデカウフォーレストforestwayじぇっとぷらいすジェット　プライスJETPRICEエポラス/ベガデザートフォーク 12本/VEG-02,【税込1万円以上で送料無料】。エポラス/ベガデザートフォーク 12本/VEG-02[rn]
40-96716,http://tshop.r10s.jp/prokitchen/cabinet/yanagisori/systendnf-l1.jpg?fitin=700:700,661.6000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,柳宗理　ステンレスカトラリー　ディナーフォーク　/　Sori　Yanagi,　日本製　,"<table width=""500"" border=""0"" cellspacing=""2"" cellpadding=""2"" style=""background-color:#ffffff"">
  <tr> 
    <td width=""22%"" style=""background-color:#A9CED7;color:#ffffff;line-height:150%;font-size:12px;"">サイズ</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">195mm</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">材質</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">18-8ステンレス
    </font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">使用区分</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">食洗機　使用可</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">デザイナー</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">原産国</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">日本</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">スタッフの<br>
      おすすめポイント</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">とても持ちやすく口当たりの良いカトラリーですので食事のシーンを選ばずお使いいただけます。シリーズで揃えておけばホームパーティーの時も重宝しますよ。ディナーフォークはパスタからメイン料理まで大活躍！男性にも使いやすいサイズですよ。柳宗理のカトラリーは丸みを持った美しいシルエット、フォークのカーブや刃先の深さ、ナイフ刃の深さまで。持ちやすさ・使いやすさを徹底的に追求した普段使いにオススメのカトラリーです。</font></td>
  </tr>
</table>  <table width=""500"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FFFFFF"" >
    <tr valign=""top"" bordercolor=""#000000"">
      <td colspan=""2"" bordercolor=""#000000""><p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■この商品について</font><br />
        日本を代表するプロダクトデザイナー柳宗理による「柳宗理デザイン」
        なによりも必然を大切に、機能美を追求したプロダクトは温かみのあるものばかりです。
        どこかぽってりとしたカトラリーや食器は人の手や道具にやさしくフィットします。
        ロングセラーを誇るケトルやミルクパンは一度使ったら手放せないくらいの使い勝手があるんですよ。 
        柳宋理の製品には、デザインだけを見るのではなく、手にとって実感して頂きたい道具がいっぱいです。
        そして、職人さんたちの手間もいっぱいかかっています。
        現代人の生活スタイルも大切にしながら、長く大切に使える高い品質を生活用品に与えてくれるのが魅力です。
      </font></p></td>
    </tr>
  </table>
  <br /><table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top"">
 <font size=""1""><font color=""#FF6600"">■取り扱いの注意</font><br>
●ご使用について 
 </font>
 <ul>
<li><font size=""1"">最初に使用する時は食器用洗剤をつけて、スポンジ等で十分に洗い、すすいでください。</font></li>
<li><font size=""1"">使用後は早めに洗浄し、水気をよくふき取って下さい。<br>                
</font><li><font size=""1"">塩分や酸等を含んだ汚れを付着させたまま放置したり、湿気の多い場所での保管はさびの原因となります。<br>
</font>
<li><font size=""1"">ステンレスを磨く場合は、市販のステンレスクリーナーやクリームクレンザー等を乾いた柔らかい布にとり、磨いて下さい。その後よくすすいでください。また、磨く際は含まれる研磨剤の粒子によって表面に擦り傷が残る場合がありますので、目立たぬところで試してから行って下さい。</font></li>
<font size=""1""><br>
</font>
</ul>
 
 <p style=""line-height:1em;"">
<font size=""1""><font color=""#FF6600"">■ご確認ください</font><br>
●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br>
</font>
</p>
</td>
    <td width=""10"">&nbsp;</td>
    
  </tr>
</table>
 </td>
 </tr>
</table>",柳宗理　ステンレスカトラリー　ディナーフォーク　/　Sori　Yanagi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン柳宗理　ステンレスカトラリー　ディナーフォーク　/　Sori　Yanagi,　日本製　。柳宗理　ステンレスカトラリー　ディナーフォーク　/　Sori　Yanagi[rn]
40-96717,http://tshop.r10s.jp/prokitchen/cabinet/yanagisori/systentf-l1.jpg?fitin=700:700,583.2000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,柳宗理　ステンレスカトラリー　テーブルフォーク　/　Sori　Yanagi,　,"<table width=""500"" border=""0"" cellspacing=""2"" cellpadding=""2"" style=""background-color:#ffffff"">
  <tr> 
    <td width=""22%"" style=""background-color:#A9CED7;color:#ffffff;line-height:150%;font-size:12px;"">サイズ</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">183mm</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">材質</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">18-8ステンレス
    </font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">使用区分</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">食洗機　使用可</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">デザイナー</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">原産国</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">日本</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">スタッフの<br>
      おすすめポイント</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">普段使いに、また女性やお子様にもオススメのサイズ感です。フォークは刃が短くスプーンとフォークの中間のようなデザインになっています。グラタンなどを召し上がる時にも便利そうですね。柳宗理のカトラリーは丸みを持った美しいシルエット、フォークのカーブや刃先の深さ、ナイフ刃の深さまで。持ちやすさ・使いやすさを徹底的に追求した普段使いにオススメのカトラリーです。</font></td>
  </tr>
</table>
  <table width=""500"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FFFFFF"" >
    <tr valign=""top"" bordercolor=""#000000"">
      <td colspan=""2"" bordercolor=""#000000""><p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■この商品について</font><br />
        日本を代表するプロダクトデザイナー柳宗理による「柳宗理デザイン」
        なによりも必然を大切に、機能美を追求したプロダクトは温かみのあるものばかりです。
        どこかぽってりとしたカトラリーや食器は人の手や道具にやさしくフィットします。
        ロングセラーを誇るケトルやミルクパンは一度使ったら手放せないくらいの使い勝手があるんですよ。 
        柳宋理の製品には、デザインだけを見るのではなく、手にとって実感して頂きたい道具がいっぱいです。
        そして、職人さんたちの手間もいっぱいかかっています。
        現代人の生活スタイルも大切にしながら、長く大切に使える高い品質を生活用品に与えてくれるのが魅力です。
      </font></p></td>
    </tr>
  </table>
  <br /><table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top"">
 <font size=""1""><font color=""#FF6600"">■取り扱いの注意</font><br>
●ご使用について 
 </font>
 <ul>
<li><font size=""1"">最初に使用する時は食器用洗剤をつけて、スポンジ等で十分に洗い、すすいでください。</font></li>
<li><font size=""1"">使用後は早めに洗浄し、水気をよくふき取って下さい。<br>                
</font><li><font size=""1"">塩分や酸等を含んだ汚れを付着させたまま放置したり、湿気の多い場所での保管はさびの原因となります。<br>
</font>
<li><font size=""1"">ステンレスを磨く場合は、市販のステンレスクリーナーやクリームクレンザー等を乾いた柔らかい布にとり、磨いて下さい。その後よくすすいでください。また、磨く際は含まれる研磨剤の粒子によって表面に擦り傷が残る場合がありますので、目立たぬところで試してから行って下さい。</font></li>
<font size=""1""><br>
</font>
</ul>
 
 <p style=""line-height:1em;"">
<font size=""1""><font color=""#FF6600"">■ご確認ください</font><br>
●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br>
</font>
</p>
</td>
    <td width=""10"">&nbsp;</td>
    
  </tr>
</table>
 </td>
 </tr>
</table>",柳宗理　ステンレスカトラリー　テーブルフォーク　/　Sori　Yanagi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン柳宗理　ステンレスカトラリー　テーブルフォーク　/　Sori　Yanagi,　。柳宗理　ステンレスカトラリー　テーブルフォーク　/　Sori　Yanagi[rn]
40-96718,http://tshop.r10s.jp/prokitchen/cabinet/yanagisori/systenpf-l1.jpg?fitin=700:700,583.2000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,柳宗理　ステンレスカトラリー　パスタフォーク　/　Sori　Yanagi,　日本製　,"<table width=""500"" border=""0"" cellspacing=""2"" cellpadding=""2"" style=""background-color:#ffffff"">
  <tr> 
    <td width=""22%"" style=""background-color:#A9CED7;color:#ffffff;line-height:150%;font-size:12px;"">サイズ</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">198mm</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">材質</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">18-8ステンレス
    </font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">使用区分</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">食洗機　使用可</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">デザイナー</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">原産国</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">日本</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">スタッフの<br>
      おすすめポイント</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理のフォークは刃の部分が短いものが多いのですが、こちらはしっかりと細長い4本の刃でパスタをからめます。ペンネやマカロニもOK！！柳宗理のカトラリーは丸みを持った美しいシルエット、フォークのカーブや刃先の深さ、ナイフ刃の深さまで。持ちやすさ・使いやすさを徹底的に追求した普段使いにオススメのカトラリーです。</font></td>
  </tr>
</table>
  <table width=""500"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FFFFFF"" >
    <tr valign=""top"" bordercolor=""#000000"">
      <td colspan=""2"" bordercolor=""#000000""><p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■この商品について</font><br />
        日本を代表するプロダクトデザイナー柳宗理による「柳宗理デザイン」
        なによりも必然を大切に、機能美を追求したプロダクトは温かみのあるものばかりです。
        どこかぽってりとしたカトラリーや食器は人の手や道具にやさしくフィットします。
        ロングセラーを誇るケトルやミルクパンは一度使ったら手放せないくらいの使い勝手があるんですよ。 
        柳宋理の製品には、デザインだけを見るのではなく、手にとって実感して頂きたい道具がいっぱいです。
        そして、職人さんたちの手間もいっぱいかかっています。
        現代人の生活スタイルも大切にしながら、長く大切に使える高い品質を生活用品に与えてくれるのが魅力です。
      </font></p></td>
    </tr>
  </table>
  <br /><table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top"">
 <font size=""1""><font color=""#FF6600"">■取り扱いの注意</font><br>
●ご使用について 
 </font>
 <ul>
<li><font size=""1"">最初に使用する時は食器用洗剤をつけて、スポンジ等で十分に洗い、すすいでください。</font></li>
<li><font size=""1"">使用後は早めに洗浄し、水気をよくふき取って下さい。<br>                
</font><li><font size=""1"">塩分や酸等を含んだ汚れを付着させたまま放置したり、湿気の多い場所での保管はさびの原因となります。<br>
</font>
<li><font size=""1"">ステンレスを磨く場合は、市販のステンレスクリーナーやクリームクレンザー等を乾いた柔らかい布にとり、磨いて下さい。その後よくすすいでください。また、磨く際は含まれる研磨剤の粒子によって表面に擦り傷が残る場合がありますので、目立たぬところで試してから行って下さい。</font></li>
<font size=""1""><br>
</font>
</ul>
 
 <p style=""line-height:1em;"">
<font size=""1""><font color=""#FF6600"">■ご確認ください</font><br>
●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br>
</font>
</p>
</td>
    <td width=""10"">&nbsp;</td>
    
  </tr>
</table>
 </td>
 </tr>
</table>",柳宗理　ステンレスカトラリー　パスタフォーク　/　Sori　Yanagi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン柳宗理　ステンレスカトラリー　パスタフォーク　/　Sori　Yanagi,　日本製　。柳宗理　ステンレスカトラリー　パスタフォーク　/　Sori　Yanagi[rn]
40-96719,http://tshop.r10s.jp/prokitchen/cabinet/yanagisori/sykurosf-l1.jpg?fitin=700:700,2022.4000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,柳宗理　黒柄カトラリー　サラダフォーク　/　Sori　Yanagi,,"<table width=""500"" border=""0"" cellspacing=""2"" cellpadding=""2"" style=""background-color:#ffffff"">
  <tr> 
    <td width=""22%"" style=""background-color:#A9CED7;color:#ffffff;line-height:150%;font-size:12px;"">サイズ</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">約　168mm</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">材質</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">本体：18-8ステンレス<br />
    ハンドル部：カバ材積層強化木</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">使用区分</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">食洗機　使用不可</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">デザイナー</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">原産国</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">日本</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">スタッフの<br>
      おすすめポイント</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">デザートフォーク（4本刃）よりも若干小さめです。細く長い4本刃なので温野菜のサラダやポテトサラダもさくさくと食べられますよ。女性やお子様にも使いやすい小振りのタイプです。黒柄のカトラリーはハンドル部にカバ材質層強化木を使用し、柔らかく温かみの感じる持ち心地です。和のイメージを残しつつも北欧食器などの洋食器とも違和感なく使えるモダンなデザインです。</font></td>
  </tr>
</table>
<table width=""500"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FFFFFF"" >
  <tr valign=""top"" bordercolor=""#000000""> 
    <td colspan=""2"" bordercolor=""#000000""> <p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■この商品について</font><br>
        日本を代表するプロダクトデザイナー柳宗理による「柳宗理デザイン」
なによりも必然を大切に、機能美を追求したプロダクトは温かみのあるものばかりです。
どこかぽってりとしたカトラリーや食器は人の手や道具にやさしくフィットします。
ロングセラーを誇るケトルやミルクパンは一度使ったら手放せないくらいの使い勝手があるんですよ。 
柳宋理の製品には、デザインだけを見るのではなく、手にとって実感して頂きたい道具がいっぱいです。
そして、職人さんたちの手間もいっぱいかかっています。
現代人の生活スタイルも大切にしながら、長く大切に使える高い品質を生活用品に与えてくれるのが魅力です。 
 
        </font> </p></td>
  </tr>
</table>
<table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
        <tr> 
          <td valign=""top""> <font size=""1""><font color=""#FF6600"">■取り扱いの注意</font><br>
            ●ご使用について 
            <ul>
              <li>最初に使用する時は食器用洗剤をつけて、スポンジ等で十分に洗い、すすいでください。</li>
              <li>使用後は食器用洗剤をつけて、スポンジ等で洗い水気を拭き取ってください。錆の原因となります。お手入れが不十分ですと白い粉状のものが付着してきますが、これは水道水中の微量成分が固まったものです。</li>
              <li>木製ハンドル部分に若干吸収性があるため、水に浸けて放置するとハンドルが緩む原因になります</li>
            </ul>
            </font> <p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■ご確認ください</font><br>
              ●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br>
              ●磁器・ガラス製品などには、製造上どうしてもできてしまうポッチや小さな傷が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</font> 
            </p></td>
        </tr>
      </table>
 </td>
 </tr>
</table>",柳宗理　黒柄カトラリー　サラダフォーク　/　Sori　Yanagi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン柳宗理　黒柄カトラリー　サラダフォーク　/　Sori　Yanagi,柳宗理　黒柄カトラリー　サラダフォーク　/　Sori　Yanagi[rn]
40-96720,http://tshop.r10s.jp/prokitchen/cabinet/yanagisori/systendf-l1.jpg?fitin=700:700,505.6000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 箸・カトラリー > フォーク,柳宗理　ステンレスカトラリー　デザートフォーク　/　Sori　Yanagi,　,"<table width=""500"" border=""0"" cellspacing=""2"" cellpadding=""2"" style=""background-color:#ffffff"">
  <tr> 
    <td width=""22%"" style=""background-color:#A9CED7;color:#ffffff;line-height:150%;font-size:12px;"">サイズ</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">170mm</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">材質</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">18-8ステンレス
    </font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">使用区分</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">食洗機　使用可</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">デザイナー</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">柳宗理</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">原産国</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">日本</font></td>
  </tr>
  <tr> 
    <td bgcolor=""#A9CED7""><font color=""#FFFFFF"" size=""2"">スタッフの<br>
      おすすめポイント</font></td>
    <td bgcolor=""#EEEEEE""><font color=""#666666"" size=""2"">手の小さなお子様でも使いやすいサイズですので、お子様が大好きなドリアやオムライスを食べる時にもオススメです。スプーンとフォークの中間のようなフォークはお子様にも扱いやすいと思いますよ。柳宗理のカトラリーは丸みを持った美しいシルエット、フォークのカーブや刃先の深さ、ナイフ刃の深さまで。持ちやすさ・使いやすさを徹底的に追求した普段使いにオススメのカトラリーです。</font></td>
  </tr>
</table>
  <table width=""500"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FFFFFF"" >
    <tr valign=""top"" bordercolor=""#000000"">
      <td colspan=""2"" bordercolor=""#000000""><p style=""line-height:1em;""> <font size=""1""><font color=""#FF6600"">■この商品について</font><br />
        日本を代表するプロダクトデザイナー柳宗理による「柳宗理デザイン」
        なによりも必然を大切に、機能美を追求したプロダクトは温かみのあるものばかりです。
        どこかぽってりとしたカトラリーや食器は人の手や道具にやさしくフィットします。
        ロングセラーを誇るケトルやミルクパンは一度使ったら手放せないくらいの使い勝手があるんですよ。 
        柳宋理の製品には、デザインだけを見るのではなく、手にとって実感して頂きたい道具がいっぱいです。
        そして、職人さんたちの手間もいっぱいかかっています。
        現代人の生活スタイルも大切にしながら、長く大切に使える高い品質を生活用品に与えてくれるのが魅力です。
      </font></p></td>
    </tr>
  </table>
  <br /><table width=""500"" border=""1"" cellpadding=""10"" cellspacing=""0"" bordercolor=""#FFFFFF"" style=""margin-top:8px;"">
<tr valign=""top"" bordercolor=""#000000"">
<td colspan=""2"">
<table width=""475"" border=""0"" cellspacing=""0"">
  <tr>
    <td valign=""top"">
 <font size=""1""><font color=""#FF6600"">■取り扱いの注意</font><br>
●ご使用について 
 </font>
 <ul>
<li><font size=""1"">最初に使用する時は食器用洗剤をつけて、スポンジ等で十分に洗い、すすいでください。</font></li>
<li><font size=""1"">使用後は早めに洗浄し、水気をよくふき取って下さい。<br>                
</font><li><font size=""1"">塩分や酸等を含んだ汚れを付着させたまま放置したり、湿気の多い場所での保管はさびの原因となります。<br>
</font>
<li><font size=""1"">ステンレスを磨く場合は、市販のステンレスクリーナーやクリームクレンザー等を乾いた柔らかい布にとり、磨いて下さい。その後よくすすいでください。また、磨く際は含まれる研磨剤の粒子によって表面に擦り傷が残る場合がありますので、目立たぬところで試してから行って下さい。</font></li>
<font size=""1""><br>
</font>
</ul>
 
 <p style=""line-height:1em;"">
<font size=""1""><font color=""#FF6600"">■ご確認ください</font><br>
●当店で扱っております商品は全てメーカーの検品をクリアしたA級商品のみです。<br>
</font>
</p>
</td>
    <td width=""10"">&nbsp;</td>
    
  </tr>
</table>
 </td>
 </tr>
</table>",柳宗理　ステンレスカトラリー　デザートフォーク　/　Sori　Yanagi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン柳宗理　ステンレスカトラリー　デザートフォーク　/　Sori　Yanagi,　。柳宗理　ステンレスカトラリー　デザートフォーク　/　Sori　Yanagi[rn]
