40-8401,http://tshop.r10s.jp/s-garbo/cabinet/01591103/dw/rogtool/wb1.jpg?fitin=700:700,5875.2000,,インテリア・寝具・収納 > その他,【ウッドバスケット　ブラック】 DWスチール製【DW　PA8355】,シンプルなかたち。手軽に使える価格が魅力☆,"金属製のウッドバスケットです。薪を運ぶ＆薪ストーブの傍らに置く　のどちらにも適したバスケットです。<br><br>↓↓使ってみた感想↓↓<br>金属ですので薪の木屑が残っても一履きできれいになります☆<br>運搬時、バスケットが傾くと場合によっては薪が滑り落ちることがあります。サイズ　Ｗ５４０mm×Ｄ３５０mm<br>
金属製<br>
色：ブラック",【ウッドバスケット　ブラック】 DWスチール製【DW　PA8355】：STOVE　HOUSE　GARBO,【ウッドバスケット　ブラック】 DWスチール製【DW　PA8355】,シンプルなかたち。手軽に使える価格が魅力☆。【ウッドバスケット　ブラック】 DWスチール製【DW　PA8355】[rn]
40-8402,http://tshop.r10s.jp/s-garbo/cabinet/01591103/dw/accessories/ln12eb.jpg?fitin=700:700,777.6000,,インテリア・寝具・収納 > その他,NEW!【薪ストーブ周辺商品】良い商品★おススメ着火剤★【ライトニングナゲッツ12個入りLN12EB－DW】,カワイイ半球型のハイパワーな着火剤！長時間＆高火力,"<table cellspacing=0 cellpadding=5 width=590 
bgcolor=#f0f0f0 border=0>
<tbody> 
<tr>
<td  style=""FONT-SIZE: 87%; LINE-HEIGHT:150%"">

<!--▼画像▼-->

<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/accessories/ln12eb.jpg""><br>

<!--▼小タイトル▼-->

<p><font size=""4""><b>『植物由来の原料を使用した環境にやさしい着火剤』</b></font><br><br> 

<font size=""2"" color=""555555"">
<!--▼説明文▼-->

<p>●<b>２５０℃＆１５分間燃焼</b><br>
Lighting Nuggetsはアメリカで１９７８年から製造されている歴史あるファイヤースターターです。<br>
●球状の底面を下にして平らな面の端に着火すれば、約20cm250℃の火に達し、１５分間燃え続けます。<br>
●<b>原料はおがくずで食品にも使われているパラフィンワックスを使って固めています。無毒で環境に優しく安全に使用できるファイヤースターターです</b></p>
<p>★こちらは１箱（12個入り）です</p>


<font color=""e2517d"" font size=""3""><b>～環境に優しく高火力＆長時間が人気の理由～</font></font></b> </p>
                </td>
              </tr>
              </tbody> 
            </table>
～商品詳細～<br><br>
・１箱<br>
・入数：12個<br>
・主成分：おがくず・パラフィンワックス<br>
・燃焼時間：約１５分／１キューブ<br>
・着火温度：２５０℃<br><br>

<p>［お得な１００個入りはこちら］<br>
         　 ↓　↓　↓<br>
100個入り×1箱<br>￥4,900円（税抜）",NEW!【薪ストーブ周辺商品】良い商品★おススメ着火剤★【ライトニングナゲッツ12個入りLN12EB&minus;DW】：STOVE　HOUSE　GARBO,NEW!【薪ストーブ周辺商品】良い商品★おススメ着火剤★【ライトニングナゲッツ12個入りLN12EB&minus;DW】,カワイイ半球型のハイパワーな着火剤！長時間＆高火力。NEW!【薪ストーブ周辺商品】良い商品★おススメ着火剤★【ライトニングナゲッツ12個入りLN12EB&minus;DW】[rn]
40-8403,http://tshop.r10s.jp/s-garbo/cabinet/01591103/dw/zarina_candle/rz-1.jpg?fitin=700:700,4147.2000,,インテリア・寝具・収納 > その他,ザリーナ【エスプレッソメーカーZARINA】イタリアRISOLI社製【DW　ZARINA　1カップ用　RZ-1】,キッチンでも、薪ストーブでも楽しめる！,"<table cellspacing=0 cellpadding=5 width=600 
bgcolor=#f0f0f0 border=0>
<tbody> 
<tr>
<td  style=""FONT-SIZE: 87%; LINE-HEIGHT:150%"">
<!--▼画像▼-->
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/zarina.jpg""><br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/zarina_2.jpg""><br>

<!--▼小タイトル▼-->

<p><font size=""4""><b>エスプレッソメーカー『ZARINA（ザリーナ）』【１カップ用】</b></font><br>

<font size=""2"" color=""555555"">

<!--▼説明文▼-->

わたしたちの暮らしはちょっとしたことによって、生き生きと豊かなものになります。“ZARINA（ザリーナ）”も、日々の暮らしを少し豊かにするお手伝いをします。溶解アルミニウム製のため、淹れている段階で温度を均等に保ちますのでクリーミーで香り高い本格的なエスプレッソをお楽しみいただけます。ワンランク上の味わいと、淹れることそのものが楽しくなる魅力的なデザインで、お客さまはもちろん、一緒にエスプレッソを楽しんでいただく方のコーヒータイムも“ひといき”をさらに楽しい“ひととき”へと変えてくれることでしょう。ラインナップは1cup用、3cup用、6cup用の3サイズ、各6色の全18種類。お客さまのライフスタイルに合わせてサイズを、お好みでカラーをお選びください。
味わい深い本格エスプレッソを手軽に楽しめ、家族との時間を素敵なものへと変えてくれます<br>

<br>
<font size=""4""color=""fff0000"">※こちらの商品は１カップ用です</font><br><br>


<font color=""e2517d"">一人でエスプレッソを楽しむときや、手早く作りたいときなどにおすすめです。小さくかわいいので、インテリア雑貨としても◎です。</font> </font> </p><br>

<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/top_bg.jpg""><br>
<p>●選べる３つのサイズ●<br>
<a href=""http://item.rakuten.co.jp/s-garbo/rz-1/""><font size:4><u><b>『１カップ用』</b></u></font size></a>
<a href=""http://item.rakuten.co.jp/s-garbo/rz-3/""><font size:4><u><b>『３カップ用』</b></u></font size></a>
<a href=""http://item.rakuten.co.jp/s-garbo/rz-6/""><font size:4><u><b>『６カップ用』</b></u></font size></a><br></p>




                </td>
              </tr>
              </tbody> 
            </table>

【１カップ用】<br>
・サイズ：直径50mm（注ぎ口とハンドル部分は除く）<br>・高さ：130mm<br><br>
<font size=""4""><b>【使い方】</b></font><br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/use_img_01.jpg""><br>
1 サーバーとタンクを外します<br>
下部タンクを持って上部サーバーを左に廻して外します。この時、ハンドルを持って廻さないでください。破損の原因になります。<br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/use_img_02.jpg""><br>
2 水を入れます<br>
下部タンクからバスケットを外し、圧力調整バルブの下まで水を入れます。 <br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/use_img_03.jpg""><br>
3 コーヒーの粉を入れます<br>
下部タンクにバスケットを戻して、細挽きの粉を入れ、平らにならします。<br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/use_img_04.jpg""><br>
4 火にかけます<br>
上部サーバーと下部タンクを合わせて右に廻して、しっかり締めます。（締まりが緩いと沸騰時に水が漏れることがあります）。蓋を閉め、弱火に掛けます。火を強くすると持ち手（ハンドル）が焦げますのでご注意ください。<br>
<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/zarina_candle/use_img_05.jpg""><br>
5 出来上がり<br>
沸騰してくるとサーバー内部中央のコラムから、コーヒーがゆっくりと上がってきます。終わりに近付くと空気が噴出す音がします。噴出す音が出はじめたら火を止めてデミタスカップに注いで早めにお召し上がりください。",ザリーナ【エスプレッソメーカーZARINA】イタリアRISOLI社製【DW　ZARINA　1カップ用　RZ-1】：STOVE　HOUSE　GARBO,ザリーナ【エスプレッソメーカーZARINA】イタリアRISOLI社製【DW　ZARINA　1カップ用　RZ-1】,キッチンでも、薪ストーブでも楽しめる！。ザリーナ【エスプレッソメーカーZARINA】イタリアRISOLI社製【DW　ZARINA　1カップ用　RZ-1】[rn]
40-8404,http://tshop.r10s.jp/s-garbo/cabinet/01591103/morsoscan/acce/541057.jpg?fitin=700:700,2505.6000,,インテリア・寝具・収納 > その他,【薪ストーブアクセサリー】マグネット式温度計【SHIN　薪ストーブ温度計Condar　541057】,薪ストーブは温度管理が大切,"Condarの薪ストーブ温度計です。薪ストーブを快適に運転するためには燃焼中の温度管理がとっても大切です。温度管理の良し悪しが薪ストーブ自体の寿命も左右します。<br>
そのため、１台のストーブに２つの温度計を使用しているオーナーさんもいます。Condar薪ストーブ温度計<br>
マグネット付き",【薪ストーブアクセサリー】マグネット式温度計【SHIN　薪ストーブ温度計Condar　541057】：STOVE　HOUSE　GARBO,【薪ストーブアクセサリー】マグネット式温度計【SHIN　薪ストーブ温度計Condar　541057】,薪ストーブは温度管理が大切。【薪ストーブアクセサリー】マグネット式温度計【SHIN　薪ストーブ温度計Condar　541057】[rn]
40-8405,http://tshop.r10s.jp/s-garbo/cabinet/01591103/morsoscan/acce/541142.jpg?fitin=700:700,1382.4000,,インテリア・寝具・収納 > その他,※使いやすい！※【薪ストーブ周辺商品】良い商品★おススメ着火剤★ＢＢＱの焚き付けにGood★100キューブ入り【FIRE UP　100キューブバケット　541142A】,パラフィン不使用！生分解性！火持ち良し！コスパ良し！,"<table cellspacing=0 cellpadding=5 width=590 
bgcolor=#f0f0f0 border=0>
<tbody> 
<tr>
<td  style=""FONT-SIZE: 87%; LINE-HEIGHT:150%"">

<!--▼画像▼-->

<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/morsoscan/acce/fire_up2.jpg""><br>

<!--▼小タイトル▼-->

<p><font size=""4""><b>『植物由来の原料を使用した環境にやさしい着火剤』</b></font><br><br> 

<font size=""2"" color=""555555"">
<!--▼説明文▼-->

<p>●<b>パラフィン（石油系成分）不使用</b><br>
石油系成分を燃焼したときの独特の嫌な臭いがしません。人体に対して毒性がなく、生分解性です<br>
●原材料は圧縮おが粉（パイン材）、植物油。100％バイオマス資源の燃焼で、カーボンニュートラルを実現。おが粉はＦＳＣミックス認定取得品を使用しており、世界の森林保全に貢献し、環境への配慮（エコマインド）を共有する製品として提供致します。<br>
●<b>永年保存が可能です。</b>長期保存しても油分が揮発せず安定した着火性、火力を持続します。</p>
<p>★こちらは１バケット（100キューブ入り）です</p>


<font color=""e2517d"" font size=""3""><b>～環境にやさしく安心＆火持ちが良いのが人気の理由～</font></font></b> </p>
                </td>
              </tr>
              </tbody> 
            </table>
～商品詳細～<br><br>
・1バケット<br>
・入数：100個<br>
・主成分：圧縮おが粉（パイン材）、植物油<br>
・燃焼時間：約１０分／１キューブ<br>
・着火温度：２２０℃<br><br>

<p>［お得な１カートンはこちら］<br>
         　 ↓　↓　↓<br>
100キューブ入り×6バケット<br>￥９，７６５円",※使いやすい！※【薪ストーブ周辺商品】良い商品★おススメ着火剤★ＢＢＱの焚き付けにGood★100キューブ入り【FIRE UP　100キューブバケット　541142A】：STOVE　HOUSE　GARBO,※使いやすい！※【薪ストーブ周辺商品】良い商品★おススメ着火剤★ＢＢＱの焚き付けにGood★100キューブ入り【FIRE UP　100キューブバケット　541142A】,パラフィン不使用！生分解性！火持ち良し！コスパ良し！。※使いやすい！※【薪ストーブ周辺商品】良い商品★おススメ着火剤★ＢＢＱの焚き付けにGood★100キューブ入り【FIRE UP　100キューブバケット　541142A】[rn]
40-8406,http://tshop.r10s.jp/s-garbo/cabinet/01591103/dw/accessories/fs4.jpg?fitin=700:700,1555.2000,,インテリア・寝具・収納 > その他,※入荷しました※【ファイヤースターター】◆手軽に着火★薪ストーブ、アウトドアに！パラフィン不使用＆塩化ビニール不使用の安心安全着火剤【DWバーナーファイヤースターター（100個入）　FS4】,薪ストーブに、アウトドアに手軽に使える着火剤,"<table cellspacing=0 cellpadding=5 width=590 
bgcolor=#f0f0f0 border=0>
<tbody> 
<tr>
<td  style=""FONT-SIZE: 87%; LINE-HEIGHT:150%"">

<!--▼画像▼-->

<img src=""http://image.rakuten.co.jp/s-garbo/cabinet/01591103/dw/accessories/fs4.jpg""><br>

<!--▼小タイトル▼-->

<p><font size=""4""><b>『毎日安心して使える着火剤』</b></font><br><br> 

<font size=""2"" color=""555555"">
<!--▼説明文▼-->

<p>●<b>パラフィン（石油系成分）不使用</b><br>
原料にはパラフィンのかわりにランプオイルが使用されていますので、石油臭がまったくありません。<br>
また、外装にはＰＶＣ（塩化ビニール）を使用していないため、燃焼されても有毒ガスなどは一切発生しません。<br>
火持ちも良く、1回に1つで着火することも可能です。火付きが悪い場合は追加して使えるのがこのサイズの良いところです。<br>
パッケージデザインなどが予告なしに変わる場合があります。<br><br>

※お子様やペットが触れないよう保管場所にはご注意ください※</p>

<font color=""e2517d"" font size=""3""><b>【スイス政府認証番号：88670】</font></font></b> </p>
                </td>
              </tr>
              </tbody> 
            </table>
入数：100袋<br>
パラフィン・塩化ビニール不使用<br><br>
↓その他のファイヤースターターはこちら↓<br><br>
<Font Color=""♯ff4500"">ファイヤースターター　フラムゴ</Font Color><br>

<Font><Font Color=""♯ff4500"">ファイヤースターター　フラムゴ（お徳セット）</Font>",※入荷しました※【ファイヤースターター】◆手軽に着火★薪ストーブ、アウトドアに！パラフィン不使用＆塩化ビニール不使用の安心安全着火剤【DWバーナーファイヤースターター（100個入）　FS4】：STOVE　HOUSE　GARBO,※入荷しました※【ファイヤースターター】◆手軽に着火★薪ストーブ、アウトドアに！パラフィン不使用＆塩化ビニール不使用の安心安全着火剤【DWバーナーファイヤースターター（100個入）　FS4】,薪ストーブに、アウトドアに手軽に使える着火剤。※入荷しました※【ファイヤースターター】◆手軽に着火★薪ストーブ、アウトドアに！パラフィン不使用＆塩化ビニール不使用の安心安全着火剤【DWバーナーファイヤースターター（100個入）　FS4】[rn]
40-8407,http://tshop.r10s.jp/tairyoukounyuu/cabinet/01799261/img59088775.jpg?fitin=700:700,1396.8000,,インテリア・寝具・収納 > その他,Message Board メッセージボード　マグネット4個付き【10P05Nov16】,5400円以上購入で送料・代引手数料無料！(北海道・沖縄除く),"<img src=""http://image.rakuten.co.jp/hat-shop/cabinet/zakka01/img58764792.jpg"" alt=""メッセージボード"" width=""600"" height=""600""><br>
<img src=""http://image.rakuten.co.jp/hat-shop/cabinet/zakka01/img58764793.jpg"" alt=""メッセージボード"" width=""600"" height=""700""><br>
<img src=""http://image.rakuten.co.jp/hat-shop/cabinet/zakka01/img58764794.jpg"" alt=""メッセージボード"" width=""600"" height=""640""><table class=""setumei"">
  
  <tr>
    <th width=""84"" align=""center"" scope=""col"">商品説明</th>
    <td width=""499""><p>壁に吊っても、立てかけても使える！<br>
      シンプルなデザインで、お部屋にも馴染みやすい。<br>
      メモやメッセージカードを貼り付けたり、<br>
      鍵やキーホルダーをかけたりもできます。<br>
      </p>    </td>
  </tr>
  <tr>
    <th scope=""col"">サイズ</th>
    <td>約幅48cm×高さ35cm</td>
  </tr>
  <tr>
    <th scope=""col"">重量</th>
    <td>約1.3kg</td>
  </tr>
  <tr>
    <th scope=""col"">素材</th>
    <td>スチール(粉体塗装)</td>
  </tr>
  
  
  
</table>
<br><br>",Message Board メッセージボード　マグネット4個付き【10P05Nov16】：MassMass,収納ボックス収納BOX収納クラフトボックスダンボール収納ハンガーアップルバスケット布団干しシート業務用壁掛け時計ゴミ箱ランドリーボックスウォールステッカーマスキングテープクリアーケースブーツ収納座れるぬいぐるみポストほうきアップルバスケットMessage Board メッセージボード　マグネット4個付き【10P05Nov16】,5400円以上購入で送料・代引手数料無料！(北海道・沖縄除く)。Message Board メッセージボード　マグネット4個付き【10P05Nov16】[rn]
