15-163701,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59779223.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～H24.07 YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～H24.07 YAM エクシーガ 2.5 NA 4WDボディ型式 ： DBA-YAMエンジン型式 ： FB25年式 ： H24.07～ 
<BR><BR>
特記事項

リヤバンパースカート（スタンダード）「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD[rn]
15-163702,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58686410.jpg?fitin=700:700,48720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズRMマフラーZC31S スイフト スポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
ZC31S スイフト スポーツボディ型式 ： CBA-ZC31Sエンジン型式 ： M16A年式 ： H17.09～H22.08 

<BR><BR>
特記事項

<BR>
オールチタニウムモデル 
AT/MT共通 
右側シングル出し 

<BR>別売： 
　バンパーカバー（073-81523）￥9,240 装着可能



<BR>
備考

 純正バンパーのマフラー開口部（左側）をドレスアップするオプションバンパーカバー（073-81523）がオススメ！",FGK（フジツボ）オーソライズRMマフラーZC31S スイフト スポーツ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズRMマフラーZC31S スイフト スポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズRMマフラーZC31S スイフト スポーツ[rn]
15-163703,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305778.jpg?fitin=700:700,25760.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスKマフラーMF21S MRワゴン NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
MG21S モコ NA 2WD・4WDボディ型式 ： UA,CBA-MG21S・LA,ABA-MG21Sエンジン型式 ： K6A年式 ： H14.04～H18.01 
<BR><BR>
MC22S ワゴンR NA 2WD マイナー後ボディ型式 ： UA-MC22Sエンジン型式 ： K6A年式 ： H14.09～H15.09 
<BR><BR>
MF21S MRワゴン NA 2WDボディ型式 ： LA,UA,CBA-MF21Sエンジン型式 ： K6A年式 ： H13.12～H18.01 






純正リヤロアスカート装着車共通、但しモデューロタイプZZ装着車取付不可",FGK（フジツボ）レガリスKマフラーMF21S MRワゴン NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスKマフラーMF21S MRワゴン NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスKマフラーMF21S MRワゴン NA 2WD[rn]
15-163704,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58735030.jpg?fitin=700:700,77280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーGRB インプレッサ WRX STI,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
GRB インプレッサ WRX STIボディ型式 ： CBA-GRBエンジン型式 ： EJ20年式 ： H19.10～  <BR><BR>
 GRF インプレッサ WRX STI A-Lineボディ型式 ： CBA-GRFエンジン型式 ： EJ25年式 ： H21.02～<BR><BR>

特記事項

<BR>
スペックC 取付不可
<BR>
備考
<BR><BR>",FGK（フジツボ）オーソライズＲマフラーGRB インプレッサ WRX STI：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーGRB インプレッサ WRX STI,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーGRB インプレッサ WRX STI[rn]
15-163705,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469756.jpg?fitin=700:700,113680.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>URJ202W ランドクルーザー 200
<BR>ボディ型式 ： CBA-URJ202W
<BR>エンジン型式 ： 1UR-FE
<BR>年式 ： H21.05～   

<BR>けん引フック(左右)要取り外し 
<BR>スペアタイヤを専用金具で移設(傾ける)",FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーURJ202W ランドクルーザー 200[rn]
15-163706,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973513.jpg?fitin=700:700,42560.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＫマフラー JF1 N-BOX NA 2WD 13マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>

JF1 N-BOX NA 2WD ’13マイナー後
    ボディ型式 ： DBA-JF1
    エンジン型式 ： S07A
    年式 ： H25.12～ 
<BR><BR>
特記事項 マイナー後標準バンパー専用
マイナー前（～H25.12）車両は取付不可
備考 規定の回転数に達しない為、近接排気騒音は4000rpmにて測定。",FGK（フジツボ）オーソライズＫマフラー JF1 N-BOX NA 2WD 13マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＫマフラー JF1 N-BOX NA 2WD 13マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＫマフラー JF1 N-BOX NA 2WD 13マイナー後[rn]
15-163707,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58475234.jpg?fitin=700:700,33488.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>NCP131 ヴィッツ RS 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H22.12～ 

<BR>NCP131 ヴィッツ RS G's 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H23.12～",FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS 1.5 2WD[rn]
15-163708,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59778885.jpg?fitin=700:700,44800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ <BR><BR>
特記事項
RS専用 
Wテール左右出し",FGK（フジツボ）オーソライズＳマフラーL375S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーL375S タント カスタム ターボ 2WD[rn]
15-163709,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469823.jpg?fitin=700:700,42560.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーJF1 N BOX カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
JF1 N BOX カスタム NA 2WDボディ型式 ： DBA-JF1エンジン型式 ： S07A年式 ： H23.12～
<BR><BR>

カスタム専用",FGK（フジツボ）オーソライズKマフラーJF1 N BOX カスタム NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーJF1 N BOX カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーJF1 N BOX カスタム NA 2WD[rn]
15-163710,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416796.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>クリッパー リオ ターボ 4WDボディ型式 ： ABA-U72Wエンジン型式 ： 3G83年式 ： H19.06～ クリッパー リオ ターボ 2WDボディ型式 ： ABA-U71Wエンジン型式 ： 3G83年式 ： H19.06～ タウンボックス ターボ 4WDボディ型式 ： ABA-U62Wエンジン型式 ： 3G83年式 ： H16.10～ タウンボックス ターボ 2WDボディ型式 ： ABA-U61Wエンジン型式 ： 3G83年式 ： H16.10～  <BR><BR>特記事項

<BR>
エアロバージョン リヤアンダースポイラー装着車共通 
寒冷地仕様車共通",FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラータウンボックス ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラータウンボックス ターボ 4WD[rn]
15-163711,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417134.jpg?fitin=700:700,25088.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL375S タント カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 L575S ムーヴ コンテ カスタム NA 2WDボディ型式 ： DBA-L575Sエンジン型式 ： KF-VE年式 ： H20.08～H23.06<BR><BR>特記事項

<BR>

CVT車、AT車共通、カスタム専用",FGK（フジツボ）オーソライズKマフラーL375S タント カスタム NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL375S タント カスタム NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL375S タント カスタム NA 2WD[rn]
