15-121601,http://tshop.r10s.jp/soukai/cabinet/69/4990110004769.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,薬用ホワイトコンク ボディローションCII(245mL)【ホワイトコンク】,ホワイトコンク★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション＞薬用ホワイトコンク ボディローションCII (245mL)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【薬用ホワイトコンク ボディローションCIIの商品詳細】<br>●美しく白いボディをキープするには、お肌のターンオーバーを整えることが大切です。ホワイトコンクボディローションは、輝く白い素肌を保つためのボディ用美容水です。<br>●グレープフルーツの香りがすっきり、さわやか<br>*美白とは日焼けによるメラニンの生成を抑え、シミ・そばかすを防ぐことです。<br><br>【使用方法】<br>・使いはじめは、液が出るまでポンプを押した後、ご使用ください。<br>・気になる部分は、たっぷりとお使いください。<br>・塗布後は、手の平でボディになじませてください。<br><br>【成分】<br>有効成分・・・グリチルリチン酸2K、アスコルビン酸2-グルコシド<br>その他の成分・・・八アセチル化ショ糖変性アルコール、パラベン、フェノキシエタノール、香料、POE硬化ヒマシ油、BG、ソウハクヒエキス、オレンジエキス、クエン酸、水酸化K、ヒドロキシエタンジホスホン酸4Na、乳酸、ブドウ糖、クエン酸、DL-リンゴ酸、茶エキス-1、ミリスチン酸デカグリセリル、濃グリセリン、メチルフェニルポリシロキサン、トリエチルヘキサン酸グリセリル、水<br>【注意事項】<br>・化粧品がお肌に合わないときは、ご使用を中止してください。<br>(1)ご使用中、赤み、はれ、かゆみ、刺激などの異常があらわれた場合<br>(2)ご使用したお肌に直接日光があたって(1)のような異常があらわれた場合<br>これらの場合、そのまま化粧品類のご使用を続けますと、症状を悪化させることがありますので、皮ふ科専門医などにご相談されることをおすすめします。<br>・傷、はれもの、湿疹などの異常のある部位には、お使いにならないで下さい。<br>・お肌に異常が生じていないかよく注意して使用してください。<br><br>【ブランド】<br>ホワイトコンク<br><br>【発売元、製造元、輸入元又は販売元】<br>マーナーコスメチックス<br><br>(WHITE CONC ボディーローション)<br><br>マーナーコスメチックス<br>272-0004 千葉県市川市原木1-3-31<br>0120-55-3760<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ボディケア/ブランド：ホワイトコンク/],薬用ホワイトコンク ボディローションCII(245mL)【ホワイトコンク】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション薬用ホワイトコンク ボディローションCII(245mL)【ホワイトコンク】,ホワイトコンク★税抜1900円以上で送料無料★。薬用ホワイトコンク ボディローションCII(245mL)【ホワイトコンク】[rn]
15-121602,http://tshop.r10s.jp/soukai/cabinet/25/4901008613925.jpg?fitin=700:700,1200.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,カントリー＆ストリーム 薬用グリーンボディローション(200mL)【カントリー＆ストリーム】,カントリー＆ストリーム★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション・クールタイプ＞カントリー＆ストリーム 薬用グリーンボディローション (200mL)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【カントリー＆ストリーム 薬用グリーンボディローションの商品詳細】<br>●気になる背中のニキビも防ぐ、オイルフリー処方の薬用ローション<br>●届きにくい場所にもスプレーできるので、ぬかりなくケアできます。<br>●いつの間にかできてしまうニキビを予防して、大胆にバックのあいたファッションや水着にもチャレンジできるかも？！<br>●有効成分：グリチルリチン酸2K、d-カンフル配合！<br>気になる背中や胸元のニキビも防ぎます。<br>●メントール(清涼剤)配合！<br>清涼感のあるローションが、皮脂などによりべたつきやすいお肌を引き締めます。<br>●植物性うるおい成分配合！<br>アロエエキス(オーガニック)、ローズマリーエキス(オーガニック)、ユーカリエキス、ドクダミエキス配合。お肌に潤いを与え、お肌のキメを整えます。<br>●便利なスプレー！<br>●逆さでも使えるので、手の届きにくい背中にも直接スプレーできます。<br><br>【効能 効果】<br>にきびを防ぐ、肌あれ、あれ性、肌を整える、肌を清潔にする、皮膚をすこやかに保つ、皮膚にうるおいを与える<br>【使用方法】<br>・背中や胸元など、ボディのニキビのできやすい部分に直接スプレーしてください。<br>・お風呂あがりなどの清潔なお肌にご使用ください。<br><br>【成分】<br>有効成分・・・グリチルリチン酸2K、d-カンフル<br>その他の成分・・・精製水、エタノール、BG、ジエチレントリアミン5酢酸5Na液、パラオキシ安息香酸メチル、クエン酸Na、クエン酸、メントール、アロエエキス-2、無水エタノール、茶エキス-1、銅クロロフィリンNa、ユーカリエキス、ドクダミエキス、ローズマリーエキス<br>【注意事項】<br>・お肌に異常がある時は使用しないでください。<br>・お肌に異常が生じていないかよく注意して使用してください。赤み、はれ、かゆみ、刺激、色抜け(白斑等)や黒ずみ等異常が現れた時は使用を中止し、皮膚科専門医等へのご相談をお勧めします。そのまま使用を続けると症状が悪化することがあります。<br>・目に入らないようにご注意ください。<br>・直射日光のあたる場所、極端に高温又は低温の所、お子様の手の届く所には保管しないでください。<br>・使用後はしっかりとキャップを閉めて保管してください。<br><br>【ブランド】<br>カントリー＆ストリーム<br><br>【発売元、製造元、輸入元又は販売元】<br>井田ラボラトリーズ<br><br>(Country＆Stream 薬用グリーンボディーローション)<br><br>井田ラボラトリーズ<br>162-8455 東京都新宿区市谷本村町1-1 住友市ヶ谷ビル3F<br>03-3260-0671<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ボディケア/ブランド：カントリー＆ストリーム/],カントリー＆ストリーム 薬用グリーンボディローション(200mL)【カントリー＆ストリーム】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションカントリー＆ストリーム 薬用グリーンボディローション(200mL)【カントリー＆ストリーム】,カントリー＆ストリーム★税抜1900円以上で送料無料★。カントリー＆ストリーム 薬用グリーンボディローション(200mL)【カントリー＆ストリーム】[rn]
15-121603,http://tshop.r10s.jp/soukai/cabinet/32/4901730160032.jpg?fitin=700:700,799.2000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルク(250mL)【Neutrogena(ニュートロジーナ)】[ボディクリーム ボディローション ボディミルク],Neutrogena(ニュートロジーナ)★税抜1900円以上で送料無料★,お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディミルク＞ニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルク (250mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z32/z4901730160032.jpg' width='100%'><br><br>【ニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルクの商品詳細】<br>●純度99％グリセリンが角層まで浸透し、1日中うるおいを持続し、肌を守ります。グリセリンは、自らの何倍もの水分を保持して、肌をうるおいで満たします。天然のグリセリンは、皮膚の角層にも存在し、角層内や肌表面にグリセリンを与えることで、肌の水分量を保つことができます。<br>●純度99％グリセリンを含むニュートロジーナ ノルウェーフォーミュラ ディープモイスチャーの独自処方は、1回の使用で角層奥まで浸透。適切な水分量を補給。うるおいを閉じ込めて1日中持続<br>●毎日使うことで、やわらかな、健康で美しい肌に保ちます。良く肌になじんで浸透するので、すぐに衣類を着られるような、ベタつかない使い心地。日中の保湿にぴったりです。<br><br>【使用方法】<br>・適量を手にとり、手・ひじ・ひざ・顔などの乾燥しやすい部分にご使用ください。<br><br>【成分】<br>水、グリセリン、ミネラルオイル、パルミチン酸イソプロピル、ワセリン、ジメチコン、ステアリルアルコール、ステアリン酸グリセリル、ステアリン酸PEG-100、パルミチン酸、ステアリン酸、フェノキシエタノール、エチルヘキシルグリセリン、(アクリロイルジメチルタウリンアンモニウム／Vp)コポリマー、(アクリレーツ／アクリル酸アルキル(C10-30))クロスポリマー、水酸化Na、EDTA-2Na<br>【注意事項】<br>・お肌に異常が生じていないかよく注意して使用してください。<br>・お肌に合わないとき、使用中又は使用した肌に直射日光があたって、赤み、はれ、かゆみ、刺激、色抜け(白斑等)や黒ずみ等の異常があらわれたら使用を中止し、皮フ科医等に相談してください。<br>・使い続けると症状が悪化することがあります。<br>・傷、腫物、発疹等異常のある部位には使わないでください。<br>・直射日光を避け、涼しい場所で保管してください。<br><br>【ブランド】<br>Neutrogena(ニュートロジーナ)<br><br>【発売元、製造元、輸入元又は販売元】<br>Ｊ＆Ｊ(ジョンソン＆ジョンソン )<br><br>(Neutrogena NORWEGIAN FORMULA deep moisture body milk ボディーミルク)<br><br>/(/F284702/)/<br><br>Ｊ＆Ｊ(ジョンソン＆ジョンソン )<br>101-0065 東京都千代田区西神田3丁目5番2号<br>0120-101110<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア/ブランド：Neutrogena(ニュートロジーナ)/],ニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルク(250mL)【Neutrogena(ニュートロジーナ)】[ボディクリーム ボディローション ボディミルク]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルク(250mL)【Neutrogena(ニュートロジーナ)】[ボディクリーム ボディローション ボディミルク],Neutrogena(ニュートロジーナ)★税抜1900円以上で送料無料★。ニュートロジーナ ノルウェーフォーミュラ ディープモイスチャー ボディミルク(250mL)【Neutrogena(ニュートロジーナ)】[ボディクリーム ボディローション ボディミルク][rn]
15-121604,http://tshop.r10s.jp/soukai/cabinet/21/4901008640921.jpg?fitin=700:700,800.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,フィアンセ ボディミルクローション ピュアシャンプーの香り(180g)【フィアンセ】,フィアンセ★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディミルク＞フィアンセ ボディミルクローション ピュアシャンプーの香り (180g)<br><br>★税抜1900円以上で送料無料★<br><br>【フィアンセ ボディミルクローション ピュアシャンプーの香りの商品詳細】<br>●ミルクなのにみずみずしい感触で、しっとりうるおうのにベタつかない！思わず触れたくなる肌へ<br>●お風呂上がりのボディケアに♪シャンプーの香りに包まれながら、ボディの保湿ケアで至福のひと時を・・・<br>●美容保湿成分配合(ヒアルロン酸、ベビーコラーゲン、シルクアミノ酸、アスコルビルリン酸Na、シア脂)<br>●肌荒れを防ぐ成分配合(グリチルレチン酸)<br><br>【使用方法】<br>・適量をとり、腕、足、全身にやさしくなじませてください。<br>※ボディ用ですので、お顔へのご使用はおやめください。<br><br>【成分】<br>水、BG、ミネラルオイル、エチルヘキサン酸セチル、エタノール、グリセリン、ワセリン、PEG-50水添ヒマシ油、香料、シア脂、海塩、アスコルビルリン酸Na、加水分解シルク、ウンシュウミカン果皮エキス、サクシノイルアテロコラーゲン、ヒアルロン酸Na、コレステロール(羊毛)、グリチルレチン酸ステアリル、セスキオレイン酸ソルビタン、ステアリン酸グリセリル、セスト-1、ステアリン酸、カルボマー、キサンタンガム、水酸化K、トコフェロール、EDTA-2Na、フェノキシエタノール、メチルパラベン、エチルパラベン<br>【注意事項】<br>・お肌に異常が生じてないか、よく注意して使用してください。お肌に合わないときは、ご使用をおやめください。<br>・異常が現れた時は使用を中止し、皮フ科専門医等へのご相談をお勧めします。<br>・異常のある部位にはお使いにならないでください。<br>・直射日光のあたる場所、極端に高温または低温のところ、お子様の手の届く所には保管しないでください。<br>・ご使用後はしっかりとキャップを閉めてください。<br><br>【ブランド】<br>フィアンセ<br><br>【発売元、製造元、輸入元又は販売元】<br>井田ラボラトリーズ<br><br>(ボディーミルクローション)<br><br>井田ラボラトリーズ<br>162-8455 東京都新宿区市谷本村町1-1 住友市ヶ谷ビル3F<br>03-3260-0671<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ボディケア/ブランド：フィアンセ/],フィアンセ ボディミルクローション ピュアシャンプーの香り(180g)【フィアンセ】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションフィアンセ ボディミルクローション ピュアシャンプーの香り(180g)【フィアンセ】,フィアンセ★税抜1900円以上で送料無料★。フィアンセ ボディミルクローション ピュアシャンプーの香り(180g)【フィアンセ】[rn]
15-121605,http://tshop.r10s.jp/soukai/cabinet/47/4954540117147.jpg?fitin=700:700,880.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,M mark 柚子(ゆず)ボディローション 詰替用(280mL)【M mark(エムマーク)】[ローション],M mark(エムマーク) / ローション★税抜1900円以上で送料無料★,お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション＞M mark 柚子(ゆず)ボディローション 詰替用 (280mL)<br><br>★税抜1900円以上で送料無料★<br><br>【M mark 柚子(ゆず)ボディローション 詰替用の商品詳細】<br>●肌になじみやすいシアバターと天然うるおい成分グリセリンを配合しました。植物性ワックスであるカルナウバロウの働きでしっとり、肌表面の感触はさらっとするのが特徴です。乾燥による肌のカサカサやかゆみを防ぐ全身用乳液です。<br>●合成香料・着色料・鉱物油・パラベン無添加。使い心地を考え、厳選した原料を使用しました。<br>●入浴後や就寝前の肌に、気分転換したいときにも、柚子果皮抽出精油のさわやかな柑橘系の香りです。<br><br>【詰め替え方】<br>・本品は詰め替え用です。容器・スプレー・ノズルなどをお湯でよく洗い完全に乾燥させてから、本品を全量詰め替えてご使用ください。<br>・詰め替え後はパッケージ上に印字してある製造番号を切り取り、本体容器に貼り付けるなどして保管してください。お問い合わせの際、必要な場合があります。<br><br>【成分】<br>水、BG、トリ(カプリル／カプリン酸)グリセリル、グリセリン、ステアリン酸スクロース、シア脂、ベヘニルアルコール、カルナウバロウ、ベタイン、ステアリン酸グリセリル、ステアリン酸PG、ユズ果皮油、トコフェロール、アルギニン、カルボマー、オクトキシグリセリン<br>【注意】<br>・お肌に異常がある時(傷・湿疹等)、またお肌に合わないとき(赤み・かゆみ・刺激など)はご使用をおやめ下さい。使用を継続されると症状を悪化させることがありますので、皮膚科専門医にご相談ください。<br>・天然精油は紫外線などの影響で香りや色調が変わる場合がありますがご使用上支障はありません。<br>・直射日光や高温低温・多湿を避けて保管し、お早めにご使用ください。<br><br>【ブランド】<br>M mark(エムマーク)<br><br>【発売元、製造元、輸入元又は販売元】<br>松山油脂<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>(Mマーク 0.28L)<br><br>松山油脂<br>131-0042 東京都墨田区東墨田2-17-8<br>0120-800642<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア/ブランド：M mark(エムマーク)/],M mark 柚子(ゆず)ボディローション 詰替用(280mL)【M mark(エムマーク)】[ローション]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションM mark 柚子(ゆず)ボディローション 詰替用(280mL)【M mark(エムマーク)】[ローション],M mark(エムマーク) / ローション★税抜1900円以上で送料無料★。M mark 柚子(ゆず)ボディローション 詰替用(280mL)【M mark(エムマーク)】[ローション][rn]
15-121606,http://tshop.r10s.jp/soukai/cabinet/35/4901872873135.jpg?fitin=700:700,591.2000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,シーブリーズ 全身ローション センシティブ(230mL)【シーブリーズ】[ローション],シーブリーズ / ローション★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション・クールタイプ＞シーブリーズ 全身ローション センシティブ (230mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z35/z4901872873135.jpg' width='100%'><br><br>【シーブリーズ 全身ローション センシティブの商品詳細】<br>●素肌救援！デリケートな肌を清潔に整え、全身をクールにひきしめる薬用ローションです。<br>●やさしい使い心地で、お肌を清潔に保ち、肌荒れを防ぎます。<br>●香りもやさしい微香性。<br><br>＜こんな時＞<br>・リフレッシュしたい時に。仕事や勉強、ドライブ時にスッキリ爽快リフレッシュ<br>・全身のマッサージに。全身マッサージでお肌をクールにひきしめます。<br>・スポーツの後に。汗のベタつきを取り除き、素肌爽快<br>・日やけしたお肌に。ほてったお肌を心地よくクールに。<br>・あぶらっぽいお肌に。汚れやすいお肌を、さっぱり清潔に。<br>・メイク落としの後にお肌をスッキリ健やかに。<br>・入浴、シャワーの後に。爽やかに全身をリフレッシュ。<br><br>【成分】<br>水、エタノール、カンフル、ジグセリン、クエン酸Na、水酸化Na、安息香酸、メチルパラベン、フェノキシタノール、プロピルパラベン、香料<br>【成分】<br>水、エタノール、カンフル、ジグリセリン、クエン酸Na、水酸化Na、安息香酸、メチルパラベン、フェノキシエタノール、プロピルパラベン、香料<br><br>【ブランド】<br>シーブリーズ<br><br>【発売元、製造元、輸入元又は販売元】<br>エフティ資生堂<br><br>(SEABREEZE 0.23L)<br><br>/(/F218103/F247903/F218103/F200406/F200406/F218103/)/<br><br>エフティ資生堂<br>105-8310 東京都港区東新橋1丁目6番2号<br>0120-81-4710<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア/ブランド：シーブリーズ/],シーブリーズ 全身ローション センシティブ(230mL)【シーブリーズ】[ローション]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションシーブリーズ 全身ローション センシティブ(230mL)【シーブリーズ】[ローション],シーブリーズ / ローション★税抜1900円以上で送料無料★。シーブリーズ 全身ローション センシティブ(230mL)【シーブリーズ】[ローション][rn]
15-121607,http://tshop.r10s.jp/soukai/cabinet/84/4954540109784.jpg?fitin=700:700,1120.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,M mark 柚子(ゆず)ボディローション(300mL)【M mark(エムマーク)】[松山油脂 ローション],M mark(エムマーク) / 松山油脂 ローション,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション＞M mark 柚子(ゆず)ボディローション (300mL)<br><br>★税抜1900円以上で送料無料★<br><br>【M mark 柚子(ゆず)ボディローションの商品詳細】<br>●肌になじみやすいシアバターと天然潤い成分グリセリンを配合。植物性ワックスであるカルナウバロウの働きで角質層の内部はしっとり、肌表面の感触はさらっとするのが特長です。乾燥による肌のカサカサやかゆみを防ぐ全身用乳液です。<br>●柚子果皮抽出精油のさわやかな柑橘系の香りです。<br><br>【使用方法】<br>・入浴後や就寝前、適量を清潔な肌になじませます。<br><br>【成分】<br>水、BG、トリ(カプリル酸／カプリン酸)グリセリル、グリセリン、ステアリン酸スクロース、シア脂、ベヘニルアルコール、カルナウバロウ、ベタイン、ステアリン酸グリセリル、ステアリン酸PG、ユズ果皮油、トコフェロール、アルギニン、カルボマー、エチルヘキシルグリセリン<br>【注意】<br>・お肌に異常がある時、またお肌に合わない時はご使用をお止めください。<br>・直射日光、極端な高温低温、多湿を避けて保管し、開封後はお早めにご使用ください。<br><br>【ブランド】<br>M mark(エムマーク)<br><br>【発売元、製造元、輸入元又は販売元】<br>松山油脂<br><br>(Mマーク 0.3L)<br><br>松山油脂<br>131-0042 東京都墨田区東墨田2-17-8<br>0120-800642<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ボディケア/ブランド：M mark(エムマーク)/],M mark 柚子(ゆず)ボディローション(300mL)【M mark(エムマーク)】[松山油脂 ローション]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションM mark 柚子(ゆず)ボディローション(300mL)【M mark(エムマーク)】[松山油脂 ローション],M mark(エムマーク) / 松山油脂 ローション。M mark 柚子(ゆず)ボディローション(300mL)【M mark(エムマーク)】[松山油脂 ローション][rn]
15-121608,http://tshop.r10s.jp/soukai/cabinet/66/4526040002966.jpg?fitin=700:700,1440.0000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ジュネスシークレット ヘア＆ボディミスト(150mL)[ローション],ローション★税抜1900円以上で送料無料★,お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション＞ジュネスシークレット ヘア＆ボディミスト (150mL)<br><br>★税抜1900円以上で送料無料★<br><br>【ジュネスシークレット ヘア＆ボディミストの商品詳細】<br>●ふわりと香るフレッシュ＆フローラル！すれ違う時に思わず振り返りたくなるイイ香り<br>フレッシュフローラルをベースにクラシックローズや華やかなフリージア、アンバーやシダーウッドが織りなすセクシャルな香調です。男性だけでなく女性にも好まれるやさしい香りをぜひ体感してください。<br>●ヘアコロンに<br>タバコや焼き肉、イヤな臭いから髪をガード！<br>●パーマ・カラーリングした髪に<br>紫外線やドライヤー、カラーリングなどで傷んだ髪に潤いを与えます。<br>●ボディに<br>・ヒアルロン酸やコラーゲン+リピジュア(保湿力はヒアルロン酸の約2倍)配合で、お肌に潤いを与えてくれます。<br>・ヒマワリ種子エキス、ワサビノキ種子エキスを配合<br>●ノンシリコン・パラベンフリー<br><br>【成分】<br>水、エタノール、BG、PEG-40水添ヒマシ油、香料、ヒアルロン酸Na、ユビキノン、水溶性コラーゲン、ワサビノキ種子エキス、ヒマワリ種子エキス、ポリクオタニウムー51(リピジュア)、水添レシチン、水添ココグリセリル、グリセリン、オクチルドデカノール、安息香酸Na、フェノキシエタノール<br><br>【発売元、製造元、輸入元又は販売元】<br>プライムテック<br><br>プライムテック<br>259-0122 神奈川県中郡二宮町富士見が丘1-1-33号<br>0463-37-4880<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア],ジュネスシークレット ヘア＆ボディミスト(150mL)[ローション]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションジュネスシークレット ヘア＆ボディミスト(150mL)[ローション],ローション★税抜1900円以上で送料無料★。ジュネスシークレット ヘア＆ボディミスト(150mL)[ローション][rn]
15-121609,http://tshop.r10s.jp/soukai/cabinet/30/4901730130530.jpg?fitin=700:700,569.6000,,美容・コスメ・香水 > ボディケア > ボディローション・ミルク,ジョンソン ボディケア リッチスパ プレミアムローション(200g)【ジョンソンボディケア】[ボディミルク 保湿 保湿ケア 乾燥肌 スキンケア 乳液],ジョンソンボディケア★税抜1900円以上で送料無料★,お店TOP＞化粧品・コスメ・ビューティー＞ボディケア＞ボディローション＞ジョンソン ボディケア リッチスパ プレミアムローション (200g)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z30/z4901730130530.jpg' width='100%'><br><br>【ジョンソン ボディケア リッチスパ プレミアムローションの商品詳細】<br>●ジョンソン独自のプレミアム美容保湿処方が肌の奥(角層)まで浸透して、うるおいを閉じこめます。<br>●肌のキメを整える独自のスパミネラルと美容ビタミン、肌にふっくらとしたハリを与えるザクロエキスを配合したスパミネラル処方。うるおいに満ちた、シルクのような、なめらかな肌へ。<br>●甘く濃厚な香りが、あなたの気持ちを贅沢に満たしながら、うっとりとさせてくれます。<br>●ザクロとジャスミンの香り<br><br>【使用方法】<br>適量を手にとり、腕、足などの全身にお使いください。<br><br>【成分】<br>水、グリセリン、ミネラルオイル、ソルビトール、シア脂、カプリリルグリコール、カルボマー、ステアリン酸グリセリル、ステアリン酸PEG-100、PEG-40水添ヒマシ油、香料、フェノキシエタノール、水酸化Na、アニス酸、ザクロ果実エキス、塩化Na、オレイン酸グルセリル、ポリメタクリル酸メチル、酢酸トコフェロール、アスパラギン酸Mg、グルコン酸亜鉛、アスコルビン酸、パントテン酸、パルミチン酸レチノール、グルコン酸銅<br>【注意事項】<br>・お肌に合わない時、また、傷、発疹等異常のある時は使わないでください。<br>・刺激等の異常があらわれたら使用を中止し、皮膚科医等に相談してください。使い続けると症状が悪化することがあります。<br>・直射日光を避け、涼しい所で保管してください。<br>・幼児の手の届かない所に保管してください。<br>・凍結厳禁<br><br>【ブランド】<br>ジョンソンボディケア<br><br>【発売元、製造元、輸入元又は販売元】<br>Ｊ＆Ｊ(ジョンソン＆ジョンソン )<br><br>/(/F292504/)/<br><br>Ｊ＆Ｊ(ジョンソン＆ジョンソン )<br>101-0065 東京都千代田区西神田3丁目5番2号<br>0120-101110<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ボディケア/ブランド：ジョンソンボディケア/],ジョンソン ボディケア リッチスパ プレミアムローション(200g)【ジョンソンボディケア】[ボディミルク 保湿 保湿ケア 乾燥肌 スキンケア 乳液]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションジョンソン ボディケア リッチスパ プレミアムローション(200g)【ジョンソンボディケア】[ボディミルク 保湿 保湿ケア 乾燥肌 スキンケア 乳液],ジョンソンボディケア★税抜1900円以上で送料無料★。ジョンソン ボディケア リッチスパ プレミアムローション(200g)【ジョンソンボディケア】[ボディミルク 保湿 保湿ケア 乾燥肌 スキンケア 乳液][rn]
