15-193001,http://tshop.r10s.jp/ebest/cabinet/1037/4905009231935.jpg?fitin=700:700,2176.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ LIA-28P リジェロ LIA-28P シルバー,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■表面をフラットにしたシンプルでおしゃれなデザインのアルミケースです。<br>■取り外し可能な仕切り板(長2枚、短3枚)が付いています。<br>■ウレタンスポンジ付で、収納物を衝撃から保護します。<br>●外寸(mm)間口x奥行x高さ:280x230x95<br>●有効内寸(mm)間口x奥行x高さ:260x185x40<br>●色:シルバー<br><br>材質仕上<br>･アルミニウム、ABS樹脂、スチール<br><br>セット内容/付属品<br>･仕切板：5枚",アイリスオーヤマ LIA-28P リジェロ LIA-28P シルバー：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ LIA-28P リジェロ LIA-28P シルバー,【通常4日程度にて出荷】。アイリスオーヤマ LIA-28P リジェロ LIA-28P シルバー[rn]
15-193002,http://tshop.r10s.jp/ebest/cabinet/1037/4905009186037.jpg?fitin=700:700,2534.4000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ AM-35T アルミケース 360×200×160 シルバー,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■ハードな質感と耐久性を兼ね備えたアルミ製工具ケースです。<br>■小物収納に便利な中皿が付いています。<br>■内装がウレタン製スポンジなので、ケース内側も傷が付きにくく、収納物を衝撃から保護します。<br>■バックル部分をロックできるカギ付です。<br>●外寸(mm)間口x奥行x高さ:360x200x160<br>●有効内寸(mm)間口x奥行x高さ:340x165x130<br><br>材質仕上<br>･本体:アルミニウム(エポキシ粉体塗装)<br>･インナー:ポリプロピレン(PP)<br><br>セット内容/付属品<br>･中皿<br>･カギ：2個",アイリスオーヤマ AM-35T アルミケース 360&times;200&times;160 シルバー：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ AM-35T アルミケース 360&times;200&times;160 シルバー,【通常4日程度にて出荷】。アイリスオーヤマ AM-35T アルミケース 360&times;200&times;160 シルバー[rn]
15-193003,http://tshop.r10s.jp/ebest/cabinet/103/4905009765188.jpg?fitin=700:700,520.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ CC-252S クリアケース CC-252S,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■文具用品や乾電池(単3サイズ)などを収納できるクリアケースです。<br>■透明度が高いので、内容物をしっかり確認できます。<br>■固定の仕切板の他に、自由に仕切れる仕切板付です。<br>●外寸(mm)間口x奥行x高さ:234x171x28<br>●有効内寸(mm)間口x奥行x高さ:226x98x22<br>●最大コマ数:12<br>●仕切り板枚数(枚):長1短9<br><br>材質仕上<br>･ポリプロピレン(PP)",アイリスオーヤマ CC-252S クリアケース CC-252S：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ CC-252S クリアケース CC-252S,【在庫なし】。アイリスオーヤマ CC-252S クリアケース CC-252S[rn]
15-193004,http://tshop.r10s.jp/ebest/cabinet/1037/4905009277414.jpg?fitin=700:700,169.6000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ WC-135 パーツ収納 ウエストケース137×81×70,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■ねじ･釘類を携帯できる「ウエストケース」です。<br>■各ウエストケースはベルトに装着して携帯可能です。<br>●外寸(mm)間口x奥行x高さ:137x81x70<br>●有効内寸(mm)間口x奥行x高さ:132x60x56<br>●色:クリア<br>●適合ケース:UC-6W<br><br>材質仕上<br>･本体:ポリプロピレン(PP)<br>･取手:ポリプロピレン(PP)",アイリスオーヤマ WC-135 パーツ収納 ウエストケース137&times;81&times;70：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ WC-135 パーツ収納 ウエストケース137&times;81&times;70,【在庫なし】。アイリスオーヤマ WC-135 パーツ収納 ウエストケース137&times;81&times;70[rn]
15-193005,http://tshop.r10s.jp/ebest/cabinet/103/4905009765126.jpg?fitin=700:700,448.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ CC-213S クリアケース CC-213S,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■文具用品や乾電池(単3サイズ)などを収納できるクリアケースです。<br>■透明度が高いので、内容物をしっかり確認できます。<br>●外寸(mm)間口x奥行x高さ:210x149x38<br>●有効内寸(mm)間口x奥行x高さ:202x85x32<br>●最大コマ数:12<br>●ケース深さ(mm):約32<br>●仕切り板枚数(枚):長1短9<br><br>材質仕上<br>･ポリプロピレン(PP)<br><br>セット内容/付属品<br>･仕切板",アイリスオーヤマ CC-213S クリアケース CC-213S：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ CC-213S クリアケース CC-213S,【在庫なし】。アイリスオーヤマ CC-213S クリアケース CC-213S[rn]
15-193006,http://tshop.r10s.jp/ebest/cabinet/103/4905009007059.jpg?fitin=700:700,2161.6000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ 500-G 工具ケース ハードケース 470×240×230 グレー,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■内部は大型中皿の2段重ねになっています。下段は移動可能な仕切りが付いているので部品などの整理に便利です。<br>●色:グレー<br>●シリンダ錠(別売):取付可<br>●有効内寸(mm)間口x奥行x高さ:420x180x170<br>●外寸(mm)間口x奥行x高さ:470x240x230<br><br>材質仕上<br>･本体･中皿:ポリプロピレン(PP)<br>･取手･バックル:ABS樹脂<br><br>セット内容/付属品<br>･中皿：2個",アイリスオーヤマ 500-G 工具ケース ハードケース 470&times;240&times;230 グレー：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ 500-G 工具ケース ハードケース 470&times;240&times;230 グレー,【通常4日程度にて出荷】。アイリスオーヤマ 500-G 工具ケース ハードケース 470&times;240&times;230 グレー[rn]
15-193007,http://tshop.r10s.jp/ebest/cabinet/103/4905009005017.jpg?fitin=700:700,1320.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ 37-B 小物ケース マイキット 370×200×180 ブラック,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■多目的に使える万能ケースです。<br>●色:ブラック<br>●シリンダ錠(別売):取付不可<br>●有効内寸(mm)間口x奥行x高さ:335x155x80<br>●外寸(mm)間口x奥行x高さ:370x200x180<br><br>材質仕上<br>･本体:ポリプロピレン(PP)<br>･バックル:ABS樹脂",アイリスオーヤマ 37-B 小物ケース マイキット 370&times;200&times;180 ブラック：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ 37-B 小物ケース マイキット 370&times;200&times;180 ブラック,【通常4日程度にて出荷】。アイリスオーヤマ 37-B 小物ケース マイキット 370&times;200&times;180 ブラック[rn]
15-193008,http://tshop.r10s.jp/ebest/cabinet/103/4905009765096.jpg?fitin=700:700,284.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,アイリスオーヤマ CC-182S クリアケース CC-182S,,"<table width=""100%"" border=""0"" cellspacing=""2"" cellpadding=""2""><tr><td width=""100%""><b>▼在庫状況のご確認</b></td></tr><tr><td>正確な在庫状況は下記バナー「在庫確認」で、必ずご確認ください。</td></tr><tr><td><img width=""100%"" alt=""在庫状況"" src=""http://image.rakuten.co.jp/ebest/cabinet/banner/sp_ban_stock_640.jpg"" border=""0""/></td></tr><tr><td><img src=""http://image.rakuten.co.jp/ebest/cabinet/img_fa2016/spacer.gif"" height=""10""/></td></tr></table><br>■文具用品や乾電池(単3サイズ)などを収納できるクリアケースです。<br>■透明度が高いので、内容物をしっかり確認できます。<br>■固定の仕切板の他に、自由に仕切れる仕切板付です。<br>●外寸(mm)間口x奥行x高さ:171x117x28<br>●有効内寸(mm)間口x奥行x高さ:164x70x22<br>●最大コマ数:12<br>●仕切り板枚数(枚):長1短9<br><br>材質仕上<br>･ポリプロピレン(PP)",アイリスオーヤマ CC-182S クリアケース CC-182S：イーベストPC・家電館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得パソコン家電オーディオ美容健康モバイルＰＤＡダイエットテレビミニコンビデオソニースカパーT-falティファール日用品スポーツおもちゃゲームお買い得アイリスオーヤマ CC-182S クリアケース CC-182S,【在庫なし】。アイリスオーヤマ CC-182S クリアケース CC-182S[rn]
15-193009,http://tshop.r10s.jp/minatodenk/cabinet/013/mt-0012646-tosa.jpg?fitin=700:700,4784.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,ミナト 3段ツールボックス TB-30 (引き出し付き/高級ベアリング付きレール) [工具箱 ツールチェスト][r10][s1-120],,"<table border=""0"" cellpadding=""8"" cellspacing=""1"" bgcolor=""#999999"" width=""100%"">
<tr>
<td bgcolor=""#F6F6F6"" align=""center"" width=""25%""><font color=""#666666""><b>決済手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=""#FFF3F3"" align=""center""><font color=""#C82626""><b>1万円以上で送料無料</b></font></td>
<td bgcolor=""#FFFFFF"">1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=""#F9F9FF"" align=""center""><font color=""#3763C7""><b>代引手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き手数料が無料です。代引決済の場合、商品のお引渡し時に代金をお支払い下さい。</td>
</tr>
<tr>
<td bgcolor=""#FEF8F3"" align=""center""><font color=""#EA4D00""><b>即日発送予定</b></font></td>
<td bgcolor=""#FFFFFF"">営業日の午前中までのご注文で即日発送可能です。</td>
</tr>
</table>
<br>

<center><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/ranking2/mt-0012646-161020.jpg"" width=""100%""><br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/011/tb-140822-t01-2016.jpg"" width=""100%""><br><br>プロからDIY用途まで幅広くご使用いただける、３段式の大容量型ツールボックスです。上段はよく使う工具入れに、引き出し部分に小物を収納するなど、整理・収納性がバツグンです。引き出しのレール部分には高級ベアリングを採用しスムーズな出し入れが可能です。また小型で省スペース設計のため、車載等の携帯用途にもオススメです。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-l11.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>３段式で工具を大量に収納可能！</b></font><br>上段はよく使う工具を入れやすいトレイエリア、下段は小物の整理・収納がしやすい引き出しとなっています。35kgまでの工具類を収納可能です。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-l12.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>高級ベアリングでスムーズな出し入れ！</b></font><br>引き出しのレール部分には高級ベアリングを採用しスムーズな出し入れが可能です。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-l13.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>フタと連動したロック機能！</b></font><br>上部のフタとロック機能が連動しているため、フタが閉まった状態では引き出しが開きません。<br>※奥まで押し込まないとロック機能は働きません。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/tb-140726-l56-sh2.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>２色のカラーバリエーション</b></font><br>本体カラーはマットブラックとオレンジの２色があり、お好みでカラーをご選択頂けます。見た目にも美しく洗練されたスタイリッシュなデザインです。<br><br>
<img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0012646-tkshi1.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>6.6kgの超軽量設計！</b></font><br>持ち運びに便利な6.6kgの超軽量ボディです。<br><br>

<img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-l21.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>中皿が標準付属！</b></font><br>すぐに取り出せ、工具を入れやすい中皿が標準で付属しています。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-l22.jpg"" width=""90%""><br><br><font color=""#CC1111""><b>サイドに持ちやすい持ち手付き</b></font><br>手になじむ大型持ち手があるため、重たくなった本体も楽に運べます。<br><br><table border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"" width=""100%""><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">型式</td><td>TB-30</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">段数</td><td>3段</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">引き出し</td><td>2段</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">引き出し耐重圧</td><td>12kg</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">最大荷重</td><td>35kg</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">重量</td><td>6.6kg</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" colspan=""2"">塗装</td><td>表面塗装仕上げ</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" rowspan=""4"">サイズ</td><td bgcolor=""#F0F0F0"">全体</td><td>W497×D253×H289mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">上段</td><td>W460×D210×H85mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">引き出し</td><td>W390×D210×H50mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">中皿</td><td>W450×D188×H40mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" rowspan=""2"">材質</td><td bgcolor=""#F0F0F0"">本体</td><td>強化PP・スチール</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">中皿</td><td>強化PP</td></tr></table><br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/003/tb-140726-s11.jpg"" width=""50%""><br><br><b>■ミナト ツールボックス一覧</b><br>
<table width=""100%"" border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
<tr bgcolor=""#F0F0F0"" align=""center"">
<td width=""9%"">段 数</td>
<td width=""15%""><b>3段</b></td>
<td width=""15%""><b>4段</b></td>
<td width=""15%""><b>5段</b></td>
<td width=""21%""><b>5段・スリム型<br>キャリー付き</b></td>
<td width=""21%""><b>4段・分割型<br>キャリー付き</b></td>
</tr>
<tr bgcolor=""#F0F0F0"" align=""center"">
<td>型 式</td>
<td>TB-30</td>
<td>TB-40</td>
<td>TB-50</td>
<td>TB-50T</td>
<td>TB-40DX</td>
</tr>
<tr bgcolor=""#FFFFFF"" align=""center"">
<td bgcolor=""#F0F0F0"">外 観</td>
<td></td>
<td></td>
<td></td>
<td></td>
<td></td>
</tr>
<tr bgcolor=""#FFFFFF"" align=""center"">
<td bgcolor=""#F0F0F0"">最大<br>荷重</td>
<td>35kg</td>
<td>40kg</td>
<td>40kg</td>
<td>40kg</td>
<td>75kg</td>
</tr>
<tr bgcolor=""#FFFFFF"" align=""center"">
<td bgcolor=""#F0F0F0"">サイズ<br>W×D×H<br>(mm)</td>
<td>497×253×289</td>
<td>497×253×407</td>
<td>497×253×407</td>
<td>410×260×550</td>
<td>520×320×720</td>
</tr>
<tr bgcolor=""#FFFFFF"" align=""center"">
<td bgcolor=""#F0F0F0"">重 量</td>
<td>6.6kg</td>
<td>9.4kg</td>
<td>9.4kg</td>
<td>10kg</td>
<td>14.3kg</td>
</tr>
</table>
<br>
<br></center>",ミナト 3段ツールボックス TB-30 (引き出し付き/高級ベアリング付きレール) [工具箱 ツールチェスト][r10][s1-120]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ミナト 3段ツールボックス TB-30 (引き出し付き/高級ベアリング付きレール) [工具箱 ツールチェスト][r10][s1-120],【1万円以上で送料無料】【代引/法人後払い/コンビニ手数料0円】。ミナト 3段ツールボックス TB-30 (引き出し付き/高級ベアリング付きレール) [工具箱 ツールチェスト][r10][s1-120][rn]
15-193010,http://tshop.r10s.jp/minatodenk/cabinet/fs/0105/fs-0109647.jpg?fitin=700:700,108.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,リングスター プチット PT-98 4963241005394 [作業工具 工具箱 プラスチック製][r13][s1-120],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引手数料無料</b></font></td>
<td bgcolor=#FFFFFF>自社倉庫より発送の為、代引決済がご利用いただけます。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～4<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～4営業日後の出荷を予定しております。</td>
</tr>
</table>
<br><b>小物収納に。</b><br><br>
<b>リングスター プチット PT-98 4963241005394</b><br><br>
小物収納に最適。<br><br>
<b>■特徴</b><br>
・くすり・釣り具・文具・アクセサリーなどの収納・携帯に便利です。<br>
<br>
<b>■仕様</b><br>
・8コマ。<br>
・個別収納。<br>
・品名シール付。<br>
・寸法 : 90×67×23mm<br>
<br>
<b>■材質</b><br>
・PP。<br>
<br>",リングスター プチット PT-98 4963241005394 [作業工具 工具箱 プラスチック製][r13][s1-120]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)リングスター プチット PT-98 4963241005394 [作業工具 工具箱 プラスチック製][r13][s1-120],【1万円以上で送料無料】【代引き／後払い／コンビニ手数料0円】。リングスター プチット PT-98 4963241005394 [作業工具 工具箱 プラスチック製][r13][s1-120][rn]
