15-19201,http://tshop.r10s.jp/kys/cabinet/ske01/h1-tan.jpg?fitin=700:700,52356.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-7562,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>●（株）サカエ<br><br>【仕様】<br>●寸法:W2300×D1100×H3000mm<br>●段数:2段<br>●耐荷重(棚1段当り):1000kg<br>●耐荷重(棚1連当り):7000kg<br>●本体色:グリーン<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>",【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-7562：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-7562,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-7562[rn]
15-19202,http://tshop.r10s.jp/kys/cabinet/ske01/h1-ren.jpg?fitin=700:700,34199.2000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5552R,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>●（株）サカエ<br><br>【仕様】<br>●寸法:W2300×D1000×H2100mm<br>●段数:2段<br>●耐荷重(棚1段当り):1000kg<br>●耐荷重(棚1連当り):7000kg<br>●本体色:グリーン<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>",【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5552R：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5552R,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5552R[rn]
15-19203,http://tshop.r10s.jp/kys/cabinet/ske01/h1-tan.jpg?fitin=700:700,56530.4000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE パレットラック H2-7332,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>●（株）サカエ<br><br>【仕様】<br>●寸法:W2700×D900×H3000mm<br>●段数:2段<br>●耐荷重(棚1段当り):2000kg<br>●耐荷重(棚1連当り):7000kg<br>●本体色:グリーン<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>",【運賃見積り】【直送品】サカエ SAKAE パレットラック H2-7332：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS【運賃見積り】【直送品】サカエ SAKAE パレットラック H2-7332,【運賃見積り】【直送品】サカエ SAKAE パレットラック H2-7332[rn]
15-19204,http://tshop.r10s.jp/plus1tools/cabinet/ske01/h1-ren.jpg?fitin=700:700,34896.8000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5562R,,"<p><img src=""http://image.rakuten.co.jp/plus1tools/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>●（株）サカエ<br><br>【仕様】<br>●寸法:W2300×D1100×H2100mm<br>●段数:2段<br>●耐荷重(棚1段当り):1000kg<br>●耐荷重(棚1連当り):7000kg<br>●本体色:グリーン<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>",【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5562R：プラスワンツールズ,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5562R,【運賃見積り】【直送品】サカエ SAKAE パレットラック H1-5562R[rn]
15-19205,http://tshop.r10s.jp/kg-maido/cabinet/ske01/nkr-3.jpg?fitin=700:700,39634.4000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中軽量キャスターラック NSR-9143GGK,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W900×D600×H1680mm<br>●段数:3段<br>●耐荷重(棚1段当り):200kg<br>●耐荷重(1台当り):720kg<br>●本体色:グリーン<br>●キャスター:130φゴム車(固定2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中軽量キャスターラック NSR-9143GGK：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中軽量キャスターラック NSR-9143GGK,【運賃見積り】【直送品】サカエ SAKAE 中軽量キャスターラック NSR-9143GGK[rn]
15-19206,http://tshop.r10s.jp/kg-maido/cabinet/noimg01.gif?fitin=700:700,4909.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック用棚板セット NKR-1260GN,,<p>【メーカー名】<br>●（株）サカエ<br><br>【仕様】<br>●寸法:W1200×D600mm<br>●耐荷重(棚1段当り):300kg<br>●本体色:グリーン<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック用棚板セット NKR-1260GN：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック用棚板セット NKR-1260GN,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック用棚板セット NKR-1260GN[rn]
15-19207,http://tshop.r10s.jp/kg-maido/cabinet/ske01/nkr-4.jpg?fitin=700:700,55085.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154WGJ,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W900×D750×H1380mm<br>●段数:4段<br>●耐荷重(棚1段当り):300kg<br>●耐荷重(1台当り):720kg<br>●本体色:ホワイトグレー<br>●キャスター:130φゴム車(自在2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154WGJ：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154WGJ,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154WGJ[rn]
15-19208,http://tshop.r10s.jp/kg-maido/cabinet/ske01/nkr-4.jpg?fitin=700:700,55085.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154GGJ,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W900×D750×H1380mm<br>●段数:4段<br>●耐荷重(棚1段当り):300kg<br>●耐荷重(1台当り):720kg<br>●本体色:グリーン<br>●キャスター:130φゴム車(自在2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154GGJ：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154GGJ,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-8154GGJ[rn]
15-19209,http://tshop.r10s.jp/kg-maido/cabinet/ske01/mk-3.jpg?fitin=700:700,67326.4000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-8723G,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W1800×D450×H1376mm<br>●段数:3段<br>●耐荷重(棚1段当り):200kg<br>●耐荷重(1台当り):450kg<br>●本体色:グリーン<br>●キャスター:125φゴム車(自在2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-8723G：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-8723G,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-8723G[rn]
15-19210,http://tshop.r10s.jp/kg-maido/cabinet/ske01/nkr-4.jpg?fitin=700:700,78805.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-9754WUK,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W1800×D750×H1680mm<br>●段数:4段<br>●耐荷重(棚1段当り):300kg<br>●耐荷重(1台当り):720kg<br>●本体色:ホワイトグレー<br>●キャスター:130φウレタン車(固定2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-9754WUK：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-9754WUK,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック NKR-9754WUK[rn]
15-19211,http://tshop.r10s.jp/kg-maido/cabinet/ske01/mk-4.jpg?fitin=700:700,80792.8000,,日用品雑貨・文房具・手芸 > バス用品 > その他,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-9744G,,<p>【メーカー名】<br>●（株）サカエ<br><br>【特長】<br>●レイアウト変更が簡単に出来る便利な中量キャスターラック。<br><br>【仕様】<br>●寸法:W1800×D600×H1676mm<br>●段数:4段<br>●耐荷重(棚1段当り):150kg<br>●耐荷重(1台当り):450kg<br>●本体色:グリーン<br>●キャスター:125φゴム車(自在2、自在S付2)<br>●50mmピッチ段替え可能<br>●注意事項:棚板段数は、天棚及び底棚を含みます。<br>●お客様組立式:○<br><br>※北海道・沖縄・離島は別途運賃が掛かります。<br>※お客様都合による返品・キャンセルは、いかなる場合もお受けできません。予めご了承下さい。<br>※大型商品は車上渡しとなりますので、ご注文の際はご注意下さい。</p>,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-9744G：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-9744G,【運賃見積り】【直送品】サカエ SAKAE 中量キャスターラック MK-9744G[rn]
