15-163801,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163802,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58555060.jpg?fitin=700:700,57680.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーTRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
TRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア MTボディ型式 ： CBF-TRH200Vエンジン型式 ： 1TR-FE年式 ： H16.08～H23.03   
<BR>
TRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア ATボディ型式 ： CBF-TRH200Vエンジン型式 ： 1TR-FE年式 ： H16.08～ 
<BR>
TRH200V レジアスエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア MTボディ型式 ： CBF-TRH200Vエンジン型式 ： 1TR-FE年式 ： H16.08～H23.03 
<BR>
TRH200V レジアスエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア ATボディ型式 ： CBF-TRH200Vエンジン型式 ： 1TR-FE年式 ： H16.08～ 

<BR><BR>
特記事項

<BR>DX、スーパーGL共通 
AERO TOURER共通",FGK（フジツボ）オーソライズＳマフラーTRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア AT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーTRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーTRH200V ハイエース ガソリン 2.0 2WD ロングバン 標準ルーフ・フロア AT[rn]
15-163803,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305807.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ NA 2WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 4WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 2WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H92W オッティ NA 4WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H82W eKワゴン 2WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W eKワゴン 4WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～ H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～  <BR><BR>特記事項

<BR>2WD、4WD共通 
4AT車、5MT車共通",FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH82W eKワゴン 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH82W eKワゴン 4WD[rn]
15-163804,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476718.jpg?fitin=700:700,27384.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L675S ミラ ココア NA 2WDボディ型式 ： DBA-L675Sエンジン型式 ： KF-VE,KF年式 ： H21.08～H24.04 L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 
特記事項
カスタム専用 
AT車、CVT車 共通",FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ターボ 2WD[rn]
15-163805,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973664.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーVM4 レヴォーグ 1.6 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"VM4 レヴォーグ 1.6 ターボ
    ボディ型式 ： DBA-VM4
    エンジン型式 ： FB16
    年式 ： H26.06～ 

VMG レヴォーグ 2.0 ターボ
    ボディ型式 ： DBA-VMG
    エンジン型式 ： FA20
    年式 ： H26.06～ 
備考  
備考 規定の回転数に達しない為、近接排気騒音は4000rpmにて測定。
詳細データはVMGのもの。",FGK（フジツボ）オーソライズＲマフラーVM4 レヴォーグ 1.6 ターボ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーVM4 レヴォーグ 1.6 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーVM4 レヴォーグ 1.6 ターボ[rn]
15-163806,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60950732.jpg?fitin=700:700,48720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＫマフラーLA600Sタントカスタム　NA　2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>


LA600S タント カスタム NA 2WD
    ボディ型式 ： DBA-LA600S
    エンジン型式 ： KF
    年式 ： H25.10～
<BR><BR>
特記事項 スマートアシスト装備車共通",FGK（フジツボ）オーソライズＫマフラーLA600Sタントカスタム　NA　2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＫマフラーLA600Sタントカスタム　NA　2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＫマフラーLA600Sタントカスタム　NA　2WD[rn]
15-163807,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416991.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMK21S パレット SW NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>ML21S ルークス ハイウェイスター NA 2WDボディ型式 ： DBA-ML21Sエンジン型式 ： K6A年式 ： H21.12～H25.03 MK21S パレット SW NA 2WDボディ型式 ： DBA-MK21Sエンジン型式 ： K6A年式 ： H21.09～H25.03 <BR><BR>特記事項

<BR>",FGK（フジツボ）オーソライズKマフラーMK21S パレット SW NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMK21S パレット SW NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMK21S パレット SW NA 2WD[rn]
15-163808,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58708717.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーMB15S デリカ D:2 1.2 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>

MB15S デリカ D:2 1.2 2WDボディ型式 ： DBA-MB15Sエンジン型式 ： K12B年式 ： H23.03～ 

<BR><BR>MA15S ソリオ 1.2 2WDボディ型式 ： DBA-MA15Sエンジン型式 ： K12B年式 ： H23.01～ 

<BR><BR>
特記事項

詳細データは MA15S ソリオ のもの",FGK（フジツボ）オーソライズＳマフラーMB15S デリカ D:2 1.2 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーMB15S デリカ D:2 1.2 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーMB15S デリカ D:2 1.2 2WD[rn]
15-163809,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59275970.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGP7 XV 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GP7 XV 2.0ボディ型式 ： DBA-GP7エンジン型式 ： FB20年式 ： H24.10<BR><BR>
特記事項

<BR>",FGK（フジツボ）オーソライズＳマフラーGP7 XV 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGP7 XV 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGP7 XV 2.0[rn]
15-163810,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58680534.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
RN6 ストリーム 1.8 2WDボディ型式 ： DBA-RN6エンジン型式 ： R18A年式 ： H18.07～H21.06 RN8 ストリーム 2.0 2WDボディ型式 ： DBA-RN8エンジン型式 ： R20A年式 ： H18.07～H21.06 RN6 ストリーム 1.8 2WD マイナー後ボディ型式 ： DBA-RN6エンジン型式 ： R18A年式 ： H21.06～ RN8 ストリーム 2.0 2WD マイナー後ボディ型式 ： DBA-RN8エンジン型式 ： R20A年式 ： H21.06～ 

<BR><BR>
特記事項

<BR>
RN6(M/C前)：X、RSZ共通 
RN6(M/C後)：RSZ、RST共通 
RN8(M/C前)：G、RSZ共通 
RN8(M/C後)：RST専用




備考

 詳細データは1.8(RN6)のもの",FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーRN6 ストリーム 1.8 2WD マイナー後[rn]
15-163811,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58638338.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーDEJFS デミオ 1.3 2WD スカイアクティブ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"DEJFS デミオ 1.3 2WD スカイアクティブボディ型式 ： DBA-DEJFSエンジン型式 ： P3-VPS年式 ： H23.06～
<BR><BR>

<BR>特記事項

<BR>


13-SKYACTIV 専用
<BR>
備考",FGK（フジツボ）オーソライズＳマフラーDEJFS デミオ 1.3 2WD スカイアクティブ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーDEJFS デミオ 1.3 2WD スカイアクティブ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーDEJFS デミオ 1.3 2WD スカイアクティブ[rn]
