19-190301,http://tshop.r10s.jp/hotroadparts/cabinet/1605/7160511900_1.jpg?fitin=700:700,1400.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,セイワ：充電器 microUSB DC12/24V コード長約1m DCチャージャー スマホ タブレット/D433,【あす楽対応】,■車のアクセサリーソケット電源から充電を行うことができる、<br>スマートフォン/タブレット用急速充電器です（micro USB充電端子用）。<br><BR>■Qualcomm Quick Charge 3.0規格に対応した機器を<br>最大18Wの高出力により短時間で充電できます。<br><BR>※Qualcomm Quick Charge 3.0規格に非対応の機器や旧規格対応の<br>機器に接続した場合でも、自動的に認識して最大の充電能力を発揮して充電します。<br><BR>■DC12/24V車対応です。（マイナスアース車に限る）<br><br><br>【仕様】<br><br>消費電力：最大18W<br>出力電圧/電流：DC3.6V～12V/1.4A～2A<br>コード長：1m<br>カラー：ブラック×メタルブルー<br><br>メーカー：セイワ<br>品番：D433<br><br>,セイワ：充電器 microUSB DC12/24V コード長約1m DCチャージャー スマホ タブレット/D433：カー用品通販のホットロードパーツ,セイワ：充電器 microUSB DC12/24V コード長約1m DCチャージャー スマホ タブレット/D433,【あす楽対応】。セイワ：充電器 microUSB DC12/24V コード長約1m DCチャージャー スマホ タブレット/D433[rn]
19-190302,http://tshop.r10s.jp/hotroadparts/cabinet/1406/7140624513_1.jpg?fitin=700:700,1081.6000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,ミラリード：車載充電器 micro USB 出力 2.5A 急速充電可能/PJ13-31/,,・車内で急速充電対応のスマートフォンやタブレットが快適に充電できる充電器です<br><br>・コードを少し引くだけで簡単に巻き取れる、ボタンレスタイプのコードリール採用<br><br>・通電確認ができるブルーLEDモニタランプ付きです<br><br>・2Aヒューズ内蔵です。※交換不可<br><br>・コード長：75cm<br><br>・DC12V車専用<br>※マイナスアース車専用（外車は使用不可）<br><br>,ミラリード：車載充電器 micro USB 出力 2.5A 急速充電可能/PJ13-31/：カー用品通販のホットロードパーツ,ミラリード：車載充電器 micro USB 出力 2.5A 急速充電可能/PJ13-31/,ミラリード：車載充電器 micro USB 出力 2.5A 急速充電可能/PJ13-31/[rn]
19-190303,http://tshop.r10s.jp/hotroadparts/cabinet/1503/7150323901_1.jpg?fitin=700:700,1320.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,スマホ充電器 ハイパワー充電 iPhone iPad ホコリを防ぐカバー付 車載充電器/セイワ：AL19,【あす楽対応】,●iPhoneやiPod、iPadの充電に最適な2.4A（アンペア）のハイパワー出力。<br>●端子の破損や劣化、ホコリの侵入を防ぐカバー付き。<BR><br>●ストレートタイプのロングコード採用（コード長：約1.5m）<BR><br>●通電確認用ブルーLED搭載。<br><br><br>■対応機器■<br><br>・iPhone 6/6Plus<br>・iPhone 5/5S/5C<br>・iPod touch (5th generation)<br>・iPod nano (7th generation)<br>・iPad Air<br>・iPad mini(4th geneation)<br>・iPad mini<br><br><br>【仕様】<br><br>サイズ：H76×W28×D28(mm)<br>重量：92g<br>コード長：約1.5m<br><br>メーカー：セイワ<br>品番：AL19<br><br>,スマホ充電器 ハイパワー充電 iPhone iPad ホコリを防ぐカバー付 車載充電器/セイワ：AL19：カー用品通販のホットロードパーツ,スマホ充電器 ハイパワー充電 iPhone iPad ホコリを防ぐカバー付 車載充電器/セイワ：AL19,【あす楽対応】 。スマホ充電器 ハイパワー充電 iPhone iPad ホコリを防ぐカバー付 車載充電器/セイワ：AL19[rn]
19-190304,http://tshop.r10s.jp/hotroadparts/cabinet/1502/7150218901_1.jpg?fitin=700:700,518.4000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,光るmicroUSBコード ブルーLEDライト 充電やデータ通信が可能/セイワ D418,【メール便選択で送料200円】,●スマートフォンなどの機器を接続し、<br>充電やデータ通信ができるUSB/microUSBケーブルです。<br><br>●microUSBの充電端子のスマートフォン/タブレットでご使用いただけます。<br><br>●2.1A出力対応のmicroUSB端子です。<br>別売りの1.8A以上のUSBソケットに繋げることでスマートフォンの急速充電が行えます。<br><br>●microUSBプラグがブルーに光るので、<br>暗い車内でも接続箇所が照らされて差込口の確認が出来ます。<br><br>※microUSBプラグのブルーLEDは通電確認用でもあります。<br><br>※周囲が明るい場合は光を確認しにくい場合があります。<br><br><br>【仕様】<br><br>製品サイズ：H15mm×W8mm×D29mm<br>コード長：最大約900mm<br>耐出力：5V/2.1A(最大2.3A)<br><br>メーカー：セイワ<br>品番：D418<br><br>,光るmicroUSBコード ブルーLEDライト 充電やデータ通信が可能/セイワ D418：カー用品通販のホットロードパーツ,光るmicroUSBコード ブルーLEDライト 充電やデータ通信が可能/セイワ D418,【メール便選択で送料200円】。光るmicroUSBコード ブルーLEDライト 充電やデータ通信が可能/セイワ D418[rn]
19-190305,http://tshop.r10s.jp/hotroadparts/cabinet/1505/7150511906_1.jpg?fitin=700:700,1337.6000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,スマホ充電器  急速充電対応 スマートフォン タブレット microUSB/ミラリード：PJ-1506,【取寄商品】,●Qualcomm Quick Charge 2.0対応の<br>スマホ・タブレットで急速充電が行えるえる充電器です。(micro USB)<BR><BR>●Qualcomm Quick Charge 2.0対応の機器接続の場合、<br>自動切替で9V/1.8A・12V/1.35Aの出力に対応します。<BR><BR>※対応端末は最大5V/1.8A出力になります。<BR><BR>●コードの長さが調整出来る手動巻き取りタイプです。 <BR>（コードは調整ストッパーを使ってお好みの長さで使えます）<BR><BR>●DC12V車専用です。<BR><BR>※マイナスアース車専用（外国車は使用不可）<BR><BR><br><br>【仕様】<br><br>カラー：ブラック<br>重量：100g<br><br>メーカー：ミラリード<br>品番：PJ-1506<br><br>,スマホ充電器  急速充電対応 スマートフォン タブレット microUSB/ミラリード：PJ-1506：カー用品通販のホットロードパーツ,スマホ充電器  急速充電対応 スマートフォン タブレット microUSB/ミラリード：PJ-1506,【取寄商品】。スマホ充電器  急速充電対応 スマートフォン タブレット microUSB/ミラリード：PJ-1506[rn]
19-190306,http://tshop.r10s.jp/akibamac/cabinet/03878211/4519305051533.jpg?fitin=700:700,704.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC－USB充電器 2A （2ポート・ホワイト）　BKS-DCU220W 【ビックカメラグループオリジナル】,,"〔タブレット／スマートフォン対応［USB給電］：充電器（USB：車載用）〕
コンパクトでミニサイズ、USBポートタイプDC充電器。（2ポート・ホワイト）",BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ホワイト）　BKS-DCU220W 【ビックカメラグループオリジナル】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンBIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ホワイト）　BKS-DCU220W 【ビックカメラグループオリジナル】,BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ホワイト）　BKS-DCU220W 【ビックカメラグループオリジナル】[rn]
19-190307,http://tshop.r10s.jp/akibamac/cabinet/03878211/4519305051526.jpg?fitin=700:700,704.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC－USB充電器 2A （2ポート・ブラック）　BKS-DCU220K 【ビックカメラグループオリジナル】,,"〔タブレット／スマートフォン対応［USB給電］：充電器（USB：車載用）〕
コンパクトでミニサイズ、USBポートタイプDC充電器。（2ポート・ブラック）",BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ブラック）　BKS-DCU220K 【ビックカメラグループオリジナル】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンBIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ブラック）　BKS-DCU220K 【ビックカメラグループオリジナル】,BIC(プライベートブランド) タブレット／スマートフォン対応［USB給電］　DC&minus;USB充電器 2A （2ポート・ブラック）　BKS-DCU220K 【ビックカメラグループオリジナル】[rn]
19-190308,http://tshop.r10s.jp/akibamac/cabinet/04139842/4571341961337.jpg?fitin=700:700,904.0000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,オズマタブレット／スマートフォン対応［micro USB／USB給電］　DC充電器＋USBポート 2.4A （1m／1ポート・ブラック）　IDCU-SP024K,,"〔タブレット／スマートフォン対応［micro USB／USB給電］：充電器（DC）＋USBポート〕
USBポート付、DC充電器。（1m／1ポート・ブラック）",オズマタブレット／スマートフォン対応［micro USB／USB給電］　DC充電器＋USBポート 2.4A （1m／1ポート・ブラック）　IDCU-SP024K：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマタブレット／スマートフォン対応［micro USB／USB給電］　DC充電器＋USBポート 2.4A （1m／1ポート・ブラック）　IDCU-SP024K,オズマタブレット／スマートフォン対応［micro USB／USB給電］　DC充電器＋USBポート 2.4A （1m／1ポート・ブラック）　IDCU-SP024K[rn]
19-190309,http://tshop.r10s.jp/akibamac/cabinet/03567661/4519305050772.jpg?fitin=700:700,271.2000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,オズマ DC充電器 「シンプルチャージャー」（FOMA・SoftBank3G用）　D-03,,見やすい通電ランプが車内で光る！12V・24Vマイナスアース。,オズマ DC充電器 「シンプルチャージャー」（FOMA・SoftBank3G用）　D-03：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマ DC充電器 「シンプルチャージャー」（FOMA・SoftBank3G用）　D-03,オズマ DC充電器 「シンプルチャージャー」（FOMA・SoftBank3G用）　D-03[rn]
19-190310,http://tshop.r10s.jp/akibamac/cabinet/03567661/4519305050956.jpg?fitin=700:700,594.4000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,オズマ 巻取り式DC充電器 「リールチャージャー」（FOMA・SoftBank3G用）　DR-63,,ワンタッチ収納リール付携帯用DC充電器です。,オズマ 巻取り式DC充電器 「リールチャージャー」（FOMA・SoftBank3G用）　DR-63：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマ 巻取り式DC充電器 「リールチャージャー」（FOMA・SoftBank3G用）　DR-63,オズマ 巻取り式DC充電器 「リールチャージャー」（FOMA・SoftBank3G用）　DR-63[rn]
19-190311,http://tshop.r10s.jp/akibamac/cabinet/04525799/4519305051298.jpg?fitin=700:700,615.2000,,車用品・バイク用品 > カー用品 > カーアクセサリー > スマホ・タブレット・携帯電話用品 > カーチャージャー（充電器）,オズマ スマートフォン用［micro USB］　DC充電器 巻き取り式 （1m）　DR-SP01,,〔スマートフォン用［micro USB］：クルマ向け（DC充電⇔micro USB）〕巻き取り式microUSBケーブルを持つ車載用充電器。（1m）,オズマ スマートフォン用［micro USB］　DC充電器 巻き取り式 （1m）　DR-SP01：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマ スマートフォン用［micro USB］　DC充電器 巻き取り式 （1m）　DR-SP01,オズマ スマートフォン用［micro USB］　DC充電器 巻き取り式 （1m）　DR-SP01[rn]
