19-103401,http://tshop.r10s.jp/soukai/cabinet/42/4901301286642.jpg?fitin=700:700,532.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット リンス ポンプ(480mL)【kao1610T】【メリット】[花王],メリット / 花王★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット リンス ポンプ (480mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z42/z4901301286642.jpg' width='100%'><br><br>商品区分：医薬部外品<br><br>【メリット リンス ポンプの商品詳細】<br>すこやかな地肌のために汚れを落とす<br>うるおいを守る<br>地肌トラブル※1を防ぐ<br>シャンプーとセットで使用した場合※1<br>うるおうのに軽い！夕方まで髪さらさらに<br>●髪と地肌とおなじ弱酸性<br>●髪のからまりを防ぎます。<br>●地肌にうるおいをあたえ、角層を整えます。ユーカリエキス・カモミラエキス・フルーツ酸配合（保湿剤）<br>●フケやかゆみを防ぎます。地肌の生まれ変わりのリズムを整える植物由来リコリスＣ*配合＊グリチルリチン酸ジカリウム<br>○ナチュラルフローラルのやさしい香り<br><br>【成分】<br>グリチルリチン酸ジカリウム＊、水、ステアリルアルコール、ジメチコン、Ｎ，Ｎ-ジメチルオクタデシロキシプロピルアミン、ユーカリエキス、カモミラエキス-１、ヒマワリ油-２、乳酸、高重合ジメチコン-１、パルミチン酸イソプロピル、脂肪酸ジペンタエリスリチル-１、ヒドロキシエチルセルロース、フェノキシエタノール、ＢＧ、香料＊は「有効成分」無表示は「その他の成分」<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品　0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス　0120-165-696<br>飲料（ヘルシア）　0120-165-697<br>紙おむつ、生理用品　0120-165-695<br>洗濯、掃除、食器洗い用品　0120-165-693<br>ペットケア　0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>/(/F267503/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット リンス ポンプ(480mL)【kao1610T】【メリット】[花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット リンス ポンプ(480mL)【kao1610T】【メリット】[花王],メリット / 花王★税抜1900円以上で送料無料★。メリット リンス ポンプ(480mL)【kao1610T】【メリット】[花王][rn]
19-103402,http://tshop.r10s.jp/soukai/cabinet/15/19315.jpg?fitin=700:700,656.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット リンス つめかえ用(340mL*2コセット)【メリット】,メリット★税抜1900円以上で送料無料★,お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット リンス つめかえ用 (340mL*2コセット)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【メリット リンス つめかえ用の商品詳細】<br>●メリット従来つめかえ用と同量340mL<br>●すこやかな地肌のために<br>・汚れを落とす<br>・うるおいを守る<br>・地肌トラブル※1を防ぐ<br>※1フケやかゆみ、汗のニオイ(シャンプーとセットで使用した場合)<br>●うるおうのに軽い！夕方まで髪さらさらに<br>●髪と地肌とおなじ弱酸性<br>●髪のからまりを防ぎます。<br>●地肌にうるおいをあたえ、角層を整えます。<br>ユーカリエキス・カモミラエキス・フルーツ酸配合(保湿剤)<br>●フケやかゆみを防ぎます。<br>地肌の生まれ変わりのリズムを整える植物由来リコリスC*配合*グリチルリチン酸ジカリウム<br>●ナチュラルフローラルのやさしい香り<br><br>【使用方法】<br>★つめかえ方<br>・かならずメリットリンスDD1の使用済みボトルにつめかえてください。<br>・他の液体タイプや泡タイプにはつめかえないでください。<br>・つめかえ前にボトルの中とポンプ部分をよく洗い、水気を切ってから全量つめかえてください。<br>(1)注ぎ口の付け根の硬い部分をしっかり持ってキャップを開けてください。<br>(2)注ぎ口をボトルの口にしっかり差し込みます。<br>(3)パックを底部からしぼって全量をつめかえます。<br>(4)折りたたみながら中身を入れていくと、ムダなく入れることができます。<br>・使い切ってからつめかえて、他の製品や異なった製造番号のものが混ざらないようにしてください。<br>・つめかえ後、このパックの下部の製造番号を控えておいてください。お問合せの際に必要な場合があります。<br>★使い方<br>・シャンプーの後、適量(セミロングヘアの方ならポンプ2～3押し程度)を手にとり、直接髪全体によくなじませます。あとすすいでください。<br><br>【成分】<br>グリチルリチン酸ジカリウム*、水、ステアリルアルコール、ジメチコン、N.N-ジメチルオクタデシロキシプロピルアミン、ユーカリエキス、カモミラエキス-1、ヒマワリ油-2、乳酸、高重合ジメチコン-1、パルミチン酸イソプロピル、脂肪酸ジペンタエリスリチル-1、ヒドロキシエチルセルロース、フェノキシエタノール、BG、香料<br>*は「有効成分」、無表示は「その他の成分」<br>【注意事項】<br>・頭皮に傷、湿疹等異常のある時は使わないでください。<br>・刺激等の異常が出たら使用を中止し、皮フ科医へ相談してください。<br>・つめかえる時や使用中、目に入らないよう注意し、入った時はすぐに充分洗い流してください。<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品 0120-165-692<br>※説明文は単品の内容です。</font><br><br>(merit 詰換え用 詰替え用 詰め替え用 詰替用)<br><br>・単品JAN：4901301322395<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット リンス つめかえ用(340mL*2コセット)【メリット】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット リンス つめかえ用(340mL*2コセット)【メリット】,メリット★税抜1900円以上で送料無料★。メリット リンス つめかえ用(340mL*2コセット)【メリット】[rn]
19-103403,http://tshop.r10s.jp/soukai/cabinet/95/4901301322395.jpg?fitin=700:700,324.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット リンス つめかえ用(340mL)【kao1610T】【メリット】,メリット★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット リンス つめかえ用 (340mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z95/z4901301322395.jpg' width='100%'><br><br>商品区分：医薬部外品<br><br>【メリット リンス つめかえ用の商品詳細】<br>●メリット従来つめかえ用と同量340mL<br>●すこやかな地肌のために<br>・汚れを落とす<br>・うるおいを守る<br>・地肌トラブル※1を防ぐ<br>※1フケやかゆみ、汗のニオイ(シャンプーとセットで使用した場合)<br>●うるおうのに軽い！夕方まで髪さらさらに<br>●髪と地肌とおなじ弱酸性<br>●髪のからまりを防ぎます。<br>●地肌にうるおいをあたえ、角層を整えます。<br>ユーカリエキス・カモミラエキス・フルーツ酸配合(保湿剤)<br>●フケやかゆみを防ぎます。<br>地肌の生まれ変わりのリズムを整える植物由来リコリスC*配合*グリチルリチン酸ジカリウム<br>●ナチュラルフローラルのやさしい香り<br><br>【使用方法】<br>★つめかえ方<br>・かならずメリットリンスDD1の使用済みボトルにつめかえてください。<br>・他の液体タイプや泡タイプにはつめかえないでください。<br>・つめかえ前にボトルの中とポンプ部分をよく洗い、水気を切ってから全量つめかえてください。<br>(1)注ぎ口の付け根の硬い部分をしっかり持ってキャップを開けてください。<br>(2)注ぎ口をボトルの口にしっかり差し込みます。<br>(3)パックを底部からしぼって全量をつめかえます。<br>(4)折りたたみながら中身を入れていくと、ムダなく入れることができます。<br>・使い切ってからつめかえて、他の製品や異なった製造番号のものが混ざらないようにしてください。<br>・つめかえ後、このパックの下部の製造番号を控えておいてください。お問合せの際に必要な場合があります。<br>★使い方<br>・シャンプーの後、適量(セミロングヘアの方ならポンプ2～3押し程度)を手にとり、直接髪全体によくなじませます。あとすすいでください。<br><br>【成分】<br>グリチルリチン酸ジカリウム*、水、ステアリルアルコール、ジメチコン、N.N-ジメチルオクタデシロキシプロピルアミン、ユーカリエキス、カモミラエキス-1、ヒマワリ油-2、乳酸、高重合ジメチコン-1、パルミチン酸イソプロピル、脂肪酸ジペンタエリスリチル-1、ヒドロキシエチルセルロース、フェノキシエタノール、BG、香料<br>*は「有効成分」、無表示は「その他の成分」<br>【注意事項】<br>・頭皮に傷、湿疹等異常のある時は使わないでください。<br>・刺激等の異常が出たら使用を中止し、皮フ科医へ相談してください。<br>・つめかえる時や使用中、目に入らないよう注意し、入った時はすぐに充分洗い流してください。<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品 0120-165-692</font><br><br>(merit 詰換え用 詰替え用 詰め替え用 詰替用)<br><br>/(/F267503/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット リンス つめかえ用(340mL)【kao1610T】【メリット】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット リンス つめかえ用(340mL)【kao1610T】【メリット】,メリット★税抜1900円以上で送料無料★。メリット リンス つめかえ用(340mL)【kao1610T】【メリット】[rn]
19-103404,http://tshop.r10s.jp/soukai/cabinet/48/4901301306548.jpg?fitin=700:700,354.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL)【kao1610T】【メリット】[メリット ピュア ピュアン 花王],メリット / メリット ピュア ピュアン 花王,お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット ピュアン リフレッシュ コンディショナー つめかえ用 (375mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z48/z4901301306548.jpg' width='100%'><br><br>【メリット ピュアン リフレッシュ コンディショナー つめかえ用の商品詳細】<br>●洗いたてのようなキレイがつづくコンディショナーです。<br>●まっさらに洗い上げた髪に使うと、みずみずしさが毛先まですーっとなじみ、次に洗うまで軽やかな感触つづく！<br>●髪と地肌とおなじ弱酸性<br>●仕上がりすっきり！根元から軽やか、毛先までさらさら！リフレッシュタイプ<br>●リフレッシュ果実エキスα(保湿)配合：レモン果実エキス、キイチゴエキス、オリーブ葉エキス、フルーツ酸<br>●深呼吸したくなるヒーリングオアシスの香り<br><br>【使用方法】<br>・シャンプーの後、適量を髪全体によくなじませます。あとすすいでください。<br><br>【つめかえ方】<br>・かならずピュアンヘアコンディショナーRの使用済みボトルにつめかえてください。<br>・つめかえ前にボトルの中とポンプ部分をよく洗い、水気を切ってから全量つめかえてください。<br>・使い切ってからつめかえて、他の製品や異なった製造番号のものが混ざらないようにしてください。<br>・つめかえ後、パックの下部の製造番号を控えておいてください。お問合せの際に必要な場合があります。<br>(1)注ぎ口をボトルの口にしっかり差し込みます。<br>(2)パックを底部から折りたたみながらしぼると、中身をムダなく出すことができます。<br><br>【成分】<br>水、ステアリルアルコール、DPG、ジメチコン、ステアロキシプロピルジメチルアミン、乳酸、メチルトリメチコン、アモジメチコン、オリーブ葉エキス、レモン果実エキス、キイチゴエキス、ベンジルアルコール、ヒドロキシエチルセルロース、(ビスイソブチルPEG-15／アモジメチコン)コポリマー、セテアレス-7、セテアレス-25、エタノール、BG、香料<br>【注意事項】<br>・頭皮に傷、湿疹等異常のある時は使わないでください<br>・刺激等の異常が出たら使用を中止し、皮フ科医へ相談してください<br>・つめかえる時や使用中、目に入らないように注意し、入った時は、すぐに充分洗い流してください<br>・子供や認知症の方などの誤飲等を防ぐため、置き場所にご注意ください<br>・注ぎ口を手で切りにくい時はハサミで切って開けてください<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'><br>ヘアケア、スキンケア用品 0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス 0120-165-696<br>飲料（ヘルシア） 0120-165-697<br>紙おむつ、生理用品 0120-165-695<br>洗濯、掃除、食器洗い用品 0120-165-693<br>ペットケア 0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>(merit Pyuan Moisture 詰め替え用 詰替え用 詰替用)<br><br>/(/F270701/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL)【kao1610T】【メリット】[メリット ピュア ピュアン 花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL)【kao1610T】【メリット】[メリット ピュア ピュアン 花王],メリット / メリット ピュア ピュアン 花王。メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL)【kao1610T】【メリット】[メリット ピュア ピュアン 花王][rn]
19-103405,http://tshop.r10s.jp/soukai/cabinet/66/16266.jpg?fitin=700:700,668.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL*2コセット)【メリット】,メリット★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット ピュアン リフレッシュ コンディショナー つめかえ用 (375mL*2コセット)<br><br>★税抜1900円以上で送料無料★<br><br>【メリット ピュアン リフレッシュ コンディショナー つめかえ用の商品詳細】<br>●洗いたてのようなキレイがつづくコンディショナーです。<br>●まっさらに洗い上げた髪に使うと、みずみずしさが毛先まですーっとなじみ、次に洗うまで軽やかな感触つづく！<br>●髪と地肌とおなじ弱酸性<br>●仕上がりすっきり！根元から軽やか、毛先までさらさら！リフレッシュタイプ<br>●リフレッシュ果実エキスα(保湿)配合：レモン果実エキス、キイチゴエキス、オリーブ葉エキス、フルーツ酸<br>●深呼吸したくなるヒーリングオアシスの香り<br><br>【使用方法】<br>・シャンプーの後、適量を髪全体によくなじませます。あとすすいでください。<br><br>【つめかえ方】<br>・かならずピュアンヘアコンディショナーRの使用済みボトルにつめかえてください。<br>・つめかえ前にボトルの中とポンプ部分をよく洗い、水気を切ってから全量つめかえてください。<br>・使い切ってからつめかえて、他の製品や異なった製造番号のものが混ざらないようにしてください。<br>・つめかえ後、パックの下部の製造番号を控えておいてください。お問合せの際に必要な場合があります。<br>(1)注ぎ口をボトルの口にしっかり差し込みます。<br>(2)パックを底部から折りたたみながらしぼると、中身をムダなく出すことができます。<br><br>【成分】<br>水、ステアリルアルコール、DPG、ジメチコン、ステアロキシプロピルジメチルアミン、乳酸、メチルトリメチコン、アモジメチコン、オリーブ葉エキス、レモン果実エキス、キイチゴエキス、ベンジルアルコール、ヒドロキシエチルセルロース、(ビスイソブチルPEG-15／アモジメチコン)コポリマー、セテアレス-7、セテアレス-25、エタノール、BG、香料<br>【注意事項】<br>・頭皮に傷、湿疹等異常のある時は使わないでください<br>・刺激等の異常が出たら使用を中止し、皮フ科医へ相談してください<br>・つめかえる時や使用中、目に入らないように注意し、入った時は、すぐに充分洗い流してください<br>・子供や認知症の方などの誤飲等を防ぐため、置き場所にご注意ください<br>・注ぎ口を手で切りにくい時はハサミで切って開けてください<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'><br>※説明文は単品の内容です。<br>ヘアケア、スキンケア用品 0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス 0120-165-696<br>飲料（ヘルシア） 0120-165-697<br>紙おむつ、生理用品 0120-165-695<br>洗濯、掃除、食器洗い用品 0120-165-693<br>ペットケア 0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>(merit Pyuan Moisture 詰め替え用 詰替え用 詰替用)<br><br>・単品JAN：4901301306548<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL*2コセット)【メリット】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL*2コセット)【メリット】,メリット★税抜1900円以上で送料無料★。メリット ピュアン リフレッシュ コンディショナー つめかえ用(375mL*2コセット)【メリット】[rn]
19-103406,http://tshop.r10s.jp/soukai/cabinet/31/4901301306531.jpg?fitin=700:700,576.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,メリット ピュアン リフレッシュ コンディショナー ポンプ(470mL)【kao1610T】【メリット】[花王],メリット / 花王★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞メリット ピュアン リフレッシュ コンディショナー ポンプ (470mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z31/z4901301306531.jpg' width='100%'><br><br>【メリット ピュアン リフレッシュ コンディショナー ポンプの商品詳細】<br>●洗いたてのようなキレイがつづくコンディショナーです。<br>●まっさらに洗い上げた髪に使うと、みずみずしさが毛先まですーっとなじみ、次に洗うまで軽やかな感触つづく！<br>●髪と地肌とおなじ弱酸性<br>●仕上がりすっきり！根元から軽やか、毛先までさらさら！リフレッシュタイプ<br>●リフレッシュ果実エキスα(保湿)配合：レモン果実エキス、キイチゴエキス、オリーブ葉エキス、フルーツ酸<br>●深呼吸したくなるヒーリングオアシスの香り<br><br>【使用方法】<br>・シャンプーの後、適量を髪全体によくなじませます。あとすすいでください。<br><br>【成分】<br>水、ステアリルアルコール、DPG、ジメチコン、ステアロキシプロピルジメチルアミン、乳酸、メチルトリメチコン、アモジメチコン、オリーブ葉エキス、レモン果実エキス、キイチゴエキス、ベンジルアルコール、ヒドロキシエチルセルロース、(ビスイソブチルPEG-15／アモジメチコン)コポリマー、セテアレス-7、セテアレス-25、エタノール、BG、香料<br>【注意事項】<br>・頭皮に傷、湿疹等異常のある時は使わない。<br>・刺激等の異常が出たら使用を中止し、皮フ科医へ相談する。<br>・ポンプを押す時や使用中、目に入らないように注意し、入った時は、すぐに充分洗い流す。<br>・子供や認知症の方などの誤飲等を防ぐため、置き場所に注意する。<br><br>【ブランド】<br>メリット<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'><br>ヘアケア、スキンケア用品 0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス 0120-165-696<br>飲料（ヘルシア） 0120-165-697<br>紙おむつ、生理用品 0120-165-695<br>洗濯、掃除、食器洗い用品 0120-165-693<br>ペットケア 0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>(merit Pyuan Refresh)<br><br>/(/F270701/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：メリット/],メリット ピュアン リフレッシュ コンディショナー ポンプ(470mL)【kao1610T】【メリット】[花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションメリット ピュアン リフレッシュ コンディショナー ポンプ(470mL)【kao1610T】【メリット】[花王],メリット / 花王★税抜1900円以上で送料無料★。メリット ピュアン リフレッシュ コンディショナー ポンプ(470mL)【kao1610T】【メリット】[花王][rn]
19-103407,http://tshop.r10s.jp/hobbytoy/cabinet/jishahin2/559737.jpg?fitin=700:700,1128.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,海藻コンディショナー SC-300 【0829ap_ho】【RCP】【在庫品】【02P04Jul15】,税込5400円以上ご注文で送料無料♪,"<font color=#48d1cc>国産昆布のうるおい成分配合！<br>熱・紫外線・摩擦 から髪色を守り補修♪</font><br><br><br>◆商品サイズ（約）：直径6×高さ19cm<br><br>◆商品重量（約）：350g<br><br>◆内容量：300ml<br><br>【材質】<br>水、イソペンチルジオール、ベヘニルアルコール、マカデミアナッツ脂肪酸エチル、<br>ステアリルトリモニウムブロミド、ミリスチルアルコール、<br>シクロヘキサン-1,4-ジカルボン酸ビスエトキシジクリコール、ステアリン酸グリセリル、<br>（加水分解シルク/PG-プロピルメチルシランジオール）クロスポリマー、褐藻エキス、<br>マコンブエキス、ローヤルゼリーエキス、(ラネス-40マレイン酸Na/スチレンスルホン酸）コポリマー、<br>分岐脂肪酸（C14-28）、脂肪酸（C14-28）、クオタニウム-95、ジラウロイルグルタミン酸リシンNa、<br>エチルヘキシルグリセリン、パルミチン酸セチル、プロパンジオール、BG、エタノール、<br>イソプロパノール、フェノキシエタノール、香料<br><br>広告文責：e-net shop株式会社<br>0120-166-353<br>メーカー（発売元）：アイリスオーヤマ株式会社<br>区分：日本製・コンディショナー",海藻コンディショナー SC-300 【0829ap_ho】【RCP】【在庫品】【02P04Jul15】：ホビーとおもちゃのほびたま,仮面ライダーホビーフィギュア戦隊プリキュアキャラクターバンダイタカラトミーエポック社ナノブロックレゴ　ブロックセガSEGALEGOおもちゃベビー　おもちゃ赤ちゃん　おもちゃセガトイズおもちゃ　ブロックカワダ　ブロック海藻コンディショナー SC-300 【0829ap_ho】【RCP】【在庫品】【02P04Jul15】,税込5400円以上ご注文で送料無料♪。海藻コンディショナー SC-300 【0829ap_ho】【RCP】【在庫品】【02P04Jul15】[rn]
19-103408,http://tshop.r10s.jp/soukai/cabinet/51/4901797009251.jpg?fitin=700:700,608.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,シャボン玉 パウダーリンス つめかえ用(150g)【シャボン玉石けん】[リンス コンディショナー],シャボン玉石けん / リンス コンディショナー,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞詰め替え用リンス・コンディショナー＞シャボン玉 パウダーリンス つめかえ用 (150g)<br><br>★税抜1900円以上で送料無料★<br><br>【シャボン玉 パウダーリンス つめかえ用の商品詳細】<br>●無添加石けんシャンプー専用リンス<br>●髪本来の健やかなさらさら髪に<br>●髪、地肌にやさしいクエン酸100％の無添加石けんシャンプー専用リンスです。<br>●石けんシャンプーでアルカリ性に傾いた髪を中和し、きしみやゴワつきを防ぎます。<br>●パウダータイプでお湯に薄めて使うリンスなので、少量で使用できます。<br><br>【使用方法】<br>★上手な使い方<br>・石けんシャンプー後、洗面器に適量2g(ティースプーン半分)を入れ、お湯を7～8分目まで入れて溶かします。<br>・髪の毛全体にいきわたらせるようになじませ、2～3分おいてからしっかりとすすいでください。<br>・髪の長さ・量に応じて使用量を調整してください。<br>★つめかえ方<br>・容器をよく乾燥させてお入れください。<br>・ろうとなどを用いてつめかえると入れやすくなります。<br>・残りのパウダーは、チャックをしっかりと閉め高温多湿の場所を避け保管してください。<br><br>【成分】<br>クエン酸<br>【注意事項】<br>・合成シャンプー・リンスとの併用はしない。<br>・直接髪にふりかけない。<br>・固まっている場合は、よく振ってから使う。<br>・傷、湿疹など肌に異常がある場合は、使用しない。<br>・目に入った場合はこすらず、すぐに水で充分洗い流す。<br>・肌に合わない時は、使用をやめる。<br>・いずれの場合も、異常が残る場合は専門医に相談する。<br>※保存の際は高温多湿、直射日光のあたる場所を避け、開封後は早めにご使用ください。<br>※弱酸性のため、粘膜や傷口にしみる場合があります。<br>※リンスの成分により、使用後床がすべりやすくなることがありますので、ご注意ください。<br><br>【ブランド】<br>シャボン玉石けん<br><br>【発売元、製造元、輸入元又は販売元】<br>シャボン玉石けん<br><br>(詰め替え用 詰替え用 詰替用)<br><br>シャボン玉石けん<br>808-0109　北九州市若松区南二島２丁目２３番地１号<br>0120-4800-95<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：シャボン玉石けん/],シャボン玉 パウダーリンス つめかえ用(150g)【シャボン玉石けん】[リンス コンディショナー]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションシャボン玉 パウダーリンス つめかえ用(150g)【シャボン玉石けん】[リンス コンディショナー],シャボン玉石けん / リンス コンディショナー。シャボン玉 パウダーリンス つめかえ用(150g)【シャボン玉石けん】[リンス コンディショナー][rn]
