19-26101,,878.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THPN-162H-SET】(7761627) ＴＲＵＳＣＯ ＴＨＰＮ用フィラープラグ Ｏリング付 発注単位1,物流保管用品\リフター・ハンドパレットトラック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●品名:フィラープラグ（Ｏリング付）<br>
●適合機種:THPN<br>
●161Ｈ×1、162Ｈ×1",■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THPN-162H-SET】(7761627) ＴＲＵＳＣＯ ＴＨＰＮ用フィラープラグ Ｏリング付 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THPN-162H-SET】(7761627) ＴＲＵＳＣＯ ＴＨＰＮ用フィラープラグ Ｏリング付 発注単位1,物流保管用品\リフター・ハンドパレットトラック。■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THPN-162H-SET】(7761627) ＴＲＵＳＣＯ ＴＨＰＮ用フィラープラグ Ｏリング付 発注単位1[rn]
19-26102,,33244.8000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-612N】(8198991) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ1200ＸＷ650 発注単位1,物流保管用品\リフター・ハンドパレットトラック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●ステアリングホイール、ロードホイールにはナイロンを標準採用しているため、ウレタンよりも走行性が軽くなりました。<br>
●フォーク１本の幅が狭いのでフォーク間隔が広くなりました。<br>
●スローダウン機能が標準装備しているため、コントロールレバーを最上位に引き上げると、静かに降下できます。<br>
●呼び込みローラーが付いているので、軽く、スムーズに挿入可能です。<br>
●ステアリングホイール、ロードホイールはナイロン車輪であるため、ウレタンよりも軽く運搬できます。<br>
●パレットに載った荷物をフォークですくい上げ人力で運搬する便利な運搬機器です。<br>
●均等荷重(kg):1000<br>
●フォーク高さ(mm)最低:75<br>
●フォーク高さ(mm)最高:175<br>
●フォーク(mm)長さ:1200<br>
●フォーク(mm)幅:130<br>
●フォーク(mm)間隔:390<br>
●全幅(mm):650<br>
●全高(mm):1120<br>
●A寸法(mm):880<br>
●B寸法(mm):1020<br>
●ステアリングホイール:ナイロン車輪 径160mm<br>
●ロードホイール:ナイロン車輪 径70mm<br>
●フォーク長(mm):1200<br>
●フォーク幅(mm):130<br>
●フォーク間隔(mm):390<br>
●パレットの形状によっては使用できないものがあります。サイズなどをご確認の上、最適な機種をお選びください。",&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-612N】(8198991) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ1200ＸＷ650 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-612N】(8198991) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ1200ＸＷ650 発注単位1,物流保管用品\リフター・ハンドパレットトラック。&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-612N】(8198991) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ1200ＸＷ650 発注単位1[rn]
19-26103,,34992.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯリフター【SC-525855-H30】(7804423) ＴＲＵＳＣＯ ＳＵＳカバー520×850mm用 発注単位1,物流保管用品\リフター・ハンドパレットトラック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ハンドリフター用のステンレスカバーです。<br>
●天板にかぶせるだけで使用することができます。<br>
●塗装の剥れを防止し、異物発生を防ぎます。<br>
●適合テーブル寸法(mm)幅×長さ:520×850<br>
●ステンレス(SUS304)<br>
●ゴムシート",■〒トラスコ中山/ＴＲＵＳＣＯリフター【SC-525855-H30】(7804423) ＴＲＵＳＣＯ ＳＵＳカバー520&times;850mm用 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯリフター【SC-525855-H30】(7804423) ＴＲＵＳＣＯ ＳＵＳカバー520&times;850mm用 発注単位1,物流保管用品\リフター・ハンドパレットトラック。■〒トラスコ中山/ＴＲＵＳＣＯリフター【SC-525855-H30】(7804423) ＴＲＵＳＣＯ ＳＵＳカバー520&times;850mm用 発注単位1[rn]
19-26104,,31305.6000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-48N】(8198989) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ850ＸＷ460 発注単位1,物流保管用品\リフター・ハンドパレットトラック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●ステアリングホイール、ロードホイールにはナイロンを標準採用しているため、ウレタンよりも走行性が軽くなりました。<br>
●フォーク１本の幅が狭いのでフォーク間隔が広くなりました。<br>
●スローダウン機能が標準装備しているため、コントロールレバーを最上位に引き上げると、静かに降下できます。<br>
●呼び込みローラーが付いているので、軽く、スムーズに挿入可能です。<br>
●ステアリングホイール、ロードホイールはナイロン車輪であるため、ウレタンよりも軽く運搬できます。<br>
●パレットに載った荷物をフォークですくい上げ人力で運搬する便利な運搬機器です。<br>
●均等荷重(kg):1000<br>
●フォーク高さ(mm)最低:75<br>
●フォーク高さ(mm)最高:175<br>
●フォーク(mm)長さ:850<br>
●フォーク(mm)幅:130<br>
●フォーク(mm)間隔:200<br>
●全幅(mm):460<br>
●全高(mm):1120<br>
●A寸法(mm):530<br>
●B寸法(mm):670<br>
●ステアリングホイール:ナイロン車輪 径160mm<br>
●ロードホイール:ナイロン車輪 径70mm<br>
●フォーク長(mm):850<br>
●フォーク幅(mm):130<br>
●フォーク間隔(mm):200<br>
●パレットの形状によっては使用できないものがあります。サイズなどをご確認の上、最適な機種をお選びください。",&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-48N】(8198989) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ850ＸＷ460 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-48N】(8198989) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ850ＸＷ460 発注単位1,物流保管用品\リフター・ハンドパレットトラック。&Dagger;&Dagger;&Dagger;■〒トラスコ中山/ＴＲＵＳＣＯ ＨＡリフター       【THP-10-48N】(8198989) ＴＲＵＳＣＯ ハンドパレットトラック 1ｔ用 Ｌ850ＸＷ460 発注単位1[rn]
19-26105,,15876.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒ニューウェル・ラバーメイド社/エレクター【37071202】(7589476) ユーティリティローンカート 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●一体構造のため耐久性に優れ、メンテナンスも容易です。<br>●サビ、凹み、欠けなどの心配が少なく、永くお使いいただけます。<br>●動かしやすい形状のハンドルで、移動も楽に行えます。<br><br>●農業、園芸。<br><br>●長さ(mm)：1080<br>●幅(mm)：533<br>●高さ(mm)：711<br>●容量(L)：90.7<br>●質量(kg)：7.4<br><br>●耐荷重：90kg<br>●カラー：プラチナ<br><br>●本体・タイヤ：ポリエチレン<br>●シャフト：スチール<br>",『カード対応OK！』###■〒ニューウェル・ラバーメイド社/エレクター【37071202】(7589476) ユーティリティローンカート 受注単位1：クローバー資材館,『カード対応OK！』###■〒ニューウェル・ラバーメイド社/エレクター【37071202】(7589476) ユーティリティローンカート 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』###■〒ニューウェル・ラバーメイド社/エレクター【37071202】(7589476) ユーティリティローンカート 受注単位1[rn]
19-26106,,75600.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【HK150E】(4390121) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ノーパンクタイヤを標準装備したアルミ製折りたたみ式リヤカーです。<br>●使用しない時はワンタッチで折りたため、コンパクトに収納できる折りたたみ式です。<br>●荷台が四方を板で囲ってあるため、小さな物でも運搬中に落とすことがありません。<br><br>●荷物運搬。<br>●防災緊急用として。<br><br>●長さ(mm)：2110<br>●幅(mm)：1090<br>●高さ(mm)：810<br>●積載面寸法(長さ×幅)(mm)：1200×800<br>●タイヤタイプ：20インチノーパンク<br>●折りたたみ時寸法(mm)長さ×幅×高さ：1340×370×810<br><br>●最大積載荷重：150kg<br>●最大積載荷重：１５０ｋｇ<br>●折りたたみ時寸法：Ｗ１．３４×Ｄ０．３７×Ｈ０．７７ｍ<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【HK150E】(4390121) アルミ製折りたたみ式リヤカー 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【HK150E】(4390121) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』##■〒アルインコ【HK150E】(4390121) アルミ製折りたたみ式リヤカー 受注単位1[rn]
19-26107,,4320.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒昭和ブリッジ販売/昭和【350-5】(3429377) アルミホイル付タイヤ 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミ製のホイール付なので、屋外に置いてもホイールの腐食が生じません。<br><br>●海辺や肥料を扱う場所など、使用環境の厳しい場所に。<br><br>●車輪径(mm)：285<br>●車輪幅(mm)：90<br>●適合機種：13×3(OW-P・OW-AP・CC3-2F-1・CC3-2F-2) 350-5(HC-2・HC-2S)<br>●シャフト径(mm)：20<br>●シャフト長さ(mm)：100<br><br>●耐荷重：100kg<br>●空気入タイヤ<br><br>●ホイール：アルミ合金<br>●タイヤ：天然ゴム（NR）<br>",『カード対応OK！』■〒昭和ブリッジ販売/昭和【350-5】(3429377) アルミホイル付タイヤ 受注単位1：クローバー資材館,『カード対応OK！』■〒昭和ブリッジ販売/昭和【350-5】(3429377) アルミホイル付タイヤ 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』■〒昭和ブリッジ販売/昭和【350-5】(3429377) アルミホイル付タイヤ 受注単位1[rn]
19-26108,,40167.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒アルインコ【HKW180】(7513666) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●簡単組立可能なアルミ製折りたたみ式リヤカーです。<br>●運搬作業時や緊急避難、災害用として最適な1台です。<br><br>●荷物運搬。<br>●防災緊急用として。<br><br>●長さ(mm)：1860<br>●幅(mm)：870<br>●高さ(mm)：630<br>●積載面寸法(長さ×幅)(mm)：900×600<br>●タイヤタイプ：20インチノーパンク<br>●質量(kg)：21<br>●折りたたみ時寸法(mm)長さ×幅×高さ：1020×370×750<br><br>●タイヤタイプ：20インチノーパンク<br>●最大積載荷重：180kg<br><br>●アルミ<br>",『カード対応OK！』###■〒アルインコ【HKW180】(7513666) アルミ製折りたたみ式リヤカー 受注単位1：クローバー資材館,『カード対応OK！』###■〒アルインコ【HKW180】(7513666) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』###■〒アルインコ【HKW180】(7513666) アルミ製折りたたみ式リヤカー 受注単位1[rn]
19-26109,,85536.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【HKW180L】(7597100) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●簡単組立可能なアルミ製折りたたみ式リヤカーです。<br>●運搬作業時や緊急避難、災害用として最適な1台です。<br>●簡単組立可能なアルミ製折りたたみ式リヤカーです。<br>●運搬作業時や緊急避難、災害用として最適な1台です。<br><br>●荷物運搬。<br>●防災緊急用として。<br><br>●長さ(mm)：2380<br>●幅(mm)：1160<br>●高さ(mm)：810<br>●積載面寸法(長さ×幅)(mm)：1455×800<br>●タイヤタイプ：24インチノーパンクタイヤ<br>●質量(kg)：38<br>●折りたたみ時寸法(mm)長さ×幅×高さ：1540×440×810<br><br>●タイヤタイプ：24インチノーパンク<br>●最大積載荷重：180ｋｇ<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【HKW180L】(7597100) アルミ製折りたたみ式リヤカー 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【HKW180L】(7597100) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』##■〒アルインコ【HKW180L】(7597100) アルミ製折りたたみ式リヤカー 受注単位1[rn]
19-26110,,34992.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【HK100E】(4390113) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ノーパンクタイヤを標準装備したアルミ製折りたたみ式リヤカーです。<br>●使用しない時はワンタッチで折りたため、コンパクトに収納できる折りたたみ式です。<br>●荷台が四方を板で囲ってあるため、小さな物でも運搬中に落とすことがありません。<br><br>●荷物運搬。<br>●防災緊急用として。<br><br>●長さ(mm)：1860<br>●幅(mm)：870<br>●高さ(mm)：630<br>●積載面寸法(長さ×幅)(mm)：900×600<br>●タイヤタイプ：20インチノーパンク<br>●折りたたみ時寸法(mm)長さ×幅×高さ：1020×370×750<br><br>●最大積載荷重：100kg(HK100E)、150kg(HK150E)<br>●最大積載荷重：１００ｋｇ<br>●折りたたみ時寸法：Ｗ１．０２×Ｄ０．３７×Ｈ０．７５ｍ<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【HK100E】(4390113) アルミ製折りたたみ式リヤカー 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【HK100E】(4390113) アルミ製折りたたみ式リヤカー 受注単位1,物流保管用品\運搬車輌機器\一輪車・リヤカー。『カード対応OK！』##■〒アルインコ【HK100E】(4390113) アルミ製折りたたみ式リヤカー 受注単位1[rn]
19-26111,,35565.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0051】(7669461) Ｍｏｖｅｘｘ　牽引用フック　４３ｍｍ 受注単位1,物流保管用品\運搬車輌機器\運搬車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●Ｔ１０００用の牽引フックです。<br>●幅43cmまでのワークを引掛けることが可能です。<br><br><br>●全幅(mm)：250<br>●品名：牽引用フック43mm<br><br><br>",『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0051】(7669461) Ｍｏｖｅｘｘ　牽引用フック　４３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0051】(7669461) Ｍｏｖｅｘｘ　牽引用フック　４３ｍｍ 受注単位1,物流保管用品\運搬車輌機器\運搬車。『カード対応OK！』■〒Ｍｏｖｅｘｘ社/Ｍｏｖｅｘｘ【H0051】(7669461) Ｍｏｖｅｘｘ　牽引用フック　４３ｍｍ 受注単位1[rn]
