10-49801,http://tshop.r10s.jp/akibaoo-r/cabinet/gi114/4975657230161.jpg?fitin=700:700,3496.8000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,【ニイタカ NIITAKA】ニューケミクール 18kg E-1,納期:取寄品 出荷:約3-5日,ニイタカ NIITAKA ニューケミクール18kg<br><br>・油汚れ用強力洗浄剤<br>・厨房内のがんこな油汚れを根こそぎ落とし、洗浄効率をアップ<br>・汚れに応じて原液～100倍で使用できます<br>・ぬるま湯で希釈すれば洗浄力アップ<br><br>●商品寸法（ｍｍ）：238×238×349●使用濃度：原液～100倍●主成分：水酸化ナトリウム　界面活性剤●液性：アルカリ性,【ニイタカ NIITAKA】ニューケミクール 18kg E-1：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【ニイタカ NIITAKA】ニューケミクール 18kg E-1,納期:取寄品 出荷:約3-5日。【ニイタカ NIITAKA】ニューケミクール 18kg E-1[rn]
10-49802,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_013/4542656100001_ll.jpg?fitin=700:700,2624.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,リンテック21 感震ブレーカーアダプター ヤモリ ホワイト GVSB1 [GVSB1],地震による停電からの復帰時、通電火災の防止に。,□商品説明<br>●ヤモリは地震で転倒した電気ストーブなどが再通電した際、火災を引き起こす事を防ぐ為に作られた製品です。<br>●古来からの家を守るとの言い伝えと分電盤に貼り付いた姿が【ヤモリ】のネーミングの由来です。<br>●強力接着固定なので、誰でも簡単に取り付け可能です。<br>●アンペアブレーカー、主幹ブレーカーに設置可能でレバー埋め込み型など様々な種類の分電盤に取り付け可能です。適合するか調査・選択する手間が不要です。<br>●作動震度を震度6弱、5強のいずれか選択可能です。任意で切り換えて御使用下さい。<br>□商品仕様<br>●素材:ABS/PCアロイ、PBT、ステンレス材、アクリル系接着パッド<br>●耐久年数:10年<br>●使用環境温度:-20℃～40℃<br>●寸法:W6.6×H14.5×D5.5cm<br>●質量:70g<br>●構成:本体(1個)、アルコールパッド(1枚)、取扱説明書(1部),リンテック21 感震ブレーカーアダプター ヤモリ ホワイト GVSB1 [GVSB1]：エディオン　楽天市場店,リンテック21 感震ブレーカーアダプター ヤモリ ホワイト GVSB1 [GVSB1],地震による停電からの復帰時、通電火災の防止に。。リンテック21 感震ブレーカーアダプター ヤモリ ホワイト GVSB1 [GVSB1][rn]
10-49803,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_132/4966307230112_ll.jpg?fitin=700:700,1338.4000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,ヤザワ ケータイ充電ターボライター付ダイナモライト BL110LMODBR [BL110LMODBR],,□商品説明<br>●手回し充電式なので電池が不要、ガスやオイルの必要が無い電気式のライターです。<br>●付属の携帯電話充電プラグアダプターを使用して充電する事ができます。<br>●アウトドアや防災用品として最適です。雨でも安心の防雨型仕様です。<br>●LEDライト、鞄やベルトなどに取り付けができる方位磁針付きカラビナとホイッスル機能も搭載しています。<br>□商品仕様<br>●充電形式：手動充電<br>●電源：リチウムイオン電池内蔵 3.7V160mA<br>●手動充電ライター発熱充電目安：約1回発熱 (ハンドルを120回/分として1分間回した場合)<br>●手動充電点灯時間目安：連続点灯 約20分間 (ハンドルを120回/分として1分間回した場合)<br>●光源：白色高輝度LED×2灯(CREE製)<br>●照度：約8 lx (距離1m時・中心点照度)<br>●充放電回数目安：約500回<br>●充電対応機種：docomo / SoftBank / au<br>●手動充電携帯電話持続時間：携帯電話(docomo / SoftBank / au)連続待ち受け/約50分間、連続通話/約3分間 (ハンドルを120回/分として3分間回した場合)<br>●本体寸法：約(W)52×(H)105×(D)35mm<br>●本体重量：約118g(本体のみ)<br>●包装形態：スライドブリスター<br>●パッケージ寸法：約(W)132×(H)262×(D)40mm<br>●パッケージ重量：約185g (パッケージ+本体+付属品)<br>●付属品：充電コード・docomo/SoftBank用 / au用各種充電プラグアダプター / カラビナ<br>●コード長：約50cm<br>●防水性能：防雨型(IP-X3相当),ヤザワ ケータイ充電ターボライター付ダイナモライト BL110LMODBR [BL110LMODBR]：エディオン　楽天市場店,ヤザワ ケータイ充電ターボライター付ダイナモライト BL110LMODBR [BL110LMODBR],ヤザワ ケータイ充電ターボライター付ダイナモライト BL110LMODBR [BL110LMODBR][rn]
10-49804,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_132/4901087196098_ll.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,エルパ 防災保温シート RHS-01 [RHS01],,□商品説明<br>●緊急時の気象の変化や風雨から身を守る軽量緊急用シートです。山や海のレジャー用品としてもご使用いただけます。災害時やアウトドアで重宝する便利防災グッズです。<br>●軽量コンパクトなアルミ蒸着フィルムの緊急用シートです。<br>●外からの熱を遮断する効果があり、また防水効果もあります。<br>●アルミ膜が体温の低下を防止します。<br>□商品仕様<br>●材質：ポリエステル(アルミ蒸着フィルム)<br>●サイズ：幅210×長さ140(cm)<br>●入数：1枚,エルパ 防災保温シート RHS-01 [RHS01]：エディオン　楽天市場店,エルパ 防災保温シート RHS-01 [RHS01],エルパ 防災保温シート RHS-01 [RHS01][rn]
10-49805,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_015/4544391770013_ll.jpg?fitin=700:700,2040.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,プロセブン バイオマスマット(1枚入) B-N1001G [BN1001G],植物由来成分配合で地球に優しい。,□商品説明<br>●震度7クラス対応(1、000Gal相当)。<br>●従来品に比べ耐震荷重が向上。<br>●水洗いで再使用可。<br>●バイオマス原料使用によりCO2を削減。<br>●対象物の形状(底面)に合わせて自由にカット可能。<br>●ロッカー・本棚・大型キャビネット・液晶テレビ等に。<br>□商品仕様<br>●入り数:1枚<br>●耐震荷重:140kg<br>●寸法:10.0×10.0×0.5cm,プロセブン バイオマスマット(1枚入) B-N1001G [BN1001G]：エディオン　楽天市場店,プロセブン バイオマスマット(1枚入) B-N1001G [BN1001G],植物由来成分配合で地球に優しい。。プロセブン バイオマスマット(1枚入) B-N1001G [BN1001G][rn]
10-49806,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_105/4989602102083_ll.jpg?fitin=700:700,1024.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,パナソニック 音のかぎ　アルミサッシ用 EK19AP [EK19AP],,●仕様:アルミサッシ用  <br>●使用電池:単3×2個  <br>●電池:乾電池別  <br>●入り数:1/10,パナソニック 音のかぎ　アルミサッシ用 EK19AP [EK19AP]：エディオン　楽天市場店,パナソニック 音のかぎ　アルミサッシ用 EK19AP [EK19AP],パナソニック 音のかぎ　アルミサッシ用 EK19AP [EK19AP][rn]
10-49807,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4981325169442_ll.jpg?fitin=700:700,4320.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,【送料無料】ロゴス LLL コンプレスドライバルブバッグ15 82100080 [82100080],,●LLLコンプレスドライバッグは濡れた衣類も圧縮収納できます。<br>●内容物の出し入れが容易で密封できるベルトシステムの防水バッグです。<br>●濡れたものと乾燥したものを分離収納するのに便利です。しかも独自のバルブでかさばる衣類も圧縮収納でき、枕やクッションとして、短時間なら洪水時のフローターとしても使えます。<br>●優れた防水性能とベルトで水の運搬も可能です。<br>●総重量：（約）0.13kg<br>●容量：（約）15L<br>●サイズ：（約）幅35×長さ68cm<br>●素材：ナイロン,【送料無料】ロゴス LLL コンプレスドライバルブバッグ15 82100080 [82100080]：エディオン　楽天市場店,【送料無料】ロゴス LLL コンプレスドライバルブバッグ15 82100080 [82100080],【送料無料】ロゴス LLL コンプレスドライバルブバッグ15 82100080 [82100080][rn]
10-49808,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4981325454784_ll.jpg?fitin=700:700,518.4000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,ロゴス LLL 増熱ブラックレスキューシート 84203330 [84203330],,●ゴールドよりも暖かい!<br>●シルバーはもちろんゴールドよりも増熱性が高い最強レスキューシートです<br>●20℃水が33℃になる!※全体を包み約25度直射日光下で5.5時間後の水温<br>●総重量：（約）50g<br>●サイズ：（約）幅140×奥行220cm<br>●収納サイズ：（約）幅9×奥行12×厚さ2cm<br>●素材：ポリエステルフィルム（アルミ蒸着）,ロゴス LLL 増熱ブラックレスキューシート 84203330 [84203330]：エディオン　楽天市場店,ロゴス LLL 増熱ブラックレスキューシート 84203330 [84203330],ロゴス LLL 増熱ブラックレスキューシート 84203330 [84203330][rn]
10-49809,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4981325169589_ll.jpg?fitin=700:700,4504.0000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,【送料無料】ロゴス LLL エマージェンシードラム18 82100200 [82100200],,●テーマカラーであるLOGOSレスキューオレンジを採用し、視認性とデザイン性に気を配りました。<br>●椅子の代わりにもなるように取り外し可能なクッションを備えています。<br>●クッションを取り外すと直径30センチのテーブルにもなります。<br>●台所に置いて脚立代わりにしたり、玄関において靴を履くための椅子に使用したりと普段の生活で最も使用される場所へ自然に配置されることになります。<br>●頑丈なスチール製ですから倒壊した家屋からの取り出しも想定したスペックなのです。<br>●缶の内側は無毒性のメッキを施し、給水車からの飲料水の確保に役立ちます。<br>●また蓋はゴムシールドされ完全密封できますので、防水性能が高く、信頼性の高い備品保管用具になりました。<br>●高さが十分あるので2リットルのペットボトルも余裕で保管ができます。<br>●サイズ：（約）直径31×高さ34cm<br>●収納サイズ：（約）直径31×高さ34cm耐荷重目安（静止荷重）:（約）440kg,【送料無料】ロゴス LLL エマージェンシードラム18 82100200 [82100200]：エディオン　楽天市場店,【送料無料】ロゴス LLL エマージェンシードラム18 82100200 [82100200],【送料無料】ロゴス LLL エマージェンシードラム18 82100200 [82100200][rn]
10-49810,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4981325403539_ll.jpg?fitin=700:700,1555.2000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,ロゴス LLL ストロングレスキューシート 84203320 [84203320],,●従来のレスキューシートより更に暖かく!丈夫に!<br>●アルミ蒸着シートに不織布をラミネートした、丈夫で暖かいレスキューシート<br>●引き裂き強度が高いストロングタイプ<br>●寒い時はアルミ面を内側にすると輻射熱で暖かくキープ<br>●アルミ面を外側にすると、夏場の強い太陽光を反射して、急激な体温上昇を防ぎます<br>●総重量：（約）200g<br>●サイズ：（約）幅150×長さ200cm<br>●収納サイズ：（約）幅19×奥行26×高さ3cm<br>●主素材：ポリエステルフィルム（アルミ蒸着）、不織布,ロゴス LLL ストロングレスキューシート 84203320 [84203320]：エディオン　楽天市場店,ロゴス LLL ストロングレスキューシート 84203320 [84203320],ロゴス LLL ストロングレスキューシート 84203320 [84203320][rn]
10-49811,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_136/4981325169435_ll.jpg?fitin=700:700,604.8000,,日用品雑貨・文房具・手芸 > 防災関連グッズ > その他,ロゴス LLL 防水備忘ウォレット 82100070 [82100070],,●備忘ウォレットは銀行預金の控え、健康保険の控え、家族情報など緊急時に必要な事項を機能的に整理できるメモが防水性に優れたケースに入っています。<br>●緊急用にコインや紙幣も入れておくことをお薦めします。<br>●サイズ：（約）幅10×奥行15cm<br>●素材：PVC,ロゴス LLL 防水備忘ウォレット 82100070 [82100070]：エディオン　楽天市場店,ロゴス LLL 防水備忘ウォレット 82100070 [82100070],ロゴス LLL 防水備忘ウォレット 82100070 [82100070][rn]
