10-110601,http://tshop.r10s.jp/livinza/cabinet/00924262/wh-830-new_01.jpg?fitin=700:700,5584.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,木製コートハンガー WH-830 ハンガーラック コートハンガー 棚付 木製ハンガーラック 木製コートハンガー キャスター付 【05P14Apr17】,木製 ハンガーラック　棚付 木製ハンガー掛け 天然木 洋服掛け,"<link rel=""stylesheet"" href=""http://www.rakuten.ne.jp/gold/livinza/css/sp_size.css"" ="""">

<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830_1.jpg"" width=""100%"" 　　　>
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830_02.jpg"" width=""100%""><br>

<p>スチール製のパイプハンガーはどれも鉄棒を小さくしたようなデザインの物しかありません。<br>
ベランダに置くならまだしも、部屋の中にあのデザインはちょっと…<br>
オシャレな空間を台無しにしてしまいます。</p>

<p>こちらの天然木コートハンガーはスチール製とは違い、温かみのあるデザイン。<br>
高級感があり、他の家具との相性も良く、リビングに置いてもお部屋のイメージを崩しません。<br>
コートや洋服を掛けるのはもちろんのこと、オフシーズンの時は洗濯物を一時干し
しておく物干しとしても使い分けできます。<br>
サイドには４つの丸いフックが付いており、バッグやストールを引っ掛けるのに丁度いい高さ。<br>
これは取り外し可能なので邪魔になるようなら取り外して使うこともできます。<br>
デザイン性、利便性どちらも兼ね備えた機能的なハンガーラックです。</p>

<center><img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830_03.jpg"" width=""70%""></center>
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830_04.jpg"" width=""100%"">
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830-new_04.jpg"" width=""100%"" 　　　>
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/wh-830-new_06.jpg"" width=""100%"" 　　　>
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/img61215075.jpg"" width=""100%"" 　　　>
<img src=""http://image.rakuten.co.jp/livinza/cabinet/00924262/img61203719.jpg"" width=""100%"" 　　　>

木製コートハンガー
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"" bordercolor=""#cccccc"">
<tr><td bgcolor=""#eeeeee"" colspan=""2"" align=""center""><font size=""-1"">商品説明</font></td></tr>
<tr><td colspan=""2""><font size=""-1"">
金属製が多い中で天然木を使ったハンガーはナチュラル感があって人気です。<br>こちらはサイドにも掛けられるフックが付いたタイプですが、折りたたみ式タイプもございます。
</font></td>
</tr>
<tr>
<td bgcolor=""#eeeeee"" width=""17%"" align=""center""><font size=""-1"">品　番</font></td>
<td><font size=""-1"">WH-830</font></td>
</tr>
<tr>
<td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">サイズ</font></td>
<td><font size=""-1"">(約)幅84x奥行45.5x高さ155.5cm</font></td>
</tr>

<tr>
<td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">材　質</font></td>
<td><font size=""-1"">フレーム：天然木塗装、ハンガー部：天然木（径28mm）塗装</font></td>
</tr>
<tr>
<td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">仕　様</font></td>
<td><font size=""-1"">サイドにも掛けられる木製フック付<br>
キャスター付</font></td>
</tr>
<tr><td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">組　立</font></td>
<td><font size=""-1"">お客様組立商品</font></td></tr>
<tr><td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">ご注意</font></td>
<td><font size=""-1"">※ホワイトウォッシュ色は天然木に白く塗装を施してあるので、うっすら木目が見える仕様となっております。真っ白ではございませんのでご注意ください。</font></td></tr>
<tr>
<td bgcolor=""#eeeeee"" align=""center""><font size=""-1"">送　料</font></td>
<td><font size=""-1"">
<font color=""#CC0000""><font size=""+1""><b>送料無料</b></font>(北海道：800円税別)沖縄・離島別途お見積り</font>
</font></td>
</tr>
</table>
<br><br>
<div id=""kanren"" 　　　>
<table><tr>
<th colspan=""3"">木製ハンガーシリーズ</th></tr>
<tr><td>省スペ ハンガーラック</td></tr>
<tr><td>折り畳み式</td></tr>
</table>
</div 　　　>

ハンガーラック一覧はコチラ</a 　　　>

<br>

<img src=""http://image.rakuten.co.jp/livinza/cabinet/pal/yuudou_bn.gif"" width=""100%"">",木製コートハンガー WH-830 ハンガーラック コートハンガー 棚付 木製ハンガーラック 木製コートハンガー キャスター付 【05P14Apr17】：生活館Livinza,家具 通販家具 アウトレット家具オフィス家具 通販家具 アウトレット家具ベッド 布団 通販家具 アウトレット家具ソファー 通販家具 アウトレット家具テーブル 椅子 通販家具 アウトレット家具ベビーチェアー 通販家具 アウトレット家具デスク チェアー 通販家具 アウトレット家具収納家具 本棚 食器棚 壁面家具 TV台 通販家具 アウトレット家具ミラー ドレッサー コートハンガー  通販家具 アウトレット家具衝立 パーテーション 間仕切り   通販家具 アウトレット家具ニュークックアート プラス ミニ 電子レンジ調理器 通販圧力鍋 パール金属 通販ブルーダイヤモンドコート パール金属 通販ヤーマン YAMAN 美容 健康機器 通販土鍋 タジン鍋 IH対応 デザイナーズ家具 こたつ 炬燵 コタツ炬燵布団　コタツ布団 こたつふとん　加湿器 空気清浄機ハッピーコールグルメパン木製コートハンガー WH-830 ハンガーラック コートハンガー 棚付 木製ハンガーラック 木製コートハンガー キャスター付 【05P14Apr17】,木製 ハンガーラック　棚付 木製ハンガー掛け 天然木 洋服掛け。木製コートハンガー WH-830 ハンガーラック コートハンガー 棚付 木製ハンガーラック 木製コートハンガー キャスター付 【05P14Apr17】[rn]
10-110602,http://tshop.r10s.jp/shopbiyori/cabinet/dreamhanger/one/oh1031n/main_01-11.jpg?fitin=700:700,1992.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,【半額！通常価格￥4980-】【送料無料/あす楽】【レビュー4800件突破】 ワンタッチ式 つっぱりポールハンガー 収納 棚 玄関収納 ハンガーラック ハンガーポール 突っ張り 突っ張り棒 コートハンガー《OH-1031N》,つっぱり ラック ポールハンガー つっぱり式ハンガー,"<link rel=""stylesheet""　　　　　　　　　　　　　　　
href=""http://www.rakuten.ne.jp/gold/shopbiyori/css/longpage.css"">

<font size=""0.3pt"">
【送料無料/あす楽】壁掛け収納 つっぱり式ラック 壁掛けハンガー ワードローブクローゼット ハンガーラック ハンガー クローゼット ランドリーラック ポールハンガーワンタッチ式つっぱりポールハンガー 16カラーバリエーション豊富 </font><br>

<font color=""#FF0000"" size=""+2"">
※OH-1031NモデルはOH-1001Nモデルと同仕様のモデルになりますので予めご了承の上ご購入いただけるようお願い致します。<br></font>
<font color=""#FF0000"" size=""+1"">
5月21日(水)更新 (集計日：5月12日～5月18日)　コートハンガーランキング　1位<br>
5月21日(水)更新 (集計日：5月12日～5月18日)　玄関収納ランキング　1位<br>
10月2日(木)更新（集計日：9月22日～9月28日）玄関収納ランキング　1位<br>
11月12日(木)更新（集計日：11月3日～11月9日）玄関収納ランキング　1位<br>
11月12日(木)更新（集計日：11月3日～11月9日）　コートハンガーランキング　1位<br>
</font>
<br>

ポールハンガー|コートハンガー<br>
【商品説明】<br>
発売以来、累計で25万本以上の販売を誇るワンタッチ突っ張りシリーズ・ドリームハンガー。女性の方でもワンタッチで簡単取り付け可能です！ポールの足元は円盤型ではないので、小さなスペースでも取り付け可能です。玄関・寝室などへの移動も簡単にできます。<br><br>
【仕様】<br>
  型　番 : OH-1031N<br>
  カラー：ホワイト・ダークブラウン・アイボリーハンマートーン・グリーン・ピンク・オレンジ・シルバー・ブラック・レッド・イエロー・パステルピンク・パステルグリーン・ベージュ・パープル・ブルー・パステルブルー<br>
の全16色<br>
  高さ：140～280cmで調整可能<br>
  パイプ径：32/28mm<br>
  重量：約2.0kg <br>
  材質：スチールパイプ、合成ゴム、ポリプロピレン、ABS樹脂、PVC(木目調カラーのみ)<br>
  耐荷重：フック1つあたり約5.0kg ※耐荷重は均等荷重時のものです。 <br>
原産国：韓国製
<br><br>
【ご注文前の注意事項】<br>
  1.沖縄・離島へは別途配送料をご請求させていただきます。<br>
  2.写真はお客様のPC画面によって実際のカラーと異なる場合があります。<br>
  3.予告なく仕様が変更される場合がございます。ご了承ください。<br>
【送料無料/あす楽】【レビュー4800件突破】ワンタッチ式つっぱりポールハンガー収納 玄関収納 ハンガーラック ハンガーポール 突っ張り 突っ張り棒 コートハンガー《OH-1031N》 
<hr>

<img src=""http://image.rakuten.co.jp/shopbiyori/cabinet/mobile/170414_sp_bottom_bn.gif"" width=""100%"" border=""0"" />",【半額！通常価格￥4980-】【送料無料/あす楽】【レビュー4800件突破】 ワンタッチ式 つっぱりポールハンガー 収納 棚 玄関収納 ハンガーラック ハンガーポール 突っ張り 突っ張り棒 コートハンガー《OH-1031N》：ドリームプラザ,つっぱり突っ張りツッパリ突っ張り棒ポールハンガーつっぱりポールハンガーつっぱりラックつっぱり棚つっぱり収納つっぱりクローゼットカーテンクローゼット水切りステンレスシンク枕空間fitＤＵＯＲＥＳＴDR-7501SPオフィスチェア人間工学【半額！通常価格￥4980-】【送料無料/あす楽】【レビュー4800件突破】 ワンタッチ式 つっぱりポールハンガー 収納 棚 玄関収納 ハンガーラック ハンガーポール 突っ張り 突っ張り棒 コートハンガー《OH-1031N》,つっぱり ラック ポールハンガー つっぱり式ハンガー。【半額！通常価格￥4980-】【送料無料/あす楽】【レビュー4800件突破】 ワンタッチ式 つっぱりポールハンガー 収納 棚 玄関収納 ハンガーラック ハンガーポール 突っ張り 突っ張り棒 コートハンガー《OH-1031N》[rn]
10-110603,http://tshop.r10s.jp/gekiyasu-kagu/cabinet/h-2378.jpg?fitin=700:700,2956.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,【送料無料】【あす楽】 北欧風ハンガー(棚付き) H-2378 コートハンガー 木製 ハンガーラック 折り畳み式 A型ハンガー おしゃれ,コートハンガー 木製 ハンガーラック 折り畳み式,"<img src=""http://image.rakuten.co.jp/gekiyasu-kagu/cabinet/h-2378.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/gekiyasu-kagu/cabinet/img59674381.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/gekiyasu-kagu/cabinet/img59674382.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/gekiyasu-kagu/cabinet/2017/h-2378-4.jpg"" width=""100%""><br><br>
<table width=""100%"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""10"">



<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">商品説明</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
すのこ状の棚板が下に付いていて、<br>
バッグや靴箱など置けるスペースになっています。<br>
フレームの上のクロスになっているパーツには<br>
帽子やストールなどひっかけることが出来て便利です。<br>
すのこは本体に付いたまま折りたためます。<br>
使わない時はコンパクトに収納できます。<br>
カラーはナチュラルとダークブラウンとホワイトの3色からお選びいただけます。
</font>
</td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">商品サイズ</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■(約)W620×D495×H1515mm
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">商品重量</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■(約)5.5kg<br>
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">耐荷重</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■上部バー：5kg<br>
・サイドッフック：1kg<br>
・すのこ棚板5kg
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">仕様・材質</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■天然木(ラバーウッド材)
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">梱包</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■梱包サイズ：(約)W170×D65×H1575mm<br>
・梱包重量：(約)6kg
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">組み立て</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
組立品
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">製造国</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■ベトナム
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">送料</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#FF3300"">
送料無料（北海道・沖縄・離島は除く）
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">備考</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
■あす楽でご注文される方へ【必ずお読み下さい】<br>
・12時以降のご注文の場合は当日出荷できません。<br>
・土日祝祭日、長期休業中は発送業務を行っておりません。あす楽でご注文いただいた場合でも翌営業日の発送となります。<br>
・日曜、祝日の配達はできません。<br>
・クレジットでご決済いただいた方のみの対応サービスとなります。他のご決済方法であす楽をご選択いただいても対象になりません。<br>
・「在庫あり」のカラーのみ対応です。<br>
・あす楽未対応の商品を同時にご注文されている場合、翌日のお届けはできません。 <br>
<br>
■ポイントが付与されない事項について<br>
※楽天規約より一部抜粋しております <br>
・不在またはお客様及びお受取人様の都合で翌日にお届けが完了できなかった場合。<br>
・お届け先が「翌日配送　対応可能エリア」に含まれない場合。<br>
・ご注文日またはその翌日以降が当店の休業日にあたる場合。<br>
・ご注文の際、お届け日のご指定をされている場合。お届け時間のご指定をされている場合。<br>
・あす楽対応商品とあす楽に対応していない商品を同時にご注文されている場合。<br>
・商品の一部及び全部に破損又は不良があっても翌日中に商品が到着した場合。<br>
・天災、事故等による交通渋滞、異常気象その他不可抗力事由が生じた場合。<br>
・年末年始、ゴールデンウィーク、お盆等の繁忙期、輸送量の増加により、配送業者が 翌日商品をお届けできなかった場合。<br>
・クレジットカード決済でカード会社の承認が取れなかった場合。<br>
・あす楽対応商品ではあるものの、お客様が注文内容確認の配送日時指定項目で「あす楽を希望する」にチェックをいれていない場合。<br>
</font></td>
</tr>

<tr>
<td colspan=""2"" align=""left"" bgcolor=""#EFEFEF"">
<font  size=""2"" color=""#666666"">検索語</font></td>
</tr>
<tr>
<td colspan=""2"" align=""left"" bgcolor=""#FFFFFF"">
<font  size=""2"" color=""#666666"">
コートハンガー 折りたたみ 木製 A型ハンガー 幅62cm ウッド 売れ筋 北欧風 シンプル 高さ152cm 通販 人気 激安 おすすめ 衣類収納 洋服収納 リビング収納 インテリア 整理 服収納 安い 便利
</font></td>
</tr>


</table>",【送料無料】【あす楽】 北欧風ハンガー(棚付き) H-2378 コートハンガー 木製 ハンガーラック 折り畳み式 A型ハンガー おしゃれ：1st-KAGU　【ファースト家具】,子供用家具知育玩具キッズ家具ダイニングテーブル子供靴生活雑貨ベビーキッズプレゼントベビーフィートキッズシューズネイキッズセールベビーシューズ送料無料学習チェア学習デスクランドセルラック収納ブリオ【送料無料】【あす楽】 北欧風ハンガー(棚付き) H-2378 コートハンガー 木製 ハンガーラック 折り畳み式 A型ハンガー おしゃれ,コートハンガー 木製 ハンガーラック 折り畳み式。【送料無料】【あす楽】 北欧風ハンガー(棚付き) H-2378 コートハンガー 木製 ハンガーラック 折り畳み式 A型ハンガー おしゃれ[rn]
10-110604,http://tshop.r10s.jp/kagustyle/cabinet/mail_w/170411/k_04_q4l74.jpg?fitin=700:700,1992.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,ポールハンガー 北欧NPH-165 パイプハンガー ハンガーラック コートハンガー クローゼットハンガー【送料無料】 山善/YAMAZEN/ヤマゼン,【期間限定セール中】,"＞ カテゴリトップ<br><br>＞ インテリア<br><br>＞ 衣類収納<br><br>＞ ハンガーラック<br><br><img src=""http://www.rakuten.ne.jp/gold/kagustyle/sp.gif"" height=""0""><br><br><p><img src=""http://www.rakuten.ne.jp/gold/kagustyle/sp_img/l_q4l74.jpg"" width=""100%""></p><center><br><table width=""85%""><tr bgcolor=""#bf0000""><td height=""50"" align=""center""><b><font color=""#ffffff"" size=""+2"">パソコン版で詳細確認⇒</font></b></td></tr></table><br></center><table width=""100%"" cellpadding=""4"" cellspacing=""1"" bgcolor=""#660033"">
<tr bgcolor=""#FFFFFF"">
<td width=""100%"" colspan=""2""><font size=""2"" color=""#660033"">山善(YAMAZEN) <br>ポールハンガー <br>NPH-165</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td width=""20%"" bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">本体サイズ</font></td>
<td width=""75%""><font size=""2"" color=""#660033"">幅29×奥行29×高さ167cm　重量4.5kg</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">材質</font></td>
<td><font size=""2"" color=""#660033"">スチール(ホワイト、ブラック：粉体塗装、シルバー：クロムめっき)</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">仕様</font></td>
<td><font size=""2"" color=""#660033"">●原産国：台湾<br>●組立品です<br>●組立時間：約10-20分</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">商品説明</font></td>
<td><font size=""2"" color=""#660033"">●省スペースのポールハンガーで、バッグや帽子、コートをひとまとめ<br>●フック形状のバーで帽子をかけるのにも便利<br>●直径29cmのスペースにシャツや帽子をチョイ掛け<br>●土台におもりが入り、安定感アップ<br>●ハンガーバー6本<br>●耐荷重：バー1本あたり2kg</font></td>
</tr>
<tr bgcolor=""#FFFFFF"">
<td bgcolor=""#C79858""><font size=""2"" color=""#FFFFFF"">商品<br>補足説明</font></td>
<td><font size=""2"" color=""#660033"">YAMAZEN ヤマゼン 山善 通販 ポールハンガー キッズハンガー パイプハンガー ハンガー ラック ハンガーラック シングルハンガー コートハンガー 玄関収納 クローゼット クローゼットハンガー ロッカー 衣類収納 収納 衣替え (WH)Q4L74 (BK)Q9P21 (CH)Q9P20</font></td>
</tr>
</table><br><img src=""http://www.rakuten.ne.jp/gold/kagustyle/sale_page/week/170411.jpg"" border=""0"" width=""100%"">",ポールハンガー 北欧NPH-165 パイプハンガー ハンガーラック コートハンガー クローゼットハンガー【送料無料】 山善/YAMAZEN/ヤマゼン：ｅ家具スタイル,ベッド折りたたみベッドすのこベッドクーラーボックステント冷却マットメタルラック本棚デスク机パソコンデスク座椅子チェアテレビ台レンジ台アウトレットキッチンワゴン扇風機通販山善ポールハンガー 北欧NPH-165 パイプハンガー ハンガーラック コートハンガー クローゼットハンガー【送料無料】 山善/YAMAZEN/ヤマゼン,【期間限定セール中】。ポールハンガー 北欧NPH-165 パイプハンガー ハンガーラック コートハンガー クローゼットハンガー【送料無料】 山善/YAMAZEN/ヤマゼン[rn]
10-110605,http://tshop.r10s.jp/importshopaqua/cabinet/zoom/b/01/twcohan-zoom2.jpg?fitin=700:700,3760.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,【コートハンガー】【送料無料】tower（タワー）コートハンガー coat hanger ロングコートもお手のもの、自立式衣類掛け 衣類収納 ハンガーラック,タワー/コートハンガー/コートラック,"<img src=""http://www.rakuten.ne.jp/gold/importshopaqua/p/img/otodoke-sp.gif"" width=""100%"" =""""><br>
【本体】約幅40×奥行き40×高さ140(cm)※使用時<br>
【フレームの最大幅】約2cm<br>
【バーの直径】約1.5cm<br>
【耐荷重】約5kg<br>
【収納目安】着丈100cmまで、およそ600gのコートが8着程度（目安）<br>
【素材】フレーム（本体、台座）：スチール（紛体塗装）／バー：天然木<br>
【付属品】取扱説明書、フレーム本体、フレーム台座、ネジ（×2）、緩衝材（×4）<br>
【注意】<br>
※本製品はお客様による組立てが必要です。別途プラスドライバーが必要です。<br>
※ぶらさがったり、上に登ったり、ゆすったり、寄りかかったりしないでください。<br>
※耐荷重制限は必ずお守りください。<br>
PC版で詳しく見る ＞</a 　><br>
<span class=""sp_head"" ="""">関連する商品を一覧から探す</span 　><div class=""slink"" ="""">
YAMAZAKIブランドはこちら<br>
家具カテゴリはこちら</div 　><br><img src=""http://www.rakuten.ne.jp/gold/importshopaqua/p/img/otodoke-sp.gif"" width=""100%"" =""""><br><img src=""http://www.rakuten.ne.jp/gold/importshopaqua/p/img/or_delivery_sp.gif"" width=""100%"" =""""><br><img src=""http://image.rakuten.co.jp/importshopaqua/cabinet/omk/img2/oth_0001.jpg"" width=""100%"" ="""">",【コートハンガー】【送料無料】tower（タワー）コートハンガー coat hanger ロングコートもお手のもの、自立式衣類掛け 衣類収納 ハンガーラック：セレクトショップ・AQUA（アクア）,扇風機プラスマイナスゼロクニルプスknirps空気清浄機遠赤外線パネルヒーターソルビエントインテリアデザイン家電デザイン電話加湿器キッチン用品ミドルideaチムニー壁掛け時計アクア時計雑貨AQUA【コートハンガー】【送料無料】tower（タワー）コートハンガー coat hanger ロングコートもお手のもの、自立式衣類掛け 衣類収納 ハンガーラック,タワー/コートハンガー/コートラック。【コートハンガー】【送料無料】tower（タワー）コートハンガー coat hanger ロングコートもお手のもの、自立式衣類掛け 衣類収納 ハンガーラック[rn]
10-110606,http://tshop.r10s.jp/e-goods/cabinet/i_cart1/rita-p-hanger_th.jpg?fitin=700:700,8960.0000,,インテリア・寝具・収納 > 収納家具 > 玄関収納 > コートハンガー,Rita ポールハンガー (コートハンガー ハンガーラック ポールハンガー),お気に入りは枝に引っ掛ける,"<img src=""http://www.rakuten.ne.jp/gold/e-goods/new_rs_top/category/interior/img/sp/sp_cd_mrack_rita-p-hanger.jpg"" width=""100%"">

<br>
<p>
木目とスチールの組み合わせが美しい「Rita リタ ポールハンガー」は、コートや服飾小物などを引っ掛けることができるスタンドハンガーです。樹木のように枝分かれしたポールが特徴で、下の部分には、棚板があり携帯電話などの小物が置けるようになっています。圧迫感を感じさせず、何も掛けていない状態でも様になる美しいフォルムも魅力的です。
</p>

<br>
<img src=""http://image.rakuten.co.jp/e-goods/cabinet/omake/2pen-water-ecob.jpg""width=""100%"">
<br><br>

<div class=""c_nw"" =""""=""""></div ="""">
<div class=""c_nd"" =""""=""""></div ="""">
<div class=""clear"" =""""=""""></div ="""">

<div class=""i_info3"" =""""="""">

<dl ="""">
<dt ="""">解説</dt ="""">
<dd ="""">
木目とスチールの組み合わせが美しい「Rita リタ ポールハンガー」は、コートや服飾小物などを引っ掛けることができるスタンドハンガーです。樹木のように枝分かれしたポールが特徴で、下の部分には、棚板があり携帯電話などの小物が置けるようになっています。圧迫感を感じさせず、何も掛けていない状態でも様になる美しいフォルムも魅力的です。
</dd ="""">

<dt ="""">サイズ</dt ="""">
<dd ="""">全体/幅約45×奥行約45×高さ約180cm<br>
棚/直径29×高さ（地面から）42.5cm<br>
枝（一番上）の先端/地面から180cm<br>
枝（二番上）の先端/地面から170cm<br>
枝（真ん中）の先端/地面から156cm<br>
枝（下から二番目）の先端/地面から153cm<br>
枝（一番下）の先端/地面から133cm</dd ="""">

<dt ="""">重量</dt ="""">
<dd ="""">約8.8kg</dd ="""">

<dt ="""">材質</dt ="""">
<dd ="""">スチール（粉体塗装）・メラミン化粧板</dd ="""">

<dt ="""">耐荷重</dt ="""">
<dd ="""">枝/約5kg<br>
棚/約5kg<br>
全体最大/25kg</dd ="""">

<dt ="""">備考</dt ="""">
<dd ="""">脚部分のアジャスターによる上下微調整可能<br>
組み立て商品となります。</dd ="""">

</dl ="""">

<br>

<div class=""c_l_furn2"" =""""="""">
<p align=""center""><b>＜家具・大型商品に関するご注意＞</b></p>
<p>●家具・大型商品の沖縄・北海道・離島・一部地域への配送は別途送料がかかる場合がございます。（送料無料商品含む）<br>
●メーカー直送品に関しては、ご希望のお時間指定ができない場合がございますので、予めご了承ください。<br>
●家具・大型商品に関しては代金引換ができかねます。</p>
</div ="""">
<br>
<img src=""http://image.rakuten.co.jp/plus-tick/cabinet/table-1/rita-c-tablebrand.gif"" width=""100%"">

<br>
<table width=""98%"" cellspacing=""1"" cellpadding=""10"" border=""0"" bgcolor=""#666"" align=""center"">
<tr>
<td width=""30%"" bgcolor=""#E6E6E6"" align=""center"">
<b>
コートハンガー商品一覧
</b>
</td>
</tr>
</table>

<iframe src=""http://www.rakuten.ne.jp/gold/e-goods/iframe/sp_iframe/banner_event.html"" scrolling=""no"" class=""sp_iframe_banner_event"" =""""=""""></iframe ="""">




<table width=""100%"" bgcolor=""#FF3333"" cellpadding=""10"">
    <tr align=""center"" bgcolor=""#FFFFFF"">
    <td>
        <p align=""center""><font size=""+1"" color=""#ff3333"">もっと詳しくみる【PC版へ】</font>
        </p>
        </td>
    </tr>
</table>

<div class=""sp_bookmark"" =""""="""">
★ お気に入りに登録する
</div ="""">





<div id=""RightFavButton"" ="""">
<div class=""top"" ="""">
カートへ</a ="""">
</div ="""">
<div class=""bottom"" ="""">
ショップをお気に入りに登録</a ="""">
</div ="""">
</div ="""">


&nbsp;</a ="""">",Rita ポールハンガー (コートハンガー ハンガーラック ポールハンガー)：インテリアショップe-goods,家具インテリア雑貨ソファベッドテーブルバスマットカウンターチェアデスクPCデスク椅子机包丁シェルフラックsoil棚ハンガーラックコートハンガーRita ポールハンガー (コートハンガー ハンガーラック ポールハンガー),お気に入りは枝に引っ掛ける。Rita ポールハンガー (コートハンガー ハンガーラック ポールハンガー)[rn]
