10-148801,http://tshop.r10s.jp/akibamac/cabinet/04082709/4966307309528.jpg?fitin=700:700,572.0000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ヤザワJ12V10WAXSG4 コンパクトハロゲンランプ（10W/G4口金）,,"●UVカットカバーガラスにより紫外線を低減します。
●スポット照明やダウンライト等に最適です。",ヤザワJ12V10WAXSG4 コンパクトハロゲンランプ（10W/G4口金）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワJ12V10WAXSG4 コンパクトハロゲンランプ（10W/G4口金）,ヤザワJ12V10WAXSG4 コンパクトハロゲンランプ（10W/G4口金）[rn]
10-148802,http://tshop.r10s.jp/akibamac/cabinet/03437499/4902704778802.jpg?fitin=700:700,367.2000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,パナソニックLDG1LGW　LED装飾電球 (電球色相当),,■装飾照明に■電球に似たあたたかいあかり■Gタイプ■消費電力約1/8■約40000時間の長寿命■屋外器具対応（※）※使用条件: 1.屋外配線 2.直射日光が当たらない 3.防湿・防雨型器具にて使用,パナソニックLDG1LGW　LED装飾電球 (電球色相当)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパナソニックLDG1LGW　LED装飾電球 (電球色相当),パナソニックLDG1LGW　LED装飾電球 (電球色相当)[rn]
10-148803,http://tshop.r10s.jp/akibamac/cabinet/05264069/4966307312740.jpg?fitin=700:700,747.2000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ヤザワLED電球 （シャンデリア形・全光束35lm／電球色相当・口金E12） LDC1LG32E12W3,,■従来のシャンデリア球にそのまま置き換え可能です。■長寿命で消費電力も少ないため、大変経済的です。■シャンデリア球特有のキラメキ感を再現し、雰囲気に合わせた演出を可能にしました。■従来のシャンデリア球にそのまま置き換え可能です。■長寿命で消費電力も少ないため、大変経済的です。■シャンデリア球特有のキラメキ感を再現し、雰囲気に合わせた演出を可能にしました。,ヤザワLED電球 （シャンデリア形・全光束35lm／電球色相当・口金E12） LDC1LG32E12W3：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワLED電球 （シャンデリア形・全光束35lm／電球色相当・口金E12） LDC1LG32E12W3,ヤザワLED電球 （シャンデリア形・全光束35lm／電球色相当・口金E12） LDC1LG32E12W3[rn]
10-148804,http://tshop.r10s.jp/akibamac/cabinet/05264069/4901087198559.jpg?fitin=700:700,363.2000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／青色・口金E17） LDT1CB-G-E17-G118 (LDT1CBGE17G118),,■光源にはLEDを使用していますので、消費電力が少ない省エネタイプです。<br><br>【製品仕様】<br>■サイズ（mm）： 全長48×外径20<br>■質量（g）： 11<br>■口金： E17<br>■定格入力電流（A）： 0.01<br>■定格消費電力（W）： 0.8<br>■設計寿命（h）： 30000<br>■光色： 青,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／青色・口金E17） LDT1CB-G-E17-G118 (LDT1CBGE17G118)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／青色・口金E17） LDT1CB-G-E17-G118 (LDT1CBGE17G118),ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／青色・口金E17） LDT1CB-G-E17-G118 (LDT1CBGE17G118)[rn]
10-148805,http://tshop.r10s.jp/akibamac/cabinet/05264069/4901087198825.jpg?fitin=700:700,524.8000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G50形］・1.2W／青色・口金E17） LDG1CB-G-E17-G263 (LDG1CBGE17G263),,■光源にはLEDを使用していますので、消費電力が少ない省エネタイプです。<br><br>【製品仕様】<br>■サイズ（mm）： 全長70×外径50<br>■質量（g）： 17<br>■口金： E17<br>■定格入力電流（A）： 0.014<br>■定格消費電力（W）： 1.2<br>■設計寿命（h）： 30.000<br>■光色： 青,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G50形］・1.2W／青色・口金E17） LDG1CB-G-E17-G263 (LDG1CBGE17G263)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G50形］・1.2W／青色・口金E17） LDG1CB-G-E17-G263 (LDG1CBGE17G263),ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G50形］・1.2W／青色・口金E17） LDG1CB-G-E17-G263 (LDG1CBGE17G263)[rn]
10-148806,http://tshop.r10s.jp/akibamac/cabinet/05264069/4901087198542.jpg?fitin=700:700,363.2000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／赤色・口金E17） LDT1CR-G-E17-G117 (LDT1CRGE17G117),,■光源にはLEDを使用していますので、消費電力が少ない省エネタイプです。<br><br>【製品仕様】<br>■サイズ（mm）： 全長48×外径20<br>■質量（g）： 11<br>■口金： E17<br>■定格入力電流（A）： 0.01<br>■定格消費電力（W）： 0.8<br>■設計寿命（h）： 30000<br>■光色： 赤,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／赤色・口金E17） LDT1CR-G-E17-G117 (LDT1CRGE17G117)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／赤色・口金E17） LDT1CR-G-E17-G117 (LDT1CRGE17G117),ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ナツメ球形・0.8W／赤色・口金E17） LDT1CR-G-E17-G117 (LDT1CRGE17G117)[rn]
10-148807,http://tshop.r10s.jp/akibamac/cabinet/03437499/4902704778789.jpg?fitin=700:700,204.0000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,パナソニック調光器非対応LED電球 （装飾電球C形・全光束10lm/電球色相当・口金E12）　LDC1LGE12,,■装飾照明に■電球に似たあたたかいあかり■Cタイプ■消費電力約1/10■約40000時間の長寿命,パナソニック調光器非対応LED電球 （装飾電球C形・全光束10lm/電球色相当・口金E12）　LDC1LGE12：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパナソニック調光器非対応LED電球 （装飾電球C形・全光束10lm/電球色相当・口金E12）　LDC1LGE12,パナソニック調光器非対応LED電球 （装飾電球C形・全光束10lm/電球色相当・口金E12）　LDC1LGE12[rn]
10-148808,http://tshop.r10s.jp/akibamac/cabinet/04121921/4901087191147.jpg?fitin=700:700,481.6000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPALED電球 「S形ミニ球形」（電球色・口金E17） LDA1L-G-E17-G451 (LDA1LGE17G451),,省エネ・長寿命。,ELPALED電球 「S形ミニ球形」（電球色・口金E17） LDA1L-G-E17-G451 (LDA1LGE17G451)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPALED電球 「S形ミニ球形」（電球色・口金E17） LDA1L-G-E17-G451 (LDA1LGE17G451),ELPALED電球 「S形ミニ球形」（電球色・口金E17） LDA1L-G-E17-G451 (LDA1LGE17G451)[rn]
10-148809,http://tshop.r10s.jp/akibamac/cabinet/05264069/4901087198603.jpg?fitin=700:700,356.0000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G30形］・1.2W／赤色・口金E17） LDG1CR-G-E17-G247 (LDG1CRGE17G247),,■光源にはLEDを使用していますので、消費電力が少ない省エネタイプです。<br><br>【製品仕様】<br>■サイズ（mm）： 全長48×外径30<br>■質量（g）： 12<br>■口金： E17<br>■定格入力電流（A）： 0.014<br>■定格消費電力（W）： 1.2<br>■設計寿命（h）： 30.000<br>■光色： 赤,ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G30形］・1.2W／赤色・口金E17） LDG1CR-G-E17-G247 (LDG1CRGE17G247)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G30形］・1.2W／赤色・口金E17） LDG1CR-G-E17-G247 (LDG1CRGE17G247),ELPA（エルパ）LED装飾電球 「LEDエルパボールmini」（ミニボール電球形［G30形］・1.2W／赤色・口金E17） LDG1CR-G-E17-G247 (LDG1CRGE17G247)[rn]
10-148810,http://tshop.r10s.jp/akibamac/cabinet/04082709/0000000000000.gif?fitin=700:700,944.0000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ヤザワ匠G95E26110V20W白二重丸 (ﾀｸﾐG95E26110V20),,,ヤザワ匠G95E26110V20W白二重丸 (ﾀｸﾐG95E26110V20)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンヤザワ匠G95E26110V20W白二重丸 (ﾀｸﾐG95E26110V20),ヤザワ匠G95E26110V20W白二重丸 (ﾀｸﾐG95E26110V20)[rn]
10-148811,http://tshop.r10s.jp/akibamac/cabinet/05264069/4901087202188.jpg?fitin=700:700,1088.0000,,インテリア・寝具・収納 > ライト・照明 > LED電球・蛍光灯型 > その他,ELPA（エルパ）屋外ビームランプ 75形 散光EBRF110V60W/W (EBRF110V60WW),,●屋内 屋外兼用<br>●散光形（ビーム角30°）<br><br>【製品仕様】<br>■定格寿命：2000時間<br>■全光束：500lm<br>■消費電力：60W<br>■中心光度：1420cd<br>■ビーム角：30°<br>■ビーム光束：235lm<br>■口金：E26,ELPA（エルパ）屋外ビームランプ 75形 散光EBRF110V60W/W (EBRF110V60WW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELPA（エルパ）屋外ビームランプ 75形 散光EBRF110V60W/W (EBRF110V60WW),ELPA（エルパ）屋外ビームランプ 75形 散光EBRF110V60W/W (EBRF110V60WW)[rn]
