10-34501,http://tshop.r10s.jp/dtc/cabinet/chuko_c/2051290817012.jpg?fitin=700:700,7184.0000,,パソコン・周辺機器 > 液晶ディスプレイ,【中古】DELLE2211HB【291-ud】,,<table width=100%><tr><td><font size=2>【商品カテゴリ】液晶モニタ【商品グレード】∥★★★∥中古品∥<BR><BR>【画面サイズ】21.5インチワイド<BR>【映像入力端子】D-SUBミニ15ピンx1/DVI-Dx1<BR>【HDCP】対応<BR>【パネル】ノングレア(反射防止)<BR>【解像度】1920x1080/フルHD(アスペクト比16:9)<BR>【性能】21.5型ワイドスクリーンフラットパネルモニター ・最大表示解像度:1920 x 1080 ・コントラスト比: 1000:1 ・輝度:250cd/m2 ・応答速度:5ms ・視野角度: 垂直160°/水平170°・表示色: 1670万色 ・インターフェース:VGA、DVI-D(HDCP対応)/2010年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【付属品】[スタンド、ACケーブル、VGAケーブル]が付属。<BR>【欠品】[クイックセットアップガイド、ドライバおよびドキュメントメディア、DVIケーブル]欠品。<BR>【備考】正面ロゴ欠け有り。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】DELLE2211HB【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】DELLE2211HB【291-ud】,【中古】DELLE2211HB【291-ud】[rn]
10-34502,http://tshop.r10s.jp/dtc/cabinet/chuko_c/4541225005303.jpg?fitin=700:700,5584.0000,,パソコン・周辺機器 > 液晶ディスプレイ,【中古】NECMultiSync LCD-E231W【291-ud】,,<table width=100%><tr><td><font size=2>【商品カテゴリ】液晶モニタ【商品グレード】∥★★★∥中古品∥<BR><BR>【画面サイズ】23インチワイド<BR>【映像入力端子】D-SUBミニ15ピンx1/DVI-Dx1/DisplayPortx1<BR>【HDCP】対応<BR>【パネル】ノングレア(反射防止)<BR>【解像度】1920x1080/フルHD(アスペクト比16:9)<BR>【性能】23型、TN、LEDバックライト/画素ピッチ:0.265mm/解像度:1920x1080/表示色:約1677万色/輝度:250cd/m2/コントラスト比:1000:1/応答速度:5.0ms/信号入力コネクタ:ミニD-SUB15ピンx1、DVI-D(HDCP対応)x1、DisplayPort(HDCP対応)x1/2010年11月頃発売<BR><BR>【商品グレード】∥★★★∥中古品∥<BR>【外観状態】前面・上面・スタンドにキズ有り、前面に変色有り。<BR>【付属品】[ベーススタンド]が付属。<BR>【欠品】[セットアップマニュアル、ユーティリティーディスク、ACケーブル、アナログ信号ケーブル、DVI-Dケーブル、DisplayPortケーブル]欠品。<BR><BR>【ご注意事項】<BR>・こちらの商品は中古商品になります。<BR>・表示されている商品画像はイメージになります。実際の商品とは異なります。<BR>・万一初期不良等がありました場合はご返品のみのご対応となります。<BR>・中古商品に関しましてはメーカー保証、保証書は付属しておりません。<BR>・その他注意事項はPCサイトにてご確認ください。</font></td></tr></table>,【中古】NECMultiSync LCD-E231W【291-ud】：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone【中古】NECMultiSync LCD-E231W【291-ud】,【中古】NECMultiSync LCD-E231W【291-ud】[rn]
10-34503,http://tshop.r10s.jp/akibamac/cabinet/04927126/4549292083071.jpg?fitin=700:700,10800.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】キヤノン コンパクトデジタルカメラ IXY（イクシー） 200（レッド）,,■光学8倍ズームレンズを搭載したスタイリッシュボディー<br>・質量約126gの薄型・軽量ボディーに光学8倍ズームレンズ（※35mmフィルム換算で28-224mm相当）を搭載。<br><br>・デジタルズームを進化させた「プログレッシブファインズーム」を搭載。光学ズーム倍率の約2倍にあたる約16倍までのデジタルズーム領域でも高い解像感を保持。<br><br>・カメラ部有効画素数約2000万画素の高精細CCDセンサーを搭載。,【送料無料】キヤノン コンパクトデジタルカメラ IXY（イクシー） 200（レッド）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】キヤノン コンパクトデジタルカメラ IXY（イクシー） 200（レッド）,【送料無料】キヤノン コンパクトデジタルカメラ IXY（イクシー） 200（レッド）[rn]
10-34504,http://tshop.r10s.jp/akibamac/cabinet/05168389/4548736017047.jpg?fitin=700:700,54240.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)有り。<br><br>【商品グレード】∥★★★★∥中古品∥●「積層構造」の採用で高速読み出しを可能にするメモリー 一体1.0型積層型Exmor RS CMOSセンサー搭載。高速撮影でさらなる高画質も実現●最大960fpsのスーパースローモーション●被写体が歪みにくいアンチディストーションシャッタ<BR><BR>【性能】2010万画素/光学2.9倍ズーム/記録メディア:メモリースティックPro(PRO-HG) Duo・SD・SDHC・SDXC/無線LAN/USB対応/ファインダ:3.0型(4:3)/1228800ドット/エクストラファイン液晶/2015年7月頃発売<br>【付属品】[取扱説明書、Wi-Fi/NFCワンタッチ機能ガイド、ACアダプター、リチャージャブルバッテリーパック(NP-BX1)、リストストラップ、ストラップアダプターx2、マイクロUSBケーブル]が付属。,【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ][rn]
10-34505,http://tshop.r10s.jp/akibamac/cabinet/05168389/4548736017047.jpg?fitin=700:700,54240.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)有り。<br><br>【商品グレード】∥★★★★∥中古品∥●「積層構造」の採用で高速読み出しを可能にするメモリー 一体1.0型積層型Exmor RS CMOSセンサー搭載。高速撮影でさらなる高画質も実現●最大960fpsのスーパースローモーション●被写体が歪みにくいアンチディストーションシャッタ<BR><BR>【性能】2010万画素/光学2.9倍ズーム/記録メディア:メモリースティックPro(PRO-HG) Duo・SD・SDHC・SDXC/無線LAN/USB対応/ファインダ:3.0型(4:3)/1228800ドット/エクストラファイン液晶/2015年7月頃発売<br>【付属品】[取扱説明書、Wi-Fi/NFCワンタッチ機能ガイド、ACアダプター、リチャージャブルバッテリーパック(NP-BX1)、リストストラップ、ストラップアダプターx2、マイクロUSBケーブル]が付属。,【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】SONY DSC-RX100M4 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ][rn]
10-34506,http://tshop.r10s.jp/akibamac/cabinet/05052378/4905524985917.jpg?fitin=700:700,40640.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】SONY DSC-RX100M3 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】外装にキズ有り、レンズ内にホコリ混入有り。<br><br>【商品グレード】∥★★★∥中古品∥●小型化と大口径化を両立し、より明るく広角になったZEISSバリオ・ゾナーT*レンズ搭載●1.0型Exmor R CMOSセンサーやBIONZ Xにより高い質感描写を実現●自由なアングルやポジションで撮影出来る180度チルト液晶採用<BR><BR>【性能】2010万画素/光学2.9倍ズーム/記録メディア:メモリースティックPro(PRO-HG)・XC-HG Duo・SD・SDHC・SDXC/USB2.0対応/ファインダ:3.0型エクストラファイン液晶(1228800ドット)/2014年5月頃発売<br><br>【欠品】[ストラップアダプター(2個)]欠品。<br><br>【付属品】[取扱説明書、Wi-Fi機能/NFCワンタッチ機能ガイド、ACアダプター、リチャージャブルバッテリーパック(NP-BX1)、リストストラップ、microUSBケーブル]が付属。,【送料無料】【中古】SONY DSC-RX100M3 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SONY DSC-RX100M3 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】SONY DSC-RX100M3 (2010万画素/2.9倍/ブラック) [中古デジカメ本体 デジタルカメラ][rn]
10-34507,http://tshop.r10s.jp/akibamac/cabinet/05052378/0085126930585.jpg?fitin=700:700,44640.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】SIGMA SIGMA dp1 Quattro (2900万画素/SDHC) [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶面にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●専用設計の高性能広角レンズ19mm F2.8(35mm換算28mm相当)を搭載●3900万画素相当の高解像度を実現する『Foveon x3 SENSOR Quattro』●RAWデータは、データが劣化しないロスレス圧縮方式を採用<BR><BR>【性能】2900万画素/単焦点/記録メディア:SDメモリーカード・SDHCメモリーカード・SDXCメモリーカード/USB2.0対応/ファインダ:3.0型 TFTカラー液晶モニタ 約92万ドット/2014年10月頃発売<br><br>【備考】日本製。<br><br>【付属品】[使用説明書、バッテリーチャージャー(BC-51)、リチウムイオン充電池(BP-51)(1/2)、リチウムイオン充電池(BP-51)(2/2)、ストラップ、レンズキャップ、ホットシューカバー、電池ケース、USBケーブル、バッテリーチャージャー用ACケーブル]が付属。,【送料無料】【中古】SIGMA SIGMA dp1 Quattro (2900万画素/SDHC) [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SIGMA SIGMA dp1 Quattro (2900万画素/SDHC) [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】SIGMA SIGMA dp1 Quattro (2900万画素/SDHC) [中古デジカメ本体 デジタルカメラ][rn]
10-34508,http://tshop.r10s.jp/akibamac/cabinet/05168389/4547410288476.jpg?fitin=700:700,59040.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】FUJIFILM FUJIFILM X100T S シルバー(1630万画素/SDXC) [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】日本製。レンズ内にホコリ(小)混入有り、レンズキャップ・本体外装にキズ(小)有り。<br><br>【商品グレード】∥★★★∥中古品∥●光学ファインダー内にピントエリアのデジタル映像を拡大表示できる「アドバンスト・ハイブリッドビューファインダー」搭載●深みのある色合いと豊かな陰影の写真表現が可能な「クラシッククローム」モードを搭載<BR><BR>【性能】1630万画素/単焦点/記録メディア:SDメモリーカード・SDHCメモリーカード・SDXCメモリーカード・内蔵メモリ/USB2.0対応/ファインダ:3.0型低温ポリシリコンカラー液晶モニター 約104万ドット(視野率約100%)/2014年11月頃発売<br>【付属品】[使用説明書(基本操作編)、バッテリチャージャー、充電式バッテリー(NP-95)、ショルダーストラップ、ストラップリングx2個、ストラップリングカバーx2枚、ストラップリング取り付け補助具、レンズキャップ、USBケーブル、バッテリチャージャー用ACケーブル]が付属。,【送料無料】【中古】FUJIFILM FUJIFILM X100T S シルバー(1630万画素/SDXC) [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】FUJIFILM FUJIFILM X100T S シルバー(1630万画素/SDXC) [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】FUJIFILM FUJIFILM X100T S シルバー(1630万画素/SDXC) [中古デジカメ本体 デジタルカメラ][rn]
10-34509,http://tshop.r10s.jp/akibamac/cabinet/05422385/4961311041723.jpg?fitin=700:700,8640.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】RICOH GR DIGITAL II (1001万画素) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】<br><br>【商品グレード】∥★★★★∥中古品∥「GR DIGITAL」のコンセプトを継承し、さらに高画質を実現。加速度センサーを利用した電子水準器の搭載など、表現力豊かな写真を撮影するための機能を強化。<BR><BR>【性能】1001万画素/単焦点/記録メディア:SDカード・MMC・内蔵メモリ/USB2.0対応/ファインダ:約23万画素2.7型液晶モニター/2007年11月頃発売<br><br>【付属品】[バッテリーチャージャー、ストラップ、リチャージブルバッテリー(DB-60)、ホットシューカバー、リングキャップ(本体に装着済み)]が付属。<br><br>【欠品】[取扱説明書、バッテリーチャージャー使用説明書、リチャージャブルバッテリー使用説明書、アプリケーションCD、USBケーブル、AVケーブル]欠品。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】RICOH GR DIGITAL II (1001万画素) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】RICOH GR DIGITAL II (1001万画素) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇,【送料無料】【中古】RICOH GR DIGITAL II (1001万画素) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇[rn]
10-34510,http://tshop.r10s.jp/akibamac/cabinet/05316687/4549292056389.jpg?fitin=700:700,39040.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】Canon PowerShot G7 X MarkII (2010万画素/4.2倍/SDHC)  [中古デジカメ本体 デジタルカメラ],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ混入有り。<br><br>【商品グレード】∥★★★∥中古品∥●高画質化と多機能化を突き詰めた「新・映像エンジンDIGIC 7」●暗いシーンで、手ブレをより強力に抑える「静止画IS 4段分」●広階調、低ノイズ、美しいボケ味を実現「1.0型大型CMOSセンサー」<BR><BR>【性能】2010万画素/光学4.2倍ズーム/記録メディア:SDメモリーカード・SDHCメモリーカード・SDXCメモリーカード/無線LAN/USB対応/ファインダ:3.0型TFTカラー液晶(約104万ドット)アスペクト比3: 2、チルトタイプ/2016年4月頃発売<br><br>【備考】日本製。<br><br>【付属品】[使用説明書、バッテリーチャージャー(CB-2LH)、バッテリーパック(NB-13L)、ストラップ]が付属。,【送料無料】【中古】Canon PowerShot G7 X MarkII (2010万画素/4.2倍/SDHC)  [中古デジカメ本体 デジタルカメラ]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon PowerShot G7 X MarkII (2010万画素/4.2倍/SDHC)  [中古デジカメ本体 デジタルカメラ],【送料無料】【中古】Canon PowerShot G7 X MarkII (2010万画素/4.2倍/SDHC)  [中古デジカメ本体 デジタルカメラ][rn]
10-34511,http://tshop.r10s.jp/akibamac/cabinet/05422385/powershotn_mb.jpg?fitin=700:700,7840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > デジタルカメラ > コンパクトデジタルカメラ,【送料無料】【中古】Canon PowerShot N マルチボーダーセット (1210 万画素/8倍/microSDXC) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】外装に目立つキズ・ヘコミ・塗装ハゲ・汚れ・キバミ・ヤニ臭有り、液晶面にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●チルト式液晶モニターにズームリング・シャッターリングを組み合わせることで、今までにない操作性を実現 ●1ショットで、構図や色を変えた6種類(オリジナル画像を含む)を一気に撮影「クリエイティブショット」 ●Wi-Fi対応<BR><BR>【性能】1210万画素/光学8倍ズーム/記録メディア:microSDメモリ・microSDHCメモリ・microSDXCメモリ/USB2.0対応/ファインダ:2.8型TFTカラー液晶(約46.1万ドット)、視野率:約100%、チルト式/2013年4月頃発売<br><br>【備考】日本製。<br><br>【欠品】[リストストラップ(WS-800)]欠品。<br><br>【付属品】[カメラユーザーガイド、Canon Digital Camera Solution Disc、コンパクトパワーアダプター(CA-DC30)、バッテリーパック(NB-9L)、カメラジャケット、両吊りネックストラップ、インターフェースケーブル(IFC-400PCU) ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Canon PowerShot N マルチボーダーセット (1210 万画素/8倍/microSDXC) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon PowerShot N マルチボーダーセット (1210 万画素/8倍/microSDXC) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇,【送料無料】【中古】Canon PowerShot N マルチボーダーセット (1210 万画素/8倍/microSDXC) [中古デジカメ本体 デジタルカメラ] ◇4/10新入荷◇[rn]
