8-29213,http://tshop.r10s.jp/jitensya-ousama/cabinet/bs/c-bs-fmly165.jpg?fitin=700:700,27758.4000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,ブリヂストン エブリッジU 26インチ 3段変速 点灯虫 EBU63T 2016年 BAA / 自転車 BRIDGESTONE,【組立発送】,"耐パンク性能がアップした<br>
ブリヂストンのスタンダードなシティサイクル<br>
家族みんなで使えるU型<br>
<br>
■タイヤサイズ：26インチ<br>
■サドル最低地上高：75.0cm<br>
■適正身長：141cm～<br>
■シフト段数：内装3段変速<br>
■重 量：19.9kg<br>
<br>
※実寸サイズのため多少の誤差はご了承下さい。<br>
<br>
・タフロードチューブガードタイヤ<br>
・ワイドコンパクト点灯虫<br>
・軽量樹脂角型バスケット<br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_tyuui.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_realtenpo.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_bouhan.jpg"" border=""0"">",ブリヂストン エブリッジU 26インチ 3段変速 点灯虫 EBU63T 2016年 BAA / 自転車 BRIDGESTONE：ダイワサイクル オンラインストア,自転車通販サイクルパーツ一輪車スポーツバイクヘルメットロードバイククロスバイクマウンテンバイク子供用自転車電動自転車折りたたみ自転車セール激安だいわ自転車ダイワサイクル株式会社大和ブリヂストン小藪千豊アウトレットブリヂストン エブリッジU 26インチ 3段変速 点灯虫 EBU63T 2016年 BAA / 自転車 BRIDGESTONE,【組立発送】。ブリヂストン エブリッジU 26インチ 3段変速 点灯虫 EBU63T 2016年 BAA / 自転車 BRIDGESTONE[rn]
8-29214,http://tshop.r10s.jp/jitensya-ousama/cabinet/bs/c-bs-fmly191.jpg?fitin=700:700,38774.4000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,ブリヂストン アルミーユ 26インチ 3段変速 ベルトモデル オートライト A63BT5 2016年 BAA / 自転車 BRIDGESTONE,【組立発送】,"軽くておしゃれなアルミU型フレーム車<br>
<br>
■タイヤサイズ：26インチ<br>
■適正身長：140cm～<br>
■シフト段数：内装3段変速<br>
■重 量：17.2kg<br>
■ベルトカラー<br>
　ブラック/M.XRシルバー<br>
　ダークブラウン/M.Xプレシャスベージュ<br>
<br>
※実寸サイズのため多少の誤差はご了承下さい。<br>
<br>
・軽量アルミ部品採用<br>
・カーボンベルトドライブ<br>
・シングルパワー点灯虫<br>
・3年盗難補償つき<br>
<br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_tyuui.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_realtenpo.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_bouhan.jpg"" border=""0"">",ブリヂストン アルミーユ 26インチ 3段変速 ベルトモデル オートライト A63BT5 2016年 BAA / 自転車 BRIDGESTONE：ダイワサイクル オンラインストア,自転車通販サイクルパーツ一輪車スポーツバイクヘルメットロードバイククロスバイクマウンテンバイク子供用自転車電動自転車折りたたみ自転車セール激安だいわ自転車ダイワサイクル株式会社大和ブリヂストン小藪千豊アウトレットブリヂストン アルミーユ 26インチ 3段変速 ベルトモデル オートライト A63BT5 2016年 BAA / 自転車 BRIDGESTONE,【組立発送】。ブリヂストン アルミーユ 26インチ 3段変速 ベルトモデル オートライト A63BT5 2016年 BAA / 自転車 BRIDGESTONE[rn]
8-29215,http://tshop.r10s.jp/jitensya-ousama/cabinet/pana/c-pana-fmly015.jpg?fitin=700:700,39657.6000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,パナソニック タフチェーンW ガチガチロック 27インチ 3段変速 オートライト B-TMS737 BAA / 自転車 Panasonic 【送料無料】,【組立発送】,"タフなボディにタフなワイドステンレスバスケット装備。<br>
盗難に強いガチガチロック搭載。<br>
<br>
■タイヤサイズ：27インチ<br>
■サドル高さ：最低地上高79.0～最高地上高94.5cm<br>
■適正身長：144cm～<br>
■シフト段数：内装3段変速<br>
■重 量：23.8kg<br>
<br>
※実寸サイズのため多少の誤差はご了承下さい。<br>
<br>
・ステンレスリムと極太スポーク<br>
・ハードランナータイヤ＆肉厚チューブ<br>
・スリム-6LEDビームランプ<br>
・3年間盗難補償<br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_tyuui.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_realtenpo.jpg"" border=""0""><br>
<img src=""http://image.rakuten.co.jp/jitensya-ousama/cabinet/design/item_page/syouhin_bouhan.jpg"" border=""0"">",パナソニック タフチェーンW ガチガチロック 27インチ 3段変速 オートライト B-TMS737 BAA / 自転車 Panasonic 【送料無料】：ダイワサイクル オンラインストア,自転車通販サイクルパーツ一輪車スポーツバイクヘルメットロードバイククロスバイクマウンテンバイク子供用自転車電動自転車折りたたみ自転車セール激安だいわ自転車ダイワサイクル株式会社大和ブリヂストン小藪千豊アウトレットパナソニック タフチェーンW ガチガチロック 27インチ 3段変速 オートライト B-TMS737 BAA / 自転車 Panasonic 【送料無料】,【組立発送】。パナソニック タフチェーンW ガチガチロック 27インチ 3段変速 オートライト B-TMS737 BAA / 自転車 Panasonic 【送料無料】[rn]
8-29216,http://tshop.r10s.jp/cyclemall/cabinet/1000000407/100000040710.jpg?fitin=700:700,103184.0000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[東部]Coolcle-MII（クークルMII）シニア用四輪自転車 ユニバーサルサイクル 14型 父の日母の日にもお勧め,お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>安心して乗れるシニアのための自転車「クークル」がリニューアルして再登場！！</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><table><tr><th>フレーム</th><td>アルミ・スチール製低床型・またぎ用ステップ板付</td></tr><tr><th>サイズ</th><td>約全長137cm × 全幅60cm × 高さ95～107cm</td></tr><tr><th>総質量</th><td>約25kg</td></tr><tr><th>車輪構成</th><td>前双輪 ：14型／後2輪 ：14型・アルミホイール（ノンパンク仕様）</td></tr><tr><th>駆動方式</th><td>後2輪駆動・ディファレンシャルギア付</td></tr><tr><th>スピード</th><td>標準常用スピード 6km／h 程度 GD1.75m（ペダル1回転で1.75ｍ進む）</td></tr><tr><th>ブレーキ</th><td>前・後輪ディスクブレーキ／クルピタ（ハンドルロック）装備</td></tr><tr><th>サドル</th><td>背もたれ付幅広サドル</td></tr><tr><th>適合身長</th><td>135ｃｍ以上（身体状況や症状により適合範囲は変わります）</td></tr><tr><th>付属品</th><td>高輝度白色LEDライト・大容量後カゴ（最大積載量15kg）・前カゴ（最大積載量3kg）・ステッキホルダー・ベル・ワイヤー錠</td></tr></table><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[東部]Coolcle-MII（クークルMII）シニア用四輪自転車 ユニバーサルサイクル 14型 父の日母の日にもお勧め：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[東部]Coolcle-MII（クークルMII）シニア用四輪自転車 ユニバーサルサイクル 14型 父の日母の日にもお勧め,お店で受取りで送料無料、3年間の総合補償もご加入できます。。[東部]Coolcle-MII（クークルMII）シニア用四輪自転車 ユニバーサルサイクル 14型 父の日母の日にもお勧め[rn]
8-29217,http://tshop.r10s.jp/cyclemall/cabinet/1000000357/100000035759.jpg?fitin=700:700,60574.4000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[丸石]サンデーラブリー [SLA3-H2] 20/18型 ダイナモライト 三輪車,お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>アルミフレームでの軽量化。ロングセラーの三輪車。</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><span>タイヤサイズ：前20型 / 後18型<br>適正身長：131cm-<br>サドル最低地上高：58cm<br>変速：内装3段変速<br>重量：23.4kg<br>ライト：ダイナモライト<br>ペダル：フラットペダル<br>BAA安全基準適合車</span><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[丸石]サンデーラブリー [SLA3-H2] 20/18型 ダイナモライト 三輪車：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[丸石]サンデーラブリー [SLA3-H2] 20/18型 ダイナモライト 三輪車,お店で受取りで送料無料、3年間の総合補償もご加入できます。。[丸石]サンデーラブリー [SLA3-H2] 20/18型 ダイナモライト 三輪車[rn]
8-29218,http://tshop.r10s.jp/cyclemall/cabinet/1000000357/100000035758.jpg?fitin=700:700,55649.6000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[丸石]サンデーラブリー [SLA-H2] 20/18型 変速なし ダイナモライト 三輪車,お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>アルミフレームでの軽量化。ロングセラーの三輪車</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><span>タイヤサイズ：前20型 / 後18型<br>適正身長：131cm-<br>サドル最低地上高：58cm<br>変速：変速なし<br>重量：22.4kg<br>ライト：ダイナモライト<br>ペダル：フラットペダル<br>BAA安全基準適合車</span><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[丸石]サンデーラブリー [SLA-H2] 20/18型 変速なし ダイナモライト 三輪車：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[丸石]サンデーラブリー [SLA-H2] 20/18型 変速なし ダイナモライト 三輪車,お店で受取りで送料無料、3年間の総合補償もご加入できます。。[丸石]サンデーラブリー [SLA-H2] 20/18型 変速なし ダイナモライト 三輪車[rn]
8-29219,http://tshop.r10s.jp/cyclemall/cabinet/1000000426/100000042654.jpg?fitin=700:700,24784.0000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[あさひ]トラッドラインW-I 27型 6段変速 オートライト シティサイクル [CBA-1][SC1701],お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>毎日の使用に充実機能で応える、あさひオリジナル自転車における高品質シリーズ！スタンダードなファミリータイプの外装6段変速モデル。<br>BAA基準適合[CBA-01-01]<br><br>「トラブルが少なく、いつでも使えることが当たり前」。そんな思いが込められたトラッドラインは「長期間の使用に耐える堅牢性」「利便性、安全性」を高い基準で備えた自転車です。<br>頑丈なフレームに耐パンクタイヤ、ソーラーテールランプなど日常の安心安全を確保する充実の機能を、お求めやすい価格で提供いたします。<br>スタンダードなセミアップハンドルに外装6段変速で、平地や上り坂など日常生活で走る上で想定されるさまざまな道に対応できるモデルとなっています。</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><span>タイヤサイズ：27インチ<br>適応身長の目安：160cm～<br>変速：外装6段変速<br>ライト：常時点灯広角LEDライト<br>ペダル：ノンスリップペダル<br>ブレーキ：F：キャリパー R：ローラー<br>チェーン：ハイガードチェーン<br>キャリア：クラス27<br>参考重量：21.0kｇ(26インチ)</span><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[あさひ]トラッドラインW-I 27型 6段変速 オートライト シティサイクル [CBA-1][SC1701]：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[あさひ]トラッドラインW-I 27型 6段変速 オートライト シティサイクル [CBA-1][SC1701],お店で受取りで送料無料、3年間の総合補償もご加入できます。。[あさひ]トラッドラインW-I 27型 6段変速 オートライト シティサイクル [CBA-1][SC1701][rn]
8-29220,http://tshop.r10s.jp/cyclemall/cabinet/1000000344/100000034420.jpg?fitin=700:700,30384.0000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[あさひ]アルエットS-H 26型 3段変速 オートライト シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>チェーンケース、フェンダーは樹脂製の部品を採用し、ハンドル、シートポストにはアルミ製の部品を採用することで軽量でサビに強くなっています。<br>ホイール周りは軽量タイヤ、低抵抗ハブを採用することで、走りも軽量に仕上がっており、細身のサドルでペダルの漕ぎ易さも考えました。<br>タイヤは軽量ながら、耐摩耗コンパウンドを採用している為、長距離走行時の持ちも良くなっています。<br>　　[CBA-01-01]</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><span>適応身長目安：約150cm～<br>変速：内装3段変速<br>サドル最低地上高：77.5cm<br>キャリア：クラス18対応フレーム（チャイルドシート取り付け不可）<br>ライト：LEDオートライト<br>重量：16.5kg </span><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[あさひ]アルエットS-H 26型 3段変速 オートライト シティサイクル[CBA-1]：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[あさひ]アルエットS-H 26型 3段変速 オートライト シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。。[あさひ]アルエットS-H 26型 3段変速 オートライト シティサイクル[CBA-1][rn]
8-29221,http://tshop.r10s.jp/cyclemall/cabinet/old_item2/100000006634.jpg?fitin=700:700,23984.0000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[あさひ]アルエットU 20型 変速なし ダイナモライト アルミフレーム シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>小柄な方や自転車に乗るがちょっと不安な方に、軽くて乗り降りしやすい、安定した自転車ができました。　　[CBA-01-01]<br><br>ひざや股関節への負担を軽減する短めのクランク（152mm）<br>長めのホイールベースにより、低速走行でも安定感を実現<br>漕ぎだしの軽いギア設定（32x14T）でふらつき防止<br>サビに強く軽量なアルミリム<br>スカートでも乗り降りがしやすいU型フレーム<br>座り心地がよいソフトサドル<br>毎日の買い物にも便利、大型樹脂カゴ標準装備<br>変形や衝撃に強い樹脂チェーンケース<br>サビにくく高耐久な防錆チェーン<br>車体カラーに合わせて、最適な色部品を使用</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><table><tr><th>タイヤ</th><td>20インチ</td></tr><tr><th>適応身長（目安）</th><td>128cm～</td></tr><tr><th>サドル地上高</th><td>約67～85cm</td></tr><tr><th>重量</th><td>約15.5kg</td></tr><tr><th>ライト</th><td>ダイナモライト</td></tr></table><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[あさひ]アルエットU 20型 変速なし ダイナモライト アルミフレーム シティサイクル[CBA-1]：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[あさひ]アルエットU 20型 変速なし ダイナモライト アルミフレーム シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。。[あさひ]アルエットU 20型 変速なし ダイナモライト アルミフレーム シティサイクル[CBA-1][rn]
8-29222,http://tshop.r10s.jp/cyclemall/cabinet/old_item4/100000028231.jpg?fitin=700:700,27184.0000,,スポーツ・アウトドア > 自転車・サイクリング > シティサイクル,[あさひ]アルエットU-G 26型 3段変速 オートライト アルミフレーム シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。,"<div class=""itempage""><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_point.jpg""><br><span>持って軽く、乗っても軽いアルミフレームのファミリーサイクル。<br>より低くなった低床フレームで乗り降り楽々、しかもブレーキや軸受けに高耐久パーツを使うなど、充実の装備でお買物からデイリーユースまでしっかりと満足していただける商品になっています。<br><br>さびに強く、丈夫な樹脂製バスケット<br>耐久性が高いカートリッジBB採用<br>お尻に優しい幅広サドル<br>安定性に優れ、てこの原理を使うことで立てるときも楽な軽々スタンド<br>防錆性に優れたハイガードチェーン<br>音鳴りに強いローラーブレーキ<br>クラス18キャリア（チャイルドシート取付不可）</span><br><img src=""https://image.rakuten.co.jp/cyclemall/cabinet/item_spec.jpg""><br><span>フレーム：低床アルミフレーム<br>変速：内装3段変速<br>車輪：アルミリム車輪<br>適応身長（目安）：145cm～<br>最低サドル地上高：約76cm<br>重量：約18.3kg<br>ライト：LEDオートライト</span><ul><li>掲載している商品の在庫については、実際の在庫情報と連動しておりません。ご注文後に仕入先・弊社倉庫に在庫を確認・確保した後、在庫状況・合計金額をメールにてお知らせいたします。</li><li>選択できないサイズ・カラーは、取扱終了もしくは生産終了です。</li><li>製品の仕様・価格等につきましては、予告無く変更することがあります。</li><li>製品の色につきましては、実際とは違って見える場合があります。</li><li>掲載している重量につきましてはカタログスペックの為、実際の商品とは異なる場合があります。特に軽量モデルに関しては個体差が多く見受けられます。</li></ul></div><style type=""text/css"">
span.unit:before {
 content: url(""https://image.rakuten.co.jp/cyclemall/cabinet/top/basket-bnr.jpg"");
 display: block;
}

#rakutenLimitedId_aroundCart span.unit{
 font-size:18px;
 font-weight:bold;
 height:30px;
}
 
#rakutenLimitedId_aroundCart input#units {
 border:solid 3px #ccc;
 width: 35px !important;
 height: 30px !important;
 cursor:auto;
 text-indent:0px;
 overflow:hidden;
 text-align:center;
}
</style>

<!-- 共通バナー　ここから -->



<!-- 共通バナー　ここまで -->",[あさひ]アルエットU-G 26型 3段変速 オートライト アルミフレーム シティサイクル[CBA-1]：サイクルベースあさひ楽天市場店,自転車ロードバイククロスバイク電動自転車電動アシスト車折り畳み自転車折りたたみ自転車あさひサイクルベースあさひシティサイクルファミリーサイクルミニベロスポーツ自転車ロードレーサーママチャリマウンテンバイク一輪車三輪車輪行袋じてんしゃ[あさひ]アルエットU-G 26型 3段変速 オートライト アルミフレーム シティサイクル[CBA-1],お店で受取りで送料無料、3年間の総合補償もご加入できます。。[あさひ]アルエットU-G 26型 3段変速 オートライト アルミフレーム シティサイクル[CBA-1][rn]
