17-86699,http://tshop.r10s.jp/yminfo/cabinet/00121755/g128.jpg?fitin=700:700,1060.8000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　メタルガンS　G128,丈夫な金属ノズル,"【ここがポイント！】 
 丈夫な金属ノズル。360度回転でねじれない。
 
 3つの水形（キリ、ストレート、ストップ）ができます 
 
 
　【商品詳細】 
サイズ 124×40×188mm 
適合ホース 内径12mm～15mm、外径21mmまで",タカギ　メタルガンS　G128：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　メタルガンS　G128,丈夫な金属ノズル。タカギ　メタルガンS　G128[rn]
17-86700,http://tshop.r10s.jp/yminfo/cabinet/00121755/g179fjcr.jpg?fitin=700:700,972.8000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　スリムノズルファイブRS　G179FJCR,やわらかシャワーが園芸に最適！,"【ここがポイント！】 
 交換用のノズルとして使えます。ホースの接続には別途コネクターが必要です。
 
 5つの水形（キリ、ストレート、ストップ、ジョウロ、シャワー）ができます 
 
 
　【商品詳細】 
サイズ 184×55×258mm",タカギ　スリムノズルファイブRS　G179FJCR：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　スリムノズルファイブRS　G179FJCR,やわらかシャワーが園芸に最適！。タカギ　スリムノズルファイブRS　G179FJCR[rn]
17-86701,http://tshop.r10s.jp/yminfo/cabinet/00121755/a401.jpg?fitin=700:700,1333.6000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ ペットボトルロケット機体セット2 A401 夏休みの工作にぴったり！,水と空気が原動力の電池不要のロケットを作成できるキット,"【ここがポイント！】 
 水と空気が原動力。テレビでよくやっているペットボトルロケットの機体セットです。
 
 ※かなり飛びますので必ず広い空間でご使用ください。
※発射台は含まれません。
※ペットボトルは含まれません。お客様でご用意ください。
※機体に空気を入れる際は、自転車用の空気入れを利用してください。 
 
 
 
 
　【商品詳細】 
セット内容 ノーズコーン×1、平パッキン×1、
噴射口×1、羽×4、取扱説明書",タカギ ペットボトルロケット機体セット2 A401 夏休みの工作にぴったり！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ ペットボトルロケット機体セット2 A401 夏休みの工作にぴったり！,水と空気が原動力の電池不要のロケットを作成できるキット。タカギ ペットボトルロケット機体セット2 A401 夏休みの工作にぴったり！[rn]
17-86702,http://tshop.r10s.jp/yminfo/cabinet/00121755/g116.jpg?fitin=700:700,148.8000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,【ネコポス可能】タカギ　ホースバンド　ホース外径5.5-7mm用高圧ドライバー締め　2個入り　G116,ホースをつないでがっちり固定,"【ここがポイント！】 
 ホースの抜け防止。高圧用、ドライバー締め、2個入り 
　【商品詳細】 
材質 鋼（ユニクロメッキ） 
適合ホース 外径5.5-7mm用
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】タカギ　ホースバンド　ホース外径5.5-7mm用高圧ドライバー締め　2個入り　G116：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】タカギ　ホースバンド　ホース外径5.5-7mm用高圧ドライバー締め　2個入り　G116,ホースをつないでがっちり固定。【ネコポス可能】タカギ　ホースバンド　ホース外径5.5-7mm用高圧ドライバー締め　2個入り　G116[rn]
17-86703,http://tshop.r10s.jp/yminfo/cabinet/00121755/img58042414.jpg?fitin=700:700,5699.2000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,【smtb-TK】【頑張って送料無料！】タカギ ペットボトルロケット製作キット2 発射台付　A400 夏休みの工作にぴったり！,水と空気が原動力の電池不要のロケットを作成できるキット,"【ここがポイント！】 
 水と空気が原動力。テレビでよくやっているペットボトルロケットです。
 
 ※かなり飛びますので必ず広い空間でご使用ください。
※ペットボトルは含まれません。お客様でご用意ください。
※機体に空気を入れる際は、自転車用の空気入れを利用してください。 
 
 
 
 
　【商品詳細】 
セット内容 ノーズコーン×1、平パッキン×1、噴射口×1、
羽×4、エアバルブ×1、発射台足×3、
発射台本体受け×1、ランチャー×1、蝶ナット×2、
六角ボルト×2、発射リング×1、ワイヤー止めネジ×1、
ワイヤーキャップ×1、リモコングリップ×1、
リモコンワイヤー1.7m、取扱説明書",【smtb-TK】【頑張って送料無料！】タカギ ペットボトルロケット製作キット2 発射台付　A400 夏休みの工作にぴったり！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】タカギ ペットボトルロケット製作キット2 発射台付　A400 夏休みの工作にぴったり！,水と空気が原動力の電池不要のロケットを作成できるキット。【smtb-TK】【頑張って送料無料！】タカギ ペットボトルロケット製作キット2 発射台付　A400 夏休みの工作にぴったり！[rn]
17-86704,http://tshop.r10s.jp/yminfo/cabinet/00121755/g109.jpg?fitin=700:700,176.8000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,【ネコポス可能】タカギ　ホースバンド　ホース外径35-38mm用低圧手締め　2個入り　G109,ホースをつないでがっちり固定,"【ここがポイント！】 
 ホースの抜け防止。低圧用、手締め、2個入り 
 
 
　【商品詳細】 
材質 鋼（ユニクロメッキ） 
適合ホース 外径35-38mm用
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】タカギ　ホースバンド　ホース外径35-38mm用低圧手締め　2個入り　G109：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】タカギ　ホースバンド　ホース外径35-38mm用低圧手締め　2個入り　G109,ホースをつないでがっちり固定。【ネコポス可能】タカギ　ホースバンド　ホース外径35-38mm用低圧手締め　2個入り　G109[rn]
17-86705,http://tshop.r10s.jp/yminfo/cabinet/00121755/g071.jpg?fitin=700:700,637.6000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　ネジ付蛇口ニップルセット45度　G071,ネジ付き蛇口につなぐ、ホースの角度が変えられる,"【ここがポイント！】 
 地下散水栓にも最適 
 
 
　【商品詳細】 
サイズ 97×40×188(mm) 
適合蛇口 水栓：呼び径13　G1/2
 
適合ホース径 内径12mm～15mm、外径21mmまで",タカギ　ネジ付蛇口ニップルセット45度　G071：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　ネジ付蛇口ニップルセット45度　G071,ネジ付き蛇口につなぐ、ホースの角度が変えられる。タカギ　ネジ付蛇口ニップルセット45度　G071[rn]
17-86706,http://tshop.r10s.jp/yminfo/cabinet/00121755/g003.jpg?fitin=700:700,278.4000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　ピッター蛇口　G003,手軽に蛇口に普通ホースをつなぐ,"【ここがポイント！】 
 手軽に蛇口にホースを繋げられます
 
 
 
　【商品詳細】 
サイズ 85×40×120(mm) 
適合蛇口 横水栓：外径14～18mm
ホーム水栓、自在水栓：呼び径13　G1/2
 
適合ホース 内径12mm～15mm、外径21mmまで",タカギ　ピッター蛇口　G003：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　ピッター蛇口　G003,手軽に蛇口に普通ホースをつなぐ。タカギ　ピッター蛇口　G003[rn]
17-86707,http://tshop.r10s.jp/yminfo/cabinet/00121755/qgnx213n32.jpg?fitin=700:700,1024.8000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　スリムパチットスマートノズルF （細ホース対応）　QGNX213N32,水の出方が4つに変わる,"【ここがポイント！】 
 片手レバー操作が可能。握るだけで通水止水のワンクリックレバー。ワンタッチでノズル交換 
 4つの水形（キリ、ストレート、ジョロ、シャワー） 
 
 
　【商品詳細】 
サイズ 135×44×243mm 
適合ホース 内径7.5mm～9mm",タカギ　スリムパチットスマートノズルF （細ホース対応）　QGNX213N32：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　スリムパチットスマートノズルF （細ホース対応）　QGNX213N32,水の出方が4つに変わる。タカギ　スリムパチットスマートノズルF （細ホース対応）　QGNX213N32[rn]
17-86708,http://tshop.r10s.jp/yminfo/cabinet/00121755/rm330fj.jpg?fitin=700:700,4800.0000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　オーロラNANO15m(FJ)　RM215FJ,ちっちゃかわいくても高性能ホースリール,"【ここがポイント！】 
 とにかく小さい！ハンドル・取手は折りたため、ステップは収納。 
 軽くて使いやすいノズル付。4つの水（キリ・ストレート・ジョロ・シャワー） 
 
 
　【商品詳細】 
サイズ W168(伸縮時212)×D343×H302　(mm) 
ホース 内径7.5mm",タカギ　オーロラNANO15m(FJ)　RM215FJ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　オーロラNANO15m(FJ)　RM215FJ,ちっちゃかわいくても高性能ホースリール。タカギ　オーロラNANO15m(FJ)　RM215FJ[rn]
17-86709,http://tshop.r10s.jp/yminfo/cabinet/00121755/g038.jpg?fitin=700:700,913.6000,,花・ガーデン・DIY > ガーデニング・農業 > 散水・潅水用具 > その他,タカギ　コック付パチットホースジョイント　G038,ホースの中間で通水止水ができる（普通ホース）,"【ここがポイント！】 
 ホースの途中で通水止水ができます。 
 
 
　【商品詳細】 
サイズ 102×44×188(mm) 
適合ホース 内径12mm～15mm、外径21mmまで",タカギ　コック付パチットホースジョイント　G038：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングタカギ　コック付パチットホースジョイント　G038,ホースの中間で通水止水ができる（普通ホース）。タカギ　コック付パチットホースジョイント　G038[rn]
