17-152799,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/o/ogk/zenard_mt-trad_red.jpg?fitin=700:700,20880.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,ロードバイク ヘルメット OGKカブト ゼナード【マットトラッドレッド】ハイエンドモデル KABUTO Zenard HELMET【送料無料】,【最大1500円OFFクーポン対象】,"◆Kabuto史上最高のエアフローが生んだ冷感ヘルメット。◆<br><br>

・A.I.(Anti-Insect)ネット<br>
・NIP ノーマルインナーパッド(5/10mm厚)<br>
・Winterインナーパッド<br>
・XF-5アジャスター<br>
・3年消臭<br>
・クールマックス<br>
・ダブルレイヤードシェル<br>
・エアチャンネルプレート<br><br>

サイズ：頭周(cm)<br>
XS/S(195g)：53-56<br>
S/M(205g)：55-58<br>
L(225g)：59-60<br>
XL/XXL(240g)：60-64<br><br>

※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。",ロードバイク ヘルメット OGKカブト ゼナード【マットトラッドレッド】ハイエンドモデル KABUTO Zenard HELMET【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグロードバイク ヘルメット OGKカブト ゼナード【マットトラッドレッド】ハイエンドモデル KABUTO Zenard HELMET【送料無料】,【最大1500円OFFクーポン対象】。ロードバイク ヘルメット OGKカブト ゼナード【マットトラッドレッド】ハイエンドモデル KABUTO Zenard HELMET【送料無料】[rn]
17-152800,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/l/lazer/pa_xmaruix_hmt38510.jpg?fitin=700:700,3712.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,レーザー サイクロン (M：55-59cm) ホワイト LAZER Cyclone 自転車 ヘルメット 【2016年モデル】【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】,"<font color=""red""><br>
※商品発送後、サイズ違い・カラー違いによる返品、交換は一切お受けすることができません。予め、ご了承ください。
</font><br><br>
【SIZES】<br>
M(55-59cm)<br>
L(58-61cm)<br>
<br>
【WEIGHT】<br>
295g(参考重量)<br>
<br>
【機能】<br>
アジャスタブルヘッドバスケット:後頭部を支えるバスケットの深さが変えられる""アジャスタブルヘッドバスケット""<br>
VISOR：バイザー装備<br>
FLUO COLOR：遠くからでも視認できる安全性の高いカラー<br>
REFLECTIVE：反射ステッカー装備<br>",レーザー サイクロン (M：55-59cm) ホワイト LAZER Cyclone 自転車 ヘルメット 【2016年モデル】【パーツ総額8640円以上送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグレーザー サイクロン (M：55-59cm) ホワイト LAZER Cyclone 自転車 ヘルメット 【2016年モデル】【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】。レーザー サイクロン (M：55-59cm) ホワイト LAZER Cyclone 自転車 ヘルメット 【2016年モデル】【パーツ総額8640円以上送料無料】[rn]
17-152801,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/o/ogk/leff_cast-blu.jpg?fitin=700:700,6264.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,オージーケーカブト レフ キャストブルー マルチユースヘルメット 自転車ウェア OGK KABUTO LEFF CAST BLUE MULTI USE HELMET CYCLE WEAR【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】,"◆街に山にレースに。◆<br>◆バイザー脱着可能でマルチに使える本格派モデル。◆<br>■サイズ<br>M/L：57-60cm<br>XL/XXL：60-64cm<br><br>■重量<font color=""FF0000"">(※バイザー未装着時の参考重量)<br>(メーカー計測のものなので実際の重量と若干異なる場合が有ります。)</font><br>M/L：57-60cm<br>XL/XXL：60-64cm<br><br>■規格<br>JCF(公財)日本自転車競技連盟公認<br><br>■標準装備及び同梱品<br>A.I.ネット<br>FV 着脱可能なフロントバイザー<br>XF-2アジャスター<br><br>■A.I.ネット(Anti-Insect NET)<br>エアインテークからの虫の侵入防止を主な目的として採用。頭全体を包み込むA.I.ネットは、フィッティング重視を求める方にも最適です。<br><br>■着脱可能なフロントバイザー<br>フロントバイザーが簡単に着脱できるので、ロードでもMTBでも、ジャンルにこだわらずマルチにお使いいただけます。<br><br>■XF-2アジャスター<br>大幅な軽量化と、より細やかな微調整を可能にした新型アジャスターシステム。<br>4段階の角度調節が可能。<br><br>●Safety Meets Style.●<br>★安全性能×スタイルの、独創的プロダクトへ。★<br>ヘルメットの商品開発に欠かせないもの、それは「安全設計」という基本性能です。<br>そのために、落下衝撃テストやサポートライダーによる実装走行テストなど、さまざまな条件下でデータを分析。<br>また、時代とともに変化が求められるスタイルやデザイン、スポーツ・健康志向の高まりなどのニーズに応えつつ、<br>プロ仕様から小さなお子様向けのシリーズ商品まで、幅広いラインナップを展開しています。<br>どこまでも人のいのちを守るために、そして、ひたすら個性的なスタイルを極めるために、私たちKabutoは、<br>常に「安全性」と「スタイル」を融合しながら、あらゆる人に親しまれる独創的な商品開発に取り組んでいます。<br><br>
<font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。<br>届いてからのサイズ変更などは受け付けておりませんので、よくご確認のうえご購入下さい。</font>",オージーケーカブト レフ キャストブルー マルチユースヘルメット 自転車ウェア OGK KABUTO LEFF CAST BLUE MULTI USE HELMET CYCLE WEAR【パーツ総額8640円以上送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグオージーケーカブト レフ キャストブルー マルチユースヘルメット 自転車ウェア OGK KABUTO LEFF CAST BLUE MULTI USE HELMET CYCLE WEAR【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】。オージーケーカブト レフ キャストブルー マルチユースヘルメット 自転車ウェア OGK KABUTO LEFF CAST BLUE MULTI USE HELMET CYCLE WEAR【パーツ総額8640円以上送料無料】[rn]
17-152802,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/o/pa_ogk_gaia-r_bk.jpg?fitin=700:700,7997.6000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,自転車 ヘルメット GAIA-R ブラック OGK KABUTO オージーケーカブト ヘルメット【送料無料】,【最大1500円OFFクーポン対象】,"・XF-3アジャスター<br>
・A.I（Anti-Insect)ネット<br>
・JCF(財)日本自転車競技連盟公認<br>
・M/L(235g) / XL/XXL(270g)<br>",自転車 ヘルメット GAIA-R ブラック OGK KABUTO オージーケーカブト ヘルメット【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグ自転車 ヘルメット GAIA-R ブラック OGK KABUTO オージーケーカブト ヘルメット【送料無料】,【最大1500円OFFクーポン対象】。自転車 ヘルメット GAIA-R ブラック OGK KABUTO オージーケーカブト ヘルメット【送料無料】[rn]
17-152803,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/r/4002_3.jpg?fitin=700:700,11200.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,リンプロジェクト No.4002 カスク (レザー) rin project Casque (leather) 【2013年】 自転車 サイクルウェア【送料無料】,【最大1500円OFFクーポン対象】,"90年代前半まで自転車用ヘルメットとして一般的に使われていたカスクを再現しました。小さく折りたた
めて気軽に被れる簡易ヘルメットです。
<br><br>
●昔、ツール・ド・フランスなど自転車レースでもヘルメットとして使われていた『カスク』を再現。現代的な服装にもマッチします。<br>
●表面は肌触りのよいソフトな本革。衝撃吸収剤と硬質ウレタンを重ねた内部構造が、万が一の転倒時に、頭への衝撃を和らげます。<br>
●クルマなどから見えやすい後頭部には、光を反射し、蓄光機能をもつロゴをプリント。夜間の視認性を高めます。<br>
●サイズ調整が簡単なストラップをカスク本体に巻けば、小さく折りたため、カバンに収納できます。
<br><br>
■カラー：ブラック、ホワイト、レッド、ブラウン、ブルーパープル、カーキ<br>
■サイズ：M(59cm)/L(61cm)<br>
■重さ：130g<br>
■素材：牛皮、衝撃吸収材<br>",リンプロジェクト No.4002 カスク (レザー) rin project Casque (leather) 【2013年】 自転車 サイクルウェア【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグリンプロジェクト No.4002 カスク (レザー) rin project Casque (leather) 【2013年】 自転車 サイクルウェア【送料無料】,【最大1500円OFFクーポン対象】。リンプロジェクト No.4002 カスク (レザー) rin project Casque (leather) 【2013年】 自転車 サイクルウェア【送料無料】[rn]
17-152804,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/b/bell1/7_zephyr_mp.jpg?fitin=700:700,19440.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,ベル ゼファー ミップス 2017 ロード向けヘルメット サイクルウェア【Helmet in a within helmet】 BELL ZEPHYR ROAD HELMET CYCLE WEAR 自転車【送料無料】,ベル ゼファー ミップス 2017 ロード向けヘルメット,"◆私たちは60年間のヘルメットの開発研究、衝突実験のデータ、ノウハウのすべてをこのヘルメットに注いだ。◆<br>◆そして驚くほどのフィッティング調整機能を付加させた。◆<br>◆バランスのとれたエアロダイナミクス、重量、ベンチレーション。◆<br>◆端的に言えばBELL史上最高のロードヘルメットを生み出したのだ。◆<br>■ベンチレーション<br>18<br>■サイズ/重量<br>M(55-59cm)/280g<br>L(58-62cm)/313g<br>■規格<br>CE EN1078<br>CPSC Bicycle<br>2017年度JCF取得予定<br>■<font color=""FF0000"">EYE WEAR ADAPTABILIT<br>BELLヘルメット発搭載機能として前後のベンチレーションにシリコン製のアイウェアマウントグリップ搭載</font><br>■<font color=""FF0000"">RELENTLESSLY INNOVATIVE<br>心肺機能が極限になるまで追い込まれるシクロクロスから急坂の山岳コースが続くロングレースまで、<br>ゼファーは被っていることを意識させないほど、最高のフィッティングを提供してくれる。<br>それがゼファーの全て。<br>長年に渡るロードレースの現場におけるテストリサーチ、分析を基にBELL史上最も革新的なロードヘルメットを誕生させた。</font><br>■<font color=""FF0000"">PROGRESSIVE LAYERING</font><br>プログレッシブレイヤリングでは、EPSフォームライナーは2層パーツで構成され、それぞれは異なる素材密度を持つ。<br>低密度のフォームを内側に、強く高密度のフォームを外側に効果的に配置することで、<br>重量増を抑えがら、起こり得る衝撃のエネルギーに対処することが出来る<br>■<font color=""FF0000"">FUSION IN=MOLD POLYCARBONATE SHELL</font><br>インモールディングとは、ヘルメットのマイクロシェルをそのEPSフォームレイヤーに接着する工程の事で、<br>より高剛性安全性の高いヘルメットを作ることができる。<br>このEPSフォームはモールド内にあるとき(これが名の由来である)、<br>個別に形成された後にテープで接着されるのではなく、薄いマイクロシェルキャップ射出形成される。<br>この工程はBELLが最初に手掛け、今やすべての高性能ヘルメットが用いる業界基準となっている。<br>一部のキッズ用ヘルメット以外はすべて、現在この製法が用いられる。<br>■<font color=""FF0000"">X-STATI＆XT-2 PADDING</font><br>銀製で編み込んだX-スタティックパッド及びXT-2パッドは、標準のパッドよりも冷たい肌触りで<br>臭いの元となるバクテリアや菌の発生を防ぐ速乾性素材を使用している。<br>■<font color=""FF0000"">SWEAT GUIDE</font><br>スウェットガイドのパッドデザインは額のパッドやアイウェアにかかる水分を取り除けるよう設計されている。<br>■<font color=""FF0000"">INTEGRATED REFLECTIVITY</font><br>耐久性の高いリフレクターコーティングは広い範囲に驚くほど高い視認性の反射機能を実現する。<br>☆<font color=""B43104"">AT bell, WE DON'T JUST MAKE HELMETS.<br>WE MAKE THINGS POSSIBLE.</font>☆<br>ベルの歴史。<br>それは世間の常識を疑い挑戦し、常に超えてきたプロフェッショナル達に選ばれ続けてきた歴史でもあります。<br>1923年ロサンゼルス郊外の小さなガレージで生まれ、アメリカのモータースポーツ<br>サイクルカルチャーの中で磨かれてきたその歴史は、<br>他のヘルメットメーカーが持つことのない。ベル自信が持つルーツであり唯一無二の真実です<br>頭を守るヘルメットということにおいてその素材や形。機能やデザインに至るまで、常に時代をリードし切り開いていく。<br>いつも限界に挑むクレイジーで偉大なるヒーローたちにとって、それこそがベルを選び続ける理由でもあったのです。<br>ブランドが始まって90年以上経った今、その歴史は世界中に広がり、<br>あらゆる場所で愛され語り継がれ、また深まり続けています。<br>グランツールやワールドカップの勝者、ローカルトレイルを守り続けるビルダー。<br>ヒルクライムをアグレッシヴに攻めるウィークエンドウォーリアー、<br>都会の雑踏を切り分けるコミューター、初めての自転車にチャレンジするキッズまで。<br>その場所や時間がなんであろうとも、自分たちの限界に挑戦し超えていく。<br>その誰もがそれぞれのプロフェッショナルであり、同じ地平にいるのです。<br>ベルは、そんな人たちに選ばれ続けるために変わらず時代の先頭を走るヘルメットのオリジンであり。<br>そしてプロフェッショナルな存在であり続けます。<br>そのことが、今ももこれからも変わらない、ベルの進むべき道だと信じているからです。<br><font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。</font>",ベル ゼファー ミップス 2017 ロード向けヘルメット サイクルウェア【Helmet in a within helmet】 BELL ZEPHYR ROAD HELMET CYCLE WEAR 自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグベル ゼファー ミップス 2017 ロード向けヘルメット サイクルウェア【Helmet in a within helmet】 BELL ZEPHYR ROAD HELMET CYCLE WEAR 自転車【送料無料】,ベル ゼファー ミップス 2017 ロード向けヘルメット。ベル ゼファー ミップス 2017 ロード向けヘルメット サイクルウェア【Helmet in a within helmet】 BELL ZEPHYR ROAD HELMET CYCLE WEAR 自転車【送料無料】[rn]
17-152805,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/r/4004es.jpg?fitin=700:700,1760.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,リンプロジェクト No.4008 バイザー (合皮) Visor synthetic leather 【2013年】 自転車 サイクルウェア【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】,"カスクに付け、日差しや雨を避けられるバイザー。同素材のカスク（レザー）にどうぞ。<br>
<font color=""red"">※バイザーのみの販売となりますので御注意下さい。</font>
<br><br>
●カスクに取り付ける、後付けバイザーです。リンプロジェクト製カスクと組み合わせてご使用ください。<br>
●バイザーを付けることにより、日差しや雨が、目の中に直接入るのを避けられます。<br>
●取り付けはストラップ＋ボタン式。取り付け、取り外しが簡単で壊れにくい、シンプルな構造です。
<br><br>
■カラー：ブラック、ホワイト<br>
■サイズ：Free<br>
■重さ：30g<br>
■素材：合皮",リンプロジェクト No.4008 バイザー (合皮) Visor synthetic leather 【2013年】 自転車 サイクルウェア【パーツ総額8640円以上送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグリンプロジェクト No.4008 バイザー (合皮) Visor synthetic leather 【2013年】 自転車 サイクルウェア【パーツ総額8640円以上送料無料】,【最大1500円OFFクーポン対象】。リンプロジェクト No.4008 バイザー (合皮) Visor synthetic leather 【2013年】 自転車 サイクルウェア【パーツ総額8640円以上送料無料】[rn]
17-152806,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/b/bell1/7_event_2.jpg?fitin=700:700,6912.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,ベル イベント 2017 ロード向けヘルメット サイクルウェア BELL EVENT ROADBIKE HELMET CYCLE WEAR 自転車【送料無料】,【最大1500円OFFクーポン対象】,"◆ついつい被ってみたくなるスタイリッシュな見た目と快適性を重視したテクノロジーを持つイベントは、<br>ライダーをやる気にさせてくれるヘルメットだ。◆<br>◆新型FLOATフィットシステムにより、かつてないほど完璧なフィットが得られ、<br>オーバーブローベンチレーションは冷たい空気を流し込んでから暖かい空気を排出するので、<br>頭は涼しく快適で、ライドに集中できる。◆<br>◆ミドルグレードモデルとは思えないデザイン、カラーリング、そしてフィッテングは初めてのヘルメットとしても最適。◆<br>■ベンチレーション<br>22<br>■サイズ/重量<br>M(55-59cm)/264g<br>L(58-62cm)/286g<br>■規格<br>CE EN1078<br>CPSC Bicycle<br>2017年度JCF取得予定<br>■<font color=""FF0000"">OVERBROW VENTILATION</font><br>オーバーブローベンチレーションシステムは、ヘルメットの額部分にある取入口から冷たい風を積極的に<br>■<font color=""FF0000"">FUSION IN-MOLD POLYCARBONATE SHELL</font><br>インモールディングとは、ヘルメットのマイクロシェルをそのEPSフォームレイヤーに接着する工程の事で、<br>より高剛性安全性の高いヘルメットを作ることができる。<br>このEPSフォームはモールド内にあるとき(これが名の由来である)、<br>個別に形成された後にテープで接着されるのではなく、薄いマイクロシェルキャップ射出形成される。<br>この工程はBELLが最初に手掛け、今やすべての高性能ヘルメットが用いる業界基準となっている。<br>一部のキッズ用ヘルメット以外はすべて、現在この製法が用いられる。<br>■<font color=""FF0000"">FLOAT FIT</font><br>新しいフロートフィットは正にミニマリストなフィッティングシステム。<br>ラバー仕様のダイアルは簡単に調整操作でき、ライトウェイトフィットシステムを実現。<br>■<font color=""FF0000"">INTERNAL ROLL CAGE</font><br>複数合成の骨格はヘルメット自身を強固なものにし、大きなベンチレーションで事案を可能にする。<br><font color=""B43104"">AT bell, WE DON'T JUST MAKE HELMETS.<br>WE MAKE THINGS POSSIBLE.</font><br>ベルの歴史。<br>それは世間の常識を疑い挑戦し、常に超えてきたプロフェッショナル達に選ばれ続けてきた歴史でもあります。<br>1923年ロサンゼルス郊外の小さなガレージで生まれ、アメリカのモータースポーツ<br>サイクルカルチャーの中で磨かれてきたその歴史は、<br>他のヘルメットメーカーが持つことのない。ベル自信が持つルーツであり唯一無二の真実です<br>頭を守るヘルメットということにおいてその素材や形。機能やデザインに至るまで、常に時代をリードし切り開いていく。<br>いつも限界に挑むクレイジーで偉大なるヒーローたちにとって、それこそがベルを選び続ける理由でもあったのです。<br>ブランドが始まって90年以上経った今、その歴史は世界中に広がり、<br>あらゆる場所で愛され語り継がれ、また深まり続けています。<br>グランツールやワールドカップの勝者、ローカルトレイルを守り続けるビルダー。<br>ヒルクライムをアグレッシヴに攻めるウィークエンドウォーリアー、<br>都会の雑踏を切り分けるコミューター、初めての自転車にチャレンジするキッズまで。<br>その場所や時間がなんであろうとも、自分たちの限界に挑戦し超えていく。<br>その誰もがそれぞれのプロフェッショナルであり、同じ地平にいるのです。<br>ベルは、そんな人たちに選ばれ続けるために変わらず時代の先頭を走るヘルメットのオリジンであり。<br>そしてプロフェッショナルな存在であり続けます。<br>そのことが、今ももこれからも変わらない、ベルの進むべき道だと信じているからです。<br><font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。</font>",ベル イベント 2017 ロード向けヘルメット サイクルウェア BELL EVENT ROADBIKE HELMET CYCLE WEAR 自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグベル イベント 2017 ロード向けヘルメット サイクルウェア BELL EVENT ROADBIKE HELMET CYCLE WEAR 自転車【送料無料】,【最大1500円OFFクーポン対象】。ベル イベント 2017 ロード向けヘルメット サイクルウェア BELL EVENT ROADBIKE HELMET CYCLE WEAR 自転車【送料無料】[rn]
17-152807,http://tshop.r10s.jp/gate-in/cabinet/parts_and_accessory/b/bell1/7_star-pro_sh.jpg?fitin=700:700,26640.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,ベル スタープロシールド 2017 アイシールド付きロード向けヘルメット サイクルウェア【サングラス】BELL STAR PRO SHIELD ROADBIKE HELMET with SUNGLASS CYCLE WEAR 自転車【送料無料】,【最大1500円OFFクーポン対象】,"◆速さと効率を最大限追求するという事は、一切の妥協をしないという事。◆<br>◆それがｋのスタープロという革新的なエアロロードヘルメットの基となる理念である。◆<br>◆これはライダーに力を与え、常に変わり続けるレ0素環境において走行中のパフォーマンスを最大限発揮させるものである。◆<br>◆クライミングではベンチレーションを開放し、<br>スプリントや平坦路面ではベンチレーションを閉じ、風を切り裂く空力を得る。◆<br>◆その革新的なアクティブエアロテクノロジーは、ただボタンをスライドさえるだけでいい 、<br>端的に言ってスタープロは、とても早く、そしてとても快適なヘルメットでもある。◆<br>■ベンチレーション<br>15(13Active Aero)<br>■サイズ/重量<br>M(55-59cm)/280g(シールド装着時：302g)<br>L(58-62cm)/302g(シールド装着時：324g)<br>■規格<br>CE EN1078<br>CPSC Bicycle<br>2017年度JCF取得予定<br>■<font color=""FF0000"">ACTIVE AERO/ACTIVE AIR</font><br>アクティブエアロは、ヘルメット最上部埋め込まれたシンプルなボタンを操作することで、<br>ライダーは空気の流れ、温度、空力効果を調節できる。<br>内部のスライダー機構は、必要に応じてヘルメットのベンチレーションを開閉させ、<br>ライドに合ったパフォーマンスを提供する。<br>■<font color=""FF0000"">OVERBROW VENTILATION</font><br>オーバーブローベンチレーションシステムは、ヘルメットの額部分にある取入口から冷たい風を積極的に<br>■<font color=""FF0000"">PROGRESSIVE LAYERING</font><br>プログレッシブレイヤリングでは、EPSフォームライナーは2層パーツで構成され、それぞれは異なる素材密度を持つ。<br>低密度のフォームを内側に、強く高密度のフォームを外側に効果的に配置することで、<br>重量増を抑えがら、起こり得る衝撃のエネルギーに対処することが出来る<br>■<font color=""FF0000"">MAGNETIC ZEISS EYE SHIELD</font><br>光学レンズメーカーのツィアス製の高性能アイシールドを磁石によりヘルメット自体に取り付けすることで、<br>テンプルなどの無駄な部分を省き、軽量で目をしっかりガードしてくれるシステム<br>■<font color=""FF0000"">X-STATI＆XT-2 PADDING</font><br>銀製で編み込んだX-スタティックパッド及びXT-2パッドは、標準のパッドよりも冷たい肌触りで<br>臭いの元となるバクテリアや菌の発生を防ぐ速乾性素材を使用している。<br>■<font color=""FF0000"">CINCH GUIDE</font><br>この新しい固定タイプのストラップデザインは、横方向に動く革新的なアジャスターパーツを採用している。<br>一度製道に位置決めをすれば、あとはライドに集中するだけ。<br>より精密な前後位置の調節を可能にし、ヘルメットのずれを防ぎ、ストラップの平らな面を顔に向け、ねじれを防ぐことが出来る。<br>その結果、より快適なフィット感が得られ、空力特性が向上し、煩わしい手間を減らすこともできる。<br>■<font color=""FF0000"">FLOAT FIT</font><br>新しいフロートフィットは正にミニまリストなフィッティングシステム。<br>ラバー仕様のダイアルは簡単に調整操作でき、ライトウェイトフィットシステムを実現。<br><font color=""B43104"">AT bell, WE DON'T JUST MAKE HELMETS.<br>WE MAKE THINGS POSSIBLE.</font><br>ベルの歴史。<br>それは世間の常識を疑い挑戦し、常に超えてきたプロフェッショナル達に選ばれ続けてきた歴史でもあります。<br>1923年ロサンゼルス郊外の小さなガレージで生まれ、アメリカのモータースポーツ<br>サイクルカルチャーの中で磨かれてきたその歴史は、<br>他のヘルメットメーカーが持つことのない。ベル自信が持つルーツであり唯一無二の真実です<br>頭を守るヘルメットということにおいてその素材や形。機能やデザインに至るまで、常に時代をリードし切り開いていく。<br>いつも限界に挑むクレイジーで偉大なるヒーローたちにとって、それこそがベルを選び続ける理由でもあったのです。<br>ブランドが始まって90年以上経った今、その歴史は世界中に広がり、<br>あらゆる場所で愛され語り継がれ、また深まり続けています。<br>グランツールやワールドカップの勝者、ローカルトレイルを守り続けるビルダー。<br>ヒルクライムをアグレッシヴに攻めるウィークエンドウォーリアー、<br>都会の雑踏を切り分けるコミューター、初めての自転車にチャレンジするキッズまで。<br>その場所や時間がなんであろうとも、自分たちの限界に挑戦し超えていく。<br>その誰もがそれぞれのプロフェッショナルであり、同じ地平にいるのです。<br>ベルは、そんな人たちに選ばれ続けるために変わらず時代の先頭を走るヘルメットのオリジンであり。<br>そしてプロフェッショナルな存在であり続けます。<br>そのことが、今ももこれからも変わらない、ベルの進むべき道だと信じているからです。<br><font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。</font>",ベル スタープロシールド 2017 アイシールド付きロード向けヘルメット サイクルウェア【サングラス】BELL STAR PRO SHIELD ROADBIKE HELMET with SUNGLASS CYCLE WEAR 自転車【送料無料】：GATE IN,ビアンキクロスバイクメリダロードバイク自転車ミニベロfuji featherスクルトゥーラtimbuk2giosリュックサックキッズ16インチ20インチ29erメッセンジャーバッグベル スタープロシールド 2017 アイシールド付きロード向けヘルメット サイクルウェア【サングラス】BELL STAR PRO SHIELD ROADBIKE HELMET with SUNGLASS CYCLE WEAR 自転車【送料無料】,【最大1500円OFFクーポン対象】。ベル スタープロシールド 2017 アイシールド付きロード向けヘルメット サイクルウェア【サングラス】BELL STAR PRO SHIELD ROADBIKE HELMET with SUNGLASS CYCLE WEAR 自転車【送料無料】[rn]
