17-149999,http://tshop.r10s.jp/bandpower/cabinet/cd-1069.jpg?fitin=700:700,1372.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　,"＜国内盤＞<br>
収録曲：<br>
1.銀河鉄道999／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
2.アメージング・グレース／伝承曲(arr.八木澤教司)<br>
3.ティアーズ・オブ・ムーン（サックスバラード）／織田浩司(arr.樽屋雅徳)<br>
4.クリスマスシーモ！(クリスマスソングの名曲メドレー)／(arr.金山徹)<br>
5.銀河鉄道999（コーラス付き）／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
6.ティアーズ・オブ・ムーン（カラオケVersion）／織田浩司(arr.樽屋雅徳)<br>",【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　。【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211[rn]
17-150000,http://tshop.r10s.jp/bandpower/cabinet/cd-1032.jpg?fitin=700:700,2286.4000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約7-21日間】ジョン・ウィリアムズ・ベスト！　金聖響＆シエナ・ウインド・オーケストラ【吹奏楽 CD】AVCL-25131,,"<p>※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。</p>
<p>　＜メーカーより＞<br>
  　金聖響指揮、シエナ・ウインド・オーケストラ演奏の吹奏楽によるジョン・ウィリアムズ集。「スター・ウォーズ」「ハリー・ポッター」をはじめ、晋友会合唱団総勢１００名が参加した「プライベート・ライアン」「スターウォーズ：運命の戦い」他を収録。２００６年録音盤。</p>
<p>・演奏団体：シエナ・ウインド・オーケストラ(Siena Wind Orchestra)<br>
  ・指揮者：金聖響(Seikyo Kim)<BR>
  ・合唱：晋友合唱団（Shin-yu Kai Choir）<br>
  <BR>
  ・ハイブリッド仕様ＳＡＣＤ<BR>
  　・CD層：2チャンネル・ステレオ<BR>
  　・SACD層：5チャンネル・ステレオ<BR>
  <br>
  ・発売元：エイベックス・マーケティング（株）<br>
  <br>
  ・収録：2006年3月1日～2日、6月12日～13日　横浜みなとみらいホール<BR>
  　　　　　2006年5月21日　東京芸術劇場　大ホール </p>
<p>作曲：ジョン・ウィリアムズ(John Williams)【全曲】</p>
<p>1. <font color=""#000099"">サモン・ザ・ヒーロー(arr.ポール・ラヴェンダー)</font>【6：32】<br>
  　　 Summon The Heroes(arrPaul Lavender.)<br>
  　　　 楽譜セット購入⇒（吹奏楽）</p>
<p><br>
  2. <font color=""#000099"">スター・ウォーズ　六部作より</font><br>
  　　 Star Wars<br>
  <br>
  ・メイン・タイトル（Main Title from Star Wars）(arr.真島俊夫)【5：30】<br>
  ・ダース・ベイダーのテーマ(arr.ドナルド・ハンスバーガー)<br>
  （The Imperial March from Star Wars Empire Strikes Back）【3：01】 <br>
  ・フラッグ・パレード(arr.小林健太郎)<br>
  （Flag Parade from Star Wars Episode 1：Phantam Menace）【3：19】 <br>
  ・運命の闘い(arr.清水大輔)<br>
  （Duel of the Fqates from Star Wars Episode 1：Phantam Menace）【4：15】 </p>
<p><br>
  3. <font color=""#000099"">JFK～プロローグ（メイン・タイトル）(arr.真島俊夫)</font>【5：09】<br>
  　　 JFK Main Title(arr.Mashima Toshio)</p>
<p>4. <font color=""#000099"">レイダース　失われた聖櫃～レイダース・マーチ(arr.ポール・ラヴェンダー)</font>【5：14】<br>
  　　 The Raider's March from RAIDERS OF THE LOST ARK(arr.Paul Lavender)</p>
<p>5. <font color=""#000099"">プライベート・ライアン～戦没者への讃歌(arr.フィリップ・スパーク)</font>【7：09】<br>
  　　 Hymn to the Fallen from SAVING PRIVATE RYAN(arr.Philip Sparke)<br>
  　　　 楽譜セット購入⇒（吹奏楽）</p>
<p><br>
  6. <font color=""#000099"">キャッチ・ミー・イフ・ユー・キャン(arr.ジェイ・ボクック)</font>【7：01】<br>
  　　 Catch me if you can(arr.Jay Bocook)</p>
<p>7. <font color=""#000099"">カウボーイ序曲(arr.ジェームズ・カーナウ)</font>【9：40】<br>
  　　 Cowboys Overture(arr.James Curnow)</p>
<p> 8. <font color=""#000099"">ハリー・ポッターと賢者の石(arr.亀井光太郎)</font>【11：52】<br>
  　　 Harry Potter and The Sorcerer's Stone(arr.Kamei Koutarou)<br>
  <br>
  ・ヘドウィグのテーマ：チェレスタ・ソロ（Hedwig's Theme）【1：43】<br>
  ・ニンバス2000：木管アンサンブル（Nimbus 2000）【2：27】<br>
  ・クイディッチ：ブラス・アンサンブル（Quidditch）【2：30】<br>
  ・ハリーの不思議な世界（Harry's Wondrous World）【5：12】</p>
<p>9. <font color=""#000099"">1941のマーチ(arr.ポール・ラヴェンダー)</font>【4：28】<br>
  　　 The March from 1941(arr.Paul Lavender)</p>",【お取り寄せします　約7-21日間】ジョン・ウィリアムズ・ベスト！　金聖響＆シエナ・ウインド・オーケストラ【吹奏楽 CD】AVCL-25131：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約7-21日間】ジョン・ウィリアムズ・ベスト！　金聖響＆シエナ・ウインド・オーケストラ【吹奏楽 CD】AVCL-25131,【お取り寄せします　約7-21日間】ジョン・ウィリアムズ・ベスト！　金聖響＆シエナ・ウインド・オーケストラ【吹奏楽 CD】AVCL-25131[rn]
17-150001,http://tshop.r10s.jp/bandpower/cabinet/cd-1309.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,■ポピュラー・セレクションズ・フォー・コンサート・バンド　スロヴェニア警察音楽隊　Popular Selections for Concert Band【吹奏楽 CD】,,"＜吹奏楽-輸入盤＞
収録曲：<br>
2. ソング・オブ・ホープ／ヨハン・ネイス【3：40】<br>
3. 我らがマエストロ／ヴィム・ラセロムス【4：10】<br>
5. ボラーレ／ジプシー・キングス（arr.ボッチ）【3：34】<br>
6. ビコーズ・ウィ・ビリーヴ／ボチェッリ＆フォスター（arr.スタルマン）【4：25】<br>
8. ザ・ハッスル／ヴァン・マッコイ（arr.ボッチ）【3：41】<br>
18. イン・ザ・ホール・オブ・ザ・ロッキング・キング（山の魔王の宮殿にて）<br>
　　／グリーグ（arr.シュワルギン）【4：05】<br>
ほか全20曲",■ポピュラー・セレクションズ・フォー・コンサート・バンド　スロヴェニア警察音楽隊　Popular Selections for Concert Band【吹奏楽 CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい■ポピュラー・セレクションズ・フォー・コンサート・バンド　スロヴェニア警察音楽隊　Popular Selections for Concert Band【吹奏楽 CD】,■ポピュラー・セレクションズ・フォー・コンサート・バンド　スロヴェニア警察音楽隊　Popular Selections for Concert Band【吹奏楽 CD】[rn]
17-150002,http://tshop.r10s.jp/bandpower/cabinet/cdi-0009.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約3-5日間】VICTORY　創価ルネサンスバンガード【CD】【マーチング CD】CACG-0023,　,＜メーカーより＞<br><br>マーチングバンド全国大会で通算5回「グランプリ・内閣総理大臣賞」に輝いた、史上最強のマーチングバンド、創価ルネサンスバンガード。<br><br>この初のオリジナル・アルバムは、すべてセッションによる録音で、マーチングバンドのCDとしては日本初です。<br><br>グランプリ受賞曲をはじめ、高い技術力に裏打ちされたセクション別のアンサンブル、豪華ゲストとのセッションなど、マーチングバンドのイメージをくつがえす見事なパフォーマンスが聴き手の目の前に広がります。<br><br>“G管ビューグル最後の演奏”となったこの録音は、日本のマーチング界にとっても記念碑的作品となるでしょう。,【お取り寄せします　約3-5日間】VICTORY　創価ルネサンスバンガード【CD】【マーチング CD】CACG-0023：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約3-5日間】VICTORY　創価ルネサンスバンガード【CD】【マーチング CD】CACG-0023,　。【お取り寄せします　約3-5日間】VICTORY　創価ルネサンスバンガード【CD】【マーチング CD】CACG-0023[rn]
17-150003,http://tshop.r10s.jp/bandpower/cabinet/cdi-0035.jpg?fitin=700:700,2438.4000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約3-5日間】アヴァン・ギャルド　創価ルネサンスバンガードAvangarde【マーチング CD 2枚組】 CACG-0064,,"<font color=""#FF0000"">★注意！必ずご一読の上、ご購入下さい★</font><br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br>
<br>
<hr><br>＜マーチングＣＤ＞",【お取り寄せします　約3-5日間】アヴァン・ギャルド　創価ルネサンスバンガードAvangarde【マーチング CD 2枚組】 CACG-0064：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約3-5日間】アヴァン・ギャルド　創価ルネサンスバンガードAvangarde【マーチング CD 2枚組】 CACG-0064,【お取り寄せします　約3-5日間】アヴァン・ギャルド　創価ルネサンスバンガードAvangarde【マーチング CD 2枚組】 CACG-0064[rn]
17-150004,http://tshop.r10s.jp/bandpower/cabinet/16/cd-3975.jpg?fitin=700:700,1911.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,オリュンポスの神々：オスカル・ナバロ吹奏楽作品集　演奏：ベルギー・ギィデ交響吹奏楽団　El Olimpo De Los Dioses: Wind Band Music by Oscar Navarr【吹奏楽 CD】,,"＜レコメンド＞<br>
<br>
─<br>
<br>
<br>
▼CD情報<br>
<br>
・演奏：ベルギー・ギィデ交響吹奏楽団<br>
（Royal Symphonic Band of the Belgian Guides）<br>
<br>
・指揮：イフ・セイハース（Yves Segers）<br>
<br>・収録：─<br>
<br>・発売元：ワールド・ウィンド・ミュージック（World Wind Music）<br>
<br>・発売年：2015年<br>
<br>
<br>
■収録内容：<br>
<br>作曲：オスカル・ナバロ（Oscar Navarro）【全曲】<br>
<br>
<br>
<font color=""#000099"">交響組曲「オリュンポスの神々」</font><br>
El Olimpo De Los Dioses（The Gods' Olympus）<br>
<br>
arr. アンドレス・アルバレス＆オスカル・ナバロ 【43：24】<br>
arr. Andres Alvarez &amp; Oscar Navarro<br>
<br>1. I）伝令神 ヘルメス 【4：26】<br>

Hermes - The Messenger of the Gods Across All Frontiers<br>
<br>2. II）狩猟・貞潔の女神 アルテミス 【4：18】<br>

Artemis - The Goddess of Nature and Wild Animals<br>
<br>3. III）冥界の神 ハデス 【5：19】<br>

Hades - The God of the Death<br>
<br>4. IV）海と地震を司る神 ポセイドン 【7：17】<br>

Poseidon - The God of the Sea and the Earthwuakes<br>
<br>5. V. 豊穣神 デメテル 【2：01】<br>

Demeter - The Goddess of Agriculture<br>
<br>6. VI. 炎と鍛冶の神 ヘーパイストス 【2：45】<br>

Hephaestus - The God of Fire and Forging<br>
<br>7. VII. 芸術・光明・医術の神 アポロン 【2：09】<br>

Apollo - The God of Beauty, Music and Perfection<br>
<br>8. VIII. 愛と美、性を司る女神 アプロディーテー 【5：15】<br>

Aphrodite - The Goddess of Sexuality, Lust and Desire<br>
<br>9. IX. 戦の神と女神 アレスとアテナ 【4：10】<br>

Ares and Athena - The God and Goddess of War<br>
<br>10. X. 神々の王と女王 ゼウスとへーラー 【5：44】<br>

Zeus and Hera - The God and the Goddess of Gods<br>
<br>11. <font color=""#000099"">クラリネットとオーケストラのための第二協奏曲／arr. オスカル・ナバロ</font> 【21：12】<br>

Second Concerto for Clarinet and Orchestra／arr. Oscar Navarro<br>
<br>12. <font color=""#000099"">ザ・フライ</font> 【4：45】<br>

The Fly<br>
<br>13. <font color=""#000099"">アンドレ・コントラバンディスタ</font> 【4：47】<br>

Andres Contrabandista<br>
<br>
<br>
<br>
<br>
<br>
≫その他「ギィデ交響吹奏楽団」演奏CDはこちら！",オリュンポスの神々：オスカル・ナバロ吹奏楽作品集　演奏：ベルギー・ギィデ交響吹奏楽団　El Olimpo De Los Dioses: Wind Band Music by Oscar Navarr【吹奏楽 CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいオリュンポスの神々：オスカル・ナバロ吹奏楽作品集　演奏：ベルギー・ギィデ交響吹奏楽団　El Olimpo De Los Dioses: Wind Band Music by Oscar Navarr【吹奏楽 CD】,オリュンポスの神々：オスカル・ナバロ吹奏楽作品集　演奏：ベルギー・ギィデ交響吹奏楽団　El Olimpo De Los Dioses: Wind Band Music by Oscar Navarr【吹奏楽 CD】[rn]
17-150005,http://tshop.r10s.jp/bandpower/cabinet/16/cd-4177.jpg?fitin=700:700,1911.2000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,2つのラテンダンス　ハファブラ・ミュージック作品集 第43集【吹奏楽 CD】 89053-2,,"★ハファブラ・ミュージック作品集 第43集<br>
<br>
<br>
＜レコメンド＞<br>
<br>─<br>
<br>
<br>
▼CD情報<br>
<br>
・演奏：<br>
<br>アド・ホック・ウインド・オーケストラ<br>
（Ad Hoc Wind Orchestra） [ Track：1-5, 7-16 ]<br>
<br>
ベルギー・ギィデ交響吹奏楽団<br>
（Royal Symphonic Band of the Belgian Guides） [ Track：16 ]<br>
<br>
<br>・指揮：<br>
<br>ジャン＝ピエール・ヘック<br>
（Jean-Pierre Haeck） [ Track：1-5, 7-9, 11-16 ]<br>
<br>
ハーディ・メルテンス（Hardy Mertens） [ Track：10 ]<br>
<br>
イヴ・セヘルス（Yves Segers） [ Track：6 ]<br>
<br>
<br>・収録：─<br>
<br>・発売元：ハファブラ・ミュージック（HAFABRA MUSIC）<br>
<br>・発売年：2016年<br>
<br>
<br> 
■収録内容：<br>
<br>
1. レレベ・デ・ラ・ガルデ／ジャン＝ピエール・ヘック 【2：59】<br>
La Releve de la Garde／Jean-Pierre Haeck<br>
<br>2. 2つのラテンダンス／アンドレ・ウェニャン 【7：02】<br>
Dos Danzas Latinas／Andre Waignein<br>
<br>3. ペルシャの踊り　第1番／アミル・モルックポーア 【2：49】<br>
Persian Dance No. 1／Amir Molookpour<br>
<br>4. プレーリー・ムーン／マイケル・ホップ（arr. ルイス・マルチヌス） 【4：39】<br>
Prairie Moon／Michael Hoppe（arr.Louis Martinus）<br>
<br>5. ペルシャの踊り　第3番／アミル・モルックポーア 【4：08】<br>
Persian Dance No. 3／Amir Molookpour<br>
<br>6. エギーユ・クイ・フェ・レボルデ・ル・ヴァーズ／マキシム・オーリオ 【8：47】<br>
L'aiguille qui fait deborder le vase／Maxime Aulio<br>
<br>7. ペルシャの踊り　第4番／アミル・モルックポーア 【2：53】<br>
Persian Dance No. 4／Amir Molookpour<br>
<br>8. イッツ・タイム・フォー・ラブ／ジャン＝ピエール・ヘック 【4：10】<br>
It's time for Love／Jean-Pierre Haeck<br>
<br>9. 「ピーター・パン」ハイライト／arr. スザンヌ・ウェルターズ 【5：20】<br>
Highlights from Peter Pan／arr. Suzanne Welters<br>
<br>10. 3本のテナー／ハーディ・メルテンス 【4：41】<br>
The Three Tenors／Hardy Mertens<br>
<br>11. ミシェル・フーガン、ラテン・バージョン<br>
／ミシェル・フーガン（arr. マクシム・ルゴロワ） 【7：53】<br>
Michael Fugain, version Latine<br>
／Michael Fugain（arr. Maxime Legaulois）<br>
<br>12. 死ぬほど愛してる／フランシス・カブレル（arr. パー・フレードリクソン） 【3：01】<br>
Je l'aime a mourir／Francis Cabrel（arr. Par Frederiksson）<br>
<br>13. ストロマエ／ストロマエ（arr. レナード・シュバリエ） 【6：49】<br>
Stromae／Stromae（arr. Leonard Chevalier）<br>
<br>14. 青春に乾杯／ローラン・ヴァンサン（arr. パー・フレードリクソン） 【2：38】<br>
Pour un Flirt／Roland Vincent（arr. Par Frederiksson）<br>
<br>15. ママチャリ／レイン・アンプヤ 【1：47】<br>
Granny's Bike／Raine Ampuja<br>
<br>16. 彼は立ったままピアノを弾いていた<br>
／ミシェル・バーガー（arr. フランソワ・ペリン） 【2：39】<br>
Il Jouait du Piano Debout／Michael Berger（arr. Francois Perrin）<br>
<br>
<br>
<br>
≫その他「吹奏楽」CDはこちら！<br>
<br>

≫その他「作・編曲家：ハーディ・メルテンス」コーナーはこちら！",2つのラテンダンス　ハファブラ・ミュージック作品集 第43集【吹奏楽 CD】 89053-2：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい2つのラテンダンス　ハファブラ・ミュージック作品集 第43集【吹奏楽 CD】 89053-2,2つのラテンダンス　ハファブラ・ミュージック作品集 第43集【吹奏楽 CD】 89053-2[rn]
17-150006,http://tshop.r10s.jp/bandpower/cabinet/16/cd-4056.jpg?fitin=700:700,2652.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,ヤン・ヴァンデルロースト～マイルストーンズ《60歳記念3枚組CD》　交響詩「スパルタクス」　いにしえの時から　Jan Van der Roost - Milestones (Limited Anniversary Edition)【吹奏楽 CD】,,"★アルバム・コンセプトは、ヴァンデルロースト本人が語る“自伝”がメインの作品集！<br>
  <br>
  【作曲(全曲)】ヤン・ヴァンデルロースト<br>
  【CD-1】<br>
  1. プロヴァンス組曲<br>
  2. カンゾーナ・ゴティカ<br>
  3. 弦楽のために<br>
  4. セレモ二アル・マーチ<br>
  5. リクディム～4つのイスラエル舞曲<br>
  6. コンチェルト・グロッソ<br>
  7. エクスカリバー<br>
  【CD-2】<br>
  1. 交響詩「スパルタクス<br>
  2. 祝典序曲「オリンピカ」<br>
  3. ストーンヘンジ～ブラスバンドのための<br>
  4. メランコリア～「敬意の協奏曲」から<br>
  5. アッティラ～「シンフォニア・ハンガリア」から パート1 <br>
  6. ケベック～北のラプソディ<br>
  【CD-3】<br>
  1. アコルディ・エ・コロリ～「二重協奏曲」から<br>
  2. 「ダブリン・ダンス」から パートII、パートIII<br>
  3. オスティナーティ<br>
  4. 結婚行進曲<br>
  5. カンゾーナ～G.ガブリエーリへのオマージュ<br>
  6. いにしえの時から<br>
  7. グリムの童話の森～組曲 - ジングシュピール「むかしむかし ... 」から",ヤン・ヴァンデルロースト～マイルストーンズ《60歳記念3枚組CD》　交響詩「スパルタクス」　いにしえの時から　Jan Van der Roost - Milestones (Limited Anniversary Edition)【吹奏楽 CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいヤン・ヴァンデルロースト～マイルストーンズ《60歳記念3枚組CD》　交響詩「スパルタクス」　いにしえの時から　Jan Van der Roost - Milestones (Limited Anniversary Edition)【吹奏楽 CD】,ヤン・ヴァンデルロースト～マイルストーンズ《60歳記念3枚組CD》　交響詩「スパルタクス」　いにしえの時から　Jan Van der Roost - Milestones (Limited Anniversary Edition)【吹奏楽 CD】[rn]
17-150007,http://tshop.r10s.jp/bandpower/cabinet/cd-0072.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,■トリロジー～ファファブラ・スペシャル　TRILOGY　A HaFaBra Special【吹奏楽 / ブラスバンド CD】,,"1. ５つの祝典のファンファーレから“ガラ・ファンファーレ”／P.スパーク　【1：06】<br>
2. 戴冠式行進曲／マイヤベイアー　【4：07】<br>
3. フランス民謡変奏曲／F.チェザリーニ　【7：00】<br>
4. センテナリー／ヴィム・ラセロムス　【3：21】<br>
5. ジャズ・ワルツNo.１／O.M.シュワルツ　【3：07】<br>
6. ラブ・アンド・マリッジ／フランク・シナトラ　【2：47】<br>
7. フラワー・パワー／(arr.ドン・キャンプベル)　【7：36】<br>
8. ５つの祝典のファンファーレから“フェスティヴァル・ファンファーレ” ／P.スパーク　【1：23】<br>
9. セルティック・ダンス／D.コート　【2：37】<br>
10. ヒーザリッジ・スケッチ／S.ブラ　【8：06】<br>
11. 映画「ターザン」より２つの世界／フィル・コリンズ　【4：36】<br>
12. サーカスの1日／J.カーナウ　【9：51】<br>
13. キャラヴァン／デューク・エリントン　【4：23】<br>
14. ５つの祝典のファンファーレから“バースデイ・ファンファーレ” ／P.スパーク　【1：19】<br>
15. ヨーロッパ序曲／B.モレン　【6：03】<br>
16. アメージング・グレイス　【2：46】<br>
17. 聖歌／J.カーナウ　【7：10】",■トリロジー～ファファブラ・スペシャル　TRILOGY　A HaFaBra Special【吹奏楽 / ブラスバンド CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい■トリロジー～ファファブラ・スペシャル　TRILOGY　A HaFaBra Special【吹奏楽 / ブラスバンド CD】,■トリロジー～ファファブラ・スペシャル　TRILOGY　A HaFaBra Special【吹奏楽 / ブラスバンド CD】[rn]
17-150008,http://tshop.r10s.jp/bandpower/cabinet/cd-0956.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,シンガポールからの手紙～フィリップ・スパーク ファンファーレ・オルケスト作品集　Postcard from Singapore　The Fanfare Band Music of Philip Sparke【ファンファーレ・オルケスト CD】AR 018-3,,"＜輸入盤＞＞<br>
収録曲：<br>
編曲・作曲：スパーク【全曲】<br>
1.マドリガルム<br>
2.フォー・ノベル・トゥルース <br>
3.「冬」よりラルゴ（『四季』より）／ヴィヴァルディ<br>
4.カレイドスコープ<br>
5.カンタータ第208番「狩のカンタータ」より「羊たちは静かに草を食み」／バッハ<br>
6.プロセッショナル<br>
7.クレツマー・カーニヴァル<br>
8.金髪のジェニー／フォスター<br>
9.シンガポールからの手紙<br>
10.鐘のキャロル／レオントヴィッチ<br>
11.エロイス／ポール・ライアン<br>",シンガポールからの手紙～フィリップ・スパーク ファンファーレ・オルケスト作品集　Postcard from Singapore　The Fanfare Band Music of Philip Sparke【ファンファーレ・オルケスト CD】AR 018-3：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいシンガポールからの手紙～フィリップ・スパーク ファンファーレ・オルケスト作品集　Postcard from Singapore　The Fanfare Band Music of Philip Sparke【ファンファーレ・オルケスト CD】AR 018-3,シンガポールからの手紙～フィリップ・スパーク ファンファーレ・オルケスト作品集　Postcard from Singapore　The Fanfare Band Music of Philip Sparke【ファンファーレ・オルケスト CD】AR 018-3[rn]
17-150009,http://tshop.r10s.jp/bandpower/cabinet/cd-1150.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,マルテニッツァ　Martenizza【ファンファーレ・オルケスト CD】,,"ファンファーレ・オルケスト演奏のＣＤ。（吹奏楽、ブラスバンド編成ではないので注意！）<br>
<br>
1. マルテニッツァ／ピート・スウェルツ 【4：48】<BR>
2. アビシス／フランコ・チェザリーニ 【12：56】<br>
3. バッハ・ヴァリアンツ／ジェイムズ・カーナウ 【4：17】<BR>
4. カプリス・フォー・サクソフォン／スティーヴン・ブラ 【5：13】<BR>
5. De Zwaanriddersage／ヤン・ボスフェルト 【11：43】<BR>
6. ハーモニー・フェスティバル／ヤン・デハーン 【13：01】<BR>
7. ノース・ブリッジ・ポートレイト／スティーヴン・ブラ 【9：41】<BR>
8. エリザベート／ミヒャエル・クンツェ、シルベスター・レヴァイ（arr.ヨハン・デメイ） 【8：55】",マルテニッツァ　Martenizza【ファンファーレ・オルケスト CD】：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいマルテニッツァ　Martenizza【ファンファーレ・オルケスト CD】,マルテニッツァ　Martenizza【ファンファーレ・オルケスト CD】[rn]
