17-34699,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04269595/imgrc0066112837.jpg?fitin=700:700,3040.0000,,スポーツ・アウトドア > アウトドア > その他,【箱付】エイボン ヴィンテージ 香水瓶　ウインチェスター/ ボトル 瓶 Avon,,"エイボンのヴィンテージ香水ビンです。<br><br>

こちらは、箱付きで実際に中身も入っている状態でございます。<br> <br>

そのまま現状渡しでお願い致します。<br><br>

日本では中々入手困難何インテリアアイテムです。<br><br> 

眺めているだけでも、アメリカンな気分になります♪ <br><br>

1点物ですので、お見逃しなく! <br><br>

本体サイズ：約H10.5cm ×　底直径 3.4cm<br><br>

※USED品の為、現状渡しとなります。<br>
※経年による傷等がございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>

■送料について：<br> 
１．全国一律送料600円 （代引の場合は手数料別途324円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",【箱付】エイボン ヴィンテージ 香水瓶　ウインチェスター/ ボトル 瓶 Avon：CHOPPERS,【箱付】エイボン ヴィンテージ 香水瓶　ウインチェスター/ ボトル 瓶 Avon,【箱付】エイボン ヴィンテージ 香水瓶　ウインチェスター/ ボトル 瓶 Avon[rn]
17-34700,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04189769/imgrc0065696919.jpg?fitin=700:700,17600.0000,,スポーツ・アウトドア > アウトドア > その他,Budweiser ヴィンテージ BBQ グリル [L-12-2] バドワイザー,オールドアメリカンな貴重なお品です。,"バドワイザーのヴィンテージBBQグリルでございます！！<br>
この形とこのデザインはあまり見かけないのではないでしょうか？？★ <br><br>

「こいつを使いたいから、日曜日はバーベキューをしよう！！」<br>
と、いう気分に思わずなってしまいそうです！！笑<br><br>

ヴィンテージのお品ですので、多少のキズなどもございますが、まだまだ現役として使えそうです★<br><br>

見た目のカッコ良さだけで無く、持ち運びも、簡単に折り畳めて非常に機能的です！<br><br>

もちろん、ディスプレイとしても、主役級のカッコ良さです★<br><br>

思わず友人に自慢したくなる１品です！！<br>
サイズ：直径21cm×幅36cm<br>
<br><br>

※ご使用いただけるようクリーニングいたしておりますが、古い味わいとして文字はげやへこみなども不規則的にございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>

■送料について：<br> 
１．全国一律送料1000円 （代引の場合は手数料別途432円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",Budweiser ヴィンテージ BBQ グリル [L-12-2] バドワイザー：CHOPPERS,Budweiser ヴィンテージ BBQ グリル [L-12-2] バドワイザー,オールドアメリカンな貴重なお品です。。Budweiser ヴィンテージ BBQ グリル [L-12-2] バドワイザー[rn]
17-34701,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04189769/imgrc0065685973.jpg?fitin=700:700,3360.0000,,スポーツ・アウトドア > アウトドア > その他,【箱付】エイボン ヴィンテージ 香水瓶　MODEL A ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！,"エイボンのヴィンテージ香水ビンです。<br><br>

中身は入っていませんが、フタを開けるとほのかにいい香りがします。<br> <br>

日本では中々入手困難何インテリアアイテムです。<br><br> 

眺めているだけでも、アメリカンな気分になります♪ <br><br>

1点物ですので、お見逃しなく! <br><br>

本体サイズ；約H5×W14.5×D6ｃｍ<br><br>

※USED品の為、現状渡しとなります。<br>
※経年による傷等がございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>

■送料について：<br> 
１．全国一律送料600円 （代引の場合は手数料別途324円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",【箱付】エイボン ヴィンテージ 香水瓶　MODEL A ボトル 瓶 Avon：CHOPPERS,【箱付】エイボン ヴィンテージ 香水瓶　MODEL A ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！。【箱付】エイボン ヴィンテージ 香水瓶　MODEL A ボトル 瓶 Avon[rn]
17-34702,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04189769/imgrc0065685820.jpg?fitin=700:700,3040.0000,,スポーツ・アウトドア > アウトドア > その他,【箱付】エイボン ヴィンテージ 香水瓶　MAILBOX　ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！,"エイボンのヴィンテージ香水ビンです。<br><br>

中身は入っていませんが、フタを開けるとほのかにいい香りがします。<br> <br>

日本では中々入手困難何インテリアアイテムです。<br><br> 

眺めているだけでも、アメリカンな気分になります♪ <br><br>

1点物ですので、お見逃しなく! <br><br>

本体サイズ；約H11×W5×D5ｃｍ<br><br>

※USED品の為、現状渡しとなります。<br>
※経年による傷等がございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>

■送料について：<br> 
１．全国一律送料600円 （代引の場合は手数料別途324円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",【箱付】エイボン ヴィンテージ 香水瓶　MAILBOX　ボトル 瓶 Avon：CHOPPERS,【箱付】エイボン ヴィンテージ 香水瓶　MAILBOX　ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！。【箱付】エイボン ヴィンテージ 香水瓶　MAILBOX　ボトル 瓶 Avon[rn]
17-34703,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04145624/imgrc0065329789.jpg?fitin=700:700,3040.0000,,スポーツ・アウトドア > アウトドア > その他,エイボン ヴィンテージ 香水瓶　Car 車 ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！,"エイボンのヴィンテージ香水ビンです。<br><br>

中身は入っていませんが、フタを開けるとほのかにいい香りがします。<br> <br>

日本では中々入手困難何インテリアアイテムです。<br><br> 

眺めているだけでも、アメリカンな気分になります♪ <br><br>

1点物ですので、お見逃しなく! <br><br>

本体サイズ；約　5 × 5　×　15 cm<br><br>

※USED品の為、現状渡しとなります。<br>
※経年による傷等がございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>

■送料について：<br> 
１．全国一律送料600円 （代引の場合は手数料別途324円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",エイボン ヴィンテージ 香水瓶　Car 車 ボトル 瓶 Avon：CHOPPERS,エイボン ヴィンテージ 香水瓶　Car 車 ボトル 瓶 Avon,ショップ・自宅に是非どうぞ！。エイボン ヴィンテージ 香水瓶　Car 車 ボトル 瓶 Avon[rn]
17-34704,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04054426/img64569118.jpg?fitin=700:700,30400.0000,,スポーツ・アウトドア > アウトドア > その他,ヴィンテージ　スタンドキャスター付きタイマー時計,ガレージやお店に是非どうぞ！,"ヴィンテージのキャスター付きタイマー時計が入荷してきました♪<br><br>

よく遊泳場などに設置されているので、皆さんも一度は目にしたことがあるアイテムではないでしょうか。<br><br> 

Garageやお店のディスプレーとして活用していただいても人とは違った雰囲気が出ておススメでございます。<br> 
キャスターが付いているので、移動もらくらくでございます♪<br><br>

店舗をされている方は、きっとお店のアイコンになること間違いなしのアイテムでございます。<br><br>

また、動作の有無について確認しましたが現状問題なく作動しております。<br>
ヴィンテージ品につき、現状渡しとなりますので予めご了承下さいませ。<br><br>

一点ものですので、お見逃しなく～。<br><br>

※経年による傷等がございます。<br>
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。<br><br>


Size 本体:W79.5×H80×D12cm<br>
    　　スタンド：W39.5×H95×D56cm<br><br>

■送料について：<br> 
１．全国一律送料4000円（代引の場合は手数料別途648円）での発送となります。他の商品など複数ご購入の場合は同時梱包でお送りいたします。<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",ヴィンテージ　スタンドキャスター付きタイマー時計：CHOPPERS,ヴィンテージ　スタンドキャスター付きタイマー時計,ガレージやお店に是非どうぞ！。ヴィンテージ　スタンドキャスター付きタイマー時計[rn]
17-34705,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04536912/imgrc0067093238.jpg?fitin=700:700,18400.0000,,スポーツ・アウトドア > アウトドア > その他,ヴィンテージ　ACキャビネット【M-85】 / オールドアイテム アメリカ購入品,,"アメリカよりヴィンテージ　ACキャビネットが入荷してきました。<br> <br>

もちろんアメリカでの購入品でございます！<br><br>

本格的な１点でございます。<br><br>

もちろんMade.in.USAでございます。<br>
インテリアとしても抜群の存在感です。<br><br> 

ステッカーチューンやステンシルカスタムもきまりますね。<br><br> 

小物を入れたりお気に入りのコレクションケースにもいかがでしょうか？<br><br>

また裏に両サイド取り付けの穴があいているので設置もらくかと思います☆<br><br>

ガレージディスプレイはもちろん、ショップのディスプレイにも最適だと思います☆<br><br>

使い込むほど味が出てきます。 <br><br>


サイズ：約W48XH22.5XD15.2Cm <br><br>



■送料について：<br> 
１．全国一律送料700円 （代引の場合は手数料別途432円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",ヴィンテージ　ACキャビネット【M-85】 / オールドアイテム アメリカ購入品：CHOPPERS,ヴィンテージ　ACキャビネット【M-85】 / オールドアイテム アメリカ購入品,ヴィンテージ　ACキャビネット【M-85】 / オールドアイテム アメリカ購入品[rn]
17-34706,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04230405/imgrc0065947712.jpg?fitin=700:700,17600.0000,,スポーツ・アウトドア > アウトドア > その他,ケネディ エアークラフト用ツールボックス Tool Box 【M-11】　/ 工具箱,,"重厚感のあるケネディ エアークラフト用のツールボックス がアメリカより入荷してきました。<br><br>

もちろんアメリカでの購入品でございます！<br><br>

年代は詳しくは不明ですが古いお品と思われます。
<br><br>

以前のオーナーが刻んだステンシルもばっちりきまっています☆<br><br>

質感そして重量感ともに存在感抜群でございます！<br><br>

モーター関係のアイテムを入れる工具箱としても、また、インテリアとしても抜群の存在感です。<br><br>

使い込むほど味が出てきます。<br><br>

※オールドアイテムでございますので、錆や傷などが多数ございますので画像をよくご確認下さいませ。<br><br>

ケネディのツールボックスはアメリカ国内でも最近は入手困難な状況ですので国内ではなかなか手に入りにくいお品ですのでおススメございます。<br><br>

サイズ：約W45×H32×D27.5Cm<br><br>

※USED品の為、現状渡しとなります。<br> 
※経年による傷等がございます。<br> 
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。 <br><br>



■送料について：<br> 
１．全国一律送料1000円 （代引の場合は手数料別途432円）<br>
２．沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",ケネディ エアークラフト用ツールボックス Tool Box 【M-11】　/ 工具箱：CHOPPERS,ケネディ エアークラフト用ツールボックス Tool Box 【M-11】　/ 工具箱,ケネディ エアークラフト用ツールボックス Tool Box 【M-11】　/ 工具箱[rn]
17-34707,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/04230405/imgrc0065940459.jpg?fitin=700:700,20000.0000,,スポーツ・アウトドア > アウトドア > その他,REPAIR PARTS CABINET 【L-46】　/ アルミキャビネット,,"アメリカより重厚感のあるアルミキャビネットが入荷してきました。<br><br>

もちろんアメリカでの購入品でございます！<br><br>


年代は詳しくは不明ですが質感そして重量感ともにいい味がでております。<br><br>

これがガレージもしくはショップに置いてあるだけで雰囲気抜群でございます！<br><br>

そのままの状態でもいいですが、ステッカーなど貼って、自分だけのオリジナルカスタムもオススメです！<br><br>

モーター関係のアイテムを入れる工具箱としても、また、インテリアとしても抜群の存在感です。<br><br>

使い込むほど味が出てきます。<br><br>



サイズ：約W32×H29.5×D46.5Cm<br><br>


※USED品の為、現状渡しとなります。<br> 
※経年による傷等がございます。<br> 
※オールドアイテムの味わいをご理解いただける方のみお買い求めください。 <br><br>



■送料について：<br> 
１．全国一律送料1000円 （代引の場合は手数料別途432円）<br>
２．北海道・沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",REPAIR PARTS CABINET 【L-46】　/ アルミキャビネット：CHOPPERS,REPAIR PARTS CABINET 【L-46】　/ アルミキャビネット,REPAIR PARTS CABINET 【L-46】　/ アルミキャビネット[rn]
17-34708,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/201302/img61900197.jpg?fitin=700:700,27840.0000,,スポーツ・アウトドア > アウトドア > その他,JACK IN THE BOX フェイス　Girl/ガール,実物大超人気企業キャラ！！,"JACK IN THE BOXの企業キャラクター。<br>
ハンドメイドAmerica製の巨大フェイスマスクです！<br><br> 

※JACK IN THE BOX<br>
1951年サンディエゴで創業。西部の州を中心に1550店舗あり、全米大人気のハンバーガーチェーン。<br><br> 


数量限定で入荷決定！！ <br><br>


ディスプレーとしても存在感抜群。<br>
ユーモア溢れるアメリカンな空間を演出出来ます。<br>
実際コスチュームとしてもお使いいただけます。<br>
パーティーなどでは人気者間違いなしです。<br><br>


※新品未使用（画像は、代表サンプルです）<br> 
材質：発砲スチロール　一部ウレタン素材<br><br> 
 
■送料について：<br> 
１．全国一律送料1000円（代引の場合は手数料別途648円） <br>
２．沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",JACK IN THE BOX フェイス　Girl/ガール：CHOPPERS,JACK IN THE BOX フェイス　Girl/ガール,実物大超人気企業キャラ！！。JACK IN THE BOX フェイス　Girl/ガール[rn]
17-34709,http://tshop.r10s.jp/auc-zakka-etcetera/cabinet/201302/img61900197.jpg?fitin=700:700,27840.0000,,スポーツ・アウトドア > アウトドア > その他,JACK IN THE BOX BOY/ジャック　フェイス 実物大　ボーイ,超人気企業キャラ！！,"JACK IN THE BOXの企業キャラクター・ジャック。<br>
ハンドメイドAmerica製の巨大フェイスマスクです！<br><br> 

※JACK IN THE BOX<br>
1951年サンディエゴで創業。西部の州を中心に1550店舗あり、全米大人気のハンバーガーチェーン。<br><br> 


数量限定で入荷！！ <br><br>


ディスプレーとしても存在感抜群。<br>
ユーモア溢れるアメリカンな空間を演出出来ます。<br>
実際コスチュームとしてもお使いいただけます。<br>
パーティーなどでは人気者間違いなしです。<br><br>


※新品未使用（画像は、代表サンプルです）<br> 
材質：発砲スチロール　一部ウレタン素材<br><br> 


■送料について：<br> 
１．全国一律送料1000円（代引の場合は手数料別途648円） <br>
２．沖縄及び離島への発送に関しましては別途料金をお見積もりさせていただきます。",JACK IN THE BOX BOY/ジャック　フェイス 実物大　ボーイ：CHOPPERS,JACK IN THE BOX BOY/ジャック　フェイス 実物大　ボーイ,超人気企業キャラ！！。JACK IN THE BOX BOY/ジャック　フェイス 実物大　ボーイ[rn]
