17-11801,http://tshop.r10s.jp/g-life/cabinet/00374786/img55924546.jpg?fitin=700:700,363.2000,,花・ガーデン・DIY > その他,ラティスポスト固定金具　平止め用　LPK-145C【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天,　,"コンクリートの上にラティスポストを設置する為の固定金具です。
市販のアンカーボルトを併用して設置します。
■サイズ(cm)：約幅14.5×奥行14.5×高さ10.3
■主用素材：スチール
■パーツリスト：本体1個、ネジ4本、ワッシャー2個、スプリングワッシャー1個、ナット1個、ボルト1本<br>
※コンクリートに設置する場合は市販のアンカーボルト（Ｍ８×７０mm以上）が４本、土の地面に設置する場合には市販のペグ４本が必要になります。",ラティスポスト固定金具　平止め用　LPK-145C【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天：ガーデニングライフ,ラティスポスト固定金具　平止め用　LPK-145C【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天,　。ラティスポスト固定金具　平止め用　LPK-145C【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天[rn]
17-11802,http://tshop.r10s.jp/g-life/cabinet/00374786/img55924547.jpg?fitin=700:700,556.0000,,花・ガーデン・DIY > その他,ラティスポスト固定金具　ブロック用　LPK-100B【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天,　,"<!--▼ここから-->
 <img src='http://image.rakuten.co.jp/g-life/cabinet/description/smp/g518380f_1.jpg' width='100%' alt='ラティスポスト固定金具 LPK-100B'><br><img src='http://image.rakuten.co.jp/g-life/cabinet/description/smp/g518380f_2.jpg' width='100%' alt='ラティスポスト固定金具 LPK-100B'><br>
<!--▲ここまで-->ブロックの上にラティスポストを設置するための固定金具です。
10cmのブロック用です。
■サイズ(cm)：幅11.5×奥行11.6×高さ20
■主用材質：スチール
■入り数：１個入",ラティスポスト固定金具　ブロック用　LPK-100B【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天：ガーデニングライフ,ラティスポスト固定金具　ブロック用　LPK-100B【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天,　。ラティスポスト固定金具　ブロック用　LPK-100B【アイリスオーヤマ】【設置 取り付け 取付 ガーデニング DIY 支柱】 楽天[rn]
17-11803,http://tshop.r10s.jp/g-life/cabinet/jishahin8/502917-e.jpg?fitin=700:700,399.2000,,花・ガーデン・DIY > その他,ネット入り鉢底石3.6L【鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利/植物/鉢替え/鉢植え/アイリスオーヤマ】 楽天,鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利,通気改善・高温殺菌済・繰り返し使えるネット入り鉢底石です！<br>約900度で高温殺菌済みですぐに使えます。<br>プランターや鉢の底石として使いやすい0.6Lの小袋ネット入りで、鉢の大きさに合わせて計量する手間がかかりません。<br>使い終わったらそのまま水洗いでき、何度でも繰り返し使えて経済的です♪<br><br>●商品サイズ(cm)：幅約32×奥行約38×高さ約4<br>●重量：約800g<br>●容量：3.6L<br>●使用の目安<br>丸型プランター（直径30センチ）：1個 <br>箱型プランター（長さ65センチ）：3個 <br>鉢（6～8号）：1個 <br>●材質：焼成人工軽石<br>,ネット入り鉢底石3.6L【鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利/植物/鉢替え/鉢植え/アイリスオーヤマ】 楽天：ガーデニングライフ,ネット入り鉢底石3.6L【鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利/植物/鉢替え/鉢植え/アイリスオーヤマ】 楽天,鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利。ネット入り鉢底石3.6L【鉢底石/鉢底用石/鉢の底にひく石/鉢底ジャリ/砂利/植物/鉢替え/鉢植え/アイリスオーヤマ】 楽天[rn]
17-11804,http://tshop.r10s.jp/g-life/cabinet/00374786/262574-all.jpg?fitin=700:700,1968.0000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-964 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-964 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-964 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-964 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11805,http://tshop.r10s.jp/g-life/cabinet/00374786/262588-all.jpg?fitin=700:700,602.4000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-934 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-934 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-934 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-934 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11806,http://tshop.r10s.jp/g-life/cabinet/00374786/i262715-all.jpg?fitin=700:700,678.4000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-644 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-644 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-644 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-644 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11807,http://tshop.r10s.jp/g-life/cabinet/00374786/i262724-all.jpg?fitin=700:700,800.0000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-434 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-434 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-434 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-434 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11808,http://tshop.r10s.jp/g-life/cabinet/00374786/262581-all.jpg?fitin=700:700,838.4000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-944 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-944 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-944 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-944 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11809,http://tshop.r10s.jp/g-life/cabinet/img59018474.gif?fitin=700:700,6476.8000,,花・ガーデン・DIY > その他,【送料無料】【20枚セット】折りたたみ養生プラダン OPD-1892Y ナチュラル［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天,　,"<font color=orange>折りたためるから持ち運びや収納に便利！壁のコーナー部分にもすっきり張り合わせることが出来ます！</font><br>折りたためるタイプのプラスチックダンボールです。<br>衝撃に強く、断熱効果や遮音効果に優れています。<br>移転・引越し時の建物への養生資材にご利用頂けます。<br>紙のダンボールと違い、何度も繰り返し使用できますので経済的です。<br><br>●商品サイズ（約）：幅182×奥行き91×高さ0.25cm<br>●折りたたみ時（約）：幅91×奥行き36.8×高さ12.5cm<BR>●重さ：約450g<br>●材質：ポリプロピレン<br><br>
<Font Color=""#ff0000"">恐れ入りますがこちらの1枚販売はございません。</Font>",【送料無料】【20枚セット】折りたたみ養生プラダン OPD-1892Y ナチュラル［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天：ガーデニングライフ,【送料無料】【20枚セット】折りたたみ養生プラダン OPD-1892Y ナチュラル［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天,　。【送料無料】【20枚セット】折りたたみ養生プラダン OPD-1892Y ナチュラル［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天[rn]
17-11810,http://tshop.r10s.jp/g-life/cabinet/00374786/262567-all.jpg?fitin=700:700,2271.2000,,花・ガーデン・DIY > その他,【5枚セット】プラダン PD-994 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　,,【5枚セット】プラダン PD-994 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天：ガーデニングライフ,【5枚セット】プラダン PD-994 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天,　。【5枚セット】プラダン PD-994 ナチュラル・白・黒・青・灰・緑・黄・赤 楽天[rn]
17-11811,http://tshop.r10s.jp/g-life/cabinet/img59018494.gif?fitin=700:700,5318.4000,,花・ガーデン・DIY > その他,【5枚セット】ポリカプラダン PCD-994クリア・ブロンズ［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天,　,,【5枚セット】ポリカプラダン PCD-994クリア・ブロンズ［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天：ガーデニングライフ,【5枚セット】ポリカプラダン PCD-994クリア・ブロンズ［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天,　。【5枚セット】ポリカプラダン PCD-994クリア・ブロンズ［窓/二重窓/断熱材/窓断熱/プラダンシート/防寒対策/工作/加工/DIY/省エネ/節電/eco/エコ/通販］【アイリスオーヤマ】 楽天[rn]
