17-110099,http://tshop.r10s.jp/rcmdin/cabinet/ms10/ms-14400246.jpg?fitin=700:700,44526.4000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ミキモク ダイニングテーブル 雅 カラー:ダークブラウン 浮造り仕上げ WT-11059 UNB(代引不可)【送料無料】【smtb-f】,,"【内容】<br>和の空間でも馴染むデザインにし、木部には浮造り仕上げを施している。(d)<br>【浮造り仕上げ】<br>柔らかな部分を磨いてへこませ、木目の部分を浮き立つようにした仕上げ方法。木部を触ると木目の凹凸が強く感じられます。<br><br>【仕様】<br>●サイズ：110ｘ110ｘ70cm<br>●重量：21<br>●素材・材質<br>本体：天然木（ラバーウッド）<br>●原産国：タイ<br>●その他<br>浮造り加工<br><br><br><font color=#ff9900>【代引きについて】</font><br>こちらの商品は、<font color=#ff0000>代引きでの出荷は受け付けておりません。</font><br><br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道、沖縄、離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ミキモク ダイニングテーブル 雅 カラー:ダークブラウン 浮造り仕上げ WT-11059 UNB(代引不可)【送料無料】【smtb-f】：リコメン堂インテリア館,ミキモク ダイニングテーブル 雅 カラー:ダークブラウン 浮造り仕上げ WT-11059 UNB(代引不可)【送料無料】【smtb-f】,ミキモク ダイニングテーブル 雅 カラー:ダークブラウン 浮造り仕上げ WT-11059 UNB(代引不可)【送料無料】【smtb-f】[rn]
17-110100,http://tshop.r10s.jp/rcmdin/cabinet/bb01/bb-chdt-120.jpg?fitin=700:700,19840.0000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル 天然木 北欧 木製 テーブル 作業台 ダイニングセット 北欧 木製 アイアン おしゃれ アンティーク 塗装(代引不可)【送料無料】【smtb-f】,,"商品について：<br><br>クロームシリーズは、職人の手によって一枚一枚エイジング加工が施された､色々なサイズとカラーの天然木(杉材)を個性的なブロック状に組み合わせて作った、これまでにないほど手間を惜しまず作った商品です。<br><br>温かみがあり、どこか懐かしい雰囲気の塗装と、無機質なスチールが絶妙にマッチして、人気のシリーズです。<br><br><br><br><br><br><br><br>商品サイズ：W1200×D771×H750mm<br><br>素　　材　：天然木(杉材)にラッカー塗装/中芯材は中質繊維板の裏面突板貼りにラッカー塗装/<br><br> 　　　　　　スチールパイプに粉体塗装<br><br>耐　荷　重：約80kg(天板部分)/約20kg(棚板部分)<br><br>形　　状　：組み立て品<br><br><br><br><br><br>※商品写真の色味は、ご使用の端末の設定等により実際のものと異なってしまう場合があります。予めご了承の程、お願い申し上げます。<br><br><br><br><font color=#ff9900>【代引きについて】</font><br>こちらの商品は、<font color=#ff0000>代引きでの出荷は受け付けておりません。</font><br><br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道、沖縄、離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル 天然木 北欧 木製 テーブル 作業台 ダイニングセット 北欧 木製 アイアン おしゃれ アンティーク 塗装(代引不可)【送料無料】【smtb-f】：リコメン堂インテリア館,ダイニングテーブル 天然木 北欧 木製 テーブル 作業台 ダイニングセット 北欧 木製 アイアン おしゃれ アンティーク 塗装(代引不可)【送料無料】【smtb-f】,ダイニングテーブル 天然木 北欧 木製 テーブル 作業台 ダイニングセット 北欧 木製 アイアン おしゃれ アンティーク 塗装(代引不可)【送料無料】【smtb-f】[rn]
17-110101,http://tshop.r10s.jp/rcmdin/cabinet/tv01/tv-milkyway-4.jpg?fitin=700:700,36888.8000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル4点セット ダイニングセット 4人掛け ミルキーウェイ ダイニング4点セット (135幅/4人掛け用)(代引不可)【送料無料】【smtb-f】,,"美しい木目の帯が入った天板が印象的なダイニング5点セット。<br>ハイバックスタイルのチェアは座り心地が良く、すっきりとしたフォルムで、引手を添えたデザイン。<br>お手入れの簡単な合皮張りに仕上げました。<br><br>やさしい印象のナチュラル色と、高級感のあるダークブラウン色の2色展開です。<br><br>【サイズ】<br>テーブル：幅135x奥行80x高さ70cm<br>チェア： 幅45×奥行56×高さ97cm（座面高43）<br>ベンチ： 幅104×奥行36×高さ43cm <br><br><br><br><br><br>■生産地：ベトナム<br><br>■素材・成分：<br>【テーブル】<br>天板：MDF（PU塗装）<br>脚：ラバーウッド<br><br>【チェア 2脚】<br>張地：PVC<br>中材：ウレタン・合板<br>脚：ラバーウッド<br><br>【ベンチ】<br>張地：PVC<br>中材：ウレタン・合板<br>脚：ラバーウッド<br><br>【カラー】<br>ナチュラル・ダークブラウン <br><br><br><font color=#ff9900>【代引きについて】</font><br>こちらの商品は、<font color=#ff0000>代引きでの出荷は受け付けておりません。</font><br><br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道、沖縄、離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル4点セット ダイニングセット 4人掛け ミルキーウェイ ダイニング4点セット (135幅/4人掛け用)(代引不可)【送料無料】【smtb-f】：リコメン堂インテリア館,ダイニングテーブル4点セット ダイニングセット 4人掛け ミルキーウェイ ダイニング4点セット (135幅/4人掛け用)(代引不可)【送料無料】【smtb-f】,ダイニングテーブル4点セット ダイニングセット 4人掛け ミルキーウェイ ダイニング4点セット (135幅/4人掛け用)(代引不可)【送料無料】【smtb-f】[rn]
17-110102,http://tshop.r10s.jp/rcmdin/cabinet/az04/cc-040605231.jpg?fitin=700:700,18444.8000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル W80 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW80 木製 (代引不可)【送料無料】,送料無料,"<img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-001.jpg"" width=""100%""><br><img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-002.jpg"" width=""100%""><br><img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-003.jpg"" width=""100%""><br><table width=""100%"" cellpadding=""5""><tr><td align=""center"" bgcolor=""#FF3366""><font size=""+1"" color=""#FFFFFF""><b>＞＞詳細ページへ＜＜</b></font></td></tr></table><br><table width=""100%"" bgcolor=""#3F2318"" cellspacing=""1""><tr align=""center""><td colspan=""5""><font color=""#FFFFFF""><b>天然木北欧スタイルダイニング【CREGG】クレッグ</b></font></td></tr><tr align=""center""><td width=""20%"" bgcolor=""white"">チェア<br>(同色2脚組)</td><td width=""20%"" bgcolor=""white"">テーブル<br>(W80)</td><td width=""20%"" bgcolor=""white"">テーブル<br>(W150)</td><td width=""20%"" bgcolor=""white"">3点セット</td><td width=""20%"" bgcolor=""white"">5点セット</td></tr></table><br>【商品名】天然木北欧スタイルダイニング「CREGG」クレッグ<br><br>【サイズ】<br>ダイニングテーブル(W80)：幅80×奥行き70×高さ72cm<br>ダイニングテーブル(W80)：幅150×奥行き80×高さ72cm<br>チェア：幅44×奥行き56×高さ82(座面高48)cm<br><br>【材質】<br>ダイニングテーブル：天然木(アッシュ) 天然木化粧繊維板(アッシュ) ウレタン塗装<br>チェア：天然木(アッシュ) ウレタン塗装 ポリエステル<br><br>【重量】<br>ダイニングテーブル(W80)：約14kg<br>ダイニングテーブル(W150)：約23kg<br>チェア：約6kg(1脚分)<br><br>【梱包サイズ/梱包重量】<br>ダイニングテーブル(W80)：幅75×奥行き87×高さ11cm/約15.5kg<br>ダイニングテーブル(W150)：幅86×奥行き157×高さ11cm/約24kg<br>チェア：幅72×奥行き46×高さ98cm/約13kg(2脚梱包)<br><br>【セット内容】<br>3点セット：ダイニングテーブル(W80)、チェア2脚<br>5点セット：ダイニングテーブル(W150)、チェア4脚<br><br>【生産国】中国<br><br>※テーブル：組み立て品、チェア：完成品 <br><br><br><font color=""#ff9900"">【配送について】</font><br>こちらの商品は、<font color=""#ff0000"">代引きでの出荷は受け付けておりません</font>。<br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道・沖縄・離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル W80 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW80 木製 (代引不可)【送料無料】：リコメン堂インテリア館,ダイニングテーブル W80 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW80 木製 (代引不可)【送料無料】,送料無料。ダイニングテーブル W80 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW80 木製 (代引不可)【送料無料】[rn]
17-110103,http://tshop.r10s.jp/rcmdin/cabinet/az04/cc-040605232.jpg?fitin=700:700,22148.8000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル W150 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW150 木製 (代引不可)【送料無料】,送料無料,"<img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-001.jpg"" width=""100%""><br><img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-002.jpg"" width=""100%""><br><img src=""http://image.rakuten.co.jp/rcmd/cabinet/az04/az-cregg-003.jpg"" width=""100%""><br><table width=""100%"" cellpadding=""5""><tr><td align=""center"" bgcolor=""#FF3366""><font size=""+1"" color=""#FFFFFF""><b>＞＞詳細ページへ＜＜</b></font></td></tr></table><br><table width=""100%"" bgcolor=""#3F2318"" cellspacing=""1""><tr align=""center""><td colspan=""5""><font color=""#FFFFFF""><b>天然木北欧スタイルダイニング【CREGG】クレッグ</b></font></td></tr><tr align=""center""><td width=""20%"" bgcolor=""white"">チェア<br>(同色2脚組)</td><td width=""20%"" bgcolor=""white"">テーブル<br>(W80)</td><td width=""20%"" bgcolor=""white"">テーブル<br>(W150)</td><td width=""20%"" bgcolor=""white"">3点セット</td><td width=""20%"" bgcolor=""white"">5点セット</td></tr></table><br>【商品名】天然木北欧スタイルダイニング「CREGG」クレッグ<br><br>【サイズ】<br>ダイニングテーブル(W80)：幅80×奥行き70×高さ72cm<br>ダイニングテーブル(W80)：幅150×奥行き80×高さ72cm<br>チェア：幅44×奥行き56×高さ82(座面高48)cm<br><br>【材質】<br>ダイニングテーブル：天然木(アッシュ) 天然木化粧繊維板(アッシュ) ウレタン塗装<br>チェア：天然木(アッシュ) ウレタン塗装 ポリエステル<br><br>【重量】<br>ダイニングテーブル(W80)：約14kg<br>ダイニングテーブル(W150)：約23kg<br>チェア：約6kg(1脚分)<br><br>【梱包サイズ/梱包重量】<br>ダイニングテーブル(W80)：幅75×奥行き87×高さ11cm/約15.5kg<br>ダイニングテーブル(W150)：幅86×奥行き157×高さ11cm/約24kg<br>チェア：幅72×奥行き46×高さ98cm/約13kg(2脚梱包)<br><br>【セット内容】<br>3点セット：ダイニングテーブル(W80)、チェア2脚<br>5点セット：ダイニングテーブル(W150)、チェア4脚<br><br>【生産国】中国<br><br>※テーブル：組み立て品、チェア：完成品 <br><br><br><font color=""#ff9900"">【配送について】</font><br>こちらの商品は、<font color=""#ff0000"">代引きでの出荷は受け付けておりません</font>。<br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道・沖縄・離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル W150 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW150 木製 (代引不可)【送料無料】：リコメン堂インテリア館,ダイニングテーブル W150 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW150 木製 (代引不可)【送料無料】,送料無料。ダイニングテーブル W150 天然木北欧スタイルダイニング【CREGG】クレッグ テーブルW150 木製 (代引不可)【送料無料】[rn]
17-110104,http://tshop.r10s.jp/rcmdin/cabinet/wp01/wp-dt-sb-25-78.jpg?fitin=700:700,16889.6000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ アッシュ ダイニングシリーズ【serge】サージ 単品 正方形 幅78cm(代引不可)【送料無料】【smtb-f】,,"<img src=""http://www.rakuten.ne.jp/gold/rcmdin/page/wp-dt-sb-25-78-sp.jpg"" width=""100%""><br><br><!--Link--><br>【天然木アッシュダイニングシリーズ[serge]サージ】<br>■テーブル単品 78幅<br>■テーブル単品 135幅<br>■ベンチ単品<br>■ダイニングチェア 2脚組<br>■3点セット（テーブル78 チェアｘ2）<br>■3点セット（テーブル135 ベンチｘ2）<br>■4点セット（テーブル135 ベンチｘ1 チェア2）<br>■5点セット（テーブル135 チェアｘ4）<br><br><!--Link-->天然木ホワイトアッシュダイニングシリーズ[serge]サージ　ダイニングテーブル幅78<br><br>●テーブル<br>【サイズ】（約）幅78×奥行78×高さ72cm<br>【素材】<br>天板…天然木ホワイトアッシュ（ラッカー塗装）<br>脚…天然木ホワイトアッシュ<br>【重量】（約）10kg<br>【梱包数/サイズ/】１梱包/（約）83×83×9cm・（約）12kg<br>【生産国】ベトナム<br>※お客様組み立て品<br><br>※お客様のPC環境やご使用のモニターにより若干実物と色が異なる場合がございます。<br>あらかじめご了承下さい。<br><br>※こちらの商品は配送日、配送時間の指定ができません。<br>あらかじめご了承下さい。<br>配達日が近づきましたら、運送会社からお届け予定のご連絡をさせていただきます。<br><br><br><font color=#ff9900>【代引きについて】</font><br>こちらの商品は、<font color=#ff0000>代引きでの出荷は受け付けておりません。</font><br><br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道、沖縄、離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ アッシュ ダイニングシリーズ【serge】サージ 単品 正方形 幅78cm(代引不可)【送料無料】【smtb-f】：リコメン堂インテリア館,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ アッシュ ダイニングシリーズ【serge】サージ 単品 正方形 幅78cm(代引不可)【送料無料】【smtb-f】,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ アッシュ ダイニングシリーズ【serge】サージ 単品 正方形 幅78cm(代引不可)【送料無料】【smtb-f】[rn]
17-110105,http://tshop.r10s.jp/rcmdin/cabinet/wp01/wp-dt-sb-25.jpg?fitin=700:700,18370.4000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ デザイン 天然木 アッシュダイニングシリーズ【serge】サージ テーブル単品 (幅135)(代引不可)【送料無料】,,"<img src=""http://www.rakuten.ne.jp/gold/rcmdin/page/wp-dt-sb-25-78-sp.jpg"" width=""100%""><br><br><!--Link--><br>【天然木アッシュダイニングシリーズ[serge]サージ】<br>■テーブル単品 78幅<br>■テーブル単品 135幅<br>■ベンチ単品<br>■ダイニングチェア 2脚組<br>■3点セット（テーブル78 チェアｘ2）<br>■3点セット（テーブル135 ベンチｘ2）<br>■4点セット（テーブル135 ベンチｘ1 チェア2）<br>■5点セット（テーブル135 チェアｘ4）<br><br><!--Link-->天然木アッシュダイニングシリーズ[serge]サージ<br><br>●テーブル<br>【サイズ】（約）幅135×奥行78×高さ72cm<br>【素材】<br>天板…天然木ホワイトアッシュ（ラッカー塗装）<br>脚…天然木ホワイトアッシュ<br>【重量】（約）19kg<br>【梱包数／サイズ・重量】１梱包／（約）140×85×10cm・21kg<br>【生産国】ベトナム<br>※お客様組み立て品<br><br>●チェア２脚組<br>【サイズ】１脚あたり（約）幅43×奥行48.5×高さ81cm<br>【素材】<br>フレーム…天然木ホワイトアッシュ<br>張り地…PU（ソフトレザー）<br>クッション材…ウレタン、ウェービングテープ<br>【重量】１脚あたり（約）4kg<br>【梱包数／サイズ・重量】<br>※2脚組１梱包<br>（約）60×44.5×91cm・8.5kg<br>【生産国】ベトナム<br>※完成品でお届けいたします<br><br>●ベンチ<br>【サイズ】（約）幅110×奥行40×高さ43cm<br>【素材】<br>フレーム…天然木ホワイトアッシュ<br>張り地…PU（ソフトレザー）<br>クッション材…ウレタン<br>【重量】（約）9kg<br>【梱包数／サイズ・重量】<br>１梱包／（約）115×45×15cm・11kg<br>【生産国】ベトナム<br>※お客様組み立て品<br><br>こちらの商品は配送日、配送時間の指定ができかねます。あらかじめご了承下さい。配達日が近づきましたら、運送会社からお届け予定のご連絡をさせていただきます。<br><br><br><font color=#ff9900>【代引きについて】</font><br>こちらの商品は、<font color=#ff0000>代引きでの出荷は受け付けておりません。</font><br><br><br><font color=#ff9900>【送料について】</font><br><font color=#ff0000>北海道、沖縄、離島は別途送料を頂きます。</font><div　 class=""rank-9""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining0-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　><div　 class=""new3""><iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/rcmdin/cat/dining-new-i.html"" scrolling=""No"" frameborder=""0""></iframe =""""=""""></div　>",ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ デザイン 天然木 アッシュダイニングシリーズ【serge】サージ テーブル単品 (幅135)(代引不可)【送料無料】：リコメン堂インテリア館,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ デザイン 天然木 アッシュダイニングシリーズ【serge】サージ テーブル単品 (幅135)(代引不可)【送料無料】,ダイニングテーブル ダイニング テーブル 天然木 北欧 レトロ デザイン 天然木 アッシュダイニングシリーズ【serge】サージ テーブル単品 (幅135)(代引不可)【送料無料】[rn]
17-110106,http://tshop.r10s.jp/air-rhizome/cabinet/25/klt-kago1-din-tan.jpg?fitin=700:700,25920.0000,,インテリア・寝具・収納 > テーブル > ダイニングテーブル > 木製,送料無料 ダイニングテーブル テーブル 食卓 木製 長方形 ミッドセンチュリー カフェ おしゃれ 人気 西海岸 おすすめ ヴィンテージ ブルックリン 食卓 カフェ風 キッチン ダイニング 新生活 vintage wood dining〔ヴィンテージウッドダイニング〕ダイニングテーブル単体販売,ダイニングテーブル 西海岸 カフェ風 おしゃれ ヴィンテージ,"<img 　　　　　　　　　　　　　　　　　　　　　　　　　　　　 src=""http://www.rakuten.ne.jp/gold/air-rhizome/smaf/header/images/smaf-fav-ib.png"" class=""fav-b"" border=""0"" width=""0""><br>

<img src=""http://www.rakuten.ne.jp/gold/air-rhizome/smaf/cap-image/cap-kelt-dining-table-1.jpg"" width=""100%""><br>
<img src=""http://www.rakuten.ne.jp/gold/air-rhizome/smaf/cap-image/cap-kelt-dining-table-2.jpg"" width=""100%""><br>

※テーブルのみの販売となっております。<br>
チェア等はついておりません。
<hr size=""1"" color=""#666666"">

■お届け目安（ご予約販売除く）<br>
※2営業日後出荷→ご注文からお届けまで4～7日程
<hr size=""1"" color=""#666666"">
■<font color=""#FF6666"">代金引換未対応</font><br>
○クレジットカード、銀行振込、コンビニ後払い<br>×代金引換
<hr size=""1"" color=""#666666"">
■<font color=""#FF6666"">こちらの商品はコンビニ後払い決済対応商品です。</font><br>
コンビニ後払い決済の詳細はコチラからご確認下さい。
<hr size=""1"" color=""#666666"">
※<font color=""#FF6666"">北海道・沖縄・離島</font>は追加送料が発生します<br>
■追加送料に関しまして<br>
ご注文前にご確認ください
<hr size=""1"" color=""#666666"">

【サイズ・詳細】<br>
詳しいサイズ図はコチラ
<br><br>
■サイズ<br>
　テーブル/幅140×奥行80×高さ73cm<br>
■製品重量<br>
　テーブル/約27kｇ<br>
■材質<br>
　パイン無垢(オイル塗装)、スチール（粉体塗装）<br>
■備考<br>
　組立品<br>
<hr size=""1"" color=""#666666"">
 
  

◇シリーズ一覧はコチラ<br>
ヴィンテージウッドダイニングシリーズ
<hr size=""1"" color=""#666666""><br>

<iframe =""""="""" src=""http://www.rakuten.ne.jp/gold/air-rhizome/smaf/item/dining.html"" scrolling=""No"" frameborder=""0"" class=""item-rec-light"" width=""100%""></iframe =""""="""">
<hr size=""1"" color=""#666666"">

★<font color=""#FF6666"" size=""+1"">期間限定セール開催中♪</font>
<br>
 
<hr size=""1"" color=""#666666"">
<center>
<br><table align=""center"" width=""90%"" bgcolor=""#CCA266""><tr><td align=""center"" bgcolor=""#CCA266""><font color=""#403F3E""><b>【エア・リゾーム TOPページへ】</b></font></td></tr></table></center><br><br>
こちらもオススメ♪<img width=""100%"" 　　　　　　　　　　　　　　 src=""http://image.rakuten.co.jp/air-rhizome/cabinet/mo/smf-filder.jpg"" />つい寝転びたくなる「ふかサラ」シャギーラグ♪<br><br><img width=""100%"" 　　　　　　　　　　　　　　 src=""http://image.rakuten.co.jp/air-rhizome/cabinet/smaf/smf-pc-016w.jpg"" />日本組立・検品♪不朽の名作チェア<br><br><img width=""100%"" 　　　　　　　　　　　　　　 src=""http://image.rakuten.co.jp/air-rhizome/cabinet/smaf/smaf-p-dt03.jpg"" />味わいあるウッドデザインデスク<br><br><img width=""100%"" 　　　　　　　　　　　　　　 src=""http://image.rakuten.co.jp/air-rhizome/cabinet/lp-pickup/review/smf-bnr-revi-10p.gif"">着後レビュー投稿＆メール報告でクーポンプレゼント<br><br>",送料無料 ダイニングテーブル テーブル 食卓 木製 長方形 ミッドセンチュリー カフェ おしゃれ 人気 西海岸 おすすめ ヴィンテージ ブルックリン 食卓 カフェ風 キッチン ダイニング 新生活 vintage wood dining〔ヴィンテージウッドダイニング〕ダイニングテーブル単体販売：エア・リゾーム　インテリア,インテリア家具ソファ座椅子チェアソファーダイニングテーブルポールハンガーハンガーラック北欧シーリングライトゴミ箱テーブルキッチン収納テレビ台ドレッサーラグエアリゾームベッドラックデスク送料無料 ダイニングテーブル テーブル 食卓 木製 長方形 ミッドセンチュリー カフェ おしゃれ 人気 西海岸 おすすめ ヴィンテージ ブルックリン 食卓 カフェ風 キッチン ダイニング 新生活 vintage wood dining〔ヴィンテージウッドダイニング〕ダイニングテーブル単体販売,ダイニングテーブル 西海岸 カフェ風 おしゃれ ヴィンテージ。送料無料 ダイニングテーブル テーブル 食卓 木製 長方形 ミッドセンチュリー カフェ おしゃれ 人気 西海岸 おすすめ ヴィンテージ ブルックリン 食卓 カフェ風 キッチン ダイニング 新生活 vintage wood dining〔ヴィンテージウッドダイニング〕ダイニングテーブル単体販売[rn]
