9-12303,,3880.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●追加用レターケース（TOA4-S1・W1）を使うことで、1段ずつの増設が可能です。<br>●各段の付け外しができますので、段数の増減が可能です。<br>●A4サイズの用紙がぴったり納まるので、書類の整理に最適です。<br>●別売の仕切り（TA4-S40・L40、TA4-S80・L80）を使用して、小物の整理もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1[rn]
9-12304,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790471.jpg?fitin=700:700,2624.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型２段【PA4-SW3】(647) 受注単位1,(647),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●コーナー部のR加工と、全体にシボ加工（ツヤ消し）した皮革風仕上げで美しいフォルムです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型２段【PA4-SW3】(647) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型２段【PA4-SW3】(647) 受注単位1,(647)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型２段【PA4-SW3】(647) 受注単位1[rn]
9-12305,,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４深型用横仕切り板【TA4-S80】(2878135) 受注単位1,(2878135),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４深型用横仕切り板【TA4-S80】(2878135) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４深型用横仕切り板【TA4-S80】(2878135) 受注単位1,(2878135)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４深型用横仕切り板【TA4-S80】(2878135) 受注単位1[rn]
9-12306,,121.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４浅型用横仕切り板【TA4-S40】(2878119) 受注単位1,(2878119),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４浅型用横仕切り板【TA4-S40】(2878119) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４浅型用横仕切り板【TA4-S40】(2878119) 受注単位1,(2878119)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ａ４浅型用横仕切り板【TA4-S40】(2878119) 受注単位1[rn]
9-12307,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790474.jpg?fitin=700:700,3176.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型３段【PA4-SW4】(663) 受注単位1,(663),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●コーナー部のR加工と、全体にシボ加工（ツヤ消し）した皮革風仕上げで美しいフォルムです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型３段【PA4-SW4】(663) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型３段【PA4-SW4】(663) 受注単位1,(663)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型１段、深型３段【PA4-SW4】(663) 受注単位1[rn]
9-12308,,848.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　深型タイプ追加レターケース【TOA4-W1】(2869217) 受注単位1,(2869217),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　深型タイプ追加レターケース【TOA4-W1】(2869217) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　深型タイプ追加レターケース【TOA4-W1】(2869217) 受注単位1,(2869217)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　深型タイプ追加レターケース【TOA4-W1】(2869217) 受注単位1[rn]
9-12309,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790523.jpg?fitin=700:700,14314.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・扉棚付コンビ　深型引出し５個【A4-W205K  (ｶﾀﾌｶ 5ﾀﾞﾝ)】(5046653) 受注単位1,(5046653),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●引出しはクリアで、内部の様子がよく分かります。<br>●書類などの管理だけでなく、小物部品の整理にも最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・扉棚付コンビ　深型引出し５個【A4-W205K  (ｶﾀﾌｶ 5ﾀﾞﾝ)】(5046653) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・扉棚付コンビ　深型引出し５個【A4-W205K  (ｶﾀﾌｶ 5ﾀﾞﾝ)】(5046653) 受注単位1,(5046653)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　Ａ４型・扉棚付コンビ　深型引出し５個【A4-W205K  (ｶﾀﾌｶ 5ﾀﾞﾝ)】(5046653) 受注単位1[rn]
9-12310,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002790461.jpg?fitin=700:700,2348.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型タイプ　３段【PA4-S3 】(728) 受注単位1,(728),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●コーナー部のR加工と、全体にシボ加工（ツヤ消し）した皮革風仕上げで美しいフォルムです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型タイプ　３段【PA4-S3 】(728) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型タイプ　３段【PA4-S3 】(728) 受注単位1,(728)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチックレターケース　Ａ４浅型タイプ　３段【PA4-S3 】(728) 受注単位1[rn]
9-12311,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004511950.jpg?fitin=700:700,4612.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　αレターケース　Ａ４・積み重ねタイプ　横浅型３段【LA4-S3S (ｵｰﾙﾌﾟﾗｽﾁｯｸ)(ｻﾝﾀﾞﾝﾍﾞｰｽﾂｷ)】(5046661) 受注単位1,(5046661),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●前側にも後側にも引き出すことが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　αレターケース　Ａ４・積み重ねタイプ　横浅型３段【LA4-S3S (ｵｰﾙﾌﾟﾗｽﾁｯｸ)(ｻﾝﾀﾞﾝﾍﾞｰｽﾂｷ)】(5046661) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　αレターケース　Ａ４・積み重ねタイプ　横浅型３段【LA4-S3S (ｵｰﾙﾌﾟﾗｽﾁｯｸ)(ｻﾝﾀﾞﾝﾍﾞｰｽﾂｷ)】(5046661) 受注単位1,(5046661)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　αレターケース　Ａ４・積み重ねタイプ　横浅型３段【LA4-S3S (ｵｰﾙﾌﾟﾗｽﾁｯｸ)(ｻﾝﾀﾞﾝﾍﾞｰｽﾂｷ)】(5046661) 受注単位1[rn]
9-12312,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005020213.jpg?fitin=700:700,5672.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スチールレターケース片引Ａ４浅型７段【LC-207N】(4086872) 受注単位1,(4086872),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●オールスチールのレターケース、色は美しいホワイト色です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スチールレターケース片引Ａ４浅型７段【LC-207N】(4086872) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スチールレターケース片引Ａ４浅型７段【LC-207N】(4086872) 受注単位1,(4086872)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スチールレターケース片引Ａ４浅型７段【LC-207N】(4086872) 受注単位1[rn]
9-12313,,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　浅型タイプ追加レターケース【TOA4-S1】(2869209) 受注単位1,(2869209),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　浅型タイプ追加レターケース【TOA4-S1】(2869209) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　浅型タイプ追加レターケース【TOA4-S1】(2869209) 受注単位1,(2869209)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース追加ユニット　浅型タイプ追加レターケース【TOA4-S1】(2869209) 受注単位1[rn]
