36-2601,http://tshop.r10s.jp/plusys7022/cabinet/juraito-daikoku/5883_1.jpg?fitin=700:700,15040.0000,,花・ガーデン・DIY > 住宅建材・設備 > 床材 > その他,敷板 ジュライト 1820×910mm 厚さ10mm 15kg ポリエチレン製 京葉興業 カ施【代引不可】,使いやすいサイズ、選べる厚みの敷板です,"[京葉興業] 敷板 ジュライトジュライト　厚さ10mm(3尺×6尺判)<br /><br />特徴<br />　　●2000トン/m2の重量に耐える丈夫でしっかりした製品です。<br />　　●使いやすいサイズ、厚さ10mmの薄手軽量樹脂敷板。910mm×1,820mm(3尺×6尺判)サイズ。<br />　　●軽く、丈夫で、下地によくなじむ適度な厚みと柔軟性は、 敷板、養生シート等広い用途で活躍します。<br />　　●<b>何回でも使える使い回しの良さで経済的にも大きなメリット。</b><br />　　●バイク、スクーターの駐輪用にも最適です。<br /><br />プラスチック敷板の決定版！<br /><br />　　●ポリエチレン樹脂製敷板。<br />　　●塩ビ、ポリプロピレンとは違います。<br /><br />サイズ<br />　　巾(mm)：910<br />　　長さ(mm)：1,820<br />　　総厚(mm)：10<br />　　重量(kg)：15<br /><br />用途<br />　　●造園・農作業の足場、ゴルフ場・イベント会場での養生敷板として。<br />　　●建築・仮設現場の資材置場や敷板・機材搬入時の床養生に。<link href=""http://www.rakuten.ne.jp/gold/plusys7022/ectool/all_style.css"" rel=""stylesheet"" type=""text/css"">",敷板 ジュライト 1820&times;910mm 厚さ10mm 15kg ポリエチレン製 京葉興業 カ施【代引不可】：農業用品販売のプラスワイズ,農業農作業土農薬花栽培DIY鍬鋤米防虫防雪消毒作物穀物藁わら稲田畑敷板 ジュライト 1820&times;910mm 厚さ10mm 15kg ポリエチレン製 京葉興業 カ施【代引不可】,使いやすいサイズ、選べる厚みの敷板です。敷板 ジュライト 1820&times;910mm 厚さ10mm 15kg ポリエチレン製 京葉興業 カ施【代引不可】[rn]
36-2602,http://tshop.r10s.jp/plusys7022/cabinet/kanda/611311.jpg?fitin=700:700,14400.0000,,花・ガーデン・DIY > 住宅建材・設備 > 床材 > その他,塩ビマット コインマット グレー 920mm × 20m ワニ印 日大工業 養生シート 日本製 難燃性 カSD,ピタッとフィット！滑りにくく、ズレにくい！,"ピタッとフィット！滑りにくく、ズレにくい！塩ビマット　コインマット<br />コイン直径約15mm<br /><br />色　：グレー<br />厚み：1.3mm<br />幅　：920mm<br />長さ：20m<br />材質：ＰＶＣ<br />用途：建築現場の床・玄関・ベランダの床養生<br />　　　体育館や選挙投票所・イベント会場の床養生<br />　　　台所、洗面所などの水回りに<br />　　　駐輪場や工場　等...<br /><br /><br />エンボス加工で滑りにくく高級感があるので、様々な場所に対応します！<br /><br /><br />特徴<br />・厚みがあるのでめくれ上がりにくいです。<br />・緩衝性と柔軟性を兼ね備えています。<br />・火に強く、何回も使えて経済的！<br /><br /><br /><br />プラスワイズ<link href=""http://www.rakuten.ne.jp/gold/plusys7022/ectool/all_style.css"" rel=""stylesheet"" type=""text/css"">",塩ビマット コインマット グレー 920mm &times; 20m ワニ印 日大工業 養生シート 日本製 難燃性 カSD：農業用品販売のプラスワイズ,農業農作業土農薬花栽培DIY鍬鋤米防虫防雪消毒作物穀物藁わら稲田畑塩ビマット コインマット グレー 920mm &times; 20m ワニ印 日大工業 養生シート 日本製 難燃性 カSD,ピタッとフィット！滑りにくく、ズレにくい！。塩ビマット コインマット グレー 920mm &times; 20m ワニ印 日大工業 養生シート 日本製 難燃性 カSD[rn]
36-2603,http://tshop.r10s.jp/plusys7022/cabinet/juraito-daikoku/5883_1.jpg?fitin=700:700,9840.0000,,花・ガーデン・DIY > 住宅建材・設備 > 床材 > その他,[京葉興業] 敷板 ジュライト 厚さ6mm,使いやすいサイズ、選べる厚みの敷板です,"[京葉興業] 敷板 ジュライト　厚さ6mm<b>ジュライト　厚さ6mm (3尺×6尺判)</b><br /><br /><br />　＜特徴＞<br />　　●2000トン/m2の重量に耐える丈夫でしっかりした製品です。<br />　　●使いやすいサイズ、厚さ6mmの薄手軽量樹脂敷板。910mm×1,820mm(3尺×6尺判)サイズ。<br />　　●軽く、丈夫で、下地によくなじむ適度な厚みと柔軟性は、 敷板、養生シート等広い用途で活躍します。<br />　　●<b>何回でも使える使い回しの良さで経済的にも大きなメリット。</b><br />　　●バイク、スクーターの駐輪用にも最適です。<br /><br /><b>プラスチック敷板の決定版！</b><br /><br />　　●ポリエチレン樹脂製敷板。<br />　　●塩ビ、ポリプロピレンとは違います。<br /><br />　＜サイズ＞<br />　　巾(mm)：910<br />　　長さ(mm)：1,820<br />　　総厚(mm)：6<br />　　重量(kg)：9<br /><br />　＜用途＞<br />　　●造園・農作業の足場、ゴルフ場・イベント会場での養生敷板として。<br />　　●バイク、スクーターの駐輪用に。<link href=""http://www.rakuten.ne.jp/gold/plusys7022/ectool/all_style.css"" rel=""stylesheet"" type=""text/css"">",[京葉興業] 敷板 ジュライト 厚さ6mm：農業用品販売のプラスワイズ,農業農作業土農薬花栽培DIY鍬鋤米防虫防雪消毒作物穀物藁わら稲田畑[京葉興業] 敷板 ジュライト 厚さ6mm,使いやすいサイズ、選べる厚みの敷板です。[京葉興業] 敷板 ジュライト 厚さ6mm[rn]
36-2604,http://tshop.r10s.jp/plusys7022/cabinet/rakutenimage/hekisa-1.jpg?fitin=700:700,3696.0000,,花・ガーデン・DIY > 住宅建材・設備 > 床材 > その他,ヘキサマット 六角形の連結敷板,連結型の敷板,"ヘキサマット 六角形の連結敷板ヘキサマットは片手で扱える2.7ｋｇの六角形型のパネルです。<br />工具不要で重ね合わせていくだけ！25トントラックが載ってもわれない丈夫でフラットな作業場が完成します。<br /><br />材質：高密度ポリエチレン　[敷板用樹脂として最高グレード]<br />サイズ：0.28平米 <br />厚さ：48.3ｍｍ　<br />自重：2.7ｋｇ <br />色：ブルーグレー　<br />原産国：アメリカ<br />※1枚での価格、販売です。<br /><br />”ヘキサマット”は、本場アメリカのイベント業界や建設業界のほか、アメリカ軍（本国、イラク、クウェート）、カナダ軍などで活躍しています。日本でも自衛隊様に採用いただいております。<br /><br />片手で扱える2.7?のパネルを重ね合わせていくだけで、25?のトラックが載っても割れない丈夫でフラットな作業場が誕生します。仮設作業場、仮設資材置き場、仮設通路、仮設駐車場、テント倉庫のフロアリング、そして、もちろんイベント会場の準備にも本番にも最適です。<br /><br />なぜ六角形？<br /><br />正六角形を敷き詰めた形が、有名なハニカム（ハチの巣）構造です。隙間を作らずに圧力を分散できるため耐性が高いという特徴を持っています。<link href=""http://www.rakuten.ne.jp/gold/plusys7022/ectool/all_style.css"" rel=""stylesheet"" type=""text/css"">",ヘキサマット 六角形の連結敷板：農業用品販売のプラスワイズ,農業農作業土農薬花栽培DIY鍬鋤米防虫防雪消毒作物穀物藁わら稲田畑ヘキサマット 六角形の連結敷板,連結型の敷板。ヘキサマット 六角形の連結敷板[rn]
36-2605,http://tshop.r10s.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064785613.jpg?fitin=700:700,984.8000,,花・ガーデン・DIY > 住宅建材・設備 > 床材 > その他,【DIY バスナ お風呂の床材】東リ/TOLI/バスナフローレ/衝撃吸収重視型/滑りにくい/浴室/床用/リフォーム/風呂/ユニットバス/トイレ/水廻り/床/タイル/マンション/戸建/リノベーション/お店/ホテル/病院/カッター/断熱（代引不可）,【送料無料】お風呂の床/浴室床材/DIY/バスナ/,"<style>
<!--
h4 {font:bold 16px; padding:2px 0 2px 8px; margin:0px; border:none;}
.bathright p{ font-size:14px; padding:0 16px 4px 16px; margin:0px;}


-->
</style>

<div style=""width:800px; font:12px 'ヒラギノ角ゴ Pro W3', 'Hiragino Kaku Gothic Pro', 'メイリオ', Meiryo, Osaka, 'ＭＳ Ｐゴシック', 'MS PGothic', sans-serif; padding:16px 0 16px 0;"">

<h1>
<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570812.jpg"" alt=""東リ バスナ フローレ BNF"">
</h1>

<h2 style=""border:none;"">東リ バスナ フローレ（浴室床用シート）</h2>

<h2>豊富なカラーバリエーションでお風呂を楽しく</h2>
<h3 style="" font-weight:bold; font-size:20px; border:none;"">柄は3パターンで自在なアレンジに対応</h3>
<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064785616.jpg"">

<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637122.jpg""></h3>

<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637126.jpg""></h3>

<h2>バスナ フローレのリフォームイメージ</h2>
<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637127.jpg""></h3>
<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637128.jpg""></h3>
<hr width=""96%"">
<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637129.jpg""></h3>
<p style=""text-align:center;"">福岡市の個人様宅浴室への弊社施工事例です 老朽化したタイルの上から施工しています </p>
<hr width=""96%"">
<h3><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637130.jpg""></h3>
<p style=""text-align:center;"">こちらも福岡市にあるマンションの弊社施工事例です 割れて外れたタイルを手直ししてから、バスナの施工をしました </p>
<br>
<br>



<h2>日常のお手入れで、長い間きれいなお風呂をキープ</h2>
<h3 style="" font-weight:bold; font-size:20px; border:none;"">お掃除の方法</h3>
<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647935.gif"">
<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647936.gif"">


<h3 style="" font-weight:bold; font-size:20px;　padding:4px 0 4px 0; border:none;"">こんなときは？バスナＱ＆Ａ</h3>
  <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647937.gif"">
  <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647938.gif"">

  <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647939.gif"">

  <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064647940.gif"">


<h2>DIYにチャレンジしてみませんか？</h2>
<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/img61029090.jpg"">

<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/ofuroa/imgrc0063032735.jpg"">

<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/ofuroa/imgrc0063032736.jpg"">

<!--バスナ関連商材リンク-->
<h2>バスナは多種多用なシリーズ展開で浴室をトータルコーディネート</h2>
<div style=""text-align:center;"">
<!--
<p>
  <a href=""https://item.rakuten.co.jp/moyougaehonpo/kz_yk_tl_001/""><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570812.jpg"">
<br />
当店浴室床材の人気ナンバー1！ 個人宅のお風呂向け 【やわらかい あたたかい すべりにくい】浴室シート</a></p><br /><br />
-->
<p>
  <a href=""https://item.rakuten.co.jp/moyougaehonpo/kz_yk_tl_002/""><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570813.jpg"">
  <br />
病院や福祉施設の浴場、脱衣所など、水廻りでキャスター移動が多い場所に最適なバスナ床材です</a></p><br /><br />

<p>
  <a href=""https://item.rakuten.co.jp/moyougaehonpo/bathnareal001""><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570814.jpg"">
<br />
【新発売】バスナの高い機能性におしゃれなデザインを高レベルで融合したハイブリッドモデルです</a></p><br /><br />
<p>

  <a href=""https://item.rakuten.co.jp/moyougaehonpo/bathnawall001/""><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570815.jpg"">
<br />
【新発売】バスナの天井・壁面バージョンが登場 バスナ床材とトータルコーディネートでお風呂を楽しく！</a></p><br /><br />
<p>
  <a href=""https://item.rakuten.co.jp/moyougaehonpo/c/0000000600/""><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570816.jpg"">
  <br />

バスナ専用の副資材は、お手頃な量で個人向けDIYもサポートします 浴室カスタムチャレンジしてみませんか？</a></p><br><br>
</div>
<!--ここまでバスナ関連商材リンク-->

<h2>ご購入をご検討のお客様へ（必ずお読みください）</h2>

<img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064637122.jpg"">
<!-- 注文サイズについて -->
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0067309066.gif""></p>
<h3 style="" font-weight:bold; font-size:22px; border:none;"">お支払いの方法について</h3>
<div style=""width:800px;"" align=""center"">
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/hanyou2015/imgrc0064594520.gif"" width=""760""></p>
<br />
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/hanyou2015/imgrc0064594521.gif"" width=""760"">
</p>
</div>
<br />
<h3 style="" font-weight:bold; font-size:22px; border:none;"">配送方法や時間帯指定などについて</h3>

<div style=""width:800px;"" align=""center"">
 <p>
 <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/hanyou2015/imgrc0064594523.gif"" width=""760"">
</p>
<br />
<p>
  <img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/hanyou2015/imgrc0064594522.gif"" width=""760"">
</p>
</div>

<!-- ▼商品詳細　小アイコン▼ -->
<IMG src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/sheet/paroi/master/img57235681.jpg""><br>
<div style=""text-align:right;"">
<IMG src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/common_img/details_icon/img57258437.jpg"" vspace=""4"" hspace=""5"" title=""メーカー直送""><IMG src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/common_img/details_icon/img57258445.jpg"" vspace=""4"" hspace=""5"" title=""代金引換 不可"">
<IMG src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/common_img/details_icon/img57258594.jpg"" vspace=""4"" hspace=""5"" title=""同梱発送 不可"">
</div>

</div><!--関連商材リンク ここから-->
<style type=""text/css"">
.kanren img{
margin-bottom:1px;}
.kanren h3{ 
font-family:""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif; color:#3; font-size:12px; font-weight:bold; margin-bottom:4px;}
.kanren p{
margin-bottom:2px;}
</style>

<!--浴室関連商材 ここから-->

<div class=""goods-tbl"" style=""padding-bottom:0px;"">
<div class=""kanren"">
<p style=""font-weight:bold; text-align:center;"">～ 浴室問題を解決シリーズ ～</p>
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/banner/imgrc0062653776.jpg"" width=""420""><br />
簡単カットのパネル下地でプロの仕上がり</p>
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/ofuroa/imgrc0062634673.jpg"" width=""420""><br />
サンゲツ お風呂の床材 オフロア 大人気</p>
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/banner/img61025810.jpg"" width=""420""><br />
冷たい 滑って怖い を解決 浴室床材 揃っています</p>
<p class=""goods-next"" style=""margin:0px;""></p>
</div>
</div>
<!--浴室関連商材 ここまで-->


<p class=""goods-next"" style=""margin:0px;""></p>


<!--関連商材リンク ここまで-->
<DIV class=""goods-tbl"">

<h2 class=""goods-title"">
商品説明
</h2>

<h3 class=""goods-left"">品番</h3>
<div class=""goods-right"">発泡複層ビニル床シート<br />
  東リ バスナ フローレ（全6色展開）<BR>
  <br>
　BNF1001 （アイボリー）<br>
　BNF1002 （ピンク）<br>
　BNF1003 （ベージュ）<br>
　BNF1004 （グレー）<br>
　BNF1005 （ブラウン）<br />
　BNF1001 （ダークグレー） <br>

<br>
----------------------------------------<br>
    
<FONT color=""#ff0000"">※お使いのパソコン環境により、商品の色が見本と多少異なる場合があります。</FONT></p>
</div>

<p class=""goods-next""></p>

<H3 class=""goods-left"">商品サイズ</h3>
<P class=""goods-right"">商品巾　1820mm（182cm/1.82m）厚み　約3.5mm<br>
  商品長　<font color=""#ff0000"">1メートル以上10センチ単位での切り売り</font><br>
  
<H3 class=""goods-left"">ご購入前の留意点</h3>
<p><b>ご注文は 「1メートル以上10センチ単位」 となります。</b><br>
    <br> 
    【ご購入例】<br> 
    　・1.0メートルご購入の場合⇒個数10でご注文ください<br>
　・2.5メートルご購入の場合⇒個数25でご購入ください<br>
</p>
<H3 class=""goods-left"">返品・交換について</h3>
<p class=""goods-right"">こちらの商品はお客様都合による返品・交換は承る事ができません</p>
<p class=""goods-right"">
返品・交換の詳細はこちらをご覧ください</p>

<p class=""goods-right"">※商品の表面に白い斑点がございます。こちらは、デザインの一部ですので、予めご了承くださいませ。</p>

<p class=""goods-next""></p>

<h3 class=""goods-left"">技術資料</h3>
<p class=""goods-right"">
商品の性能などに関する資料はこちらをご覧下さい </p>

<p class=""goods-next""></p>

<h3 class=""goods-left"">施工に関しての資料</h3>
<p class=""goods-right"">
施工一般に関する資料はこちらをご覧下さい </p>

<p class=""goods-next""></p>

<h3 class=""goods-left"">用途</h3>
<p class=""goods-right"">
住宅浴室リフォーム、病院、福祉施設の一般浴室、屋内温浴施設の浴室、脱衣室
</p>
<p class=""goods-next""></p>

<h3 class=""goods-left"">特長</h3>
<p class=""goods-right"">
浴室の事故で危険度が高いと言われているのが<br>
転倒による事故とヒートショックです。<br>
バスナフローレは、これまでの浴室床材と一線を画した<br>
やわらかいクッション性を持つことで高い衝撃吸収性を発揮します。<br>
また、断熱性があるため、<br>
冬場の床の冷たさにより発生するヒートショックも軽減します。</p>
</div>



<!--バスナ関連商材 ここから-->

<div class=""goods-tbl"" style=""padding-bottom:0px;"">
<div class=""kanren"">
<p style=""font-weight:bold; text-align:center;"">～ 浴室関連人気No.1 東リ バスナシリーズ～</p>
<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570812.jpg"" width=""420""><br />
幅広い用途でダントツ人気 バスナフローレ</p>

<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570813.jpg"" width=""420""><br />
車椅子やカート利用場所に バスナアルティ</p>

<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570814.jpg"" width=""420""><br />
リアルな質感が新しい バスナリアルデザイン</p>

<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570815.jpg"" width=""420""><br />
浴室のトータルコーディネート バスナウォール ユニット</p>

<p><img src=""https://image.rakuten.co.jp/moyougaehonpo/cabinet/kenzai/yokushitsu/imgrc0064570816.jpg"" width=""420""><br />
DIYで浴室リフォームするヒト、増えています</p>
</div>
<!--バスナ関連商材 ここまで--><style type=""text/css"">
<!--

/*商品名のフォント情報*/
.item_name {
	display:block;
	margin:0 0 8px 0;
	font-family:""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif;
	font:bold 16px;
	color:#333;
	line-height:120%;

}
/*キャッチコピーのフォント情報*/
.catch_copy {
	display:block;
	margin:0 0 8px 0 ;
	font-family:""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif;
	font-size:14px;
	color:#333;
}

/*目玉商品の文字*/
a.lossleader_item_name:link {
	color:#555;
	font-size:13px;
}

span.lossleader_price2{
	color:#FF0000;
	font-size:12px;
}

/*ページ左上のキーワード表示欄*/
div#HeaderKeyword {
	position:absolute;
	top:48px;/*一番上からの位置*/
	left:80px;/*左端からの位置*/
	font:14px ""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif;
	width:420px;
}

div#HeaderKeyword span {
	background: #bf0000;
	color:#fff;
	font-weight:bold;
	padding:2px 5px;
}

div#HeaderKeyword a {
	color:#0044CC;
}


/* 個数入力欄の大きさ */
input#units {
	padding: 4px;
}

/* お買い物かごボタンの大きさ */
td > input {
	font-size: 12px;
	padding:8px 12px 8px 12px;
	width: auto;
}

/* 「商品についての問い合わせ」ボタンの大きさ*/
font input {
	font-size: 12px;
	padding:2px;
	width: 150px;
}


-->
</style>


<div id=""HeaderKeyword"">
<span>注目のキーワード</span>
ガラスフィルム
木目
浴室 床
リアテック

</div>",【DIY バスナ お風呂の床材】東リ/TOLI/バスナフローレ/衝撃吸収重視型/滑りにくい/浴室/床用/リフォーム/風呂/ユニットバス/トイレ/水廻り/床/タイル/マンション/戸建/リノベーション/お店/ホテル/病院/カッター/断熱（代引不可）：模様替えショップ　デコ,カッティングシートフィルムカッティングシール壁紙粘着シート模様替えシート化粧シート壁紙シートダイノックベルビアンリアテックパロアオルティノビューカルネオックスネオタイルネオフロアリフォームシートサンゲツリリカラルノン３Ｍスリーエムアイカリンテックサインシステムセキスイ桜井東リヤヨイ極東部屋大家空室オーナー戸建賃貸物件不動産管理会社ホテルマンションアパート店舗お店浴室風呂ユニットバスバスルームキッチントイレ水廻りコーキング洗面抗菌防カビ汚れ防止防汚ＤＩＹ日曜大工模様替えパネル工法セルフリフォーム施工職人専門自作プロ貼り方激安販売店業販通販卸販売通信販売福岡県福岡市大野城市太宰府市春日市筑紫野市カラー白ホワイト黒ブラックマットブラック赤レッドマット光沢艶消し和紙和柄和風柄木目木目柄木目シートWOOD無地カーボンメタリックミラー鏡面ラメメッキ革漆光沢レザー皮石目大理石デザインカーラッピングラッピングカースコッチプリントラップフィルム1080ヴェラップスダイノックカーボンマットブラック車バイクヘルメットエアロカーラッピングカスタム内装外装ドレスアップインテリアリフォームリノベーション貼替え施工工事修理改装修繕原状回復床工事内装工事室内装飾壁紙クロス畳襖カーペットカーテンブラインド看板サイングラフィックインクジェット屋外屋内マーキングタックペイントパネル浴室パネルコンフォートパネルバスパネル低発砲塩ビ板塩ビ板フォーレックス複合板アルミ複合板アルポリックソレイタガラスフィルム窓フィルムUV紫外線カット飛散防止防虫すりガラス遮熱フィルム透明プライバシーデザイン目隠し日焼け止め窓飾り空室対策西日対策日射遮蔽節電対策窓断熱災害対策台風竜巻キッチン扉カラーボックス玄関扉ドア家具冷蔵庫パソコンデスクカウンター棚机ラックテーブルチェストエレベーター内窓楽窓二重窓断熱断熱二重窓節電節約エコ省エネ効果冷房暖房防犯防音結露道具プライマーパテスキージータイル塗装タイルカーペット伸縮曲面3D湾曲伸びる雑貨【DIY バスナ お風呂の床材】東リ/TOLI/バスナフローレ/衝撃吸収重視型/滑りにくい/浴室/床用/リフォーム/風呂/ユニットバス/トイレ/水廻り/床/タイル/マンション/戸建/リノベーション/お店/ホテル/病院/カッター/断熱（代引不可）,【送料無料】お風呂の床/浴室床材/DIY/バスナ/。【DIY バスナ お風呂の床材】東リ/TOLI/バスナフローレ/衝撃吸収重視型/滑りにくい/浴室/床用/リフォーム/風呂/ユニットバス/トイレ/水廻り/床/タイル/マンション/戸建/リノベーション/お店/ホテル/病院/カッター/断熱（代引不可）[rn]
