36-31441,http://tshop.r10s.jp/spoke-seya/cabinet/bike/felt/16_b16.jpg?fitin=700:700,161740.8000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,【サイズ480のみ】FELT B16 フェルト 2016 タイムトライアル トライアスロン スポーツ自転車 TT/TRIシリーズ【送料無料】【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】【完全組立・調整】,"　<div class=""commodity_info"">
  <p>＊写真の色は実物と若干異なる場合がございます。</p>
  <p>＊こちらの商品にはペダルは含まれておりません。</p>

  <h1><!-- 商品名入力-->FELT B16 フェルト 2016 タイムトライアル トライアスロン 自転車 TT/TRIシリーズ</h1>

  <!--
  <h2>オススメポイント</h2>
  <p>■ 街やダートをアグレッシブに。入門用キッズMTB。<br>
  ■ 力をいれやすいグリップタイプシフター<br>
  ■ 頑丈なダブルウォールリム</p>
  -->

  <h2>スペック</h2>

  <table class=""commodity_spec"">
    <tbody>

<tr>
<th>Color</th>
<td>サテンカーボン</td>
</tr>

<tr>
<th>Size</th>
<td>480(650C)、500(650C)、520、540、560</td>
</tr>

<tr>
<th>Weight</th>
<td>9.3kg</td>
</tr>

<tr>
<th>Frame</th>
<td>UHC Performance カーボン、スレッドBB、internal cable routing</td>
</tr>

<tr>
<th>Fork</th>
<td>UHC Performance カーボン、アルミニウム コラム</td>
</tr>

<tr>
<th>Headset</th>
<td>FSA IS3Y インテグレーテッド、1.125""</td>
</tr>

<tr>
<th>Stem</th>
<td>Felt SuperLite 48cm = 60mm、50cm = 80mm、52cm = 80mm、54 - 56cm = 90mm</td>
</tr>

<tr>
<th>Handlebar</th>
<td>Felt Aero TT/Tri ベースバー、Felt &#402;-ベンド 3-ポジション エクステンション、φ31.8mm 48 - 54cm = 390mm、56cm = 420mm</td>
</tr>

<tr>
<th>Shifters</th>
<td>Microshift TT 11-スピード</td>
</tr>

<tr>
<th>Front Derailleur</th>
<td>Shimano 105 11-スピード 直付式</td>
</tr>

<tr>
<th>Rear Derailleur</th>
<td>Shimano 105 11-スピード</td>
</tr>

<tr>
<th>Crankset</th>
<td>FSA Omega</td>
</tr>

<tr>
<th>Chainwheel</th>
<td>FSA 50/34T</td>
</tr>

<tr>
<th>Bottom Bracket</th>
<td>FSA MegaExo</td>
</tr>

<tr>
<th>Freewheel / Cassette</th>
<td>Shimano 11-スピード、11-28T</td>
</tr>

<tr>
<th>Brake Levers</th>
<td>Aero TT/Tri</td>
</tr>

<tr>
<th>Front Brake</th>
<td>Dual pivot caliper</td>
</tr>

<tr>
<th>Rear Brake</th>
<td>Aero dual pivot caliper</td>
</tr>

<tr>
<th>Saddle</th>
<td>Felt TT/Tri</td>
</tr>

<tr>
<th>Seat Post</th>
<td>Felt B Aero UHC カーボン</td>
</tr>

<tr>
<th>Seat Post Clamp</th>
<td>Felt Aero Integrated B</td>
</tr>

<tr>
<th>Rims / Wheelset</th>
<td>Felt TTR4、22mm 幅、30mm 高</td>
</tr>

<tr>
<th>Front Hub</th>
<td>Felt R3 、24H</td>
</tr>

<tr>
<th>Rear Hub</th>
<td>Felt R3 、28H、11-スピード</td>
</tr>

<tr>
<th>Spokes</th>
<td>2.0mm ステンレス</td>
</tr>

<tr>
<th>Tires</th>
<td>Vittoria Rubino、650 x 23c ( 48 - 50cm )、Vittoria Zaffiro Slick、700 x 23c ( 52 - 56cm )</td>
</tr>

<tr>
<th>Accessories</th>
<td>-</td>
</tr>

    </tbody>
  </table>
  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",【サイズ480のみ】FELT B16 フェルト 2016 タイムトライアル トライアスロン スポーツ自転車 TT/TRIシリーズ【送料無料】【ワイヤーロックプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【サイズ480のみ】FELT B16 フェルト 2016 タイムトライアル トライアスロン スポーツ自転車 TT/TRIシリーズ【送料無料】【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】【完全組立・調整】。【サイズ480のみ】FELT B16 フェルト 2016 タイムトライアル トライアスロン スポーツ自転車 TT/TRIシリーズ【送料無料】【ワイヤーロックプレゼント】【期間限定防犯登録無料】[rn]
36-31442,http://tshop.r10s.jp/spoke-seya/cabinet/bike/dainichi/roadmarkrt700_01.jpg?fitin=700:700,38724.0000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,大日産業 ダイニチ ロードマークRT700【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　,"　<div class=""commodity_info"">
<p>※写真の色は実物と若干異なる場合がございます。</p>

<h1><!-- 商品名入力-->大日産業 ダイニチ ロードマークRT700【700C】dainichi クロスバイク 自転車</h1>

<h2>オススメポイント</h2>
<p>ロードマークのハイエンドモデルが登場!最高級アルミフレームにより驚きの軽さ。全てが別次元の一台</p>

<h2>スペック</h2>
<table class=""commodity_spec"">
  <tbody>
    <tr>
      <th>タイヤサイズ</th>
      <td>700×28C</td>
    </tr>
    <tr>
      <th>適正身長</th>
      <td>155cm～</td>
    </tr>
    <tr>
      <th>素材</th>
      <td>アルミ</td>
    </tr>
    <tr>
      <th>変速</th>
      <td>16段</td>
    </tr>
    <tr>
      <th>カラー</th>
      <td>ブラック・ホワイト</td>
    </tr>
  </tbody>
</table>
<p>※商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",大日産業 ダイニチ ロードマークRT700【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜大日産業 ダイニチ ロードマークRT700【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　。大日産業 ダイニチ ロードマークRT700【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】[rn]
36-31443,http://tshop.r10s.jp/spoke-seya/cabinet/bike/dainichi/bergamocross_01.jpg?fitin=700:700,23172.0000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,大日産業 ダイニチ ベルガモクロス【26インチ】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　,"　<div class=""commodity_info"">
<p>※写真の色は実物と若干異なる場合がございます。</p>

<h1><!-- 商品名入力-->大日産業 ダイニチ ベルガモクロス【26インチ】dainichi クロスバイク 自転車</h1>

<h2>オススメポイント</h2>
<p>スポーティなシルエットが綺麗なホリゾンタルフレーム、ファッショナブルなアルマイトカラーリムを装着</p>

<h2>スペック</h2>
<table class=""commodity_spec"">
  <tbody>
    <tr>
      <th>タイヤサイズ</th>
      <td>26×1-3/8</td>
    </tr>
    <tr>
      <th>適正身長</th>
      <td>155cm～</td>
    </tr>
    <tr>
      <th>素材</th>
      <td>スチール</td>
    </tr>
    <tr>
      <th>変速</th>
      <td>7段</td>
    </tr>
    <tr>
      <th>カラー</th>
      <td>ホワイト・ブラック・レッド</td>
    </tr>
  </tbody>
</table>
<p>※商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",大日産業 ダイニチ ベルガモクロス【26インチ】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜大日産業 ダイニチ ベルガモクロス【26インチ】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　。大日産業 ダイニチ ベルガモクロス【26インチ】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】[rn]
36-31444,http://tshop.r10s.jp/spoke-seya/cabinet/bike/dainichi/maxtexcross_01.jpg?fitin=700:700,27060.0000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,大日産業 ダイニチ マックステックスクロス【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　,"　<div class=""commodity_info"">
<p>※写真の色は実物と若干異なる場合がございます。</p>

<h1><!-- 商品名入力-->大日産業 ダイニチ マックステックスクロス【700C】dainichi クロスバイク 自転車</h1>

<h2>オススメポイント</h2>
<p>軽量アルミフレームを使用したクロスバイク!スポーティな40mmディープリムを採用</p>

<h2>スペック</h2>
<table class=""commodity_spec"">
  <tbody>
    <tr>
      <th>タイヤサイズ</th>
      <td>700×28C</td>
    </tr>
    <tr>
      <th>適正身長</th>
      <td>165cm～</td>
    </tr>
    <tr>
      <th>素材</th>
      <td>アルミ</td>
    </tr>
    <tr>
      <th>変速</th>
      <td>21段</td>
    </tr>
    <tr>
      <th>カラー</th>
      <td>ホワイト・マットブラック・レッド・シルバー</td>
    </tr>
  </tbody>
</table>
<p>※商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",大日産業 ダイニチ マックステックスクロス【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜大日産業 ダイニチ マックステックスクロス【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　。大日産業 ダイニチ マックステックスクロス【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】[rn]
36-31445,http://tshop.r10s.jp/spoke-seya/cabinet/bike/dainichi/bluepoint_st_01.jpg?fitin=700:700,37168.8000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,大日産業 ダイニチ ブルーポイントストリート【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　,"　<div class=""commodity_info"">
<p>※写真の色は実物と若干異なる場合がございます。</p>

<h1><!-- 商品名入力-->大日産業 ダイニチ ブルーポイントストリート【700C】dainichi クロスバイク 自転車</h1>

<h2>オススメポイント</h2>
<p>圧倒的存在感!60mmディープリム、ストリートライダー向けクロス。エントリーユーザーも安心の7段スピード</p>

<h2>スペック</h2>
<table class=""commodity_spec"">
  <tbody>
    <tr>
      <th>タイヤサイズ</th>
      <td>700×28C</td>
    </tr>
    <tr>
      <th>適正身長</th>
      <td>165cm～</td>
    </tr>
    <tr>
      <th>素材</th>
      <td>アルミ</td>
    </tr>
    <tr>
      <th>変速</th>
      <td>7段</td>
    </tr>
    <tr>
      <th>カラー</th>
      <td>ガンメタ・ブラック・レッド</td>
    </tr>
  </tbody>
</table>
<p>※商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",大日産業 ダイニチ ブルーポイントストリート【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜大日産業 ダイニチ ブルーポイントストリート【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】,【ポイント10倍】　。大日産業 ダイニチ ブルーポイントストリート【700C】dainichi クロスバイク スポーツ自転車【ワイヤーロックプレゼント】【期間限定防犯登録無料】[rn]
36-31446,http://tshop.r10s.jp/spoke-seya/cabinet/bike/culture/s260_01_mix.jpg?fitin=700:700,29629.6000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,【店舗在庫処分】CULTURE カルチャー S260FAT　マウンテンバイク MTB 自転車 【タイヤ選択オプション】,【ポイント10倍】　,"　<div class=""commodity_info""> 
 <p>＊写真の色は実物と若干異なる場合がございます。</p>
  <h1><!-- 商品名入力-->【店舗在庫】CULTURE カルチャー S260 FAT　</h1>

  <h2>流行のカラーを使い、街乗り仕様に特化したファッションバイク</h2>
  <ul>
    <li>衝撃吸収性の高いダブルバテッドクロモリフレーム</li>
    <li>オシャレで安定感のある26ｘ2.30ホワイトタイヤ(ブラック[26x1.75]をオプションで選択可能)</li>
    <li>コンポーネントは信頼性・耐久性の高いSHIMANO製</li>
  </ul>

  <h2>スペック</h2>

  <table class=""commodity_spec"">
    <tbody>

      <tr>
        <th>商品名 </th>
        <td><!-- 商品名入力-->CULTURE カルチャー S260 FAT  </td>
      </tr>

      <tr>
        <th>カラー</th>
        <td>グロスピンク・グロスグリーン・マットブラック</td>
      </tr>

      <tr>
        <th>サイズ</th>
        <td>15""(380)・17""(430)・19""(480)</td>
      </tr>

      <tr>
        <th>フレーム</th>
        <td>ダブルバテッドクロモリフレーム</td>
      </tr>

      <tr>
        <th>フォーク</th>
        <td>Hi-Ten クロモリフォーク</td>
      </tr>

      <tr>
        <th>Rディレイラー</th>
        <td>SHIMANO ALTUS RD-M280</td>
      </tr>

      <tr>
        <th>ギア数</th>
        <td>3ｘ8s</td>
      </tr>

      <tr>
        <th>クランク</th>
        <td>SHIMANO M131 24/32/42T</td>
      </tr>

      <tr>
        <th>シフター</th>
        <td>SHIMANO EF-40</td>
      </tr>

      <tr>
        <th>ブレーキ</th>
        <td>-</td>
      </tr>

      <tr>
        <th>タイヤ</th>
        <td>26ｘ2.30 ホワイトタイヤ</td>
      </tr>

      <tr>
        <th>ペダル</th>
        <td>-</td>
      </tr>

      <tr>
        <th>重量</th>
        <td>13.0kg</td>
      </tr>

    </tbody>
  </table>

  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",【店舗在庫処分】CULTURE カルチャー S260FAT　マウンテンバイク MTB 自転車 【タイヤ選択オプション】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【店舗在庫処分】CULTURE カルチャー S260FAT　マウンテンバイク MTB 自転車 【タイヤ選択オプション】,【ポイント10倍】　。【店舗在庫処分】CULTURE カルチャー S260FAT　マウンテンバイク MTB 自転車 【タイヤ選択オプション】[rn]
36-31447,http://tshop.r10s.jp/spoke-seya/cabinet/bike/culture/f700_01.jpg?fitin=700:700,39999.2000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,【店舗在庫処分】CULTURE カルチャー F700　クロスバイク　自転車,【ポイント10倍】　,"　<div class=""commodity_info""> 
 <p>＊写真の色は実物と若干異なる場合がございます。</p>
  <h1><!-- 商品名入力-->【店舗在庫】CULTURE カルチャー F700　</h1>

  <h2>キレイなカラーで全4色！チェーン・リムにブラックパーツを採用。バーエンドバーも付いてカジュアルの中にもスポーティーな雰囲気を盛り上げます。 乗っては強化したアルミをハイドロフォームした、軽量かつ高剛性なフレームでよく進む、本格的な一面も持っております。 遠出は勿論、いつもの道に+楽しみを！</h2>
  <ul>
    <li>トリプルバテッドアルミフレーム採用</li>
    <li>スピード感のある700x32cタイヤ</li>
    <li>コンポーネントは信頼性・耐久性の高いSHIMANO製</li>
  </ul>

  <h2>スペック</h2>

  <table class=""commodity_spec"">
    <tbody>

      <tr>
        <th>商品名 </th>
        <td><!-- 商品名入力-->CULTURE カルチャー F700  </td>
      </tr>

      <tr>
        <th>カラー</th>
        <td>ブラック・ホワイト・オレンジ・マットレッド</td>
      </tr>

      <tr>
        <th>サイズ</th>
        <td>15""(380)・17""(430)・19""(480)</td>
      </tr>

      <tr>
        <th>フレーム</th>
        <td>6061 Aluminum, Full Triple Butted Hydro Edge Road Tubes with E4 Anti-Flex Seat and Chain Stays</td>
      </tr>

      <tr>
        <th>フォーク</th>
        <td>steel stear tube,alloy bladed 1 1/8”</td>
      </tr>

      <tr>
        <th>Rディレイラー</th>
        <td>Shimano ACERA 8s(ARDM360SGSL)</td>
      </tr>

      <tr>
        <th>ギア数</th>
        <td>3ｘ8s</td>
      </tr>

      <tr>
        <th>クランク</th>
        <td>SHIMANO FC-M171-A 48x38x28T with chain guide</td>
      </tr>

      <tr>
        <th>シフター</th>
        <td>Shimano EP51 EZ-FIRE Plus 8-Speed</td>
      </tr>

      <tr>
        <th>ブレーキ</th>
        <td>SHIMANO BR-T4000</td>
      </tr>

      <tr>
        <th>タイヤ</th>
        <td>26ｘ2.30 ホワイトタイヤ</td>
      </tr>

      <tr>
        <th>ペダル</th>
        <td>-</td>
      </tr>

      <tr>
        <th>重量</th>
        <td>11.9kg(ペダルなし)</td>
      </tr>

    </tbody>
  </table>

  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",【店舗在庫処分】CULTURE カルチャー F700　クロスバイク　自転車：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【店舗在庫処分】CULTURE カルチャー F700　クロスバイク　自転車,【ポイント10倍】　。【店舗在庫処分】CULTURE カルチャー F700　クロスバイク　自転車[rn]
36-31448,http://tshop.r10s.jp/spoke-seya/cabinet/bike/felt/17_verza_sp_01.jpg?fitin=700:700,43389.6000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,【即納可能】フェルト ベルザ スピード50 2017 FELT Verza Speed50 スピードクロスバイク スポーツ自転車【キックスタンドプレゼント】【期間限定防犯登録無料】,【ポイント10倍】【完全組立・調整】,"<div class=""commodity_info"">
  <p>＊写真の色は実物と若干異なる場合がございます。</p>

  <h1><!-- 商品名入力-->フェルト ベルザ スピード50 2017 FELT Verza Speed50 スピードクロスバイク</h1>

  <h2>快適性と走行性能を高次元で両立したスピードクロス</h2>

  <p>ロードバイクで培ったフレーム技術を惜しみなく投入。<br>クロスバイクのカテゴリーを超える反応性としなやかな乗り心地を実現しました。</p>

  <h2>仕様</h2>
  
    <ul>
      <li>「ハイドロフォーミングフレーム」ロードバイクで培ったフレーム技術を惜しみなく投入し、スピードと快適性を両立</li>
      <li>「GEL内蔵サドル」走行中に振動を受け続けるライダーを常に快適に包み込む</li>
      <li>「VRシートステー」ゆるやかな弧を描くフレームのバックにより、振動を吸収し上質なライディングを実現</li>
    </ul>

  <h2>スペック</h2>

  <table class=""commodity_spec"">
    <tr>
      <th>サイズ(適正身長)</th>
      <td>450:155-165cm<br>480:160-170cm<br>510:165-175cm<br>540:170-185cm</td>
    </tr>

    <tr>
      <th>カラー</th>
      <td>マットネイビー、ピューター、ブラック、マットピスタチオ、ホワイト</td>
    </tr>

    <tr>
      <th>重量</th>
      <td>12.2kg</td>
    </tr>

    <tr>
      <th>フレーム</th>
      <td>6061アルミニウム</td>
    </tr>

    <tr>
      <th>フォーク</th>
      <td>スチール</td>
    </tr>

    <tr>
      <th>ステム</th>
      <td>Felt アルミニウム</td>
    </tr>
    
    <tr>
      <th>ハンドルバー</th>
      <td>Felt フラットバーロード、アルミニウム、&Phi;31.8mm</td>
    </tr>
    
    <tr>
      <th>フロントディレイラー</th>
      <td>Shimano Tourney バンド式、&Phi;31.8mm</td>
    </tr>
    
    <tr>
      <th>リアディレイラー</th>
      <td>Shimano Altus</td>
    </tr>
    
    <tr>
      <th>クランクセット</th>
      <td>SR SUNTOUR XCC、48cm：160mm、51-54cm：170mm</td>
    </tr>
    
    <tr>
      <th>チェーンホイール</th>
      <td>SR SUNTOUR 48/38/28T</td>
    </tr>
    
    <tr>
      <th>ボトムブラケット</th>
      <td>スクエアテーパー、68×122.5mm</td>
    </tr>
    
    <tr>
      <th>フリーホイール/カセット</th>
      <td>Sunrace 7スピード ボスフリー、14-34T</td>
    </tr>
    
    <tr>
      <th>ブレーキレバー</th>
      <td>Shimano Altus EZ Fire Plus、インテグレーテッドブレーキレバー</td>
    </tr>
    
    <tr>
      <th>フロントブレーキ</th>
      <td>Tektro RX1.0</td>
    </tr>
    
    <tr>
      <th>リアブレーキ</th>
      <td>Tektro RX1.0</td>
    </tr>
    
    <tr>
      <th>サドル</th>
      <td>Selle Royal Freccia、Royal Gel</td>
    </tr>
    
    <tr>
      <th>シートポスト</th>
      <td>Felt SuperLite Road、&Phi;27.2mm</td>
    </tr>
    
    <tr>
      <th>シートポストクランプ</th>
      <td>Felt シングルボルト、&Phi;31.8mm</td>
    </tr>
    
    <tr>
      <th>リム/ホイールセット</th>
      <td>Felt Road ダブルウォール、23.4mmワイド、20.3mmディープ</td>
    </tr>
    
    <tr>
      <th>フロントハブ</th>
      <td>Felt、28H</td>
    </tr>
    
    <tr>
      <th>リアハブ</th>
      <td>Felt、28H、7スピード</td>
    </tr>
    
    <tr>
      <th>スポーク</th>
      <td>2.0mm ステンレス</td>
    </tr>
    
    <tr>
      <th>タイヤ</th>
      <td>Kenda Kwick Roller Sport、700×32c</td>
    </tr>
    
    <tr>
      <th>アクセサリー</th>
      <td>Fittness フラットペダル</td>
    </tr>

  </table>

    <p><strong>FELT【To design, develop, and deliver the best bicycles in the world.】</strong><br>
    
      1980年、モトクロスのメカニックだったジム・フェルトが当時のスーパースター、<br>ジョニー・オメーラのトレーニングの為にトライアスロンバイクを設計したのでFELTの始まるです<br>制作にあたり、空気抵抗の削減とライディングスタイルの最適化を重視したジムは、<br>幾たびも風洞実験を重ねてバイクのデザインを練り上げました。<br>開発されたバイクは驚異的な性能を誇り、ジョニーは優勝。<br>やがて彼の名声はチューブメーカーであるEASTON者に伝わり、EASTONブランドのチューブ開発を依頼されるようになりました。<br>カーボン、アルミ、チタンといった素材を独自の理論でブレンドしたチューブは、<br>GT、トレック、スペシャライズドなど名だたるブランドに採用されたのです。<br>最初のトライアスロンバイクを作ってから10年後に、事務は自転車業界に広く顔の利くビル・ドーリングと、<br>欧州市場のディストリビュータとして活躍していたマイケル・ミュルマンと、ドイツでFELT社を設立し共同経営に乗り出しました。<br><font color=""0000FF"">「To design, develop, and deliver the best bicycles in the world.」</font><br>という言葉は、会社を大きくすることでなどではなく、<br>実直に、より良い製品づくりを目指す三人の共通した思いを表しています。<br>独自の理論によりアスリートの能力を極限まで引き出すフレームを開発し、<br>ツール・ド・フランス、世界選手権、五輪、アイアンマンで数多くの勝利を獲得したFELTは、<br>世界で最も尊敬されるレーシングブランドの1つになりました。<br>近年ｎはカーボン生成方法を改良し、数年前までトップグレードモデルにしか採用されていなかったカーボンを<br>惜しみなくエントリーモデルに採用することで、バイクの性能を飛躍的に向上させました。<br>加えてエアロダイナミクスの考えをロードレースに持ち込み、更なる進化を続けています。<br>FELTの限界への挑戦は決して終わることがありません。</p>

  <p><strong><font color=""FF0000""><br>※商品仕様(パーツなど)は予告なく変更される場合がございます。<br>また、当店では注文を確認した後にメーカーに在庫を確認する形を取らせて頂きますのでご希望の品をご用意する事が出来ない場合がございます。<br>※配送後に関しまして、傷や破損などの商品自体に不備がございます場合以外はサイズ変更などは受け付けておりませんので、よくご確認してからのご購入をお願いいたします。</font></strong></p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",【即納可能】フェルト ベルザ スピード50 2017 FELT Verza Speed50 スピードクロスバイク スポーツ自転車【キックスタンドプレゼント】【期間限定防犯登録無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【即納可能】フェルト ベルザ スピード50 2017 FELT Verza Speed50 スピードクロスバイク スポーツ自転車【キックスタンドプレゼント】【期間限定防犯登録無料】,【ポイント10倍】【完全組立・調整】。【即納可能】フェルト ベルザ スピード50 2017 FELT Verza Speed50 スピードクロスバイク スポーツ自転車【キックスタンドプレゼント】【期間限定防犯登録無料】[rn]
36-31449,http://tshop.r10s.jp/spoke-seya/cabinet/wakeari/aytr435_wk-01.jpg?fitin=700:700,36000.0000,,スポーツ・アウトドア > 自転車・サイクリング > クロスバイク,【訳あり処分】MIYATA ミヤタ TRYCROSS R トライクロスR シルバーシャイン サイズ:43cm 2015 クロスバイク 自転車,【ポイント10倍】【完全組立・調整】,"<p>＊写真の色は実物と若干異なる場合がございます。</p>
  <p>＊こちらのモデルにはペダルは付属しておりません。</p>
  <p>訳あり処分品のため、外装の傷などの理由による返品・交換にはご対応できません。<br>
    予めご了承くださいませ。<br>
  <br>
    ご不明な点などございましたらお気軽にご相談くださいませ。</p>


  <h1>MIYATA ミヤタ TRYCROSS R トライクロスR</h1>

  <h3>訳あり理由</h3>

  <p>パーツ初期不良(交換済み)</p>

  <h2>オススメポイント</h2>
  <p>SSTBクロモリチューブを採用した、クラシカルで細身のクロモリフレームならではの優雅な乗り心地が手軽に楽しめるクロスバイク。</p>
  <p>■SSTB（スパイラル・スプライン・ トリプル・バデッド）<br>
     クロモリチュー ブ＆カンチブレーキを採用したクラシカルな外観。高級感ある色合 いと相まって、大人のクロスバイ クといった趣。</p>

  <h2>スペック</h2>

<img src=""http://image.rakuten.co.jp/spoke-seya/cabinet/wakeari/spec_trycross_r.gif"">

  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
  <p>＊こちらのモデルにはペダルは付属しておりません。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",【訳あり処分】MIYATA ミヤタ TRYCROSS R トライクロスR シルバーシャイン サイズ:43cm 2015 クロスバイク 自転車：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【訳あり処分】MIYATA ミヤタ TRYCROSS R トライクロスR シルバーシャイン サイズ:43cm 2015 クロスバイク 自転車,【ポイント10倍】【完全組立・調整】。【訳あり処分】MIYATA ミヤタ TRYCROSS R トライクロスR シルバーシャイン サイズ:43cm 2015 クロスバイク 自転車[rn]
