13-21401,http://tshop.r10s.jp/akibamac/cabinet/04946799/4562463290061.jpg?fitin=700:700,100640.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-W ホワイト (NX141W),,■X Shotで最高の一杯を<br>　エスプレッソコーヒーのエスプレッソマシンだけでなく、緑茶・ほうじ茶などのお茶のエスプレッソマシン、ドリップコーヒーのドリップマシンなど、様々なシーンに活用できるエスプレッソマシンです。それぞれの抽出に適応した特殊なフィルターとプログラムが搭載されており、こだわり抜いた機能があなたを満足させる味を実現します。<br><br>■こだわりの3WAY抽出（＋スチーム）<br>　エスプレッソコーヒー・ドリップコーヒー・お茶のエスプレッソのそれぞれに適応した3種類（＋スチーム）のこだわり抽出プログラムが搭載されています。<br>　・エスプレッソコーヒー用プログラム： Espresso C<br>　・お茶エスプレッソ用プログラム： Espresso T<br>　・ドリップコーヒー用プログラム： Drip123<br><br>■更に極める<br>　もっとこだわりたいユーザー様にお勧めするのが［プログラム変更機能］です。操作は簡単、SETUPボタンひとつで簡単に条件を変えることができます。<br>　※ただし変更範囲に上限下限があります。<br>　この機能で抽出条件を変えることで味の調整をすることができます。<br><br>■お茶のエスプレッソ<br>　お茶のエスプレッソは細かくした茶葉に9気圧の圧力を加え、濃縮されたお茶を抽出するという新しいお茶の淹れ方です。急須やティーポットでは味わうことのできない濃厚なお茶を淹れることができます。<br><br>【仕様】<br>■型式/色： NX141-W / ホワイト<br>■本体サイズ（幅×奥行き×高さ）： 230×300×380mm<br>■本体重量： 9kg<br>■消費電力： 1100W<br>■給水タンク： 2L<br>■湯ボイラー（量）： 500cc<br>■湯ボイラー（電力）： 1100W<br>■スチーム発生器： 700W<br>■ポンプ： 15bar バイブレーションポンプ,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-W ホワイト (NX141W)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-W ホワイト (NX141W),【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-W ホワイト (NX141W)[rn]
13-21402,http://tshop.r10s.jp/akibamac/cabinet/04946799/4562463290047.jpg?fitin=700:700,100640.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-R レッド (NX141R),,■X Shotで最高の一杯を<br>　エスプレッソコーヒーのエスプレッソマシンだけでなく、緑茶・ほうじ茶などのお茶のエスプレッソマシン、ドリップコーヒーのドリップマシンなど、様々なシーンに活用できるエスプレッソマシンです。それぞれの抽出に適応した特殊なフィルターとプログラムが搭載されており、こだわり抜いた機能があなたを満足させる味を実現します。<br><br>■こだわりの3WAY抽出（＋スチーム）<br>　エスプレッソコーヒー・ドリップコーヒー・お茶のエスプレッソのそれぞれに適応した3種類（＋スチーム）のこだわり抽出プログラムが搭載されています。<br>　・エスプレッソコーヒー用プログラム： Espresso C<br>　・お茶エスプレッソ用プログラム： Espresso T<br>　・ドリップコーヒー用プログラム： Drip123<br><br>■更に極める<br>　もっとこだわりたいユーザー様にお勧めするのが［プログラム変更機能］です。操作は簡単、SETUPボタンひとつで簡単に条件を変えることができます。<br>　※ただし変更範囲に上限下限があります。<br>　この機能で抽出条件を変えることで味の調整をすることができます。<br><br>■お茶のエスプレッソ<br>　お茶のエスプレッソは細かくした茶葉に9気圧の圧力を加え、濃縮されたお茶を抽出するという新しいお茶の淹れ方です。急須やティーポットでは味わうことのできない濃厚なお茶を淹れることができます。<br><br>【仕様】<br>■型式/色： NX141-R / レッド<br>■本体サイズ（幅×奥行き×高さ）： 230×300×380mm<br>■本体重量： 9kg<br>■消費電力： 1100W<br>■給水タンク： 2L<br>■湯ボイラー（量）： 500cc<br>■湯ボイラー（電力）： 1100W<br>■スチーム発生器： 700W<br>■ポンプ： 15bar バイブレーションポンプ,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-R レッド (NX141R)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-R レッド (NX141R),【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-R レッド (NX141R)[rn]
13-21403,http://tshop.r10s.jp/akibamac/cabinet/05275152/4988371023872.jpg?fitin=700:700,67040.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】デロンギコンパクト全自動エスプレッソマシン 「マグニフィカS」 ECAM23120WN ホワイト,,日本限定、カフェ・ジャポーネ機能を搭載したエントリーモデル。ご自宅で手軽にカフェでの一杯をお楽しみいただける全自動エスプレッソマシン。<br><br>■カフェ・ジャポーネ機能搭載<br>　・エスプレッソのうまみとドリップのすっきりした後味を融合したカフェ・ジャポーネ機能搭載。<br>　・豆をハンドドリップのように蒸らしながら抽出。<br>　・芳醇な香りとうまみを凝縮した一杯をお楽しみいただけます。<br><br>■カフェ顔負けのメニューバリエーション<br>　・エスプレッソは勿論、カフェラテからカプチーノ、氷とつめたい牛乳を使えばアイスメニューまで。<br>　・本格エスプレッソをベースとした、カフェ顔負けのメニューバリエーションをご自宅でお楽しみいただけます。<br><br>■濃さや量を自由自在にカスタマイズ お手軽にお好みの一杯を<br>　・抽出量の設定から濃さの設定までお好みのコーヒーをカスタマイズ。<br>　・プログラム設定でコーヒーの温度調整をすることもできます。<br><br>■エスプレッソ抽出に最適な低速回転グラインダー採用<br>　・低速回転グラインダーは摩擦熱が発生しにくく、エスプレッソの命であるアロマを守ることができます。<br>　・均一な粒度に挽くことができるので安定した味を得ることができます。<br><br>■フロス調整つまみ付きフロッサーでより上質なミルクメニューを簡単にお楽しみいただけます<br>　・おいしいミルクメニューにはきめ細かいミルクがポイント。<br>　・フロス調整つまみつきフロッサーでどなたでも簡単に上質なミルクの泡立てが可能になりました。<br><br>■簡単操作・簡単クリーニング<br>　・操作は簡単。コントロールノブを「回す」、「押す」だけ。<br>　・どなたでも簡単に操作いただけます。<br>　・投入口の大きいホッパーや、フロントスライド式の水タンクは頻繁にお使いいただいても楽々。<br>　・ご使用後のお手入れも簡単スライド式フロントオペレーションでストレスフリーです。<br><br>【製品仕様】<br>■本体サイズ 幅×高さ×奥行き： 約238×350×430mm<br>■本体重量： 9kg<br>■コード長： 2.0m<br>■消費電力： 1450W<br>■給水タンク容量： 1.8L<br>■付属品： 計量スプーン、クリーニングブラシ、水硬度チェッカー、除石灰剤、簡易マニュアル<br>,【送料無料】デロンギコンパクト全自動エスプレッソマシン 「マグニフィカS」 ECAM23120WN ホワイト：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】デロンギコンパクト全自動エスプレッソマシン 「マグニフィカS」 ECAM23120WN ホワイト,【送料無料】デロンギコンパクト全自動エスプレッソマシン 「マグニフィカS」 ECAM23120WN ホワイト[rn]
13-21404,http://tshop.r10s.jp/akibamac/cabinet/05275152/4988371023100.jpg?fitin=700:700,96000.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】デロンギ全自動エスプレッソマシン 「マグニフィカS スペリオレ」 ECAM23420SBN シルバーブラック,,日本限定、カフェ・ジャポーネ機能搭載。<br>エスプレッソはもちろん、旨味極めたレギュラーコーヒーがお手軽に。<br><br>■特別なレギュラーコーヒーを「カフェ・ジャポーネ」<br>　・エスプレッソのうまみとドリップのすっきりした後味を融合した「カフェ・ジャポーネ」機能搭載。<br>　・豆をハンドドリップのように蒸らしながら抽出。<br>　・芳醇な香りとうまみを凝縮した一杯をお楽しみいただけます。<br><br>■ミルクフロッサーでふわふわミルクも簡単にカプチーノもカフェラテもお手のもの<br>　・ミルクフロッサーを使ってスチームでミルクを泡立てれば、カフェで飲むようなふわふわミルクも簡単。<br>　・さらに、フロス調整つまみを上下するだけで、カプチーノにもカフェラテにも最適なミルクを作れます。<br><br>■簡単文字ガイダンスで操作がわかりやすく<br>　・液晶に表示される文字ガイダンスに従えば、誰でも飲みたいコーヒーをカンタンに選べます。<br><br>■いつでも豆を挽きたて香りを逃がさず豆を挽く<br>　・エスプレッソの豆を挽くのに最適なコーン式グラインダーを採用。<br>　・低速回転で豆を挽くため、摩擦熱が発生しにくく、エスプレッソの命であるアロマを逃しません。<br>　・また、粒度を均一にできる点も魅力です。<br><br>■挽いた豆を最適な圧でタンピング抽出ユニット<br>　・挽いた豆をフィルターケースに詰め、均一な圧で押し固めることができる抽出ユニットを採用。<br>　・このバリスタ並みの絶妙なタンピングが、エスプレッソを美味しくします。<br><br>■2杯同時に淹れられる便利な抽出口<br>　・2杯同時に抽出可能で、カップの大きさに合わせて高さを調節できます（8.6～14.2cm）。<br>　・デミタスカップからマグカップまでOK。<br><br>■前面オペレーションで簡単に取り外せる給水タンク<br>　・マシンの前面からスライドできる給水タンク。<br>　・水の補充やお掃除が簡単に行えます。<br><br>■お手入れ簡単！抽出後のかすもラクラクお掃除<br>　・かす受けを手前から引き出して、たまったコーヒーかすを簡単に捨てられます。<br><br>【製品仕様】<br>■外形寸法： 幅238×奥行430×高さ350mm<br>■本体質量： 9.0kg<br>■電源コードの長さ： 2.0m<br>■電圧/周波数： AC100V 50/60Hz<br>■消費電力： 1450W<br>■ポンプ圧： 15気圧（抽出時9気圧）<br>■ボイラー： シングル<br>■着脱式給水タンク容量： 1.8L<br>■豆ホッパー容量： 250g<br>■グラインダー： 7段階・低速回転コーン式<br>■コーヒー粉使用： 16gまで<br>■コーヒー濃度設定： 5段階<br>■抽出量調節： 4種デフォルト 1種設定可能<br>　（エスプレッソ 1杯 20～180cc、2杯 40～360cc、カフェ・ジャポーネ20cc～250cc）<br>■カス受け容量： 1杯抽出 約14回分、2杯抽出 約7回分<br>■コーヒー抽出口高さ： 8.6～14.2cm<br>,【送料無料】デロンギ全自動エスプレッソマシン 「マグニフィカS スペリオレ」 ECAM23420SBN シルバーブラック：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】デロンギ全自動エスプレッソマシン 「マグニフィカS スペリオレ」 ECAM23420SBN シルバーブラック,【送料無料】デロンギ全自動エスプレッソマシン 「マグニフィカS スペリオレ」 ECAM23420SBN シルバーブラック[rn]
13-21405,http://tshop.r10s.jp/akibamac/cabinet/04946799/4562463290078.jpg?fitin=700:700,100640.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-B ブラック (NX141B),,■X Shotで最高の一杯を<br>　エスプレッソコーヒーのエスプレッソマシンだけでなく、緑茶・ほうじ茶などのお茶のエスプレッソマシン、ドリップコーヒーのドリップマシンなど、様々なシーンに活用できるエスプレッソマシンです。それぞれの抽出に適応した特殊なフィルターとプログラムが搭載されており、こだわり抜いた機能があなたを満足させる味を実現します。<br><br>■こだわりの3WAY抽出（＋スチーム）<br>　エスプレッソコーヒー・ドリップコーヒー・お茶のエスプレッソのそれぞれに適応した3種類（＋スチーム）のこだわり抽出プログラムが搭載されています。<br>　・エスプレッソコーヒー用プログラム： Espresso C<br>　・お茶エスプレッソ用プログラム： Espresso T<br>　・ドリップコーヒー用プログラム： Drip123<br><br>■更に極める<br>　もっとこだわりたいユーザー様にお勧めするのが［プログラム変更機能］です。操作は簡単、SETUPボタンひとつで簡単に条件を変えることができます。<br>　※ただし変更範囲に上限下限があります。<br>　この機能で抽出条件を変えることで味の調整をすることができます。<br><br>■お茶のエスプレッソ<br>　お茶のエスプレッソは細かくした茶葉に9気圧の圧力を加え、濃縮されたお茶を抽出するという新しいお茶の淹れ方です。急須やティーポットでは味わうことのできない濃厚なお茶を淹れることができます。<br><br>【仕様】<br>■型式/色： NX141-B / ブラック<br>■本体サイズ（幅×奥行き×高さ）： 230×300×380mm<br>■本体重量： 9kg<br>■消費電力： 1100W<br>■給水タンク： 2L<br>■湯ボイラー（量）： 500cc<br>■湯ボイラー（電力）： 1100W<br>■スチーム発生器： 700W<br>■ポンプ： 15bar バイブレーションポンプ,【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-B ブラック (NX141B)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-B ブラック (NX141B),【送料無料】西山工業多機能エスプレッソ＆ドリップマシン 「X Shot」 NX141-B ブラック (NX141B)[rn]
13-21406,http://tshop.r10s.jp/akibamac/cabinet/05438457/4934122080823.jpg?fitin=700:700,6384.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】ラドンナエスプレッソマシン 「Toffy」（4杯分） K-CM3-PA PALE AQUA (KCM3),,ラテ、カプチーノが手軽に作れるスチーム式エスプレッソマシン。,【送料無料】ラドンナエスプレッソマシン 「Toffy」（4杯分） K-CM3-PA PALE AQUA (KCM3)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ラドンナエスプレッソマシン 「Toffy」（4杯分） K-CM3-PA PALE AQUA (KCM3),【送料無料】ラドンナエスプレッソマシン 「Toffy」（4杯分） K-CM3-PA PALE AQUA (KCM3)[rn]
13-21407,http://tshop.r10s.jp/akibamac/cabinet/03954490/now_printing.gif?fitin=700:700,3904.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,【送料無料】ネスレ日本ドルチェグスト ジョビア NDG250GW ホワイト,,ご自身で抽出をストップさせるマニュアル型で、サイズが非常にコンパクトで実用的な「ネスカフェ ドルチェ グスト ジョビア」<br><br>【製品仕様】<br>電源：100V、50/60Hz<br>定格消費電力:1460W<br>重量：2.7kg<br>使用温度：5℃～45℃<br>ポンプ圧力：最大15気圧<br>タンク容量：800ml<br>本体寸法：幅17.1cm / 高さ32.5cm / 奥行き22.8cm,【送料無料】ネスレ日本ドルチェグスト ジョビア NDG250GW ホワイト：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ネスレ日本ドルチェグスト ジョビア NDG250GW ホワイト,【送料無料】ネスレ日本ドルチェグスト ジョビア NDG250GW ホワイト[rn]
13-21408,http://tshop.r10s.jp/akibamac/cabinet/05438457/4901369131250.jpg?fitin=700:700,158.4000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,カリタNK102濾紙 ブラウン 100枚入 13125 (NK102ﾛｼﾌﾞﾗｳﾝ100),,2～4人用の濾紙です。100枚入,カリタNK102濾紙 ブラウン 100枚入 13125 (NK102ﾛｼﾌﾞﾗｳﾝ100)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンカリタNK102濾紙 ブラウン 100枚入 13125 (NK102ﾛｼﾌﾞﾗｳﾝ100),カリタNK102濾紙 ブラウン 100枚入 13125 (NK102ﾛｼﾌﾞﾗｳﾝ100)[rn]
13-21409,http://tshop.r10s.jp/akibamac/cabinet/05438457/4901369111054.jpg?fitin=700:700,134.4000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,カリタNK101濾紙 ホワイト 100枚入 11105 (NK101ﾛｼﾎﾜｲﾄ100),,1～2人用の濾紙です。100枚入,カリタNK101濾紙 ホワイト 100枚入 11105 (NK101ﾛｼﾎﾜｲﾄ100)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンカリタNK101濾紙 ホワイト 100枚入 11105 (NK101ﾛｼﾎﾜｲﾄ100),カリタNK101濾紙 ホワイト 100枚入 11105 (NK101ﾛｼﾎﾜｲﾄ100)[rn]
13-21410,http://tshop.r10s.jp/akibamac/cabinet/05216987/4901369111115.jpg?fitin=700:700,240.0000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,カリタコーヒーフィルター FP101ロシ （100枚） ブラウン (FP101ﾛｼﾌﾞﾗｳﾝ100),,■カリタ101型ドリッパー対応。<br>■1～2人用<br>■100枚入<br><br>【製品仕様】<br>■化粧箱サイズ（mm）： 200×45×82<br>■商品重量： 86g<br>,カリタコーヒーフィルター FP101ロシ （100枚） ブラウン (FP101ﾛｼﾌﾞﾗｳﾝ100)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンカリタコーヒーフィルター FP101ロシ （100枚） ブラウン (FP101ﾛｼﾌﾞﾗｳﾝ100),カリタコーヒーフィルター FP101ロシ （100枚） ブラウン (FP101ﾛｼﾌﾞﾗｳﾝ100)[rn]
13-21411,http://tshop.r10s.jp/akibamac/cabinet/05438457/4901369150879.jpg?fitin=700:700,366.4000,,家電 > キッチン家電 > コーヒーメーカー・エスプレッソマシン > コーヒーメーカー,カリタFP103濾紙 ブラウン 100枚入 15087 (FP103ﾛｼﾌﾞﾗｳﾝ100),,4～7人用の濾紙です。100枚入,カリタFP103濾紙 ブラウン 100枚入 15087 (FP103ﾛｼﾌﾞﾗｳﾝ100)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンカリタFP103濾紙 ブラウン 100枚入 15087 (FP103ﾛｼﾌﾞﾗｳﾝ100),カリタFP103濾紙 ブラウン 100枚入 15087 (FP103ﾛｼﾌﾞﾗｳﾝ100)[rn]
