13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7102,,3636.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アンクラジャパン（株）/ａｌｌｓａｆｅ【R2N13】(4794893)ベルト荷締機 ラチェット式ナローフック仕様（軽荷重） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ラチェット式により簡単な操作で確実な荷締め作業ができるベルトです。<br>●トラック輸送時の荷崩れ防止に。<br>●最大使用荷重(t):0.47<br>●ベルト長さ(m)巻取側:3<br>●べルト長さ(m)固定側:1<br>●ベルト寸法(mm)幅×厚み:25×2.0<br>●色:ブルー<br>●質量(kg):0.66<br>●ラチェットバックル式<br>●コーナープロテクター付<br>●バックルシート付<br>●ナローフックタイプ<br>●ベルト:ポリエステル<br>●ラチェットバックル:スチール<br>●他社ベルトとの組み合わせはしないでください。<br>●乱暴に扱わないでください。<br>●定期的に注油をしてください。<br>●巻き取りすぎに注意してください。<br>●点検してください。<br>",『カード対応OK！』■〒アンクラジャパン（株）/ａｌｌｓａｆｅ【R2N13】(4794893)ベルト荷締機 ラチェット式ナローフック仕様（軽荷重） 受注単位1：クローバー資材館,『カード対応OK！』■〒アンクラジャパン（株）/ａｌｌｓａｆｅ【R2N13】(4794893)ベルト荷締機 ラチェット式ナローフック仕様（軽荷重） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\荷締機。『カード対応OK！』■〒アンクラジャパン（株）/ａｌｌｓａｆｅ【R2N13】(4794893)ベルト荷締機 ラチェット式ナローフック仕様（軽荷重） 受注単位1[rn]
13-7103,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833818.jpg?fitin=700:700,534.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　接地アダプター【K-2PE(B)】(2213109) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●アースクリップ付です。<br>●安全取り付けチェーン付です。<br>●2P接地付プラグから2Pプラグへの変換用アダプターとして使用できます。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　接地アダプター【K-2PE(B)】(2213109) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　接地アダプター【K-2PE(B)】(2213109) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　接地アダプター【K-2PE(B)】(2213109) 受注単位1[rn]
13-7104,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823609.jpg?fitin=700:700,14774.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型コードリール　マルチテモートリール単相１００Ｖアース付４７＋６ｍ【TGM-150K】(1061852) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ケーブルを作業現場まで引き出す逆配電型です。<br>●電線先端部分の3ッ口タップは防雨機能（TGM-130K、150Kのみ）・逆配電機能に加え、本体に2連コンセントが付いており、通常のコードリール機能も持った1台3役のマルチタイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型コードリール　マルチテモートリール単相１００Ｖアース付４７＋６ｍ【TGM-150K】(1061852) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型コードリール　マルチテモートリール単相１００Ｖアース付４７＋６ｍ【TGM-150K】(1061852) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型コードリール　マルチテモートリール単相１００Ｖアース付４７＋６ｍ【TGM-150K】(1061852) 受注単位1[rn]
13-7105,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833643.jpg?fitin=700:700,16556.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ【Z-EK34】(1645137) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセントパネルが回転しないので工具を接続したまま巻き取り自由です。<br>●パネル固定型です。",『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ【Z-EK34】(1645137) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ【Z-EK34】(1645137) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　アース過負荷漏電しゃ断器付　３０ｍ【Z-EK34】(1645137) 受注単位1[rn]
13-7106,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866816.jpg?fitin=700:700,17739.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ（抜止め）【BR-301】(1063146) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全作業の必需品、漏電遮断器付タイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ（抜止め）【BR-301】(1063146) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ（抜止め）【BR-301】(1063146) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ（抜止め）【BR-301】(1063146) 受注単位1[rn]
13-7107,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860737.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ【GE-30】(1645072) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセント盤配電部を一体モールド成型することで完全な防水処理が可能です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ【GE-30】(1645072) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ【GE-30】(1645072) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　屋外用レインボーリール　単相１００Ｖ　３０ｍ【GE-30】(1645072) 受注単位1[rn]
13-7108,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805475.jpg?fitin=700:700,2948.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　一ツ口防雨延長コ－ド１０Ｍアー【PSW-10E】(3686612) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ポッキンプラグ付なので、2芯・3芯のどちらでもアダプターなしに差し込めます。<br>●アース付なので万一漏電が起きても安心です。（工具が絶縁不良になった時、漏電電流を大地に逃がし感電しないようになります）<br>●防雨キャップ付なので屋外で使用することができます。",『カード対応OK！』■〒日動工業/日動　一ツ口防雨延長コ&minus;ド１０Ｍアー【PSW-10E】(3686612) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　一ツ口防雨延長コ&minus;ド１０Ｍアー【PSW-10E】(3686612) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　一ツ口防雨延長コ&minus;ド１０Ｍアー【PSW-10E】(3686612) 受注単位1[rn]
13-7109,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005025738.jpg?fitin=700:700,6318.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【ST-30S】(4189787) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線の異常な温度上昇を感知し自動的に電源を遮断します。危険な電線の溶解・焼損を未然に防ぎます。安心の保護機能です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【ST-30S】(4189787) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【ST-30S】(4189787) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【ST-30S】(4189787) 受注単位1[rn]
13-7110,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004028236.jpg?fitin=700:700,19440.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ　アース付　とび出しプラグ付【BR-201KX】(1063201) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全作業の必需品、漏電遮断器付タイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ　アース付　とび出しプラグ付【BR-201KX】(1063201) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ　アース付　とび出しプラグ付【BR-201KX】(1063201) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ　アース付　とび出しプラグ付【BR-201KX】(1063201) 受注単位1[rn]
13-7111,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823599.jpg?fitin=700:700,5832.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　シンタイガーリール　単相１００Ｖ　３０ｍ【ST-30】(3704459) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンパクト設計、実用性と堅牢性、ハイコストパフォーマンスのコードリールです。<br>●メンテナンスが容易な業務用タイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　シンタイガーリール　単相１００Ｖ　３０ｍ【ST-30】(3704459) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　シンタイガーリール　単相１００Ｖ　３０ｍ【ST-30】(3704459) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　シンタイガーリール　単相１００Ｖ　３０ｍ【ST-30】(3704459) 受注単位1[rn]
