11-54101,http://tshop.r10s.jp/ik21/cabinet/130308031.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,,"呼び名：R3.5-5S<br>
【仕様】<br>
●適用電線範囲-単線：1.82～2.4（ｍｍ）<br>
●適用電線範囲-撚線：2.63～4.6（mm&sup2;）<br>
●適用電線範囲-AWG：12<br>
●寸法φｄ2：5.3<br>
●寸法B：9.6<br>
【販売数量】：100個<br>
注）写真はサンプルです。<br>【補足】量り売りをしております。数量の増減がありますが、ご了承ください。<br>",ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,【圧着端子】★汎用の裸圧着端子♪★。ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S[rn]
11-54102,http://tshop.r10s.jp/ik21/cabinet/13022352-2.jpg?fitin=700:700,376.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-200N,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-200Ｎ<br>
●サイズ ：a=190ｍｍ,b=8.5ｍｍ<br>
●結束範囲 （ｍｍ）： 5～45<br>
●色 ： N (ナチュラルタイプ) = 自然色",芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-200N：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-200N,【結束バンド 】★♪♪★。芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-200N[rn]
11-54103,http://tshop.r10s.jp/ik21/cabinet/130305075.jpg?fitin=700:700,82.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ニチフ〓丸形端子（R形）　バラ（1個から）〓R60-12,,"呼び名：R60-12<br>
【仕様】<br>
●適用電線範囲-撚線：42.42～60.57（mm&sup2;）<br>
●適用電線範囲-AWG：1/0<br>
●寸法φｄ2：13.0<br>
●寸法B：22.0<br>
【販売数量】：バラ（1個から）<br>
注）写真はサンプルです。<br>【補足】量り売りをしております。数量の増減がありますが、ご了承ください。<br>",ニチフ〓丸形端子（R形）　バラ（1個から）〓R60-12：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ニチフ〓丸形端子（R形）　バラ（1個から）〓R60-12,【圧着端子】★汎用の裸圧着端子♪★。ニチフ〓丸形端子（R形）　バラ（1個から）〓R60-12[rn]
11-54104,http://tshop.r10s.jp/ik21/cabinet/13022410.jpg?fitin=700:700,86.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB80-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB80-W<br>
●サイズ ：L=80ｍｍ,A=2.2ｍｍ<br>
●結束範囲 （φｍｍ）： 1.0～16<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB80-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB80-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB80-W[rn]
11-54105,http://tshop.r10s.jp/ik21/cabinet/01046514/img63823743.jpg?fitin=700:700,156.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB150-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB150-W<br>
●サイズ ：L=152ｍｍ,A=3.5ｍｍ<br>
●結束範囲 （φｍｍ）： 1.0～36<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB150-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB150-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB150-W[rn]
11-54106,http://tshop.r10s.jp/ik21/cabinet/13022363-2.jpg?fitin=700:700,504.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-200B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-200B<br>
●サイズ ：a=190ｍｍ,b=8.5ｍｍ<br>
●結束範囲 （ｍｍ）： 5～45<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-200B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-200B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-200B[rn]
11-54107,http://tshop.r10s.jp/ik21/cabinet/130224015.jpg?fitin=700:700,880.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB300-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB300-W<br>
●サイズ ：L=301ｍｍ,A=4.8ｍｍ<br>
●結束範囲 （φｍｍ）： 1.5～80<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB300-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB300-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝100本入り〓AB300-W[rn]
11-54108,http://tshop.r10s.jp/ik21/cabinet/13022360-2.jpg?fitin=700:700,140.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-70B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-70B<br>
●サイズ ：a=70ｍｍ,b=5ｍｍ<br>
●結束範囲 （ｍｍ）： 1.6～10<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-70B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-70B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-70B[rn]
11-54109,http://tshop.r10s.jp/ik21/cabinet/130305083.jpg?fitin=700:700,336.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ニチフ〓Y形端子（Y形）　100個入り〓2Y-3,,"呼び名：2Y-3<br>
【仕様】<br>
●適用電線範囲-単線：1.44～1.82（ｍｍ）<br>
●適用電線範囲-撚線：1.04～2.63（mm&sup2;）<br>
●適用電線範囲-AWG：16～14<br>
●寸法φｄ2：3.2<br>
●寸法B：5.9<br>
●寸法L：15.8<br>
【販売数量】：100個<br>
注）写真はサンプルです。<br>【補足】量り売りをしております。数量の増減がありますが、ご了承ください。<br>",ニチフ〓Y形端子（Y形）　100個入り〓2Y-3：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ニチフ〓Y形端子（Y形）　100個入り〓2Y-3,【圧着端子】★汎用の裸圧着端子♪★。ニチフ〓Y形端子（Y形）　100個入り〓2Y-3[rn]
11-54110,http://tshop.r10s.jp/ik21/cabinet/130224016.jpg?fitin=700:700,960.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝50本入り〓AB350-W,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　50本入/袋 <br>
●メーカー　：　ヘラマンタイトン<br>
●型番　：　AB350-W<br>
●サイズ ：L=380ｍｍ,A=7.6ｍｍ<br>
●結束範囲 （φｍｍ）： 3.0～100<br>
●色 ：黒",ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝50本入り〓AB350-W：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝50本入り〓AB350-W,【結束バンド】★屋外で使用できる♪♪★。ヘラマンタイトン〓インシュロック　耐候グレード 1袋＝50本入り〓AB350-W[rn]
11-54111,http://tshop.r10s.jp/ik21/cabinet/13022361-2.jpg?fitin=700:700,160.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-100B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-100B<br>
●サイズ ：a=100ｍｍ,b=5ｍｍ<br>
●結束範囲 （ｍｍ）： 1.6～10<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-100B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-100B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-100B[rn]
