11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73202,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066055003.jpg?fitin=700:700,872.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 黒板 木製 AS 30×45cm 無地 77031,,"現場記録、写真撮影用の黒板。
暗線入りで書きやすく、文字も綺麗に消せます。
現場写真が撮りやすく、鮮明な読み取りが可能です。
裏面スタンド付きです。  

［仕様］
・印刷：無地
・横型
・付属品：黒板消し、チョーク3本  
・材質：本体=木  
・サイズ：(約）300×450×15mm 
・重量：（約）410g 

【注意事項】
チョーク専用です。濡れた状態での使用は避けてください。",シンワ 黒板 木製 AS 30&times;45cm 無地 77031：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 黒板 木製 AS 30&times;45cm 無地 77031,シンワ 黒板 木製 AS 30&times;45cm 無地 77031[rn]
11-73203,http://tshop.r10s.jp/lamd/cabinet/03076213/imgrc0066873628.gif?fitin=700:700,824.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,GREAT TOOL　カーボンデジタルノギス　150mm　GTDC-150,,"外径・内径・段差・比較・深さ・間接測定に。 
見やすい、軽い、傷をつけにくい。  
仕様 材質：本体：カーボンコンポジットプラスチック　表示部：ＡＢＳ樹脂 
用途：外径・内径・段差・比較・深さ・間接測定 
全長：240ｍｍ　重量：54ｇ 
測定範囲：0.1～150ｍｍ　 
器差/外側測定：±0.3ｍｍ　内側測定：±0.5ｍｍ 
最小読取値：0.1ｍｍ 
使用温度：0～40℃ 
保存温度：-10～60℃ 保存湿度：80％ 
電池：酸化銀電池ＳＲ44（1.55Ｖ）1個  
パッケージサイズ(mm) 縦x横x高さ：275x90x25 
パッケージ重量(g) 112  
メーカー名　 アークランドサカモト",GREAT TOOL　カーボンデジタルノギス　150mm　GTDC-150：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品GREAT TOOL　カーボンデジタルノギス　150mm　GTDC-150,GREAT TOOL　カーボンデジタルノギス　150mm　GTDC-150[rn]
11-73204,http://tshop.r10s.jp/lamd/cabinet/00171502/imgrc0063896293.jpg?fitin=700:700,1333.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ測定 ブルーレベル Ｐｒｏ 380mm 76391,,"特長 
・水平・垂直・45度の確認で使用するレベル　
・全気泡管±1mm/mの高精度です。
・45°気泡管付です。
・大型サイドキャップで材料とレベルを保護します。
・測定面にV字型溝付でパイプ測定もできます。 
・1/50・1/100勾配が測れます。   

寸法 たて×厚さ：65×27mm  
感度/精度 気泡管感度：0.35mm/m＝0.0201°　
気泡管精度：±1.0mm/m＝±0.0573°以内 
重量 340g 
材質 本体：アルミ　ゴム部：エラストマー　気泡液：石油系液",シンワ測定 ブルーレベル Ｐｒｏ 380mm 76391：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ測定 ブルーレベル Ｐｒｏ 380mm 76391,シンワ測定 ブルーレベル Ｐｒｏ 380mm 76391[rn]
11-73205,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066055008.jpg?fitin=700:700,1018.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 黒板 木製 J 45×60cm 「工事名・工種・測点」 横 77037,,"現場記録、写真撮影用の黒板。
暗線入りで書きやすく、文字も綺麗に消せます。
現場写真が撮りやすく、鮮明な読み取りが可能です。
裏面スタンド付きです。  

［仕様］
・印刷：工事名・工種・測点
・横型
・付属品：黒板消し、チョーク3本  
・材質 本体：木  
・サイズ：(約）450mm×600mm 
・重量：（約）855g 

【注意事項】
チョーク専用です。濡れた状態での使用は避けてください。",シンワ 黒板 木製 J 45&times;60cm 「工事名・工種・測点」 横 77037：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 黒板 木製 J 45&times;60cm 「工事名・工種・測点」 横 77037,シンワ 黒板 木製 J 45&times;60cm 「工事名・工種・測点」 横 77037[rn]
11-73206,http://tshop.r10s.jp/lamd/cabinet/03178685/img62947014.jpg?fitin=700:700,36364.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,【送料無料】【お取り寄せ】　シンワ測定　レーザーロボ　Neo　01　AR　BRIGHT　横全周　[77507],,"■精度　　●指示精度　横全周ライン：7.5ｍで＋－1.5mm 
■レーザー仕様　　●光源：可視半導体レーザー　　●出力：1ｍw以下（JISクラス2）　　●波長：635nｍ（下部スポット650nｍ）　　●横ライン出射角：約120度　　●縦ライン出射角：約130度　　●ライン光幅：5ｍで約1.5mm　　●最大到達距離：約35ｍ（レーザーレシーバー使用時） 
■電源仕様　　●使用電源：単3アルカリ乾電池4本　　●連続使用可能時間（全ライン照射）：約8時間　　●電池消耗警告：スイッチON時にレーザー光が約8秒間点滅 ■動作仕様　　●自動補正範囲：＋－2.5度　　●傾斜時警告：本体が大きく傾くとレーザー光が点滅　　●制動方式：磁気制動 
■規格・補償　　●規格：防塵・防水構造（IP54）　　●補償：1年間盗難・火災補償付",【送料無料】【お取り寄せ】　シンワ測定　レーザーロボ　Neo　01　AR　BRIGHT　横全周　[77507]：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品【送料無料】【お取り寄せ】　シンワ測定　レーザーロボ　Neo　01　AR　BRIGHT　横全周　[77507],【送料無料】【お取り寄せ】　シンワ測定　レーザーロボ　Neo　01　AR　BRIGHT　横全周　[77507][rn]
11-73207,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066064434.jpg?fitin=700:700,1503.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 点線スケール アクリル製 30cm 70726,,"点線・鎖線を簡単に描くことが出来ます。
レイアウト作業、線引き、長さ測定等に使用するスケール。
実線を引くのと同じ要領で、点線・鎖線を簡単に引くことが出来ます。  

伸縮率：1℃の変化で1mmに対して7～8×10-5mm伸縮  
材質：アクリル樹脂 
サイズ：（約）321×51×5mm 
重量：（約）67g 

【注意事項】
汚れた場合シンナー・アルコール等は使用しないで下さい。",シンワ 点線スケール アクリル製 30cm 70726：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 点線スケール アクリル製 30cm 70726,シンワ 点線スケール アクリル製 30cm 70726[rn]
11-73208,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066064434.jpg?fitin=700:700,509.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 分度器 アクリル製 360° 15cm 全円 74926,,"角度の測定に使う分度器。
円の中心目盛付きです。  

材質：アクリル樹脂 
サイズ：（約）152×76×2mm 
重量：（約）25g 
注意事項：汚れた場合シンナー・アルコール等は使用しないで下さい。",シンワ 分度器 アクリル製 360&deg; 15cm 全円 74926：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 分度器 アクリル製 360&deg; 15cm 全円 74926,シンワ 分度器 アクリル製 360&deg; 15cm 全円 74926[rn]
11-73209,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066066609.jpg?fitin=700:700,848.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ ブラシ 製図用 70874,,"高級馬毛を使用しています。
製図板上の消しゴムカスやホコリの掃除に使用するブラシ。
やわらかい高級馬毛を使用しており、図面など傷つけません。  

材質：ブラシ部分=馬毛 / 柄=木  
サイズ：（約）203×75×10mm 
重量：（約）36g",シンワ ブラシ 製図用 70874：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ ブラシ 製図用 70874,シンワ ブラシ 製図用 70874[rn]
11-73210,http://tshop.r10s.jp/lamd/cabinet/00547252/imgrc0065169916.jpg?fitin=700:700,1762.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,大和製衡　■大型 上皿はかり　SD-50用　プラスチックカバー,,大和製衡大型上皿はかり50kgSD-50用のプラスチックカバーです。（針、目盛を守る円形カバーです。）,大和製衡　■大型 上皿はかり　SD-50用　プラスチックカバー：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品大和製衡　■大型 上皿はかり　SD-50用　プラスチックカバー,大和製衡　■大型 上皿はかり　SD-50用　プラスチックカバー[rn]
11-73211,http://tshop.r10s.jp/lamd/cabinet/00547252/img58740414.jpg?fitin=700:700,2788.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,【送料無料】　シンワ測定　下地センサー　78577　HG,,"＝用途例＝
○地震による家具倒壊防止の金具取り付けに
○カーテンレール取り付けの金具取り付けに
○額、手すり、タオルハンガー等の取り付けに

壁裏の金属、木材、プラスチックを探知し、点滅と電子音でお知らせします。

地震による家具倒壊防止、カーテンレール取り付け等の金具取り付けに。

深モード搭載。探知物検出深度　約35mm。",【送料無料】　シンワ測定　下地センサー　78577　HG：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品【送料無料】　シンワ測定　下地センサー　78577　HG,【送料無料】　シンワ測定　下地センサー　78577　HG[rn]
