11-28801,,609.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDDR-2-200】(7652186) 落下防止電工ドライバー　＋２Ｘ２００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●廻しやすくからみにくい360度回転機能付きで、高所作業でのドライバーの落下を防ぎます。<br><br><br>●刃先：[[(＋)]]2<br>●軸長(mm)：200<br>●全長(mm)：300<br><br>●刃先：マグネット入り<br>●先端ブラックポイント加工<br>●クロームメッキ<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDDR-2-200】(7652186) 落下防止電工ドライバー　＋２Ｘ２００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDDR-2-200】(7652186) 落下防止電工ドライバー　＋２Ｘ２００ 受注単位1,作業用品\ドライバー・六角棒レンチ\グリップドライバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDDR-2-200】(7652186) 落下防止電工ドライバー　＋２Ｘ２００ 受注単位1[rn]
11-28802,,212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDD-6.5-25】(7630069) 電工ドライバー（スタビータイプ）　（－）６ｘ２５ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>手にフィットするため回しやすく滑りにくくなっています。<br>●限られたスペースでのねじ締めに便利なスタビータイプです。<br><br><br>●刃先：[[（-）]]6.5<br>●軸長(mm)：25<br>●全長(mm)：86<br>●ハンドル径(mm)：36<br>●軸径(mm)：6.0<br>●質量(g)：58<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDD-6.5-25】(7630069) 電工ドライバー（スタビータイプ）　（&minus;）６ｘ２５ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDD-6.5-25】(7630069) 電工ドライバー（スタビータイプ）　（&minus;）６ｘ２５ 受注単位1,作業用品\ドライバー・六角棒レンチ\グリップドライバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TDD-6.5-25】(7630069) 電工ドライバー（スタビータイプ）　（&minus;）６ｘ２５ 受注単位1[rn]
11-28803,,200.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TD-2-25】(7630034) 樹脂柄ドライバー（スタビータイプ） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>手にフィットするため回しやすく滑りにくくなっています。<br>●限られたスペースでのねじ締めに便利なスタビータイプです。<br><br><br>●刃先：[[（+）]]2<br>●軸長(mm)：25<br>●全長(mm)：80<br>●ハンドル径(mm)：31<br>●軸径(mm)：6.0<br>●質量(g)：47<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TD-2-25】(7630034) 樹脂柄ドライバー（スタビータイプ） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TD-2-25】(7630034) 樹脂柄ドライバー（スタビータイプ） 受注単位1,作業用品\ドライバー・六角棒レンチ\グリップドライバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TD-2-25】(7630034) 樹脂柄ドライバー（スタビータイプ） 受注単位1[rn]
11-28804,,2192.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア【DBZ-55B】(7736738) ネジバズーカ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●回せなくなった皿ネジやキャップボルトなどを緩めることができるビット交換式ドライバーです。<br>●ファーストビットは叩くことなく皿ネジを緩めることができ、ファーストビットで緩められなかった場合は、セカンドビットを使い叩いて緩めます。<br>●サードビットは六角穴付ボルト専用で叩いて使用します。<br>●用途に合わせてビットを付替えることでネジのトラブルに対応できます。<br>●グリップはエルゴノミクスデザインでビットの性能を最大限に引き出します。<br><br><br>●セット内容：グリップ、ビット（[[(+)]]2×2本、六角穴アイコン2.5-3.0×1本）<br>●セット内容(点)：4<br><br>●グリップサイズ：L107×W60×H32mm<br>●ビット全長：共通105mm<br>●ビット軸長：共通60mm<br><br>●グリップ：ABS/ナイロン<br>●ビット：高炭素鋼/エラストマー<br>",『カード対応OK！』■〒エンジニア【DBZ-55B】(7736738) ネジバズーカ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア【DBZ-55B】(7736738) ネジバズーカ 受注単位1,作業用品\ドライバー・六角棒レンチ\グリップドライバー。『カード対応OK！』■〒エンジニア【DBZ-55B】(7736738) ネジバズーカ 受注単位1[rn]
11-28805,,3178.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8870】(4981065) ドライバーマイナス 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づいた手に優しいエラストマー付エルゴハンドルです。<br>●ハンドル両端部に色あせしないカラーコーティングを施しています。<br><br><br>●刃先：[[（-）]]1.6×10.0<br>●軸長(mm)：175<br>●全長(mm)：336<br>●質量(g)：200<br><br>●全身焼入<br>●ブラックポイント加工<br><br>●スウェーデン特殊鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8870】(4981065) ドライバーマイナス 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8870】(4981065) ドライバーマイナス 受注単位1,作業用品\ドライバー・六角棒レンチ\グリップドライバー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【BE-8870】(4981065) ドライバーマイナス 受注単位1[rn]
11-28806,,14904.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スナップオン・ツールズ/バーコ レンチ【NS600-250-40】(8183060) バーコ ノンスパーキングウェッジ 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●火花が散らない、非磁性、耐腐食性のある工具です。<br>
●国際規格DINとISOに準じて製造されています。<br>
●BAM（ドイツ連邦材料試験所）から認定されています。<br>
●全長(mm):250<br>
●刃幅(mm):40<br>
●高さ(mm):30<br>
●アルミニウム青銅",■〒スナップオン・ツールズ/バーコ レンチ【NS600-250-40】(8183060) バーコ ノンスパーキングウェッジ 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒スナップオン・ツールズ/バーコ レンチ【NS600-250-40】(8183060) バーコ ノンスパーキングウェッジ 発注単位1,作業用品\防爆用品。■〒スナップオン・ツールズ/バーコ レンチ【NS600-250-40】(8183060) バーコ ノンスパーキングウェッジ 発注単位1[rn]
11-28807,,1332.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-43】(7553901) スクリュードライバー　電工用　３インチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(-)]]4.76<br>●軸長(mm)：76<br>●全長(mm)：170<br>●質量(ｇ)：76<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-43】(7553901) スクリュードライバー　電工用　３インチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-43】(7553901) スクリュードライバー　電工用　３インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-43】(7553901) スクリュードライバー　電工用　３インチ 受注単位1[rn]
11-28808,,1754.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-26】(7554036) スクリュードライバー　マイナス　６インチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(-)]]5.95<br>●軸長(mm)：152<br>●全長(mm)：271<br>●質量(ｇ)：170<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-26】(7554036) スクリュードライバー　マイナス　６インチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-26】(7554036) スクリュードライバー　マイナス　６インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDR-26】(7554036) スクリュードライバー　マイナス　６インチ 受注単位1[rn]
11-28809,,5917.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【PGD8】(7733518) パワーグリップドライバーセット　８本組　布袋付き 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づき、握りやすさと回しやすさを追求しており、作業性が抜群です。<br>●ソフトグリップは手にフィットし、パワーを余すことなく先端に伝えます。<br>●先端は、強力マグネット付きです。<br><br><br>●セット内容：PGMD-075・100・150、PGPD-001・002・003、PGSD-M2・P2<br>●セット内容(本)：8<br>●質量(kg)：1.41<br><br>●貫通タイプ<br>●刃先：マグネット入り<br><br>●本体：構造用鋼<br>●グリップ：樹脂<br>",『カード対応OK！』■〒ＴＯＮＥ【PGD8】(7733518) パワーグリップドライバーセット　８本組　布袋付き 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ＴＯＮＥ【PGD8】(7733518) パワーグリップドライバーセット　８本組　布袋付き 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒ＴＯＮＥ【PGD8】(7733518) パワーグリップドライバーセット　８本組　布袋付き 受注単位1[rn]
11-28810,,1802.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-53】(7553935) スクリュードライバー　電工用　２‐１／２インチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プレミアムコンフォートグリップで手が痛くならず、またサムストップで親指が滑らないのでしっかり回転力を伝えることができます。<br>●ブレード部は錆びや汚れに強いクロームメッキを施しています。<br>●先端チップは噴射加工でボルト・ナットをしっかり捉え、また欠けを防止し、長寿命を実現しています。<br>●ブレードは特殊鋼製です。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●刃先：[[(-)]]3.18<br>●軸長(mm)：76<br>●全長(mm)：158<br>●質量(ｇ)：68<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-53】(7553935) スクリュードライバー　電工用　２‐１／２インチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-53】(7553935) スクリュードライバー　電工用　２‐１／２インチ 受注単位1,作業用品\ドライバー・六角棒レンチ\樹脂柄ドライバー。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWSDE-53】(7553935) スクリュードライバー　電工用　２‐１／２インチ 受注単位1[rn]
