11-115001,http://tshop.r10s.jp/brico/cabinet/00181624/img56759781.jpg?fitin=700:700,656.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可】金象印 マイフィット ガーデン鋏 MF-140 4960517190617,,"■刃部はステンレス材(ステンレス刃物鋼)に熱処理を施し、丈夫で錆に強く、手入れが容易です。<br>
■手の小さな女性に配慮し、刃先が開いた時の指はずれを防ぐ環状グリップと親指下のふくらみ部にフィットするR形状グリップを採用。<br>
■また手のフィット部にすべり止めのラバーを形成。<br><br>
●国産ステンレス刃物鋼使用！錆に強い・切れ味長持ち・お手入れがらく。<br>
●凹部にヤニ、シブが逃げる事で刃の開閉がスムーズ。<br>
●切断目安：直径8mm以下（ただし、生木に限る）<br><br>
＜材質＞<br>
刃：ステンレス刃物鋼<br>
グリップ：PP/TPR<br>
ロック：NY<br>
ストラップ：PVC<br><br>
サイズ：195×73×18mm<br>
重量：148g<br><br>
 ※こちらの商品は1個のみ1メール便での発送が可能です。",【メール便可】金象印 マイフィット ガーデン鋏 MF-140 4960517190617：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】金象印 マイフィット ガーデン鋏 MF-140 4960517190617,収穫作業・摘果・芽切り作業に！。【メール便可】金象印 マイフィット ガーデン鋏 MF-140 4960517190617[rn]
11-115002,http://tshop.r10s.jp/brico/cabinet/46/4531363017146_1.jpg?fitin=700:700,5600.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【送料無料】土佐手打鋏 大久保鋏 195mm 植木鋏 剪定ばさみ,,"■植木鋏の定番の一品です。使う機会が多くとても重宝します。<br>
<br>
●全長：約195mm<br>
●青銅入<br>
<br>
土佐打刃物は刀鍛冶の流れを汲み、農林用刃物を中心に、包丁・ナイフに至るまで自由鍛造（自由にたたいて自由な形に）という昔ながらの技術で一つ一つ手打ちしています。高知県（主に高知県香美市土佐山田町が中心）は日本有数の刃物の産地として、平成10年に伝統工芸品産地指定を受けております。土佐で唯一の鋏鍛冶職人の手打ち手造りで製造され、全国各地の植木職人を中心にその品質は高い評価を得ています。",【送料無料】土佐手打鋏 大久保鋏 195mm 植木鋏 剪定ばさみ：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【送料無料】土佐手打鋏 大久保鋏 195mm 植木鋏 剪定ばさみ,【送料無料】土佐手打鋏 大久保鋏 195mm 植木鋏 剪定ばさみ[rn]
11-115003,http://tshop.r10s.jp/brico/cabinet/20/4977292628020_1.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】藤原産業 千吉 左利き用剪定鋏 SGP-20L,,"■太い幹や枝の剪定に最適な強力タイプです。<br>
■すべりにくく手に馴染みやすい、樹脂コーティンググリップです。<br>
■刃を閉じて収納出来るストッパー付きです。<br>
<br>
●最大切断目安：15mm<br>
●全長：200mm<br>
<br>
商品サイズ：幅60mm×高さ200mm×奥行き25mm<br>
重量：210g<br>
<br>
＜お手入れの仕方＞<br>
樹液・水気等を取り油（ミシン油等）で拭き、サビを防いで下さい。合わせの部分とボルトには注油して下さい。<br>
<br>
【注意】<br>
※花・草・小枝を切る為の刃物です。プラスチック、金属類の切断には使用しないで下さい。<br>
※汚れを取り、ネジや可動部に油をつけてください。<br>
※幼児の手の届かない安全な場所に保管して下さい。",【メール便可〒】藤原産業 千吉 左利き用剪定鋏 SGP-20L：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】藤原産業 千吉 左利き用剪定鋏 SGP-20L,左利き用剪定鋏です。。【メール便可〒】藤原産業 千吉 左利き用剪定鋏 SGP-20L[rn]
11-115004,http://tshop.r10s.jp/brico/cabinet/79/4904781662579_1.jpg?fitin=700:700,944.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】アークランドサカモト 若獅子 池坊鋏 鋼付 165mm No.725010,,"■華道用として親しまれている鋏です。<br>
■枝物も切れるように頑丈に仕上げてあります。<br>
■ハンドル下部の丸くなった部分（ワラビ）は枝物の吸い上げを良くするために叩いて潰す時に使います。<br><br>
切断能力：9mm以下（※生木の種類、季節によって異なります。）<br><br>
165mm",【メール便可〒】アークランドサカモト 若獅子 池坊鋏 鋼付 165mm No.725010：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】アークランドサカモト 若獅子 池坊鋏 鋼付 165mm No.725010,生花用。【メール便可〒】アークランドサカモト 若獅子 池坊鋏 鋼付 165mm No.725010[rn]
11-115005,http://tshop.r10s.jp/brico/cabinet/84/4965280679284_1.jpg?fitin=700:700,2937.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】アルスコーポレーション 剪定鋏 ブイエスセブン VS-7Z,,"■軽量で高剛性なアルミダイカストをグリップに使用。手にしっかりフィットし、切断の力をしっかりと刃に伝達します。<br>
■さびにくく、強い刃。ハードクローム仕上げ<br>
■にぎって開く！簡単安全ストッパー<br><br>
切断目安：直径15mm以下<br><br>
全長：180mm<br>
刃長：48mm<br>
質量：212g",【メール便可〒】アルスコーポレーション 剪定鋏 ブイエスセブン VS-7Z：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】アルスコーポレーション 剪定鋏 ブイエスセブン VS-7Z,大きく開いて太い枝もシャープにカット！。【メール便可〒】アルスコーポレーション 剪定鋏 ブイエスセブン VS-7Z[rn]
11-115006,http://tshop.r10s.jp/brico/cabinet/17/01580730-103017_1.jpg?fitin=700:700,2339.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可】岡恒 剪定鋏200 ユニーク200m/m No.103 4968779103017,,"●ご愛用の皆様へ<br>
この鋏は、最高級の刃物鋼を使用し、正確な熱処理と精密な加工に技と心をこめてつくりあげました。<br>
い個までもご愛用下さい。<br><br>
●永くご使用頂くために…<br>
1.お手入れ<br>
樹液、水気を取り、油（ミシン油等）でふき、錆を防いで下さい。合わせの部分とボルト・バネ穴に注油して下さい。<br>
2.ねじの調整<br>
下刃のネジ穴とナットによってダブルナット方式で下刃の固定と合わせ具合の調整をしています。この調整は微妙ですので、ご家庭では分解しないで下さい。<br>
3.砥ぎ方<br>
砥ぎ方（刃つけ）によって、刃と刃が咬み合ったり、刃こぼれが生じたりします。下図を参照して砥いで下さい。<br>
<br>
【全長】200mm<br>
【重量】230g
<br><br>
※鋏は取扱いによっては危険です。ご使用には充分ご注意下さい。<br>
※子供の手の届かない場所に保管してください。",【メール便可】岡恒 剪定鋏200 ユニーク200m/m No.103 4968779103017：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】岡恒 剪定鋏200 ユニーク200m/m No.103 4968779103017,果樹の剪定や庭木のお手入れに最適！。【メール便可】岡恒 剪定鋏200 ユニーク200m/m No.103 4968779103017[rn]
11-115007,http://tshop.r10s.jp/brico/cabinet/85/4954458280285_1.jpg?fitin=700:700,704.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】三共コーポレーション sita スリム剪定はさみ 全長約185mm A906,,"■先細なので作業もラクラク！<br>
■握りやすいグリップ<br>
■盆栽・庭木・農園に最適！<br>
■ハードクロム製でサビに強い！<br><br>
生木切断許容範囲：約8mm<br><br>
【品質表示】<br>
サイズ：全長約185mm<br>
上刃部：SK5<br>
下刃部：SK5<br>
表面処理：ハードクロムメッキ<br>
柄：TPR＋アルミ",【メール便可〒】三共コーポレーション sita スリム剪定はさみ 全長約185mm A906：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】三共コーポレーション sita スリム剪定はさみ 全長約185mm A906,盆栽・庭木・農園に最適！。【メール便可〒】三共コーポレーション sita スリム剪定はさみ 全長約185mm A906[rn]
11-115008,http://tshop.r10s.jp/brico/cabinet/03/4965280652003_1.jpg?fitin=700:700,2690.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】アルスコーポレーション プルーナーデラックス 剪定鋏 120DX,,"■滑りにくい溝入りグリップが、使用時の手の滑りを抑え、滑らかな切れ味を発揮します。<br>
■ハードクローム仕上げ。<br><br>
全長：195mm<br>
質量：160g",【メール便可〒】アルスコーポレーション プルーナーデラックス 剪定鋏 120DX：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】アルスコーポレーション プルーナーデラックス 剪定鋏 120DX,剪定鋏。【メール便可〒】アルスコーポレーション プルーナーデラックス 剪定鋏 120DX[rn]
11-115009,http://tshop.r10s.jp/brico/cabinet/89/4977292640589_1.jpg?fitin=700:700,158.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可】藤原産業 千吉 太枝切鋏用バネ（2ｐｃｓ）SGFL-3/SG-22,,"用途<br>
バネ<br>
<br>
機能・特徴<br>
交換部品です。<br>
<br>
仕様<br>
●SGFL-3用<br>
●2個入<br>
<br>
注意事項<br>
本来の用途以外には使用しないで下さい。<br>",【メール便可】藤原産業 千吉 太枝切鋏用バネ（2ｐｃｓ）SGFL-3/SG-22：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】藤原産業 千吉 太枝切鋏用バネ（2ｐｃｓ）SGFL-3/SG-22,【メール便可】藤原産業 千吉 太枝切鋏用バネ（2ｐｃｓ）SGFL-3/SG-22[rn]
11-115010,http://tshop.r10s.jp/brico/cabinet/69/4977292634069_1.jpg?fitin=700:700,1504.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,千吉 刈込鋏 グリップ付 SGL-35,,"用途<br>
刈込鋏<br>
<br>
機能・特徴<br>
剪定・整枝作業用です。<br>
握りやすいグリップ付きです。<br>
<br>
仕様<br>
●全長：約700mm<br>
●刃長：約165mm<br>
●生木切断能力：15mm<br>
●商品サイズ：幅210×高さ650×奥行き30mm<br>
●重量：920g<br>
<br>
※本来の用途以外には使用しないで下さい。使用前には本体あるいは部品にがたつき・緩みが無いことを確認してください。<br>
※使用の際には保護めがね・手袋などを着用してください。使用後は汚れを取り、子供の手の届かない安全な場所に保管してください。",千吉 刈込鋏 グリップ付 SGL-35：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント千吉 刈込鋏 グリップ付 SGL-35,千吉 刈込鋏 グリップ付 SGL-35[rn]
11-115011,http://tshop.r10s.jp/brico/cabinet/00/4904781662500_1.jpg?fitin=700:700,944.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【メール便可〒】アークランドサカモト 若獅子 大久保鋏 鋼付 180mm No.725002,,"■盆栽等の生木の切断用<br>
■庭木の剪定や切り花など、幅広い用途でご使用いただける万能タイプの鋏です。<br>
■グリップ部分も大き目なので、手にフィットして作業性に優れています。<br><br>
切断能力：8mm以下（※生木の種類、季節によって異なります。）<br><br>
180mm",【メール便可〒】アークランドサカモト 若獅子 大久保鋏 鋼付 180mm No.725002：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】アークランドサカモト 若獅子 大久保鋏 鋼付 180mm No.725002,盆栽等の生木の切断用。【メール便可〒】アークランドサカモト 若獅子 大久保鋏 鋼付 180mm No.725002[rn]
11-115012,http://tshop.r10s.jp/cityliner/cabinet/34866/40235964.jpg?fitin=700:700,399.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,千吉 採園鋏 小型SSP-1 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】園芸作業全般用です。<br>万能タイプで多用途に使えます。<br>【用途】園芸鋏<br>【材質】刃部：刃物鋼、ハンドル部：ナイロングラスファイバー<br>【全長(mm)】155<br>【質量(g)】60<br>【刃長(mm)】45<br>【切断能力(mm)】(生木)5<br>",千吉 採園鋏 小型SSP-1 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル千吉 採園鋏 小型SSP-1 1個,3240円以上ご購入で送料無料！。千吉 採園鋏 小型SSP-1 1個[rn]
11-115013,http://tshop.r10s.jp/cityliner/cabinet/34866/40235912.jpg?fitin=700:700,639.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,E-Value 園芸用万能鋏EGP-3 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】園芸作業全般用です。<br>万能タイプで多用途に使えます。<br>段ボール、PPバンド、アルミ線も切断。<br>【用途】園芸鋏<br>【材質】刃部：刃物鋼<br>【寸法(mm)】幅55×高さ210×奥行20<br>【質量(g)】200<br>【切断能力(mm)】(生木)8<br>",E-Value 園芸用万能鋏EGP-3 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルE-Value 園芸用万能鋏EGP-3 1個,3240円以上ご購入で送料無料！。E-Value 園芸用万能鋏EGP-3 1個[rn]
