11-137801,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0135/t010003824103.jpg?fitin=700:700,976.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE トルクスソケット(強力タイプ) T15 3TXT15 [3TX-T15][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・強力タイプのトルクス[[(R)]]ソケットです。<br><br>■仕様<br>・差込角(mm):9.5<br>・全長(mm):55<br>・先端寸法(mm):3.26<br>・呼びNo.:T15<br>・質量(g):25<br>・強力タイプ",TONE トルクスソケット(強力タイプ) T15 3TXT15 [3TX-T15][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)TONE トルクスソケット(強力タイプ) T15 3TXT15 [3TX-T15][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。TONE トルクスソケット(強力タイプ) T15 3TXT15 [3TX-T15][r20][rn]
11-137802,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0124/t010005025316.jpg?fitin=700:700,952.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,コーケン Z-EALヘックスビットソケット全長50mmサイズ4mm 3010MZ.504 [3010MZ.50-4][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・狭い箇所へのアクセスを可能とするコンパクト設計です。<br>・各部の精度を追求することにより優れた使用感を実現しています。<br>・新形状ボールディンプルの採用によりガタツキの少ない接合を実現しています。(PAT.)<br><br>■仕様<br>・差込角(mm):9.5<br>・全長(mm):50<br>・対辺寸法(mm):4.0<br>・質量(g):29",コーケン Z-EALヘックスビットソケット全長50mmサイズ4mm 3010MZ.504 [3010MZ.50-4][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)コーケン Z-EALヘックスビットソケット全長50mmサイズ4mm 3010MZ.504 [3010MZ.50-4][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。コーケン Z-EALヘックスビットソケット全長50mmサイズ4mm 3010MZ.504 [3010MZ.50-4][r20][rn]
11-137803,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0111/t010005801981.jpg?fitin=700:700,2600.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG10 [850LG-10][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・深い位置にあるボルトナットに適した6角(6ポイント)ディープソケットです。<br>・トラクションプロファイル(六角内の面でトルクを受ける構造)によりボルトナットに的確に作用します。<br>・ソケット周囲に施したローレット加工により、手回し時の油などによる滑りを軽減します。<br><br>■用途<br>・精密機械・電子機器など。<br><br>■仕様<br>・対辺寸法(mm):10<br>・差込角(mm):6.35<br>・全長(mm):50<br>・質量(g):39",HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG10 [850LG-10][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG10 [850LG-10][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG10 [850LG-10][r20][rn]
11-137804,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0124/t010005020316.jpg?fitin=700:700,696.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ボンダス ヘックスビット(3mm) 33256 [r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・六角の側面に特殊なナイロン樹脂が埋め込まれています。<br>・ソケットに挿入の際には、ハンマーなどの工具でビットを差し込むとガッチリ入ります。<br><br>■用途<br>・六角穴付ボルトに使用<br><br>■仕様<br>・全長(mm):50<br>・対辺寸法(mm):3<br>・軸寸法(mm):3<br>・質量(g):3<br>・六角の2面に特殊ナイロン樹脂が埋め込まれています。<br>・ソケットへの装着方法はロールピンやセットスクリュウとは異なりますので、装着の際のわずらわしさがありません。",ボンダス ヘックスビット(3mm) 33256 [r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ボンダス ヘックスビット(3mm) 33256 [r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。ボンダス ヘックスビット(3mm) 33256 [r20][rn]
11-137805,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0131/t010004383183.jpg?fitin=700:700,784.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,KTC スタンダードヘキサゴンビットソケット用交換ビット1/2inch T12 [T-1/2][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・六角穴付止めねじ付です。<br>・ビット交換時にはタイプAの場合は2mm、タイプBの場合は2.5mmのヘキサゴンレンチが必要です。<br><br>■用途<br>・交換用ビット<br><br>■仕様<br>・全長(mm):61<br>・対辺寸法(インチ):1/2<br>・タイプ:B<br>・ソケット側寸法(mm):14<br>・質量(g):79",KTC スタンダードヘキサゴンビットソケット用交換ビット1/2inch T12 [T-1/2][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)KTC スタンダードヘキサゴンビットソケット用交換ビット1/2inch T12 [T-1/2][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。KTC スタンダードヘキサゴンビットソケット用交換ビット1/2inch T12 [T-1/2][r20][rn]
11-137806,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0124/t010005020323.jpg?fitin=700:700,3352.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ボンダス ヘックスビットセット PHX6M2C [PHX6M-2C][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・お手持ちの一般的なソケットに差し込むことができます。<br>・差し込む時はハンマーでビットをソケットに押し込むだけです。<br>・ボンダス特殊プロテニアム合金鋼を材質にする事により、一般的な六角工具に比べ20%以上高いトルクがでます。<br><br>■用途<br>・六角穴付ボルトに使用<br><br>■仕様<br>・全長(mm):50<br>・セット内容(mm):4、5、6、7、8、10<br>・セット内容(点):6<br>・質量(g):649<br>・六角の2面に特殊ナイロン樹脂が埋め込まれています。<br>・ソケットへの装着方法はロールピンやセットスクリュウとは異なりますので、装着の際のわずらわしさがありません。",ボンダス ヘックスビットセット PHX6M2C [PHX6M-2C][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ボンダス ヘックスビットセット PHX6M2C [PHX6M-2C][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。ボンダス ヘックスビットセット PHX6M2C [PHX6M-2C][r20][rn]
11-137807,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0111/t010005801981.jpg?fitin=700:700,2592.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG7 [850LG-7][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・深い位置にあるボルトナットに適した6角(6ポイント)ディープソケットです。<br>・トラクションプロファイル(六角内の面でトルクを受ける構造)によりボルトナットに的確に作用します。<br>・ソケット周囲に施したローレット加工により、手回し時の油などによる滑りを軽減します。<br><br>■用途<br>・精密機械・電子機器など。<br><br>■仕様<br>・対辺寸法(mm):7<br>・差込角(mm):6.35<br>・全長(mm):50<br>・質量(g):24",HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG7 [850LG-7][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG7 [850LG-7][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。HAZET ディープソケットレンチ(6角タイプ・差込角6.35mm) 850LG7 [850LG-7][r20][rn]
11-137808,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0131/t010004383185.jpg?fitin=700:700,512.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,KTC スタンダードヘキサゴンビットソケット用交換ビット6mm T06 [T-06][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・六角穴付止めねじ付です。<br>・ビット交換時にはタイプAの場合は2mm、タイプBの場合は2.5mmのヘキサゴンレンチが必要です。<br><br>■用途<br>・交換用ビット<br><br>■仕様<br>・全長(mm):46<br>・対辺寸法(mm):6<br>・タイプ:A<br>・ソケット側寸法(mm):6.3<br>・質量(g):14",KTC スタンダードヘキサゴンビットソケット用交換ビット6mm T06 [T-06][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)KTC スタンダードヘキサゴンビットソケット用交換ビット6mm T06 [T-06][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。KTC スタンダードヘキサゴンビットソケット用交換ビット6mm T06 [T-06][r20][rn]
11-137809,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0109/t010005841000.jpg?fitin=700:700,1272.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,HAZET ショートヘキサゴンソケット差込角6.35mm・チタンコーティング 8501H2.5 [8501H-2.5][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・クロームバナジューム一体加工の小型ヘキサゴンソケットです。<br>・チタンコートで更に耐久性を上げています。<br>・ソケット周囲に施したローレット加工により、手回し時の油などによる滑りを軽減します。<br><br>■用途<br>・精密機械・電子機器・一般作業など。<br><br>■仕様<br>・差込角(mm):6.35<br>・全長(mm):28<br>・対辺寸法(mm):2.5",HAZET ショートヘキサゴンソケット差込角6.35mm・チタンコーティング 8501H2.5 [8501H-2.5][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)HAZET ショートヘキサゴンソケット差込角6.35mm・チタンコーティング 8501H2.5 [8501H-2.5][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。HAZET ショートヘキサゴンソケット差込角6.35mm・チタンコーティング 8501H2.5 [8501H-2.5][r20][rn]
11-137810,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0131/t010004383235.jpg?fitin=700:700,816.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,KTC 6.3sq.クロスビットソケットNo.2 BT22P [BT2-2P][r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・ビット部は差込式で、交換が可能です。<br>・差込角側は応力の集中を防ぐパワーフィット形状を採用しています。<br><br>■用途<br>・汎用工具<br><br>■仕様<br>・差込角(mm):6.3<br>・全長(mm):59.5<br>・刃先:[[(+)]]No.2<br>・質量(g):38",KTC 6.3sq.クロスビットソケットNo.2 BT22P [BT2-2P][r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)KTC 6.3sq.クロスビットソケットNo.2 BT22P [BT2-2P][r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。KTC 6.3sq.クロスビットソケットNo.2 BT22P [BT2-2P][r20][rn]
11-137811,http://tshop.r10s.jp/minatodenk/cabinet/trusco/0124/t010005020315.jpg?fitin=700:700,696.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ボンダス ヘックスビット(3/16インチ) 33210 [r20],,"<table border=0 cellpadding=8 cellspacing=1 width=100% bgcolor=#999999>
<tr>
<td bgcolor=#F6F6F6 align=center width=25%><font color=#666666><b>決済手数料<br>無料</b></font></td>
<td bgcolor=#FFFFFF>代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=#FFF3F3 align=center><font color=#C82626><b>1万円以上で<br>送料無料</b></font></td>
<td bgcolor=#FFFFFF>1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=#F9F9FF align=center><font color=#3763C7><b>代引不可<br>(メーカー直送)</b></font></td>
<td bgcolor=#FFFFFF>メーカー直送品の為、代引決済はご利用できません。その他のお支払い方法をご選択ください。</td>
</tr>
<tr>
<td bgcolor=#FEF8F3 align=center><font color=#EA4D00><b>1～3<br>営業日後<br>発送予定</b></font></td>
<td bgcolor=#FFFFFF>ご注文いただきましてから、およそ1～3営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

■特徴<br>・六角の側面に特殊なナイロン樹脂が埋め込まれています。<br>・ソケットに挿入の際には、ハンマーなどの工具でビットを差し込むとガッチリ入ります。<br><br>■用途<br>・六角穴付ボルトに使用<br><br>■仕様<br>・全長(mm):50<br>・対辺寸法(インチ):3/16<br>・軸寸法(インチ):3/16<br>・質量(g):9<br>・六角の2面に特殊ナイロン樹脂が埋め込まれています。<br>・ソケットへの装着方法はロールピンやセットスクリュウとは異なりますので、装着の際のわずらわしさがありません。",ボンダス ヘックスビット(3/16インチ) 33210 [r20]：ミナト電機工業,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ボンダス ヘックスビット(3/16インチ) 33210 [r20],【1万円以上で送料無料】【法人後払い/コンビニ手数料0円】。ボンダス ヘックスビット(3/16インチ) 33210 [r20][rn]
