11-111201,http://tshop.r10s.jp/auc-eplan/cabinet/03001292/03005131/img60353175.jpg?fitin=700:700,7840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,１7インチ液晶一体/DVDドライブ/新品マウス,"★ 製品名(型番) FMV-K5290 <br>
★ 製造元(メーカーHP) FUJITSU<br> 
★ 商品構成 本体、17インチモニタ一体、電源コード類、キーボード、新品マウス（純正品）<br>　 
★ CPU  Core2Duo 2.53GHz<br> 
★ メモリー 1ＧB <font size=""5"" color=""#ff0000"">増設済</font> <br>
★ HDD 160ＧＢ(交換済） <br>
★ CD－ROM DVDドライブ<br> 
★ 有線LAN ギガビット　1000BASE-T<br> 
★ OS(ステッカ有） ビスタビジネス <br>
★ OS ビスタビジネス<br>
★ DtoD　有（ビスタビジネス）<br>
 
★ マウス 新品FJ純正マウス（スクロールタイプになります） <br>",ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,１7インチ液晶一体/DVDドライブ/新品マウス。ビスタビジネス搭載　富士通　K5290　C2D 2.53GHz マルチ　1ＧＢ　160ＧＢ　17インチ　【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】[rn]
11-111202,http://tshop.r10s.jp/pchands/cabinet/imgrc0066003421.jpg?fitin=700:700,33680.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL 7010SF Core i5 3470 3.2GHz 大容量メモリ16GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0167AR /USB3.0対応 /中古,デスクトップパソコン（単体）(0167AR),"【商品番号：0167AR】<BR>
中古デスクトップパソコン ●CPU:Core i5 3470(3.2GHz) ●メモリ:大容量16GB<br />
●HDD:500GB ●ドライブ:DVD±R/RW ●OS:Windows10Home 64bit(MRR) <br />
<br />
DELL   7010SF。高性能Core   i5プロセッサ搭載に大容量メモリ16GB、ドライブはDVDマルチドライブ内蔵、CD・DVDの再生から書込みに対応。<br />
<br />
大容量メモリ搭載、メモリが多いことでPCを起動する・ソフトを使う・書類を開くといった作業のすべてにメモリの量が関係しますので快適動作を求めるのに効果ありです。動きが遅いと感じた事がある方にオススメの１台です。<br />
<br />
Windows10がセットアップ済みですから到着後すぐにご利用いただけます。Windows10リカバリメディアも付属しておりますので再セットアッ  プ可能で安心してお使いいただけます。<br>
内蔵スピーカーはありません。

<br>
モニター接続はミニD-sub15ピン/ディスプレイポート×2。<br>
<br>
※北海道・沖縄は+1,080円送料がかかります。<br>
一ヶ月保証。",中古パソコン DELL 7010SF Core i5 3470 3.2GHz 大容量メモリ16GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0167AR /USB3.0対応 /中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL 7010SF Core i5 3470 3.2GHz 大容量メモリ16GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0167AR /USB3.0対応 /中古,デスクトップパソコン（単体）(0167AR)。中古パソコン DELL 7010SF Core i5 3470 3.2GHz 大容量メモリ16GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0167AR /USB3.0対応 /中古[rn]
11-111203,http://tshop.r10s.jp/auc-eplan/cabinet/03001292/03005131/img62482698.jpg?fitin=700:700,7840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,Mate　MY27L/A-A　PentiumDC（DUAL CORE)　2.7GHz 1GB 160GB Windows7 32bit マルチ　１7インチ液晶【中古】【あす楽対応】【あす楽_土曜営業】,Windows7 32bit搭載新型ＣＰＵ,"★ 製品名(型番) MY27L/A-A<br> 
★ 製造元(メーカーHP) NEC <br>
★ 商品構成 本体、17インチ液晶モニタ（白）、電源コード、キーボード、マウス、(マニュアルは付属いたしません) <br>
★ CPU Pentium DC(Dual　コア） 2.7GHz<br> 
★ メモリー 1000MB（+2000円１GB） <br>
★ HDD 160.00GB <br>
★ CD－ROM DVDドライブ（+1980円マルチドライブ）<br>  
★ LAN 1000BASE-T/100BASE-TX/10BASE-T（ギガ対応） 
★ キーボード あり <br>
★ マウス 有り <br>
★ VIDEO　OUT D-SUB/DVI<br> 
★ DtoD 有り <br>
★ ＯＳキー Windows7 Pro 32ビット<br>",Mate　MY27L/A-A　PentiumDC（DUAL CORE)　2.7GHz 1GB 160GB Windows7 32bit マルチ　１7インチ液晶【中古】【あす楽対応】【あす楽_土曜営業】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックMate　MY27L/A-A　PentiumDC（DUAL CORE)　2.7GHz 1GB 160GB Windows7 32bit マルチ　１7インチ液晶【中古】【あす楽対応】【あす楽_土曜営業】,Windows7 32bit搭載新型ＣＰＵ。Mate　MY27L/A-A　PentiumDC（DUAL CORE)　2.7GHz 1GB 160GB Windows7 32bit マルチ　１7インチ液晶【中古】【あす楽対応】【あす楽_土曜営業】[rn]
11-111204,http://tshop.r10s.jp/pchands/cabinet/imgrc0066315640.jpg?fitin=700:700,33680.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL 790MT Core i5 2400 3.1Ghz メモリ4GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /1204AR /中古,64Bit中古パソコン,"【商品番号：1204AR】<BR>
中古 デスクトップパソコン ●CPU： Core i5 2400(3.1GHz) ●メモリ：4GB ●HDD：500GB ●ドライブ：DVD±R/RW ●OS：Windows10 Home 64bit(MRR)<br>
<br>
拡張性の高い、人気のDELL Optiplex 790MT。高性能Core   i5プロセッサ搭載にメモリ4GB、ドライブはDVDマルチドライブ内蔵、CD・DVDの再生から書込みに対応。<br>
<br>
グラフィックボードの増設、ハードディスクを複数接続したい方などにもおすすめです。<br>
<br>
メモリが多いことでPCを起動する・ソフトを使う・書類を開くといった作業のすべてにメモリの量が関係しますので快適動作を求めるのに効果ありです。動きが遅いと感じた事がある方にオススメの1台です。オプションをご利用いただくことで更に快適になると思います。<br>
<br>
正規OS Windows10がセットアップ済みですから到着後すぐにご利用いただけます。正規OS Windows10リカバリメディアも付属しておりますので再セットアップ可能で安心してお使いいただけます。<br>
<br>
<TABLE BORDER=""1"">
  <tr>
    <td align=""center"" colspan=""2"">中古パソコン 製品仕様</td>
  </tr>
  <TR>
    <TD>メーカー型番</TD>
    <TD>DELL Optiplex 790MT</TD>
  </TR>
  <TR>
    <TD>CPU</TD>
    <TD> Core i5 2400(3.1GHz)<br>
      (4コア4スレッド)(第二世代)</TD>
  </TR>
  <TR>
    <TD>メモリー</TD>
    <TD>4GB(DDR3)</TD>
  </TR>
  <TR>
    <TD>光学ドライブ</TD>
    <TD>DVD±R/RW(マルチドライブ)</TD>
  </TR>
  <TR>
    <TD>HDD</TD>
    <TD>500GB(SATA)</TD>
  </TR>
  <TR>
    <TD>LAN</TD>
    <TD>有　( 10/100/1000)</TD>
  </TR>
  <TR>
    <TD>無線LAN</TD>
    <TD>無</TD>
  </TR>
  <TR>
    <TD>内蔵スピーカ</TD>
    <TD>・あり<br>
      3.5mmスピーカー出力/マイク入力</TD>
  </TR>
  <tr>
    <TD>USB2.0</TD>
    <TD>前×4 / 後×6</TD>
  </TR>
  <TR>
    <TD>OS</TD>
    <TD>Windows10 Home 64Bit(正規OS MRR)</TD>
  </TR>
  <TR>
    <TD>グラフィック</TD>
    <TD>プロセッサー内蔵( HD Graphics )</TD>
  </TR>
  <TR>
    <TD>ディスプレイ</TD>
    <TD>モニタなし<br>
      ミニD-Sub15ピン出力/ディスプレイポート</TD>
  </TR>
  <TR>
    <TD>付属品</TD>
    <TD>・Windows10リカバリメディア<br>
      ・電源コード</TD>
  </TR>
</TABLE>
<br><br>
  ※北海道・沖縄は+1,080円送料がかかります。
<br>
一ヶ月保証",中古パソコン DELL 790MT Core i5 2400 3.1Ghz メモリ4GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /1204AR /中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL 790MT Core i5 2400 3.1Ghz メモリ4GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /1204AR /中古,64Bit中古パソコン。中古パソコン DELL 790MT Core i5 2400 3.1Ghz メモリ4GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /1204AR /中古[rn]
11-111205,http://tshop.r10s.jp/auc-eplan/cabinet/03258207/img59860272.jpg?fitin=700:700,15840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　19ワイドTFT SET【送料無料】【税込】,新型ＣＰＵ搭載ＨＤＤ：250ＧＢ,"商品名：ＥＳＰＲＩＭＯ　Ｄ551/Ｄ<br>
メーカー：富士通<br>
ＣＰＵ：I3 3.3GHz<br>
メモリー：２ＧＢ<br>
HDD:250GB<br>
OS:WINDOWS7pro（３２ビット）<br>
有線ＬＡＮ：有り<br>",ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　19ワイドTFT SET【送料無料】【税込】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　19ワイドTFT SET【送料無料】【税込】,新型ＣＰＵ搭載ＨＤＤ：250ＧＢ。ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　19ワイドTFT SET【送料無料】【税込】[rn]
11-111206,http://tshop.r10s.jp/auc-eplan/cabinet/03001292/03001306/05352831/imgrc0095867030.jpg?fitin=700:700,15840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,HP 8200US i5 2.7GHz 4GB 160GB 　WINDOWS7　17インチセット【中古】【送料無料】【あす楽対応】,i 4GB 17インチ　,"★ 製品名(型番) 8200USDT ELITE <br>
★ 製造元(メーカーHP) HP <BR>
★ 商品構成 本体、キーボード（ＨＰ純正）、マウス（ＨＰ純正）、17インチワイド（ＨＰ純正セット）(マニュアルは付属いたしません)<BR> 
★ CPU Core i5-2600s  2.7GHz <BR>
★ メモリー 4000MB（増設済） <br>
★ HDD 160GB （<br>
★ CD－ROM （DVD-RAM）<BR> 
★ 有線LAN あり <br>
★ 無線LAN 無 <br>
★ OS: WINDOWS 7 32ビット<br> 
★ ＤｔｏＤ領域 あり<br> 
★ ＯＳステッカ WINDOWS 7 <br>
★ 本体概観 中古品なりの汚れ、すれ、瑕、日焼け等あり <br>
★ その他 動作確認ソフトでポート、HDD、メモリー等、動作確認済<br>",HP 8200US i5 2.7GHz 4GB 160GB 　WINDOWS7　17インチセット【中古】【送料無料】【あす楽対応】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックHP 8200US i5 2.7GHz 4GB 160GB 　WINDOWS7　17インチセット【中古】【送料無料】【あす楽対応】,i 4GB 17インチ　。HP 8200US i5 2.7GHz 4GB 160GB 　WINDOWS7　17インチセット【中古】【送料無料】【あす楽対応】[rn]
11-111207,http://tshop.r10s.jp/auc-eplan/cabinet/03258207/img59860272.jpg?fitin=700:700,11840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　【送料無料】【税込】,新型ＣＰＵ搭載ＨＤＤ：250ＧＢ,"商品名：ＥＳＰＲＩＭＯ　Ｄ551/Ｄ<br>
メーカー：富士通<br>
ＣＰＵ：I3 3.3GHz<br>
メモリー：２ＧＢ<br>
HDD:250GB<br>
OS:WINDOWS7pro（３２ビット）<br>
有線ＬＡＮ：有り<br>",ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　【送料無料】【税込】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　【送料無料】【税込】,新型ＣＰＵ搭載ＨＤＤ：250ＧＢ。ESPRIMO D551/D 　WINDOWS7　250ＧＢ　i3　3.3ＧＨｚ　2ＧＢ　【送料無料】【税込】[rn]
11-111208,http://tshop.r10s.jp/pchands/cabinet/imgrc0066262787.jpg?fitin=700:700,27280.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ4GB HDD新品1TB DVDマルチ Windows10 Home 64bit MRR /0251AR/中古,64Bit中古パソコン,"【商品番号：0251AR】<BR>
中古 デスクトップパソコン ●CPU： Core i5 2400(3.1GHz) ●メモリ：4GB ●HDD：大容量2TB(2000GB 新品) ●ドライブ：DVD±R/RW ●OS：Windows10 Home 64bit(MRR)<br>
<br>
人気のDELL Optiplex 790SF。高性能Core   i5プロセッサ搭載にメモリ4GB、ドライブはDVDマルチドライブ内蔵、CD・DVDの再生から書込みに対応。<br>
<br>
メモリが多いことでPCを起動する・ソフトを使う・書類を開くといった作業のすべてにメモリの量が関係しますので快適動作を求めるのに効果ありです。動きが遅いと感じた事がある方にオススメの1台です。オプションをご利用いただくことで更に快適になると思います。<br>
<br>
大容量2TB(2000GB 新品)は、たくさんの動画、写真、デ-タをたくさん保存できるので便利。<br>
<br>
Windows10がセットアップ済みですから到着後すぐにご利用いただけます。<br>
Windows10リカバリメディアも付属しておりますので再セットアッ  プ可能で安心してお使いいただけます。<br>
  <br>モニター接続は、D-sub15ピン・ディスプレーポート。<br><br>
  ※北海道・沖縄は+1,080円送料がかかります。
  <br>
一ヶ月保証",中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ4GB HDD新品1TB DVDマルチ Windows10 Home 64bit MRR /0251AR/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ4GB HDD新品1TB DVDマルチ Windows10 Home 64bit MRR /0251AR/中古,64Bit中古パソコン。中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ4GB HDD新品1TB DVDマルチ Windows10 Home 64bit MRR /0251AR/中古[rn]
11-111209,http://tshop.r10s.jp/pchands/cabinet/imgrc0066262770.jpg?fitin=700:700,27280.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ8GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0252AR/中古,64Bit中古パソコン,"【商品番号：0252AR】<BR>
中古 デスクトップパソコン ●CPU： Core i5 2400(3.1GHz) ●メモリ：8GB ●HDD：500GB ●ドライブ：DVD±R/RW ●OS：Windows10 Home 64bit(MRR)<br>
<br>
人気のDELL Optiplex 790SF。高性能Core   i5プロセッサ搭載にメモリ8GB、ドライブはDVDマルチドライブ内蔵、CD・DVDの再生から書込みに対応。<br>
<br>
メモリが多いことでPCを起動する・ソフトを使う・書類を開くといった作業のすべてにメモリの量が関係しますので快適動作を求めるのに効果ありです。動きが遅いと感じた事がある方にオススメの1台です。オプションをご利用いただくことで更に快適になると思います。<br>
<br>
<br>
Windows10がセットアップ済みですから到着後すぐにご利用いただけます。<br>
Windows10リカバリメディアも付属しておりますので再セットアッ  プ可能で安心してお使いいただけます。<br>
  <br>モニター接続は、D-sub15ピン・ディスプレーポート。<br><br>
  ※北海道・沖縄は+1,080円送料がかかります。
  <br>
一ヶ月保証",中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ8GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0252AR/中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ8GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0252AR/中古,64Bit中古パソコン。中古パソコン DELL 790SF Core i5 2400 3.1Ghzメモリ8GB HDD500GB DVDマルチ Windows10 Home 64bit MRR /0252AR/中古[rn]
11-111210,http://tshop.r10s.jp/auc-eplan/cabinet/03001292/03005131/03005141/imgrc0081845966.jpg?fitin=700:700,14240.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,HP 6200Pro i3 3.1GHz 2GB 250GB マルチ　WINDOWS7プロ　モニターセット【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,i3 3.1GHzWindows7,"★ 製品名(型番) 6200プロ <br>
★ 製造元(メーカーHP) HP <BR>
★ 商品構成 本体、ＡＣケーブル、キーボード、マウス、17インチＴＦＴ(マニュアル・ケーブルは付属いたしません)<BR> 
★ CPU Core i3 　3.1GHz <BR>
★ メモリー 2000MB（増設済） <br>
★ HDD 250GB <br>
★ CD－ROM DVDマルチ（ＤＶＤ-ROM）<BR> 
★ 有線LAN あり <br>
★ 無線LAN 無 <br>
★ OS: WINDOWS 7 32ビット<br> 
★ ＤｔｏＤ領域 あり<br> 
★ ＯＳステッカ WINDOWS 7 PRO　32ビット <br>
★ 本体概観 中古品なりの汚れ、すれ、瑕、日焼け等あり <br>
★ その他 動作確認ソフトでポート、HDD、メモリー等、動作確認済<br>",HP 6200Pro i3 3.1GHz 2GB 250GB マルチ　WINDOWS7プロ　モニターセット【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】：EPLAN,中古パソコンＰＣノートパソコンディスクトップ液晶モニタディスカウント激安富士通ＮＥＣＤＥＬＬＨＰ東芝メモリージャンクＨＤＤＭＯドライブ新古品パソコン未使用パソコンパナソニックHP 6200Pro i3 3.1GHz 2GB 250GB マルチ　WINDOWS7プロ　モニターセット【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】,i3 3.1GHzWindows7。HP 6200Pro i3 3.1GHz 2GB 250GB マルチ　WINDOWS7プロ　モニターセット【中古】【送料無料】【あす楽対応】【あす楽_土曜営業】[rn]
11-111211,http://tshop.r10s.jp/pchands/cabinet/imgrc0066316035.jpg?fitin=700:700,54480.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン DELL 790MT Core i5 2400(3.1Ghz) メモリ8GB SSD(新品)240GB +HDD(新品)1TB DVDマルチ Windows10 Home 64bit 正規OS MRR /1209AR /中古,64Bit中古パソコン,"【商品番号：1209AR】
<br>
中古 デスクトップパソコン ●CPU： Core i5 2400(3.1GHz) ●メモリ：8GB ●SSD240GB(新品)+HDD1TB(新品)　 ●ドライブ：DVD±R/RW ●OS：Windows10 Home 64bit(MRR)<br>
<br>
拡張性の高い、人気のDELL Optiplex 790MT。高性能Core   i5プロセッサ搭載にメモリ8GB、ドライブはDVDマルチドライブ内蔵、CD・DVDの再生から書込みに対応。<br>
<br>
SSDは静かで「アプリケ-ションの動作・ファイル作業・起動が快適にサクサク動きます。更に大容量1TB(1000GB 新品)は、たくさんの動画、写真、デ-タを保存できるのでとても便利。<br>
<br>
グラフィックボードの増設することで複数モニターの接続やオンラインゲームなどにも対応します。<br>
<br>
メモリが多いことでPCを起動する・ソフトを使う・書類を開くといった作業のすべてにメモリの量が関係しますので快適動作を求めるのに効果ありです。動きが遅いと感じた事がある方にオススメの1台です。オプションをご利用いただくことで更に快適になると思います。<br>
<br>
正規OS Windows10がセットアップ済みですから到着後すぐにご利用いただけます。正規OS Windows10リカバリメディアも付属しておりますので再セットアップ可能で安心してお使いいただけます。<br>
<br>
<TABLE BORDER=""1"">
  <tr>
    <td align=""center"" colspan=""2"">中古パソコン 製品仕様</td>
  </tr>
  <TR>
    <TD>メーカー型番</TD>
    <TD>DELL Optiplex 790MT</TD>
  </TR>
  <TR>
    <TD>CPU</TD>
    <TD> Core i5 2400(3.1GHz)<br>
      (4コア4スレッド)(第二世代)</TD>
  </TR>
  <TR>
    <TD>メモリー</TD>
    <TD>8GB(DDR3)</TD>
  </TR>
  <TR>
    <TD>光学ドライブ</TD>
    <TD>DVD±R/RW(マルチドライブ)</TD>
  </TR>
  <TR>
    <TD>HDD</TD>
    <TD>SSD240GB(新品)+HDD1TB(新品)</TD>
  </TR>
  <TR>
    <TD>LAN</TD>
    <TD>有　( 10/100/1000)</TD>
  </TR>
  <TR>
    <TD>無線LAN</TD>
    <TD>無</TD>
  </TR>
  <TR>
    <TD>内蔵スピーカ</TD>
    <TD>・あり<br>
      3.5mmスピーカー出力/マイク入力</TD>
  </TR>
  <tr>
    <TD>USB2.0</TD>
    <TD>前×4 / 後×6</TD>
  </TR>
  <TR>
    <TD>OS</TD>
    <TD>Windows10 Home 64Bit(正規OS MRR)</TD>
  </TR>
  <TR>
    <TD>グラフィック</TD>
    <TD>プロセッサー内蔵( HD Graphics )</TD>
  </TR>
  <TR>
    <TD>ディスプレイ</TD>
    <TD>モニタなし<br>
      ミニD-Sub15ピン出力/ディスプレイポート</TD>
  </TR>
  <TR>
    <TD>付属品</TD>
    <TD>・Windows10リカバリメディア<br>
      ・電源コード</TD>
  </TR>
</TABLE>
 <br>
 ※北海道・沖縄は+1,080円送料がかかります。<br> 
一ヶ月保証",中古パソコン DELL 790MT Core i5 2400(3.1Ghz) メモリ8GB SSD(新品)240GB +HDD(新品)1TB DVDマルチ Windows10 Home 64bit 正規OS MRR /1209AR /中古：中古パソコン PCshophands,中古パソコン 　ショップ　おすすめゲーミングパソコン　オンラインゲーム　　マインクラフト　フライトシュミレーター中古パソコン デスクトップ windows10中古パソコン デスクトップ windows7 64bit中古パソコン デスクトップ 価格中古パソコン　中古パソコン販売 大阪デュアルモニタ　2画面マルチモニタ　3画面　4画面HDMI　GeforceGTX中古パソコン windows10 アップグレード中古パソコン ノート windows7中古パソコン ノート 激安中古パソコン ノート i5中古パソコン デスクトップ core i3中古パソコン デスクトップ core i5中古パソコン デスクトップ core i7中古パソコン デスクトップ 富士通中古パソコン デスクトップ dell中古パソコン デスクトップ 東芝中古パソコン DELL 790MT Core i5 2400(3.1Ghz) メモリ8GB SSD(新品)240GB +HDD(新品)1TB DVDマルチ Windows10 Home 64bit 正規OS MRR /1209AR /中古,64Bit中古パソコン。中古パソコン DELL 790MT Core i5 2400(3.1Ghz) メモリ8GB SSD(新品)240GB +HDD(新品)1TB DVDマルチ Windows10 Home 64bit 正規OS MRR /1209AR /中古[rn]
