16-125201,http://tshop.r10s.jp/auc-ulmax/cabinet/hal01/im_ultramini32_1.jpg?fitin=700:700,1264.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBメモリ 32GB USBメモリー 小型 おしゃれ & かわいい 【 送料無料 】|1402NAZM^,USBメモリ 32GB ★☆この商品はメール便・送料無料☆★,"<img src=""http://image.rakuten.co.jp/auc-ulmax/cabinet/hk07/ultramini102_00.jpg"" width=""100%""><br><br>
USBフラッシュメモリ&nbsp;32GB USB2.0 <br>
小型で軽量ボディ<br>
ストラップホール付き<br>
Windows 8 / 7 / VISTA / XP / 2000 / Mac OS X 以上 <br>
外形寸法：23 x 14 x 6 mm<br>
重量：10 g<br>",USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^：ウルマックスジャパン,プリンターインクインク福袋インクカートリッジエプソンキャノン互換インクIC6CL50BCI-326+325/6MPブラザーICチップUSBメモリ携帯電話PYK-02液晶保護フィルムパソコンバッグスマホiPhone6日用品ワイヤレスマウス激安USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^,USBメモリ 32GB ★☆この商品はメール便・送料無料☆★。USBメモリ 32GB USBメモリー 小型 おしゃれ &amp; かわいい 【 送料無料 】|1402NAZM^[rn]
16-125202,http://tshop.r10s.jp/mamababy/cabinet/daishin/9121464-1.jpg?fitin=700:700,3058.4000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,ソニーＵＳＢメモリー高速モデル【D】　USM8GLX WA 8GB【RCP】,店内一部商品ポイントUP☆最大10倍！,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""><b>--人気急上昇アイテム--</b></center></font><iframe src=""http://www.rakuten.ne.jp/gold/mamababy/cart.html"" width=""100%"" height=""400"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><br><!--▲カゴ下バナー-->
≪概要≫<br>USB端子に直接接続するだけで自動認識されるUSBメモリーです。<br>USB端子はほとんどのコンピューターに標準装備されていますので、使い方はとてもかんたんです。<br>リーダー・ライターなどは必要としません。<br>電源はUSBから供給されるので、ACアダプターも不要です。<br><br>≪仕様≫<br>●分類：USBメモリー<br>●インターフェース：Hi-Speed USB（USB2.0）<br>●ポートタイプ：AタイプUSB2.0<br>●電源：USBバスパワー（外部電源なし）<br>●最大転送速度：読み出し 31MB/秒<br>●対応OS（自動認識）：Windows/7、Vista、XP、2000 Professional，Mac/OS 9.0x、9.1x、9.2x、Mac OSX10.1-10.6<br>●容量：8GB（※実際にご使用いただけるユーザー領域とシステム領域があるため、表示されている容量より小さくなります。）<br>●外装色：WA（パールホワイト）
<br>●動作温度：0-35℃<br>●動作湿度：10-90％（結露なきこと）<br>●保存温度：-20-60℃<br>●保存湿度：10-90％（結露なきこと）<br>●サイズ（約）：幅1.5×奥行6.42×高さ0.84cm<br>●質量：約9g<br>●セット内容：本体、取扱説明書<br><br>※各社および商品名は各社の商標または登録商標です。",ソニーＵＳＢメモリー高速モデル【D】　USM8GLX WA 8GB【RCP】：子育てママの店　ベビー・キッズ,キッズチェストベビー子供おもちゃ収納子供部屋収納おむつディズニーベビーカーチャイルドシート出産ベビーギフトキッズこどもベビーチェアベビートイレキッズルーム歩行器物干しミルクソニーＵＳＢメモリー高速モデル【D】　USM8GLX WA 8GB【RCP】,店内一部商品ポイントUP☆最大10倍！。ソニーＵＳＢメモリー高速モデル【D】　USM8GLX WA 8GB【RCP】[rn]
16-125203,http://tshop.r10s.jp/mamababy/cabinet/kaden/9850417.jpg?fitin=700:700,492.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBメモリ「ピコドライブ・N」GH-UFD1GN1GB【TC】【RCP】,店内一部商品ポイントUP☆最大10倍！,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""><b>--人気急上昇アイテム--</b></center></font><iframe src=""http://www.rakuten.ne.jp/gold/mamababy/cart.html"" width=""100%"" height=""400"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><br><!--▲カゴ下バナー-->
●コストパフォーマンスを追及したUSBメモリ●紛失による情報漏洩からデータを守る、パスワードロック機能搭載●あらゆるWebからの脅威に徹底的に対抗する高性能セキュリティソフト同梱！●デジカメ画像、デジタルミュージック、何でもカンタン保存●「Compatible with Windows 7」ロゴ取得認定済製品●USBポートに直接差し込むだけの簡単接続で、ドライバインストールが不要です。■商品サイズ（約）:幅5.41×奥行き1.8×高さ0.81cm■重量:7.5g■容量:1GB■対応機種:PC/AT互換機(DOS/V)、NEC PC98-NXシリーズ・Apple PowerPC G3以降搭載のMacintosh※USBインターフェース搭載■対応OS:Windows 7 / Vista / XP(SP2以降/32bit) / 2000(SP4) / Mac OS X(10.4以降)★容量ちがいはこちら★
2GB・4GB・8GB・16GB・
32GB",USBメモリ「ピコドライブ・N」GH-UFD1GN1GB【TC】【RCP】：子育てママの店　ベビー・キッズ,キッズチェストベビー子供おもちゃ収納子供部屋収納おむつディズニーベビーカーチャイルドシート出産ベビーギフトキッズこどもベビーチェアベビートイレキッズルーム歩行器物干しミルクUSBメモリ「ピコドライブ・N」GH-UFD1GN1GB【TC】【RCP】,店内一部商品ポイントUP☆最大10倍！。USBメモリ「ピコドライブ・N」GH-UFD1GN1GB【TC】【RCP】[rn]
16-125204,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya14/9140674-e.jpg?fitin=700:700,1440.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】,【全国どこでも送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















ハート形USBメモリー！！<br>
きらきら輝くクリスタルモデルと、ピンクラインストーンがちりばめられたラインストーンモデルの2種類のラインナップをご用意しました。かわいいデコレーションUSBメモリーなので、かばんやケータイに付ければアクセサリ感覚で持ち運べます。<br>
・記念日などのプレゼントに最適<br>
本体とキャップはハートが左右のパーツに分かれ、磁石でぴったりと吸着しています。きれいなハートの形のUSBメモリーは、誕生日や記念日のプレゼントにも最適です。<br>
・パソコンのUSBポートに直接差し込むだけの簡単接続<br>
パソコンのUSBポートに直接差し込むだけの簡単接続で、自動に認識します。めんどうなドライバインストールの手間はいりません。<br>
・かわいいながら実力派<br>
メモリーの容量は4GBで、デジカメ写真約896枚※、または音楽データ約1024曲分(CD64枚分)※のデータを保存できてパソコンでやりとりできる、とても実用的なパソコン用グッズです。<br>
※写真枚数は、1000万画素カメラを使用した場合、1曲は4分間、MP3に128kbpsでエンコードした場合<br>
<br>●商品サイズ(cm)：幅約4.1×奥行約3.72×高さ約1.58<br>
●重量(g)：約42<br>
●容量：4GB<br>
●USB規格：USB2.0/1.1<br>
●データ転送速度：最大480Mbps（理論値）<br>
●消費電流：150mA以下<br>
●付属品：ストラップ、取扱説明書/1年間保証書<br>
<font size=""-1""><br><br>◇◆おすすめ商品◆◇<br>★USBフラッシュメモリ ハート型 4GB クリスタル GH-UFD4GHTMC 【GH】【TC】<br>
★USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】<br>
★USBフラッシュメモリ ギター型 4GB GH-UFD4GGT 【GH】【TC】<br>
★USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】<br>
★USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】<br>
★USBフラッシュメモリ デジタル一眼レフ型 4GB GH-UFD4GSLR 【GH】【TC】<br>
★USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】<br>
</font>",USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】,【全国どこでも送料無料】。USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】[rn]
16-125205,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya14/9851363-e.jpg?fitin=700:700,1280.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】,【全国どこでも送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















キューブをひねると端子が飛び出す、キューブ形のUSBメモリー<br>
根元のキューブをひねるとUSB端子が飛び出す仕組みの、ルービックファンにはたまらないキューブ形のUSBメモリーです。<br>
・デジカメ画像、デジタルミュージック、何でもカンタンに保存<br>
デジカメ画像、音楽データ、なんでも簡単に保存できます。オフィスで作ったデータや、学校での宿題を持ち帰る、Macで作成したデータをWindowsに移動するなど、様々なシーンで使用できます。メールでは重くて送ることができない、デジカメ画像や動画、音楽データなどの受け渡しにも便利です。<br>
・パソコンのUSBポートに直接差し込むだけの簡単接続<br>
パソコンのUSBポートに直接差し込むだけの簡単接続で、自動に認識します。めんどうなドライバインストールの手間はいりません。<br>
・メモリー容量4GB<br>
メモリーの容量は4GBで、デジカメ写真約896枚※、または音楽データ約1024曲分(CD64枚分)※のデータを保存できてパソコンでやりとりできる、とても実用的なパソコン用グッズです。<br>
写真枚数は、1000万画素カメラを使用した場合、1曲は4分間、MP3に128kbpsでエンコードした場合<br>
<br>●商品サイズ(cm)：幅約6.18×奥行約2.07×高さ2.07<br>
●重量(g)：17.5<br>
●容量：4GB<br>
●USB規格：USB2.0/1.1<br>
●データ転送速度：最大480Mbps（理論値）<br>
●消費電流：150mA以下<br>
●付属品：取扱説明書/1年間保証書",USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】,【全国どこでも送料無料】。USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】[rn]
16-125206,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya14/9140676-e.jpg?fitin=700:700,1440.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】,【全国どこでも送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















ロボット好きにはたまらない、ロボット形USBメモリー☆<br>
メタルボディーで重厚なのにどこかかわいいUSBメモリーです。キーホルダーなどにつけて気軽に持ち運べます。<br>
・ロボットがキャップ紛失を防ぐ！キャップ一体設計<br>
ヘルメット(キャップ)を、ロボットが常に両手で持っているので、どこへ持ち歩いてもキャップを紛失する心配はありません。<br>
・デジカメ画像、デジタルミュージック、何でもカンタンに保存<br>
デジカメ画像、音楽データ、なんでも簡単に保存できます。オフィスで作ったデータや、学校での宿題を持ち帰る、Macで作成したデータをWindowsに移動するなど、様々なシーンで使用できます。メールでは重くて送ることができない、デジカメ画像や動画、音楽データなどの受け渡しにも便利です。<br>
・パソコンのUSBポートに直接差し込むだけの簡単接続<br>
パソコンのUSBポートに直接差し込むだけの簡単接続で、自動に認識します。めんどうなドライバインストールの手間はいりません。<br>
・かわいいながら実力派<br>
メモリーの容量は4GBで、デジカメ写真約896枚※、または音楽データ約1024曲分(CD64枚分)※のデータを保存できてパソコンでやりとりできる、とても実用的なパソコン用グッズです。<br>
※写真枚数は、1000万画素カメラを使用した場合、1曲は4分間、MP3に128kbpsでエンコードした場合<br>
<br>●商品サイズ(cm)：幅約：7.48×奥行約55.6×高さ約13.9<br>
●重量(g)：約60.5<br>
●容量：4GB<br>
●USB規格：USB2.0/1.1<br>
●データ転送速度：最大480Mbps（理論値）<br>
●消費電流：150mA以下<br>
●付属品：取扱説明書/1年間保証書<br><font size=""-1""><br><br>◇◆おすすめ商品◆◇<br>★USBフラッシュメモリ ハート型 4GB クリスタル GH-UFD4GHTMC 【GH】【TC】<br>
★USBフラッシュメモリ ハート型 4GB ラインストーン GH-UFD4GHTMR 【GH】【TC】<br>
★USBフラッシュメモリ ギター型 4GB GH-UFD4GGT 【GH】【TC】<br>
★USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】<br>
★USBフラッシュメモリ キューブ型 4GB GH-UFD4GRBC 【GH】【TC】<br>
★USBフラッシュメモリ デジタル一眼レフ型 4GB GH-UFD4GSLR 【GH】【TC】<br>
★USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】<br>
</font>",USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】,【全国どこでも送料無料】。USBフラッシュメモリ ロボット型 4GB GH-UFD4GRBT 【GH】【TC】[rn]
16-125207,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya14/9140678-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】,【100円クーポン有】【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















少しリアルでちょっと大きめな親指形USBメモリー！<br>
パソコンから飛び出た姿が象徴的な親指形のUSBメモリーです。<br>
・デジカメ画像、デジタルミュージック、何でもカンタンに保存<br>
オフィスで作ったデータを自宅に持ち帰る、Macで作成したデータをWindowsに移動するなど様々な使い方ができます。デジカメ画像、デジタルミュージックはもちろん、エクセルやワード等の仕事のデータもカンタンに保存ができます。<br>
・USBポートに直接差し込むだけの簡単接続<br>
USBポートに直接差し込むだけの簡単接続で、ドライバインストールが不要です。<br>
・メモリー容量は4GB<br>
4GBの中にはデジカメ写真約896枚※、または音楽データ約1024曲分(CD64枚分)※のデータを保存できます。<br>
※写真枚数は、1000万画素カメラを使用した場合、1曲は4分間、MP3に128kbpsでエンコードした場合<br>
<br>●商品サイズ(cm)：幅約2.36×奥行約2.56×高さ6.1<br>
●重量(g)：19.2<br>
●容量：4GB<br>
●USB規格：USB2.0<br>
●データ転送速度：最大480Mbps（理論値）<br>
●消費電流：150mA以下<br>
●付属品：取扱説明書/1年間保証書<br>",USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】,【100円クーポン有】【税込3990円以上で送料無料】。USBフラッシュメモリ 親指型 4GB GH-UFD4GYUBI 【GH】【TC】[rn]
16-125208,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_092/4981254026595_ll.jpg?fitin=700:700,3184.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,BUFFALO USB3．0対応 USBメモリー バリューモデル(64GB) ブラック RUF3-K64GA-BK [RUF3K64GABK]【KK9N0D18P】【NYOA】,,□商品説明<br>●小型・軽量。持ち運びに最適なシンプルデザイン。<br>●USB3.0接続はもちろん、USB2.0接続でも快適。大容量データも快適に扱える高速転送。<br>●デバイス制御機能搭載。対応ソフトウェア。<br>●Windows 10対応。<br>□商品仕様<br>●容量:64GB<br>【対応機種】<br>●対応するパソコン:USBインターフェース搭載のWindowsパソコン、Mac※USBポート非搭載パソコンは、バッファロー社製増設用インターフェースをご利用ください。<br>●対応するデジタル家電:USBインターフェースを搭載するデジタル家電(USBマスストレージクラス対応)<br>●対応OS:Windows RT8.1 / RT / 8.1(32/64) / 8(32/64) / 7(32/64) / Vista(32/64) / XP、Mac OS 10.9 / 10.8 / 10.7 / 10.6 / 10.5 / 10.4(Windows RT8.1/RT、Mac OS 10.6 / 10.5 / 10.4はUSB2.0接続のみ)<br>【USB部】<br>●インターフェース:USB3.0/2.0<br>●ポート数:1ポート<br>●コネクター形状:USB Aソケット<br>【その他仕様】<br>●RoHS指令準拠:対応<br>●LED部:LED色/青色、アクセス時/点滅、アイドル時/消灯<br>●電源:USBバスパワー<br>●定格電圧:5.0V±5%<br>●最大消費電力:2.5W<br>●動作保証環境:温度0～40℃、湿度20～80% ※結露なきこと<br>●外形寸法:W2.0×H0.9×D5.5cm ※本体のみ(突起部除く)<br>●質量:約10g<br>●主な付属品:ご利用の手引き,BUFFALO USB3．0対応 USBメモリー バリューモデル(64GB) ブラック RUF3-K64GA-BK [RUF3K64GABK]【KK9N0D18P】【NYOA】：エディオン　楽天市場店,BUFFALO USB3．0対応 USBメモリー バリューモデル(64GB) ブラック RUF3-K64GA-BK [RUF3K64GABK]【KK9N0D18P】【NYOA】,BUFFALO USB3．0対応 USBメモリー バリューモデル(64GB) ブラック RUF3-K64GA-BK [RUF3K64GABK]【KK9N0D18P】【NYOA】[rn]
16-125209,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_092/4981254019290_ll.jpg?fitin=700:700,11244.8000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】BUFFALO USBフラッシュメモリ(4GB) RUF3-HS8GTV [RUF3HS8GTV]【KK9N0D18P】,,□商品説明<br>●Trend Micro USB Security 搭載。USBメモリーを介したウィルス感染により被害を防ぐ。<br>●管理ソフトウェア(別売)に対応。企業オリジナルのせキュリティー設定が簡単に実現。<br>●高速転送を実現。大容量データも快適実えるUSB3.0。<br>●不正なアクセスからデータを守る。堅牢な強制暗号化機能搭載。<br>●よく使うパソコンを登録できる。パスワード入力を省略できる自動パスポート認証機能。<br>□商品仕様<br>●記憶容量:8GB<br>●対応機種:USB 3.0 / 2.0端子を搭載するWindowsパソコン<br>●対応OS:Windows 8.1(64bit/32bit)/8(64bit/32bit)/7 SP1(64bit/32bit)/Vista SP2(64bit/32bit)/XP SP3(32bit)、Server 2012R2/2012/2008R2/2008<br>●インターフェース:USB3.0/2.0<br>●ポート:USB Aソケット<br>●転送速度:USB3.0/最大5Gbps(規格値)、USB2.0/最大480Mbps(規格値)<br>●セキュリティー:暗号化方式/AES 256bit(ハードウェア方式)<br>●注意事項:実際にご使用いただける容量(ユーザー領域)は、システム領域やソフトウェアが添付されているため表示される容量より小さくなります。<br>●LED部:LED色/緑、アクセス時/点滅、アイドル時/消灯<br>●電源:USBバスパワー<br>●定格電圧:5.0V±5% (DC 5 V )<br>●最大消費電力:2.5W<br>●動作環境:温度 0～40℃、湿度 10～85% ※結露なきこと<br>●外形寸法:W2.1×H0.9×D5.5cm ※本体のみ(突起部除く)<br>●質量:約10g<br>●Trend Micro USB Securityライセンス期間:1年<br>●ウィルスパターン更新可能期間:1年(365日、延長可能)<br>●保証期間:1年<br>●RoHS指令準拠:対応<br>●主な付属品:取扱説明書 ※保証書は取扱説明書に記載,【送料無料】BUFFALO USBフラッシュメモリ(4GB) RUF3-HS8GTV [RUF3HS8GTV]【KK9N0D18P】：エディオン　楽天市場店,【送料無料】BUFFALO USBフラッシュメモリ(4GB) RUF3-HS8GTV [RUF3HS8GTV]【KK9N0D18P】,【送料無料】BUFFALO USBフラッシュメモリ(4GB) RUF3-HS8GTV [RUF3HS8GTV]【KK9N0D18P】[rn]
16-125210,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_069/4957180113913_ll.jpg?fitin=700:700,17193.6000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,【送料無料】I/Oデータ USBフラッシュメモリ(16GB) ED-SV4/16G3 [EDSV416G3]【KK9N0D18P】,,□商品説明<br>●本商品は、管理者用ソフトウェア対応および、アンチウイルス機能を備えたUSBメモリーです。強固なセキュリティ性能により万一の盗難や紛失時のデータ流出を防ぎ、ウイルス対策も自動で行えます。また、管理者用ソフトウェア「SUManager4(別売)」を使用も可能です。<br>●トレンドマイクロ社製アンチウイルスソフト「Trend Micro USB Security(TM)(TMUSB)」をUSBメモリー内に搭載。ウイルスを発見した場合は自動的に隔離し、削除等の処理、要不要の選択が可能。スキャンは自動で行われるので、ユーザーは特別な操作を必要としません。<br>●パスワードロック「SUGate4」搭載。パスワードを入力してログインするまではデータ保存領域へアクセスできないため、盗難や紛失時にも内部データを読みとられる可能性は最小です。また、書込み禁止状態でログインを行うこともできます。<br>●各種設定が可能な管理者ソフト「SUManager4」(別売)に対応。パスワードの詳細変更(最小文字数、有効期限など)や利用環境制限(許可したPCでのみ利用可)などの設定が可能。操作ログの閲覧、パスワード入力不可となった本商品の状態復旧などの機能も実装しています。<br>□商品仕様<br>●容量:16GB<br>【対応機種】<br>●対応機種:Windowsパソコン、Mac(※プログラム、ウイルスパターンファイルの更新にはインターネット接続環境が必要です。<br>●対応機種に関する制限:※パソコン本体のUSBポート周辺の形状により本商品を直接接続できない場合は、市販のUSB延長ケーブルをご利用ください。 ※USBメモリーなど、外部記憶媒体へのアクセス時に暗号化処理等を強制的に施すソフトウェア環境下では、本商品は正常に動作できません(最悪の場合故障の恐れがあります)。<br>●対応OS(日本語版のみ):Windows 8.1(32・64ビット)/Windows 8(32・64ビット)/Windows 7(32・64ビット)/Windows Server 2008※1/Windows Server 2008 R2※1/Windows Server 2012/Windows Server 2012 R2、Mac OS X 10.7～10.9※2<br>●※1:Itanium版プロセッサーは非対応。<br>●※2:管理ソフトで「ウイルスチェック」機能を無効にするか、「MacOS ログイン許可」を有効にする必要があります。<br>【基本仕様】<br>●動作環境:空き容量/Trend Micro USB Security&trade;アップデートファイル保存用に本商品に256MBの空きが必要です。<br>●インターフェイス:USB 3.0/2.0<br>●電源:5V(USBバスパワーにて供給)<br>●消費電流(最大):400mA<br>●使用温度範囲:0～45℃<br>●使用湿度範囲:10～90% ※ 結露なきこと<br>●外形寸法:W2.35×H0.8×D5.86cm<br>●質量:約10g<br>●サポートサービス/ハードウェア保証期間:3年間<br>●各種取得規格:VCCI Class B、CE、FCC<br>●その他:RoHS指令準拠,【送料無料】I/Oデータ USBフラッシュメモリ(16GB) ED-SV4/16G3 [EDSV416G3]【KK9N0D18P】：エディオン　楽天市場店,【送料無料】I/Oデータ USBフラッシュメモリ(16GB) ED-SV4/16G3 [EDSV416G3]【KK9N0D18P】,【送料無料】I/Oデータ USBフラッシュメモリ(16GB) ED-SV4/16G3 [EDSV416G3]【KK9N0D18P】[rn]
16-125211,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_048/4905524896312_ll.jpg?fitin=700:700,2056.0000,,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,SONY USBメモリー(16GB) ホワイト USM16GU W [USM16GUW]【KK9N0D18P】,,□商品説明<br>●規格USB3.0に対応。高画質動画等の大容量データをより快適にご使用いただけます。<br>●明るく、全方向からより見やすいワイドアクセスLED搭載!<br>●ワンプッシュでUSBポートにかんたん接続。「ノックスライド機構」を採用! <br>●強力なファイル暗号化ソフト「LBファイルロック2」で情報漏えい対策。<br>●USBに差し込むだけの自動認識。2つの便利なソフトウエアのダウンロードが可能。<br>□商品仕様<br>●インターフェース:SuperSpeed USB (USB3.0)<br>●ポートタイプ:タイプA USBポート<br>●電源:USBバスパワー(外部電源なし)<br>●対応機種:タイプA USBインターフェースを標準搭載したWindowsコンピューター、タイプA USBインターフェースを標準搭載したMacintosh<br>●対応OS(自動認識):Windows 7/Vista/XP (SP3以降)、Mac OS 10.4以降<br>●Windows ReadyBoost:非対応<br>●バンドルソフトウエア:ファイル暗号化ソフト「LBファイルロック2」<br>●ダウンロード対応ソフトウエア:データ復旧ソフト「メモリーカード ファイルレスキュー」、ビデオクリップ自動作成ソフト「x-Pict Story」<br>●ソフトウェア対応OS:LBファイルロック2:Windows 7、Windows VistaおよびWindows XP(SP3以降)<br>●外形寸法:約W1.88×H0.89×D5.86cm<br>●質量:約9g<br>●セット内容:本体・取扱説明書,SONY USBメモリー(16GB) ホワイト USM16GU W [USM16GUW]【KK9N0D18P】：エディオン　楽天市場店,SONY USBメモリー(16GB) ホワイト USM16GU W [USM16GUW]【KK9N0D18P】,SONY USBメモリー(16GB) ホワイト USM16GU W [USM16GUW]【KK9N0D18P】[rn]
