16-131301,http://tshop.r10s.jp/kokoroes/cabinet/mbimg/422/42200009_m_1.jpg?fitin=700:700,51969.6000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【お薦めの逸品】【ITALY】テレビボード 幅110cm イタリア 家具 ヨーロピアン テレビ台TV台,イタリア家具タンスキャビネットチェスト,"<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062844000.jpg"" border=""0"" alt=""送料表""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/01751168/imgrc0062851526.jpg"" border=""0"" alt=""注意事項""><br><br><img src=""http://image.rakuten.co.jp/kokoroes/cabinet/mbimg/422/42200009_sp01.jpg"" width=""100%"" alt=""イタリア家具、インテリア、リビング、収納、送料無料""><br>
<img src=""http://image.rakuten.co.jp/kokoroes/cabinet/mbimg/422/42200009_sp02.jpg"" width=""100%"" alt=""イタリア家具、インテリア、リビング、収納、送料無料""><br>
<table width=""100%"">
<tr>
<td bgcolor=""#ffcc00""><b>ご注意</b></td>
</tr>
</table>
<b>製品の特徴</b><br>
・天然素材を使用し、1品1品手作業で行っているため色や柄の趣が異なります。<br>
・製作工程上、タッカーを使用しております。タッカーの小さな穴が残る場合がございます。<br>
<b>ご購入後</b><br>
・常に新しい商品をお届けしておりますので、まれに開梱後、接着剤などのにおいが残っていることがあります。その場合は、大変お手数ですが軽く水拭きした後、出来るだけ早くから拭きし、においが弱くなってからお使いください。<br>
<b>使用上の注意</b><br>
・直射日光や熱、冷暖房の強風などが直接当たらないようにしてください。変色や家具のゆがみの原因になることがあります。<br>
・家具は水平を保つように置いてください。<br>
・加熱したナベなどを天板に直接置かず、ナベ敷きなどをご使用ください。<br>
・天板に新聞や雑誌の印刷面を長時間放置すると、インクが写ったり、紙面がはがれにくくなることがあります。<br>
・天板の上で直接物を切ったり、字を書いたりしないでください。キズがついたり、あとが残る原因となります。<br>
・天板をビニールで長時間覆って使用すると塗料が変色したり、剥がれる場合があります。<br>
・天板の上に立ったり、踏み台代わりに使用しないでください。<br>
<b>普段のお手入れ</b><br>
・普段のお手入れは乾いた布で拭く程度で充分です。<br>
・油汚れがついた場合は、薄めた中性洗剤を浸した布で拭き、すぐにから拭きしてください。<br>
・シンナー、ベンゼン、漂白剤などを使用しますと、色落ちをする場合がありますので、これらの使用はお避けください。<br>
・水分をつけたままにしておくとシミになる可能性がありますので、すぐにふき取るようにしてください。<br>
<hr>
<b>【仕様】</b><br>
天板：ビーチ天然木化粧繊維板<br>
引出前板：ビーチ天然木化粧合板<br>
脚部：ビーチ天然木<br>
<br>
<b>【サイズ】</b><br>
幅110.5x奥行36x高さ42cm<br>
取っ手含まず本体奥行き：35.8cm<br>
オープン部内寸：幅51ｘ奥行32（最大34.5）ｘ高さ17.5cm<br>
脚の高さ：5.3cm<br>
配線コード穴：φ6cmｘ2ヶ<br>
引出し内寸：幅48.5x奥行27（最大：30）x高さ12cm<br>
重量：約19.5kg<br>
<br>
<br>
※沖縄・一部離島は別途送料がかかります。お見積もりいたしますのでお問い合わせ下さい。<br>
※商品写真の色味は、ご使用の端末の設定等により実際のものと異なってしまう場合があります。予めご了承の程、お願い申し上げます。<br><br><font color=""red""><b>【在庫や納期について】</b></font><br><br><b>≪在庫状況≫</b><br>当店在庫は当店系列他店や実店舗などで共有しており、また、メーカー直送によるためのメーカー在庫品の商品があるため、ご注文のタイミングや情報変更処理等の影響により在庫が無い状態やお取り寄せが必要になる場合があります。<br>また、万が一欠品等で商品をご用意できない場合は大変不本意ではありますが、ご注文を一旦キャンセルさせていただく事がございます。予めご了承ください。<br><br><b>≪納期状況≫</b><br>商品ページ記載の納期情報はあくまでも「通常目安」であり確定されたものではありません。お急ぎの場合や厳格な日時指定をご希望の場合は、必ず事前にお問い合わせいただきますようお願いいたします。<br><br>",【お薦めの逸品】【ITALY】テレビボード 幅110cm イタリア 家具 ヨーロピアン テレビ台TV台：癒しのヴェルサイユ宮殿,6畳用 8畳用 10畳用 12畳用 6帖用 8帖用 10帖用 12帖用LED シャンデリア chandelier照明 天井照明 ライト ランプ シーリング家具 猫足輸入家具ガーデン用品インテリアロココロココ調時計壁掛け時計両面時計壁掛け両面時計インテリア雑貨イタリア製イギリス製フランス製ポルトガル製傘立てchandelier【お薦めの逸品】【ITALY】テレビボード 幅110cm イタリア 家具 ヨーロピアン テレビ台TV台,イタリア家具タンスキャビネットチェスト。【お薦めの逸品】【ITALY】テレビボード 幅110cm イタリア 家具 ヨーロピアン テレビ台TV台[rn]
16-131302,http://tshop.r10s.jp/b-casa-inte/cabinet/ntc24/b137-001-017.jpg?fitin=700:700,68000.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,ikpTVボード1500(TVBOARD) IKP(イカピー) 古材収納家具 送料無料 デザインインテリア,杉古材TVボード西海岸テイストカフェスタイルインテリア,"ikpTVボード1500(TVBOARD) IKP(イカピー) 古材収納家具 送料無料<br><br>

ikpTVボード1500は長年建築現場で使われてきた杉板を再利用したビンテージ感漂うダイニングテーブルです。経年変化によって新品の材料には無いユーズド感、レトロ感、シャビー感を持ち合わせており、昔なつかしい温かみある雰囲気を演出します。現場で使われていた材料のためペンキやサビあと、キズがありますがあえてそのままの状態を表現することにより今までに無い古材家具を生み出しています。

<br><br>■サイズ：W1500×D420×H400 mm
<br>■材質：杉古材、アイアン
<br>■納期：5日から10日程度
<br>■送料：無料※一部地域を除く",ikpTVボード1500(TVBOARD) IKP(イカピー) 古材収納家具 送料無料 デザインインテリア：B-CASA,ikpTVボード1500(TVBOARD) IKP(イカピー) 古材収納家具 送料無料 デザインインテリア,杉古材TVボード西海岸テイストカフェスタイルインテリア。ikpTVボード1500(TVBOARD) IKP(イカピー) 古材収納家具 送料無料 デザインインテリア[rn]
16-131303,http://tshop.r10s.jp/ainekusu/cabinet/sst01/pr-tv1130brn_1.jpg?fitin=700:700,9440.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,天然木製テレビラック（ローラック）【送料無料　簡単組立　テレビボード　アンティーク　モダン　ナチュラル　ミッドセンチュリー　ウッド　スタイリッシュ　シンプル　シェルフ　ラック　インテリア　家具　天然　おしゃれ　カフェ　北欧　木目】(sumasuta ),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/sst-m/pr-tv1130brn_sp01.jpg""  width=""100%""><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/sst-m/pr-tv1130brn_sp02.jpg""  width=""100%""><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/sst-m/pr-tv1130brn_sp03.jpg""  width=""100%""><br><br><br>【天然木製テレビラック(ローラック）】<br>アイアン×パイン材に丁寧なオイル仕上げを施したシリーズ「BRICK（ブリック）」。<br>温もりのある天然木の家具は、そこにあるだけでお部屋をやさしい表情に変えてくれます。<br>板厚20mmのどっしりとしたパイン材を使用。突板や合板にはない、""本物""の良さがあり、<br>長く使うほど愛着と味わいが増すのが特徴です。天板は四方をアイアンで縁取った、<br>ミッドセンチュリー風のモダンなデザイン。無機質なテレビもインテリアに溶け込み、圧迫感が<br>やわらぎそう。背面オープンタイプは、HDDレコーダーとテレビとのコード接続がしやすい◎。<br>ちょっとしたローラックとしても使い勝手の良いサイズです。木のぬくもりが感じられる、なめらかな<br>オイル塗装です。木目がはっきりと浮かび上がり、本来の美しさを引き出します。ナチュラルすぎず、<br>ヴィンテージすぎない…。そんな、生活に溶け込む本物志向の家具を目指しました。<br><br><table cellpadding=""5"" cellspacing=""1"" border=""0"" width=""100%""><tr> <td width=""40%"" bgcolor=""#D7D7D7"">■商品名</td><td width=""60%"" bgcolor=""#FFFFFF"">天然木製テレビラック（ローラック）</td></tr>  <tr>    <td bgcolor=""#D7D7D7"">■型番</td>    <td bgcolor=""#FFFFFF"">PR-TV1130BRN</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■カラー</td>    <td bgcolor=""#FFFFFF"">ブラウン</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■サイズ</td>    <td bgcolor=""#FFFFFF"">本体：幅 約1130×奥行 約420×高さ 約400mm<br />      <br />      天板厚：約20mm<br />      調整ピッチ1ヶ所：約50mm間隔</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■重量</td>    <td bgcolor=""#FFFFFF"">約10.4kg</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■材質</td>    <td bgcolor=""#FFFFFF"">パイン材、スチールパイプ</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■仕上げ</td>    <td bgcolor=""#FFFFFF"">オイル塗装（木部）、粉体塗装（スチール部）</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■組立区分</td>    <td bgcolor=""#FFFFFF"">組み立て式</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■生産国</td>    <td bgcolor=""#FFFFFF"">中国</td>  </tr>  <tr>    <td bgcolor=""#D7D7D7"">■備考</td>    <td bgcolor=""#FFFFFF""> ※天然木のため、節や、乾燥による割れが発生する場合があります。強度に問題はありませんので、安心してご使用ください。<br /><br />※入荷時期により、商品のデザイン・仕様が品質に差し支えない程度に予告なく変更される場合がございます。大きなデザインの変更はございませんが、ご注意ください。</td>  </tr></table><font color=""red"" size=""+1"">※北海道・沖縄・離島は別途送料が必要となります。</font><br><br><font color=""red"" size=""+1"">※メーカー直送品となります。他の在庫商品と比べ多少納期がかかる場合がございます。2～3日以内には出荷させていただきます。</font>",天然木製テレビラック（ローラック）【送料無料　簡単組立　テレビボード　アンティーク　モダン　ナチュラル　ミッドセンチュリー　ウッド　スタイリッシュ　シンプル　シェルフ　ラック　インテリア　家具　天然　おしゃれ　カフェ　北欧　木目】(sumasuta )：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス天然木製テレビラック（ローラック）【送料無料　簡単組立　テレビボード　アンティーク　モダン　ナチュラル　ミッドセンチュリー　ウッド　スタイリッシュ　シンプル　シェルフ　ラック　インテリア　家具　天然　おしゃれ　カフェ　北欧　木目】(sumasuta ),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。天然木製テレビラック（ローラック）【送料無料　簡単組立　テレビボード　アンティーク　モダン　ナチュラル　ミッドセンチュリー　ウッド　スタイリッシュ　シンプル　シェルフ　ラック　インテリア　家具　天然　おしゃれ　カフェ　北欧　木目】(sumasuta )[rn]
16-131304,http://tshop.r10s.jp/gold/square-plus/furniture/tv-bord/IRTV-013sape/01.jpg?fitin=700:700,224000.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,≪TVボード≫【サペリ Sapele 無垢一枚板/W2400×D350～360×H430mm】,アイアン/鉄/フレーム/AVボード/ローボード,"サペリ×アイアンで製作のTVボードです。
サペリ材は美しい赤褐色をしており、個性的な色合いは高級感があります。
下段には各種オーディオ機器やゲーム機などの収納も可能です。
また、ビンテージウッドボックス2個付きになります。
同デザイン他材種で製作も承っておりますので、お気軽にお問い合わせください。<br><br>

■素材<br>
棚板：サペリ 無垢一枚板<br>
フレーム：W 50mm無垢黒皮アイアンフラットバー<br><br>

■サイズ<br>
約 W 2400×D 350～360×H 430mm（アジャスター込）<br>
アジャスター高：10mm（＋20mm程度延長可）<br><br>

■納期<br>
こちらの商品は一点ものになります。<br>
ご注文いただいてから１週間以内のお届けが可能です。<br>
詳細な納期につきましては改めてご連絡させていただきます。 <br><br>

■そのほか<br>
ガタツキ防止用アジャスター付き<br>
サイズや材種変更などのオーダー製作（別途お見積り）も承ります。<br>
オーダーのサイズによっては送料が変更になる場合もございます。 <br><br>

□送料・配送：この商品の送料は、お問い合わせください。<br>
※大型品をご購入の場合は大型品の送料がかかります。<br>
・詳しくは「お支払い・送料について」をご覧ください。<br><br>

■確認事項<br>
・丁寧に製作しておりますがハンドメイド仕上げです。 <br>
・アイアンはラフなイメージで製作していますのでキズなどございます。 <br>
・アイアンは錆止め加工を施しておりますが、環境や使い方により錆がでます。 <br>
・錆させる事でアンティーク風ヴィンテージ風と変化を楽しめるアイテムです。 <br>
・クレ556のようなオイルを時々塗って頂くとサビ予防になります。 <br>
・自然環境などにより材料価格が変動し商品価格を見直す場合がございます。 <br>
・在庫がある場合、SHOPで直接販売もしていますので実際にご確認頂けます。 <br>
・撮影で使用の小物はすべて演出用の為、製品には含まれておりません。 <br>
・色合いなどは、モニターにより若干違って見える場合がございます。 <br>
・注意事項をご確認のうえお買い求めください。 <br>",≪TVボード≫【サペリ Sapele 無垢一枚板/W2400&times;D350～360&times;H430mm】：SQUARE PLUS,鉄脚テーブルDIYベンチシェルフ棚受け金具アイアン無垢ベンチまな板カッティングボードヴィンテージアンティークカトラリーアカシアチーク鉄脚スツールワイルドインダストリアルリメイク≪TVボード≫【サペリ Sapele 無垢一枚板/W2400&times;D350～360&times;H430mm】,アイアン/鉄/フレーム/AVボード/ローボード。≪TVボード≫【サペリ Sapele 無垢一枚板/W2400&times;D350～360&times;H430mm】[rn]
16-131305,http://tshop.r10s.jp/gold/square-plus/furniture/tv-bord/IRTV-010wen/u02.jpg?fitin=700:700,224000.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,≪TVボード≫【ウエンジ/一枚/W2860×D300-330×H430mm】,アイアン/鉄/フレーム/TVボード/ローボード,"黒く穏やかに沈んだ色調と独特の繊細な木目が美しいウエンジ×アイアンを使ったTVボード。<br>
ウエンジは耐久性に富んでいて滑らかな仕上がりをお楽しみいただける材です。<br>
下段があるので、各種プレーヤーも収納できます。ウッドボックス２個付きです。<br>
同デザインで他の樹脂でも製作できますので、お気軽にお問い合わせください。<br><br>

■素材<br>
棚板：ウエンジ<br>
フレーム：W50mm アイアンフラットバー <br><br>

■サイズ<br>
外寸：約 W 2860×D 300-330×H 430mm（アジャスター込）<br>
アジャスター高：10mm（＋20mm程度延長可） <br><br>

■納期<br>
こちらの商品は一点ものになります。<br>
ご注文いただいてから１週間以内のお届けが可能です。<br>
詳細な納期につきましては改めてご連絡させていただきます。 <br><br>

■そのほか<br>
ガタツキ防止用アジャスター付き<br>
サイズや材種変更などのオーダー製作（別途お見積り）も承ります。<br>
オーダーのサイズによっては送料が変更になる場合もございます。 <br><br>

□送料・配送：この商品の送料は、お問い合わせください。<br>
※大型品をご購入の場合は大型品の送料がかかります。<br>
・詳しくは「お支払い・送料について」をご覧ください。<br><br>

■確認事項<br>
・丁寧に製作しておりますがハンドメイド仕上げです。 <br>
・アイアンはラフなイメージで製作していますのでキズなどございます。 <br>
・アイアンは錆止め加工を施しておりますが、環境や使い方により錆がでます。 <br>
・錆させる事でアンティーク風ヴィンテージ風と変化を楽しめるアイテムです。 <br>
・クレ556のようなオイルを時々塗って頂くとサビ予防になります。 <br>
・自然環境などにより材料価格が変動し商品価格を見直す場合がございます。 <br>
・在庫がある場合、SHOPで直接販売もしていますので実際にご確認頂けます。 <br>
・撮影で使用の小物はすべて演出用の為、製品には含まれておりません。 <br>
・色合いなどは、モニターにより若干違って見える場合がございます。 <br>
・注意事項をご確認のうえお買い求めください。 <br>",≪TVボード≫【ウエンジ/一枚/W2860&times;D300-330&times;H430mm】：SQUARE PLUS,鉄脚テーブルDIYベンチシェルフ棚受け金具アイアン無垢ベンチまな板カッティングボードヴィンテージアンティークカトラリーアカシアチーク鉄脚スツールワイルドインダストリアルリメイク≪TVボード≫【ウエンジ/一枚/W2860&times;D300-330&times;H430mm】,アイアン/鉄/フレーム/TVボード/ローボード。≪TVボード≫【ウエンジ/一枚/W2860&times;D300-330&times;H430mm】[rn]
16-131306,http://tshop.r10s.jp/livingday/cabinet/liv3046.jpg?fitin=700:700,2384.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【送料無料】テレビボード テレビ台 テレビスタンド TVスタンド エリーゼ  キャスター キャスター付き シンプル 手軽 便利 コーナー ローボード  北欧 デザイン【新生活 2017】,テレビボード テレビ台 TVスタンド,"<br><img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp1.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp2.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp3.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp4.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp5.jpg"" width=""100%""><br><br>
<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp2/kyotu/liv3046-sp6.jpg"" width=""100%""><br><br>
<table width=""100%"" cellspacing=""3"" cellpadding=""5"" border=""1px"" bordercolor=""#ce1010"" rules=""none""><tr align=""center""><td bgcolor=""#ce1010""><font size=""2"" color=""#ffffff""><b>◆テレビ台シリーズ◆</b></font></td></tr>
<tr align=""center""><td>32V型対応おしゃれな北欧風【ウノ】はこちら≫<br></td></tr>
<tr align=""center""><td>42V型対応・大容量収納日本製テレビ台はこちら≫<br></td></tr></table><br><br><table width=100% border=0 bgcolor=#CCCCCC cellpadding=10 cellspacing=2><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>送料</b></font></td><td bgcolor=white><font size=-1>全国 <b><font color=red>無料</font></b></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>サイズ</b></font></td><td bgcolor=white><font size=-1>(約)幅80cm 奥行き40cm 高さ42cm<br></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>梱包サイズ</b></font></td><td bgcolor=white><font size=-1>幅 88cm 奥行 41cm 高さ 6cm 9.8kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>材質</b></font></td><td bgcolor=white><font size=-1>MDF、プリント化粧合板、パーティクルボード</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>重量</b></font></td><td bgcolor=white><font size=-1>約9kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>耐荷重</b></font></td><td bgcolor=white><font size=-1>天板：約35kg<BR>中板：約10kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>生産地</b></font></td><td bgcolor=white><font size=-1>輸入品</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>納期</b></font></td><td bgcolor=white><font size=-1><br><br><img width=80% src=""http://image.rakuten.co.jp/livingday/cabinet/kyotu/haiso2.gif""><br></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>備考</b></font></td><td bgcolor=white><font size=-1>お届けは玄関先までとなります。<br>※当商品はお客様組み立てとなります。<br>【1人で15分程度】<BR></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>注意事項</b></font></td><td bgcolor=white><font size=-1>※全国中継料不要<BR><br>■商品の色は、画面の設定により若干の違いがある場合がございます。<br>■よりよい商品づくりのため、常に改良を行なっておりますので、<br>　 出荷のタイミングによって仕様が若干違う場合がございます。</font></td></tr></table>",【送料無料】テレビボード テレビ台 テレビスタンド TVスタンド エリーゼ  キャスター キャスター付き シンプル 手軽 便利 コーナー ローボード  北欧 デザイン【新生活 2017】：リビングデイ,【送料無料】テレビボード テレビ台 テレビスタンド TVスタンド エリーゼ  キャスター キャスター付き シンプル 手軽 便利 コーナー ローボード  北欧 デザイン【新生活 2017】,テレビボード テレビ台 TVスタンド。【送料無料】テレビボード テレビ台 テレビスタンド TVスタンド エリーゼ  キャスター キャスター付き シンプル 手軽 便利 コーナー ローボード  北欧 デザイン【新生活 2017】[rn]
16-131307,http://tshop.r10s.jp/livingday/cabinet/liv3065.jpg?fitin=700:700,23120.0000,,インテリア・寝具・収納 > 収納家具 > テレビ台 > 木製,【送料込】《完成品》テレビボード幅120 テレビ台 開梱設置サービス付き 日本製 木製テレビボード 42V型対応 シンプルデザイン 収納スペース リビングテレビ台 収納家具【新生活 2017】,日本製テレビ台《完成品》開梱設置サービス付,"<img src=""http://image.rakuten.co.jp/livingday/cabinet/sp/kyotu/liv3065-sp1.jpg"" width=""100%""><br><br><img src=""http://image.rakuten.co.jp/livingday/cabinet/sp/kyotu/liv3065-sp2.jpg"" width=""100%""><br><br><table width=""100%"" cellspacing=""3"" cellpadding=""5"" border=""1px"" bordercolor=""#ce1010"" rules=""none""><tr align=""center""><td bgcolor=""#ce1010""><font size=""2"" color=""#ffffff""><b>◆テレビ台シリーズ◆</b></font></td></tr>
<tr align=""center""><td>32V型対応おしゃれな北欧風【ウノ】はこちら≫<br></td></tr>
<tr align=""center""><td>32V型対応コンパクト【エリーゼ】はこちら≫<br></td></tr></table><br><br><table width=100% border=0 bgcolor=#CCCCCC cellpadding=10 cellspacing=2><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>送料</b></font></td><td bgcolor=white><font size=-1><b><font color=red>無料</font></b></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>サイズ</b></font></td><td bgcolor=white><font size=-1>(約)幅120cm 奥行き40cm 高さ37cm</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>梱包サイズ</b></font></td><td bgcolor=white><font size=-1>幅 122cm 奥行 45cm 高さ 39cm 22.8kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>材質</b></font></td><td bgcolor=white><font size=-1>プリント化粧合板</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>重量</b></font></td><td bgcolor=white><font size=-1>約20.85kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>耐荷重</b></font></td><td bgcolor=white><font size=-1>約50kg</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>生産地</b></font></td><td bgcolor=white><font size=-1>日本</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>納期</b></font></td><td bgcolor=white><font size=-1>当商品は入荷待ち予約商品です。</font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>備考</b></font></td><td bgcolor=white><font size=-1>お届けは玄関先までとなります。<br>※完成品です。<br></font></td></tr><tr><td bgcolor=#F0F0F0 align=center><font size=-1><b>注意事項</b></font></td><td bgcolor=white><font size=-1>※一部地域や離島は中継料が掛かります<br>北海道[1800円]東北[1400円]<BR><font color=red><b>※当商品は 代金引換・コンビニ後払い での決済がご利用いただけません。</b></font><br>■沖縄県及び離島にお住まいのお客様へ<br><font color=red>沖縄県及び離島は、</font>配送業者の都合で<font color=red>お届けすることができません。</font><br>誠に勝手ではございますが、ご注文を<b>キャンセル</b>させていただきます。<br>何とぞご了承くださいますようお願い申し上げます。<br>■商品の色は、画面の設定により若干の違いがある場合がございます。<br>■よりよい商品づくりのため、常に改良を行なっておりますので、<br>　 出荷のタイミングによって仕様が若干違う場合がございます。<br><br>■ご注文前に搬入経路のご確認をお願いいたします。<br>　 万が一搬入が出来ずキャンセルとなった場合、<br>　 往復運賃の実費をご負担いただく場合がございます。</font></td></tr></table>",【送料込】《完成品》テレビボード幅120 テレビ台 開梱設置サービス付き 日本製 木製テレビボード 42V型対応 シンプルデザイン 収納スペース リビングテレビ台 収納家具【新生活 2017】：リビングデイ,【送料込】《完成品》テレビボード幅120 テレビ台 開梱設置サービス付き 日本製 木製テレビボード 42V型対応 シンプルデザイン 収納スペース リビングテレビ台 収納家具【新生活 2017】,日本製テレビ台《完成品》開梱設置サービス付。【送料込】《完成品》テレビボード幅120 テレビ台 開梱設置サービス付き 日本製 木製テレビボード 42V型対応 シンプルデザイン 収納スペース リビングテレビ台 収納家具【新生活 2017】[rn]
