16-191501,http://tshop.r10s.jp/akibamac/cabinet/01783341/4549813503255.jpg?fitin=700:700,52667.2000,,TV・オーディオ・カメラ > テレビ,【送料無料】ドウシシャ 20V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ VT203-BR(USB HDD録画対応),,◆1970年代のブラウン管テレビをデザインモチーフとし、本体には木素材を採用しています。またチャンネル切替や音量調整はダイヤル方式にすることで、リアルな操作感や懐かしさを再現。ご自宅や商業施設のインテリア家電としてもご利用頂けます。<br><br>◆液晶パネルを使用することにより本体内に生まれるスペースを活用し、収納としてもご利用いただけます。<br><br>◆テレビ機能としては地上/BS・110度CSに対応し外付けUSBハードディスクによる番組録画が可能です。国内メーカー製LSIを採用し、SD（標準画質）信号を精細に表現する超解像技術『美・彩・細エンジン』を搭載。また独自開発した和紙素材を使用したW-RPMスピーカーを搭載し、画質・温室にもこだわっております。<br><br>【製品仕様】<br>■地上/BS・110度CSデジタル放送(CATV パススルー対応)<br>■LEDバックライト ハイビジョンパネル<br>■外付けUSBハードディスク録画対応(USBハードディスクは別売）<br>■ブルーライトガード、HDMIリンク機能<br>■データ放送/EPG(電子番組表)対応<br>■サイズ：幅約520×高さ約789×奥行約350(mm) ※長脚含む<br>■重量：約12.1kg ※長脚含む<br>■入出力端子：HDMI×2系統、アナログAV×1系統、デジタル音声出力端子、LAN端子、ヘッドホン端子、USB端子(HDD接続用)<br>■付属品：リモコン(電池付き)、mini B-CASカード、長脚、短脚(ネジ付き)、取扱説明書、保証書、ACアダプター、電源コード、DCケーブル<br>■<br>,【送料無料】ドウシシャ 20V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ VT203-BR(USB HDD録画対応)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ドウシシャ 20V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ VT203-BR(USB HDD録画対応),【送料無料】ドウシシャ 20V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ VT203-BR(USB HDD録画対応)[rn]
16-191502,http://tshop.r10s.jp/akibamac/cabinet/05286693/4526044011117.jpg?fitin=700:700,46400.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】日立 24V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ Wooo(ウー！) L24-A5(USB HDD録画対応),,外付HDD(USB録画）&裏番組録画対応。使い勝手にこだわったスタンダードモデル24V型液晶テレビ<br><br>■便利な2チューナー搭載で外付HDD（USB録画）＆裏番組録画対応<br>デジタル放送のチューナーを2つ搭載。USBで接続した別売りの外付HDDに録画しながら、別の番組を視聴も出来るので、見たい番組の時間が重なっても安心。<br><br>■使いやすい番組表＆メニュー画面<br>日立オリジナルGUIの番組表や、メニュー画面がさらに使いやすく！メニュー内の各種設定をする際に選択項目の内容を画面上で説明してくれる「取説サポート」機能搭載。<br><br>■「新・聞こえサポートモード」で音声を聞き取りやすく<br>リモコンのボタンで簡単に設定が可能な、人の声を聞き取りやすくるする「新・聞こえサポートモード」を搭載。好みに応じて「つよく」「よわく」の2段階で設定が可能なので、ニュースやドラマなどの会話がはっきり聞き取りやすくなります。<br><br>■省エネの強い味方！「かんたん節電設定」機能搭載<br>メニュー画面から簡単に節電設定が可能。2つのモードからお好みの設定が選べて、省エネの度合いも「日立の樹」マークで表示されます。<br><br>【製品仕様】<br>■サイズ（スタンド含む）：幅578×奥行141×高さ392mm<br>■質量（スタンド含む）：3.9kg<br>■消費電力（待機時）：25W（0.1W）<br>■年間消費電力量：32kWh/年<br>■表示画素数：1366×768<br>■チューナー数：2<br>■HDMI入力端子数：3（ARC、1080p対応）<br>■USB端子：1<br>■内臓HDD：×<br>■カセットHDD録画対応：×<br>■外付HDD対応：○<br>■裏番組録画対応：○<br>■アクトビラ：○<br>■TSUTAYA　TV：○<br>■2画面表示：×<br>■高速起動対応：○<br>■SDカードスロット：×<br>■その他同梱物：mini　B-CASカード、転倒防止バンド、リモコン（C-H31）,【送料無料】日立 24V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ Wooo(ウー！) L24-A5(USB HDD録画対応)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】日立 24V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ Wooo(ウー！) L24-A5(USB HDD録画対応),【送料無料】日立 24V型 地上・BS・110度CSチューナー内蔵 ハイビジョン液晶テレビ Wooo(ウー！) L24-A5(USB HDD録画対応)[rn]
16-191503,http://tshop.r10s.jp/akibamac/cabinet/01783341/4989027011250.jpg?fitin=700:700,151904.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】LG 49V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ 49SJ8000 (別売USB HDD録画対応) 【お届け日指定不可】,,"<font color=""red"">※大型商品ならびにリサイクル・設置を含む配送は、出荷後2～7日後となります</font><br>極上の映像、迫真の音響。テレビ体験をひときわ奥深くする高品位な4K大画面モデル。<br><br>【ご注意】設置・リサイクルをご希望の場合は必ず「こちらのページ」から設置サービス、リサイクル券のご注文を同時に行なってください。<br>なお、40V型以上の大型商品については設置サービスのお申し込みが必要となります。予めご了承ください。",【送料無料】LG 49V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ 49SJ8000 (別売USB HDD録画対応) 【お届け日指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】LG 49V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ 49SJ8000 (別売USB HDD録画対応) 【お届け日指定不可】,【送料無料】LG 49V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ 49SJ8000 (別売USB HDD録画対応) 【お届け日指定不可】[rn]
16-191504,http://tshop.r10s.jp/akibamac/cabinet/04576511/4937182007823.jpg?fitin=700:700,8704.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】CHL AVT-1000HK ブラック(10型地上デジタルポータブル液晶テレビ),,LEDバックライト搭載の薄型・省エネ設計！！,【送料無料】CHL AVT-1000HK ブラック(10型地上デジタルポータブル液晶テレビ)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】CHL AVT-1000HK ブラック(10型地上デジタルポータブル液晶テレビ),【送料無料】CHL AVT-1000HK ブラック(10型地上デジタルポータブル液晶テレビ)[rn]
16-191505,http://tshop.r10s.jp/akibamac/cabinet/05264069/4904550968116.jpg?fitin=700:700,719608.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】東芝 65V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 65X910 【お届け日指定不可】,,◆OLEDレグザエンジンBeauty PRO<br>・自社開発した専用映像エンジンの高コントラスト復元技術や熟成超解像技術などにより、特に映画やライブ映像などの高いクオリティの映像を臨場感あふれる高画質に映し出すことができます。<br><br>◆輝きや陰影をより自然な階調で再現する「ローカルコントラスト復元」<br>・映像全体のコントラスト制御とともに、映像の明部と暗部を検出し、局所的な黒つぶれと白とび（色飽和）を抑制することで、自然で豊かな階調表現を実現します。<br><br>◆従来の映像を高コントラストに復元する「AI機械学習HDR復元」<br>・従来編集とHDR編集の映像素材を多数比較し、AI機械学習技術で適切な復元テーブルを作成することで、HDR映像ではない従来の映像を高精度に高コントラスト画質に復元します。ブルーレイディスクや地上デジタル放送などのさまざまな映像を高コントラストでリアルに再現します。<br><br>◆映画をさらにリアルに、より美しく再現する「熟成超解像」<br>・映画などの24フレーム/秒の映像に対し、超解像処理とノイズリダクションをそれぞれ2回行い、クリアで精細感ある映像を再現します。<br><br>◆地上デジタル放送をクリアで高精細に再現する「アダプティブフレーム超解像」<br>・映像の種類ごとに適切な参照フレームを選択し、最大で5つのフレームを使いノイズ処理を行うことで、ノイズやチラつきを抑えた精細でクリアな映像を再現します。<br><br>◆人肌の質感を美しくリアルに再現する「美肌リアライザー」<br>・明るいシーンでの顔のハイライト部分の色飽和を抑え、階調をきめ細やかに描き出すことで、肌の質感をよりリアルに表現します。<br><br>◆深みのある美しい“黒”を再現「4K有機ELパネル」<br>・DCI-P3カバー率約100％の高い色域と約800nit(※65X910での数値)の高いピーク輝度の画素をピクセル単位の細かさで輝度を制御する4K有機ELパネルを新開発の映像処理エンジンで制御することで、高いピーク輝度と濃密な黒の高いコントラストでクリアな臨場感あふれる高画質を実現します。<br><br>◆新開発「有機ELレグザオーディオシステム」<br>・正面から見えないように配置された新開発の大容量バスレフ型ボックス2ウェイスピーカシステムによって、視聴を妨げることなく低音から高音までクリアな音声を実現します。スピーカーの能力を引き出す、総合出力46Wのマルチアンプ方式を採用し、広いダイナミックレンジのクリアな高音質が楽しめます。また新たに、低域から高域まで714分割もの緻密な帯域補正を実施することで、迫力あるリアルな音質を実現しました。<br><br>◆放送済みの番組をいつでも見られる「タイムシフトマシン」<br>・放送済みの番組をいつでも見られる「タイムシフトマシン」を搭載しています。※別売の「タイムシフトマシン」対応USBハードディスクが必要です。<br><br>※アンテナケーブル・HDMIケーブルは別売りです。<br><br>【製品仕様】<br>■パネル<br>有機ＥＬ<br>■本体サイズ<br>幅×高さ×奥行（cm)：145.1×85.1×19.0（スタンドあり）<br>■その他サイズ<br>幅×高さ（cm)：142.8×80.4（画面サイズ）<br>■本体重量<br>約42.5kg（スタンドあり）<br>■消費電力<br>533W（待機時0.5W）<br>■画面サイズ<br>65V型<br>■入出力端子<br>HDMI入力端子:4、ビデオ入力端子(映像):1、ビデオ入力端子(音声):1、アナログ音声出力端子(ヘッドホン端子兼用):1、光デジタル音声出力端子:1、SDメモリカードスロット(SDXC対応):1、USB端子:4(タイムシフトマシン専用2)、LAN端子(10BASE-T／100BASE-TX):1<br>■HDMI端子<br>4(ビデオ入力端子（音声）1系統と兼用)<br>■総画素数<br>3840×2160<br>■チューナー<br>地上×9(テレビジョン放送、データ放送のみ)、BS×3、CS×3<br>■LAN<br>無線・有線<br>■年間消費電力量<br>260kWh/年<br>■付属品<br>単四形乾電池×2、レグザリモコン、B-CASカード、転倒防止用クリップ(2個)、転倒防止用バンド(2本)、転倒防止用ネジ(長2本),【送料無料】東芝 65V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 65X910 【お届け日指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】東芝 65V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 65X910 【お届け日指定不可】,【送料無料】東芝 65V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 65X910 【お届け日指定不可】[rn]
16-191506,http://tshop.r10s.jp/akibamac/cabinet/05264069/4904550968109.jpg?fitin=700:700,559608.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】東芝 55V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 55X910 【お届け日指定不可】,,◆OLEDレグザエンジンBeauty PRO<br>・自社開発した専用映像エンジンの高コントラスト復元技術や熟成超解像技術などにより、特に映画やライブ映像などの高いクオリティの映像を臨場感あふれる高画質に映し出すことができます。<br><br>◆輝きや陰影をより自然な階調で再現する「ローカルコントラスト復元」<br>・映像全体のコントラスト制御とともに、映像の明部と暗部を検出し、局所的な黒つぶれと白とび（色飽和）を抑制することで、自然で豊かな階調表現を実現します。<br><br>◆従来の映像を高コントラストに復元する「AI機械学習HDR復元」<br>・従来編集とHDR編集の映像素材を多数比較し、AI機械学習技術で適切な復元テーブルを作成することで、HDR映像ではない従来の映像を高精度に高コントラスト画質に復元します。ブルーレイディスクや地上デジタル放送などのさまざまな映像を高コントラストでリアルに再現します。<br><br>◆映画をさらにリアルに、より美しく再現する「熟成超解像」<br>・映画などの24フレーム/秒の映像に対し、超解像処理とノイズリダクションをそれぞれ2回行い、クリアで精細感ある映像を再現します。<br><br>◆地上デジタル放送をクリアで高精細に再現する「アダプティブフレーム超解像」<br>・映像の種類ごとに適切な参照フレームを選択し、最大で5つのフレームを使いノイズ処理を行うことで、ノイズやチラつきを抑えた精細でクリアな映像を再現します。<br><br>◆人肌の質感を美しくリアルに再現する「美肌リアライザー」<br>・明るいシーンでの顔のハイライト部分の色飽和を抑え、階調をきめ細やかに描き出すことで、肌の質感をよりリアルに表現します。<br><br>◆深みのある美しい“黒”を再現「4K有機ELパネル」<br>・DCI-P3カバー率約100％の高い色域と約800nit(※65X910での数値)の高いピーク輝度の画素をピクセル単位の細かさで輝度を制御する4K有機ELパネルを新開発の映像処理エンジンで制御することで、高いピーク輝度と濃密な黒の高いコントラストでクリアな臨場感あふれる高画質を実現します。<br><br>◆新開発「有機ELレグザオーディオシステム」<br>・正面から見えないように配置された新開発の大容量バスレフ型ボックス2ウェイスピーカシステムによって、視聴を妨げることなく低音から高音までクリアな音声を実現します。スピーカーの能力を引き出す、総合出力46Wのマルチアンプ方式を採用し、広いダイナミックレンジのクリアな高音質が楽しめます。また新たに、低域から高域まで714分割もの緻密な帯域補正を実施することで、迫力あるリアルな音質を実現しました。<br><br>◆放送済みの番組をいつでも見られる「タイムシフトマシン」<br>・放送済みの番組をいつでも見られる「タイムシフトマシン」を搭載しています。※別売の「タイムシフトマシン」対応USBハードディスクが必要です。<br><br>※アンテナケーブル・HDMIケーブルは別売りです。<br><br>【製品仕様】<br>■パネル<br>有機ＥＬ<br>■本体サイズ<br>幅×高さ×奥行（cm)：122.9×72.8×17.0（スタンドあり）<br>■その他サイズ<br>幅×高さ（cm)：121.0×68.0（画面サイズ）<br>■本体重量<br>約24.9kg（スタンドあり）<br>■消費電力<br>406W（待機時0.5W）<br>■画面サイズ<br>55V型<br>■入出力端子<br>HDMI入力端子:4、ビデオ入力端子(映像):1、ビデオ入力端子(音声):1、アナログ音声出力端子(ヘッドホン端子兼用):1、光デジタル音声出力端子:1、SDメモリカードスロット(SDXC対応):1、USB端子:4(タイムシフトマシン専用2)、LAN端子(10BASE-T／100BASE-TX):1<br>■HDMI端子<br>4(ビデオ入力端子（音声）1系統と兼用)<br>■総画素数<br>3840×2160<br>■チューナー<br>地上×9(テレビジョン放送、データ放送のみ)、BS×3、CS×3<br>■LAN<br>無線・有線<br>■年間消費電力量<br>225kWh/年<br>■付属品<br>単四形乾電池×2、レグザリモコン、B-CASカード、転倒防止用クリップ(2個)、転倒防止用バンド(2本)、転倒防止用ネジ(長2本),【送料無料】東芝 55V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 55X910 【お届け日指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】東芝 55V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 55X910 【お届け日指定不可】,【送料無料】東芝 55V型 地上・BS・110度CS・4K放送対応スカパー！チューナー内蔵 タイムシフトマシン対応 有機ELテレビ REGZA(レグザ） 55X910 【お届け日指定不可】[rn]
16-191507,http://tshop.r10s.jp/akibamac/cabinet/01783341/4526044008599.jpg?fitin=700:700,262952.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】日立55V型 1TB HDD内蔵 フルハイビジョン液晶テレビWooo(ウー！)L55GP3 【お届け日指定不可】,,■最大約1080時間※1たっぷり録れる。（大容量1TB HDD内蔵）※1<br>・ハイビジョン映像をAE12倍モードで録画した場合。長時間録画モードにするほどノイズが目立つなど画質は劣化します。画質の劣化は録画する映像の内容によって異なります。2番組同時に録るから安心。<br><br>■番組表から選んでかんたん録画予約。見たい番組も一覧表示でわかりやすい。<br>・電子番組表からお目当ての番組を選んで録画予約ができます。見やすさに合わせて、3列～19列まで9通りの表示切替ができます。<br><br>■見る一覧見たい番組をサムネイルでかんたんに探し出せます。<br><br>■増やせる、つなげる、持ち出せる。さまざまな録画スタイルで楽しめる。<br><br>■多彩に選べるハイビジョン画質の録画モード。録画した番組の再生機能も充実。<br>追いかけ再生：録画中の番組を再生可能。<br>同時録画再生：録画しながら録画済みの番組が再生可能。<br>スロー＆逆スロー再生※3：ゆっくり再生して見る。<br>写真・ビデオ再生※4：SDカードやUSB機器の再生可能。<br>※3カセットHDDに録画した番組は、逆スロー再生はできません。<br>※4AVCHD（動画）は、本体内蔵HDDにダビングしてからの再生になります。<br><br>■高画質上下左右どこから見ても、明るく色鮮やか。＜広視野角 IPS液晶パネル＞<br><br>■広視野角178度のIPS方式液晶パネル（LEDバックライト）を採用。みんなで鑑賞するときなど、テレビの横から見ても正面と同等の映像が楽しめます。<br><br>■メリハリのある美しさと、臨場感あふれる映像を表現。＜ピクチャーマスター＞<br><br>■奥行き感のあるコントラスト<br>・映像シーンごとに、より細やかな輝度分布を分析し、輝度と色信号の効果的な変換を実現。グラデーションのなめらかさと暗部のコントラストをより美しく表現します。<br><br>■ディテールのクッキリ感<br>・いままで表現しきれなかった色のディテール部分に着目し、飽和を抑えながら色の階調を豊かに表現します。<br><br>■ナチュラルで豊かな色表現映像シーンのなかに存在する色情報を分析し、的確な色再現を行うことで、いっそう鮮明で豊かな色彩表現を可能にします。<br><br>■なめらかなでクリアな映像<br>・映像シーンごとに多段階のノイズ低減処理を行うので、ぼやけの少ないクリアな映像を表現します。<br><br>■高音質<br>・美しい音色、はっきり聞き取りやすい。＜リニアフェイズ技術＞<br>・圧縮音源を限りなく原音に近い状態に補正する音声補間技術を採用。<br>・高音・中音・低音すべてが聞き取りやすくなり、さまざまな映像シーンに合わせた最適な高音質を実現します。<br><br>■使いやすさ・デザイン<br>・テレビの音だけを聞きたいときに。＜消画モード＞<br>・人間工学を参考にした、使い勝手の良い＜やさしいリモコン＞<br>・サイズに合わせて視聴しやすい設計。＜55・49・43v型：スラントデザイン採用＞<br><br>■市販のオープンラックなどに設置しても視聴しやすくなるように、各サイズ毎に最適な傾斜（スラント）を調整しました。<br><br>■55v型/49v型（傾斜角：約2.5°）、43v型（傾斜角：約2°）、32v型（傾斜角：0°）<br><br>※アンテナケーブル・HDMIケーブルは別売りです。<br><br>【製品仕様】<br>■外形寸法(モニター＋スタンド)(幅×高さ×奥行)(cm) 125.6×79.9×26.6<br>■外形寸法(モニター)(幅×高さ×奥行)(cm) 125.6×74.2×11.7 (突起部含まず)<br>■表示サイズ(幅×高さ／対角)(cm) 121.0×68.0／138.8<br>■液晶パネル IPS方式(LEDバックライト)<br>■表示画素数(水平×垂直)(画素) 1920×1080<br>■質量(スタンド含む)(kg) 19.0<br>■質量(スタンドなし)(kg) 17.3<br>■消費電力(待機時)(W) 125（0.15）<br>■年間消費電力量(kWh/年) 101<br>■チューナー数 地上デジタル放送(CATVパススルー対応) 3 BS・110度CSデタル放送 3<br>■音声実用最大出力(JEITA) 10W＋10W<br>■DMI入力端子※3 2(ARC※4、1080p対応)<br>■ビデオ※3／音声入力端子 2／2<br>■USB端子 1<br>■LAN端子(10BASE-T/100BASE-TX) 2<br>■ヘッドホン出力端子 1<br>■デジタル音声出力端子 1（光）<br><br>【ご注意】設置・リサイクルをご希望の場合は必ず「こちらのページ」から設置サービス、リサイクル券のご注文を同時に行なってください。<br>なお、40V型以上の大型商品については設置サービスのお申し込みが必要となります。予めご了承ください。,【送料無料】日立55V型 1TB HDD内蔵 フルハイビジョン液晶テレビWooo(ウー！)L55GP3 【お届け日指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】日立55V型 1TB HDD内蔵 フルハイビジョン液晶テレビWooo(ウー！)L55GP3 【お届け日指定不可】,【送料無料】日立55V型 1TB HDD内蔵 フルハイビジョン液晶テレビWooo(ウー！)L55GP3 【お届け日指定不可】[rn]
16-191508,http://tshop.r10s.jp/akibamac/cabinet/01783341/4549077675637.jpg?fitin=700:700,213104.0000,,TV・オーディオ・カメラ > テレビ,【送料無料】パナソニック VIERA(ビエラ) TH-58DX800(58V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ/USB HDD録画対応) (TH58DX800) 【お届け日時指定不可】,,■映像そのものを家具のように置ける「浮遊感のあるデザイン」<br>・サイドスタンドには高品位なメタルの素材を使用。パネルが浮いているように見えるデザインを採用し、インテリアと調和します。また、サウンドバー形状のスピーカーによりディスプレイ部を薄型化。洗練された薄型デザインを実現しました。<br><br>■忠実な色再現で臨場感をもたらす「ヘキサクロマドライブ」<br>・微妙な色の違いを見極め、自然な色合いを再現。また、輝度が高い原色域だけでなく、暗いシーンの階調、淡い中間色まで忠実に再現します。<br>・LEDバックライトに新赤色蛍光体を採用。従来よりも赤の色域を拡大して、より鮮やかな赤色を再現します。<br><br>■前方から響く迫力の高音質「ダイナミックサウンドシステム」<br>・ツイーター（2個）の左右にミッドレンジスピーカー（4個）を配置し、低音の量感を向上させる6連ウーハーとの合計12個のユニットで構成する3Wayスピーカーシステムにより広帯域でバランスの良いサウンドが楽しめます。さらに、前後対向配置した「クアッド・パッシブラジエーター」を採用。スピーカーボックスを安定させ、歪みやノイズを低減します。<br><br>■明暗差、陰影をリアルに再現できる<br>・高輝度HDR規格に対応。明暗や光の色までリアリティ豊かに再現します。<br>・バックライトをエリアごとに自動制御。黒が締まり、ハイコントラストで再現します。<br><br>■多彩な4K動画がネット配信で楽しめる「4Kネット番組」<br><br>■フルハイビジョン映像を4K高画質映像にアップコンバートできる「4Kファインリマスターエンジン」<br><br>■お気に入りの画面にすぐにアクセスできる「かんたんホーム画面」<br><br>■見たい番組が重なっても安心「2番組同時裏録」<br>※3チューナー搭載ですが、3番組同時録画はできません。<br><br>■外出先でも放送番組や録画番組が楽しめる「メディアアクセス」<br><br>■「お部屋ジャンプリンク」に対応（サーバー/クライアント機能搭載）<br><br>■お手入れラクラク、配線をすっきりできる「ケーブルガイド・カバー」<br><br>【ご注意】設置・リサイクルをご希望の場合は必ず「こちらのページ」から設置サービス、リサイクル券のご注文を同時に行なってください。<br>なお、40V型以上の大型商品については設置サービスのお申し込みが必要となります。予めご了承ください。,【送料無料】パナソニック VIERA(ビエラ) TH-58DX800(58V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ/USB HDD録画対応) (TH58DX800) 【お届け日時指定不可】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】パナソニック VIERA(ビエラ) TH-58DX800(58V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ/USB HDD録画対応) (TH58DX800) 【お届け日時指定不可】,【送料無料】パナソニック VIERA(ビエラ) TH-58DX800(58V型 地上・BS・110度CSチューナー内蔵 4K対応液晶テレビ/USB HDD録画対応) (TH58DX800) 【お届け日時指定不可】[rn]
