16-102701,http://tshop.r10s.jp/soukai/cabinet/26/4904735053026.jpg?fitin=700:700,720.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,徳用 パックス 酸性リンス(1L)【パックス】[パックス 徳用 太陽油脂 リンス コンディショナー],パックス / パックス 徳用 太陽油脂 リンス コンディショナー,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞詰め替え用リンス・コンディショナー＞徳用 パックス 酸性リンス (1L)<br><br>★税抜1900円以上で送料無料★<br><br>【徳用 パックス 酸性リンスの商品詳細】<br>●陽イオン界面活性剤を配合しない、石けんシャンプー専用のリンス。毛髪を弱酸性にし、しっとりしなやかにします。<br>●4.5本分のお徳なサイズ。詰替えてお使い下さい。<br><br>【成分】<br>水、クエン酸、エタノール、グリセリン、香料、クエン酸Na<br><br>【ブランド】<br>パックス<br><br>【発売元、製造元、輸入元又は販売元】<br>太陽油脂<br><br>(1000mL)<br><br>太陽油脂<br>221-0022 神奈川県横浜市神奈川区守屋町2-7<br>0120-894-776<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：パックス/],徳用 パックス 酸性リンス(1L)【パックス】[パックス 徳用 太陽油脂 リンス コンディショナー]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション徳用 パックス 酸性リンス(1L)【パックス】[パックス 徳用 太陽油脂 リンス コンディショナー],パックス / パックス 徳用 太陽油脂 リンス コンディショナー。徳用 パックス 酸性リンス(1L)【パックス】[パックス 徳用 太陽油脂 リンス コンディショナー][rn]
16-102702,http://tshop.r10s.jp/soukai/cabinet/34/4987767624334.jpg?fitin=700:700,1508.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,コラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用(280mL)【コラージュフルフル】[コラージュフルフルネクスト リンス 詰め替え],コラージュフルフル★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞フケ・かゆみ・スカルプコンディショナー＞コラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用 (280mL)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：医薬部外品<br><br>【コラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用の商品詳細】<br>●フケ原因菌の増殖を抑えフケ・かゆみを防ぐ<br>●抗真菌(抗カビ)成分ミコナゾール硝酸塩が、フケ原因菌(カビ)の増殖を抑え、フケ・かゆみを効果的に防ぎます。<br>●まとまりのある、なめらかな髪に仕上げます。<br>●フケの原因はカビ！？<br>●フケ・かゆみの原因のひとつに、真菌(カビ)がいますが、この菌(カビ)は、ほとんどの人にいる常在菌です。この菌が増えすぎると、フケ・かゆみの一因になることも。日頃から原因菌の増殖を抑えるフルフルネクストシリーズで、頭皮を清潔にし、すこやかに保ちましょう。<br>●低刺激性・無香料・無色素<br>●パッチテスト済み(すべての方に皮ふ刺激がないわけではありません)<br>●こんな方におすすめ<br>・フケ・かゆみを防ぎたい方<br>・肌の敏感な方<br>・髪をしなやかに整えたい方<br>・まとまりのある、なめらかな髪に仕上げたい方<br>●ポンプタイプ(400mL)専用のつめかえです。<br><br>【効能 効果】<br>・フケ・かゆみを防ぐ<br>・毛髪の水分・脂肪を補い保つ<br>・裂毛・切毛・枝毛を防ぐ<br>・毛髪をしなやかにする<br><br>【使用方法】<br>※本品はつめかえ用です。必ず本体容器につめかえてご使用ください。<br>・シャンプー後、軽く水気を切り、適量を手のひらにとり、頭皮をマッサージするように髪全体になじませます。そのあと軽くすすいで下さい。<br><br>【成分】<br>有効成分・・・ミコナゾール硝酸塩<br>その他の成分・・・塩化トリメチルアンモニオヒドロキシプロピル水解小麦たん白液、トリメチルグリシン、アミノエチルアミノプロピルメチルシロキサン・ジメチルシロキサン共重合体、塩化トリメチルアンモニオヒドロキシプロピルヒドロキシエチルセルロース、プロピレングリコール、脂肪酸ジペンタエリスリチル-1、パルミチン酸オクチル、高重合ジメチコン-1、ジメチコン、ステアリルアルコール、塩化アルキルトリメチルアンモニウム液、親油型ステアリン酸グリセリル、天然ビタミンE、クエン酸Na、パラベン、水、エタノール<br>【注意事項】<br>・説明書をよく読んでご使用ください。<br>・本品が頭皮またはお肌に合わないときはご使用を中止してください。<br>・目に入った時は、直ちに水またはぬるま湯で洗い流して下さい。<br>・乳幼児の手の届かないところに保管してください。<br><br>【ブランド】<br>コラージュフルフル<br><br>【発売元、製造元、輸入元又は販売元】<br>持田ヘルスケア<br><br>(コラージュフルフルNEXT 潤い滑らか 詰め替え用 詰替え用 詰替用)<br><br>/(/F248601/F276103/)/<br><br>持田ヘルスケア<br>162-8451 東京都新宿区市谷本村町2-12 パックスビル<br>0120-01-5050<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：コラージュフルフル/],コラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用(280mL)【コラージュフルフル】[コラージュフルフルネクスト リンス 詰め替え]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションコラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用(280mL)【コラージュフルフル】[コラージュフルフルネクスト リンス 詰め替え],コラージュフルフル★税抜1900円以上で送料無料★。コラージュフルフル ネクスト リンス うるおいなめらかタイプ つめかえ用(280mL)【コラージュフルフル】[コラージュフルフルネクスト リンス 詰め替え][rn]
16-102703,http://tshop.r10s.jp/soukai/cabinet/17/4901301276117.jpg?fitin=700:700,594.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,キュレル コンディショナー つめかえ用(360mL)【kao1610T】【キュレル】[キュレル コンディショナー 詰め替え 花王],キュレル / キュレル コンディショナー 詰め替え 花王,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞無添加リンス・低刺激リンス＞キュレル コンディショナー つめかえ用 (360mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z17/z4901301276117.jpg' width='100%'><br><br>商品区分：医薬部外品<br><br>【キュレル コンディショナー つめかえ用の商品詳細】<br>●キュレル 浸透保湿 頭皮＆ヘアケアは、フケ・かゆみ、乾燥などの頭皮トラブルを防いで、指どおりなめらかな髪に仕上げます。<br>●負担を抑えながら、頭皮と髪の潤いを守ります。<br>●フケ・かゆみを防ぎます。植物由来の消炎剤(有効成分)配合<br>●パサつきがちな毛先まで潤いが浸透して、指どおりなめらかに仕上げます。<br>●スッキリすすげて、頭皮や髪に残りにくい低刺激<br>●弱酸性・無香料・無着色<br><br>【使用方法】<br>・シャンプーの後、適量を直接髪全体によくなじませてから、すすいでください。<br><br>【ボトルへのつめかえ方】<br>・必ずキュレルコンディショナーの使用済みボトルにつめかえてください。<br>・つめかえ前にボトルの中とポンプ部分をよく洗い、水気をきってから全量つめかえてください。<br>・使いきってからつめかえてください。他の製品や異なった製造番号のものが混ざらないようにしてください。<br>・つめかえた後、パックの下部の製造番号を控えておいてください。お問合せの際に必要な場合があります。<br>(1)パック上部の注ぎ口を、点線にそって手で切ります。<br>※パックを強く持つと、液が飛び出ることがあるので注意してください。<br>(2)注ぎ口をボトルの口にしっかりと差し込み、パックをしぼりながら中身を入れます。折りたたんでしぼると、ムダなく出すことができます。<br><br>【成分】<br>有効成分・・・グリチルリチン酸2K<br>その他の成分・・・精製水、セタノール、塩化アルキルトリメチルアンモニウム、ジメチコン、スクワラン、パルミチン酸イソプロピル、高重合ジメチコン-1、塩化ジアルキル(12-18)ジメチルアンモニウム液、無水クエン酸、BG、オレンジ油、ユーカリ油、イソプロパノール、エタノール、フェノキシエタノール<br>【注意事項】<br>・湿疹、皮フ炎(かぶれ、ただれ)等の皮フ障害のある時は、悪化させる恐れがあるので使わない。<br>・刺激などの異常が出たら使用を中止し、皮フ科医へ相談する。<br>・つめかえる時や使用中、目に入らないよう注意し、入った時は、すぐに充分洗い流す。<br>・乳幼児や認知症の方などの誤飲等を防ぐため、置き場所に注意する。<br><br>【ブランド】<br>キュレル<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品　0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス　0120-165-696<br>飲料（ヘルシア）　0120-165-697<br>紙おむつ、生理用品　0120-165-695<br>洗濯、掃除、食器洗い用品　0120-165-693<br>ペットケア　0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>(Curel 詰め替え用 詰替え用 詰替用)<br><br>/(/F208703/F269405/F282305/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：キュレル/],キュレル コンディショナー つめかえ用(360mL)【kao1610T】【キュレル】[キュレル コンディショナー 詰め替え 花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションキュレル コンディショナー つめかえ用(360mL)【kao1610T】【キュレル】[キュレル コンディショナー 詰め替え 花王],キュレル / キュレル コンディショナー 詰め替え 花王。キュレル コンディショナー つめかえ用(360mL)【kao1610T】【キュレル】[キュレル コンディショナー 詰め替え 花王][rn]
16-102704,http://tshop.r10s.jp/soukai/cabinet/70/4902430474870.jpg?fitin=700:700,318.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,ハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替(340mL)【sd-hea-pg】【ハーバルエッセンス(Herbal Essences)】[シャンプー ボトル ノンシリコンシャンプー],ハーバルエッセンス(Herbal Essences),お店TOP＞バス・洗面＞リンス・コンディショナー＞ダメージケアリンス・コンディショナー＞ハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替 (340mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z70/z4902430474870.jpg' width='100%'><br><br>【ハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替の商品詳細】<br>●ハーバルエッセンスシリーズからローズアロマコレクション限定発売！天然植物成分配合でローズ香る、さらさら髪に<br>●ローズヒップ、ホホバ、ビタミンEといった天然植物成分配合、髪1本1本を深く潤し、髪の輝きも保ちます。<br>●バラ、ジャスミン、シクラメン咲きほこるお花畑の香り<br>●お部屋において、バスタイムがHappyになる可愛らしいローズのパッケージ<br>●詰め替え用<br><br>【成分】<br>水、ステアリルアルコール、シクロペンタシロキサン、セタノール、ステアラミドプロピルジメチルアミン、グルタミン酸、ジメチコン、香料、ベンジルアルコール、EDTA、PG、ポリソルベート20、硝酸Mg(キ)、加水分解コムギタンパク、グリセリン、メチルクロロイソチアゾリノン、フェノキシエタノール(キ)、加水分解コムギデンプン、塩化Mg(キ)、メチルイソチアゾリノン、橙205、カニナバラ果実エキス、メチルパラベン(キ)、赤504、ソルビン酸K(キ)、トコフェロール、ブチルパラベン(キ)、エチルパラベン(キ)、イソブチルパラベン(キ)、プロピルパラベン(キ)、ホホバ種子エキス<br>【注意事項】<br>★使用上の注意<br>・頭皮に傷、はれもの、湿疹等のあるときは使わないでください。<br>・使用中や使用後に刺激等の異常が現れたときは使用を中止し、皮フ科専門医等にご相談されることをおすすめします。<br>・目に入ったときは、直ちに洗い流してください。<br>・高温や直射日光を避けて保管してください。<br>・お子様の手の届かないところに置いてください。<br><br>【ブランド】<br>ハーバルエッセンス(Herbal Essences)<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343</font><br><br>(HerbaL Essences つめかえ用 詰替用 詰替え用 詰め替え用)<br><br>/(/F2246/F281406/F217802/F236612/F321307/F227603/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：ハーバルエッセンス(Herbal Essences)/],ハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替(340mL)【sd-hea-pg】【ハーバルエッセンス(Herbal Essences)】[シャンプー ボトル ノンシリコンシャンプー]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替(340mL)【sd-hea-pg】【ハーバルエッセンス(Herbal Essences)】[シャンプー ボトル ノンシリコンシャンプー],ハーバルエッセンス(Herbal Essences)。ハーバルエッセンス ロマンティックアロマ ローズコレクション コンディショナー 詰替(340mL)【sd-hea-pg】【ハーバルエッセンス(Herbal Essences)】[シャンプー ボトル ノンシリコンシャンプー][rn]
16-102705,http://tshop.r10s.jp/soukai/cabinet/85/4902430330985.jpg?fitin=700:700,258.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,ハーバルエッセンス なめらかスムース コンディショナー 詰め替え用(340g)【sd-hen-pg】【ハーバルエッセンス(Herbal Essences)】[コンディショナー 詰め替え 詰め替え用 価格 香り],ハーバルエッセンス(Herbal Essences),お店TOP＞バス・洗面＞リンス・コンディショナー＞詰め替え用リンス・コンディショナー＞ハーバルエッセンス なめらかスムース コンディショナー 詰め替え用 (340g)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z85/z4902430330985.jpg' width='100%'><br><br>【ハーバルエッセンス なめらかスムース コンディショナー 詰め替え用の商品詳細】<br>●乾燥し、ごわつき、まとまりにくい髪を、ツバキオイルとなめらか美容液配合のコンディショナーがなめらか髪に導きます。<br>●ツバキオイル成分とピンクローズの香り<br>●ハーバルエッセンス なめらかスムースシリーズのシャンプーや集中トリートメントと一緒に使用していただくと一層効果的です。<br><br>【使用方法】<br>・シャンプー後軽く水気をきり、適量を髪になじませた後、よくすすいでください。<br>★ポンプボトルへのつめかえ方<br>(1)つめかえ口の付け根部分をしっかりもってキャップを矢印の方向にまわして開けてください。開ける際にはキャップの切り口と液の飛び出しに気をつけてて下さい。<br>(2)つめかえ口をボトルの口に差し込んで両手で固定して注ぎいれてください。<br>コンディショニング成分が多く含まれており粘度が高いため、あふれないようゆっくり注意してつめかえてください。つめかえ途中で容器の口までいっぱいになった場合は容器の底を3～5回たたくと上部に空間ができて入りやすくなります。<br><br>【成分】<br>水、ステアリルアルコール、ビスアミノプロピルジメチコン、ベヘントリモニウムクロリド、セタノール、香料、イソプロパノール、ベンジルアルコール、EDTA-2Na、PG、水酸化Na、ガリカバラ花エキス、ユチャ種子油、メチルクロロイソチアゾリノン、赤227、メチルイソチアゾリノン<br>【注意事項】<br>★使用上の注意<br>・頭皮に傷、はれもの、湿疹等のあるときは使わないでください。<br>・使用中や使用後に刺激等の異常が現れたときは使用を中止し、皮膚科専門医等にご相談されることをおすすめします。<br>・目に入ったときは、ただちに洗い流してください。<br>・高温や直射日光を避けて保管してください。<br>・お子様の手のとどかないところに置いてください。<br>※飲み物ではありません。<br>※つめかえ前にボトルの中とポンプの部分を水道水でよく洗い、乾燥させてから一度に全量つめかえてください。<br>※つめかえ後は下部に印字されている製造番号を記載するか、切り取ってボトルに貼りつけてください。<br>※必ずハーバルエッセンスなめらかスムーズコンディショナーの使用済みポンプボトルにつめかえてください。<br><br>【ブランド】<br>ハーバルエッセンス(Herbal Essences)<br><br>【発売元、製造元、輸入元又は販売元】<br>P＆G(プロクター＆ギャンブル)<br><br><font color='red'>ヘアケア製品：0120-021327<br>ウエラ製品：0120-308168<br>乳幼児用紙おむつ・生理用品：0120-021329<br>食器用洗剤・布製品消臭剤・置き型消臭剤・衣料用洗剤・柔軟仕上げ剤：0120-021321<br>ブラウン：0120-136343</font><br><br>(Herbal Essences 滑らかスムース つめかえ用 詰替え用 詰替用)<br><br>/(/F281406/F217802/F223806/F236612/F321307/F227603/)/<br><br>P＆G(プロクター＆ギャンブル)<br>658-0032 兵庫県神戸市灘区向洋町中1丁目17番地　※問い合わせ番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[リンス・コンディショナー/ブランド：ハーバルエッセンス(Herbal Essences)/],ハーバルエッセンス なめらかスムース コンディショナー 詰め替え用(340g)【sd-hen-pg】【ハーバルエッセンス(Herbal Essences)】[コンディショナー 詰め替え 詰め替え用 価格 香り]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションハーバルエッセンス なめらかスムース コンディショナー 詰め替え用(340g)【sd-hen-pg】【ハーバルエッセンス(Herbal Essences)】[コンディショナー 詰め替え 詰め替え用 価格 香り],ハーバルエッセンス(Herbal Essences)。ハーバルエッセンス なめらかスムース コンディショナー 詰め替え用(340g)【sd-hen-pg】【ハーバルエッセンス(Herbal Essences)】[コンディショナー 詰め替え 詰め替え用 価格 香り][rn]
16-102706,http://tshop.r10s.jp/soukai/cabinet/69/4513574014169.jpg?fitin=700:700,532.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,サロンリンク エクストラコンディショナー(1L)【サロンリンク(SALON LINK)】[リンス コンディショナー],サロンリンク(SALON LINK) / リンス コンディショナー,お店TOP＞バス・洗面＞リンス・コンディショナー＞ダメージケアリンス・コンディショナー＞サロンリンク エクストラコンディショナー (1L)<br><br>★税抜1900円以上で送料無料★<br><br>【サロンリンク エクストラコンディショナーの商品詳細】<br>●傷んだ髪を内側から集中補修。サロンの仕上がり！<br>●さまざまなダメージやストレスで傷んだ髪を内側からしっかり集中補修。健やかで美しく輝くサロンのような仕上がりを実感します。<br>●毛髪補修成分アミノ酸+シルクプロテインがパサついた髪の奥深くまでじっくり浸透、保護。なめらかでツヤのある、指どおりのよいサラサラ髪に導きます。<br>●シアバター、ハチミツなど天然由来の高保湿成分を贅沢に配合。しっとりうるおう、しなやかでみずみずしい髪を保ちます。<br>●ラグジュアリーな気分に浸れるヨーロピアンフローラルの香り<br><br>【使用方法】<br>・シャンプーの後、適量を手にとり髪全体になじませてくださ。その後、洗い流してください。<br><br>【成分】<br>水、ステアリルアルコール、ミネラルオイル、セタノール、グリセリン、ステアルトリモニウムクロリド、ステアロキシプロピルトリモニウムクロリド、ジメチコン、シクロペンタシロキサン、トリデセス-3、(C12-14)パレス-5、ポリクオタニウム-10、ヒアルロン酸Na、セチルPGヒドロキシエチルパルミタミド、アルギニン、シア脂、ハチミツ、パンテノール、加水分解シルク、BG、クエン酸、エチルパラベン、香料<br>【注意事項】<br>・頭皮に異常があるとき、頭皮にあわないときはご使用をおやめください。<br>・使用中、かぶれ、刺激等の異常が出たら使用を中止し、皮膚科医へご相談下さい。<br>・目に入らないように注意し、目に入ったときはすぐに洗い流してください。<br>・高温の場所や直射日光のあたる場所には、保管しないでください。<br>・乳幼児の手の届かないところに置いてください。<br><br>【ブランド】<br>サロンリンク(SALON LINK)<br><br>【発売元、製造元、輸入元又は販売元】<br>熊野油脂<br><br>(EXコンディショナー 1000mL)<br><br>熊野油脂<br>489-0881 愛知県瀬戸市熊野35<br>0561-82-9245<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：サロンリンク(SALON LINK)/],サロンリンク エクストラコンディショナー(1L)【サロンリンク(SALON LINK)】[リンス コンディショナー]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションサロンリンク エクストラコンディショナー(1L)【サロンリンク(SALON LINK)】[リンス コンディショナー],サロンリンク(SALON LINK) / リンス コンディショナー。サロンリンク エクストラコンディショナー(1L)【サロンリンク(SALON LINK)】[リンス コンディショナー][rn]
16-102707,http://tshop.r10s.jp/soukai/cabinet/11/4973512257711.jpg?fitin=700:700,364.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,arau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用(450mL)【アラウ．(arau．)】,アラウ．(arau．)★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞リンス・コンディショナー＞無添加リンス・低刺激リンス＞arau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用 (450mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z11/z4973512257711.jpg' width='100%'><br><br>【arau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用の商品詳細】<br>●クエン酸と植物性セルロース+天然ハーブ♪<br>●せっけんシャンプー後の髪をクエン酸の力で弱酸性に<br>●植物性セルロース(ポリクオタニウム-10)が髪表面の傷んだところに吸着し、しなやかでキレイな髪に<br>●天然ハーブの力♪<br>●ラベンダー油＆ライム油で香る潤い天然精油<br>●シソエキス＆カミツレエキスで潤い植物エキス<br>●皮ふアレルギーテスト済み！(すべての人に皮膚刺激がおきないというわけではありません)<br>●着色料、香料、保存料無添加！<br><br>【成分】<br>水、エタノール、クエン酸、クエン酸Na、PEG-60アーモンド脂肪酸グリセリル、ポリクオタニウム-10、ライム油、ラベンダー油、シソエキス、カミツレエキス、BG<br>【注意事項】<br>・本品はせっけんシャンプー専用のコンディショナーですので、一般品とは使用感が異なります。<br><br>【ブランド】<br>アラウ．(arau．)<br><br>【発売元、製造元、輸入元又は販売元】<br>サラヤ<br><br>(arau アラウ. 石鹸シャンプー用 石けんシャンプー用 つめかえ用 詰替え用 詰め替え用)<br><br>/(/F276801/)/<br><br>サラヤ<br>546-0013 大阪市東住吉区湯里2-2-8<br>0120-40-3636<br><br>広告文責：株式会社爽快ドラッグ<br><br>[リンス・コンディショナー/ブランド：アラウ．(arau．)/],arau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用(450mL)【アラウ．(arau．)】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションarau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用(450mL)【アラウ．(arau．)】,アラウ．(arau．)★税抜1900円以上で送料無料★。arau.(アラウ) せっけんシャンプー用 泡コンディショナー 詰替用(450mL)【アラウ．(arau．)】[rn]
16-102708,http://tshop.r10s.jp/soukai/cabinet/61/4560119223661.jpg?fitin=700:700,671.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > リンス・コンディショナー,モイスト・ダイアン オイルトリートメント ボリューム＆スカルプ(500mL)【モイスト・ダイアン】[モイストダイアン],モイスト・ダイアン / モイストダイアン,お店TOP＞バス・洗面＞トリートメント＞ノンシリコントリートメント＞モイスト・ダイアン オイルトリートメント ボリューム＆スカルプ (500mL)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z61/z4560119223661.jpg' width='100%'><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z61/z4560119223661-2.jpg' width='100%'><br><br>【モイスト・ダイアン オイルトリートメント ボリューム＆スカルプの商品詳細】<br>●「魔法のオイル」モロッカンアルガンオイル配合<br>●トリートメントマッサージで頭皮ケア<br>●話題の幹細胞エキスを配合<br>●次世代型「イオンコンプレックステクノロジー」<br>モロッカンアルガンオイルをはじめ、高級レアオイル配合なのにベタつかない。髪にディープに浸透して、艶やかな潤い溢れる髪質に<br>●モロッカンアルガンオイル、バオバブオイル、マルーラルオイル、ルーピンオイル配合<br>●ノンシリコン<br><br>【使用方法】<br>(1)シャンプー後、軽く髪の水気をきります。<br>(2)適量を手にとり、髪全体になじませます。<br>(3)しばらく置いた後、よくすすいでください。<br>・モイスト・ダイアン オイルシャンプー ボリューム＆スカルプと合わせてご使用頂くことをお勧めします。<br><br>【成分】<br>水、パルミチン酸エチルヘキシル、セテアリルアルコール、ステアルトリモニウムブロミド、バオバブ種子油、アルガニアスピノサ核油、プルーン種子エキス、スクレロカリアビレア種子油、シロバナルーピン種子油、アルガニアスピノサ芽細胞エキス、ロドデンドロンフェルギネウム葉培養細胞エキス、アスパラゴプシスアルマタエキス、アスコフィルムノドスムエキス、セテアラミドエチルジエトニウム加水分解コメタンパク、ユビキノン、グルコシルヘスペリジン、ビオチン、ケラチン(羊毛)、加水分解シルク、加水分解コラーゲン、イソマルト、ソルビトール、ラウロイルグルタミン酸ジ(フィトステリル／オクチルドデシル)、イソステアリン酸水添ヒマシ油、ペンチレングリコール、1.2-ヘキサンジオール、ヒドロキシエチルセルロース、レシチン、水添レシチン、ラウリン酸ポリグリセリル-10、ジステアリルジモニウムクロリド、ベヘニルアルコール、イソプロパノール、BG、グリセリン、乳酸、エチドロン酸4Na、エチドロン酸、フェノキシエタノール、香料、カラメル<br><br>【ブランド】<br>モイスト・ダイアン<br><br>【発売元、製造元、輸入元又は販売元】<br>ストーリア<br><br>(Moist， Diane オイルヘアトリートメント)<br><br>ストーリア<br>150-0013 東京都渋谷区恵比寿2-2-11<br>0120-100-168<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[トリートメント/ブランド：モイスト・ダイアン/],モイスト・ダイアン オイルトリートメント ボリューム＆スカルプ(500mL)【モイスト・ダイアン】[モイストダイアン]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションモイスト・ダイアン オイルトリートメント ボリューム＆スカルプ(500mL)【モイスト・ダイアン】[モイストダイアン],モイスト・ダイアン / モイストダイアン。モイスト・ダイアン オイルトリートメント ボリューム＆スカルプ(500mL)【モイスト・ダイアン】[モイストダイアン][rn]
