16-23201,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90×125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自由に高さを変えられる伸縮式のつい立てで、組み立て不要ですぐに使用できます。<br>
●ストッパー付キャスターで移動・設置も簡単にできます。<br>
●幅×奥行×高さ(mm):900×400×1290～1870<br>
●フレーム：スチールパイプ（粉体塗装）<br>
●布：ポリエステル100％（帝人ファイバーエコペット）",■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1：クローバー資材館,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品。■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1[rn]
16-23202,,11504.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）橋本クロス/橋本【NMT-30B】(4332113)ＨＣ 粘着マットＮＭＴ－３０Ｂ ６００×９００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エアシャワー内、出入口に設置し汚れの侵入をストップします。<br>●汚れたら１枚づつ剥がして使えるディスポタイプです。<br>●汚れ・ゴミの付着が目立つ青色シートです。<br>●連番タックが付いており枚数管理が簡単です。<br>●固定が簡単。裏面粘着タイプでベースマットが不要です。<br>●半導体工場、食品工場。<br>●病院、福祉施設。<br>●クリーンエリアの出入り口。<br>●色:ブルー<br>●幅(mm):600<br>●長さ(mm):900<br>●厚み(mm):1.6<br>●質量(kg):9<br>●1シート：フィルム３０枚<br>●フィルム厚み：50μm<br>●フィルム：低密度ポリエチレン(LDPE)<br>●粘着剤：水性アクリル乳酸<br>",『カード対応OK！』■〒（株）橋本クロス/橋本【NMT-30B】(4332113)ＨＣ 粘着マットＮＭＴ&minus;３０Ｂ ６００&times;９００ｍｍ（１０シート／箱） 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）橋本クロス/橋本【NMT-30B】(4332113)ＨＣ 粘着マットＮＭＴ&minus;３０Ｂ ６００&times;９００ｍｍ（１０シート／箱） 受注単位1,オフィス住設用品\床材用品\クリーンマット。『カード対応OK！』■〒（株）橋本クロス/橋本【NMT-30B】(4332113)ＨＣ 粘着マットＮＭＴ&minus;３０Ｂ ６００&times;９００ｍｍ（１０シート／箱） 受注単位1[rn]
16-23203,,7356.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/TRUSCO オイルキャッチャー【TOGYF-5090-10】(7915951) TRUSCO オイルキャッチャーマットＧＹ フィルム付 500Ｘ900 10枚入 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●飛散油、床油、靴底油を高性能吸着する3層構造仕上げです。<br>
●表層は油を吸い込み、摩擦に強く、中心層は油吸着に優れた天然ウール層です。<br>
●液体が床面に染み出さず、滑り止め効果もあります。<br>
●従来のマットと違い、天然繊維も使用した環境配慮型商品であり、油性液体、水溶性液体を吸着する多機能マットです。<br>
●圧縮加工で耐久性も優れており、工場の出入り口等で靴裏油の除去にも効果的です。<br>
●難燃性の素材を使用しております。<br>
●裏面はフィルム加工してあり、液体が床面に染み出ません。また滑り止め効果もあります。<br>
●オイル・水用。<br>
●工場出入り口、機械周り、通路に。<br>
●色:グレー<br>
●幅(mm):500<br>
●長さ(mm):900<br>
●油吸収量(L/枚):1.63<br>
●厚み(mm):2<br>
●表面：天然繊維（ウール）<br>
●裏面：ポリプロピレン<br>
●油類の吸着後は、その性質に応じ、専門業者に相談の上、処分してください。",■〒トラスコ中山/TRUSCO オイルキャッチャー【TOGYF-5090-10】(7915951) TRUSCO オイルキャッチャーマットＧＹ フィルム付 500Ｘ900 10枚入 発注単位1：クローバー資材館,■〒トラスコ中山/TRUSCO オイルキャッチャー【TOGYF-5090-10】(7915951) TRUSCO オイルキャッチャーマットＧＹ フィルム付 500Ｘ900 10枚入 発注単位1,オフィス住設用品\床材用品。■〒トラスコ中山/TRUSCO オイルキャッチャー【TOGYF-5090-10】(7915951) TRUSCO オイルキャッチャーマットＧＹ フィルム付 500Ｘ900 10枚入 発注単位1[rn]
16-23204,,460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-BK】(4873785)すべりま専用２Ｓ－４５０ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):450<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.3<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-450-BK】(4873785)すべりま専用２Ｓ&minus;４５０ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-BK】(4873785)すべりま専用２Ｓ&minus;４５０ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-450-BK】(4873785)すべりま専用２Ｓ&minus;４５０ブラック 受注単位1[rn]
16-23205,,4320.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒エクシールコーポレーション/エクシール マット【MAT3-SLA12】(7798792) エクシール アルミスロープ3mm用 1200×60 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●リフトマット、ステップマットの段差が気になる場合におすすめのスロープです。<br>
●台車などのタイヤがマットの端に引っかかるのを防ぎ、破損のリスクを減らします。<br>
●両面テープで貼り付けるタイプで設置も簡単です。<br>
●色:シルバー<br>
●幅(mm):60<br>
●長さ(mm):1200<br>
●適合マット厚み(mm):3<br>
●アルミ合金",■〒エクシールコーポレーション/エクシール マット【MAT3-SLA12】(7798792) エクシール アルミスロープ3mm用 1200&times;60 発注単位1：クローバー資材館,■〒エクシールコーポレーション/エクシール マット【MAT3-SLA12】(7798792) エクシール アルミスロープ3mm用 1200&times;60 発注単位1,オフィス住設用品\床材用品。■〒エクシールコーポレーション/エクシール マット【MAT3-SLA12】(7798792) エクシール アルミスロープ3mm用 1200&times;60 発注単位1[rn]
16-23206,,19051.2000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6012W】(4971175) メドライン　マイクロクリーンエコマット　ホワイト　６００×１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルム1枚1枚をはがすディスポーザブルタイプなので、いつでも清潔な環境にすることができます。<br>●フィルムの角についた連番タグでマットの残りの枚数が確認できます。<br><br><br>●色：ホワイト<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.0<br><br>●1シート：フィルム30枚<br>●フィルム厚み：35±5μm<br><br>●フィルム：中密度ポリエチレン(MPDE)<br>●粘着剤：アクリル系<br>",【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6012W】(4971175) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;１２００ｍｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6012W】(4971175) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;１２００ｍｍ 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒メドライン・ジャパン合同会社/メドライン【M6012W】(4971175) メドライン　マイクロクリーンエコマット　ホワイト　６００&times;１２００ｍｍ 受注単位1[rn]
16-23207,,1727.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ワタナベ工業/ワタナベ マット【K-GR-4522】(7973152) ワタナベ 階段用ぴたマット Ｋ－ＧＲ－4522 グリーン 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●気になる足音、足元の冷え防止になります。<br>
●裏面吸着で滑りません。<br>
●消臭機能付きで何度も洗えて清潔です。<br>
●フローリングに最適な階段用マット。<br>
●色:グリーン<br>
●幅(mm):450<br>
●厚み(mm):5<br>
●長さ(mm):220<br>
●表面：ポリエステル<br>
●裏面：アクリル樹脂",■〒ワタナベ工業/ワタナベ マット【K-GR-4522】(7973152) ワタナベ 階段用ぴたマット Ｋ&minus;ＧＲ&minus;4522 グリーン 発注単位1：クローバー資材館,■〒ワタナベ工業/ワタナベ マット【K-GR-4522】(7973152) ワタナベ 階段用ぴたマット Ｋ&minus;ＧＲ&minus;4522 グリーン 発注単位1,オフィス住設用品\床材用品。■〒ワタナベ工業/ワタナベ マット【K-GR-4522】(7973152) ワタナベ 階段用ぴたマット Ｋ&minus;ＧＲ&minus;4522 グリーン 発注単位1[rn]
16-23208,,12909.6000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10W】(7679289) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ホワイト　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●汚れたフィルムをはがすだけでいつでも清潔な環境にすることができます。<br>●連番タブ付でマットの残数の確認が容易です。<br><br><br>●色：ホワイト<br>●幅(mm)：600<br>●長さ(mm)：1200<br>●厚み(mm)：1.6<br><br>●1シート：フィルム30枚<br>●フィルム厚み：50μm<br><br>●フィルム：低密度ポリエチレン（LDPE）<br>●粘着剤：水性アクリル乳酸<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10W】(7679289) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ホワイト　１０シート入 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10W】(7679289) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ホワイト　１０シート入 受注単位1,オフィス住設用品\床材用品\クリーンマット。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【CM6012-10W】(7679289) 粘着クリーンマット　６００Ｘ１２００ＭＭ　ホワイト　１０シート入 受注単位1[rn]
16-23209,,258.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ワタナベ工業/ワタナベ マット【SS-300GY】(7948808) ワタナベ システムストーン ＳＳ－300ーＧＹ グレー 発注単位1,オフィス住設用品\床材用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ストーン調でデザイン性に富んでいます。<br>
●手軽にジョイント施工が出来ます。<br>
●静電気防止剤、老化防止剤を配合しています。<br>
●システムターフＲ、シバックスともジョイントが可能です。<br>
●屋上、ベランダ、遊技場など。<br>
●色:グレー<br>
●幅(mm):300<br>
●長さ(mm):300<br>
●厚み(mm):19<br>
●PE樹脂",■〒ワタナベ工業/ワタナベ マット【SS-300GY】(7948808) ワタナベ システムストーン ＳＳ&minus;300ーＧＹ グレー 発注単位1：クローバー資材館,■〒ワタナベ工業/ワタナベ マット【SS-300GY】(7948808) ワタナベ システムストーン ＳＳ&minus;300ーＧＹ グレー 発注単位1,オフィス住設用品\床材用品。■〒ワタナベ工業/ワタナベ マット【SS-300GY】(7948808) ワタナベ システムストーン ＳＳ&minus;300ーＧＹ グレー 発注単位1[rn]
16-23210,,596.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-600-B】(4873807)すべりま専用２Ｓ－６００ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブルー<br>●幅(mm):600<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.4<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-600-B】(4873807)すべりま専用２Ｓ&minus;６００ブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-600-B】(4873807)すべりま専用２Ｓ&minus;６００ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-600-B】(4873807)すべりま専用２Ｓ&minus;６００ブルー 受注単位1[rn]
16-23211,,571.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3022】(7535350) タイルカーペット　ブルー　５０ｃｍ×５０ｃｍ 受注単位1,オフィス住設用品\床材用品\通路マット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐薬品性に優れ、漂白剤でのスポットクリーニングも可能です。<br>●防汚性、防音効果に優れています。<br>●含有率が低いため、乾燥が早く、水切れが良いです。<br>●防炎適合商品です。防炎性能登録番号（Ｅ２１２００４４）<br>●帯電防止加工<br><br>●工事の事務所、休憩場、ビルや店舗の床材用マット。<br><br>●色：ブルー<br>●幅(mm)：500<br>●厚み(mm)：6<br>●長さ(mm)：500<br><br><br>●表面：ポリプロピレン(PP)100％<br>●裏面：ＰＶＣ100％<br>",『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3022】(7535350) タイルカーペット　ブルー　５０ｃｍ&times;５０ｃｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3022】(7535350) タイルカーペット　ブルー　５０ｃｍ&times;５０ｃｍ 受注単位1,オフィス住設用品\床材用品\通路マット。『カード対応OK！』■〒ワタナベ工業/ワタナベ【PX-3022】(7535350) タイルカーペット　ブルー　５０ｃｍ&times;５０ｃｍ 受注単位1[rn]
