16-104401,http://tshop.r10s.jp/akiba-u-shop/cabinet/new/m900tiny.jpg?fitin=700:700,34384.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,【新品】【送料無料】 Lenovo ThinkCentre M700 Tiny 10J002JJP[Celeron G3900T/4GB/500GB/Windows10 Pro],,"<table border=""1"">

<tr><td width=""115"" valign=""top"">
OS
</td><td valign=""top"">
Windows 10 Pro 64bit (日本語版)
</td></tr>

<tr><td valign=""top"">
プロセッサ
</td><td valign=""top"">
Celeron G3900T 2.60GHz
</td></tr>

<tr><td valign=""top"">
メモリ
</td><td valign=""top"">
4GB PC4-17000 (空き1)
</td></tr>

<tr><td valign=""top"">
ストレージ
</td><td valign=""top"">
500GB (7200rpm/シリアルATA/2.5インチ)
</td></tr>

<tr><td valign=""top"">
光学ドライブ
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
グラフィック<br>
</td><td valign=""top"">
CPU内蔵(インテル HD グラフィックス 510)<br>
</td></tr>

<tr><td valign=""top"">
ディスプレイ
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
オーディオ
</td><td valign=""top"">
インテル HD オーディオ<br>
モノラルスピーカー
</td></tr>

<tr><td valign=""top"">
通信機能
</td><td valign=""top"">
10BASE-T/100BASE-TX/1000BASE-T<br>
</td></tr>

<tr><td valign=""top"">
インターフェース
</td><td valign=""top"">
USB 3.0 x6<br>
VGAx1、Displayport x2<br>
マイク x1、コンボジャック x１、ライン出力 x1<br>
RJ45x1
</td></tr>

<tr><td valign=""top"">
Officeソフト
</td><td valign=""top"">
なし
</td></tr>

<tr><td valign=""top"">
付属品
</td><td valign=""top"">
キーボード、光学ホイール マウス、フロアスタンド、<br>
ACアダプター(65W)、電源コ－ド、<br>
マニュアル類、購入証明書
</td></tr>

<tr><td valign=""top"">商品状態</td><td valign=""top"">
・メーカー保証あり<br>
・未開封未使用品<br>
<br>
<font color=""#0000ff"">
※写真はイメージとなりますので、実際と多少異なる場合がございます。<br>
</font><br>
<FONT color=""#ff0000"">※注※<br>
ご購入後、ユーザー登録をお願いいたします。<br>
保証につきましては、メーカー保証となります。<br>
特価品のため初期不良対応を含むサポート、修理などのお問合せは、メーカーのサポートセンターへお願いいたします。<br>
</Font>

</td></tr></table>",【新品】【送料無料】 Lenovo ThinkCentre M700 Tiny 10J002JJP[Celeron G3900T/4GB/500GB/Windows10 Pro]：あきばU-SHOP　楽天市場店,中古パソコンデジカメ液晶秋葉原iPodWalkmanWindowsNikonLenovo東芝ウォークマンNEC富士通iPadiPhoneOffice【新品】【送料無料】 Lenovo ThinkCentre M700 Tiny 10J002JJP[Celeron G3900T/4GB/500GB/Windows10 Pro],【新品】【送料無料】 Lenovo ThinkCentre M700 Tiny 10J002JJP[Celeron G3900T/4GB/500GB/Windows10 Pro][rn]
16-104402,http://tshop.r10s.jp/auc-pcjungle/cabinet/images/imgrc0074842079.jpg?fitin=700:700,13440.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,DELL OptiPlex 7010 D03S 【Windows7 Professional 64bit / Intel Corei3 2120 3.30GHz/ メモリ4GB / HDD250GB / DVDマルチ】 【中古】 【デスクトップパソコン】,コンパクトな筐体が魅力！お手頃でベーシックなモデル,"商品詳細<br>
<br>
保証期間：商品到着から90日間<br>
<br>
商品状態：中古 ( リユース )<br>
<br>
種類：デスクトップパソコン<br>
<br>
メーカー：DELL<br>
<br>
製品名：OptiPlex 7010<br>
<br>
型番：D03S<br>
<br>
OS：Windows7 Professional 64bit<br>
<br>
CPU：Intel Corei3 2120 3.30GHz<br>
<br>
メモリ：4GB<br>
<br>
HDD：250GB<br>
<br>
光学ドライブ：DVDマルチドライブ<br>
<br>
有線LAN端子：10/100/1000 BASE-T 準拠<br>
<br>
インターフェイス：<br>
LANコネクタ RJ-45×1<br>
USB3.0×4<br>
USB2.0×6<br>
PS/2 Mini DIN 6ピン×2 <br>
アナログRGB (ミニD-Sub 15ピン)×１<br>
シリアルポート RS232C D-SUB 9ピン×１<br>
DisplayPort×2<br>
ヘッドフォン/ラインアウト×各1<br>
マイク/ラインイン×各1<br>
<br>
重さ：約6.0kg<br>
<br>
外形寸法：約29.0 × 9.3 × 31.2cm （高さ×幅×奥行き）<br>
<br>
付属品：電源ケーブル、KINGSOFT Office ライセンスカード<br>
※付属品は純正品ではない場合がございます。<br>
<br>
商品ランク：<br>
機能状態：A：異常ありません。<br>
外観全体：B：大きく目立った汚れやスレ等はありませんが、若干の使用感があります。<br>
<br>
特記事項：<br>
○通電・動作確認済みです！<br>
○清潔クリーニング済みです！<br>
○複数台在庫している商品の写真に関しては、一例写真になります。写真の商品がお手元に届く個体というわけではございませんので予めご了承下さい。<br>
○内部のパーツ構成はメーカー出荷時の構成と異なる場合がございます。<br>
○Windowsをセットアップ済、最新版にアップデート済みなので、届いてすぐに使えます！<br>
<br>
<br>
確認コード：dpc-dell-optx7010-1703<br>
（170310/Web/デスク）<br>",DELL OptiPlex 7010 D03S 【Windows7 Professional 64bit / Intel Corei3 2120 3.30GHz/ メモリ4GB / HDD250GB / DVDマルチ】 【中古】 【デスクトップパソコン】：ＰＣジャングル,中古パソコン中古PCリユースPCWindows7ノートパソコンデスクトップパソコンMARプログラムWin7リユースパソコン中古 パソコン中古 PCNEC 中古Windows 中古パソコン 中古iPhone 中古白ロムiPad 中古スマートフォン 中古スマホ 中古Android 中古DELL OptiPlex 7010 D03S 【Windows7 Professional 64bit / Intel Corei3 2120 3.30GHz/ メモリ4GB / HDD250GB / DVDマルチ】 【中古】 【デスクトップパソコン】,コンパクトな筐体が魅力！お手頃でベーシックなモデル。DELL OptiPlex 7010 D03S 【Windows7 Professional 64bit / Intel Corei3 2120 3.30GHz/ メモリ4GB / HDD250GB / DVDマルチ】 【中古】 【デスクトップパソコン】[rn]
16-104403,http://tshop.r10s.jp/auc-pcjungle/cabinet/images/imgrc0074947459.jpg?fitin=700:700,24640.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / HDD500GB / DVDマルチドライブ】【中古】【デスクトップパソコン】,グラフィックボード増設モデル！,"グラフィックボードが増設済みのため、画像や映像をよりきれいに表示できます！<br>
グラフィックに凝ったゲームや画像編集ソフト、3Dデザインソフトなども快適に作業することができますよ♪<br>
<br>
さらに16GBのメモリに500GBのHDD、DVDへの書き込みができるDVDマルチドライブ搭載など、とっても使いやすい仕様となっております。<br>
写真の編集や音楽の取り込み、オリジナルDVDの作成など、マルチに使用できます。<br>
<br>
PCジャングルの中古パソコンは、全品セットアップ済み！<br>
こちらのPCは90日間保証付き！<br>
KINGSOFT Office Standard版がプリインストール済！<br>
セキュリティソフトの永久無料版も搭載済み！<br>
OSも最新版にアップデート済み！<br>
全品清潔クリーニング済み！<br>
<br>
法人取引の実績と信頼！<br>
PCジャングルの中古パソコンをぜひともご検討ください！<br>
<br>
<hr>
<br>
商品詳細<br>
<br>
保証期間：商品到着から90日間<br>
<br>
商品状態：中古 ( リユース )<br>
<br>
種類：デスクトップパソコン<br>
<br>
メーカー：HP<br>
<br>
製品名：Compaq Pro 6300 SF/CT<br>
<br>
型番：QV985AV<br>
<br>
OS：Windows7 Home Premium 64bit<br>
<br>
CPU：Intel Corei5 3470 3.20GHz<br>
<br>
メモリ：16GB<br>
<br>
HDD：500GB<br>
<br>
リカバリ：なし(OSインストール済み商品)<br>
※Windows7の機能で後から作成可能です<br>
<br>
光学ドライブ：DVDマルチドライブ<br>
<br>
有線LAN端子：10/100/1000 BASE-T 準拠<br>
<br>
インターフェイス：<br>
・RS-232C D-SUB 9ピン（オス）×1<br>
・RJ-45<br>
・USB3.0×4（背面）、USB2.0×6（前面4、背面2）<br>
・PS/2互換Mini DIN 6ピン×2<br>
・アナログRGBミニD-SUB 15ピン（メス）×1<br>
・DisplayPort×1<br>
・DVI-D×1<br>
・DMS 59端子×1<br>
・ヘッドフォン（ステレオミニ）/マイク（ステレオミニ）×各1<br>
・ラインイン（ステレオミニ）/ラインアウト（ステレオミニ）×各1<br>
<br>
重さ：約7.6kg<br>
<br>
外形寸法 (W×D×H)：100 × 378 × 338 mm<br>
<br>
付属品：電源ケーブル、KINGSOFT Office ライセンスカード<br>
※付属品は純正品ではない場合がございます。<br>
<br>
商品ランク：<br>
機能状態：A：異常はありません<br>
外観全体：B：筺体側面や底面にキズなどがあります。<br>
わずかにへこみ等あり、使用感があります。<br>
<br>
<br>
特記事項：<br>
○通電・動作確認済みです！<br>
○清潔クリーニング済みです！<br>
○複数台在庫している商品の写真に関しては、一例写真になります。写真の商品がお手元に届く個体というわけではございませんので予めご了承下さい。<br>
○内部のパーツ構成はメーカー出荷時の構成と異なる場合がございます。<br>
○Windowsをセットアップ済、最新版にアップデート済みなので、届いてすぐに使えます！<br>
<br>
<br>
確認コード：dpc-hp-6300-500gb<br>
（iwk/170329/Web/デスク）<br>",HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / HDD500GB / DVDマルチドライブ】【中古】【デスクトップパソコン】：ＰＣジャングル,中古パソコン中古PCリユースPCWindows7ノートパソコンデスクトップパソコンMARプログラムWin7リユースパソコン中古 パソコン中古 PCNEC 中古Windows 中古パソコン 中古iPhone 中古白ロムiPad 中古スマートフォン 中古スマホ 中古Android 中古HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / HDD500GB / DVDマルチドライブ】【中古】【デスクトップパソコン】,グラフィックボード増設モデル！。HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / HDD500GB / DVDマルチドライブ】【中古】【デスクトップパソコン】[rn]
16-104404,http://tshop.r10s.jp/auc-pcjungle/cabinet/images/imgrc0074947457.jpg?fitin=700:700,43840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / SSD1TB / DVDマルチドライブ】【中古】【デスクトップパソコン】,1TBのSSD搭載！グラボ付きモデル！,"グラフィックボードが増設済みのため、画像や映像をよりきれいに表示できます！<br>
グラフィックに凝ったゲームや画像編集ソフト、3Dデザインソフトなども快適に作業することができますよ♪<br>
<br>
さらに16GBのメモリに1TBのSSD、DVDへの書き込みができるDVDマルチドライブ搭載など、とっても使いやすい仕様となっております。<br>
写真の編集や音楽の取り込み、オリジナルDVDの作成など、マルチに使用できます。<br>
<br>
PCジャングルの中古パソコンは、全品セットアップ済み！<br>
こちらのPCは90日間保証付き！<br>
KINGSOFT Office Standard版がプリインストール済！<br>
セキュリティソフトの永久無料版も搭載済み！<br>
OSも最新版にアップデート済み！<br>
全品清潔クリーニング済み！<br>
<br>
法人取引の実績と信頼！<br>
PCジャングルの中古パソコンをぜひともご検討ください！<br>
<br>
<hr>
<br>
商品詳細<br>
<br>
保証期間：商品到着から90日間<br>
<br>
商品状態：中古 ( リユース )<br>
<br>
種類：デスクトップパソコン<br>
<br>
メーカー：HP<br>
<br>
製品名：Compaq Pro 6300 SF/CT<br>
<br>
型番：QV985AV<br>
<br>
OS：Windows7 Home Premium 64bit<br>
<br>
CPU：Intel Corei5 3470 3.20GHz<br>
<br>
メモリ：16GB<br>
<br>
SSD：1TB<br>
<br>
リカバリ：なし(OSインストール済み商品)<br>
※Windows7の機能で後から作成可能です。<br>
<br>
光学ドライブ：DVDマルチドライブ<br>
<br>
有線LAN端子：10/100/1000 BASE-T 準拠<br>
<br>
インターフェイス：<br>
・RS-232C D-SUB 9ピン（オス）×1<br>
・RJ-45<br>
・USB3.0×4（背面）、USB2.0×6（前面4、背面2）<br>
・PS/2互換Mini DIN 6ピン×2<br>
・アナログRGBミニD-SUB 15ピン（メス）×1<br>
・DisplayPort×1<br>
・DVI-D×1<br>
・DMS 59端子×1<br>
・ヘッドフォン（ステレオミニ）/マイク（ステレオミニ）×各1<br>
・ラインイン（ステレオミニ）/ラインアウト（ステレオミニ）×各1<br>
<br>
重さ：約7.6kg<br>
<br>
外形寸法 (W×D×H)：約 100 × 378 × 338 mm<br>
<br>
付属品：電源ケーブル、KINGSOFT Office ライセンスカード<br>
※付属品は純正品ではない場合がございます。<br>
<br>
商品ランク：<br>
機能状態：A：異常はありません<br>
外観全体：B：筺体側面や底面にキズなどがあります。<br>
わずかにへこみ等あり、使用感があります。<br>
<br>
特記事項：<br>
○通電・動作確認済みです！<br>
○清潔クリーニング済みです！<br>
○複数台在庫している商品の写真に関しては、一例写真になります。写真の商品がお手元に届く個体というわけではございませんので予めご了承下さい。<br>
○内部のパーツ構成はメーカー出荷時の構成と異なる場合がございます。<br>
○Windowsをセットアップ済、最新版にアップデート済みなので、届いてすぐに使えます！<br>
<br>
確認コード：dpc-hp-6300-1tb<br>
（iwk/170329/Web/デスク）<br>",HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / SSD1TB / DVDマルチドライブ】【中古】【デスクトップパソコン】：ＰＣジャングル,中古パソコン中古PCリユースPCWindows7ノートパソコンデスクトップパソコンMARプログラムWin7リユースパソコン中古 パソコン中古 PCNEC 中古Windows 中古パソコン 中古iPhone 中古白ロムiPad 中古スマートフォン 中古スマホ 中古Android 中古HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / SSD1TB / DVDマルチドライブ】【中古】【デスクトップパソコン】,1TBのSSD搭載！グラボ付きモデル！。HP Compaq Pro 6300 SFF【Windows7 Home Premium 64bit / Intel Corei5 3470 3.2GHz / メモリ16GB / SSD1TB / DVDマルチドライブ】【中古】【デスクトップパソコン】[rn]
16-104405,http://tshop.r10s.jp/takayama-tonya/cabinet/04219413/imgrc0061903137.jpg?fitin=700:700,15840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン 【あす楽対応】【美品19型液晶セット】【Windows 7搭載/リカバリ付】DELL Optiplex 760 Core2Duo E7500 2.93G/4G/80GB/DVD-ROM(中古パソコン デスクトップ 中古PC デスクトップパソコン 中古 USED パソコン),【Windows 7搭載/リカバリ付】,"<table width=""300"" bgcolor=""#000A47"" cellspacing=""1"" cellpadding=""3"">
<tr>
<th colspan=""2"" align=""center"" bgcolor=""#000A47""><b><font color=""#FFFFFF"">商品詳細</font></b></th>
</tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">管理場所</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
DP0865-D3</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">メーカー</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
DELL</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">型番</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
Optiplex 760</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">OS</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">VISTAよりアップグレードして
Windows 7 Pro 32bitにて動作確認済です。リカバリディスクも付いております。サクサク動きます。
<br>
光学ドライブ動作、インターネット接続確認、液晶接続確認など、パソコンの通常使用上の動作すべて確認済みです。
<br>
<br>
手間入らず、電源を入れるだけですぐにご利用いただけます！
<br>
（☆ただし、実用的なソフトはインストールしておりません）
<br>
<br>
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">オフィスソフト</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
正規版Kingsoft Office 2013 Standardがインストールされております。
<br>
<br>
ワード、エクセル、パワーポイントの文書作成・編集が自由自在!
<br>
見慣れた操作画面で違和感ゼロ!!マイクロソフトオフィスのワード・
<br>
エクセル・パワーポイントを使い慣れている方は、改めて操作方法
<br>
を習得する必要なく、簡単にお使い頂けるオフィスソフトです。
<br>
正規シリアルカードも付いておりますのでずっと使えます！
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">CPU</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
Core2Duo E7500 2.93G <br>
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">搭載メモリ</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
4GB
<br>
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">HDD容量</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
80GB<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">光学ドライブ</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
DVD-ROM
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">ビデオカード</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">プロダクトキー</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
Windows VISTA <br>
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">付属品</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
19インチ液晶（当店セレクト、高精細で状態良い品物を用意させていただきます）、キーボード＆マウスセット
<br>電源ケーブル類　正規版Kingsoft Office 2013 Standardシリアルカード
<br>Windows 7 Pro 32bit (DELL再インストールディスク)

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">備考</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
厳選良品をお値打ち価格で提供致します。
<br>
掲載液晶写真はイメージです。実際と異なる場合がございます。
<br>
ご注意：中古品ですので、本体に多少の埃、汚れ、キズ、スレなどはあります。
<br>
多少の使用感も予めご了承願いいたします。
<br>
<br>
☆★正常動作品の動作保証期間は商品到着後7日間となります。商品到着後、万が一動作不良が発生した際はメールにてご連絡ください。★☆ 
</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">発送について</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
ご入金（着金）確認後2日以内 （土日、祝日除外）の発送になります。 
<br>

</font></td></tr>
<tr><th align=""center"" bgcolor=""#848484""><font size=""2"" color=""#FFFFFF"">明細書及び領収書について</font></th>
<td bgcolor=""#FFFFFF""><font size=""2"" color=""#0018B7"">
コスト削減のため、明細書は添付いたしません、領収書はご希望の方のみお送りいたします。
</font></td></tr>

</table>",中古パソコン 【あす楽対応】【美品19型液晶セット】【Windows 7搭載/リカバリ付】DELL Optiplex 760 Core2Duo E7500 2.93G/4G/80GB/DVD-ROM(中古パソコン デスクトップ 中古PC デスクトップパソコン 中古 USED パソコン)：高山問屋,中古パソコン 【あす楽対応】【美品19型液晶セット】【Windows 7搭載/リカバリ付】DELL Optiplex 760 Core2Duo E7500 2.93G/4G/80GB/DVD-ROM(中古パソコン デスクトップ 中古PC デスクトップパソコン 中古 USED パソコン),【Windows 7搭載/リカバリ付】。中古パソコン 【あす楽対応】【美品19型液晶セット】【Windows 7搭載/リカバリ付】DELL Optiplex 760 Core2Duo E7500 2.93G/4G/80GB/DVD-ROM(中古パソコン デスクトップ 中古PC デスクトップパソコン 中古 USED パソコン)[rn]
16-104406,http://tshop.r10s.jp/takayama-tonya/cabinet/04219413/imgrc0062653043.jpg?fitin=700:700,7840.0000,,パソコン・周辺機器 > パソコン > デスクトップPC,中古パソコン　デスクトップ　Windows 7 Pro 64Bit【無縁有】HP 6000 Pro Core2Duo E7500 2.93G/2G/160GB/DVD-ROM【中古】【中古パソコン】【中古デスクトップパソコン】,【中古PC】【即納】【USED】【安心保証】,"<center>
<table width=300 bgcolor=#000033 cellpadding=5 cellspacing=1>
<tr>
 <td bgcolor=#000066 colspan=2 align=center>
  <b><font color=#FFFFFF size=4>商品の詳細</font></b>
 </td>  
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>メーカー</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
HP
  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>型番</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
6000 Pro</font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>動作状態</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
OS：Windows 7 Pro 64bit <br>
（パソコンの動作確認・インターネット接続確認等）状態は良好です。すぐご使用できる状態でお届け致します！  <BR>

  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>オフィスソフト</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
  ☆特典☆<BR>
正規版Kingsoft Office 2013 Standardを付属させて頂きます。<BR>


ワード、エクセル、パワーポイントの文書作成・編集が自由自在!<BR>

見慣れた操作画面で違和感ゼロ!!マイクロソフトオフィスのワード・
エクセル・パワーポイントを使い慣れている方は、改めて操作方法
を習得する必要なく、簡単にお使い頂けるオフィスソフトです。
正規シリアルカードも付いておりますのでずっと使えます！


  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>CPU</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
Core2Duo E7500 2.93G</font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>搭載メモリ</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
  2GB
  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>HDD容量</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
  160GB

  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>光学ドライブ</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 DVD-ROM



  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>無線</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 外付けUSBタイプ無線アダプタ


  </font>
 </td>
</tr>
<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>プロダクトキー</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 
Windows 7 Pro  </font>
 </td>
</tr>

<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>付属品</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 
電源ケーブル<br>Kingsoft Office 2013正規シリアルカード <BR>
外付けUSBタイプ無線アダプタ（新品未使用）

  </font>
 </td>
</tr>

<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>備考</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
厳選良品をお買い得価格で提供致します。 <br>

ご注意：中古品ですので、本体に多少の埃、汚れ、キズ、スレなどはあります。 <br>
多少の使用感も予めご了承願いいたします。 <br>

☆★正常動作品の動作保証期間は商品到着後7日間となります。商品到着後、万が一動作不良が発生した際はメールにてご連絡ください。★☆ <br>

  </font>
 </td>
</tr>

<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>発送について</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 
ご入金（着金）確認後2営業日以内 （土日、祝日除外）の発送になります。 

   </font>
 </td>
</tr>

<tr>
 <td bgcolor=#666666 width=30% align=center>
  <b><font color=#FFFFFF size=3>明細書及び領収書について</font></b>
 </td>
 <td bgcolor=#CCCCCC width=70% align=left>
  <font color=#000000 size=3>
 
コスト削減のため、明細書は添付いたしません、領収書等はご希望の方のみお送りいたします。

   </font>
 </td>
</tr>

</table>
</center>",中古パソコン　デスクトップ　Windows 7 Pro 64Bit【無縁有】HP 6000 Pro Core2Duo E7500 2.93G/2G/160GB/DVD-ROM【中古】【中古パソコン】【中古デスクトップパソコン】：高山問屋,中古パソコン　デスクトップ　Windows 7 Pro 64Bit【無縁有】HP 6000 Pro Core2Duo E7500 2.93G/2G/160GB/DVD-ROM【中古】【中古パソコン】【中古デスクトップパソコン】,【中古PC】【即納】【USED】【安心保証】。中古パソコン　デスクトップ　Windows 7 Pro 64Bit【無縁有】HP 6000 Pro Core2Duo E7500 2.93G/2G/160GB/DVD-ROM【中古】【中古パソコン】【中古デスクトップパソコン】[rn]
