18-8012,,14336.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【BDW-773-YG】(4750055)バーディワゴン ６００Ｘ４００ＸＨ７４０ ３段 ＹＧ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●車輪と共に車軸もロックするダブルロック仕様のキャスターです。<br>●アングル支柱に突起を出し、棚板を固定することにより縦横のゆれを軽減します。<br>●棚板は皿型・フラット型の表裏両面使用できます。<br>●工場内の運搬作業や、ピッキング作業に、またライン作業における工具置き台、部品、商品の仮置きに。<br>●最大積載量(kg/台):200<br>●均等積載量(kg/段):120<br>●色:ヤンググリーン<br>●段数(段):3<br>●間口(mm):750<br>●奥行(mm):500<br>●高さ(mm):740<br>●棚板:こぼれ止め付棚板(表裏両用)<br>●質量(kg):20.49<br>●キャスター:自在式（ストッパー付） 100mm（2個） 自在式 100mm（2個）<br>●組立式<br>●特許第4866138号登録商品<br>●こぼれ止め高さ:40mm<br>●支柱・棚板:スチール<br>●キャスター金具:スチール<br>●車輪:ゴム<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【BDW-773-YG】(4750055)バーディワゴン ６００Ｘ４００ＸＨ７４０ ３段 ＹＧ色 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【BDW-773-YG】(4750055)バーディワゴン ６００Ｘ４００ＸＨ７４０ ３段 ＹＧ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【BDW-773-YG】(4750055)バーディワゴン ６００Ｘ４００ＸＨ７４０ ３段 ＹＧ色 受注単位1[rn]
18-8013,,24966.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【DLWS-75X-YG】(4679997)ツールワゴン ドルフィン用引出 ２段 ７５０Ｘ５００ ＹＧ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●最大積載量(kg/台):20<br>●均等積載量(kg/段):10<br>●色:ヤンググリーン<br>●段数(段):2<br>●間口(mm):750<br>●奥行(mm):500<br>●高さ(mm):234<br>●引出内寸間口×奥行×高さ(mm):618×370×60<br>●質量(kg):16.1<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【DLWS-75X-YG】(4679997)ツールワゴン ドルフィン用引出 ２段 ７５０Ｘ５００ ＹＧ色 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【DLWS-75X-YG】(4679997)ツールワゴン ドルフィン用引出 ２段 ７５０Ｘ５００ ＹＧ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【DLWS-75X-YG】(4679997)ツールワゴン ドルフィン用引出 ２段 ７５０Ｘ５００ ＹＧ色 受注単位1[rn]
18-8014,,23168.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【EGW-972TU-W】(4502345)イーグルワゴン ７５０Ｘ５００ 天板付 ウレタン車輪 Ｗ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●車輪と共に車軸もロックするダブルロック仕様のキャスターです。<br>●アングル支柱に突起を出し、棚板を固定することにより縦横のゆれを軽減します。<br>●棚板は皿型・フラット型の表裏両面使用できます。<br>●工場内の運搬作業や、ピッキング作業に、またライン作業における工具置き台、部品、商品の仮置きに。<br>●最大積載量(kg/台):250<br>●均等積載量(kg/段):120<br>●色:ホワイト<br>●段数(段):2<br>●間口(mm):750<br>●奥行(mm):500<br>●高さ(mm):880<br>●棚板:こぼれ止め付棚板(表裏両用)<br>●質量(kg):28.1<br>●キャスター:自在式（ストッパー付） 100mm（2個） 固定式 100mm（2個）<br>●組立式<br>●特許第4866138号登録商品<br>●こぼれ止め高さ:40mm<br>●支柱・棚板:スチール<br>●キャスター金具:スチール<br>●車輪:ウレタン<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【EGW-972TU-W】(4502345)イーグルワゴン ７５０Ｘ５００ 天板付 ウレタン車輪 Ｗ色 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【EGW-972TU-W】(4502345)イーグルワゴン ７５０Ｘ５００ 天板付 ウレタン車輪 Ｗ色 受注単位1,物流保管用品\ツールワゴン\ボルト式ワゴン。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【EGW-972TU-W】(4502345)イーグルワゴン ７５０Ｘ５００ 天板付 ウレタン車輪 Ｗ色 受注単位1[rn]
18-8015,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004391337.jpg?fitin=700:700,58244.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＵＰＲラック片面　Ｈ１９００　ビン大青・赤・黄・薄緑各１２個付【UPR-L1812B】(3933091) 受注単位1,(3933091),,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＵＰＲラック片面　Ｈ１９００　ビン大青・赤・黄・薄緑各１２個付【UPR-L1812B】(3933091) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＵＰＲラック片面　Ｈ１９００　ビン大青・赤・黄・薄緑各１２個付【UPR-L1812B】(3933091) 受注単位1,(3933091)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＵＰＲラック片面　Ｈ１９００　ビン大青・赤・黄・薄緑各１２個付【UPR-L1812B】(3933091) 受注単位1[rn]
18-8016,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005017448.jpg?fitin=700:700,9796.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒浪速鉄工/ＮＡＮＩＷＡ　マルチアイボルト　ＭＥ１６１４Ｃ【ME1614C】(4065506) 受注単位1,物流保管用品\吊りクランプ・吊りベルト\フック,,『カード対応OK！』■〒浪速鉄工/ＮＡＮＩＷＡ　マルチアイボルト　ＭＥ１６１４Ｃ【ME1614C】(4065506) 受注単位1：クローバー資材館,『カード対応OK！』■〒浪速鉄工/ＮＡＮＩＷＡ　マルチアイボルト　ＭＥ１６１４Ｃ【ME1614C】(4065506) 受注単位1,物流保管用品\吊りクランプ・吊りベルト\フック。『カード対応OK！』■〒浪速鉄工/ＮＡＮＩＷＡ　マルチアイボルト　ＭＥ１６１４Ｃ【ME1614C】(4065506) 受注単位1[rn]
18-8017,,38957.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒エレクター（株）/エレクター【PR1848NK3･74PK3-4】(4527089)スーパーエレクタープロ 受注単位1,物流保管用品\物品棚\プラスチック棚,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●抗菌加工された棚板マット部は､フレームから簡単に取り外せ、洗浄が容易に行えるため、衛生管理に最適です｡ <br>●耐錆・耐薬品性にも優れているため､　クリーンな環境に最適です｡<br>●衛生的な環境を必要とするところでの使用。一段あたり250kgまでの重量物を積載可能。<br>●色:モスグリーン<br>●間口(mm):1215<br>●奥行(mm):460<br>●高さ(mm):1895<br>●棚段数(段):4<br>●有効間口(mm):1153<br>●組立目安:1人40分<br>●質量(kg):30.4<br>●組立式<br>●均等積載量：250kg/段<br>●最大積載量：750kg/台<br>●棚板調整ピッチ：25.4mm<br>●使用温度範囲：-29～52℃<br>●棚板フレーム部：スチール製亜鉛メッキエポキシコーティング<br>●棚板マット部：ポリプロピレン（マイクロバン抗菌加工）<br>●柱：スチール製亜鉛メッキエポキシコーティング<br>●53℃以上の連続使用は不可です（-29～52℃での連続使用）｡<br>",『カード対応OK！』##&forall;■〒エレクター（株）/エレクター【PR1848NK3･74PK3-4】(4527089)スーパーエレクタープロ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒エレクター（株）/エレクター【PR1848NK3･74PK3-4】(4527089)スーパーエレクタープロ 受注単位1,物流保管用品\物品棚\プラスチック棚。『カード対応OK！』##&forall;■〒エレクター（株）/エレクター【PR1848NK3･74PK3-4】(4527089)スーパーエレクタープロ 受注単位1[rn]
18-8018,,15978.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ Ｍ２軽中量棚【M2-6536B NG】(7801246) ＴＲＵＳＣＯ Ｍ2型軽中量棚 1460Ｘ300ＸＨ1800 6段 連結 ネオグレ 発注単位1,物流保管用品\物品棚,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●奥行(mm):300<br>
●間口(mm):1460<br>
●高さ(mm):1800<br>
●有効間口(mm):1416<br>
●棚段数(段):6<br>
●色:ネオグレー<br>
●組立目安:2人40分<br>
●外寸間口(mm):1460<br>
●外寸奥行(mm):305<br>
●外寸高さ(mm):1808<br>
●色:ネオグレー<br>
●連結型<br>
●連結型のみではご使用できません。",■〒トラスコ中山/ＴＲＵＳＣＯ Ｍ２軽中量棚【M2-6536B NG】(7801246) ＴＲＵＳＣＯ Ｍ2型軽中量棚 1460Ｘ300ＸＨ1800 6段 連結 ネオグレ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ Ｍ２軽中量棚【M2-6536B NG】(7801246) ＴＲＵＳＣＯ Ｍ2型軽中量棚 1460Ｘ300ＸＨ1800 6段 連結 ネオグレ 発注単位1,物流保管用品\物品棚。■〒トラスコ中山/ＴＲＵＳＣＯ Ｍ２軽中量棚【M2-6536B NG】(7801246) ＴＲＵＳＣＯ Ｍ2型軽中量棚 1460Ｘ300ＸＨ1800 6段 連結 ネオグレ 発注単位1[rn]
18-8019,http://tshop.r10s.jp/clover9608/cabinet/pb2/t010002782419.jpg?fitin=700:700,12522.4000,,花・ガーデン・DIY > DIY・工具 > その他,###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軽量棚　中棚ボルトレス型　Ｗ１５００ＸＤ３００ＸＨ２１００　５段【L75V-15  NG(ﾈｵｸﾞﾚｰ)】(5038481) 受注単位1,(5038481),"<p><font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font></p><br><br>
<font size=""4"" color=""""><b><br>※こちらの商品は規定外の為、別途送料がかかります。<br>詳しくはお問い合わせください。※追加送料は別途当店からのメールで訂正されます<br></font></b><br><br>",###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軽量棚　中棚ボルトレス型　Ｗ１５００ＸＤ３００ＸＨ２１００　５段【L75V-15  NG(ﾈｵｸﾞﾚｰ)】(5038481) 受注単位1：クローバー資材館,###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軽量棚　中棚ボルトレス型　Ｗ１５００ＸＤ３００ＸＨ２１００　５段【L75V-15  NG(ﾈｵｸﾞﾚｰ)】(5038481) 受注単位1,(5038481)。###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　軽量棚　中棚ボルトレス型　Ｗ１５００ＸＤ３００ＸＨ２１００　５段【L75V-15  NG(ﾈｵｸﾞﾚｰ)】(5038481) 受注単位1[rn]
18-8020,,2336.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒天馬（株）/ＴＥＮＭＡ【FITS-L53】(4448715)フィッツクローゼットＬ－５３ カプチーノ ３９０×５３０×３００ 受注単位1,物流保管用品\収納用品\引出し収納ケース,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●作業服や備品の整理整頓に最適です。<br>●中身が一目瞭然な透明引出しです。<br>●積み重ねた時の前倒れを防ぐ、前倒れ防止機能付です。<br>●積み重ねに強い丈夫な前枠付です。<br>●キャスター(別売)の取り付けができます。<br>●容量(L):39<br>●色:カプチーノ<br>●外形寸法(mm)間口×奥行×高さ:390×530×300<br>●有効内寸(mm)間口×奥行×高さ:335×482×250<br>●質量(kg):2.8<br>●色:カプチーノ<br>●本体:ポリプロピレン(PP)<br>●前枠:スチロール樹脂<br>",『カード対応OK！』■〒天馬（株）/ＴＥＮＭＡ【FITS-L53】(4448715)フィッツクローゼットＬ&minus;５３ カプチーノ ３９０&times;５３０&times;３００ 受注単位1：クローバー資材館,『カード対応OK！』■〒天馬（株）/ＴＥＮＭＡ【FITS-L53】(4448715)フィッツクローゼットＬ&minus;５３ カプチーノ ３９０&times;５３０&times;３００ 受注単位1,物流保管用品\収納用品\引出し収納ケース。『カード対応OK！』■〒天馬（株）/ＴＥＮＭＡ【FITS-L53】(4448715)フィッツクローゼットＬ&minus;５３ カプチーノ ３９０&times;５３０&times;３００ 受注単位1[rn]
18-8021,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002980279.jpg?fitin=700:700,351.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒瑞穂化成工業/瑞穂　スチロール棒瓶２００ｍｌ【438】(2943646) 受注単位1,物流保管用品\ボトル・容器\ビン,,『カード対応OK！』■〒瑞穂化成工業/瑞穂　スチロール棒瓶２００ｍｌ【438】(2943646) 受注単位1：クローバー資材館,『カード対応OK！』■〒瑞穂化成工業/瑞穂　スチロール棒瓶２００ｍｌ【438】(2943646) 受注単位1,物流保管用品\ボトル・容器\ビン。『カード対応OK！』■〒瑞穂化成工業/瑞穂　スチロール棒瓶２００ｍｌ【438】(2943646) 受注単位1[rn]
