18-14001,http://tshop.r10s.jp/isz/cabinet/20/imgrc0065808119.jpg?fitin=700:700,256.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,20％ＯＦＦ！棒針キャップ〈Ｓ〉,１１月９日新商品！,"<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">


<tr><td>
<img src=""http://image.rakuten.co.jp/isz/cabinet/20/imgrc0065808119.jpg"" width=""100%"" alt=""スマホ1"">
</td></tr>


</table>
●１袋（４個入）の価格を表示しています。<br>



☆「あみもの用品コーナーへ☆<br><BR>




☆編物コーナートップへ☆<br><BR>




<img src=""http://image.rakuten.co.jp/isz/cabinet/20/evidence_caps.jpg"" width=""100%""><br><br>

メーカー希望小売価格はメーカーカタログに基づいて掲載しています<br>",20％ＯＦＦ！棒針キャップ〈Ｓ〉：手芸と生地の店　いすず,生地布麻リネンコットン有輪YUWAダブルガーゼあみもの毛糸ワッペンボタンナチュラルレース糸編み針かぎ針ファブリックfabricレース手芸材料20％ＯＦＦ！棒針キャップ〈Ｓ〉,１１月９日新商品！。20％ＯＦＦ！棒針キャップ〈Ｓ〉[rn]
18-14002,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/3d/imgrc0064959704.jpg?fitin=700:700,499.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　テキスト付　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト,プリント外寸：114×148ミリ<br>入数：4枚入り<br>テキスト：1部（詳しい作り方が書いてあります。）<br>フラワーフェアリーシリーズ：36柄<br><br>別売りには、プリントのみ4枚や<br>　深さのある専用額　もあります。　<br><br>３－Ｄとは、３－Dimension pictureと言い、<br>１７～１８世紀のヨーロッパで流行したと<br>言われているデコパージュのひとつです。<br>カットした絵柄を何枚も重ね、立体的に見せる<br>クラフトで、『シャドーボックス』とも呼ばれています。<br>丹精込めた手づくりの味合いは、作る人の感性により<br>個性的な作品となり、一度この作品を作り上げ、<br>家族やお友達に見せたり、プレゼントしたりすると、<br>先ず感嘆の声を聞くことでしょう。　<br>ご注意：　モニターにより、色の見え方が実際の商品　<br>と異なることがございます。<BR>また、注文が集中した場合など、発送が遅れたり、　<br>店頭販売と在庫が重複しているため、　<br>在庫切れで販売できなくなる場合がございます。　<br>,ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　テキスト付　４枚入りプリントスリーディメンション 3Dアート 在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　テキスト付　４枚入りプリントスリーディメンション 3Dアート 在庫限り,カットした絵柄を何枚も重ね、立体的に見せる3-Ｄクラフト。ヂャンティ　3-Ｄ（シャドーボックス）用フラワーフェアリーシリーズ　36柄-2　テキスト付　４枚入りプリントスリーディメンション 3Dアート 在庫限り[rn]
18-14003,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102046.jpg?fitin=700:700,1120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,東芸　木目込み人形キット可愛い十二支・巳H５４１－０,★★★　在庫処分　★★★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>（作り方テキスト付き、作号つき）<br>出来上がりの大きさ：（台とも）約高さ11ｃｍ、<br>別売：使用ケース０号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！<br>＜ご注意＞キット作成には、木目込み専用の道具が必要です。</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",東芸　木目込み人形キット可愛い十二支・巳H５４１&minus;０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン東芸　木目込み人形キット可愛い十二支・巳H５４１&minus;０,★★★　在庫処分　★★★。東芸　木目込み人形キット可愛い十二支・巳H５４１&minus;０[rn]
18-14004,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102504.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,東芸　木目込み人形作品十二支・巳H６２６－０,★在庫処分★　★出来上がりの作品です★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>出来上がりの大きさ：（台とも）約高さ9ｃｍ、<br>別売：使用ケース０号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",東芸　木目込み人形作品十二支・巳H６２６&minus;０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン東芸　木目込み人形作品十二支・巳H６２６&minus;０,★在庫処分★　★出来上がりの作品です★。東芸　木目込み人形作品十二支・巳H６２６&minus;０[rn]
18-14005,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102506.jpg?fitin=700:700,3200.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,東芸　木目込み人形作品巳の宝袋H８７４－０,★在庫処分★　★出来上がりの作品です★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>出来上がりの大きさ：（台とも）約幅14.5×奥行16×高さ13ｃｍ、<br>別売：使用ケース０号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",東芸　木目込み人形作品巳の宝袋H８７４&minus;０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン東芸　木目込み人形作品巳の宝袋H８７４&minus;０,★在庫処分★　★出来上がりの作品です★。東芸　木目込み人形作品巳の宝袋H８７４&minus;０[rn]
18-14006,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102048.jpg?fitin=700:700,3136.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,東芸　木目込み人形キット宝槌の巳の親子（たからづちのみのおやこ）H８７１－０４,★★★　在庫処分　★★★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>（作り方テキスト付き、作号つき）<br>出来上がりの大きさ：（台とも）約幅26.5×奥行25×高さ13.5ｃｍ、<br>別売：使用ケース４号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！<br>＜ご注意＞キット作成には、木目込み専用の道具が必要です。</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",東芸　木目込み人形キット宝槌の巳の親子（たからづちのみのおやこ）H８７１&minus;０４：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン東芸　木目込み人形キット宝槌の巳の親子（たからづちのみのおやこ）H８７１&minus;０４,★★★　在庫処分　★★★。東芸　木目込み人形キット宝槌の巳の親子（たからづちのみのおやこ）H８７１&minus;０４[rn]
18-14007,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102505.jpg?fitin=700:700,5120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,国内宅配便送料無料 東芸　木目込み人形作品 福呼び小槌の巳H８７２－０２,★在庫処分★　★出来上がりの作品です★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>出来上がりの大きさ：（台とも）約幅24×奥行21.5×高さ13.5ｃｍ、<br>別売：使用ケース２号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",国内宅配便送料無料 東芸　木目込み人形作品 福呼び小槌の巳H８７２&minus;０２：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン国内宅配便送料無料 東芸　木目込み人形作品 福呼び小槌の巳H８７２&minus;０２,★在庫処分★　★出来上がりの作品です★。国内宅配便送料無料 東芸　木目込み人形作品 福呼び小槌の巳H８７２&minus;０２[rn]
18-14008,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0064102047.jpg?fitin=700:700,2816.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,東芸　木目込み人形キット吉祥の巳（きっしょうのみ）H８７０－０４,★★★　在庫処分　★★★,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""2"">華やかで明るさ溢れる干支飾りは暗い運気を振り払い、豊かさと幸運を呼ぶと言われています。<br>ご家族やお友達、多くの方の幸せを願って沢山お飾り下さい。<br>（作り方テキスト付き、作号つき）<br>出来上がりの大きさ：（台とも）約幅24.5×奥行19.5×高さ12ｃｍ、<br>別売：使用ケース４号<br>製造：株式会社　東芸<br><br>持越し品のため値下げ！！<br>＜ご注意＞キット作成には、木目込み専用の道具が必要です。</font></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE><br>（土日祝日を除き）２～４日以内に発送。",東芸　木目込み人形キット吉祥の巳（きっしょうのみ）H８７０&minus;０４：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン東芸　木目込み人形キット吉祥の巳（きっしょうのみ）H８７０&minus;０４,★★★　在庫処分　★★★。東芸　木目込み人形キット吉祥の巳（きっしょうのみ）H８７０&minus;０４[rn]
18-14009,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0069261900.jpg?fitin=700:700,1120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分　東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３－０,東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３&minus;０,"可愛い十二支・未　Ｈ５４３－０<br><br>
出来上がりサイズ<BR>
　（台とも）高さ約１１ｃｍ<br>
使用ケース　０号<br>
製造：株式会社　東芸<BR><BR>
＜ご注意＞キット作成には、木目込み専用の道具が必要です。",在庫処分　東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３&minus;０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分　東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３&minus;０,東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３&minus;０。在庫処分　東芸　木目込み人形キット　可愛い十二支・未　Ｈ５４３&minus;０[rn]
18-14010,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0069261802.jpg?fitin=700:700,1120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分　東芸　木目込み人形キット　可愛い十二支・申　Ｈ５４４－０,東芸　木目込み人形キット　可愛い十二支・申Ｈ５４４&minus;０,"可愛い十二支・申　Ｈ５４４－０<br><br>
出来上がりサイズ<BR>
　（台とも）高さ約１１ｃｍ<br>
使用ケース　０号<br>
製造：株式会社　東芸<BR><BR>
＜ご注意＞キット作成には、木目込み専用の道具が必要です。",在庫処分　東芸　木目込み人形キット　可愛い十二支・申　Ｈ５４４&minus;０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分　東芸　木目込み人形キット　可愛い十二支・申　Ｈ５４４&minus;０,東芸　木目込み人形キット　可愛い十二支・申Ｈ５４４&minus;０。在庫処分　東芸　木目込み人形キット　可愛い十二支・申　Ｈ５４４&minus;０[rn]
18-14011,http://tshop.r10s.jp/ky-kanariya/cabinet/01732938/imgrc0069261187.jpg?fitin=700:700,3520.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,在庫処分　東芸　木目込み人形キット　開運の親子猿　Ｈ７４７－０７,東芸　木目込み人形キット　開運の親子猿　Ｈ７４７&minus;０７,"ご一家の家内安全、家運隆盛、経営・事業の繁栄を祈りつつ。<br>
共に恵みの多い年になりますように。<BR>
出来上がりサイズ：（台とも）約１８ｃｍ<BR>
作台つき<br>
使用ケース　７号<br>
製造：株式会社　東芸<BR><BR>
＜ご注意＞キット作成には、木目込み専用の道具が必要です。",在庫処分　東芸　木目込み人形キット　開運の親子猿　Ｈ７４７&minus;０７：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分　東芸　木目込み人形キット　開運の親子猿　Ｈ７４７&minus;０７,東芸　木目込み人形キット　開運の親子猿　Ｈ７４７&minus;０７。在庫処分　東芸　木目込み人形キット　開運の親子猿　Ｈ７４７&minus;０７[rn]
