18-11801,http://tshop.r10s.jp/1boxcar/cabinet/img62245543.jpg?fitin=700:700,5911.2000,,バッグ・小物・ブランド雑貨 > 眼鏡・サングラス > サングラス,【あす楽】【送料無料】POLICE ポリス サングラス S8806J-568G ガンメタル/グリーン ティアドロップ 2013年日本限定モデル ポリス,POLICEサングラスケース、POLICEロゴ入りクリーナー付き！,"仕様<br>
テンプル長さ：140mm<br>
フレーム横幅：145mm<br>
レンズ横幅：60mm<br>
レンズ高さ：50mm<br>
鼻幅：13mm",【あす楽】【送料無料】POLICE ポリス サングラス S8806J-568G ガンメタル/グリーン ティアドロップ 2013年日本限定モデル ポリス：カー用品・家電通販の1BOX,カー用品販売通販1boxアルファードエルグランドハイエースカーライフarwinアーウィンポータブルＤＶＤプレイヤー【あす楽】【送料無料】POLICE ポリス サングラス S8806J-568G ガンメタル/グリーン ティアドロップ 2013年日本限定モデル ポリス,POLICEサングラスケース、POLICEロゴ入りクリーナー付き！。【あす楽】【送料無料】POLICE ポリス サングラス S8806J-568G ガンメタル/グリーン ティアドロップ 2013年日本限定モデル ポリス[rn]
18-11802,http://tshop.r10s.jp/1boxcar/cabinet/img62245540.jpg?fitin=700:700,5911.2000,,バッグ・小物・ブランド雑貨 > 眼鏡・サングラス > サングラス,【あす楽】【送料無料】POLICE ポリス サングラス S8806J-K01 ブラウン/レッドブラウンハーフ ティアドロップ 2013年日本限定モデル ポリス,POLICEサングラスケース、POLICEロゴ入りクリーナー付き！,"仕様<br>
テンプル長さ：140mm<br>
フレーム横幅：145mm<br>
レンズ横幅：60mm<br>
レンズ高さ：50mm<br>
鼻幅：13mm",【あす楽】【送料無料】POLICE ポリス サングラス S8806J-K01 ブラウン/レッドブラウンハーフ ティアドロップ 2013年日本限定モデル ポリス：カー用品・家電通販の1BOX,カー用品販売通販1boxアルファードエルグランドハイエースカーライフarwinアーウィンポータブルＤＶＤプレイヤー【あす楽】【送料無料】POLICE ポリス サングラス S8806J-K01 ブラウン/レッドブラウンハーフ ティアドロップ 2013年日本限定モデル ポリス,POLICEサングラスケース、POLICEロゴ入りクリーナー付き！。【あす楽】【送料無料】POLICE ポリス サングラス S8806J-K01 ブラウン/レッドブラウンハーフ ティアドロップ 2013年日本限定モデル ポリス[rn]
18-11803,http://tshop.r10s.jp/rinkado/cabinet/eb-11-sports/img-sp-012.jpg?fitin=700:700,15984.0000,,バッグ・小物・ブランド雑貨 > 眼鏡・サングラス > サングラス,【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラスポーツ レッド [ レディース 旅行 運転 散歩 ゴルフ スポーツ テニス 登山 マラソン キャンプ おしゃれ 白内障 目 小顔 ショップチャンネル ],紫外線やブルー光線をカット。抜群のフィット感のサングラス。,"女性のためのスポーツサングラス、「アイブレラスポーツ」<br>
軽さ、強度、フィット感を追求したフレームデザインで<br>
スポーツ時に煩わしさを感じさせない、エアリーなフィット感を実現。<br>
瞳にやさしく、視界の色変わりがない全天候型レンズを採用。<br>
瞳の健康と美容のため目に有害な紫外線＋ブルー光線をＷでブロック！<br>
<br>
<br>
家庭用品品質表示法に基づく表示<br>
品名：サングラス<br>
レンズの素材：ナイロン/コーティング<br>
テンプルの素材：プラスチック（TR-90）<br>
可視光線透過率：33%<br>
紫外線透過率：1.0％以下<br>
<br><br>
<br>サイズ<br>
フレーム：約縦5.1cm×横14cm<br>
ツル：約12.5cm<br>
<br>

●メンテナンスおよび使用時の注意：<br>
　・レンズを拭く時は、拭く方のレンズの外側を持ってそっと拭いてください。<br>
　・レンズにゴミやホコリが付着している時は、まず水洗いをしてから拭いてください<br>
　　そのまま乾拭きするとレンズにキズを付ける原因になります。<br>
　・汚れがひどい時は中性洗剤を薄めた液でやさしく手洗いしてください。そのあと水洗いし、<br>
　　ティッシュペーパーで水気を取ってから、レンズ専用メガネ拭きで拭いてください。コーティングがはがれる原因<br>
　　となりますので、アルカリ性や酸性の洗剤は使用しないでください。<br>
　・夜間の運転中および夜間の道路上での使用はしないでください<br>
　・高温のところに置いたり、キズを付けるような金属と一緒にしまわないでください。<br><br>

●取扱説明書：あり<br>
●保証書：あり（1年）<br>",【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラスポーツ レッド [ レディース 旅行 運転 散歩 ゴルフ スポーツ テニス 登山 マラソン キャンプ おしゃれ 白内障 目 小顔 ショップチャンネル ]：RINKADO SHOP,サングラスブルーライト紫外線eyebrellaアイブレラ眩しいブルーカットPCメガネUVカット目を守るパソコンドライアイ白内障緑内障瞳の健康高本尚紀NH2運転伊達メガネ小顔【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラスポーツ レッド [ レディース 旅行 運転 散歩 ゴルフ スポーツ テニス 登山 マラソン キャンプ おしゃれ 白内障 目 小顔 ショップチャンネル ],紫外線やブルー光線をカット。抜群のフィット感のサングラス。。【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラスポーツ レッド [ レディース 旅行 運転 散歩 ゴルフ スポーツ テニス 登山 マラソン キャンプ おしゃれ 白内障 目 小顔 ショップチャンネル ][rn]
18-11804,http://tshop.r10s.jp/rinkado/cabinet/bloom/imgrc0070836232.jpg?fitin=700:700,15984.0000,,バッグ・小物・ブランド雑貨 > 眼鏡・サングラス > サングラス,【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラブルーム [ レディース 海外 旅行 散歩 おしゃれ 白内障 目 眩しい 小顔 PC メガネ ショップチャンネル ],紫外線やブルー光線をカット。軽さを追求したサングラス。,"<div class=""content"" ="""">
<h2 ="""">フィット感とフレームの軽さの両立し<br>
メイクアップ効果の高いフレームフォルムで魅力を引き出す
</h2 ="""">

<h3 ="""">高機能な”ブルーカットレンズ”<br>紫外線+ブルーライトをWでブロック。</h3 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836221.jpg"" alt=""bc01"">
<p>
アイブレラには、プロディサー高本氏が選びぬいて独自に入手した、高機能な”ブルーカットレンズ”を搭載。</p>
<p>紫外線を99％カットしつつ、目にまぶしく疲れやすいブルーライト（ブルー光線）もカットするので、<span class=""line"" ="""">コントラストがはっきりながらも優しい視界</span ="""">が広がります。</p>
<p>
『紫外線を防ぐ』『瞳が美しく見える』『クリアな視界』など、お洒落と機能を兼備した多機能レンズで、目の健康と美容のために、紫外線とブルーライトをWでブロックします。</p>

<h5 ="""">福井県鯖江市で開発・特許を取得した特殊レンズ</h5 ="""">
<p>アイブレラに使われているレンズは、福井県鯖江市にあるサングラス用レンズの専門メーカーによって2004年に開発され、特許を取得したレンズです。※特許公開番号：特許公開2006-145683</p>

<div class=""column"" ="""">
<h5 ="""">紫外線が白内障を引き起こす</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070753101.jpg"" alt=""紫外線"">
<p>紫外線の多くは、角膜で吸収されますが、波長によっては、水晶体や網膜まで達することをご存知でしょうか？</p>
<p>こうして蓄積されたダメージが眼病を引き起こしたり、目の老化を促進するといわれています。WHO（世界保健機関）の報告では、白内障の20％は紫外線によるものだというデータもあります。</p>

<h5 ="""">特に怖いブルーライト（ブルー光線）とは？</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070752834.jpg"" alt=""bc02"">
<p>可視光線の中でも、非常に強いエネルギーを持っていて、眼の奥の網膜にまで届いてしまう青色の光線のことをブルーライトといいます。<span class=""line"" ="""">この光が視界を悪くするまぶしさの正体です！</span =""""></p>
<p>また、視力の低下、眼瞼下垂（がんけんかすい）、疲れ目などの目のトラブルだけでなく、シワ、たるみ、くすみなど見た目の老化や肩こり、頭痛などの原因にもなります。</p>
</div ="""">

<h5 ="""">アイブレラは、まぶしいブルーライト（ブルー光線）のみカットする</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070785916.jpg"" alt=""bc03"">
<p>サングラスは色が濃いほど、まぶしさが抑えられるのは事実ですが、色が濃いサングラスはまぶしい光だけでなく光量全体をカットしてしまうので、視界が不鮮明になったり、少し暗くなって見えがちです。</p>
<h5 ="""">まぶしさを抑え、視界クリアなアイブレラ</h5 ="""">
<p>アイブレラは特殊な金属加工により、光量全体を抑えるのではなく、ブルーライトのみカットするので、薄い色のレンズでありながらも、<span class=""line"" ="""">まぶしさはしっかり抑え、なおかつ視界がはっきり</span ="""">するのが特徴です。</p>

<div class=""column"" ="""">
<h5 ="""">一年を通して紫外線を防ぐことが大切！<br>特に5月は12月に比べて、紫外線量が約4倍に</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070785410.jpg"" alt=""紫外線"">
<p>気象庁のデータによると、5月は12月に比べて紫外線量が約4倍、7月にはそれ以上になるといわれています。</p>
<p>しかし、サングラスは夏だけという考え方は大間違いで、<span class=""line"" ="""">春や冬は夏に比べて太陽の高度が低いため、日差しをダイレクトに受けやすくなります。</span =""""></p>

<h5 ="""">「最近、光がまぶしく感じる？」<br>ということはありませんか？</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070785409.jpg"" alt=""加齢"">
<p>実は、20代以降、<span class=""line"" ="""">加齢とともにまぶしさに対して敏感に</span ="""">なり、一般的な蛍光灯の光でさえも不快感を感じるようになるという研究も進んでいます。不快な状態のまま過ごすのではなく、目の健康のためにも、ブルーカットレンズでまぶしさケアをしましょう。</p>
</div ="""">

<h3 ="""">芯に軽くて弾力性のあるβチタンを使用<br>優しく包み込むようにフィットする</h3 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836220.jpg"" alt=""チタン"">
<p>テンプル芯にβチタンを使用して「軽量化」「フィット感」を追求しました。βチタンの軟らかさで<span class=""line"" ="""">顔を優しく包み込むようにフィット</span ="""">します。</p>

<div class=""column"" ="""">
<h5 ="""">メガネのかけ心地は重さよりバランスが大切</h5 ="""">
<p>メガネはフレームよりもレンズの占める重さが大きくなるため、重心のバランスが前（鼻パット）にかかりやすくなってしまいます。
そこで、耳を支点に前後のバランスをとることで、前にかかる負担を減らすことができます。</p>
</div ="""">

<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836217.jpg"" alt=""バランス"">
<ul ="""">
<li ="""">前後のバランスをとるモダン</li ="""">
<p>耳にかかるモダンに厚みをもたせることで、後に重量バランスをとり前にかかる負担を減らします。そのため鼻パットの跡がつきにくいのが特徴です。</p>
<li ="""">面で支えるテンプル</li ="""">
<p>柔軟性の高いスプリングが面で支えるので耳だけに負担がかからず軽やかな装着感を実現します。</p>
<li ="""">フイットする鼻パッド</li ="""">
<p>アイブレラオリジナル鼻パッド『ナチュラルフィットパッド』は、広い可動域とクッション性で抜群のフィット感で自然な""かけ心地""を目指しました。ずれにくいのはもちろん、よくありがちなフレームが頬にあたってメイクが崩れたり、まつ毛がレンズにあたって汚れたりする心配がありません。</p>
</ul ="""">

<h3 ="""">主張しすぎず、華やかなデザイン</h3 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836219.jpg"" alt=""フレーム"">
<p>アイウェアプロデューサーの高本氏が、<span class=""line"" ="""">数千人もの女性をフィッティングした経験をもとに、日本人女性に似合うメガネを設計</span ="""">したのが、アイブレラシリーズです。女性らしいフォックスシェイプに柔らかなラウンドシェイプを掛け合わせたデザインが、かける方の魅力を引き出します。サイドの柄のポイントが上がることで、リフトアップ効果が期待できます。</p>

<h5 ="""">小顔効果・顔の立体感アップの主なポイント</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836216.jpg"" alt=""フレーム02"" ="""">
<ul ="""">
<li ="""">美しいラインのフレームカーブ</li ="""">
<p>「メガネは、眉が隠れるか隠れないか程度が一番美しく見える」というのが高本氏の自論。眉ラインと合わせて誰にでも似合いやすくしています。</p>
<li ="""">鼻が高く、カタチよく見えるブリッジ</li ="""">
<p>左右のフレームをつなぐブリッジの位置を鼻の起点に重ね、まゆのラインまでフレームを直線で結ぶ事で、鼻が高く、カタチがよく見えるよう工夫されてます。</p>
<li ="""">小顔効果が高いサイドの柄</li ="""">
<p>サイド柄（正面から見た時のフレームの両サイドのこと）の幅を広したり、ポイントを持ってくることで、顔に逆三角形をつくって小顔効果を高めます。
</p>
<li ="""">細身のフレーム</li ="""">
<p>細身のフレームで瞳を強調し、美しく魅せます。</p>
</ul ="""">

<div class=""column"" ="""">
<h5 ="""">「アイウェアはどなたにでも楽しんでいただけるもの。」<br>アイウェアプロデューサー　高本 尚紀</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070753487.jpg"" alt=""koumoto"" ="""">
<p>完全予約制メガネショップ NH2 オーナー。アイウェアプロデューサーとして、1万人以上の女性のメガネをフィッティングした経験をもつ。</p>
<p>「アイウェアはどなたにでも楽しんでいただけるもの」「アイウェアが似合わない方はいない！」というのをコンセプトに、機能性・かけ心地のよさにこだわって、アイブレラシリーズを開発しています。</p>
</div ="""">

<h5 ="""">カラーバリエーション</h5 ="""">
<div class=""info"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836228.jpg"" alt=""bl61"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836227.jpg"" alt=""bl62"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836226.jpg"" alt=""bl63"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836225.jpg"" alt=""bl64"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836224.jpg"" alt=""bl65"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836223.jpg"" alt=""bl66"" ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/bloom/imgrc0070836222.jpg"" alt=""bl67"" ="""">
</div ="""">

<p>メーカー希望小売価格はメーカー商品タグに基づいて掲載しています→こちら</p>

<h5 ="""">商品仕様</h5 ="""">
<table class=""explain-table"" ="""">
<tr>
<th>サイズ</th><td>フレーム：約縦5.3cm×横14.4cm、ツル：約13.5cm</td>
</tr>
<tr>
<th>重さ</th><td></td>
</tr>
<tr>
<th>保証期間</th><td>購入から1年間<br>※お客様の過失による破損については有償になる場合がございます。</td>
</tr>
</table ="""">

<h5 ="""">家庭用品品質表示法に基づく表示</h5 ="""">
<table class=""explain-table"" ="""">
<tr>
<th>品名</th><td>サングラス</td>
</tr>
<tr>
<th>レンズの素材</th><td>プラスチック（CR-39）</td>
</tr>
<tr>
<th>レンズ枠</th><td>プラスチック（アセテート）</td>
</tr>
<tr>
<th>テンプル</th><td>プラスチック（アセテート）（芯はβチタン）</td>
</tr>
<tr>
<th>可視光線透過率</th><td>48％</td>
</tr>
<tr>
<th>紫外線透過率</th><td>1.0％以下</td>
</tr>
<tr>
<th>使用上の注意</th><td>
<ul ="""">
<li ="""">高温のところに置いたり、傷をつけるような金属と一緒にしまわないでください。</li ="""">
<li ="""">激しいスポーツ等に使用しますと接触等の強い衝撃での破損により、顔面等を負傷する危険性があります。</li ="""">
<li ="""">日中の光線の眩しさや通常使用での有害な紫外線を防ぐことは出来ますが、その他の保護機能はありません。</li ="""">
<li ="""">レンズの濃淡にかかわらず、太陽や溶接等の強い光を直視しないでください。</li ="""">
<li ="""">夜間の運転中及び夜間の道路で使用しないでください。</li ="""">
</ul ="""">
</td>
</tr>
</table ="""">

<h5 ="""">アイブレラの売上げの一部は、NPO団体　POSAに寄付されています。</h5 ="""">
<img src=""http://image.rakuten.co.jp/rinkado/cabinet/eye_photo/imgrc0070786414.jpg"" alt=""posa"" ="""">
<p>POSAは　インドやバングラディッシュで、白内障によって失明してしまった方の視力回復手術を無料で行なうために、医師が立ち上げた団体です。""すべての人々に光を"" 目的として、経済的な理由から白内障手術を受ける機会がない方を対象にしています。</p>

<div class=""column"" ="""">
<h5 ="""">POSA活動内容</h5 ="""">
<p>POSAではALL THAT IS NOT SHARED IS LOST（分かちあわれないすべのものは、失われる）をスローガンに掲げ、アイキャンプそのもののポリシーとして、次の2点を示しております。</p>
<p>
（1）医師として患者さんにとって最善の治療を最高の医療レベルで行う<br>
（2）白内障のために失明しており、しかも経済的な理由から今後白内障手術を受ける機会がないと予想される患者様を対象とする</p>
<p>
より多くの人々が分厚い眼鏡なしでも、良好な視力を得られるように眼内レンズ移植手術を続けてまいります。</p>
</div ="""">

</div ="""">",【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラブルーム [ レディース 海外 旅行 散歩 おしゃれ 白内障 目 眩しい 小顔 PC メガネ ショップチャンネル ]：RINKADO SHOP,サングラスブルーライト紫外線eyebrellaアイブレラ眩しいブルーカットPCメガネUVカット目を守るパソコンドライアイ白内障緑内障瞳の健康高本尚紀NH2運転伊達メガネ小顔【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラブルーム [ レディース 海外 旅行 散歩 おしゃれ 白内障 目 眩しい 小顔 PC メガネ ショップチャンネル ],紫外線やブルー光線をカット。軽さを追求したサングラス。。【 送料無料 】 紫外線対策 UVカット ブルーライトカット サングラス ★ アイブレラブルーム [ レディース 海外 旅行 散歩 おしゃれ 白内障 目 眩しい 小顔 PC メガネ ショップチャンネル ][rn]
