18-39401,http://tshop.r10s.jp/auto-craft/cabinet/01709552/kakimoto-2507.jpg?fitin=700:700,35904.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[柿本改] マフラー Regu.06＆R 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/10～) 2WD 】 ('10年加速騒音規制対応モデル),,【適合車種】<br>インプレッサスポーツ<br>グレード等　2.0i(L・S/アイサイト含む)<br>駆動形式　FF<br>車両型式　DBA-GT6<br>エンジン型式　FB20(NA)<br>年式　16/10～<br>ミッション　CVT<br><br>基準　JQR認証(性能等確認済表示)<br>JQR番号　JQR20171064<br>近接排気騒音　94dB<br>材質　オールステンレス<br>パイプ径(φ)　60<br>タイコ径(φ)　115<br>テール径(φ)　80<br>出口方向　S(右)<br><br>備考<br>リアピースのみ。,[柿本改] マフラー Regu.06＆R 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/10～) 2WD 】 ('10年加速騒音規制対応モデル)：オートクラフト,中古車新車板金塗装アライメント爪折りエアロホイールマフラーバケットシートメータープラグタイヤサスペンション車高調シートレールステアリングシフトノブオーディオナビゲーション[柿本改] マフラー Regu.06＆R 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/10～) 2WD 】 ('10年加速騒音規制対応モデル),[柿本改] マフラー Regu.06＆R 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/10～) 2WD 】 ('10年加速騒音規制対応モデル)[rn]
18-39402,http://tshop.r10s.jp/gold/sportexhaustshop-alpha/fox_img/ma192023-133-p.jpg?fitin=700:700,68800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Wagon / アテンザ (GJ) ワゴン 2.0/2.5用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」,"■以下の適合車種をご確認下さい。<br>
<br>
■■ 車名 ■■<br>
MAZDA / マツダ<br>
Atenza (GJ) Wagon / アテンザ (GJ) ワゴン<br>
<br>
■■ グレード/型式 ■■<br>
2.0 -GJEFW<br>
2.5 -GJ5FW<br>
<br>
■■ 適合年式 ■■<br>
2012-<br>
<br>
■■ 品番 ■■<br>
MA192023-133<br>
<br>
■■ テールサイズ ■■<br>
100mm 斜め 左右<br>
<br>
■■ 接続形状 ■■<br>
フランジ<br>
(純正マフラーがフランジで接続されています。純正マフラーを取り外し、FOXマフラーとフランジで接続してください。特別な加工は必要ありません。)<br>
<br>
■■ 車検対応 ■■<br>
eマーク付きで車検対応です。<br>
<br>
■■ 備考 ■■<br><br>
■■ 納期について ■■<br>
在庫がない場合の納期ですが、輸入品につき納期が長くなる場合があります。(通常ですと1ヶ月～3ヶ月程度です。）<br>
在庫がない場合は、「商品についての問合わせ」ボタンより納期をご確認後、ご購入をお願い致します。
（在庫状況は「商品をカゴに追加」ボタンの上部に表示されています。）<br>
また、在庫がない場合はドイツ本国より商品を取り寄せますので、ご注文後のキャンセルは不可とさせて頂きます。
<!-- スマホ用FOX説明文 -->
<br><br><br>
<hr>
<font size=""+1""><b>FOXスポーツマフラーの特徴</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_title.jpg"">
・耐久性に優れたSUS304を素材としたオールステンレスマフラーです。<br>
・テールパイプは美しくハンドポリッシュされています。<br>
・音質は低音が強調されたスポーティーサウンドです。音量は純正と同等程度です。<br>
・eマーク付きの車検対応マフラーです(一部の例外を除く)。<br>
・ほとんどの製造工程が熟練のドイツ職人のハンドメイドにて行われています。<br>
・背圧を75%程度まで低減させ、出力が向上します。<br>
・3年間の保証付きです(走行距離無制限)。<br>


<hr>
<font size=""+1""><b>FOX社について</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_factory.jpg"">
<p></p>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_produce.jpg"">
<p>FOX社はドイツの都市ヨハンジョルゲンシュタットにあり、1992年の創設以来、個性的なデザインおよびスポーティーサウンドにこだわった100% made in germanyのスポーツマフラーを製造しています。</p>
<p>設立当初は数名からのスタートでしたが、その確かなクオリティが認められ、現在は90名の従業員を抱えるヨーロッパ有数のスポーツマフラーメーカーに成長しました。 </p>
<p></p>


<hr>
<font size=""+1""><b>車検対応について</b></font>
<p>FOXは「eマーク」がついており、2010年4月からの新騒音規制に適合する「車検対応マフラー」です。</p>
<p>
2010年4月以降に生産された車両に関してはこれまでの規制に加えて、加速時の走行騒音を有効に防止するマフラーが装着されている事が車検時の検査項目に追加されます。<br>
その基準を満たす条件はいくつかありますが、欧州連合指令（EU指令）適合品表示（eマーク）の表示があるマフラーは車検対応として認められます。<br>
また、従来からの規制である近接排気音96db以内に関しても、EU指令の基準は「純正マフラーと同等以下」というものであり、「eマーク」表示のあるマフラーは問題なくクリアしています。<br>
</p>

<br>
(※)eマーク表示例<br>(「e1」の1などeの後ろの数字は認可した国番号を表し、製品によって異なる場合があります。)<br>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_emark.jpg"">
<p> (注)ラインアップの一部にeマークなしの商品がありますが、これらeマークなしの商品は2010年3月以前に生産された車両にのみ設定しています。<br>
2010年3月以前に生産された車両の場合はeマークの有無は車検に関係ありませんのでご安心下さい。</p>
<p></p>
<b>（※）加速走行騒音防止性能を有すると認められるマフラーは以下になります。</b>
<p>
A 次のいずれかの表示があるマフラー<br>
(1)純正品表示（車両型式認証を受けた自動車等が備える純正マフラーに行う表示）<br>
(2)装置型式指定品表示（自マーク）<br>
(3)性能確認済表示（登録性能等確認機関が確認した型式の交換用マフラーに行う表示）<br>
(4)国連欧州経済委員会規則（ECE規則）適合品表示（Ｅマーク）<br>
(5)欧州連合指令（EU指令）70/157/EEC 適合品表示（eマーク）&nbsp;<font color=""red"">←FOXマフラーの場合はこの項目が適用されます。</font><br>
</p>

<p>
B 次のいずれかの自動車等が現に備えているマフラー<br>
(1)加速走行騒音レベルが82dB（原動機付自転車は79dB）以下である自動車等<br>
(2)加速走行騒音レベルがECE 規則又はEU 指令に適合する自動車等<br>
ただし、B 1.は公的試験機関成績書により、B 2.は外国の法令に基づく書面等により、その旨を車検時に証明する必要があります。 <br>
</p>",FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Wagon / アテンザ (GJ) ワゴン 2.0/2.5用 100mm 斜め 左右：SPORT EXHAUST SHOP ALPHA,FOXマフラーREMUSマフラーSupersprintマフラーフォックスレムススーパースプリントスパスプFOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Wagon / アテンザ (GJ) ワゴン 2.0/2.5用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」。FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Wagon / アテンザ (GJ) ワゴン 2.0/2.5用 100mm 斜め 左右[rn]
18-39403,http://tshop.r10s.jp/gold/sportexhaustshop-alpha/fox_img/ma192003-133.jpg?fitin=700:700,66400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.2XD用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」,"■以下の適合車種をご確認下さい。<br>
<br>
■■ 車名 ■■<br>
MAZDA / マツダ<br>
Atenza (GJ) Sedan/ アテンザ (GJ) セダン<br>
<br>
■■ グレード/型式 ■■<br>
2.2XD -GJ2FP/GJ2AP<br>
<br>
■■ 適合年式 ■■<br>
2012-<br>
<br>
■■ 品番 ■■<br>
MA192003-133<br>
<br>
■■ テールサイズ ■■<br>
100mm 斜め 左右<br>
<br>
■■ 接続形状 ■■<br>
フランジ<br>
(純正マフラーがフランジで接続されています。純正マフラーを取り外し、FOXマフラーとフランジで接続してください。特別な加工は必要ありません。)<br>
<br>
■■ 車検対応 ■■<br>
eマーク付きで車検対応です。<br>
<br>
■■ 備考 ■■<br>
4WDも可<br><br>
■■ 納期について ■■<br>
在庫がない場合の納期ですが、輸入品につき納期が長くなる場合があります。(通常ですと1ヶ月～3ヶ月程度です。）<br>
在庫がない場合は、「商品についての問合わせ」ボタンより納期をご確認後、ご購入をお願い致します。
（在庫状況は「商品をカゴに追加」ボタンの上部に表示されています。）<br>
また、在庫がない場合はドイツ本国より商品を取り寄せますので、ご注文後のキャンセルは不可とさせて頂きます。
<!-- スマホ用FOX説明文 -->
<br><br><br>
<hr>
<font size=""+1""><b>FOXスポーツマフラーの特徴</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_title.jpg"">
・耐久性に優れたSUS304を素材としたオールステンレスマフラーです。<br>
・テールパイプは美しくハンドポリッシュされています。<br>
・音質は低音が強調されたスポーティーサウンドです。音量は純正と同等程度です。<br>
・eマーク付きの車検対応マフラーです(一部の例外を除く)。<br>
・ほとんどの製造工程が熟練のドイツ職人のハンドメイドにて行われています。<br>
・背圧を75%程度まで低減させ、出力が向上します。<br>
・3年間の保証付きです(走行距離無制限)。<br>


<hr>
<font size=""+1""><b>FOX社について</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_factory.jpg"">
<p></p>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_produce.jpg"">
<p>FOX社はドイツの都市ヨハンジョルゲンシュタットにあり、1992年の創設以来、個性的なデザインおよびスポーティーサウンドにこだわった100% made in germanyのスポーツマフラーを製造しています。</p>
<p>設立当初は数名からのスタートでしたが、その確かなクオリティが認められ、現在は90名の従業員を抱えるヨーロッパ有数のスポーツマフラーメーカーに成長しました。 </p>
<p></p>


<hr>
<font size=""+1""><b>車検対応について</b></font>
<p>FOXは「eマーク」がついており、2010年4月からの新騒音規制に適合する「車検対応マフラー」です。</p>
<p>
2010年4月以降に生産された車両に関してはこれまでの規制に加えて、加速時の走行騒音を有効に防止するマフラーが装着されている事が車検時の検査項目に追加されます。<br>
その基準を満たす条件はいくつかありますが、欧州連合指令（EU指令）適合品表示（eマーク）の表示があるマフラーは車検対応として認められます。<br>
また、従来からの規制である近接排気音96db以内に関しても、EU指令の基準は「純正マフラーと同等以下」というものであり、「eマーク」表示のあるマフラーは問題なくクリアしています。<br>
</p>

<br>
(※)eマーク表示例<br>(「e1」の1などeの後ろの数字は認可した国番号を表し、製品によって異なる場合があります。)<br>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_emark.jpg"">
<p> (注)ラインアップの一部にeマークなしの商品がありますが、これらeマークなしの商品は2010年3月以前に生産された車両にのみ設定しています。<br>
2010年3月以前に生産された車両の場合はeマークの有無は車検に関係ありませんのでご安心下さい。</p>
<p></p>
<b>（※）加速走行騒音防止性能を有すると認められるマフラーは以下になります。</b>
<p>
A 次のいずれかの表示があるマフラー<br>
(1)純正品表示（車両型式認証を受けた自動車等が備える純正マフラーに行う表示）<br>
(2)装置型式指定品表示（自マーク）<br>
(3)性能確認済表示（登録性能等確認機関が確認した型式の交換用マフラーに行う表示）<br>
(4)国連欧州経済委員会規則（ECE規則）適合品表示（Ｅマーク）<br>
(5)欧州連合指令（EU指令）70/157/EEC 適合品表示（eマーク）&nbsp;<font color=""red"">←FOXマフラーの場合はこの項目が適用されます。</font><br>
</p>

<p>
B 次のいずれかの自動車等が現に備えているマフラー<br>
(1)加速走行騒音レベルが82dB（原動機付自転車は79dB）以下である自動車等<br>
(2)加速走行騒音レベルがECE 規則又はEU 指令に適合する自動車等<br>
ただし、B 1.は公的試験機関成績書により、B 2.は外国の法令に基づく書面等により、その旨を車検時に証明する必要があります。 <br>
</p>",FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.2XD用 100mm 斜め 左右：SPORT EXHAUST SHOP ALPHA,FOXマフラーREMUSマフラーSupersprintマフラーフォックスレムススーパースプリントスパスプFOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.2XD用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」。FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.2XD用 100mm 斜め 左右[rn]
18-39404,http://tshop.r10s.jp/gold/sportexhaustshop-alpha/fox_img/ma192013-133-p1.jpg?fitin=700:700,84000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.0/2.5用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」,"■以下の適合車種をご確認下さい。<br>
<br>
■■ 車名 ■■<br>
MAZDA / マツダ<br>
Atenza (GJ) Sedan/ アテンザ (GJ) セダン<br>
<br>
■■ グレード/型式 ■■<br>
2.0 -GJEFP<br>
2.5 -GJ5FP<br>
<br>
■■ 適合年式 ■■<br>
2012-<br>
<br>
■■ 品番 ■■<br>
MA192013-133<br>
<br>
■■ テールサイズ ■■<br>
100mm 斜め 左右<br>
<br>
■■ 接続形状 ■■<br>
フランジ<br>
(純正マフラーがフランジで接続されています。純正マフラーを取り外し、FOXマフラーとフランジで接続してください。特別な加工は必要ありません。)<br>
<br>
■■ 車検対応 ■■<br>
eマーク付きで車検対応です。<br>
<br>
■■ 備考 ■■<br><br>
■■ 納期について ■■<br>
在庫がない場合の納期ですが、輸入品につき納期が長くなる場合があります。(通常ですと1ヶ月～3ヶ月程度です。）<br>
在庫がない場合は、「商品についての問合わせ」ボタンより納期をご確認後、ご購入をお願い致します。
（在庫状況は「商品をカゴに追加」ボタンの上部に表示されています。）<br>
また、在庫がない場合はドイツ本国より商品を取り寄せますので、ご注文後のキャンセルは不可とさせて頂きます。
<!-- スマホ用FOX説明文 -->
<br><br><br>
<hr>
<font size=""+1""><b>FOXスポーツマフラーの特徴</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_title.jpg"">
・耐久性に優れたSUS304を素材としたオールステンレスマフラーです。<br>
・テールパイプは美しくハンドポリッシュされています。<br>
・音質は低音が強調されたスポーティーサウンドです。音量は純正と同等程度です。<br>
・eマーク付きの車検対応マフラーです(一部の例外を除く)。<br>
・ほとんどの製造工程が熟練のドイツ職人のハンドメイドにて行われています。<br>
・背圧を75%程度まで低減させ、出力が向上します。<br>
・3年間の保証付きです(走行距離無制限)。<br>


<hr>
<font size=""+1""><b>FOX社について</b></font>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_factory.jpg"">
<p></p>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_produce.jpg"">
<p>FOX社はドイツの都市ヨハンジョルゲンシュタットにあり、1992年の創設以来、個性的なデザインおよびスポーティーサウンドにこだわった100% made in germanyのスポーツマフラーを製造しています。</p>
<p>設立当初は数名からのスタートでしたが、その確かなクオリティが認められ、現在は90名の従業員を抱えるヨーロッパ有数のスポーツマフラーメーカーに成長しました。 </p>
<p></p>


<hr>
<font size=""+1""><b>車検対応について</b></font>
<p>FOXは「eマーク」がついており、2010年4月からの新騒音規制に適合する「車検対応マフラー」です。</p>
<p>
2010年4月以降に生産された車両に関してはこれまでの規制に加えて、加速時の走行騒音を有効に防止するマフラーが装着されている事が車検時の検査項目に追加されます。<br>
その基準を満たす条件はいくつかありますが、欧州連合指令（EU指令）適合品表示（eマーク）の表示があるマフラーは車検対応として認められます。<br>
また、従来からの規制である近接排気音96db以内に関しても、EU指令の基準は「純正マフラーと同等以下」というものであり、「eマーク」表示のあるマフラーは問題なくクリアしています。<br>
</p>

<br>
(※)eマーク表示例<br>(「e1」の1などeの後ろの数字は認可した国番号を表し、製品によって異なる場合があります。)<br>
<img src=""http://image.rakuten.co.jp/sportexhaustshop-alpha/cabinet/shop_design/fox_emark.jpg"">
<p> (注)ラインアップの一部にeマークなしの商品がありますが、これらeマークなしの商品は2010年3月以前に生産された車両にのみ設定しています。<br>
2010年3月以前に生産された車両の場合はeマークの有無は車検に関係ありませんのでご安心下さい。</p>
<p></p>
<b>（※）加速走行騒音防止性能を有すると認められるマフラーは以下になります。</b>
<p>
A 次のいずれかの表示があるマフラー<br>
(1)純正品表示（車両型式認証を受けた自動車等が備える純正マフラーに行う表示）<br>
(2)装置型式指定品表示（自マーク）<br>
(3)性能確認済表示（登録性能等確認機関が確認した型式の交換用マフラーに行う表示）<br>
(4)国連欧州経済委員会規則（ECE規則）適合品表示（Ｅマーク）<br>
(5)欧州連合指令（EU指令）70/157/EEC 適合品表示（eマーク）&nbsp;<font color=""red"">←FOXマフラーの場合はこの項目が適用されます。</font><br>
</p>

<p>
B 次のいずれかの自動車等が現に備えているマフラー<br>
(1)加速走行騒音レベルが82dB（原動機付自転車は79dB）以下である自動車等<br>
(2)加速走行騒音レベルがECE 規則又はEU 指令に適合する自動車等<br>
ただし、B 1.は公的試験機関成績書により、B 2.は外国の法令に基づく書面等により、その旨を車検時に証明する必要があります。 <br>
</p>",FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.0/2.5用 100mm 斜め 左右：SPORT EXHAUST SHOP ALPHA,FOXマフラーREMUSマフラーSupersprintマフラーフォックスレムススーパースプリントスパスプFOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.0/2.5用 100mm 斜め 左右,車検対応　オールステンレス　スポーツマフラー「FOX」。FOX フォックス オールステンレスマフラー（リアマフラー） MAZDA Atenza (GJ) Sedan/ アテンザ (GJ) セダン 2.0/2.5用 100mm 斜め 左右[rn]
18-39405,http://tshop.r10s.jp/auto-craft/cabinet/01709552/kakimoto-2506.jpg?fitin=700:700,48416.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[柿本改] マフラー Class KR 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/12～) CVT FF 】 ('10年加速騒音規制対応モデル),,【適合車種】<br>インプレッサスポーツ<br>グレード等　2.0i(-L・S/アイサイト含む)<br>駆動形式　FF<br>車両型式　DBA-GT6<br>エンジン型式　FB20(NA)<br>年式　16/10～<br>ミッション　CVT<br><br>基準　JQR認証(性能等確認済表示)<br>JQR番号　JQR10171065<br>近接排気騒音　91dB<br>材質　オールステンレス<br>パイプ径(φ)　60-50W<br>タイコ径(φ)　-<br>テール径(φ)　70(SLASH)<br>出口方向　W(右)<br><br>備考<br>リアピースのみ。,[柿本改] マフラー Class KR 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/12～) CVT FF 】 ('10年加速騒音規制対応モデル)：オートクラフト,中古車新車板金塗装アライメント爪折りエアロホイールマフラーバケットシートメータープラグタイヤサスペンション車高調シートレールステアリングシフトノブオーディオナビゲーション[柿本改] マフラー Class KR 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/12～) CVT FF 】 ('10年加速騒音規制対応モデル),[柿本改] マフラー Class KR 【 インプレッサスポーツ 2.0i [DBA-GT6] FB20 (16/12～) CVT FF 】 ('10年加速騒音規制対応モデル)[rn]
18-39406,http://tshop.r10s.jp/auto-craft/cabinet/01709552/kakimoto-2497.jpg?fitin=700:700,80512.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,[柿本改] マフラー Class KR 【 C-HR S-T/G-T [DBA-NGX50] 8NR-FTS (16/12～) 4WD 】 ('10年加速騒音規制対応モデル),代引き手数料無料（沖縄・離島除く）,【 適合車種 】<br>C-HR<br>グレード等　S-T/G-T<br>駆動形式　4WD<br>車両型式　DBA-NGX50<br>エンジン型式　8NR-FTS<br>年式　16/12～<br>ミッション　CVT<br><br>基準JQR認証(性能等確認済表示)<br>JQR番号　JQR30172061<br>近接排気騒音　84dB<br>材質　オールステンレス<br>パイプ径(φ)　50<br>タイコ径(φ)　-<br>テール径(φ)　70(SLASH)<br>出口方向　W(左右)<br><br>備考<br>寒冷地仕様は取付未確認。<br>TRDリアバンパースポイラー装着車は吊りゴム交換推奨。,[柿本改] マフラー Class KR 【 C-HR S-T/G-T [DBA-NGX50] 8NR-FTS (16/12～) 4WD 】 ('10年加速騒音規制対応モデル)：オートクラフト,中古車新車板金塗装アライメント爪折りエアロホイールマフラーバケットシートメータープラグタイヤサスペンション車高調シートレールステアリングシフトノブオーディオナビゲーション[柿本改] マフラー Class KR 【 C-HR S-T/G-T [DBA-NGX50] 8NR-FTS (16/12～) 4WD 】 ('10年加速騒音規制対応モデル),代引き手数料無料（沖縄・離島除く）。[柿本改] マフラー Class KR 【 C-HR S-T/G-T [DBA-NGX50] 8NR-FTS (16/12～) 4WD 】 ('10年加速騒音規制対応モデル)[rn]
18-39407,http://tshop.r10s.jp/auc-partslandnagoya/cabinet/201704_1/200006603028-1.jpg?fitin=700:700,67200.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,SE3P RX-8/RX8 前期 Rmagicスポーツマフラー/チューンドサイレンサー,【中古】オールステンレス,"<br />
<br />

商品管理番号：200006603028<br />
商品タイトル：SE3P RX-8/RX8 前期 Rmagicスポーツマフラー/チューンドサイレンサー<br />
ランク：C<br />
販売価格：84,000円<br />
参考上代：<br />
入荷日：<br />
ランク説明：中古/可<br />
キャッチコピー：【中古】オールステンレス<br />
<br />

カテゴリ：社外スポーツマフラー<br />
メーカー：R-magic/アールマジック<br />
商品名：チューンドサイレンサー/スポーツマフラー<br />
モデル/サイズ：RX-8/RX8<br />
適合型式/サイズ：LA-SE3P/ABA-SE3P の前期（～20/3迄)専用<br />
商品特徴：チタンスラッシュカット(左右出口部）<br />
その他：<br />
在庫場所：2F Deep<br />
送料区分：タイプ6<br />
出品商品詳細説明：2分割構成(ガスケットは消耗品のためついておりません)<BR>
外観良好<br />

 

<br />
画像フォルダ：201704_1
<br />
PARTSLANDNAGOYA商品管理番号：200006603028ECZKSS",SE3P RX-8/RX8 前期 Rmagicスポーツマフラー/チューンドサイレンサー：自動車中古部品パーツランドナゴヤ,SE3P RX-8/RX8 前期 Rmagicスポーツマフラー/チューンドサイレンサー,【中古】オールステンレス。SE3P RX-8/RX8 前期 Rmagicスポーツマフラー/チューンドサイレンサー[rn]
18-39408,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/ikou_20100204_010/img10193263768.jpg?fitin=700:700,57075.2000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）アテンザ スポーツ　DBA-GH5FSアテンザスポーツワゴン　DBA-GH5FW・GH5AW,必ず納期確認して下さい,"スポーツワゴン　「２５Ｓ」「２５Ｚ」「２５ＥＸ」可 <BR>グレード「25C」「25S」用  <BR>
■掲載画像は商品イメージです。
■こちらの商品は送料無料です(離島は除く)
■コメント欄に車名、型式、エンジン型式、年式をご記入の上、ご注文をお願い致します。",HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）アテンザ スポーツ　DBA-GH5FSアテンザスポーツワゴン　DBA-GH5FW・GH5AW：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノHKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）アテンザ スポーツ　DBA-GH5FSアテンザスポーツワゴン　DBA-GH5FW・GH5AW,必ず納期確認して下さい。HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）アテンザ スポーツ　DBA-GH5FSアテンザスポーツワゴン　DBA-GH5FW・GH5AW[rn]
18-39409,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/ikou_20100204_012/img10193400985.jpg?fitin=700:700,66976.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）マツダスピードアクセラ　DBA-BL3FW,必ず納期確認して下さい,"■掲載画像は商品イメージです。
■こちらの商品は送料無料です(離島は除く)
■コメント欄に車名、型式、エンジン型式、年式をご記入の上、ご注文をお願い致します。",HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）マツダスピードアクセラ　DBA-BL3FW：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノHKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）マツダスピードアクセラ　DBA-BL3FW,必ず納期確認して下さい。HKS　LEGAMAX Premium　リーガマックスプレミアムマフラー（チタンテール）マツダスピードアクセラ　DBA-BL3FW[rn]
18-39410,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/01485171/img58020797.jpg?fitin=700:700,40185.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,HKS　Cool Style(クールスタイル)N BOX DBA-JF1(TURBO NA)「カスタム」「標準車」ともに取付可。,必ず納期確認して下さい,"「カスタム」「標準車」ともに取付可。4WD不可
<BR>
■掲載画像はタントへの装着商品イメージです。
■こちらの商品は送料無料です(離島は除く)
■コメント欄に車名、型式、エンジン型式、年式をご記入の上、ご注文をお願い致します。",HKS　Cool Style(クールスタイル)N BOX DBA-JF1(TURBO NA)「カスタム」「標準車」ともに取付可。：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノHKS　Cool Style(クールスタイル)N BOX DBA-JF1(TURBO NA)「カスタム」「標準車」ともに取付可。,必ず納期確認して下さい。HKS　Cool Style(クールスタイル)N BOX DBA-JF1(TURBO NA)「カスタム」「標準車」ともに取付可。[rn]
