5-17018,http://tshop.r10s.jp/hotroad/cabinet/1201/7120112701_1.jpg?fitin=700:700,449.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,フラーガスケット 楕円 50φ(48～52φ/ピッチ75～95mm) BG-834/,,マフラー交換に必須！<br>ガスケットは消耗品です。排気漏れが発生すると、エキゾーストシステムの性能はもとよりエンジン本来の性能が引き出せなくなります。<br><br>【製品仕様】<br>●日本製で高品位な素材を使用。接合性、耐熱性に優れています。<br>●密着性の高い素材を使用しておりますので、排気漏れシャットアウトできます。<br>●ボルト装着穴は長穴加工で、あらゆる車種のマフラーに装着可能です。<br>●ノンアスベスト品<br><br>メーカー品番：BG-834<br>ガスケットサイズ：50φ<br>形状：楕円<br>適合パイプ径：約48φ～52φ<br>ボトル穴ピッチ：約75mm～95mm,フラーガスケット 楕円 50φ(48～52φ/ピッチ75～95mm) BG-834/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットフラーガスケット 楕円 50φ(48～52φ/ピッチ75～95mm) BG-834/,フラーガスケット 楕円 50φ(48～52φ/ピッチ75～95mm) BG-834/[rn]
5-17019,http://tshop.r10s.jp/hotroad/cabinet/1201/7120112702_1.jpg?fitin=700:700,449.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,フラーガスケット 楕円 60φ(58～61φ/ピッチ85～105mm) BG-835/,,マフラー交換に必須！<br>ガスケットは消耗品です。排気漏れが発生すると、エキゾーストシステムの性能はもとよりエンジン本来の性能が引き出せなくなります。<br><br>【製品仕様】<br>●日本製で高品位な素材を使用。接合性、耐熱性に優れています。<br>●密着性の高い素材を使用しておりますので、排気漏れシャットアウトできます。<br>●ボルト装着穴は長穴加工で、あらゆる車種のマフラーに装着可能です。<br>●ノンアスベスト品<br><br>メーカー品番：BG-835<br>ガスケットサイズ：60φ<br>形状：楕円<br>適合パイプ径：約58φ～61φ<br>ボトル穴ピッチ：約85mm～105mm,フラーガスケット 楕円 60φ(58～61φ/ピッチ85～105mm) BG-835/：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットフラーガスケット 楕円 60φ(58～61φ/ピッチ85～105mm) BG-835/,フラーガスケット 楕円 60φ(58～61φ/ピッチ85～105mm) BG-835/[rn]
5-17020,http://tshop.r10s.jp/hotroad/cabinet/1406/7140618211_1.jpg?fitin=700:700,641.6000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,ホルツ/Holts：マフラー用耐熱シール剤 ファイアガム 耐熱1000℃/MH-705,排気漏れストップ！,マフラー接合部の排気漏れをストップ！<br>耐熱1000度、つなぎ目の凸凹やすき間に入り密着性抜群<br><br><br>【特徴】<br>耐熱・耐震性に優れ、マフラー・エキゾーストパイプ・マニホールド接合部を確実にシーリングし排気漏れを止めます。<br><br><br>【用途】<br>●車のマフラー/エキゾーストパイプ接合部のシールに。<br>●マニホールドフランジ部のシールに。<br><br><br>【品質表示】<br>色調：ホワイト<br>適合材料：鉄・非鉄金属<br>耐熱温度：1000℃<br>硬化時間：8時間(20℃)・アイドリング加熱の場合30分(80℃)<br>成分：無機バインダー（珪酸塩）<br><br><br>【セット内容】<br>ファイアガム75g<br>取扱説明書<br><br>メーカー：Holts/ホルツ 武蔵ホルト<br>品番：MH705,ホルツ/Holts：マフラー用耐熱シール剤 ファイアガム 耐熱1000℃/MH-705：カー用品のホットロード春日井西店,カー用品コンソールボックススマホ充電器ナンバーフレームスピーカーオーディオ塗装ウーファーキャリアフリードシエンタノアマジカルカーボンステアリングボスタイヤチェーンスタッドレスタイヤアウトレットホルツ/Holts：マフラー用耐熱シール剤 ファイアガム 耐熱1000℃/MH-705,排気漏れストップ！。ホルツ/Holts：マフラー用耐熱シール剤 ファイアガム 耐熱1000℃/MH-705[rn]
5-17021,http://tshop.r10s.jp/ainekusu/cabinet/03201050/03299127/img59282008.jpg?fitin=700:700,12048.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,NTK O2センサ 【NTK 酸素センサ】  OZA668-EE20・スバル レガシィ  純正品番：22690AA510OZA668-EE20,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで,"<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295423.jpg"" width=""800"">
<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295388.jpg"" width=""800"">
<br><br>
<font size=""6"" color=""#669966"">ジルコニア素子を採用した高性能O2センサ</font><br>
　ジルコニア素子は３００℃を越える温度下で酸素濃度の差によって起電力が発生する特性を持っています。
この特性を利用して、素子の内側と外側（大気と排出ガス）の酸素濃度差を検知し、理論空燃比に対して燃料が濃い（リッチ）、薄い（リーン）かをECUにフィードバックするのがジルコニアタイプセンサの特徴です。
<br><br>
<font size=""6"" color=""#669966"">全領域空燃比センサ</font><br>
　全領域空燃比センサは、理論空燃比に対して、どの程度リッチもしくはリーンであるかを検知できます。したがって、ジルコニアO2センサよりも精密なエンジン制御が可能となります。また、リーンバーン制御等の理論空燃比（λ＝１）以外でのエンジン制御も可能になります。
　また、従来の全領域空燃比サンサの特性をそのままに耐熱性、耐久性を向上させ、素子とヒータの一体構造により、早期活性（エンジンキーON後、５秒以内に作動開始）を実現した早期活性型全領域空燃比センサもあります。<br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295392.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295393.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295428.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295429.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295431.jpg"" width=""800""><br>
<br><br>
<font size=""4"" color=""#ff0000"">ご注文時のお願い</font><br><br>
●車種によりO2センサの適合及び必要本数が異なりますので、NTK適応表をご参照下さい。<br>
●弊社にお問い合わせいただく場合には、車検証に記載されております情報をお知らせください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">取り扱い上の注意</font><br><br>
●このセンサを本来の目的以外には使用しないでください。<br>
●弊社発行の適応表に記載されている正しい品番のセンサをお使いください。<br>
●落下させたり、衝撃を与えると内部のセラミック素子が割れる恐れがありますので、ご注意ください。<br>
●センサのネジ部分には焼き付き防止剤を塗布しております。ゴミ等の付着防止のため、保護キャップはセンサを取り付ける直前に外してください。<br>
●焼き付き防止剤が手などに付着した場合は、直ぐに水などで洗い流してください。<br>
●本体に固定されているリード線をねじったり、曲げたりしないでください。<br>
●センサを取り付ける際、インパクトレンチやソケットタイプのレンチは使用しないでください。<br>
●センサの取り付けは、指先でねじ込み、レンチを使って、次の締め付けトルクを目安に締め付けてください。<br>
<b>・ネジ径18ｍｍ＝約35～45N・ｍ（3.5～4.5ｋｇｍ）</b><br>
●リード線やコネクタを排気マニホールドやその他の高温な部分には触れさせないでください。<br>
●リード線はオリジナル同様に配線して、コネクタをしっかり取り付けてください。<br>
●保管温度：常温で高温多湿を避けて保管してください。<br>
●このセンサは補修用に製造された自動車専用の純正相当品で互換性を保証するものではありません。<br>
●各自動車メーカーが定めた保証期間内に交換する場合は、お車の購入先にご相談ください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">注意！</font><br><br>
●点検・交換・調整は必ずエンジンを止めて行ってください。<br>
●改造車等に使用しますと正常に機能しない場合があります。<br>
●製品の仕様・外観・サイズは改良のため予告なく変更することがあります。<br>
●弊社発行の適応表に記載のない車両への取り付け等に発生した不具合につきましては、当社は一切責任を負いかねます。<br>
●弊社発行の適応表に記載のある車種で年式・形式等の情報が一致しているものでも、特別仕様車等により説明書記載内容と異なる場合があります。<br>
交換いただく前に、必ず現在お車に装着されている製品を合わせてご確認ください。<br>
●本書の内容は2009年1月現在のものです。内容については予告なく変更することがあります。<br>
●製品の色合いは印刷のため、実際と異なる場合があります。<br><style type=""text/css"">
 body{
 background-image:url(http://image.rakuten.co.jp/ainekusu/cabinet/02769636/20140802_mara.jpg);
 background-repeat:repeat-y;
 background-position:right;
 }


  /* 項目選択 横幅
+++++++++++++++++++++++++++++++++ */
#normal_basket_10034246 {
    width:300px;
}

#normal_basket_10034246 td .choice{
	font-size:12px;
	line-height:1.4;
	
}

 
  /* 項目選択 フォント
+++++++++++++++++++++++++++++++++ */
 
 <!--
td.inventory font{font-size:12px;color:#FF0000;}
td.inventory{word-wrap:break-word; width:80px;}
-->
 
 /* 項目選択 テーブル幅
+++++++++++++++++++++++++++++++++ */

td.inventory_choice_name{
    padding:5px;
    margin:10px 0px;
}




 </style>",NTK O2センサ 【NTK 酸素センサ】  OZA668-EE20・スバル レガシィ  純正品番：22690AA510OZA668-EE20：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガスNTK O2センサ 【NTK 酸素センサ】  OZA668-EE20・スバル レガシィ  純正品番：22690AA510OZA668-EE20,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで。NTK O2センサ 【NTK 酸素センサ】  OZA668-EE20・スバル レガシィ  純正品番：22690AA510OZA668-EE20[rn]
5-17022,http://tshop.r10s.jp/ainekusu/cabinet/03201050/03299127/img59282008.jpg?fitin=700:700,4360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,NTK O2センサ 【NTK 酸素センサ】  OZA669-EE18・ダイハツ テリオス  純正品番：89465-97409OZA669-EE18,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで,"<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295423.jpg"" width=""800"">
<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295388.jpg"" width=""800"">
<br><br>
<font size=""6"" color=""#669966"">ジルコニア素子を採用した高性能O2センサ</font><br>
　ジルコニア素子は３００℃を越える温度下で酸素濃度の差によって起電力が発生する特性を持っています。
この特性を利用して、素子の内側と外側（大気と排出ガス）の酸素濃度差を検知し、理論空燃比に対して燃料が濃い（リッチ）、薄い（リーン）かをECUにフィードバックするのがジルコニアタイプセンサの特徴です。
<br><br>
<font size=""6"" color=""#669966"">全領域空燃比センサ</font><br>
　全領域空燃比センサは、理論空燃比に対して、どの程度リッチもしくはリーンであるかを検知できます。したがって、ジルコニアO2センサよりも精密なエンジン制御が可能となります。また、リーンバーン制御等の理論空燃比（λ＝１）以外でのエンジン制御も可能になります。
　また、従来の全領域空燃比サンサの特性をそのままに耐熱性、耐久性を向上させ、素子とヒータの一体構造により、早期活性（エンジンキーON後、５秒以内に作動開始）を実現した早期活性型全領域空燃比センサもあります。<br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295392.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295393.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295428.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295429.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295431.jpg"" width=""800""><br>
<br><br>
<font size=""4"" color=""#ff0000"">ご注文時のお願い</font><br><br>
●車種によりO2センサの適合及び必要本数が異なりますので、NTK適応表をご参照下さい。<br>
●弊社にお問い合わせいただく場合には、車検証に記載されております情報をお知らせください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">取り扱い上の注意</font><br><br>
●このセンサを本来の目的以外には使用しないでください。<br>
●弊社発行の適応表に記載されている正しい品番のセンサをお使いください。<br>
●落下させたり、衝撃を与えると内部のセラミック素子が割れる恐れがありますので、ご注意ください。<br>
●センサのネジ部分には焼き付き防止剤を塗布しております。ゴミ等の付着防止のため、保護キャップはセンサを取り付ける直前に外してください。<br>
●焼き付き防止剤が手などに付着した場合は、直ぐに水などで洗い流してください。<br>
●本体に固定されているリード線をねじったり、曲げたりしないでください。<br>
●センサを取り付ける際、インパクトレンチやソケットタイプのレンチは使用しないでください。<br>
●センサの取り付けは、指先でねじ込み、レンチを使って、次の締め付けトルクを目安に締め付けてください。<br>
<b>・ネジ径18ｍｍ＝約35～45N・ｍ（3.5～4.5ｋｇｍ）</b><br>
●リード線やコネクタを排気マニホールドやその他の高温な部分には触れさせないでください。<br>
●リード線はオリジナル同様に配線して、コネクタをしっかり取り付けてください。<br>
●保管温度：常温で高温多湿を避けて保管してください。<br>
●このセンサは補修用に製造された自動車専用の純正相当品で互換性を保証するものではありません。<br>
●各自動車メーカーが定めた保証期間内に交換する場合は、お車の購入先にご相談ください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">注意！</font><br><br>
●点検・交換・調整は必ずエンジンを止めて行ってください。<br>
●改造車等に使用しますと正常に機能しない場合があります。<br>
●製品の仕様・外観・サイズは改良のため予告なく変更することがあります。<br>
●弊社発行の適応表に記載のない車両への取り付け等に発生した不具合につきましては、当社は一切責任を負いかねます。<br>
●弊社発行の適応表に記載のある車種で年式・形式等の情報が一致しているものでも、特別仕様車等により説明書記載内容と異なる場合があります。<br>
交換いただく前に、必ず現在お車に装着されている製品を合わせてご確認ください。<br>
●本書の内容は2009年1月現在のものです。内容については予告なく変更することがあります。<br>
●製品の色合いは印刷のため、実際と異なる場合があります。<br><style type=""text/css"">
 body{
 background-image:url(http://image.rakuten.co.jp/ainekusu/cabinet/02769636/20140802_mara.jpg);
 background-repeat:repeat-y;
 background-position:right;
 }


  /* 項目選択 横幅
+++++++++++++++++++++++++++++++++ */
#normal_basket_10034246 {
    width:300px;
}

#normal_basket_10034246 td .choice{
	font-size:12px;
	line-height:1.4;
	
}

 
  /* 項目選択 フォント
+++++++++++++++++++++++++++++++++ */
 
 <!--
td.inventory font{font-size:12px;color:#FF0000;}
td.inventory{word-wrap:break-word; width:80px;}
-->
 
 /* 項目選択 テーブル幅
+++++++++++++++++++++++++++++++++ */

td.inventory_choice_name{
    padding:5px;
    margin:10px 0px;
}




 </style>",NTK O2センサ 【NTK 酸素センサ】  OZA669-EE18・ダイハツ テリオス  純正品番：89465-97409OZA669-EE18：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガスNTK O2センサ 【NTK 酸素センサ】  OZA669-EE18・ダイハツ テリオス  純正品番：89465-97409OZA669-EE18,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで。NTK O2センサ 【NTK 酸素センサ】  OZA669-EE18・ダイハツ テリオス  純正品番：89465-97409OZA669-EE18[rn]
5-17023,http://tshop.r10s.jp/ainekusu/cabinet/03201050/03299127/img59282008.jpg?fitin=700:700,6312.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,NTK O2センサ 【NTK 酸素センサ】  OZA669-EE41・トヨタ タウンエースノア・ライトエースノア  純正品番：89465-14120OZA669-EE41,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで,"<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295423.jpg"" width=""800"">
<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295388.jpg"" width=""800"">
<br><br>
<font size=""6"" color=""#669966"">ジルコニア素子を採用した高性能O2センサ</font><br>
　ジルコニア素子は３００℃を越える温度下で酸素濃度の差によって起電力が発生する特性を持っています。
この特性を利用して、素子の内側と外側（大気と排出ガス）の酸素濃度差を検知し、理論空燃比に対して燃料が濃い（リッチ）、薄い（リーン）かをECUにフィードバックするのがジルコニアタイプセンサの特徴です。
<br><br>
<font size=""6"" color=""#669966"">全領域空燃比センサ</font><br>
　全領域空燃比センサは、理論空燃比に対して、どの程度リッチもしくはリーンであるかを検知できます。したがって、ジルコニアO2センサよりも精密なエンジン制御が可能となります。また、リーンバーン制御等の理論空燃比（λ＝１）以外でのエンジン制御も可能になります。
　また、従来の全領域空燃比サンサの特性をそのままに耐熱性、耐久性を向上させ、素子とヒータの一体構造により、早期活性（エンジンキーON後、５秒以内に作動開始）を実現した早期活性型全領域空燃比センサもあります。<br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295392.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295393.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295428.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295429.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295431.jpg"" width=""800""><br>
<br><br>
<font size=""4"" color=""#ff0000"">ご注文時のお願い</font><br><br>
●車種によりO2センサの適合及び必要本数が異なりますので、NTK適応表をご参照下さい。<br>
●弊社にお問い合わせいただく場合には、車検証に記載されております情報をお知らせください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">取り扱い上の注意</font><br><br>
●このセンサを本来の目的以外には使用しないでください。<br>
●弊社発行の適応表に記載されている正しい品番のセンサをお使いください。<br>
●落下させたり、衝撃を与えると内部のセラミック素子が割れる恐れがありますので、ご注意ください。<br>
●センサのネジ部分には焼き付き防止剤を塗布しております。ゴミ等の付着防止のため、保護キャップはセンサを取り付ける直前に外してください。<br>
●焼き付き防止剤が手などに付着した場合は、直ぐに水などで洗い流してください。<br>
●本体に固定されているリード線をねじったり、曲げたりしないでください。<br>
●センサを取り付ける際、インパクトレンチやソケットタイプのレンチは使用しないでください。<br>
●センサの取り付けは、指先でねじ込み、レンチを使って、次の締め付けトルクを目安に締め付けてください。<br>
<b>・ネジ径18ｍｍ＝約35～45N・ｍ（3.5～4.5ｋｇｍ）</b><br>
●リード線やコネクタを排気マニホールドやその他の高温な部分には触れさせないでください。<br>
●リード線はオリジナル同様に配線して、コネクタをしっかり取り付けてください。<br>
●保管温度：常温で高温多湿を避けて保管してください。<br>
●このセンサは補修用に製造された自動車専用の純正相当品で互換性を保証するものではありません。<br>
●各自動車メーカーが定めた保証期間内に交換する場合は、お車の購入先にご相談ください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">注意！</font><br><br>
●点検・交換・調整は必ずエンジンを止めて行ってください。<br>
●改造車等に使用しますと正常に機能しない場合があります。<br>
●製品の仕様・外観・サイズは改良のため予告なく変更することがあります。<br>
●弊社発行の適応表に記載のない車両への取り付け等に発生した不具合につきましては、当社は一切責任を負いかねます。<br>
●弊社発行の適応表に記載のある車種で年式・形式等の情報が一致しているものでも、特別仕様車等により説明書記載内容と異なる場合があります。<br>
交換いただく前に、必ず現在お車に装着されている製品を合わせてご確認ください。<br>
●本書の内容は2009年1月現在のものです。内容については予告なく変更することがあります。<br>
●製品の色合いは印刷のため、実際と異なる場合があります。<br>
<br><br><style type=""text/css"">
 body{
 background-image:url(http://image.rakuten.co.jp/ainekusu/cabinet/02769636/20140802_mara.jpg);
 background-repeat:repeat-y;
 background-position:right;
 }


  /* 項目選択 横幅
+++++++++++++++++++++++++++++++++ */
#normal_basket_10034246 {
    width:300px;
}

#normal_basket_10034246 td .choice{
	font-size:12px;
	line-height:1.4;
	
}

 
  /* 項目選択 フォント
+++++++++++++++++++++++++++++++++ */
 
 <!--
td.inventory font{font-size:12px;color:#FF0000;}
td.inventory{word-wrap:break-word; width:80px;}
-->
 
 /* 項目選択 テーブル幅
+++++++++++++++++++++++++++++++++ */

td.inventory_choice_name{
    padding:5px;
    margin:10px 0px;
}




 </style>",NTK O2センサ 【NTK 酸素センサ】  OZA669-EE41・トヨタ タウンエースノア・ライトエースノア  純正品番：89465-14120OZA669-EE41：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガスNTK O2センサ 【NTK 酸素センサ】  OZA669-EE41・トヨタ タウンエースノア・ライトエースノア  純正品番：89465-14120OZA669-EE41,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで。NTK O2センサ 【NTK 酸素センサ】  OZA669-EE41・トヨタ タウンエースノア・ライトエースノア  純正品番：89465-14120OZA669-EE41[rn]
5-17024,http://tshop.r10s.jp/ainekusu/cabinet/03201050/03299127/img59282008.jpg?fitin=700:700,3274.4000,,車用品・バイク用品 > カー用品 > 排気系パーツ > その他,NTK O2センサ 【NTK 酸素センサ】  OZA668-EE5・ダイハツ ハイゼット・ストーリア  純正品番：89465-97410  OZA668-EE5,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで,"<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295423.jpg"" width=""800"">
<br><img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295388.jpg"" width=""800"">
<br><br>
<font size=""6"" color=""#669966"">ジルコニア素子を採用した高性能O2センサ</font><br>
　ジルコニア素子は３００℃を越える温度下で酸素濃度の差によって起電力が発生する特性を持っています。
この特性を利用して、素子の内側と外側（大気と排出ガス）の酸素濃度差を検知し、理論空燃比に対して燃料が濃い（リッチ）、薄い（リーン）かをECUにフィードバックするのがジルコニアタイプセンサの特徴です。
<br><br>
<font size=""6"" color=""#669966"">全領域空燃比センサ</font><br>
　全領域空燃比センサは、理論空燃比に対して、どの程度リッチもしくはリーンであるかを検知できます。したがって、ジルコニアO2センサよりも精密なエンジン制御が可能となります。また、リーンバーン制御等の理論空燃比（λ＝１）以外でのエンジン制御も可能になります。
　また、従来の全領域空燃比サンサの特性をそのままに耐熱性、耐久性を向上させ、素子とヒータの一体構造により、早期活性（エンジンキーON後、５秒以内に作動開始）を実現した早期活性型全領域空燃比センサもあります。<br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295392.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295393.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295428.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295429.jpg"" width=""800""><br>
<img src=""http://image.rakuten.co.jp/ainekusu/cabinet/03201050/03299127/img59295431.jpg"" width=""800""><br>
<br><br>
<font size=""4"" color=""#ff0000"">ご注文時のお願い</font><br><br>
●車種によりO2センサの適合及び必要本数が異なりますので、NTK適応表をご参照下さい。<br>
●弊社にお問い合わせいただく場合には、車検証に記載されております情報をお知らせください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">取り扱い上の注意</font><br><br>
●このセンサを本来の目的以外には使用しないでください。<br>
●弊社発行の適応表に記載されている正しい品番のセンサをお使いください。<br>
●落下させたり、衝撃を与えると内部のセラミック素子が割れる恐れがありますので、ご注意ください。<br>
●センサのネジ部分には焼き付き防止剤を塗布しております。ゴミ等の付着防止のため、保護キャップはセンサを取り付ける直前に外してください。<br>
●焼き付き防止剤が手などに付着した場合は、直ぐに水などで洗い流してください。<br>
●本体に固定されているリード線をねじったり、曲げたりしないでください。<br>
●センサを取り付ける際、インパクトレンチやソケットタイプのレンチは使用しないでください。<br>
●センサの取り付けは、指先でねじ込み、レンチを使って、次の締め付けトルクを目安に締め付けてください。<br>
<b>・ネジ径18ｍｍ＝約35～45N・ｍ（3.5～4.5ｋｇｍ）</b><br>
●リード線やコネクタを排気マニホールドやその他の高温な部分には触れさせないでください。<br>
●リード線はオリジナル同様に配線して、コネクタをしっかり取り付けてください。<br>
●保管温度：常温で高温多湿を避けて保管してください。<br>
●このセンサは補修用に製造された自動車専用の純正相当品で互換性を保証するものではありません。<br>
●各自動車メーカーが定めた保証期間内に交換する場合は、お車の購入先にご相談ください。<br>
<br><br><br>
<font size=""4"" color=""#ff0000"">注意！</font><br><br>
●点検・交換・調整は必ずエンジンを止めて行ってください。<br>
●改造車等に使用しますと正常に機能しない場合があります。<br>
●製品の仕様・外観・サイズは改良のため予告なく変更することがあります。<br>
●弊社発行の適応表に記載のない車両への取り付け等に発生した不具合につきましては、当社は一切責任を負いかねます。<br>
●弊社発行の適応表に記載のある車種で年式・形式等の情報が一致しているものでも、特別仕様車等により説明書記載内容と異なる場合があります。<br>
交換いただく前に、必ず現在お車に装着されている製品を合わせてご確認ください。<br>
●本書の内容は2009年1月現在のものです。内容については予告なく変更することがあります。<br>
●製品の色合いは印刷のため、実際と異なる場合があります。<br><style type=""text/css"">
 body{
 background-image:url(http://image.rakuten.co.jp/ainekusu/cabinet/02769636/20140802_mara.jpg);
 background-repeat:repeat-y;
 background-position:right;
 }


  /* 項目選択 横幅
+++++++++++++++++++++++++++++++++ */
#normal_basket_10034246 {
    width:300px;
}

#normal_basket_10034246 td .choice{
	font-size:12px;
	line-height:1.4;
	
}

 
  /* 項目選択 フォント
+++++++++++++++++++++++++++++++++ */
 
 <!--
td.inventory font{font-size:12px;color:#FF0000;}
td.inventory{word-wrap:break-word; width:80px;}
-->
 
 /* 項目選択 テーブル幅
+++++++++++++++++++++++++++++++++ */

td.inventory_choice_name{
    padding:5px;
    margin:10px 0px;
}




 </style>",NTK O2センサ 【NTK 酸素センサ】  OZA668-EE5・ダイハツ ハイゼット・ストーリア  純正品番：89465-97410  OZA668-EE5：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガスNTK O2センサ 【NTK 酸素センサ】  OZA668-EE5・ダイハツ ハイゼット・ストーリア  純正品番：89465-97410  OZA668-EE5,店内複数エントリーPT最大22倍チャンス！5/15 23:59まで。NTK O2センサ 【NTK 酸素センサ】  OZA668-EE5・ダイハツ ハイゼット・ストーリア  純正品番：89465-97410  OZA668-EE5[rn]
