5-74653,http://tshop.r10s.jp/keig/cabinet/04787783/05280407/imgrc0070480606.jpg?fitin=700:700,2876.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,"TUFO トゥーフォ JET26""PRO オールブラック ロード タイヤ 300001",,"■サイズ：19mm/26""/650c 
■カラー：ブラック
■重量：220g
■8-12bar(115-175psi)
■Road練習用","TUFO トゥーフォ JET26""PRO オールブラック ロード タイヤ 300001：keiG BIKE SHOP",TUFO トゥーフォ JET26&quot;PRO オールブラック ロード タイヤ 300001,TUFO トゥーフォ JET26&quot;PRO オールブラック ロード タイヤ 300001[rn]
5-74654,http://tshop.r10s.jp/spoke-seya/cabinet/parts_and_accessory/m/3mx-def125_01.jpg?fitin=700:700,2592.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,マキシス デトネイター26ｘ1.5 WB ブラック MAXXIS DETONATOR(Wire) 26×1.5 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】,マキシス デトネイター26ｘ1.5 WB ブラック,"<div class=""commodity_info"">
  <p>＊写真の色は実物と若干異なる場合がございます。</p>

  <h1>マキシス デトネイター26ｘ1.5 WB ブラック MAXXIS DETONATOR(Wire) 26×1.5 自転車 ロードバイク用タイヤ</h1>

  <h2>シティーライド用カラータイヤの決定版</h2>
<p>デトネイターは、ロードレーサー、クロスバイク、MTBシティのタイヤです。700×28cモデルはアウター57A、インナー 62Aのデュアルコンパウンドを採用し、街乗りに丁度良い太さがスポーティーな走りを演出してくれます。また、トップモデルにも採用されている「シルクワームキャップ」の装備で、耐パンク性能に優れ、石畳でも信頼の耐久性です。26インチモデルは1.5 と1.25の2サイズ展開。どちらも街乗りには最適のサイズです。カラーは豊富な全9色。タイヤのサイドにはイエロー「MAXXIS」の ロゴが入ります。
ケブラービード採用で軽量化されたデトネイターフォルダブルもあわせてご注目ください。 </p>


  <p>*工業製品につき、タイヤ重量についてはカタログ値±5％以内の誤差がございます。予めご了承下さい。</p>
<table class=""commodity_table"">
    <tbody>
      <tr>
        <th>サイズ</th>
        <th>カラー</th>
        <th>コンパウンド</th>
        <th>TPI</th>
        <th>ビード</th>
        <th>重量</th>
        <th>最高空気圧</th>
        <th>テクノロジー</th>
      </tr>
      <tr>
        <td>26ｘ1.5</td>
        <td>ブラック</td>
        <td>Dual</td>
        <td>60</td>
        <td>ワイヤー</td>
        <td>470g</td>
        <td>80psi</td>
        <td>Silkworm</td>
      </tr>
   </tbody>
  </table>

  <dl class=""Image_tech"">
    <!--
    <dt>防弾ベストにも使われるパンク防止剤</dt>
    <dd class=""clearfix"">
    2009年からMAXXISタイヤに使用されているKevlar Composite(ケブラーコンポジット) K2は革命的なブレーカー素材です。 MAXXISだけに供給されるこのブレーカーにより、スタンダードのケブラーナイロンやヴェクトランといった従来の素材と比べ、耐パンク性能が向上しました。軽量且つ柔らかにしなやかに、これまでに無い乗り心地を提供します。    </dd>
    -->
    <dt>軽量耐パンク素材装備</dt>
    <dd class=""clearfix"">
    シルクワームテクノロジーは、タイヤのケーシングにMAXXIS独自の特別素材を組み合わせる技術です。この素材は耐パンク性能と引き裂き強度を向上させつつ、転がり抵抗の減少を実現させています。
    </dd>
  </dl>

  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",マキシス デトネイター26ｘ1.5 WB ブラック MAXXIS DETONATOR(Wire) 26&times;1.5 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜マキシス デトネイター26ｘ1.5 WB ブラック MAXXIS DETONATOR(Wire) 26&times;1.5 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】,マキシス デトネイター26ｘ1.5 WB ブラック。マキシス デトネイター26ｘ1.5 WB ブラック MAXXIS DETONATOR(Wire) 26&times;1.5 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】[rn]
5-74655,http://tshop.r10s.jp/aris/cabinet/aki/aki_world/oteb001.jpg?fitin=700:700,403.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,AKI WORLD パンク防止テープ ７００C用,メール便不可,"　<P><FONT size=""+1""><B>タイヤとチューブの間に挟んでおくだけで、<BR>面倒なパンクを防止します。<BR></B><BR>
</FONT><BR>
■ 通勤・通学には最適なアイテムです。<BR>
■サイズ：23×2250mm<BR>
■700C用<BR>
■この商品で完全にパンクを防げるものではございません。さまざまな要因でパンクする場合もございます。<BR>",AKI WORLD パンク防止テープ ７００C用：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHAKI WORLD パンク防止テープ ７００C用,メール便不可。AKI WORLD パンク防止テープ ７００C用[rn]
5-74656,http://tshop.r10s.jp/aris/cabinet/aki/tr-ak-002.jpg?fitin=700:700,1872.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／オレンジ,,"　<P><B><FONT size=""+1"">シティークルーズ用スリックタイプが<BR>
カラーも新たに復活しました。</FONT></B><BR>
<BR>
■ TPI：60<BR>
■ サイズ：26×1.50<BR>
■ カラー：ALL BROWN、ALL SAND、ALL GREEN、ALL WHITE、<BR>
ALL PINK、BROWN/BLACK、PINK/BLACK、<BR>
GRAY/BLACK、WHITE/BLACK、RED/BLACK、<BR>
YELLOW/BLACK、BLUE/BLACK、ORANGE/BLACK、<BR>
ALL BLACK<BR>
■ 重量：515g</P>",AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／オレンジ：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHAKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／オレンジ,AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／オレンジ[rn]
5-74657,http://tshop.r10s.jp/aris/cabinet/aki/tr-ak-002.jpg?fitin=700:700,1872.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／ピンク,,"　<P><B><FONT size=""+1"">シティークルーズ用スリックタイプが<BR>
カラーも新たに復活しました。</FONT></B><BR>
<BR>
■ TPI：60<BR>
■ サイズ：26×1.50<BR>
■ カラー：ALL BROWN、ALL SAND、ALL GREEN、ALL WHITE、<BR>
ALL PINK、BROWN/BLACK、PINK/BLACK、<BR>
GRAY/BLACK、WHITE/BLACK、RED/BLACK、<BR>
YELLOW/BLACK、BLUE/BLACK、ORANGE/BLACK、<BR>
ALL BLACK<BR>
■ 重量：515g</P>",AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／ピンク：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHAKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／ピンク,AKI WORLD COLOR 26 X 1.5 MTB用 タイヤ　ブラック／ピンク[rn]
5-74658,http://tshop.r10s.jp/aris/cabinet/aki/tr-ke-061.jpg?fitin=700:700,2088.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,AKI WORLD 26 X 1.25 MTB用COLOR タイヤ レッド、ホワイト,,"　TR-KE-062 TR-KE-063<BR><BR>
<P><B><FONT size=""+1"">スリックタイプ26X1.25が登場。<BR>
バイクのドレスアップに最適。</FONT></B><BR>
<BR>
■ TPI：60<BR>
■ サイズ：26×1.25<BR>
■ カラーー：RED、GREEN、BLACK、SAND<BR>
WHITE、PINK<BR>
■ 重量：368g</P>",AKI WORLD 26 X 1.25 MTB用COLOR タイヤ レッド、ホワイト：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHAKI WORLD 26 X 1.25 MTB用COLOR タイヤ レッド、ホワイト,AKI WORLD 26 X 1.25 MTB用COLOR タイヤ レッド、ホワイト[rn]
5-74659,http://tshop.r10s.jp/aris/cabinet/aki/tr-ke-061.jpg?fitin=700:700,2088.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,AKI WORLD 26 X 1.25 MTB用COLOR タイヤ オールサンド,,"　TR-KE-061 TR-KE-064<BR><BR>
<P><B><FONT size=""+1"">スリックタイプ26X1.25が登場。<BR>
バイクのドレスアップに最適。</FONT></B><BR>
<BR>
■ TPI：60<BR>
■ サイズ：26×1.25<BR>
■ カラーー：RED、GREEN、BLACK、SAND<BR>
WHITE、PINK<BR>
■ 重量：368g</P>",AKI WORLD 26 X 1.25 MTB用COLOR タイヤ オールサンド：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHAKI WORLD 26 X 1.25 MTB用COLOR タイヤ オールサンド,AKI WORLD 26 X 1.25 MTB用COLOR タイヤ オールサンド[rn]
5-74660,http://tshop.r10s.jp/spoke-seya/cabinet/parts_and_accessory/m/3mx-def125_01.jpg?fitin=700:700,2592.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,マキシス デトネイター700ｘ32C WB ブラック MAXXIS DETONATOR(Wire)700ｘ32C 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】,マキシス デトネイター700ｘ32C WB ブラック,"<div class=""commodity_info"">
  <p>＊写真の色は実物と若干異なる場合がございます。</p>

  <h1>マキシス デトネイター700ｘ32C WB ブラック MAXXIS DETONATOR(Wire)700ｘ32C 自転車 ロードバイク用タイヤ</h1>

  <h2>シティーライド用カラータイヤの決定版</h2>
<p>デトネイターは、ロードレーサー、クロスバイク、MTBシティのタイヤです。700×28cモデルはアウター57A、インナー 62Aのデュアルコンパウンドを採用し、街乗りに丁度良い太さがスポーティーな走りを演出してくれます。また、トップモデルにも採用されている「シルクワームキャップ」の装備で、耐パンク性能に優れ、石畳でも信頼の耐久性です。26インチモデルは1.5 と1.25の2サイズ展開。どちらも街乗りには最適のサイズです。カラーは豊富な全9色。タイヤのサイドにはイエロー「MAXXIS」の ロゴが入ります。
ケブラービード採用で軽量化されたデトネイターフォルダブルもあわせてご注目ください。 </p>


  <p>*工業製品につき、タイヤ重量についてはカタログ値±5％以内の誤差がございます。予めご了承下さい。</p>
<table class=""commodity_table"">
    <tbody>
      <tr>
        <th>サイズ</th>
        <th>カラー</th>
        <th>コンパウンド</th>
        <th>TPI</th>
        <th>ビード</th>
        <th>重量</th>
        <th>最高空気圧</th>
        <th>テクノロジー</th>
      </tr>
      <tr>
        <td>700×32C</td>
        <td>ブラック</td>
        <td>Dual</td>
        <td>60</td>
        <td>ワイヤー</td>
        <td>370g</td>
        <td>100psi</td>
        <td>Silkworm</td>
      </tr>
   </tbody>
  </table>

  <dl class=""Image_tech"">
    <!--
    <dt>防弾ベストにも使われるパンク防止剤</dt>
    <dd class=""clearfix"">
    2009年からMAXXISタイヤに使用されているKevlar Composite(ケブラーコンポジット) K2は革命的なブレーカー素材です。 MAXXISだけに供給されるこのブレーカーにより、スタンダードのケブラーナイロンやヴェクトランといった従来の素材と比べ、耐パンク性能が向上しました。軽量且つ柔らかにしなやかに、これまでに無い乗り心地を提供します。    </dd>
    -->
    <dt>軽量耐パンク素材装備</dt>
    <dd class=""clearfix"">
    シルクワームテクノロジーは、タイヤのケーシングにMAXXIS独自の特別素材を組み合わせる技術です。この素材は耐パンク性能と引き裂き強度を向上させつつ、転がり抵抗の減少を実現させています。
    </dd>
  </dl>

  <p>＊商品の仕様は予告無く変更される場合がございます。</p>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",マキシス デトネイター700ｘ32C WB ブラック MAXXIS DETONATOR(Wire)700ｘ32C 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜マキシス デトネイター700ｘ32C WB ブラック MAXXIS DETONATOR(Wire)700ｘ32C 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】,マキシス デトネイター700ｘ32C WB ブラック。マキシス デトネイター700ｘ32C WB ブラック MAXXIS DETONATOR(Wire)700ｘ32C 自転車 ロードバイク用タイヤ【パーツ総額8640円(税込)以上送料無料】[rn]
5-74661,http://tshop.r10s.jp/spoke-seya/cabinet/parts_and_accessory/i/irc/irc_aspite-jr.jpg?fitin=700:700,3136.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,IRC アスピーテジュニア 子供用タイヤ WO 24×1 【25-520】 井上護謨 INOUE GUM ASPITE Jr. Junior KIDS TIRE 自転車【パーツ総額8640円(税込)以上送料無料】,IRC アスピーテジュニア 子供用タイヤ WO 24&times;1 【25-520】,"<div class=""commodity_info"">
  <p>＊写真の色は実物と若干異なる場合がございます。</p>

  <h1><!-- 商品名入力-->IRC アスピーテジュニア 子供用タイヤ WO 24×1 【25-520】 井上護謨 INOUE GUM ASPITE Jr. Junior KIDS TIRE 自転車</h1>
  
  <h2>オススメポイント</h2>
  
    <p>アスピーテプロと同じトレッドパターンのジュニアモデル。<br>ビードには軽量で耐久性に優れたアラミド、コンパウンドにはRBCを採用。</p>

  <h2>スペック</h2>

    <ul>
      <li>低転がり性：7</li>
      <li>ドライグリップ：10</li>
      <li>ウェットグリップ：10</li>
      <li>ライフ：8</li>
      <li>耐パンク：7</li>
      <li>乗り心地：6</li>
    </ul>
    
    <p><strong>サイズ</strong><br>
    
      WO 24×1(25-520)</p>
    
    <p><strong>ビード</strong><br>
    
      アラミド繊維</p>
    
    <p><strong>空気圧：kPa/平方メートル/PSI</strong><br>
    
      600/6.0/90</p>
    
    <p><strong>重量(g)</strong><br>
    
      185</p>
    
    <p><strong>Rice Bran Ceramics Compound</strong><br>
    
      米糠から作られる硬質多孔性炭素素材『RB セラミック粒子』をトレッドゴムに配合する技術。<br>RBセラミック粒子は200～300マイクロミリと非常に小さく硬質のため「マイクロスパイク効果」を発揮。<br>多孔体ゆえ「吸水効果」に優れ、ウェット路面でも高いグリップ力をキープ。<br>また、タイヤの摩耗が進行してもRBセラミック粒子が次々とトレッド表面に現れ、<br>さらには抜け落ちた跡も「マイクロエッジ効果」を発揮する。<br>ドライからウェットまで、あらゆる路面状況でもハイグリップを保ち続けるIRCの新技術</p>
    
    <p><strong>Cross Guard++</strong><br>
    
      クロス・ガードにも使われる40×40tpiのクロス織りメッシュ繊維でビードからビードまで全面補強。<br>その結果、ドライ時/ウェット時ともにサイドカットの抵抗値が約40％以上向上し、サイドカットが起こりにくい構造となっている。</p>
    
    <p><strong>iRC TIRE<br>おかげさまで、90周年。<br>100周年、そして次の100年に向けて、走り続けます。</strong><br>
    
      1926年(対象15年)、”井上護謨製作所”は生まれました。<br>日本の名古屋後で、1本の自転車タイヤからスタートしたアイ・アール・シー井上ゴム工業は、<br>今やイノアックグループとしてグローバル企業体に成長。<br><br>長年に亘り継承されてきた確かな品質と、日本人ならではの感性が生み出す<br>2輪車用タイヤは、世界中の多くの方々から支持されてきました。<br><br><font size=""5"">そして、90周年。</font><br><br>日本初の2輪車用タイヤ専門メーカーとして、プライドと情熱を忘れることなく、<br>これからも、様々なスタイルの豊かなくらしをサポートし続けます。<br><br>”<font color=""FF0000"" size=""4"">全てのライダーにとって、身近な存在でありたい</font>”<br><br>その思いを胸に、IRC TIREは、更に未来へと続く、新たな道を走り始めます。<br>もっと楽しく、もっと心地よく、世界中の全てのライダー達へ”COMFORT”を。</p>

    <p><strong><font color=""FF0000""><br>※商品の仕様は予告無く変更される場合がございます。<br>また、掲載されています写真は実際の品と異なることがございます。</font></strong><br>
</div><div style=""margin-top: 11px;"">


<img width=""710px"" src=""https://image.rakuten.co.jp/spoke-seya/cabinet/bannar/2016toppage/1705_500cou_616x12_4.gif"">


</div>",IRC アスピーテジュニア 子供用タイヤ WO 24&times;1 【25-520】 井上護謨 INOUE GUM ASPITE Jr. Junior KIDS TIRE 自転車【パーツ総額8640円(税込)以上送料無料】：スポークネット店,ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜IRC アスピーテジュニア 子供用タイヤ WO 24&times;1 【25-520】 井上護謨 INOUE GUM ASPITE Jr. Junior KIDS TIRE 自転車【パーツ総額8640円(税込)以上送料無料】,IRC アスピーテジュニア 子供用タイヤ WO 24&times;1 【25-520】。IRC アスピーテジュニア 子供用タイヤ WO 24&times;1 【25-520】 井上護謨 INOUE GUM ASPITE Jr. Junior KIDS TIRE 自転車【パーツ総額8640円(税込)以上送料無料】[rn]
5-74662,http://tshop.r10s.jp/aris/cabinet/00336120/img45609899.jpg?fitin=700:700,1750.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,パナレーサー パセラコンパクト 18×1.50 ブラック/ブルー 自転車用,,"　8H185BOP-PA<BR>
パセラをコンパクト用に展開したモデル。<BR>
サイドがゴムで補強されたオールブラック仕様と<BR>
アメ黒仕様（20インチのみ）、カラーラインが<BR>
入った軽量スキンサイド仕様があります。",パナレーサー パセラコンパクト 18&times;1.50 ブラック/ブルー 自転車用：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHパナレーサー パセラコンパクト 18&times;1.50 ブラック/ブルー 自転車用,パナレーサー パセラコンパクト 18&times;1.50 ブラック/ブルー 自転車用[rn]
5-74663,http://tshop.r10s.jp/aris/cabinet/00336120/img45609899.jpg?fitin=700:700,1750.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > タイヤ,パナレーサー パセラコンパクト 18×1.50 ブラック 自転車用,,"　4931253004438 4931253004414 4931253004445<BR>
ＢＤ－１、Ｐａｃｉｆｉｃ－１８用です。<br>
１８ｘ１．５０<br>
重量：３００ｇ<br>
　　ブラックのみ４００ｇ",パナレーサー パセラコンパクト 18&times;1.50 ブラック 自転車用：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHパナレーサー パセラコンパクト 18&times;1.50 ブラック 自転車用,パナレーサー パセラコンパクト 18&times;1.50 ブラック 自転車用[rn]
