28-45901,http://tshop.r10s.jp/takisyo/cabinet/01211869/img56420620.jpg?fitin=700:700,3840.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,,,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位[rn]
28-45902,http://tshop.r10s.jp/takisyo/cabinet/01211869/img56420644.jpg?fitin=700:700,4320.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,マックス野菜結束機おびまる 専用粘着テープTP-159VP　20巻単位 ［MAX 瀧商店］,おびまる専用粘着テープ,,マックス野菜結束機おびまる 専用粘着テープTP-159VP　20巻単位 ［MAX 瀧商店］：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤マックス野菜結束機おびまる 専用粘着テープTP-159VP　20巻単位 ［MAX 瀧商店］,おびまる専用粘着テープ。マックス野菜結束機おびまる 専用粘着テープTP-159VP　20巻単位 ［MAX 瀧商店］[rn]
28-45903,http://tshop.r10s.jp/takisyo/cabinet/01211869/img56420645.jpg?fitin=700:700,5485.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,マックス野菜結束機おびまる 専用粘着テープTP-209VP　20巻単位 ［MAX 瀧商店］,おびまる専用粘着テープ,20巻単位での販売になります。,マックス野菜結束機おびまる 専用粘着テープTP-209VP　20巻単位 ［MAX 瀧商店］：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤マックス野菜結束機おびまる 専用粘着テープTP-209VP　20巻単位 ［MAX 瀧商店］,おびまる専用粘着テープ。マックス野菜結束機おびまる 専用粘着テープTP-209VP　20巻単位 ［MAX 瀧商店］[rn]
28-45904,http://tshop.r10s.jp/monju/cabinet/eigertool/imgrc0064292300.jpg?fitin=700:700,2016.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ノリタケ　ノンスリップテープ　透明　5cm×5m,,"画期的な滑り止めテープが完成しました。<BR>
透明で今までの滑り止めテープのデザイン・色で気に入らなかった方々に朗報です。<br>
エントランスや階段で目立たない滑り止めテープで安全を確保します。<br>
透明なので床面のイメージを壊さない！<br>
意匠性を損ないたくない場所に最適です。<br>
透明度は新聞の活字が判読できる程度の透明感。<br>
対光性試験でも透明性は保てました。<BR>
ホワイトアランダムを使用していますので土足用です<br>
●用途は石材床、セラミック床、ケミカル床、ガラス床、など平らな面に。<BR>
●施工面は洗浄と乾燥を充分行ってから施工してください。<BR>
■基材：ポリエステルフィルム<br>
■砥材：ホワイトアランダム<br>
■厚み：0.395mm<br>
■抗張力：39.1kg/25mm<br>
■粘着力：3.26kg/25mm<br>
■幅50mm×5m<br>
■435g<br>",ノリタケ　ノンスリップテープ　透明　5cm&times;5m：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアノリタケ　ノンスリップテープ　透明　5cm&times;5m,ノリタケ　ノンスリップテープ　透明　5cm&times;5m[rn]
28-45905,http://tshop.r10s.jp/monju/cabinet/tape/st-07t.jpg?fitin=700:700,1296.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,カーボーイ　屋内用すべり止めテープ　ブラウン　50mm巾ｘ6mｘ1mm,　,"<center>
<table border=""0"">
  <tr>
    <td align=""center"" rowspan=""3""><b><font size=""-1"">&lt;特長&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●表面が柔らかい素材でできたすべり止めテープです</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●人の肌が触れる場所や製品のキズを気にする場所の滑り止めに適しています</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●工具のグリップ、台車荷台のすべり止めに</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""3""><b><font size=""-1"">&lt;仕様&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●粘着力：6.6N/25mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●引張強度：137N/25mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●屋内用(素足で歩行する場所全般)</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""2""><b><font size=""-1"">&lt;材質&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●基材：ポリ塩化ビニール(PVC)</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●粘着剤：アクリル系</font></td>
  </tr>
</table>
</center><br>",カーボーイ　屋内用すべり止めテープ　ブラウン　50mm巾ｘ6mｘ1mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアカーボーイ　屋内用すべり止めテープ　ブラウン　50mm巾ｘ6mｘ1mm,　。カーボーイ　屋内用すべり止めテープ　ブラウン　50mm巾ｘ6mｘ1mm[rn]
28-45906,http://tshop.r10s.jp/monju/cabinet/tape/213-0289.jpg?fitin=700:700,777.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,TRUSCO(トラスコ)不思議テープ？物にはつかず、テープ同士だけくっつく  ふしぎテープ　GJ18W-50V,,"<center>
<TABLE border=""0"">
  <TR>
    <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●テープとテープが接着し、他の物には接着しないため、製品にのりが付きません</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●テープに筆記でき、識別・封印・表示・小分け作業に最適です</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center"" rowspan=""3""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●配線コードの結束</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●光ファイバーの結束</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●パネル、トレイなどの結束</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2"" align=""center""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●切断にはカッターが必要</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：ホワイト</FONT></TD>
  </TR><TR>
    <TD align=""center""></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2"" align=""center""><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●基材：ポリプロピレン(PP)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●粘着剤：特殊ゴム系塗料</FONT></TD>
  </TR></TABLE></center><br>",TRUSCO(トラスコ)不思議テープ？物にはつかず、テープ同士だけくっつく  ふしぎテープ　GJ18W-50V：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)不思議テープ？物にはつかず、テープ同士だけくっつく  ふしぎテープ　GJ18W-50V,TRUSCO(トラスコ)不思議テープ？物にはつかず、テープ同士だけくっつく  ふしぎテープ　GJ18W-50V[rn]
28-45907,http://tshop.r10s.jp/monju/cabinet/03237559/img61225525.jpg?fitin=700:700,1081.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,Devcon（デブコン）　自己融着テープ”忍者テープ”　25mm幅×3m長×0.5mm厚,,"●自己融着タイプのシリコン補修テープです。<br>
●引張って巻き付けるだけでテープ自身の伸縮力によって半永久的に密着します。<br>
●圧力がかかっている状態で補修ができます。<br>
●耐薬品性に優れています。<br>
●切断にはカッターが必要<br>
●引張強度:8.00MPa<br>
●使用温度範囲:-54～260℃<br>
●絶縁破壊強度:16kV/mm<br>
●引っ張り強さ:8.00MPa<BR>
●絶縁性:16,000V/mm<br>
●耐熱性:-54℃～260℃<BR>
●耐薬品性:燃料、油、溶剤、海水、紫外線に優れた耐性を有します。<br>
●厚み(mm):0.5<br>
●色:ブラック<br>
●長さ(m):3<br>
●幅(mm):25<br>
●アメリカ<br>",Devcon（デブコン）　自己融着テープ&rdquo;忍者テープ&rdquo;　25mm幅&times;3m長&times;0.5mm厚：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアDevcon（デブコン）　自己融着テープ&rdquo;忍者テープ&rdquo;　25mm幅&times;3m長&times;0.5mm厚,Devcon（デブコン）　自己融着テープ&rdquo;忍者テープ&rdquo;　25mm幅&times;3m長&times;0.5mm厚[rn]
28-45908,http://tshop.r10s.jp/monju/cabinet/eigertool-2013/1512-01.jpg?fitin=700:700,367.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,冨田刃物GIRIGIRI 24mm幅用,,"面倒で時間のかかる隅のマスキング作業を素早く確実に行えるテープホルダーです<br>
付属のスペーサーを取り付けることで2サイズに対応<br>
国内マスキングテープメーカー品の内径30mm＋26mmの全社に対応しています<br>
●テープのセット方法はカンタン！<br>
紙芯をはめ込むだけで簡単にセットできます<br>
●壁面がなくてもOK！<br>
定規などで壁面を作ることで、平面でも素早く確実にマスキング可能です<p>
テープ幅24mm用<br>
国内マスキングテープ全社対応<br>
内径サイズ：30mm＋26mm<br>
全長：255mm<br>
※内径25.4mmには対応しておりません<br>",冨田刃物GIRIGIRI 24mm幅用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア冨田刃物GIRIGIRI 24mm幅用,冨田刃物GIRIGIRI 24mm幅用[rn]
28-45909,http://tshop.r10s.jp/monju/cabinet/eigertool-2013/1512-01.jpg?fitin=700:700,367.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,冨田刃物GIRIGIRI 12mm幅用,,"面倒で時間のかかる隅のマスキング作業を素早く確実に行えるテープホルダーです<br>
付属のスペーサーを取り付けることで2サイズに対応<br>
国内マスキングテープメーカー品の内径30mm＋26mmの全社に対応しています<br>
●テープのセット方法はカンタン！<br>
紙芯をはめ込むだけで簡単にセットできます<br>
●壁面がなくてもOK！<br>
定規などで壁面を作ることで、平面でも素早く確実にマスキング可能です<p>
テープ幅12mm用<br>
国内マスキングテープ全社対応<br>
内径サイズ：30mm＋26mm<br>
全長：255mm<br>
※内径25.4mmには対応しておりません<br>",冨田刃物GIRIGIRI 12mm幅用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア冨田刃物GIRIGIRI 12mm幅用,冨田刃物GIRIGIRI 12mm幅用[rn]
28-45910,http://tshop.r10s.jp/monju/cabinet/tape/440-3371.jpg?fitin=700:700,779.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,カーボーイ　すべり止めテープ　ブラック　50mm巾ｘ2.5mｘ1mm,鉄、コンクリート用　,"<center>
<table border=""0"">
  <tr>
    <td align=""center"" rowspan=""2""><b><font size=""-1"">&lt;特長&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●貼り付けるだけですべり止め対策が行えます</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●鉄やコンクリートに貼り付けできます</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""4""><b><font size=""-1"">&lt;仕様&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●粘着力：15N/25mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●階段のすべり止めに</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●雨天時に滑りやすい床に</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●屋内・屋外兼用</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""3""><b><font size=""-1"">&lt;材質&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●基材：PVCフィルム</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●粘着剤：鉱物粒子</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●砥粒：アクリル系</font></td>
  </tr>
</table>
</center><br>",カーボーイ　すべり止めテープ　ブラック　50mm巾ｘ2.5mｘ1mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアカーボーイ　すべり止めテープ　ブラック　50mm巾ｘ2.5mｘ1mm,鉄、コンクリート用　。カーボーイ　すべり止めテープ　ブラック　50mm巾ｘ2.5mｘ1mm[rn]
28-45911,http://tshop.r10s.jp/monju/cabinet/tape/440-3401.jpg?fitin=700:700,906.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,カーボーイ　すべり止めテープ　畜光白　50mm巾ｘ2.5mｘ1mm,,"<center>
<table border=""0"">
  <tr>
    <td align=""center"" rowspan=""3""><b><font size=""-1"">&lt;特長&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●貼り付けるだけですべり止め対策が行えます</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●鉄やコンクリートに貼り付けできます</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●畜光機能付タイプ</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""4""><b><font size=""-1"">&lt;仕様&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●粘着力：15N/25mm</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●階段のすべり止めに</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●雨天時に滑りやすい床に</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●屋内・屋外兼用</font></td>
  </tr><tr>
    <td align=""center""></td>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""center"" rowspan=""3""><b><font size=""-1"">&lt;材質&gt;</font></b></td>
    <td align=""left""><font size=""-1"">●基材：PVCフィルム</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●粘着剤：鉱物粒子</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●砥粒：アクリル系</font></td>
  </tr>
</table>
</center><br>",カーボーイ　すべり止めテープ　畜光白　50mm巾ｘ2.5mｘ1mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアカーボーイ　すべり止めテープ　畜光白　50mm巾ｘ2.5mｘ1mm,カーボーイ　すべり止めテープ　畜光白　50mm巾ｘ2.5mｘ1mm[rn]
