2-1101,http://tshop.r10s.jp/uji-en/cabinet/gift/gift_us101.jpg?fitin=700:700,8000.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,彫刻缶　玉露・特上煎茶手彫缶セット・木箱入　各120g,,"<img src=""http://image.rakuten.co.jp/uji-en/cabinet/gift/img55602681.gif"" border=""0"" alt=""送料無料！期間限定！お歳暮特集"">",彫刻缶　玉露・特上煎茶手彫缶セット・木箱入　各120g：日本茶と抹茶スイーツの宇治園,抹茶チョコレートバレンタインショコラほうじ茶ホワイトデーチーズケーキロールケーキギフト煎茶静岡茶八女茶嬉野茶鹿児島茶どくだみ碁石花粉症レシピギフト送料無料彫刻缶　玉露・特上煎茶手彫缶セット・木箱入　各120g,彫刻缶　玉露・特上煎茶手彫缶セット・木箱入　各120g[rn]
2-1102,http://tshop.r10s.jp/uji-en/cabinet/gift/gift_us101.jpg?fitin=700:700,16000.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,彫刻缶　特撰玉露・特上煎茶手彫缶セット・木箱入 各230g,,"<img src=""http://image.rakuten.co.jp/uji-en/cabinet/gift/img55602681.gif"" border=""0"" alt=""送料無料！期間限定！お歳暮特集"">",彫刻缶　特撰玉露・特上煎茶手彫缶セット・木箱入 各230g：日本茶と抹茶スイーツの宇治園,抹茶チョコレートバレンタインショコラほうじ茶ホワイトデーチーズケーキロールケーキギフト煎茶静岡茶八女茶嬉野茶鹿児島茶どくだみ碁石花粉症レシピギフト送料無料彫刻缶　特撰玉露・特上煎茶手彫缶セット・木箱入 各230g,彫刻缶　特撰玉露・特上煎茶手彫缶セット・木箱入 各230g[rn]
2-1103,http://tshop.r10s.jp/jyugo/cabinet/brand10/4904751303006.jpg?fitin=700:700,2624.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【田村薬品】ユピテル食物繊維入りほうじ茶 8.3g×30袋【ユピテル】【特定保健用食品】【トクホ】,食後の血糖値が気になり始めた方に,"<table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
                           <tr>
                <td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>商品特徴</b> 
                  </font></td>
              <td width=""458""> <font color=""#666666"" size=""2"">■「ユピテル食物繊維入りほうじ茶 8.3g×30袋」は、難消化性デキストリン(食物繊維)を含み、糖の吸収をおだやかにするよう工夫されたほうじ茶です。<br>
■食事の時に摂取することで糖分が小腸で吸収される速度を遅らせ、血中への糖分の取り込みをゆっくりとさせる働きがあります。<br>
■食後の血糖値が気になり始めた方に適しています。<br>
■溶かして飲むタイプ。<br>
■特定保健用食品(トクホ)。<br><br>
【許可表示】<br>
ユピテル食物繊維入りほうじ茶は、難消化性デキストリン(食物繊維)を含んでおり、糖の吸収をおだやかにするよう工夫しているので、食後の血糖値が気になり始めた方に適しています。<br>
<br>
※商品リニューアル等によりパッケージ及び容量等は変更となる場合があります。ご了承ください。</font></td>
</tr><tr>
                <td bgcolor=#FFCC66><font color=#666666 size=2><b>お召し上がり方</b></font></td>
<td><font color=#666666 size=2>■1日摂取目安量<br>
本品1袋当たり6gの食物繊維が含まれています。食事の時に本品1袋をコップ1杯(160ml)のお湯または水に溶かしてお飲みください。<br><br>
※摂取上の注意<br>
本品は食後の血糖値が気になり始めた方の食生活改善のための食品としてご使用ください。なお、糖尿病の治療を受けておられる方は、あらかじめ医師などの専門家にご相談のうえでご使用ください。</font></td>
</tr><tr>
                <td bgcolor=#FFCC66><font color=#666666 size=2><b>原材料名</b></font></td>
<td><font color=#666666 size=2>難消化性デキストリン、デキストリン、米糠抽出物、ほうじ茶エキス、カラメル色素</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>成分分析表</b></font></td> 
<td><font color=""#666666"" size=""2"">【1袋：8.3g当たり】エネルギー：13kcal、たんぱく質：0g、脂質：0g、糖質：1.5g、ナトリウム：0.6mg<br>
【関与成分：(1袋：8.3g当たり)】難消化性デキストリン(食物繊維として)：6g</font></td>
</tr>
<tr>
<td bgcolor=#FFCC66><b><font color=""#666666"" size=""2"">ご注意</font></b></td>
<td> <font color=""#666666"" size=""2"">※溶解後は濁りや沈殿物が残ることがありますが、品質には問題ありませんのでそのままお飲みください。溶解後はお早めにお飲みください。<br>
※食生活は、主食、主菜、副菜を基本に、食事のバランスを。<br><br>
【保存方法】<br>
直射日光を避けて、涼しい場所に保存してください。</font></td>
</tr><tr>
                <td bgcolor=#FFCC66><font color=#666666 size=2><b>内容量</b></font></td>
                <td><font color=#666666 size=2>249g(8.3g×30袋)</font></td>
</tr></table>
<br><table width=""600"" border=""1"" cellpadding=""5"" cellspacing=""2"">
<tr>
<td width=""109"" bgcolor=""#FFCC66""><font color=""#666666"" size=""2""><b>広告文責</b></font>
</td>
<td width=""459""><font color=""#666666"" size=""2"">株式会社　ジューゴ　06-6972-5599</font></td>
</tr><tr>
<td bgcolor=""#FFCC66""><font color=""#666666"" size=""2""><b>メーカー</b></font>
</td>
<td><font color=""#666666"" size=""2"">田村薬品工業株式会社<br>
お客様相談室：06-6203-5151<br>
受付時間10：00～17：00(土、日、祝日を除く)</font></td>
</tr><tr>
<td bgcolor=""#FFCC66""><font color=""#666666"" size=""2""><b>区分</b></font>
</td>
<td><font color=""#666666"" size=""2"">特定保健用食品</font></td>
</tr>
</table><style type=""text/css"">
<!--
body {
background-image:url(http://image.rakuten.co.jp/jyugo/cabinet/6000.gif);
background-repeat:repeat-y;
background-position: right;
}
-->
</style>",【田村薬品】ユピテル食物繊維入りほうじ茶 8.3g&times;30袋【ユピテル】【特定保健用食品】【トクホ】：クスリのゴクウ,くすりゴクウ激安医薬品クスリ【田村薬品】ユピテル食物繊維入りほうじ茶 8.3g&times;30袋【ユピテル】【特定保健用食品】【トクホ】,食後の血糖値が気になり始めた方に。【田村薬品】ユピテル食物繊維入りほうじ茶 8.3g&times;30袋【ユピテル】【特定保健用食品】【トクホ】[rn]
2-1104,http://tshop.r10s.jp/jyugo/cabinet/cola/4902102098960.jpg?fitin=700:700,2688.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【送料無料】【ケース販売】【日本コカコーラ】からだ巡茶 　410ml×24本【茶】【からだ巡茶】,税込6000円以上で全国送料無料！,"<table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<tr>
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>商品特徴</b> 
</font></td>
<td width=""458""> <font color=""#666666"" size=""2"">■“自然な健康”への意識が高まるなか、ヨガやピラティスなど“からだの巡り”に着目した健康法が注目を集めています。“からだの巡り”に気を遣うことで体の中からキレイを目指す、という意味から「からだ巡茶（からだめぐりちゃ）」と名付けました。<br><br>
■薬日本堂の協力により、東洋の健康思想に基づいた“からだの巡り”に着目した合計9種類の東洋素材を厳選しバランスよく配合。<br>
■4種類の茶葉（ウーロン茶、プーアル茶、緑茶、黄茶）でブレンドしたウーロン茶ベースの味わいです。 <br><br>
※商品リニューアル等によりパッケージ及び容量等は変更となる場合があります。ご了承ください。</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>原材料名</b></font></td>
<td><font color=#666666 size=2>烏龍茶、緑茶、どくだみ、熊笹、杜仲茶、プーアル茶、はすの茶、黄茶、クコの実、みかんの皮、山&#26946;子、高麗人参、霊芝、ビタミンC</font></td>
</tr><tr><td bgcolor=#FFCC66><font color=#666666 size=2><b>栄養成分表示<br>
100ml当り</b></font></td>
<td><font color=#666666 size=2>エネルギー0kcal、タンパク質0g、脂質0g、炭水化物0g、ナトリウム5.9mg</font></td>
</tr><tr>
 <td bgcolor=#FFCC66><font color=#666666 size=2><b>内容量</b></font></td>
<td><font color=#666666 size=2>410ml×24本</font></td>
</tr></table>
<br><table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>広告文責</b></font></td>
<td width=""458""><font color=""#666666"" size=""2"">株式会社　ジューゴ　06-6972-5599</font></td>
</tr> <tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>メーカー(製造)</b></font></td>
<td><font color=#666666 size=2>日本コカ・コーラ株式会社<br>
お客様相談室：0120-308509<br>
受付時間：9:30～17:00まで(土日祝日を除く）</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>区分</b></font></td>
<td><font color=#666666 size=2>日本製・飲料</font></td>
</tr></table><style type=""text/css"">
<!--
body {
background-image:url(http://image.rakuten.co.jp/jyugo/cabinet/6000.gif);
background-repeat:repeat-y;
background-position: right;
}
-->
</style>",【送料無料】【ケース販売】【日本コカコーラ】からだ巡茶 　410ml&times;24本【茶】【からだ巡茶】：クスリのゴクウ,くすりゴクウ激安医薬品クスリ【送料無料】【ケース販売】【日本コカコーラ】からだ巡茶 　410ml&times;24本【茶】【からだ巡茶】,税込6000円以上で全国送料無料！。【送料無料】【ケース販売】【日本コカコーラ】からだ巡茶 　410ml&times;24本【茶】【からだ巡茶】[rn]
2-1105,http://tshop.r10s.jp/jyugo/cabinet/brand12/4902102112147.jpg?fitin=700:700,1911.2000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【日本コカコーラ】爽健美茶 すっきりブレンド ペコらくボトル2L×12本【ケース販売】,五穀七草ブレンド　カフェインゼロ,"<table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<tr>
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>商品特徴</b> 
</font></td>
<td width=""458""> <font color=""#666666"" size=""2"">■1993年、「爽やかさ、健やかさ、美しさをもたらしてくれる無糖茶」というユニークなコンセプトで発売を開始しました。香ばしくてすっきりとした味わいが人気を呼び、無糖茶の定番として幅広い層から愛されています。<br><br>
■2013年から新たに、黒ごまとヨモギを新素材に加え、すっきりとした飲みやすい味わいを実現しました。
“五穀（ハトムギ、玄米、大麦、ナンバンキビ、黒ごま）と、七草（どくだみ、はぶ茶、チコリー、月見草、オオムギ若葉、明日葉、ヨモギ）”を丁寧にブレンドしたすっきりとした味わいでカフェインゼロの「爽健美茶」をお楽しみください<br><br>
※商品リニューアル等によりパッケージ及び容量等は変更となる場合があります。ご了承ください。</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>原材料名</b></font></td>
<td><font color=#666666 size=2>ハトムギ、玄米（発芽玄米2％）、大麦、どくだみ、はぶ茶、チコリー、月見草、ナンバンキビ、オオムギ若葉、明日葉、黒ごま、ヨモギ、ビタミンC</font></td>
</tr><tr><td bgcolor=#FFCC66><font color=#666666 size=2><b>栄養成分表示<br>
100ml当り</b></font></td>
<td><font color=#666666 size=2>エネルギー0kcal、タンパク質0g、脂質0g、炭水化物0g、ナトリウム4～8mg、カフェイン0mg</font></td>
</tr><tr>
 <td bgcolor=#FFCC66><font color=#666666 size=2><b>内容量</b></font></td>
<td><font color=#666666 size=2>2L×12本</font></td>
</tr></table>
<br><table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>広告文責</b></font></td>
<td width=""458""><font color=""#666666"" size=""2"">株式会社　ジューゴ　06-6972-5599</font></td>
</tr> <tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>メーカー(製造)</b></font></td>
<td><font color=#666666 size=2>日本コカ・コーラ株式会社<br>
お客様相談室：0120-308509<br>
受付時間：9:30～17:00まで(土日祝日を除く）</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>区分</b></font></td>
<td><font color=#666666 size=2>日本製・飲料</font></td>
</tr></table><style type=""text/css"">
<!--
body {
background-image:url(http://image.rakuten.co.jp/jyugo/cabinet/6000.gif);
background-repeat:repeat-y;
background-position: right;
}
-->
</style>",【日本コカコーラ】爽健美茶 すっきりブレンド ペコらくボトル2L&times;12本【ケース販売】：クスリのゴクウ,くすりゴクウ激安医薬品クスリ【日本コカコーラ】爽健美茶 すっきりブレンド ペコらくボトル2L&times;12本【ケース販売】,五穀七草ブレンド　カフェインゼロ。【日本コカコーラ】爽健美茶 すっきりブレンド ペコらくボトル2L&times;12本【ケース販売】[rn]
2-1106,http://tshop.r10s.jp/jyugo/cabinet/cola/4902102102940.jpg?fitin=700:700,1920.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ1L×12本【送料無料】【ケース販売】,五穀七草ブレンド　カフェインゼロ,"<table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<tr>
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>商品特徴</b> 
</font></td>
<td width=""458""> <font color=""#666666"" size=""2"">■1993年、「爽やかさ、健やかさ、美しさをもたらしてくれる無糖茶」というユニークなコンセプトで発売を開始しました。香ばしくてすっきりとした味わいが人気を呼び、無糖茶の定番として幅広い層から愛されています。<br><br>
■2013年から新たに、黒ごまとヨモギを新素材に加え、すっきりとした飲みやすい味わいを実現しました。
“五穀（ハトムギ、玄米、大麦、ナンバンキビ、黒ごま）と、七草（どくだみ、はぶ茶、チコリー、月見草、オオムギ若葉、明日葉、ヨモギ）”を丁寧にブレンドしたすっきりとした味わいでカフェインゼロの「爽健美茶」をお楽しみください<br><br>
※商品リニューアル等によりパッケージ及び容量等は変更となる場合があります。ご了承ください。</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>原材料名</b></font></td>
<td><font color=#666666 size=2>ハトムギ、玄米（発芽玄米2％）、大麦、どくだみ、はぶ茶、チコリー、月見草、ナンバンキビ、オオムギ若葉、明日葉、黒ごま、ヨモギ、ビタミンC</font></td>
</tr><tr><td bgcolor=#FFCC66><font color=#666666 size=2><b>栄養成分表示<br>
100ml当り</b></font></td>
<td><font color=#666666 size=2>エネルギー0kcal、タンパク質0g、脂質0g、炭水化物0g、ナトリウム4～8mg、カフェイン0mg</font></td>
</tr><tr>
 <td bgcolor=#FFCC66><font color=#666666 size=2><b>内容量</b></font></td>
<td><font color=#666666 size=2>1L×12本</font></td>
</tr></table>
<br><table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>広告文責</b></font></td>
<td width=""458""><font color=""#666666"" size=""2"">株式会社　ジューゴ　06-6972-5599</font></td>
</tr> <tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>メーカー(製造)</b></font></td>
<td><font color=#666666 size=2>日本コカ・コーラ株式会社<br>
お客様相談室：0120-308509<br>
受付時間：9:30～17:00まで(土日祝日を除く）</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>区分</b></font></td>
<td><font color=#666666 size=2>日本製・飲料</font></td>
</tr></table><style type=""text/css"">
<!--
body {
background-image:url(http://image.rakuten.co.jp/jyugo/cabinet/6000.gif);
background-repeat:repeat-y;
background-position: right;
}
-->
</style>",【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ1L&times;12本【送料無料】【ケース販売】：クスリのゴクウ,くすりゴクウ激安医薬品クスリ【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ1L&times;12本【送料無料】【ケース販売】,五穀七草ブレンド　カフェインゼロ。【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ1L&times;12本【送料無料】【ケース販売】[rn]
2-1107,http://tshop.r10s.jp/jyugo/cabinet/cola/4902102102841.jpg?fitin=700:700,2304.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ280mL×24本【送料無料】【ケース販売】,五穀七草ブレンド　カフェインゼロ,"<table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<tr>
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>商品特徴</b> 
</font></td>
<td width=""458""> <font color=""#666666"" size=""2"">■1993年、「爽やかさ、健やかさ、美しさをもたらしてくれる無糖茶」というユニークなコンセプトで発売を開始しました。香ばしくてすっきりとした味わいが人気を呼び、無糖茶の定番として幅広い層から愛されています。<br><br>
■2013年から新たに、黒ごまとヨモギを新素材に加え、すっきりとした飲みやすい味わいを実現しました。
“五穀（ハトムギ、玄米、大麦、ナンバンキビ、黒ごま）と、七草（どくだみ、はぶ茶、チコリー、月見草、オオムギ若葉、明日葉、ヨモギ）”を丁寧にブレンドしたすっきりとした味わいでカフェインゼロの「爽健美茶」をお楽しみください<br><br>
※商品リニューアル等によりパッケージ及び容量等は変更となる場合があります。ご了承ください。</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>原材料名</b></font></td>
<td><font color=#666666 size=2>ハトムギ、玄米（発芽玄米2％）、大麦、どくだみ、はぶ茶、チコリー、月見草、ナンバンキビ、オオムギ若葉、明日葉、黒ごま、ヨモギ、ビタミンC</font></td>
</tr><tr><td bgcolor=#FFCC66><font color=#666666 size=2><b>栄養成分表示<br>
100ml当り</b></font></td>
<td><font color=#666666 size=2>エネルギー0kcal、タンパク質0g、脂質0g、炭水化物0g、ナトリウム4～8mg、カフェイン0mg</font></td>
</tr><tr>
 <td bgcolor=#FFCC66><font color=#666666 size=2><b>内容量</b></font></td>
<td><font color=#666666 size=2>280mL×24本</font></td>
</tr></table>
<br><table width=600 border=1 cellpadding=""5"" cellspacing=""2"">
<td width=""110"" bgcolor=#FFCC66><font color=#666666 size=2><b>広告文責</b></font></td>
<td width=""458""><font color=""#666666"" size=""2"">株式会社　ジューゴ　06-6972-5599</font></td>
</tr> <tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>メーカー(製造)</b></font></td>
<td><font color=#666666 size=2>日本コカ・コーラ株式会社<br>
お客様相談室：0120-308509<br>
受付時間：9:30～17:00まで(土日祝日を除く）</font></td>
</tr><tr>
<td bgcolor=#FFCC66><font color=#666666 size=2><b>区分</b></font></td>
<td><font color=#666666 size=2>日本製・飲料</font></td>
</tr></table><style type=""text/css"">
<!--
body {
background-image:url(http://image.rakuten.co.jp/jyugo/cabinet/6000.gif);
background-repeat:repeat-y;
background-position: right;
}
-->
</style>",【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ280mL&times;24本【送料無料】【ケース販売】：クスリのゴクウ,くすりゴクウ激安医薬品クスリ【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ280mL&times;24本【送料無料】【ケース販売】,五穀七草ブレンド　カフェインゼロ。【日本コカコーラ】爽健美茶 すっきりブレンド カフェインゼロ280mL&times;24本【送料無料】【ケース販売】[rn]
