2-16079,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0454.jpg?fitin=700:700,249.6000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,超立体マスク 1袋7枚入,スキマを作らず強力遮断,"<font size=""-1"" color=""#FF6600""><b>スキマを作らず強力遮断！</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護支援》</b><br>
</font><br>


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font size=""-1"" color=""#FFFFFF""> ユニ・チャーム</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">超立体マスク　          1袋7枚入</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">●サイズ／小さめ：10.5cm、ふつう：12cm、大きめ：13cm<br />
●材質／ポリオレフィン、他<br />
●生産国／日本</font></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",超立体マスク 1袋7枚入：カシダス,超立体マスク 1袋7枚入,スキマを作らず強力遮断。超立体マスク 1袋7枚入[rn]
2-16080,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0477-4.jpg?fitin=700:700,6400.0000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,【送料無料】ディフェンダーNTSノンアルコール　4L,アミノ酸由来　ウィルス除菌スプレー インフルエンザ対策　消臭,"<br>
<font size=""-1"" color=""#FF6600""><b>瞬間消臭！塩素を使わない消臭抗菌スプレーだから効果絶大で安心安全。
</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護》</b><br>
・ノロ・インフルエンザ対策に！<br />
・汚物・タバコ臭にも効果絶大！<br />
・あらゆる場所で使用可能！<br />
</font><br>
<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">
    <tr>
      <th colspan=""2"" bgcolor=""#FF6600""><font size=""-1"" color=""#FFFFFF"">ディフェンダーNTSノンアルコール</font></th>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">ディフェンダーNTSノンアルコール　4L</font></td>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">成分</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">
複合アミノ酸、植物抽出液、食添シュガーエステル、精製水、他</font></td>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">内容量</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">4L</font></td>
    </tr>
  </table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",【送料無料】ディフェンダーNTSノンアルコール　4L：カシダス,【送料無料】ディフェンダーNTSノンアルコール　4L,アミノ酸由来　ウィルス除菌スプレー インフルエンザ対策　消臭。【送料無料】ディフェンダーNTSノンアルコール　4L[rn]
2-16081,http://tshop.r10s.jp/kashidasu/cabinet/kango/o0386.jpg?fitin=700:700,594.4000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,メディックミスト　　　200mL,植物性中和消臭成分に抗菌効果。,"<br>
<font size=""-1"" color=""#FF6600""><b>植物性中和消臭成分に抗菌効果。
機能の高い抗菌消臭剤です。


<br />

</b></font>

<br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護》</b><br>
病院介護施設に好評価・室内・寝具・トイレ・運動靴他さまざまな臭いに十分な効果
<br />
</font><br>
<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">
    <tr>
      <th colspan=""2"" bgcolor=""#FF6600""><font size=""-1"" color=""#FFFFFF"">メディックミスト</font></th>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">メディックミスト　　　200mL</font></td>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">成分</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">
  植物精油成分、β-ツヤプリシン、イソチオシアン酸アリル</font></td>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">内容量</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">200mL</font></td>
    </tr>
  </table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",メディックミスト　　　200mL：カシダス,メディックミスト　　　200mL,植物性中和消臭成分に抗菌効果。。メディックミスト　　　200mL[rn]
2-16082,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0358.jpg?fitin=700:700,1488.0000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,スキンキュアパッド　　13.2×13.2cm      10枚入,スキンキュアパッドは新コンセプトの救急絆創膏です,"<br />
<font size=""-1"" color=""#FF6600""><b>スキンキュアパッドは新コンセプトの救急絆創膏です。</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護支援》</b><br>
防水フィルム・吸収パッド・穴あき皮膚粘着フィルムの3層からなる滅菌済救急絆創膏です。モイスト・ウンド・ヒーリングの考えに基づきながら傷を保護し、適度な湿潤状態が期待でき「使いやすさ」と「低価格」をも同時に実現しました。
</font><br /><br />


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font color=""#FFFFFF"" size=""2"">リブドゥコーポレーション</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">スキンキュアパッド　　13.2×13.2cm                10枚入</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1""> ●材質/フィルム部：ポリウレタンフィルム・アクリル系粘着剤、パッド部：ポリエチレンフィルム・レーヨン不織布●生産国/日本</font></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",スキンキュアパッド　　13.2&times;13.2cm      10枚入：カシダス,スキンキュアパッド　　13.2&times;13.2cm      10枚入,スキンキュアパッドは新コンセプトの救急絆創膏です。スキンキュアパッド　　13.2&times;13.2cm      10枚入[rn]
2-16083,http://tshop.r10s.jp/kashidasu/cabinet/kango/298622.jpg?fitin=700:700,2480.0000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,【送料無料】サラヤ　ヒビスコール SH  1L　42312,手指消毒　感染症予防対策　速乾性,"<hr>
<font size=""-1"" color=""#FF6600""><b>広範囲の微生物に消毒効果を発揮。</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護》</b><br>
・クロルヘキシジングルコン酸塩を0.1w/v％含有。</font><br><br>


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font size=""-1"" color=""#FFFFFF"">サラヤ</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">ヒビスコール SH  1L</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">●有効成分／クロルヘキシジングルコン酸塩
●生産国／日本
●指定医薬部外品</font></td> 
</tr>


</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",【送料無料】サラヤ　ヒビスコール SH  1L　42312：カシダス,【送料無料】サラヤ　ヒビスコール SH  1L　42312,手指消毒　感染症予防対策　速乾性。【送料無料】サラヤ　ヒビスコール SH  1L　42312[rn]
2-16084,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0318.jpg?fitin=700:700,2764.8000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,【送料無料】モイスキンパッド　1515　　15×15cm     30枚入,滲出液を適度に吸収し、創部を優しく保護します,"<br />
<font size=""-1"" color=""#FF6600""><b>滲出液を適度に吸収し、創部を優しく保護します。</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護支援》</b><br>
●創傷側(肌側)のフィルムの穴から滲出液を適度に吸収し、創部を優しく保護します。●創傷側(肌側)が創部に固着しにくい構造です。●創の状態に合わせて、軟膏剤との併用が可能です。●パッドの交換がしやすく、皮膚を清潔に保ちます。●表側は外部からの水分や汚物の進入を防ぎ、内部がむれにくい透湿性防水フィルムです。●表側は視認性の高い白色バックシートを採用しています。●経済性にも優れ、訪問看護や在宅での治療にも最適です。</font><br /><br />


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font color=""#FFFFFF"" size=""2"">白十字</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">モイスキンパッド　1515　　15×15cm     30枚入</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1""> ●材質／ベンリーゼ、有孔PET、SAPシート、ラミフィルム
●生産国／日本</font></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",【送料無料】モイスキンパッド　1515　　15&times;15cm     30枚入：カシダス,【送料無料】モイスキンパッド　1515　　15&times;15cm     30枚入,滲出液を適度に吸収し、創部を優しく保護します。【送料無料】モイスキンパッド　1515　　15&times;15cm     30枚入[rn]
2-16085,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0492.jpg?fitin=700:700,576.0000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,エンゼルセット　スタンダード,死後処置用のセットです。,"<br />
<font size=""-1"" color=""#FF6600""><b>死後処置用のセットです。
</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護支援》</b><br>
</font><br />


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font color=""#FFFFFF"" size=""2"">竹虎</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">エンゼルセット　スタンダード</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1""> 青梅綿ロール 3巻
脱脂綿ロール 3巻
Ｔ字帯28cm×90cm 1枚
（切込3cm入／紐18mm×130cm）
割箸 1膳
晒34cm×34cm 1枚
包帯（非伸縮）5.6cm巾 1ｍ</font></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",エンゼルセット　スタンダード：カシダス,エンゼルセット　スタンダード,死後処置用のセットです。。エンゼルセット　スタンダード[rn]
2-16086,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0473.jpg?fitin=700:700,230.4000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,川本産業　ステアジェル　60ｍL,ステアジェル　手指消毒剤　除菌,"<font size=""-1"" color=""#FF6600""><b>べとつきにくくしっとりサラサラ</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護》</b><br>
べとつきにくくしっとりサラサラなゲル状速乾性擦式手指消毒剤です。回診時など、連続的に使用される場合でもべとつきが少なく、有効成分のエタノールにより、すぐれた手指消毒効果と広い抗菌力。保湿効果の高いヒアルロン酸ナトリウム、プロピレングリコールを配合しています。ジェルタイプの消毒剤なので、液の飛散やこぼれ落ちがありません。</font><br><br>


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><font size=""-1"" color=""#FFFFFF"">ステアジェル</font></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">ステアジェル　60ｍL</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">成分</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">エタノール：76.9-81.4vol%、添加物：ヒアルロン酸ナトリウム、PG、カルボキシビニルポリマー、TEA</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">内容量</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">60ml</font></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",川本産業　ステアジェル　60ｍL：カシダス,川本産業　ステアジェル　60ｍL,ステアジェル　手指消毒剤　除菌。川本産業　ステアジェル　60ｍL[rn]
2-16087,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0485.jpg?fitin=700:700,287.2000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,除菌ウェットナップ 60枚入×2個パック,ふきとり成分に100％食品用原料を使用。,"<br>
<font size=""-1"" color=""#FF6600""><b>ふきとり成分に100％食品用原料を使用。<br />

</b></font>

<br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護》</b><br>
ふきとり成分に100％食品用原料を使用した、除菌用ウエットティシュです。<br />
キッチン・食卓などに。<br />
</font><br>
<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">
    <tr>
      <th colspan=""2"" bgcolor=""#FF6600""><font color=""#FFFFFF"" size=""-1"">ピジョン　除菌ウェットナップ</font></th>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">除菌ウェットナップ 60枚入×2個パック</font></td>
    </tr>
        <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">成分</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">水、エタノール、PG、エチルパラベン、プロピルパラベン、安息香酸Na、クエン酸、クエン酸Na</font></td>
    </tr>
            <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">サイズ</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">19×13cm</font></td>
    </tr>
    <tr>
      <th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">数量</font></th>
      <td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">60枚入×2個パック</font></td>
    </tr>
  </table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",除菌ウェットナップ 60枚入&times;2個パック：カシダス,除菌ウェットナップ 60枚入&times;2個パック,ふきとり成分に100％食品用原料を使用。。除菌ウェットナップ 60枚入&times;2個パック[rn]
2-16088,http://tshop.r10s.jp/kashidasu/cabinet/kango/m0309.jpg?fitin=700:700,374.4000,,医薬品・コンタクト・介護 > 福祉・介護 > その他,国光　オブラート袋型　100枚入,薬を包んで飲みやすく,"<br />
<font size=""-1"" color=""#FF6600""><b>薬を包んで飲みやすく。</b></font>

<br /><br />
<font size=""-1"" color=""#666666"">
<b>《看護・介護支援》</b><br />
包装箱が台になりオブラートを立てられるので、使いやすい。</font><br />
<br />


<table width=""600"" border=""0"" cellspacing=""1"" cellpadding=""5"" bgcolor=""#000000"">

<tr>
<th colspan=""2"" bgcolor=""#FF6600""><p><font color=""#FFFFFF"" size=""2"">国光オブラート</font></p></th>
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">品名</font></th>
<td width=""70%"" bgcolor=""#ffffff""><font size=""-1"">オブラート袋型　　100枚入</font></td> 
</tr>

<tr>
<th width=""30%"" bgcolor=""#FFCC99""><font size=""-1"">仕様</font></th>
<td width=""70%"" bgcolor=""#ffffff""><p><font size=""-1"">サイズ/幅9.2×奥行3×高さ20cm 
重さ/25g 
材質/でんぷん、大豆レシチン・薬を包んで飲みやすく。</font></p></td> 
</tr>

</table><!--<table width=""740"" border=""0"" cellspacing=""0"" cellpadding=""0"" style=""border:2px dotted #C00; margin:5px 0 0;"">
<tr><td align=""center"" bgcolor=""#FFFFFF"" style=""color:#C00; line-height:3
.8;""><b><br>セール期間中は注文が殺到致しますのでお届けに多少の遅れが発生する可能性がございます。<br>
現在3～7営業日での発送で対応しております。<br>
&nbsp;</b>
</td>
</tr>
</table><br>-->

<!--休業 -->
<!--<table width=""740""><tr><td>
<img src=""https://image.rakuten.co.jp/kashidasu/cabinet/170511_holiday.jpg"" border=""0"" width=""740"">
</td></tr></table><br>-->
<!--休業 -->

<!--クーポン -->
<!--<table width=""740""><tr>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon500.jpg"" border=""0"" width=""365"">
</td>
<td width=""10""></td>
<td width=""365"">
<img src=""http://image.rakuten.co.jp/kashidasu/cabinet/201703ss_coupon300.jpg"" border=""0"" width=""365"">
</td>
</tr></table><br> -->
<!--//クーポン -->",国光　オブラート袋型　100枚入：カシダス,国光　オブラート袋型　100枚入,薬を包んで飲みやすく。国光　オブラート袋型　100枚入[rn]
