3-101,http://tshop.r10s.jp/gold/digitaldragonz/img/item/82286_900_1_rr.jpg?fitin=700:700,18384.0000,,パソコン・周辺機器 > パソコン > ノートPC,中古パソコン【少数在庫】【1ヶ月保証】DELL VOSTRO 1550 Core i3 2350M 2.3GHz (メモリー4GB、HDD320GB、Windows7 Pro 32bit、15型液晶、無線LAN内蔵、WEBカメラ内蔵) [82286],,"<table id=spItemTable>
<tr><th>機種名</th></tr>
<tr><td>DELL VOSTRO 1550</td></tr>
<tr><th>OS</th></tr>
<tr><td>Windows 7 Professional 32bit</td></tr>
<tr><th>CPU</th></tr>
<tr><td>Core i3 2350M 2.3GHz</td></tr>
<tr><th>メモリー</th></tr>
<tr><td>4GB（32bitOSのため、システム上の認識が3GBまでとなります。）</td></tr>
<tr><th>HDD</th></tr>
<tr><td>320GB</td></tr>
<tr><th>ディスプレイ</th></tr>
<tr><td>15型</td></tr>
<tr><th>グラフィック</th></tr>
<tr><td>インテル HD グラフィックス</td></tr>
<tr><th>サウンド</th></tr>
<tr><td>ハイ・ディフィニションオーディオ</td></tr>
<tr><th>インターフェース　ディスプレイ</th></tr>
<tr><td>D-sub15ピン×1 HDMI×1</td></tr>
<tr><th>LAN</th></tr>
<tr><td>有線LANポート / 無線LAN搭載</td></tr>
<tr><th>USB</th></tr>
<tr><td>USB2.0×3</td></tr>
<tr><th>サイズ</th></tr>
<tr><td>約375×35×260mm</td></tr>
<tr><th>付属品</th></tr>
<tr><td>個別仕様書、簡易説明書、ACコード、KINGSOFT Office</td></tr>
<tr><th>備考</th></tr>
<tr><td>※この商品の保証期間は1ヶ月です。永久保証、180日保証、60日保証がありません。<br>
※在庫1台限りの商品となり、他のショップでの併売を行っている為、商品が品切れの可能性がございます。ご了承くださいますようお願い致します。<br>※写真の付属品は、在庫状況によりデザインが変更となる場合がございます。</td></tr>
</table><div style=""margin-bottom:5px; width:100%; text-align:center;"">
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/f/img/page/support/fsupport_3.jpg"">
</div>",中古パソコン【少数在庫】【1ヶ月保証】DELL VOSTRO 1550 Core i3 2350M 2.3GHz (メモリー4GB、HDD320GB、Windows7 Pro 32bit、15型液晶、無線LAN内蔵、WEBカメラ内蔵) [82286]：中古パソコンのデジタルドラゴンZ,中古パソコンWindows7PC中古ノートパソコンノートPCオフィス富士通NECLenovo東芝日立DELLPanasonicWindowsXPパソコンMicrosoft officeデスクトップ液晶モニタHP無線LAN中古パソコン【少数在庫】【1ヶ月保証】DELL VOSTRO 1550 Core i3 2350M 2.3GHz (メモリー4GB、HDD320GB、Windows7 Pro 32bit、15型液晶、無線LAN内蔵、WEBカメラ内蔵) [82286],中古パソコン【少数在庫】【1ヶ月保証】DELL VOSTRO 1550 Core i3 2350M 2.3GHz (メモリー4GB、HDD320GB、Windows7 Pro 32bit、15型液晶、無線LAN内蔵、WEBカメラ内蔵) [82286][rn]
3-102,http://tshop.r10s.jp/gold/digitaldragonz/img/item/L520_4gb_oen2017_900_1.jpg?fitin=700:700,20640.0000,,パソコン・周辺機器 > パソコン > ノートPC,中古パソコン Lenovo ThinkPad L520 5015-3CJ Corei3 2310M 2.1GHz（メモリー3GB、HDD250GB、Windows7-Windows10 Professional 32bit 純正リカバリー、DVDマルチ）無線LAN子機セット,KINGSOFT Officeが無料搭載,"<div class=""spec165"">
<font>このパソコンの性能はこちらです</font>

<table>
<tr><th>OS<p>Windowsのバージョン</p></th></tr>
<tr><td>
<b>Windows 7</b> を搭載。使い慣れたWindowsをご希望の場合は、こちらがオススメです。</td></tr>
</table>

<table>
<tr><th>CPU<p>全体の処理や計算を行うパソコンの頭脳</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-cpu.jpg"" width=""100%""><br>
<b>第2世代 Core i3</b>を搭載しています。<br>Core2Duoよりも<b>高速で快適な</b>パソコンの動作が可能です。第1世代 Core i3よりも性能の高いCPUです。</td></tr>
</table>

<table>
<tr><th>メモリー<p>より多くのソフトやアプリ、複雑な作業が可能に。</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-memory.jpg"" width=""100%""><br>
<b>メモリー3GB</b>を搭載しています。</td></tr>
</table>

<table>
<tr><th>HDD<p>画像や文書など、全てのデータを保存する場所。</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-hdd.jpg"" width=""100%""><br>
<b>大容量250GB</b>を搭載！<br>より多くの画像、動画、Officeのデータなど、たっぷり保存できます。</td>
</tr></table>

<table>
<tr><th>液晶の大きさ</th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-display.jpg"" width=""100%""><br>
<b>15.6型</b>の大画面ワイド液晶です。<br>大きな画面で、たくさんの同時作業を行うのに便利です。また、大きな画面で動画を鑑賞することにも適しています。</td>
</tr></table>

<table>
<tr><th>DVDドライブ<p>CDやDVDドライブの機能です。</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-dvd.jpg"" width=""100%""><br>
<b>DVDマルチドライブ</b>を搭載しています。CDやDVDの再生、書込が可能です。<br><p>※Windows10の場合、もともと標準でDVD動画の再生ソフトが備わっていません。DVD動画を再生する場合には、専用のコーデックのインストール、もしくはWindows10内のWindowsストア等で、有料の再生ソフトをお買い求め下さい。</p></td>
</tr></table>

<table>
<tr><th>保証について<p>保証、サポートが充実しています。</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-hosho.jpg"" width=""100%""><br>
<b>無期限保証</b>：ハードディスク、メモリー、電源ケーブル（ACケーブル）が、各箇所１年に１度ずつ無期限で無料修理交換可能です。<br><br><b>長期保証</b>：上記箇所以外の商品ページ記載スペックを、商品お届けより180日間保証し、無料で修理交換致します。<br>
<p>※液晶、液晶周辺箇所は60日保証となります。<br>※操作方法などに関するお電話でのサポートを行っております。<br>※保証についてご不明点がございましたら、お電話、メールにてお問い合わせ下さい。</p></td>
</tr></table>

<table>
<tr><th>無料の付属品<p>便利なおまけをプレゼント。</p></th></tr>
<tr><td>
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/sp/img/itempage/sp-itempage-spec-gift.jpg"" width=""100%""><br>
新品マウス、KINGSOFT Office（エクセルとの互換性の高い、文書・表計算・グラフ作成ソフト）を差し上げます。</td>
</tr></table>

</div>

<table id=spItemTable>
<tr><th>機種名</th></tr>
<tr><td>Lenovo ThinkPad L520 5015-3CJ</td></tr>
<tr><th>OS</th></tr>
<tr><td>Windows 7 Professional 32bit 純正</td></tr>
<tr><th>CPU</th></tr>
<tr><td>Core i3 - 2310M 2.1GHz</td></tr>
<tr><th>メモリー</th></tr>
<tr><td>3GB</td></tr>
<tr><th>HDD</th></tr>
<tr><td>250GB</td></tr>
<tr><th>ディスプレイ</th></tr>
<tr><td>15.6型　解像度：1366×768</td></tr>
<tr><th>グラフィック</th></tr>
<tr><td>Intel HD Graphics</td></tr>
<tr><th>サウンド</th></tr>
<tr><td>Intel High Definition Audio準拠</td></tr>
<tr><th>LAN</th></tr>
<tr><td>1000BASE-T/100BASE-TX/10BASE-T対応</td></tr>
<tr><th>USB</th></tr>
<tr><td>USB2.0×3、eSATA/USBコンボ×1</td></tr>
<tr><th>サイズ</th></tr>
<tr><td>380×247×32mm</td></tr>
<tr><th>重量</th></tr>
<tr><td>約2.6kg</td></tr>
<tr><th>付属品</th></tr>
<tr><td>個別仕様書、簡易説明書、ACコード、KINGSOFT Officeシリアル番号カード、<br>尚、リカバリーディスクは付属せず原則HDDリカバリーとなります。</td></tr>
<tr><th>備考</th></tr>
<tr><td>※ビデオメモリで確保される容量を差し引いていないため、システムのプロパティなどで表示されるメモリ容量とは若干低く表示される場合がございます。</td></tr>
</table><div style=""margin-bottom:5px; width:100%; text-align:center;"">
<img src=""http://www.rakuten.ne.jp/gold/digitaldragonz/f/img/page/support/fsupport_3.jpg"">
</div>",中古パソコン Lenovo ThinkPad L520 5015-3CJ Corei3 2310M 2.1GHz（メモリー3GB、HDD250GB、Windows7-Windows10 Professional 32bit 純正リカバリー、DVDマルチ）無線LAN子機セット：中古パソコンのデジタルドラゴンZ,中古パソコンWindows7PC中古ノートパソコンノートPCオフィス富士通NECLenovo東芝日立DELLPanasonicWindowsXPパソコンMicrosoft officeデスクトップ液晶モニタHP無線LAN中古パソコン Lenovo ThinkPad L520 5015-3CJ Corei3 2310M 2.1GHz（メモリー3GB、HDD250GB、Windows7-Windows10 Professional 32bit 純正リカバリー、DVDマルチ）無線LAN子機セット,KINGSOFT Officeが無料搭載。中古パソコン Lenovo ThinkPad L520 5015-3CJ Corei3 2310M 2.1GHz（メモリー3GB、HDD250GB、Windows7-Windows10 Professional 32bit 純正リカバリー、DVDマルチ）無線LAN子機セット[rn]
3-103,http://tshop.r10s.jp/auc-marblepc/cabinet/mc/hp450g1-450g0316t01.jpg?fitin=700:700,25600.0000,,パソコン・周辺機器 > パソコン > ノートPC,中古パソコン HP ProBook 450 G1 【中古】 Windows10（DtoDにWindows7） 液晶15.6インチ コアi5-4200M:2.5GHz メモリ:4GB HDD:320GB 光学ドライブ:DVDスーパーマルチ搭載 USB3.0対応 テンキー付きキーボード Bluetooth 無線LAN内蔵 中古ノートパソコン【狙い目】s521839538,中古パソコン/Windows10/狙い目,"<div style=""font-family:Verdana,'メイリオ',Meiryo,'ヒラギノ角ゴ Pro W3','Hiragino Kaku Gothic Pro','ＭＳ Ｐゴシック','MS PGothic',Geneva,Arial,sans-serif;"">
 <div style=""font-size:230%;color:#0000cd;font-weight:bold;line-height:120%;"">
HP ProBook 450 G1
<br>
Windows10☆中古ノートパソコン
 </div>
<br><br>

<font size=""5"" color=""red""><b>▼仕様まとめ</b></font>
<br>
<hr>
<br>
<img alt=""中古パソコン販売"" border=""0"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/imgrc0061841680.gif"" hspace=""10"" vspace=""10"" width=""100"" align=""right"">
◆機種：HP ProBook 450 G1<br>
◆液晶：15.6インチ ワイド液晶 解像度 1366x768<br>
◆OS：Windows10-Pro 64Bit（アップグレード済み）<br>
※HP純正 Windows7-Pro 64Bit OSCD付属<br>
◆CPU：Intel Core i5-4200M プロセッサー 周波数 2.5GHz<br>
◆メモリ：4GB<br>
◆ストレージ：320GB（HDD）<br>
◆光学ドライブ：DVDスーパーマルチ搭載<br>
◆有線LAN：1000BASE-T/100BASE-TX/10BASE-T<br>
◆無線LAN：IEEE 802.11a/b/g/n<br>
◆USBポート：USB3.0ポート×2、USB2.0ポート×2<br>
◆バッテリー：充電可能です<br>
◆商品の状態：中古品（動作確認済み）<br>
◆付属品：ACアダプター/ケーブル、KingSoft Officeライセンスカード、Windows7-Pro 64Bit純正OSCD<br>
◆備考：USB3.0対応 テンキー付きキーボード Bluetooth<br>
<br>
※USEDですので、説明文にない汚れ・小傷など使用感があります。ご承知おきください。<br>
※管理番号 ：450g0316t01<br>
<p>&nbsp;</p><b>
▽オプション品もあわせてご検討ください！</b><br>
</div><!-- ▼キャンペーン▼ -->
<table width=""680"" border=""0"">
  <tr>
    <td width=""200"" align=""left"">
<img alt=""1000円★off"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/cmp/sq25000-1000off.gif"" width=""200"" border=""0"">
    </td>
    <td bgcolor=""#4169e1"" align=""center"">
<span style=""color:#ffffff; font-size:150%; font-weight:bold; line-height:120%;"">まーぶるPC<br>限定OFFクーポン</span>
<br><br>
<span style=""color:#ffff00; font-size:100%; font-weight:bold; line-height:130%;"">
【期間】<br>
5/11(木)19:00<br>▽<br>5/16(火)11:59
</span>
    </td>
    <td width=""200"" align=""right"">
<img alt=""500円★off"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/cmp/sq10000-0500off.gif"" width=""200"" border=""0"">
    </td>
  </tr>
</table>
<br>
<!-- ▲キャンペーン▲ -->

<img alt=""まーぶるPC 中古パソコン販売"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/temp/marblepc-line.gif"" border=""0"" width=""680"">
<br><br>

<!--▼目玉商品ここから-->
<img alt=""店長セレクト★デスクトップＰＣ★HDD:新品1TB搭載 OSが選べる(Windows7又はWindows10)コアi3モデル 機種はおまかせ(NEC 富士通 DELL HP レノボ 有名メーカー品) DVD-ROM以上 最低スペック保証 KinｇSoft Office付き 中古デスクトップパソコン"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/desktoppc/selectdesk01_bnr.jpg"" style=""width:680;margin:0;"">
<br><br>
<table width=""680"" border=""0"" cellpadding=""4"" cellspacing=""0"">
  <tr bgcolor=""#ffffff"">
    <td width=""220"" align=""center"">

<img aalt=""コアi5搭載店長おまかせセレクトPC"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/a4i5_prc.jpg"" border=""0"" width=""220"">
    </td>
    <td width=""220"" align=""center"">

<img alt=""限定★液晶セット"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/elitessd_sb.jpg"" border=""0"" width=""220"">
    </td>
    <td width=""220"" align=""center"">

<img alt=""限定★ダイナブックi5"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/dynai5_prc269.jpg"" border=""0"" width=""220"">
    </td>
  </tr>
</table>
<br>
<!--▲目玉商品ここまで-->

<img alt=""まーぶるPC 中古パソコン販売"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/temp/marblepc-line.gif"" border=""0"" width=""680"">
<br><br>

<img alt=""WPSオフィスへ"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/ad/changeoffice.gif"" border=""0"" width=""680"">
<br><br>",中古パソコン HP ProBook 450 G1 【中古】 Windows10（DtoDにWindows7） 液晶15.6インチ コアi5-4200M:2.5GHz メモリ:4GB HDD:320GB 光学ドライブ:DVDスーパーマルチ搭載 USB3.0対応 テンキー付きキーボード Bluetooth 無線LAN内蔵 中古ノートパソコン【狙い目】s521839538：まーぶるPC,中古パソコン HP ProBook 450 G1 【中古】 Windows10（DtoDにWindows7） 液晶15.6インチ コアi5-4200M:2.5GHz メモリ:4GB HDD:320GB 光学ドライブ:DVDスーパーマルチ搭載 USB3.0対応 テンキー付きキーボード Bluetooth 無線LAN内蔵 中古ノートパソコン【狙い目】s521839538,中古パソコン/Windows10/狙い目。中古パソコン HP ProBook 450 G1 【中古】 Windows10（DtoDにWindows7） 液晶15.6インチ コアi5-4200M:2.5GHz メモリ:4GB HDD:320GB 光学ドライブ:DVDスーパーマルチ搭載 USB3.0対応 テンキー付きキーボード Bluetooth 無線LAN内蔵 中古ノートパソコン【狙い目】s521839538[rn]
3-104,http://tshop.r10s.jp/auc-marblepc/cabinet/mc/hp5220m-52200301a03.jpg?fitin=700:700,15999.2000,,パソコン・周辺機器 > パソコン > ノートPC,新品バッテリー☆中古パソコン HP ProBook 5220m 【中古】 Windows7（Windows7及びXPディスク付き） 液晶12.1インチ コアi3:2.27GHz メモリ:4GB HDD:250GB 無線LAN内蔵 中古ノートパソコン【狙い目】s521077474,中古パソコン/Windows7/狙い目,"<div style=""font-family:Verdana,'メイリオ',Meiryo,'ヒラギノ角ゴ Pro W3','Hiragino Kaku Gothic Pro','ＭＳ Ｐゴシック','MS PGothic',Geneva,Arial,sans-serif;"">
 <div style=""font-size:200%;color:#0000cd;font-weight:bold;line-height:120%;"">
HP ProBook 5220m 中古パソコン
<br>
新品バッテリーパックに交換済み
 </div>
<br><br>

<font size=""5"" color=""red""><b>▼仕様まとめ</b></font>
<br>
<hr>
<br>
<img alt=""中古パソコン販売"" border=""0"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/imgrc0061841680.gif"" hspace=""10"" vspace=""10"" width=""100"" align=""right"">
◆機種：HP ProBook 5220m<br>
◆液晶：12.1インチ WXGA 解像度 1280×800<br>
◆OS：Windows7-Pro 64Bit（Win7及びXPディスク付き）<br>
◆CPU：Intel Core i3-350M プロセッサー 周波数 2.27GHz<br>
◆メモリ：4GB<br>
◆ストレージ：250GB（HDD）<br>
◆光学ドライブ：なし<br>
◆有線LAN：1000BASE-T/100BASE-TX/10BASE-T<br>
◆無線LAN：IEEE 802.11a/b/g/n<br>
◆USBポート：USB2.0ポート×2　eSATA/USBコンボポート×1<br>
◆バッテリー：新品バッテリーパックに交換済み<br>
◆商品の状態：中古品（動作確認済み）<br>
◆付属品：ACアダプター/ケーブル、リカバリディスク（Windows7 Professional-64bit及びWindowsXP-Professional SP3 32Bit）<br>
◆備考：<font color=""red"">新品バッテリーパックに交換済みです。</font><br>
※USEDですので、説明文にない汚れ・小傷など使用感があります。ご承知おきください。<br>
※管理番号 ：52200301a03<br>
<p>&nbsp;</p><b>
▽オプション品もあわせてご検討ください！</b><br>
</div><!-- ▼キャンペーン▼ -->
<table width=""680"" border=""0"">
  <tr>
    <td width=""200"" align=""left"">
<img alt=""1000円★off"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/cmp/sq25000-1000off.gif"" width=""200"" border=""0"">
    </td>
    <td bgcolor=""#4169e1"" align=""center"">
<span style=""color:#ffffff; font-size:150%; font-weight:bold; line-height:120%;"">まーぶるPC<br>限定OFFクーポン</span>
<br><br>
<span style=""color:#ffff00; font-size:100%; font-weight:bold; line-height:130%;"">
【期間】<br>
5/11(木)19:00<br>▽<br>5/16(火)11:59
</span>
    </td>
    <td width=""200"" align=""right"">
<img alt=""500円★off"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/cmp/sq10000-0500off.gif"" width=""200"" border=""0"">
    </td>
  </tr>
</table>
<br>
<!-- ▲キャンペーン▲ -->

<img alt=""まーぶるPC 中古パソコン販売"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/temp/marblepc-line.gif"" border=""0"" width=""680"">
<br><br>

<!--▼目玉商品ここから-->
<img alt=""店長セレクト★デスクトップＰＣ★HDD:新品1TB搭載 OSが選べる(Windows7又はWindows10)コアi3モデル 機種はおまかせ(NEC 富士通 DELL HP レノボ 有名メーカー品) DVD-ROM以上 最低スペック保証 KinｇSoft Office付き 中古デスクトップパソコン"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/desktoppc/selectdesk01_bnr.jpg"" style=""width:680;margin:0;"">
<br><br>
<table width=""680"" border=""0"" cellpadding=""4"" cellspacing=""0"">
  <tr bgcolor=""#ffffff"">
    <td width=""220"" align=""center"">

<img aalt=""コアi5搭載店長おまかせセレクトPC"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/a4i5_prc.jpg"" border=""0"" width=""220"">
    </td>
    <td width=""220"" align=""center"">

<img alt=""限定★液晶セット"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/elitessd_sb.jpg"" border=""0"" width=""220"">
    </td>
    <td width=""220"" align=""center"">

<img alt=""限定★ダイナブックi5"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/ad/dynai5_prc269.jpg"" border=""0"" width=""220"">
    </td>
  </tr>
</table>
<br>
<!--▲目玉商品ここまで-->

<img alt=""まーぶるPC 中古パソコン販売"" src=""http://image.rakuten.co.jp/auc-marblepc/cabinet/temp/marblepc-line.gif"" border=""0"" width=""680"">
<br><br>

<img alt=""WPSオフィスへ"" src=""https://image.rakuten.co.jp/auc-marblepc/cabinet/ad/changeoffice.gif"" border=""0"" width=""680"">
<br><br>",新品バッテリー☆中古パソコン HP ProBook 5220m 【中古】 Windows7（Windows7及びXPディスク付き） 液晶12.1インチ コアi3:2.27GHz メモリ:4GB HDD:250GB 無線LAN内蔵 中古ノートパソコン【狙い目】s521077474：まーぶるPC,新品バッテリー☆中古パソコン HP ProBook 5220m 【中古】 Windows7（Windows7及びXPディスク付き） 液晶12.1インチ コアi3:2.27GHz メモリ:4GB HDD:250GB 無線LAN内蔵 中古ノートパソコン【狙い目】s521077474,中古パソコン/Windows7/狙い目。新品バッテリー☆中古パソコン HP ProBook 5220m 【中古】 Windows7（Windows7及びXPディスク付き） 液晶12.1インチ コアi3:2.27GHz メモリ:4GB HDD:250GB 無線LAN内蔵 中古ノートパソコン【狙い目】s521077474[rn]
3-105,http://tshop.r10s.jp/pckujira/cabinet/dir31/yt110402-1.jpg?fitin=700:700,23840.0000,,パソコン・周辺機器 > パソコン > ノートPC,ノートパソコン HP 中古パソコン ProBook 4230s Core i5 4GBメモリ 12.1インチワイド Windows10 Kingsoft Office付き 【中古】,中古パソコン 3.5万以上で送料無料 安心保証,"<div class=""item_detail"">

<img src=""http://image.rakuten.co.jp/pckujira/cabinet/temp/temp-06.jpg"" alt=""製品の仕様"">

<table>



<tr>
<th>商品名</th>
<td>HP ProBook 4230s </td>
</tr>

<tr>
<th>OS</th>
<td>Windows10 Home 32bit <br>　<font color=""#ff0000"">最新OSで新機能も豊富で動作も軽快！</font></td>
</tr>

<tr>
<th>CPU</th>
<td>Intel Core i5 2410M 2.1 GHz <br>　<font color=""#ff0000"">2コア4スレッド動作でマルチタスクも快適♪</font></td>
</tr>

<tr>
<th>メインメモリ</th>
<td>4 GB  <br>　<font color=""#ff0000"">大容量メモリでスムーズ動作♪</font></td>
</tr>

<tr>
<th>ディスプレイ</th>
<td>12.1型 ワイド 1280x800 </td>
</tr>



<tr>
<th>HDD</th>
<td>250 GB (リカバリ領域含む) </td>
</tr>

<tr>
<th>光学メディア</th>
<td>内蔵しておりません </td>
</tr>

<tr>
<th>外部接続端子</th>
<td>有線LAN、無線LAN、HDMI出力端子、USB2.0x3 </td>
</tr>

<tr>
<th>付属品</th>
<td>ACアダプター<br>リカバリーはDisktoDiskです（ハードディスク内に御座います） </td>
</tr>

<tr>
<th>外径寸法</th>
<td>
[幅] 372 ｘ [奥行き] 250 ｘ [高さ] 27.7 mm
</td>
</tr>

<tr>
<th>商品詳細</th>
<td>
<font color=""#ff0000"">Corei5搭載！</font>海外ブランド hpの高性能モバイル ProBook4230sです。<br>
<font color=""#ff0000"">最新のOS、Windows10を搭載！</font>使いやすく動作も軽いOSです！<br><br>

CPUは<font color=""#ff0000"">高性能CPU Corei5</font>に、メモリは<font color=""#ff0000"">大容量4GB</font>で動作快適♪<br>
B5サイズのモバイルですが小さくても見やすいワイド液晶を採用。<br><br>

<font color=""#ff0000"">HDMI</font>端子搭載でご家庭のテレビに画面を映して使うこともできます！<br>
<br>

無線LANも内蔵されておりますのでネットにワイヤレスで接続OKです！<br>
</td>
</tr>

<tr>
<th>状態</th>
<td>
中古品です。キーボードに使用感(テカリ)が御座います。<br><br>

</td>
</tr>

<tr>
<th colspan=""2"">オフィスソフト （Word、Excel等）</th>
</tr>



<tr>
<td colspan=""2"">
<!-- オフィスソフト -->
<p>KingsoftOffice2013 (ライセンスカード)</p>

<p>マイクロソフトオフィスのファイルが扱えるビジネスソフトの新定番!<br>
KingsoftOffice2013のライセンスが付属致します。 (最新版です)<br>
ワード、エクセル、パワーポイントの互換ソフトとなります。</p>

<img src=""http://image.rakuten.co.jp/pckujira/cabinet/ad2/king2013.jpg"" alt=""KingsoftOffice2013"">

</td>
</tr>



</table>

</div><!--END itemdetail--><style type=""text/css"">
<!--

#rakutenLimitedId_aroundCart span.choice + select {
    display: block !important;
    padding: 8px;
    margin-bottom: 2px;
    border-radius: 2px;   
}

#rakutenLimitedId_aroundCart span.choice {
    display: inline-block;
    position:relative;
    padding: 8px 8px 0px 8px;
    margin-bottom: 8px;
    background: #FFCC33; /*吹き出しの背景色 */
    border-radius: 2px;
}

-->
</style>

<!--お客様レビュー-->

<table width=""600"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td><img src=""https://image.rakuten.co.jp/pckujira/cabinet/temp/review_title_rakuten.jpg"" width=""600"" height=""130"" alt=""お客様レビュー""></td>
</tr>

<tr>
<td colspan=""3""><img src=""/com/img/home/t.gif"" width=""1"" height=""10"" alt=""*""></td>
</tr>

<tr>
<td style=""padding:5px;background-color:#a7c8f4;"">

</td>
</tr>
</table>

<br>",ノートパソコン HP 中古パソコン ProBook 4230s Core i5 4GBメモリ 12.1インチワイド Windows10 Kingsoft Office付き 【中古】：中古パソコン　くじらや,中古パソコン中古ノートパソコン中古パソコン デスクトップデスクトップパソコンノートパソコン office付きoffice 2013Windows10WindowsXP富士通東芝SONYNECPanasonicIBMLenovoEPSONDELLhpAppleCorei5ノートパソコン HP 中古パソコン ProBook 4230s Core i5 4GBメモリ 12.1インチワイド Windows10 Kingsoft Office付き 【中古】,中古パソコン 3.5万以上で送料無料 安心保証。ノートパソコン HP 中古パソコン ProBook 4230s Core i5 4GBメモリ 12.1インチワイド Windows10 Kingsoft Office付き 【中古】[rn]
