6-30214,http://tshop.r10s.jp/sanpei-japan/cabinet/03014170/img58354566.jpg?fitin=700:700,9313.6000,,スポーツ・アウトドア > フィッシング > ロッド・竿,ダイワ(DAIWA)クーラー ライトトランクIII GU 2000R ブルー,,"保冷力を上げながら、極限まで軽量化●軽量化最優先設計によるうれしい軽さ●両開きフタ●カーペット上でもスムーズに移動できる室内スムーザー●持ちやすいロングハンドル搭載●500mlのペットボトルが縦置き可能[ダイワ/グローブライド][クーラーボックス]
●容量(L)：20●自重(kg)：3.9●内寸(cm)：22×44.5×21●外寸(cm)：31×53.5×28.5●カラー：ブルー ●保冷力：約2倍●断熱材：HPウレタン●ハンドル<br><br>※メーカーの代表写真を使用しています。<br>　<b>本商品(2000R)に水抜き栓はありません</b><!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",ダイワ(DAIWA)クーラー ライトトランクIII GU 2000R ブルー：釣具の三平,ダイワ(DAIWA)クーラー ライトトランクIII GU 2000R ブルー,ダイワ(DAIWA)クーラー ライトトランクIII GU 2000R ブルー[rn]
6-30215,http://tshop.r10s.jp/sanpei-japan/cabinet/03014170/img58363724.jpg?fitin=700:700,8588.0000,,スポーツ・アウトドア > フィッシング > ロッド・竿,ダイワ(DAIWA)クーラー ライトトランクIII S 3000RJ レッド,,"保冷力を上げながら、極限まで軽量化!●軽量化最優先設計によるうれしい軽さ●両開きフタ●カーペット上でもスムーズに移動できる室内スムーザー●持ちやすいロングハンドル搭載●水抜き簡単な水栓搭載●500mlのペットボトルが縦置き可能[ダイワ/グローブライド][クーラー]/海上釣堀/[クーラーボックス]
●容量(L)：30●自重(kg)：4.9●内寸(cm)：23×52.5×24.5●外寸(cm)：33.5×67×34●カラー：レッド●保冷力：約1.3倍●断熱材：スーパースチロール●ハンドル●水栓●スノコ：一体<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",ダイワ(DAIWA)クーラー ライトトランクIII S 3000RJ レッド：釣具の三平,ダイワ(DAIWA)クーラー ライトトランクIII S 3000RJ レッド,ダイワ(DAIWA)クーラー ライトトランクIII S 3000RJ レッド[rn]
6-30216,http://tshop.r10s.jp/sanpei-japan/cabinet/03353631/img62591774.jpg?fitin=700:700,2400.0000,,スポーツ・アウトドア > フィッシング > ロッド・竿,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー３９０　20-27号　(シロギス・カレイ・アイナメ等）,,"■メーカー：TIGA(ティーガ)<BR>
■対象魚：シロギス・カレイ・アイナメ等<BR>
■全長：3.9ｍ<BR>
■継数：4本<BR>
■錘：20～27号<BR>
■先径：2.8mm<BR>
■元径：26.0mm<br> 
■自重：485g<BR>
■仕舞寸法：111cm<br>
■使用樹脂：エポキシ樹脂<br>
■使用素材：カーボン70%<br>
■メーカー希望小売価格：10000円<br><!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー３９０　20-27号　(シロギス・カレイ・アイナメ等）：釣具の三平,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー３９０　20-27号　(シロギス・カレイ・アイナメ等）,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー３９０　20-27号　(シロギス・カレイ・アイナメ等）[rn]
6-30217,http://tshop.r10s.jp/sanpei-japan/cabinet/03353631/img62591778.jpg?fitin=700:700,3024.0000,,スポーツ・アウトドア > フィッシング > ロッド・竿,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー４２０　20-27号　(シロギス・カレイ・アイナメ等）,,"■メーカー：TIGA(ティーガ)<BR>
■対象魚：シロギス・カレイ・アイナメ等<BR>
■全長：4.2ｍ<BR>
■継数：4本<BR>
■錘：20～27号<BR>
■先径：2.8mm<BR>
■元径：26.3mm<br> 
■自重：523g<BR>
■仕舞寸法：116cm<br>
■使用樹脂：エポキシ樹脂<br>
■使用素材：カーボン70%<br>
■メーカー希望小売価格：11000円<br><!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー４２０　20-27号　(シロギス・カレイ・アイナメ等）：釣具の三平,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー４２０　20-27号　(シロギス・カレイ・アイナメ等）,【お買得】ティーガ（TIGA） 投げ竿　サーフファイヤー４２０　20-27号　(シロギス・カレイ・アイナメ等）[rn]
6-30218,http://tshop.r10s.jp/sanpei-japan/cabinet/02974077/img58116613.jpg?fitin=700:700,1600.0000,,スポーツ・アウトドア > フィッシング > ロッド・竿,【お買得】 TIGA 軽量コンパクト カーボン玉の柄  C.Q.B.360   (T-URI),,"<b>TIGA 玉の柄 Close Quarters Battle 360</b><br> 
・ワンハンドで開閉できる新形状のキャップ<br>
・引き上げの際に持ち手となるバット先端部に<br>
　ラバーグリップを採用<br>
・リアグリップにEVAを採用。<br>
　クッション＆滑り止めに<br>
・エギング・ルアーフィッシングにオススメ★<br><br>
■付属品：<br>
D環付きロッドベルト(2個)<br>
カラビナ(1個)<br>
ショルダーベルト(1個)<br><br>
全長：3.60m<br>
継数：6本<br>
自重：424g<br>
先元径：14.8mm/29.2mm<br>
仕舞寸法：70cm<br>

<br><br>
※輸入品に付きましては塗装面に使用に支障のない<br>
傷などある場合がございますがご了承ください。<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",【お買得】 TIGA 軽量コンパクト カーボン玉の柄  C.Q.B.360   (T-URI)：釣具の三平,【お買得】 TIGA 軽量コンパクト カーボン玉の柄  C.Q.B.360   (T-URI),【お買得】 TIGA 軽量コンパクト カーボン玉の柄  C.Q.B.360   (T-URI)[rn]
6-30219,http://tshop.r10s.jp/sanpei-japan/cabinet/02972683/imgrc0065234135.jpg?fitin=700:700,24192.0000,,スポーツ・アウトドア > フィッシング > ロッド・竿,宇崎日新(NISSIN) 　玉の柄　INGRAM REDEDITION ISO 玉の柄LTD　5m,,"<b>ロッドに合わせてコーディネート。レッドエディション玉の柄、限定モデル発売！！</b><br>

<br><br>
初心者から実践派までNISSINの磯竿の魅力を感じていただき、存分に磯釣りを愉しんで頂きたいという想いを形に、クラス超えの充実の装備を搭載、驚異的なコストパフォーマンスで業界に衝撃を与えた「イングラムシリーズ」。発売以来、そのコストパフォーマンスの高さと高い実戦力が多くの釣人に支持を頂いております。<br>
この秋には昨年大反響だった4軸カーボン使用の限定モデル、イングラムブラックエディションISOシリーズに続き、レッドカラーを纏った【INGRAM REDEDITION ISO LTD[イングラムイソ レッドエディションいそ LTD]】を発売。そして玉の柄においても、メタリックレッドをメインカラーに4軸カーボンを採用したモデル、【INGRAM REDEDITION ISO 玉の柄　LTD】を限定発売致します。ロッドに合わせたデザインを施し、コーディネートにも最適。<br>
 剛性を高めながら、軽量と張りを実現した高バランス設計。磯でのハードな使用も考慮した口欠け防止リング、振り出し抵抗を減らし、スムーズな操作性を実現する為にエアスルー設計、合計７箇所の空気穴加工を施したエアスルー下栓を設定。MADE IN JAPANならではの隙の無い仕上がり、充実の装備を誇りながら高いコストパフォーマンス。燃える釣り人をさらに強力にサポートします。<br>
<br><br>
※当商品に関しましては限定発売となっており予定数がなくなりますと受注を締め切らせて頂きます。何卒ご了承下さい。<br>

<br><br>

■宇崎日新(NISSIN) 　玉の柄　INGRAM REDEDITION ISO 玉の柄LTD　 をもっと探す



<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",宇崎日新(NISSIN) 　玉の柄　INGRAM REDEDITION ISO 玉の柄LTD　5m：釣具の三平,宇崎日新(NISSIN) 　玉の柄　INGRAM REDEDITION ISO 玉の柄LTD　5m,宇崎日新(NISSIN) 　玉の柄　INGRAM REDEDITION ISO 玉の柄LTD　5m[rn]
6-30220,http://tshop.r10s.jp/sanpei-japan/cabinet/03970973/img64936079.jpg?fitin=700:700,28667.2000,,スポーツ・アウトドア > フィッシング > ロッド・竿,シマノ(SHIMANO)　船竿　舳［みよし］ 40 270,,"<b>「柔軟性と操作性」、相反する要素を融合した「新・舳調子」マダイと向き合う悦びを心ゆくまで味わい尽くす。</b><br><br>

<b>舳 20/40/60</b><br><br>
美しく粘れ。強くあれ。相反する柔軟性と操作性を融合、引きをダイレクトに感じ取れ。<br>
美しく、強く、粘る。理想的な曲がりを追求してきた［舳］が、ムーチングアクションに新たな提案を投げかける、「新・舳調子」を得て新生。穂先を柔らかく繊細にしながらも、バットパワーをプラスし、より理想に近いアクションを実現。前作を上回る穂先のしなやかさを持ちながらも、ワンランク上の高い操作性を実現し、コマセの振り分けが自在で、大型魚でもしっかりとリフトできる。スリム化されたリールシート、さらにセパレートタイプのグリップを採用し、バット部の素材使いにもこだわることで大幅に軽量化しただけではなく、オールKガイドの採用で、より自然な曲線も手に入れた。<br><br>
<b>舳 80/100</b><br><br>
喰わせる能力、獲る実力。マダイで培った「新・舳調子」のポテンシャルを青物に。<br>
スパイラルX&UDグラスで実現した「新・舳調子」をより青物用にチューン。カーボンだけでは及ばない、グラスファイバー最大の武器である「粘り」に注目、ワンランク細いハリスが使えるように仕上げた。ワラサはもちろん、ブリクラスやシマアジなど、サイズや魚種、そしてフィールドをも選ばない。80号はワラサやシマアジに。<br>100号はブリクラスにも余裕で対応。ともにコマセの振り分けが自在で、しっかり魚をリフトできるパワーを備えながら、魚の動きを吸収してバレを防ぐしなやかさは、いわゆる従来の調子にしか価値観を見出さないエキスパートをも唸らせる。掛けてくれる、獲らせてくれる竿でありながら、持てるテクニックを駆使して魚と対峙することの楽しさを、あらためて実感できる仕上がり。<br>
<br>
<br>


■シマノ(SHIMANO)　船竿　舳　 をもっと探す

<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",シマノ(SHIMANO)　船竿　舳［みよし］ 40 270：釣具の三平,シマノ(SHIMANO)　船竿　舳［みよし］ 40 270,シマノ(SHIMANO)　船竿　舳［みよし］ 40 270[rn]
6-30221,http://tshop.r10s.jp/sanpei-japan/cabinet/03970973/img64936079.jpg?fitin=700:700,31388.8000,,スポーツ・アウトドア > フィッシング > ロッド・竿,シマノ(SHIMANO)　船竿　舳［みよし］ 80 300,,"<b>「柔軟性と操作性」、相反する要素を融合した「新・舳調子」マダイと向き合う悦びを心ゆくまで味わい尽くす。</b><br><br>

<b>舳 20/40/60</b><br><br>
美しく粘れ。強くあれ。相反する柔軟性と操作性を融合、引きをダイレクトに感じ取れ。<br>
美しく、強く、粘る。理想的な曲がりを追求してきた［舳］が、ムーチングアクションに新たな提案を投げかける、「新・舳調子」を得て新生。穂先を柔らかく繊細にしながらも、バットパワーをプラスし、より理想に近いアクションを実現。前作を上回る穂先のしなやかさを持ちながらも、ワンランク上の高い操作性を実現し、コマセの振り分けが自在で、大型魚でもしっかりとリフトできる。スリム化されたリールシート、さらにセパレートタイプのグリップを採用し、バット部の素材使いにもこだわることで大幅に軽量化しただけではなく、オールKガイドの採用で、より自然な曲線も手に入れた。<br><br>
<b>舳 80/100</b><br><br>
喰わせる能力、獲る実力。マダイで培った「新・舳調子」のポテンシャルを青物に。<br>
スパイラルX&UDグラスで実現した「新・舳調子」をより青物用にチューン。カーボンだけでは及ばない、グラスファイバー最大の武器である「粘り」に注目、ワンランク細いハリスが使えるように仕上げた。ワラサはもちろん、ブリクラスやシマアジなど、サイズや魚種、そしてフィールドをも選ばない。80号はワラサやシマアジに。<br>100号はブリクラスにも余裕で対応。ともにコマセの振り分けが自在で、しっかり魚をリフトできるパワーを備えながら、魚の動きを吸収してバレを防ぐしなやかさは、いわゆる従来の調子にしか価値観を見出さないエキスパートをも唸らせる。掛けてくれる、獲らせてくれる竿でありながら、持てるテクニックを駆使して魚と対峙することの楽しさを、あらためて実感できる仕上がり。<br>
<br>
<br>


■シマノ(SHIMANO)　船竿　舳　 をもっと探す

<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",シマノ(SHIMANO)　船竿　舳［みよし］ 80 300：釣具の三平,シマノ(SHIMANO)　船竿　舳［みよし］ 80 300,シマノ(SHIMANO)　船竿　舳［みよし］ 80 300[rn]
6-30222,http://tshop.r10s.jp/sanpei-japan/cabinet/03970973/img64936079.jpg?fitin=700:700,28667.2000,,スポーツ・アウトドア > フィッシング > ロッド・竿,シマノ(SHIMANO)　船竿　舳［みよし］ 20 300,,"<b>「柔軟性と操作性」、相反する要素を融合した「新・舳調子」マダイと向き合う悦びを心ゆくまで味わい尽くす。</b><br><br>

<b>舳 20/40/60</b><br><br>
美しく粘れ。強くあれ。相反する柔軟性と操作性を融合、引きをダイレクトに感じ取れ。<br>
美しく、強く、粘る。理想的な曲がりを追求してきた［舳］が、ムーチングアクションに新たな提案を投げかける、「新・舳調子」を得て新生。穂先を柔らかく繊細にしながらも、バットパワーをプラスし、より理想に近いアクションを実現。前作を上回る穂先のしなやかさを持ちながらも、ワンランク上の高い操作性を実現し、コマセの振り分けが自在で、大型魚でもしっかりとリフトできる。スリム化されたリールシート、さらにセパレートタイプのグリップを採用し、バット部の素材使いにもこだわることで大幅に軽量化しただけではなく、オールKガイドの採用で、より自然な曲線も手に入れた。<br><br>
<b>舳 80/100</b><br><br>
喰わせる能力、獲る実力。マダイで培った「新・舳調子」のポテンシャルを青物に。<br>
スパイラルX&UDグラスで実現した「新・舳調子」をより青物用にチューン。カーボンだけでは及ばない、グラスファイバー最大の武器である「粘り」に注目、ワンランク細いハリスが使えるように仕上げた。ワラサはもちろん、ブリクラスやシマアジなど、サイズや魚種、そしてフィールドをも選ばない。80号はワラサやシマアジに。<br>100号はブリクラスにも余裕で対応。ともにコマセの振り分けが自在で、しっかり魚をリフトできるパワーを備えながら、魚の動きを吸収してバレを防ぐしなやかさは、いわゆる従来の調子にしか価値観を見出さないエキスパートをも唸らせる。掛けてくれる、獲らせてくれる竿でありながら、持てるテクニックを駆使して魚と対峙することの楽しさを、あらためて実感できる仕上がり。<br>
<br>
<br>


■シマノ(SHIMANO)　船竿　舳　 をもっと探す

<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",シマノ(SHIMANO)　船竿　舳［みよし］ 20 300：釣具の三平,シマノ(SHIMANO)　船竿　舳［みよし］ 20 300,シマノ(SHIMANO)　船竿　舳［みよし］ 20 300[rn]
6-30223,http://tshop.r10s.jp/sanpei-japan/cabinet/03970973/img64936079.jpg?fitin=700:700,30663.2000,,スポーツ・アウトドア > フィッシング > ロッド・竿,シマノ(SHIMANO)　船竿　舳［みよし］ 80 270,,"<b>「柔軟性と操作性」、相反する要素を融合した「新・舳調子」マダイと向き合う悦びを心ゆくまで味わい尽くす。</b><br><br>

<b>舳 20/40/60</b><br><br>
美しく粘れ。強くあれ。相反する柔軟性と操作性を融合、引きをダイレクトに感じ取れ。<br>
美しく、強く、粘る。理想的な曲がりを追求してきた［舳］が、ムーチングアクションに新たな提案を投げかける、「新・舳調子」を得て新生。穂先を柔らかく繊細にしながらも、バットパワーをプラスし、より理想に近いアクションを実現。前作を上回る穂先のしなやかさを持ちながらも、ワンランク上の高い操作性を実現し、コマセの振り分けが自在で、大型魚でもしっかりとリフトできる。スリム化されたリールシート、さらにセパレートタイプのグリップを採用し、バット部の素材使いにもこだわることで大幅に軽量化しただけではなく、オールKガイドの採用で、より自然な曲線も手に入れた。<br><br>
<b>舳 80/100</b><br><br>
喰わせる能力、獲る実力。マダイで培った「新・舳調子」のポテンシャルを青物に。<br>
スパイラルX&UDグラスで実現した「新・舳調子」をより青物用にチューン。カーボンだけでは及ばない、グラスファイバー最大の武器である「粘り」に注目、ワンランク細いハリスが使えるように仕上げた。ワラサはもちろん、ブリクラスやシマアジなど、サイズや魚種、そしてフィールドをも選ばない。80号はワラサやシマアジに。<br>100号はブリクラスにも余裕で対応。ともにコマセの振り分けが自在で、しっかり魚をリフトできるパワーを備えながら、魚の動きを吸収してバレを防ぐしなやかさは、いわゆる従来の調子にしか価値観を見出さないエキスパートをも唸らせる。掛けてくれる、獲らせてくれる竿でありながら、持てるテクニックを駆使して魚と対峙することの楽しさを、あらためて実感できる仕上がり。<br>
<br>
<br>


■シマノ(SHIMANO)　船竿　舳　 をもっと探す

<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",シマノ(SHIMANO)　船竿　舳［みよし］ 80 270：釣具の三平,シマノ(SHIMANO)　船竿　舳［みよし］ 80 270,シマノ(SHIMANO)　船竿　舳［みよし］ 80 270[rn]
6-30224,http://tshop.r10s.jp/sanpei-japan/cabinet/03970973/img64936079.jpg?fitin=700:700,29393.6000,,スポーツ・アウトドア > フィッシング > ロッド・竿,シマノ(SHIMANO)　船竿　舳［みよし］ 60 270,,"<b>「柔軟性と操作性」、相反する要素を融合した「新・舳調子」マダイと向き合う悦びを心ゆくまで味わい尽くす。</b><br><br>

<b>舳 20/40/60</b><br><br>
美しく粘れ。強くあれ。相反する柔軟性と操作性を融合、引きをダイレクトに感じ取れ。<br>
美しく、強く、粘る。理想的な曲がりを追求してきた［舳］が、ムーチングアクションに新たな提案を投げかける、「新・舳調子」を得て新生。穂先を柔らかく繊細にしながらも、バットパワーをプラスし、より理想に近いアクションを実現。前作を上回る穂先のしなやかさを持ちながらも、ワンランク上の高い操作性を実現し、コマセの振り分けが自在で、大型魚でもしっかりとリフトできる。スリム化されたリールシート、さらにセパレートタイプのグリップを採用し、バット部の素材使いにもこだわることで大幅に軽量化しただけではなく、オールKガイドの採用で、より自然な曲線も手に入れた。<br><br>
<b>舳 80/100</b><br><br>
喰わせる能力、獲る実力。マダイで培った「新・舳調子」のポテンシャルを青物に。<br>
スパイラルX&UDグラスで実現した「新・舳調子」をより青物用にチューン。カーボンだけでは及ばない、グラスファイバー最大の武器である「粘り」に注目、ワンランク細いハリスが使えるように仕上げた。ワラサはもちろん、ブリクラスやシマアジなど、サイズや魚種、そしてフィールドをも選ばない。80号はワラサやシマアジに。<br>100号はブリクラスにも余裕で対応。ともにコマセの振り分けが自在で、しっかり魚をリフトできるパワーを備えながら、魚の動きを吸収してバレを防ぐしなやかさは、いわゆる従来の調子にしか価値観を見出さないエキスパートをも唸らせる。掛けてくれる、獲らせてくれる竿でありながら、持てるテクニックを駆使して魚と対峙することの楽しさを、あらためて実感できる仕上がり。<br>
<br>
<br>


■シマノ(SHIMANO)　船竿　舳　 をもっと探す

<br><br>


<font size=""3""><font color=""#000000"">■メーカー希望小売価格はメーカーサイトに基づいて掲載しています<!--■■ステッカー-->

<img src=""http://image.rakuten.co.jp/sanpei-japan/cabinet/img58323594.jpg""border=""1"" width=""660"" height=""125"">








<!--■■■サイドのリピートバナー■■■-->",シマノ(SHIMANO)　船竿　舳［みよし］ 60 270：釣具の三平,シマノ(SHIMANO)　船竿　舳［みよし］ 60 270,シマノ(SHIMANO)　船竿　舳［みよし］ 60 270[rn]
