14-144201,http://tshop.r10s.jp/aris/cabinet/kawashima/cla-7140d.jpg?fitin=700:700,1554.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック,,"7140　ユニバーサルブレーキケーブルキット（ロード用） 
ブラックがモデルチェンジ。 
ダートシールド（インナースリーブ）が追加されて 
ブレーキング操作時におけるケーブルの摩擦抵抗が 
大幅に軽減。 
従来品に比べよりスムーズなブレーキ操作が 
可能となりました。",CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック：アリス・サイクル,トピークパールイズミオーストリッチキャットアイＯＧＫシマノTOPEAKPEARL IZUMI 自転車パーツSHIMANOCATEYECAT EYEOSTRICHCLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック,CLARKS Pre-Lube ユニバーサル ブレーキ ケーブルキット ブラック[rn]
14-144212,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img14/bbw-1507-649.jpg?fitin=700:700,192.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（GIZAPRODUCTS/ギザプロダクツ)（自転車用ブレーキワイヤー）GP YZ-2388 アウター マウント (YCB00500),,・ブレーキホースやアウターケーブルの取り回しに便利なケーブルガイド。<br>・2 個セット<br>・プラスチック<br>・結束バンド 2 本付属<br><br><br>（YCB00500）（GZ25363050）（4935012326977）,（GIZAPRODUCTS/ギザプロダクツ)（自転車用ブレーキワイヤー）GP YZ-2388 アウター マウント (YCB00500)：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（GIZAPRODUCTS/ギザプロダクツ)（自転車用ブレーキワイヤー）GP YZ-2388 アウター マウント (YCB00500),（GIZAPRODUCTS/ギザプロダクツ)（自転車用ブレーキワイヤー）GP YZ-2388 アウター マウント (YCB00500)[rn]
14-144213,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img12/bcb-1503-19.jpg?fitin=700:700,294.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（TNI/ティーエヌアイ)  （自転車用ブレーキ）ノーマルブレーキパット TD90XR,,"<br><br>・黒　
<br>・ノーマル仕様のVブレーキシュー　
<br>・(TD90XR)",（TNI/ティーエヌアイ)  （自転車用ブレーキ）ノーマルブレーキパット TD90XR：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（TNI/ティーエヌアイ)  （自転車用ブレーキ）ノーマルブレーキパット TD90XR,（TNI/ティーエヌアイ)  （自転車用ブレーキ）ノーマルブレーキパット TD90XR[rn]
14-144214,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img13/bbw-1505-2.jpg?fitin=700:700,4852.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（アイキャン/AICAN)（自転車用シフターケーブル）シフティングワイヤーセット,,ブレーキ＋シフターケーブルで最軽量。なんとメーターあたり18g！しかも、ニューナノスペシャルコーティングのインナーケーブル表面は、超高硬度で低摩擦。通常のテフロンコーティングよりも耐久性があり、ブレーキもシフターも、とても軽い引きが魅力です。アウターケーブルの長さ調整は、ピースをつなぎ合わせるだけだから、専用のアウターケーブルカッターは不要。カラーも豊富で、バイクの個性を引き立たせるワンポイントとしてもいいかも。<br>・シマノ、スラム、カンパニョーロ兼用<br>・セット内容：シフトリンクハウジング1.8m、レバーコネクター×4、フレームコネクター×4、フレームコネクター＆ライナー×2、インナーワイヤー（フロント1.7m、リア2.0m）、ラバーシールド×2<br><br>,（アイキャン/AICAN)（自転車用シフターケーブル）シフティングワイヤーセット：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（アイキャン/AICAN)（自転車用シフターケーブル）シフティングワイヤーセット,（アイキャン/AICAN)（自転車用シフターケーブル）シフティングワイヤーセット[rn]
14-144215,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img12/bcb-1503-18.jpg?fitin=700:700,384.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（TNI/ティーエヌアイ)  （自転車用ブレーキ）雨天用ブレーキパッド TD90XRZ,,"<br><br>・赤　
<br>・レインコンディション用Vブレーキシュー　
<br>・(TD90XRZ)",（TNI/ティーエヌアイ)  （自転車用ブレーキ）雨天用ブレーキパッド TD90XRZ：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（TNI/ティーエヌアイ)  （自転車用ブレーキ）雨天用ブレーキパッド TD90XRZ,（TNI/ティーエヌアイ)  （自転車用ブレーキ）雨天用ブレーキパッド TD90XRZ[rn]
14-144216,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img20/bvb-1605-78.jpg?fitin=700:700,1466.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（SHIMANO/シマノ)（自転車用ブレーキ）BR-R353 シルバー リア用 Vブレーキ,,■カテゴリ：V-ブレーキ<br>■前/後：後<br>■シュータイプ：S70T<br>■取付ボルト長：16.0mm<br><br>※商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（SHIMANO/シマノ)（自転車用ブレーキ）BR-R353 シルバー リア用 Vブレーキ：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（SHIMANO/シマノ)（自転車用ブレーキ）BR-R353 シルバー リア用 Vブレーキ,（SHIMANO/シマノ)（自転車用ブレーキ）BR-R353 シルバー リア用 Vブレーキ[rn]
14-144217,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img18/bbr-d-1603-126.jpg?fitin=700:700,1792.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）MX-1 BL330 WIN BLK (左右セット),,●ショートアームカンチブレーキやキャリパーブレーキ用ブレーキレバー。<br>●ブラケット:アルミ合金<br>●レバー:アルミ合金鍛造<br>●クランプ内径：22.2mm<br>●162g/ペア<br><br>商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）MX-1 BL330 WIN BLK (左右セット)：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）MX-1 BL330 WIN BLK (左右セット),（DIA-COMPE/ダイアコンペ)（自転車用ブレーキレバー）MX-1 BL330 WIN BLK (左右セット)[rn]
14-144218,http://tshop.r10s.jp/auc-cycle-parts/cabinet/bk/bs/bsd-21.jpg?fitin=700:700,1040.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,ダイアコンペ CR-X PAD ２個入り ( ブレーキパッド ) DIA-COMPE  CR-X純正パッド　SS02P02dec12,,"■こちらの商品は、メーカーからのお取り寄せ商品になります。<br>
■メーカー在庫完売時には、ご注文をキャンセルさせていただきます。<br><br>
○ダイアコンペ製ブレーキ CR-X 純正パッド。<br><br>
●１キャリパー分セット<br>
●CR-X純正パッド<br>
●カートリッジタイプカンチタイプパッド<br>
●カラー：ブラック<br>",ダイアコンペ CR-X PAD ２個入り ( ブレーキパッド ) DIA-COMPE  CR-X純正パッド　SS02P02dec12：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランクダイアコンペ CR-X PAD ２個入り ( ブレーキパッド ) DIA-COMPE  CR-X純正パッド　SS02P02dec12,ダイアコンペ CR-X PAD ２個入り ( ブレーキパッド ) DIA-COMPE  CR-X純正パッド　SS02P02dec12[rn]
14-144219,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img11/bcb-v22-87-8.jpg?fitin=700:700,2112.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（PROMAX/プロマックス)  （自転車用ブレーキ）RC-480ディアルピポッドラージブレーキ,,<br>■（1ホイール価格）<br>●SL・BK<br>●F・R<br>●ブレーキシューディメンション:55?73mm<br>●カートリッジブレーキシュー付き<br>●使用タイヤサイズ：32-40（フェンダー無し）<br>●F/180g・R/177g<br>■太いタイヤを使用してもフェンダーが取り付けられるクリアランスをもうけたデュアルピポッドデザインのラージブレーキ。従来のブレーキストロークに対応。<br><br>,（PROMAX/プロマックス)  （自転車用ブレーキ）RC-480ディアルピポッドラージブレーキ：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（PROMAX/プロマックス)  （自転車用ブレーキ）RC-480ディアルピポッドラージブレーキ,（PROMAX/プロマックス)  （自転車用ブレーキ）RC-480ディアルピポッドラージブレーキ[rn]
14-144220,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img11/bcb-v22-25-14.jpg?fitin=700:700,11200.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（OnebyESU／ワンバイエス)  （自転車用ブレーキ）ライトオンブレーキモア リヤのみ SL,,<br>●ブライトBK・ブライトSL<br>●フロントアーチ形状：フロントレフト<br>●フロント：104gリヤ：102g<br>●ブレーキシューディメンション：31?51mm<br>●付属：スイスストップ製ブレーキシュー・リヤ取付アルミナット・フロント取付アルミナット25&18mm・取付工具一式(トルクスアーレンキー・アーレンキー3種・スパナ)<br>■シマノ900や6700のブレーキレバーリーチに対応する超軽量モデル。チタンボルトを多用し、アルミCNCで形成されたボディーとスイスストップ製のブレーキシューと共にストッピングパフォーマンスは抜群。シューの可動範囲を通常の最大49mmから2mm多く51mmに設定し対応範囲を広げている。<br>★海外選手使用モデル<br><br>,（OnebyESU／ワンバイエス)  （自転車用ブレーキ）ライトオンブレーキモア リヤのみ SL：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（OnebyESU／ワンバイエス)  （自転車用ブレーキ）ライトオンブレーキモア リヤのみ SL,（OnebyESU／ワンバイエス)  （自転車用ブレーキ）ライトオンブレーキモア リヤのみ SL[rn]
14-144221,http://tshop.r10s.jp/auc-cycle-parts/cabinet/img15/bcb-1608-202.jpg?fitin=700:700,4874.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > ブレーキ,（Campagnolo/カンパニョーロ)（自転車用ブレーキ関連）ブレーキアーチ シルバー BR17-POSDP(0216519),,<br><br>※商品のデザイン、仕様、外観、は予告なく変更する場合がありますのでご了承ください。,（Campagnolo/カンパニョーロ)（自転車用ブレーキ関連）ブレーキアーチ シルバー BR17-POSDP(0216519)：サイクルロード,自転車パーツロードパーツ通販サイクルカバーパールイズミSHIMANOPEARL　IZUMIハンドルチャイルドシートヘルメットタイヤチューブペダルブレーキ空気入れライトバスケットサドルブリヂストンクランク（Campagnolo/カンパニョーロ)（自転車用ブレーキ関連）ブレーキアーチ シルバー BR17-POSDP(0216519),（Campagnolo/カンパニョーロ)（自転車用ブレーキ関連）ブレーキアーチ シルバー BR17-POSDP(0216519)[rn]
