14-79601,http://tshop.r10s.jp/soukai/cabinet/37/4901498107737.jpg?fitin=700:700,60.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,アロマデュウ バスソルト ムスクマロウ(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト],アロマデュウ(Aroma Dew) / 入浴剤 バスソルト,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞入浴剤＞入浴剤 フローラルタイプ＞アロマデュウ バスソルト ムスクマロウ (25g)<br><br>★税抜1900円以上で送料無料★<br><br>【アロマデュウ バスソルト ムスクマロウの商品詳細】<br>●オリエンタルなムスク調の香りが気持ちを豊かにします。<br>●香りを色々試せるお得な価格。数袋まとめ買いして、様々な香りを楽しめます。<br>●保湿成分：ゼニアオイエキス配合<br>●ひきしめ成分：室戸岬沖の深層海塩(海塩)配合<br><br>【ご使用方法】<br>・浴槽のお湯(200L)に1袋(25g)を入れ、よくかき混ぜてご入浴下さい。<br><br>【成分】<br>塩化Na、硫酸Na、香料、海塩、ゼニアオイエキス、グリセリン、シリカ、水、エタノール、青1、赤106<br>【使用上のご注意】<br>・皮膚あるいは体質に異常がある場合は、医師に相談してご使用下さい。<br>・使用中や使用後、皮膚に発疹、赤疹、かゆみ、刺激感等の異常が現れた時は、使用を中止し、医師にご相談下さい。<br>・本品には浴槽、風呂釜をいためるイオウは入っておりません。<br>・本品をご使用後は、風呂釜内部や循環孔のフィルター等を水洗いして下さい。<br>・残り湯を長時間放置しておくと浴槽に色素と成分が付着する場合があります。浴室の掃除は風呂用洗剤等で洗い流して下さい。<br>・残り湯は洗髪や洗濯にお使いいただけますが柔軟剤との併用はさけ、すすぎは清水をお使い下さい。また、衣類をつけ置きしないで下さい。<br>・直射日光をさけ、幼児の手の届かない涼しい所へ保管して下さい。<br>・開封後は、お早めにお使い下さい。<br><br>【ブランド】<br>アロマデュウ(Aroma Dew)<br><br>【発売元、製造元、輸入元又は販売元】<br>クロバーコーポレーション<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>/(/F201707/)/<br><br>クロバーコーポレーション<br>537-0003 大阪市東成区神路2-1-4<br>06-6981-7037<br><br>広告文責：株式会社爽快ドラッグ<br><br>[入浴剤/ブランド：アロマデュウ(Aroma Dew)/],アロマデュウ バスソルト ムスクマロウ(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアロマデュウ バスソルト ムスクマロウ(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト],アロマデュウ(Aroma Dew) / 入浴剤 バスソルト。アロマデュウ バスソルト ムスクマロウ(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト][rn]
14-79602,http://tshop.r10s.jp/soukai/cabinet/04/4954753032404.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,バスソルト(300g)【170414_soukai】[エッセンシャルオイル 生活の木 入浴剤 バスソルト],エッセンシャルオイル 生活の木 入浴剤 バスソルト,お店TOP＞バス・洗面＞入浴剤＞バスソルト＞バスソルト (300g)<br><br>★税抜1900円以上で送料無料★<br><br>【バスソルトの商品詳細】<br>●たった数分でできてしまうバスソルトから熟成に時間のかかるオリーブ石鹸まで、手作りのコスメラインナップは実にさまざま。生活の木は、エッセンシャルオイルやドライハーブはもちろん、植物オイル、バター、ワックス、クレイといった手作りコスメの基材から専用の道具まで、豊富な品揃えであなたをお待ちしています。厳選された素材を使って、自分の手で作る自分のための世界でたったひとつのコスメ。作る楽しみと使う幸せを味わってください。<br>●バスソルト<br>粒子の粗いバス用シーソルト。ハーブや精油を加えてオリジナルのバスソルトも作れます。<br><br>【成分】<br>海塩<br>【手作りだからこその注意点】<br>・保存料などの添加剤を使わずに作った手作り化粧品は、できるだけ早く使いきりましょう。<br>・使用期限を守るためにも、レシピと制作日を明記したラベルを容器に貼る習慣をつけましょう。<br>・容器の煮沸消毒などの滅菌処理も忘れずに行いましょう。<br><br>【発売元、製造元、輸入元又は販売元】<br>生活の木<br><br>(0.3kg)<br><br>/(/F201707/)/<br><br>生活の木<br>509-6472 岐阜県瑞浪市釜戸町1121<br>0572-63-1070<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[入浴剤],バスソルト(300g)【170414_soukai】[エッセンシャルオイル 生活の木 入浴剤 バスソルト]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションバスソルト(300g)【170414_soukai】[エッセンシャルオイル 生活の木 入浴剤 バスソルト],エッセンシャルオイル 生活の木 入浴剤 バスソルト。バスソルト(300g)【170414_soukai】[エッセンシャルオイル 生活の木 入浴剤 バスソルト][rn]
14-79603,http://tshop.r10s.jp/soukai/cabinet/06/4901498107706.jpg?fitin=700:700,60.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,アロマデュウ バスソルト ラベンダー(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト],アロマデュウ(Aroma Dew) / 入浴剤 バスソルト,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞入浴剤＞入浴剤 フローラルタイプ＞アロマデュウ バスソルト ラベンダー (25g)<br><br>★税抜1900円以上で送料無料★<br><br>【アロマデュウ バスソルト ラベンダーの商品詳細】<br>●スウィートフローラルなラベンダーの香りが気持ちを穏やかにします。<br>●香りを色々試せるお得な価格。数袋まとめ買いして、様々な香りを楽しめます。<br>●保湿成分：ラベンダー花／葉／茎エキス配合<br>●ひきしめ成分：室戸岬沖の深層海塩(海塩)配合<br><br>【ご使用方法】<br>・浴槽のお湯(200L)に1袋(25g)を入れ、よくかき混ぜてご入浴下さい。<br><br>【成分】<br>塩化Na、硫酸Na、香料、海塩、ラベンダー花／葉／茎エキス、グリセリン、シリカ、水、エタノール、青1、赤106<br>【使用上のご注意】<br>・皮膚あるいは体質に異常がある場合は、医師に相談してご使用下さい。<br>・使用中や使用後、皮膚に発疹、赤疹、かゆみ、刺激感等の異常が現れた時は、使用を中止し、医師にご相談下さい。<br>・本品には浴槽、風呂釜をいためるイオウは入っておりません。<br>・本品をご使用後は、風呂釜内部や循環孔のフィルター等を水洗いして下さい。<br>・残り湯を長時間放置しておくと浴槽に色素と成分が付着する場合があります。浴室の掃除は風呂用洗剤等で洗い流して下さい。<br>・残り湯は洗髪や洗濯にお使いいただけますが柔軟剤との併用はさけ、すすぎは清水をお使い下さい。また、衣類をつけ置きしないで下さい。<br>・直射日光をさけ、幼児の手の届かない涼しい所へ保管して下さい。<br>・開封後は、お早めにお使い下さい。<br><br>【ブランド】<br>アロマデュウ(Aroma Dew)<br><br>【発売元、製造元、輸入元又は販売元】<br>クロバーコーポレーション<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>/(/F201707/)/<br><br>クロバーコーポレーション<br>537-0003 大阪市東成区神路2-1-4<br>06-6981-7037<br><br>広告文責：株式会社爽快ドラッグ<br><br>[入浴剤/ブランド：アロマデュウ(Aroma Dew)/],アロマデュウ バスソルト ラベンダー(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアロマデュウ バスソルト ラベンダー(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト],アロマデュウ(Aroma Dew) / 入浴剤 バスソルト。アロマデュウ バスソルト ラベンダー(25g)【アロマデュウ(Aroma Dew)】[入浴剤 バスソルト][rn]
14-79604,http://tshop.r10s.jp/soukai/cabinet/82/4975541024982.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,チャーリー フィンランドバスソーク フィンローズ 02498(50g)【チャーリー】[入浴剤 バスソルト],チャーリー / 入浴剤 バスソルト★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞入浴剤＞バスソルト＞チャーリー フィンランドバスソーク フィンローズ 02498 (50g)<br><br>★税抜1900円以上で送料無料★<br><br>【チャーリー フィンランドバスソーク フィンローズ 02498の商品詳細】<br>●美しくきびしい冬・爽やかな汗ふりしぼる夏・・・いずれにも濃厚なフィンランドバス<br>●プツプツとした気泡湯が楽しめる発泡粉末入り。<br>●フィンランドの森に咲く野バラを想わせる澄んだフィンローズの香り。<br>●白樺の森に自生する幻の野バラ「フィンローズ」は、可憐でありながら厳しい北欧の冬に耐え白夜の季節に花開く生命力あふれる花です。<br>●野バラの果実から抽出したエキスはお肌しっとり、キメを整えます。<br><br>【成分】<br>炭酸Na、炭酸水素Na、セルロースガム、デキストリン、テレビン油、ポリソルベート80、ホホバ油、酸化チタン、ポリアクリル酸Na、ポリアクリル酸、ベントナイト、エタノール、水、香料、ノバラエキス、BG、赤色102<br>【使用上の注意】<br>・飲食物ではありません。<br>・お肌に合わない場合はご使用を中止して下さい。<br>・高温・多湿を避け乳幼児の手の届かない場所に保管して下さい。<br>・使用方法・使用上の注意をよく読んでご使用下さい。<br><br>【ブランド】<br>チャーリー<br><br>【発売元、製造元、輸入元又は販売元】<br>チャーリー<br><br>チャーリー<br>550-0027 大阪府大阪市西区九条1-27-6　住友金属興産九条ビル1階<br>06-6585-1331<br><br>広告文責：株式会社爽快ドラッグ<br><br>[入浴剤/ブランド：チャーリー/],チャーリー フィンランドバスソーク フィンローズ 02498(50g)【チャーリー】[入浴剤 バスソルト]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションチャーリー フィンランドバスソーク フィンローズ 02498(50g)【チャーリー】[入浴剤 バスソルト],チャーリー / 入浴剤 バスソルト★税抜1900円以上で送料無料★。チャーリー フィンランドバスソーク フィンローズ 02498(50g)【チャーリー】[入浴剤 バスソルト][rn]
14-79605,http://tshop.r10s.jp/soukai/cabinet/43/4547073510143.jpg?fitin=700:700,784.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,ヒマラヤ岩塩とローズのバスソルト(320g)[入浴剤],入浴剤★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞入浴剤＞バスソルト＞ヒマラヤ岩塩とローズのバスソルト (320g)<br><br>★税抜1900円以上で送料無料★<br><br>【ヒマラヤ岩塩とローズのバスソルトの商品詳細】<br>●お肌つるつるぷ～るぷる<br>●天然ポプリ*ヒマラヤ岩塩<br>●ヒマラヤピンク岩塩とローズの花びらで至福のリラックスBathTime<br>●約12回分<br><br>【使用方法】<br>・お風呂のお湯(約200L)に付属の袋8分目まで本品を入れ(約25g)、よく溶かしてからご入浴ください。<br><br>【成分】<br>ミネラル塩、バラ(アバランチェ、シュナーベル、ストロベリーミルフィーユ、バンビーナ、ファンファール、ステファン)花びら、香料<br>【注意事項】<br>・本品を入浴以外の用途で使用しないでください。<br>・お肌に異常がある時は使用しないでください。<br>・使用中使用後に異常を感じたときは使用をやめて専門医にご相談ください。<br>・目に入ったときはすぐに洗い流してください。<br>・本品は食べられません。<br>・乳幼児の手の届かない場所に保管してください。<br>・使用後の追い炊きはおやめください。<br>・循環式・全自動時給湯器・24時間風呂は機種によってはご使用できない場合がございますので説明書をご確認の上ご使用ください。<br>・使用後は浴槽・風呂釜を良く洗ってください。<br>・使用後、袋に残った花びらは捨ててください。<br><br>【発売元、製造元、輸入元又は販売元】<br>シーラン<br><br>/(/F224704/F201707/)/<br><br>シーラン<br>326-0833 栃木県足利市藤本町606-2<br>0284-72-7526<br><br>広告文責：株式会社爽快ドラッグ<br><br>[入浴剤],ヒマラヤ岩塩とローズのバスソルト(320g)[入浴剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションヒマラヤ岩塩とローズのバスソルト(320g)[入浴剤],入浴剤★税抜1900円以上で送料無料★。ヒマラヤ岩塩とローズのバスソルト(320g)[入浴剤][rn]
14-79606,http://tshop.r10s.jp/soukai/cabinet/18/4901301245618.jpg?fitin=700:700,392.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,ビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用((480mL))【kao1610T】【ビオレU(ビオレユー)】[入浴剤 花王],ビオレU(ビオレユー) / 入浴剤 花王,<img src='http://www.rakuten.ne.jp/gold/soukai/image/sd/sale/saleitem_20170420.gif' border='0' width='100%'><br><br>お店TOP＞バス・洗面＞入浴剤＞ミルキーバス＞ビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用 ((480mL))<br><br>★税抜1900円以上で送料無料★<br><br>【ビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用の商品詳細】<br>●100％ボディケアミルクです。<br>●赤ちゃんや家族みんなの素肌をつつみこんで守ります。<br>●お湯にやさしく溶けこみ、カサつきがちなひじ・ひざ・かかとも、しっとり！<br>●素肌とおなじ弱酸性<br>●お風呂上りの素肌を、すべすべでぷるぷるの健やかな状態に保ちます。<br>●お子様の肌の様子がよく分かる、透明感のあるお湯です。<br>●アレルギーテスト済み(全ての方にアレルギーが起こらないというわけではありません)<br>●気分ほっとするパウダリーな香り<br><br>【ボトルへのつめかえ方】<br>・必ずすべすべバスミルク(ミルクローズの香り)の使用済みボトルにつめかえて下さい。<br>※他の製品が混ざらないようにしてください。<br>※つめかえた後、このパックの下部の製造番号を控えておいてください。お問い合わせの際に必要な場合があります。<br>(1)ハサミで注ぎ口をお切りください。<br>(2)注ぎ口をボトルの口に差し込み、ゆっくりと注いで下さい。<br><br>【ご使用方法】<br>・お風呂のお湯(150～200L)に約40mL(キャップの入れ目線1杯)の割合で入れ、よくかき混ぜて入浴してください。<br>・キャップはよく洗い、軽く水切りして閉めて下さい。<br>・本品と他の入浴剤との併用はお避け下さい。<br><br>【成分】<br>水、ミネラルオイル、グリセリン、ワセリン、セテスリン酸Na、テトラオレイン酸ソルベス-40、ラウリン酸ソルビタン、コメ胚芽油、セチルPGヒドロキシエチルパルミタミド、アロエベラエキス-1、コハク酸、グリシン、オリーブ油、テトラオレイン酸ソルベス-60、ポリソルベート80、ポリソルベート81、BG、エタノール、トコフェロール、メチルパラベン、プロピルパラベン、赤106、香料<br>【ご注意】<br>・皮膚あるいは体質に異常がある場合は、ご使用をおやめ下さい。<br>・使用中や使用後に、皮膚に発疹、かゆみ、刺激感等の異常があらわれた場合は、使用を中止し、皮膚科医に相談する。使い続けると症状が悪化することがある。<br>・原液が目に入らないようにご注意ください。目に入った場合は、すぐに充分洗い流して下さい。<br>・本品は飲めません。飲み込んだ時は、水を飲ませる等の処置を行って下さい。<br>・幼小児の手の届く所、高温の所には置かないで下さい。<br>・キャップだけつかんで持ち上げると、ボトルが外れて落ちることがありますので、ご使用時は必ずボトルを持って下さい。<br>・入浴以外の用途には使わないで下さい。<br>・本品には浴槽・風呂釜を傷めるイオウは入っておりません。<br>・残り湯は洗濯にも使えますが、以下の場合は清水をお使い下さい。<br>(1)すすぎや柔軟仕上げ剤を使う時<br>(2)つけおき洗いをする時やおしゃれ着洗い用の洗剤を使う時<br>(3)おろしたての衣料を洗う時<br>・上がり湯は必要ありません。<br><br>【ブランド】<br>ビオレU(ビオレユー)<br><br>【発売元、製造元、輸入元又は販売元】<br>花王<br><br><font color='red'>ヘアケア、スキンケア用品　0120-165-692<br>ハミガキ、ハブラシ、入浴剤、温熱シート、サクセス　0120-165-696<br>飲料（ヘルシア）　0120-165-697<br>紙おむつ、生理用品　0120-165-695<br>洗濯、掃除、食器洗い用品　0120-165-693<br>ペットケア　0120-165-696<br>ニベア、８×４（エイトフォー）0120-165-699<br></font><br><br>/(/F227203/F258705/F227203/F269406/)/<br><br>花王<br>131-8501 墨田区文花2-1-3 生活者コミュニケーションセンター 消費者相談室　※電話番号は商品詳細参照<br><br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[入浴剤/ブランド：ビオレU(ビオレユー)/],ビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用((480mL))【kao1610T】【ビオレU(ビオレユー)】[入浴剤 花王]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用((480mL))【kao1610T】【ビオレU(ビオレユー)】[入浴剤 花王],ビオレU(ビオレユー) / 入浴剤 花王。ビオレｕ角層まで浸透バスミルクミルクローズの香りつめかえ用((480mL))【kao1610T】【ビオレU(ビオレユー)】[入浴剤 花王][rn]
14-79607,http://tshop.r10s.jp/soukai/cabinet/10/4947990111810.jpg?fitin=700:700,2240.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,ゲルマニウム温浴器 スリムストーン(480g)【スリムストーン】[入浴剤]【送料無料】,スリムストーン / 入浴剤☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞バス・洗面＞入浴剤＞ゲルマニウム温浴＞ゲルマニウム温浴器 スリムストーン (480g)<br><br>☆送料無料☆<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z10/z4947990111810.jpg' width='100%'><br><br>【ゲルマニウム温浴器 スリムストーンの商品詳細】<br>●自宅のお風呂でゲルマニウム温浴。<br>●蛇口にヒモを引っかけてください。又は本体そのままを湯船の底に置き、その後お湯を張り入浴してください。<br>(個人差がありますが入浴後も心地よい汗が出ます。)<br>・他の入浴剤と併用されても問題ありません。<br><br><br>【ご使用後のお手入れ】<br>・1週間に1度の感覚でケースから本体を取り出し軽く水洗いをしてから天日干ししてください。<br><br>【素材・品質】本体・・・ゲルマニウム鉱石(250g)、角閃石(50g)、蛇紋岩(20g)、アルミナセラミックホール(60g)、不繊布<br>ケース・・・PP樹脂<br>紐・・・ナイロン<br>吸盤・・・PVC、ノンフタル酸<br>商品重量・・・480g<br>サイズ・・・約117×50×175mm<br><br><br>【ブランド】<br>スリムストーン<br><br>【発売元、製造元、輸入元又は販売元】<br>満天社<br><br><font color='red'>画像はイメージ画像の為、実際の商品とはパッケージデザイン等が多少異なる場合がございます。予めご了承願います。</font><br><br>(0.48kg)<br><br>/(/F213107/)/<br><br>満天社<br>547-0012 大阪市平野区長吉六反2丁目3-57<br>06-6708-7744<br><br>広告文責：株式会社爽快ドラッグ<br><br>[入浴剤/ブランド：スリムストーン/],ゲルマニウム温浴器 スリムストーン(480g)【スリムストーン】[入浴剤]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションゲルマニウム温浴器 スリムストーン(480g)【スリムストーン】[入浴剤]【送料無料】,スリムストーン / 入浴剤☆送料無料☆。ゲルマニウム温浴器 スリムストーン(480g)【スリムストーン】[入浴剤]【送料無料】[rn]
14-79608,http://tshop.r10s.jp/soukai/cabinet/45/4901559211045.jpg?fitin=700:700,319.2000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,バスキング 汗だしトウガラシ グレープフルーツの香り(450g)【バスキング】[入浴剤],バスキング / 入浴剤★税抜1900円以上で送料無料★,お店TOP＞バス・洗面＞入浴剤＞発汗入浴剤＞バスキング 汗だしトウガラシ グレープフルーツの香り (450g)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：(医薬部外品)<br><br>【バスキング 汗だしトウガラシ グレープフルーツの香りの商品詳細】<br>●トウガラシ成分(トウガラシチンキ)がお肌をいたわりながら、温感を高めます。<br>●ミネラル有効成分(炭酸水素ナトリウム、硫酸ナトリウム)が体表面に保温ベールをつくり、温浴効果が高まり血行が促進され、冷え性や肩のこり等に効果的です。また、湯上り後もポカポカとしたあたたかさが持続します。<br>●天然コラーゲンが、かさつきがちなお肌をしっとりさせます。<br><br>【効能・効果】<br>・冷え性、肩のこり、疲労回復、腰痛、神経痛、リウマチ、しもやけ、にきび、痔、ひび、あかぎれ、荒れ性、しっしん、あせも<br><br>【使用方法】<br>・家庭用浴槽の湯(約200L)に本品30gを入れ、よくかき混ぜてから入浴して下さい。キャップの内枠一杯が約30gです。浴槽の大きさや湯の量に応じて適宜増減して下さい。<br><br>【成分・分量】<br>有効成分・・・炭酸水素ナトリウム、硫酸ナトリウム<br>その他の成分・・・無水ケイ酸、加水コラーゲン末、トウガラシチンキ、エタノール、無水チオ硫酸ナトリウム、香料、赤色106号、黄色5号<br><br>【使用上の注意】<br>・皮膚あるいは体質に異常がある場合は医師に相談してご使用ください。<br>・使用中や使用後、皮膚に発疹、発赤、かゆみ、刺激等の異常があらわれた場合、使用を中止し、医師にご相談下さい。<br>・本品は食べられません。万一飲み込んだ場合は、水を飲ませるなどの処置を行ってください。<br>・浴槽、風呂釜をいためるイオウは入っておりません。<br>・残り湯は、洗濯にもお使いになれますが、すすぎは清水で行ってください。ただし、柔軟仕上げ剤との併用、おろしたての衣類の洗濯、つけおき洗いには使用しないで下さい。<br>・小児の手の届かない所に保管してください。<br>・入浴以外の用途には使用しないでください。<br>・品質保持のため、使用後はフタをきちっと閉め、多湿の場所には保管しないでください。<br>・自動計量充填ですので、空間があっても内容量は表示の通りです。<br><br>【ブランド】<br>バスキング<br><br>【発売元、製造元、輸入元又は販売元】<br>白元アース<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br><font color='red'>画像はイメージ画像の為、実際の商品とはパッケージデザイン等が多少異なる場合がございます。予めご了承願います。</font><br><br>(0.45kg)<br><br>/(/F213107/F201704/)/<br><br>白元アース<br>110-0015 東京都台東区東上野2-21-14<br>03-5681-7691<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[入浴剤/ブランド：バスキング/],バスキング 汗だしトウガラシ グレープフルーツの香り(450g)【バスキング】[入浴剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションバスキング 汗だしトウガラシ グレープフルーツの香り(450g)【バスキング】[入浴剤],バスキング / 入浴剤★税抜1900円以上で送料無料★。バスキング 汗だしトウガラシ グレープフルーツの香り(450g)【バスキング】[入浴剤][rn]
14-79609,http://tshop.r10s.jp/soukai/cabinet/30/4548514135130.jpg?fitin=700:700,332.0000,,日用品雑貨・文房具・手芸 > バス用品 > 入浴剤,バスクリン 薬湯 じっくり保温浴(600g)【バスクリン】[入浴剤],バスクリン / 入浴剤★税抜1900円以上で送料無料★,お店TOP＞バス・洗面＞入浴剤＞入浴剤 ハーブ＞バスクリン 薬湯 じっくり保温浴 (600g)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：(医薬部外品)<br><br>【バスクリン 薬湯 じっくり保温浴の商品詳細】<br>●体ぽかぽか。生薬温浴から。<br>●ショウガ成分(保湿成分)2倍配合(当社比)<br>●9つの植物エキス(保湿成分)配合<br>ショウガ、ニンジン、トウキ、クララ、シャクヤク、エイジツ、ワレモコウ、クワ、アロエ<br>●手足の冷え・腰痛に<br>●和漢イエローのお湯(透明タイプ)<br>●フローラルジンジャーの香り<br><br>【効能・効果】<br>・冷え症、腰痛、疲労回復、肩のこり、神経痛、リウマチ、うちみ、くじき<br><br>【使用方法】<br>・お風呂のお湯(200L)に30gの割合でよくかき混ぜながら溶かしてください。<br>・計量にはキャップをご使用ください。(容器のフタの模様入り部分が約20gです。約30g使用する場合は一杯半が目安です)<br><br>【成分】<br>有効成分・・・センキュウ末、乾燥硫酸ナトリウム、炭酸水素Na<br>その他の成分・・・L-グルタミン酸ナトリウム、ショウキョウチンキ、人参エキス、トウキエキス-1、クララエキス-1、シャクヤクエキス、エイジツエキス、ワレモコウエキス、桑エキス、アロエエキス-1、BG、無水ケイ酸、香料、赤227、黄5<br>【使用上の注意】<br>・皮膚又は体質的に異常がある倍は、医師に相談の上ご使用ください。<br>・使用中や使用後、皮膚に湿疹、発赤、かゆみ、刺激感等の異常が現われた場合、使用を中止し、医師にご相談ください。<br>・本品は食べられません。万一大量に飲み込んだ場合は、水を飲ませる等の処置をし、医師にご相談ください。<br>・本品と他の入浴剤の併用はお避けください。<br>・入浴以外の用途には使用しないでください。<br>・本品には浴槽・風呂釜をいためるイオウは入っていません。<br><br>【残り湯についての注意】<br>・残り湯は洗濯に使用できますが、すすぎは清水で行ってください。ただし次の場合は使用しないでください。<br>1.柔軟仕上げ剤との併用<br>2.おろしたての衣料<br>3.大切な衣料等の洗濯<br>4.つけおき<br>・残り湯には無機塩が多く含まれていますので、鉢植えや大切な植物への水やりに使わないでください。<br><br>【ブランド】<br>バスクリン<br><br>【発売元、製造元、輸入元又は販売元】<br>バスクリン<br><br><font color='red'>リニューアルに伴い、パッケージ・内容等予告なく変更する場合がございます。予めご了承ください。</font><br><br>/(/F242803/F259703/F224704/F201708/)/<br><br>バスクリン<br>108-0023　東京都港区芝浦4-3-4　田町きよたビル4F<br>0120-39-8496<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[入浴剤/ブランド：バスクリン/],バスクリン 薬湯 じっくり保温浴(600g)【バスクリン】[入浴剤]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションバスクリン 薬湯 じっくり保温浴(600g)【バスクリン】[入浴剤],バスクリン / 入浴剤★税抜1900円以上で送料無料★。バスクリン 薬湯 じっくり保温浴(600g)【バスクリン】[入浴剤][rn]
