14-159301,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01482479/01537591/td137drmxw_01.jpg?fitin=700:700,28031.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,【送料無料】 マキタ 充電式インパクトドライバー 14.4V/3.0Ah バッテリ２個・充電器付 ＜TD137DRFXW ・白＞ 【充電式電動ドライバー セット品 女性 電池式 小型 コンパクト 電動ドライバードリル 電動ドリル 電気ドリル】,おすすめ 人気 電動工具 安い コードレスドリル 価格,"<br><img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/01482479/01537591/td148dz_p01.jpg""><br><br>


<br><img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/01482479/01537591/td147dr_p09.jpg""><br><br>

マキタのインパクトドライバーがさらにコンパクトになりました！<br />
従来の機能は勿論。ビットブレ低減で安定性が増しました。<br />
たっぷり3.0Ahバッテリが２個付属されているので、<br />充電交換しながら長時間作業が可能です。<br />
<br />
■特徴<BR>
・革命的ショートボディに、究極のパワーとスピード<BR>
・ビットブレ低減<BR>
・ニードルベアリングを採用し、アンビル周辺のクリアランスを見直すことで、長いビットでも回転精度が向上<BR>
・打撃力3段切替＆バッテリー残容量表示<BR>
・用途に応じた最適な打撃力に切替。ネジ締めのミスを軽減。<BR>
・LEDライト(回転前点灯＆残照機能付+ON/OFFスイッチ)<BR>
・畜光バンパー<BR>
・ワンタッチビット装着<BR>
<BR>
■仕様<BR>

<table >
<tr>
<td colSpan=""2"">
モデルNo.</td>
<td colSpan=""4"">TD137D</td>
</tr>
<tr>
<td >
最大締付トルク(N・m)</td>
<td colSpan=""4"">170</td>
</tr>
<tr>
<td>
締付け能力(mm)</td>
<td>
小ネジ</td>
<td colSpan=""4"">M4～M8</td>
</tr>
<tr>
<td >
普通ボルト</td>
<td colSpan=""4"">M5～M16</td>
</tr>
<tr>
<td>
コーススレッド</td>
<td colSpan=""4"">22～125</td>
</tr>
<tr>
<td>
高力ボルト</td>
<td colSpan=""4"">M5～M14</td>
</tr>
<tr>
<td>
打撃モード</td>
<td >強</td>
<td >中</td>
<td >弱</td>
<td >テクス用</td>
</tr>
<tr>
<td>
回転数(min-1)[回転/分]</td>
<td>0～3400</td>
<td>0～2100</td>
<td>0～1100</td>
<td>0～3400</td>
</tr>
<tr>
<td>
打撃数(min-1)[回/分]</td>
<td>0～3600</td>
<td>0～2600</td>
<td>0～1100</td>
<td>0～2600</td>
</tr>
<tr>
<td>
全長(mm)</td>
<td colSpan=""4"">119</td>
</tr>
<tr>
<td>
質量(kg)(バッテリー含)</td>
<td colSpan=""4"">1.3</td>
</tr>
<tr>
<td colSpan=""2"">
標準付属品</td>
<td colSpan=""4"">(+)ビット2-65、フック</td>
</tr>
</table>

<br /><br /><img src=""http://www.rakuten.ne.jp/gold/auc-mikawa-kiko/img/page/reviewbnr_01.jpg"">",【送料無料】 マキタ 充電式インパクトドライバー 14.4V/3.0Ah バッテリ２個・充電器付 ＜TD137DRFXW ・白＞ 【充電式電動ドライバー セット品 女性 電池式 小型 コンパクト 電動ドライバードリル 電動ドリル 電気ドリル】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー【送料無料】 マキタ 充電式インパクトドライバー 14.4V/3.0Ah バッテリ２個・充電器付 ＜TD137DRFXW ・白＞ 【充電式電動ドライバー セット品 女性 電池式 小型 コンパクト 電動ドライバードリル 電動ドリル 電気ドリル】,おすすめ 人気 電動工具 安い コードレスドリル 価格。【送料無料】 マキタ 充電式インパクトドライバー 14.4V/3.0Ah バッテリ２個・充電器付 ＜TD137DRFXW ・白＞ 【充電式電動ドライバー セット品 女性 電池式 小型 コンパクト 電動ドライバードリル 電動ドリル 電気ドリル】[rn]
14-159302,http://tshop.r10s.jp/auc-mikawa-kiko/cabinet/01661949/01661953/wh14dkl-nn-l-02.jpg?fitin=700:700,11195.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,日立工機 コードレスインパクトドライバー ＜WH18DKLNNL＞ 18V 3.0Ah 本体のみ アグレッシブグリーン 【充電式電動ドライバー 電池式 小型 電動ドライバードリル 電動ドリル 激安 人気　16200円以上は 送料無料】,電動工具 通販 おすすめ コードレスドリル 電気ドリル,"<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/01661949/01661953/wh14dkl_02.jpg""><br><br>


<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/01661949/01661953/wh14dkl2lsck_03.jpg""><br><br>




<img src=""http://image.rakuten.co.jp/auc-mikawa-kiko/cabinet/01661949/01661953/wh14dknn_010.jpg""><br><br>",日立工機 コードレスインパクトドライバー ＜WH18DKLNNL＞ 18V 3.0Ah 本体のみ アグレッシブグリーン 【充電式電動ドライバー 電池式 小型 電動ドライバードリル 電動ドリル 激安 人気　16200円以上は 送料無料】：三河機工 楽天市場店,マキタmakita日立HITACHIリュービRYOBIタジマTAJIMA日動NICHIDOボッシュBOSCHロブテックスLOBSTERインパクトドライバ電動クリーナーバリカン消臭液グラインダー日立工機 コードレスインパクトドライバー ＜WH18DKLNNL＞ 18V 3.0Ah 本体のみ アグレッシブグリーン 【充電式電動ドライバー 電池式 小型 電動ドライバードリル 電動ドリル 激安 人気　16200円以上は 送料無料】,電動工具 通販 おすすめ コードレスドリル 電気ドリル 。日立工機 コードレスインパクトドライバー ＜WH18DKLNNL＞ 18V 3.0Ah 本体のみ アグレッシブグリーン 【充電式電動ドライバー 電池式 小型 電動ドライバードリル 電動ドリル 激安 人気　16200円以上は 送料無料】[rn]
14-159303,http://tshop.r10s.jp/auc-bearworld/cabinet/03255306/imgrc0067764185.jpg?fitin=700:700,24624.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFXB 黒　3.0Ah電池タイプ,,"送料無料：北海道、九州、沖縄及び離島は除く<br>
北海道、九州への発送は送料が別途324円かかります。
<br><br>

【特長】<br>
●ベーシックタイプ、さらに高性能<br>
●パワーアップ・小型化の基本性能に加え、タフ性能も向上。<br><br>

 【仕様】<br>
●最大締付けトルク 160N・m<br>
●締付け能力 小ねじ M4～M8/ボルト M5～M14/コーススレッド 22～125mm/高力ボルト M5～M12<br>
●回転数 0～2400(min-1)[回転/分]<br>
●打撃数 0～3200(min-1)[回転/分]<br>
●全長 135mm<br>
●質量1.4kg(バッテリ含む)。<br>
●標準付属品 プラスビット2-65、フック。<br>
●1充電当たりの作業量(目安)/ネジ締め：木ネジΦ4.3×65mm 約260本、木ネジΦ5.4×90mm 約150本、小ネジM8×16mm 約1600本<br><br>

●セット品：バッテリBL1430(14.4V 3.0Ah)×2本、充電器DC18RC、ケース付",【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFXB 黒　3.0Ah電池タイプ：ベアーワールド,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFXB 黒　3.0Ah電池タイプ,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFXB 黒　3.0Ah電池タイプ[rn]
14-159304,http://tshop.r10s.jp/auc-bearworld/cabinet/03255306/imgrc0065643964.jpg?fitin=700:700,19984.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,【送料無料】マキタ　26mm ハンマドリル(SDSプラスシャンク)　HR2631F,,"送料無料：北海道、九州、沖縄及び離島は除く<br>
北海道、九州への発送は送料が別途３２４円かかります。<br><br>


マキタ　26mm ハンマドリル(SDSプラスシャンク)　HR2631F",【送料無料】マキタ　26mm ハンマドリル(SDSプラスシャンク)　HR2631F：ベアーワールド,【送料無料】マキタ　26mm ハンマドリル(SDSプラスシャンク)　HR2631F,【送料無料】マキタ　26mm ハンマドリル(SDSプラスシャンク)　HR2631F[rn]
14-159305,http://tshop.r10s.jp/auc-bearworld/cabinet/03255306/imgrc0067585054.jpg?fitin=700:700,24464.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFX 青　3.0Ah電池タイプ,,"送料無料：北海道、九州、沖縄及び離島は除く<br><br>

【特長】<br>
●ベーシックタイプ、さらに高性能<br>
●パワーアップ・小型化の基本性能に加え、タフ性能も向上。<br><br>

 【仕様】<br>
●最大締付けトルク 160N・m<br>
●締付け能力 小ねじ M4～M8/ボルト M5～M14/コーススレッド 22～125mm/高力ボルト M5～M12<br>
●回転数 0～2400(min-1)[回転/分]<br>
●打撃数 0～3200(min-1)[回転/分]<br>
●全長 135mm<br>
●質量1.4kg(バッテリ含む)。<br>
●標準付属品 プラスビット2-65、フック。<br>
●1充電当たりの作業量(目安)/ネジ締め：木ネジΦ4.3×65mm 約260本、木ネジΦ5.4×90mm 約150本、小ネジM8×16mm 約1600本<br><br>

●セット品：バッテリBL1430(14.4V 3.0Ah)×2本、充電器DC18RC、ケース付",【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFX 青　3.0Ah電池タイプ：ベアーワールド,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFX 青　3.0Ah電池タイプ,【送料無料】マキタ　インパクトドライバー　【APT/ブラシ8レス】14.4V充電式インパクトドライバー　TD138DRFX 青　3.0Ah電池タイプ[rn]
14-159306,http://tshop.r10s.jp/lamd/cabinet/00171502/img63135817.jpg?fitin=700:700,5636.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,RYOBI　リョービ　充電式ドライバドリル　BD-361,,"・ネジ締め能力：(木ネジ)3.8mm×38mm (小ネジ)M4　
・最大トルク：5N・m　
・穴あけ能力：(鉄工)5mm　(木工)6mm 
・クラッチ数：11段 
・クラッチ作動トルク：0.9～2.0N・m 　
・電圧：DC3.6V（リチウムイオン電池） 
・容量：1300mAh 
・充電時間：60分 
・本体寸法： (ストレート型時)長さ282×幅45×高さ53mm (ピストル型時)長さ227×幅45×高さ132mm 
・質量：0.48kg(内蔵電池含む)",RYOBI　リョービ　充電式ドライバドリル　BD-361：アークランド楽天市場ショップ,工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品RYOBI　リョービ　充電式ドライバドリル　BD-361,RYOBI　リョービ　充電式ドライバドリル　BD-361[rn]
14-159307,http://tshop.r10s.jp/lamd/cabinet/00171502/img59990212.jpg?fitin=700:700,7936.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,【送料無料】BOSCH[ボッシュ]１８Ｖバッテリー工具バッテリーインパクトドライバー　PDR 18LIH／本体のみ,,"ブランド名 BOSCH[ボッシュ] 
<BR>
商品名 バッテリーインパクトドライバー PDR 18LIH本体のみ、バッテリー・充電器は別売）
<BR>
ハイパワー＆ジャストフィット！DIY機トップクラスのハイパフォーマンスモデル<BR>
・最大締め付けトルク130N・m<BR>
・スリムライングリップ<BR>
・軽量1.25kg(別売のバッテリー含む)<BR>
※品質向上のため予告無く仕様を変更する場合がございます。
※商品画像の色合いは、画像処理上　若干異なる場合がございます。予めご了承下さい。 
※パッケージリニューアル等につき、商品画像が異なる場合がございます。予めご了承下さい。",【送料無料】BOSCH[ボッシュ]１８Ｖバッテリー工具バッテリーインパクトドライバー　PDR 18LIH／本体のみ：アークランド楽天市場ショップ,工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品【送料無料】BOSCH[ボッシュ]１８Ｖバッテリー工具バッテリーインパクトドライバー　PDR 18LIH／本体のみ,【送料無料】BOSCH[ボッシュ]１８Ｖバッテリー工具バッテリーインパクトドライバー　PDR 18LIH／本体のみ[rn]
14-159308,http://tshop.r10s.jp/townland-neo/cabinet/other/cdd-1020-sou.jpg?fitin=700:700,5744.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,RYOBI(リョービ)　ドライバドリル(電動ドライバードリル)　電動工具・DIYツール【RCP】　CDD-1020,工具の組み立てに役立つ。リョービのドライバドリル,"※この商品は「送料区分：小型商品」です。<BR>
<BR>
【数量限定】<BR>
<BR>
リョービ　ドライバドリル　CDD-1020 (CDD1020)<BR>
<BR>
●最大トルク 30N・m（ドリルポジション・低速）<BR>
●2スピードギヤボックス採用<BR>
●無段変速・正逆切換スイッチ<BR>
●20段クラッチで細かいトルク調節<BR>
●キーレスチャック付<BR>
<BR>
■最大穴あけ能力：鉄工 8mm、木工 21mm<BR>
■ネジ締め能力：木ネジ 5.1×40mm<BR>
■チャック能力：0.8～10mm<BR>
■最大トルク:(ドリルポジション)<BR>
・高速 8.3N・m<BR>
・低速 30N・m<BR>
■クラッチ：20段＋ドリル<BR>
■クラッチトルク：0.8～4.4N・m<BR>
■回転数：<BR>
・高速 0～1,000min-1<BR>
・低速 0～300min-1<BR>
■電源：単相100V<BR>
■電流：1.8A<BR>
■消費電力：160W<BR>
■質量：1.0kg<BR>
■サイズ：長さ220×幅62×高さ180mm <BR>
<BR>
■付属品<BR>
・＋ドライバビット（No.2×65mm）<BR>
<BR>
【送料について】<BR>
数量・決済方法等によりましては、別途、追加送料等が必要な場合がございます。<BR>
<BR>
・DIYで活躍！電気ドライバードリル<BR>
・電源コード式で安定した電力供給",RYOBI(リョービ)　ドライバドリル(電動ドライバードリル)　電動工具・DIYツール【RCP】　CDD-1020：タウンランドNEO　Townland　Neo,RYOBI(リョービ)　ドライバドリル(電動ドライバードリル)　電動工具・DIYツール【RCP】　CDD-1020,工具の組み立てに役立つ。リョービのドライバドリル。RYOBI(リョービ)　ドライバドリル(電動ドライバードリル)　電動工具・DIYツール【RCP】　CDD-1020[rn]
14-159309,http://tshop.r10s.jp/townland-neo/cabinet/other/cid-1100.jpg?fitin=700:700,7240.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,RYOBI(リョービ)　電動インパクトドライバ　電動工具・DIYツール【RCP】　CID-1100,工具の組み立てに役立つ。リョービのインパクトドライバ,"※この商品は「送料区分：小型商品」です。<BR>
<BR>
【お取寄せ】<BR>
※この商品はご注文後のお取り寄せとなります。<BR>
※メーカー在庫の関係上、お取り寄せに時間が掛かる場合もございます。あらかじめご了承下さい。<BR>
<BR>
【数量限定】<BR>
<BR>
リョービ　インパクトドライバー　CID-1100 (CID1100)<BR>
<BR>
●クラス最軽量のコンパクトボディ<BR>
●手になじむソフトグリップ<BR>
●堅牢なアルミダイカスト製ギヤケース<BR>
<BR>
■ネジ締め能力：<BR>
・小ネジ M4～M8<BR>
・ボルト M5～M12<BR>
・高力ボルト M5～M10<BR>
■最大締付トルク：110N・m<BR>
■回転数：0～2,400min-1<BR>
■打撃数：0～3,200min-1<BR>
■電源：単相100V<BR>
■電流：2.0A<BR>
■消費電力：180W<BR>
■質量：1.0kg<BR>
■サイズ：長さ199×幅60×高さ183mm<BR>
<BR>
■付属品<BR>
・＋ドライバビット（No.2×65）<BR>
<BR>
【送料について】<BR>
数量・決済方法等によりましては、別途、追加送料等が必要な場合がございます。<BR>
<BR>
・DIYで活躍！電気インパクトドライバー<BR>
・電源コード式で安定した電力供給",RYOBI(リョービ)　電動インパクトドライバ　電動工具・DIYツール【RCP】　CID-1100：タウンランドNEO　Townland　Neo,RYOBI(リョービ)　電動インパクトドライバ　電動工具・DIYツール【RCP】　CID-1100,工具の組み立てに役立つ。リョービのインパクトドライバ。RYOBI(リョービ)　電動インパクトドライバ　電動工具・DIYツール【RCP】　CID-1100[rn]
14-159310,http://tshop.r10s.jp/minatodenk/cabinet/eiger/0001/ig-top-0319.jpg?fitin=700:700,3936.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,ブラック＆デッカー インパクトドライバー EIH183 (マルチエボヘッド) [BLACK&DECKER ブラックアンドデッカー][r11][s1-120],【1万円以上で送料無料】【代引/法人後払い/コンビニ手数料0円】,"<table border=""0"" cellpadding=""8"" cellspacing=""1"" width=""100%"" bgcolor=""#999999"">
<tr>
<td bgcolor=""#F6F6F6"" align=""center"" width=""25%""><font color=""#666666""><b>決済手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=""#FFF3F3"" align=""center""><font color=""#C82626""><b>1万円以上で送料無料</b></font></td>
<td bgcolor=""#FFFFFF"">1万円未満の場合は別途送料が800円発生します。ご了承頂けますよう、お願いします。</td>
</tr>
<tr>
<td bgcolor=""#F9F9FF"" align=""center""><font color=""#3763C7""><b>代引手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き手数料が無料です。代引決済の場合、商品のお引渡し時に代金をお支払い下さい。</td>
</tr>
<tr>
<td bgcolor=""#FEF8F3"" align=""center""><font color=""#EA4D00""><b>4～7営業日後発送予定</b></font></td>
<td bgcolor=""#FFFFFF"">ご注文いただきましてから、およそ4～7営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>


<b>ウッドデッキ作りの長いネジ締めに最適</b><br>

<b>ブラック＆デッカー インパクトドライバー EIH183 (マルチエボヘッド)</b><br><br>

マルチエボシリーズのヘッドアタッチメントです。<br>
ウットデッキ作りの長いネジ締めに最適なインパクトドライバーとしてご使用頂けます。<br>
本品単体でのご使用は頂けませんので、ご注意下さいませ。<br><br>


※B43002に対応<br><br>

<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tr valign=""top"">
<td width=""48%""><b>■仕様</b><br>
<table width=""100%"" border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
   <tr align=""center"" bgcolor=""#FFFFFF"">
     <td bgcolor=""#F0F0F0"">品番</td>
     <td>EIH183</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"" width=""30%"">回転数</td><td>0-3100（回/分）</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"">打撃数</td><td>0-4000（回/分）</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"">最大トルク</td><td>140N・m</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">チャック能力</td>
  <td>6.35mm</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">チャックタイプ</td><td>ワンタッチ</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"">重量</td><td>ヘッド単体のみ：0.6kg</td></tr>
 
</table></td>
<td></td>
<td width=""48%""><b>■最大能力</b><br>
<table width=""100%"" border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"" width=""30%"">木工ネジ締め</td><td>125mm</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"">普通ボルト</td><td>M12mm</td></tr></table><br>
    <b>■最大作業量</b><br>
<table width=""100%"" border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999"">
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"" width=""30%"">パイン材</td><td>φ3.8mm×38mm：約590本<br>φ4.8mm×90mm：約132本</td></tr>
  <tr align=""center"" bgcolor=""#FFFFFF"">
    <td bgcolor=""#F0F0F0"">-</td><td>M8mm×16mm：約559本</td></tr>
</table>
</td>
</tr>
</table><br>
<b>■付属品</b><br>
プラス#2両頭ビット<br>
<br>

マルチエボシリーズ一覧へ
<br><br>
ブラック＆デッカーのカテゴリーへ",ブラック＆デッカー インパクトドライバー EIH183 (マルチエボヘッド) [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ブラック＆デッカー インパクトドライバー EIH183 (マルチエボヘッド) [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120],【1万円以上で送料無料】【代引/法人後払い/コンビニ手数料0円】。ブラック＆デッカー インパクトドライバー EIH183 (マルチエボヘッド) [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120][rn]
14-159311,http://tshop.r10s.jp/minatodenk/cabinet/013/mt-0022153.jpg?fitin=700:700,10480.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,ブラック＆デッカー18V オートマチック・ドリルドライバー AUTO01 [BLACK&DECKER ブラックアンドデッカー][r11][s1-120],【送料無料】【代引/法人後払い/コンビニ手数料0円】,"<table border=""0"" cellpadding=""8"" cellspacing=""1"" width=""100%"" bgcolor=""#999999"">
<tr>
<td bgcolor=""#F6F6F6"" align=""center"" width=""25%""><font color=""#666666""><b>決済手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き・コンビニ・請求書払い（法人向け）の手数料が無料です。</td>
</tr>
<tr>
<td bgcolor=""#FFF3F3"" align=""center""><font color=""#C82626""><b>送料無料(一部地域を除く)</b></font></td>
<td bgcolor=""#FFFFFF"">送料無料です。ただし北海道・沖縄・離島など一部の地域は、別途送料が発生します。</td>
</tr>
<tr>
<td bgcolor=""#F9F9FF"" align=""center""><font color=""#3763C7""><b>代引手数料無料</b></font></td>
<td bgcolor=""#FFFFFF"">代引き手数料が無料です。代引決済の場合、商品のお引渡し時に代金をお支払い下さい。</td>
</tr>
<tr>
<td bgcolor=""#FEF8F3"" align=""center""><font color=""#EA4D00""><b>4～7営業日後発送予定</b></font></td>
<td bgcolor=""#FFFFFF"">ご注文いただきましてから、およそ4～7営業日後の出荷を予定しております。</td>
</tr>
</table>
<br>

<center><font color=""#C00""><b>ネジ締めがオートマチックに止まる</b></font><br><br>オートセンス機能搭載のドリルドライバーです。負荷の変化を感知して、トルク調整しなくてもネジ頭と板が平面になるところで自動で回転を止めます。状況に合わせて、少し深めのネジ締めも可能。穴あけ作業にも最適で、コードレスなので屋外でも力を発揮します。モード切替や充電残量がわかりやすいアイコン表示で便利です。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p1.jpg"" width=""90%""><br><font color=""#FF3300""><b>自動で回転が停止</b></font><br>トルクの調節することなくネジ頭と板がピッタリと停止する自動ネジ締め機能搭載。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p2.jpg"" width=""90%""><br><font color=""#FF3300""><b>深めのネジ締めも可能</b></font><br>より深くネジを締めたいときに1/4回転増し締めが可能です。キーレスチャックは10mmサイズまで対応！<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p3.jpg"" width=""90%""><br><font color=""#FF3300""><b>穴あけに最適なドリルモード</b></font><br>深くネジを埋め込む作業や木工・金工穴あけ作業に最適なドリルモードを搭載。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p4.jpg"" width=""90%""><br><font color=""#FF3300""><b>シンプルな切替ボタン</b></font><br>2ボタンのシンプルデザイン！ネジ締め／ドリルモードの切り替えが一目で分かります。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p5.jpg"" width=""90%""><br><font color=""#FF3300""><b>充電池残量が分かるアイコン</b></font><br>充電のタイミングを把握出来るバッテリー残量ゲージ付です。<br><br><img src=""http://image.rakuten.co.jp/minatodenk/cabinet/013/mt-0022153p6.jpg"" width=""90%""><br><font color=""#FF3300""><b>LED&amp;ビットホルダー付き</b></font><br>暗所でも楽に作業が可能なLED＆ビットホルダー付です。<br><br><table width=""100%"" border=""0"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#999999""><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" width=""15%"">品番</td><td width=""35%"">AUTO01</td><td bgcolor=""#F0F0F0"" width=""15%"">スピンドルロック</td><td width=""35%"">有</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">電圧</td><td>18V</td><td bgcolor=""#F0F0F0"">クラッチ数</td><td>オートマチック</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">バッテリー容量</td><td>1.5Ah</td><td bgcolor=""#F0F0F0"">バッテリー種類</td><td>リチウムイオン充電池</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">最大締付トルク</td><td>16N・m</td><td bgcolor=""#F0F0F0"">バッテリー数</td><td>1</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"" rowspan=""3"">回転数</td><td>ドリルモード：0-800回転/分</td><td bgcolor=""#F0F0F0"" rowspan=""3"">最大能力</td><td>木工：25mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td>ネジ締めモード正転：0-480回転/分</td><td>金工：10mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td>ネジ締めモード逆転：0-800回転/分</td><td>ネジ締め：76mm</td></tr><tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">スイッチタイプ</td> <td>無段変速</td><td bgcolor=""#F0F0F0"">最大作業量</td> <td>φ4.1×32mm約634本</td></tr><tr align=""center"" bgcolor=""#FFFFFF""> <td bgcolor=""#F0F0F0"">チャック能力</td> <td>0-10mm</td><td bgcolor=""#F0F0F0"">本体質量</td> <td>1.23kg</td></tr>   <tr align=""center"" bgcolor=""#FFFFFF""><td bgcolor=""#F0F0F0"">チャックタイプ</td><td>キーレス</td><td bgcolor=""#F0F0F0"">本体サイズ</td><td>170×78×210mm</td></tr></table><br>
■付属品<br>
Φ2.5mmドリルビット<br>50mmビット：プラス(#1、#2)、ポジドライブ#2、マイナス#8、六角(#3、#4、#5、#6)<br>100mmビット：プラス#2、ポジドライブ#2<br>18V1.5Ahリチウムイオンバッテリー×1<br>1A充電器（約80分充電）<br>ビットホルダー<br>キットボックス<br><br></center>",ブラック＆デッカー18V オートマチック・ドリルドライバー AUTO01 [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120]：ミナト電機工業,溶接機コンクリートミキサーエアーコンプレッサー芝刈り機エアーポンプガーデニングチェーンソーバッテリービニールハウス草刈り機井戸ポンプダウントランスエンジンブロワーエーハイム (EHEIM)オレゴン(OREGON)ハスクバーナスズキッドリョービ (RYOBI)安永エアポンプカーツ (KAZZ)ブラック＆デッカー18V オートマチック・ドリルドライバー AUTO01 [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120],【送料無料】【代引/法人後払い/コンビニ手数料0円】。ブラック＆デッカー18V オートマチック・ドリルドライバー AUTO01 [BLACK&amp;DECKER ブラックアンドデッカー][r11][s1-120][rn]
