33-49949,http://tshop.r10s.jp/grandestore/cabinet/christmas/imgrc0063294832.jpg?fitin=700:700,800.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,オーナメント・ベツレヘムの銀の星小　ベツレヘムの星★,【４０００円以上で送料無料】,"<dic class=""table"">
<table width=""600px"" border=""0"" cellpadding=""20"" cellspacing=""0"">
  <tr class=""tabletr"">
    <th class=""tableth"" width=""30%"">商品名</th>
    <td class=""tabletd"" width=""70%"">オーナメント・ベツレヘムの銀の星小
</td>
  </tr>
  <tr>
    <th class=""tableth"">商品説明</th>
    <td class=""tabletd"">ベツレヘムの星は、
 生誕の地ベツレヘムへ導いた星とされ、
 【希望】や【約束が守られた印】などの
意味があります。

 高貴を表す金の星は、
 手作りによる木製の味わいがあります。
 少し高価ですが、
 大切に何年もお楽しみいただける逸品です。

</td>
  </tr>
  <tr>
    <th class=""tableth"">仕様</th>
    <td class=""tabletd"">直径約7.5cm</td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー名</th>
    <td class=""tabletd"">AlbinPreissler </td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー国</th>
    <td class=""tabletd"">ドイツ</td>
  </tr>
  <tr>
    <th class=""tableth"">備考</th>
    <td class=""tabletd"">ラッピング対象外</td>
  </tr>
  <tr>
    <th class=""tableth"">配送に関して</th>
    <td class=""tabletd""><font color=""#ff0000"">※この商品は定形外・メール便には対応しておりません </font></td>
  </tr>
</table>
</div>",オーナメント・ベツレヘムの銀の星小　ベツレヘムの星★：GRANDE 楽天市場店,木のおもちゃ知育玩具ネフボーネルンド積木出産祝いひも通しパズルＨＡＢＡカタミノマグフォーマープラステン木のおもちゃ スロープ知育玩具 紐通しピタゴラスイッチボードゲームファンファンラキューらきゅーままごとオーナメント・ベツレヘムの銀の星小　ベツレヘムの星★,【４０００円以上で送料無料】。オーナメント・ベツレヘムの銀の星小　ベツレヘムの星★[rn]
33-49950,http://tshop.r10s.jp/grandestore/cabinet/christmas/imgrc0063294832.jpg?fitin=700:700,960.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【４０００円以上で送料無料】オーナメント・ベツレヘムの銀の星大　ベツレヘムの星★,,"<dic class=""table"">
<table width=""600px"" border=""0"" cellpadding=""20"" cellspacing=""0"">
  <tr class=""tabletr"">
    <th class=""tableth"" width=""30%"">商品名</th>
    <td class=""tabletd"" width=""70%"">オーナメント・ベツレヘムの銀の星大
</td>
  </tr>
  <tr>
    <th class=""tableth"">商品説明</th>
    <td class=""tabletd"">ベツレヘムの星は、
 生誕の地ベツレヘムへ導いた星とされ、
 【希望】や【約束が守られた印】などの
意味があります。

 高貴を表す金の星は、
 手作りによる木製の味わいがあります。
 少し高価ですが、
 大切に何年もお楽しみいただける逸品です。

</td>
  </tr>
  <tr>
    <th class=""tableth"">仕様</th>
    <td class=""tabletd"">直径約１０cm</td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー名</th>
    <td class=""tabletd"">AlbinPreissler </td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー国</th>
    <td class=""tabletd"">ドイツ</td>
  </tr>
  <tr>
    <th class=""tableth"">備考</th>
    <td class=""tabletd"">ラッピング対象外</td>
  </tr>
  tr>
    <th class=""tableth"">配送について</th>
    <td class=""tabletd""><font color=""#ff0000"">※この商品は定形外・メール便には対応しておりません </font></td>
  </tr>
</table>
</div>",【４０００円以上で送料無料】オーナメント・ベツレヘムの銀の星大　ベツレヘムの星★：GRANDE 楽天市場店,木のおもちゃ知育玩具ネフボーネルンド積木出産祝いひも通しパズルＨＡＢＡカタミノマグフォーマープラステン木のおもちゃ スロープ知育玩具 紐通しピタゴラスイッチボードゲームファンファンラキューらきゅーままごと【４０００円以上で送料無料】オーナメント・ベツレヘムの銀の星大　ベツレヘムの星★,【４０００円以上で送料無料】オーナメント・ベツレヘムの銀の星大　ベツレヘムの星★[rn]
33-49951,http://tshop.r10s.jp/woodwarlock/cabinet/xmas-2012/img60571113.jpg?fitin=700:700,800.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,立体オーナメント　ベツレヘムの星銀の星　立体(小)【おもちゃ歳から】【子どもお誕生日知育玩具プレゼントキッズ子供ゲーム木のおもちゃギフト出産祝い赤ちゃん男の子女の子】,緑に映える木製のオーナメント,"<!--スペースライン-->
<img src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/sp.gif"" width=""320"" height=""1""><BR>

<!--商品説明文ここから-->

<table width=""300"" border=""0"" align=""center"" cellpadding=""3"" cellspacing=""1"" bgcolor=""#CC6600"">
<tr align=""center"" bgcolor=""#FFFFCC"">
    <TD colspan=""2"" bgcolor=""#ffffec""><font color=""#663300"" size=""4""><b><!--商品名-->木製オーナメント<BR>
    銀の星　立体(小)</b></font></TD>
  </tr>
<tr bgcolor=""#FFFFFF"">
    <TD width=""70"" align=""center"" bgcolor=""#FFEECC""><FONT size=""2"">分類</FONT></TD>
    <TD width=""230""><!--分類--><img src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/xmas.gif"" width=""32"" height=""32""><FONT size=""2"">　<IMG src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/ornament.gif"" width=""32"" height=""32"">　クリスマス・オーナメント</FONT></TD>
  </tr><tr bgcolor=""#FFFFFF"">
<td align=""center"" bgcolor=""#FFEECC""><FONT size=""2"">主材料</FONT></td>
<td><FONT size=""2""><!--材料--><img src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/img55572153.gif"" width=""32"" height=""32""> <img src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/img55572441.gif"" width=""32"" height=""32"">　木・ひも</FONT></td>
</tr><tr bgcolor=""#FFFFFF"">
<td align=""center"" bgcolor=""#FFEECC""><FONT size=""2"">サイズ</FONT></td>
<td><!--サイズ--><FONT size=""2"">高さ 約7cm</FONT></td>
</tr><tr bgcolor=""#FFFFFF"">
<td align=""center"" bgcolor=""#FFEECC""><FONT size=""2"">生産国</FONT></td>
<td><!--メーカー--><img src=""https://image.rakuten.co.jp/woodwarlock/cabinet/00746830/img55572152.gif"" width=""32"" height=""32""><FONT size=""2""> ドイツ製</FONT></td>
</tr></table>
<br>
<TABLE width=""300"" border=""0"" align=""center"" cellpadding=""1"" cellspacing=""1"" bgcolor=""#CC6600"">
<tr bgcolor=""#FFFFFF"">
    <TD align=""center""><IMG src=""https://image.rakuten.co.jp/woodwarlock/cabinet/01056964/img56031232.jpg"" width=""300"" height=""30"" border=""0""></TD>
  </tr></TABLE>

<BR>

<!--説明文ここから-->
<TABLE width=""300"" border=""0"" align=""center"" cellpadding=""4"" cellspacing=""1"" bgcolor=""#CC6600"">
  <TBODY>
    <TR bgcolor=""#FFFFFF"">
      <TD><FONT size=""2"">ドイツ製の木製オーナメントです。<BR>
      ヨーロッパの人々は、毎年、少しずつ気に入ったものを買い足して、ツリーに飾ります。 それをこどもたちの世代、その次の世代まで続けられるよう、本物を選ぶ傾向があり、当店では飽きのこないシンプルなデザインながら美しい仕上げの本物志向のオーナメントをご紹介しております。</FONT></TD>
    </TR>
    <TR bgcolor=""#FFFFFF"">
      <TD><FONT size=""2"">細いラインが特徴の星型オーナメント。メタリックなシルバーの塗装と相まってツリーの雰囲気をグッとシックで上品にしてくれます。市販の玉型のオーナメントと組み合わせてもアクセントになって素敵です。</FONT><BR>
      <IMG src=""https://image.rakuten.co.jp/woodwarlock/cabinet/xmas-2012/img60571114.jpg"" width=""300"" height=""200""></TD>
    </TR>
    <TR bgcolor=""#FFFFFF"">
      <TD><FONT size=""2"" color=""#ff0000"">■ご了承下さいませ<BR>
      <B>繊細な商品のため、メール便対応はしておりません</B>。予めご了承下さいませ。<BR>
      </FONT></TD>
    </TR>
  </TBODY>
</TABLE>
<!--商品説明文ここまで-->",立体オーナメント　ベツレヘムの星銀の星　立体(小)【おもちゃ歳から】【子どもお誕生日知育玩具プレゼントキッズ子供ゲーム木のおもちゃギフト出産祝い赤ちゃん男の子女の子】：木のおもちゃウッドワーロック,木のおもちゃネフ社ままごと知育玩具積み木ボードゲームキッチンニキティキ出産祝いLAQシャボン玉チェーリングカプラオーボールプラステンモビールおしゃぶり三輪車皇室ドイツ立体オーナメント　ベツレヘムの星銀の星　立体(小)【おもちゃ歳から】【子どもお誕生日知育玩具プレゼントキッズ子供ゲーム木のおもちゃギフト出産祝い赤ちゃん男の子女の子】,緑に映える木製のオーナメント。立体オーナメント　ベツレヘムの星銀の星　立体(小)【おもちゃ歳から】【子どもお誕生日知育玩具プレゼントキッズ子供ゲーム木のおもちゃギフト出産祝い赤ちゃん男の子女の子】[rn]
33-49952,http://tshop.r10s.jp/little-mammy/cabinet/new2009/mammy2015/red_small01.jpg?fitin=700:700,800.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星小［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,木製オーナメント【ベツレヘムの赤い星小】クリスマス,"<font color=""RED"">入荷しました！<br><br>
</font><br>
キリスト生誕の時。<br>
東方の３人の賢者は、そのことを<br>
夜空に突如として現れた大きな星の<br>　
輝きによって知りました。　<br>
ベツレヘムの星は、<br>
生誕の地ベツレヘムへ導いた星とされ、<br>
【希望】や【約束が守られた印】などの<br>
意味があります。<br>
<br>
クリスマスを象徴する美しい赤の星は、<br>
手作りによる木製の味わいがあります。<br>
少し高価ですが、<br>
大切に何年もお楽しみいただける逸品です。<br>
<br><br>
<br>
☆こんなお話を聞きました。。☆<br>
<br>
嫁ぎ先のお母様から、初めてのクリスマスに、<br>
とても素敵な25個のオーナメントを<br>
プレゼントされたそうです。<br>
<br>
聞くとそれは、息子さんのために1年に1個は、<br>
上質なオーナメントを買って、<br>
毎年ツリーに飾ってきたものだそう。<br>
<br>
26歳になった息子さんの新しいご家庭に、<br>
大切に受け継がれたオーナメントも、<br>
きっと、初めてのクリスマスに、<br>
1個のオーナメントに喜んだ、<br>
小さなお子さまの笑顔から始まったのだと思います。<br><br>
お届けする1個の星がそんな大切なオーナメントに<br>
なってくれるとうれしいなぁと思いました。<br>
<br>
★・★ベツレヘムの星のお箱ご希望承ります。★・★<br>
ベツレヘムの星は、メーカーからの出荷用に、<br>
大は[4個入り]小は[6個入り]のお箱に入った状態で<br>
当店に届きます。備考欄に「星の箱希望」等お書き添え<br>
頂きましたら出荷時に箱に入れた状態で、<br>
発送させて頂きます。お気軽にお申し付けください。<br>
※金・銀・赤・ブロンズのみナチュラルは除きます。<br><br>
<img src=""http://image.rakuten.co.jp/little-mammy/cabinet/03484206/img61364129.jpg"" alt="""" height=""150"" width=""150"" border=""0"">
<img src=""http://image.rakuten.co.jp/little-mammy/cabinet/03484206/img61364130.jpg"" alt="""" height=""150"" width=""150"" border=""0""><BR>
※厚紙の白い箱です。左が小。右が大。<BR>
★・★・★・★・★・★・★・★・★・★・★・★・★・★
<br><br><font color=""RED"">
☆【ベツレヘムの星】は当店独自の商品名です。<br>
※商標登録出願中</font><br>
<br>

ブランド : ERZ<br>
原産国 : ドイツ<br>
サイズ:約7cm<br>
備考(素材等)：木製<br>
発送状況 : 通常 1日～1週間以内<br>　<BR><BR><font size=""-1"" color=""green"">
<b><big>オーナメントなど盛り沢山の<br>
【クリスマスマーケット】は、こちら♪<BR></FONT></b></big>
<BR><div id=""migi-obi"">
 
 <style type=""text/css"">
 #migi-obi * {
 margin: 0;
 padding: 0;
 outline: 0;
 background: url(""https://image.rakuten.co.jp/little-mammy/cabinet/new2009/2016/event052007.jpg"") repeat-y right top ;
 }
 #migi-obi a {
 position: absolute;
 top:80px;
 right:0px;
 height:15000px;/*ページ全体の高さ*/
width: 120px;/*帯の幅*/
}
</style>
</div>",【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星小［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！：りとるまみい［木のおもちゃ雑貨］,りとるまみいリトルマミイクリスマスツリーベツレヘムの星オーナメントボーネルンド知育玩具ひな人形五月人形木のおもちゃ絵本棚ネフnaef絵本リトルタイクス積み木三輪車ラジオフライヤーしゃぼん玉雑貨【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星小［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,木製オーナメント【ベツレヘムの赤い星小】クリスマス。【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星小［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！[rn]
33-49953,http://tshop.r10s.jp/depot-netshop/cabinet/xmas/02548093/img63706157.jpg?fitin=700:700,960.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【ブロンズの星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント【ベツレヘムの星】,【ブロンズの星（大）】ERZ　　　ドイツ製　木製,"<TABLE WIDTH=""590"" BORDER='1' CELLPADDING='3' CELLSPACING='0' align=""center"">
<TR><TD colspan=""2"" bgcolor=""#E6F8CB"" align=""center""><FONT color=""#666666"" SIZE=""2"">商　品　仕　様</FONT></TD></TR>
<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#555555"">メーカー
</FONT></TD><TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#555555"">
ドイツ</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">素材</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">木製</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">サイズ・容量</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">直径：100mm</FONT>
</TD>
</TR>
</TABLE>
イツ、エルツ地方で丁寧に一つ一つ手作りされた立体の星は、<br>キリストの降誕を



知らせたと言われる星、<br>ベツレヘムの星にちなみツリーの先端に飾るのに最適<br>",【ブロンズの星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント【ベツレヘムの星】：木のおもちゃ　デポー,デポー木のおもちゃ五月人形積み木知育玩具子ども家具子ども食器木のままごと出産祝い木の時計内祝オーガニックオーガニック　コットンお歳暮赤ちゃんギフト雑貨ベビー用品端午の節句おしゃぶり小黒三郎【ブロンズの星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント【ベツレヘムの星】,【ブロンズの星（大）】ERZ　　　ドイツ製　木製。【ブロンズの星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント【ベツレヘムの星】[rn]
33-49954,http://tshop.r10s.jp/depot-netshop/cabinet/xmas/02548093/img58188572.jpg?fitin=700:700,960.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【金の星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント　【ベツレヘムの星】,【金の星（大）】ERZ　　　ドイツ製　木製,"<TABLE WIDTH=""590"" BORDER='1' CELLPADDING='3' CELLSPACING='0' align=""center"">
<TR><TD colspan=""2"" bgcolor=""#E6F8CB"" align=""center""><FONT color=""#666666"" SIZE=""2"">商　品　仕　様</FONT></TD></TR>
<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#555555"">メーカー
</FONT></TD><TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#555555"">
ドイツ</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">素材</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">木製</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">サイズ・容量</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">直径：100mm</FONT>
</TD>
</TR>
</TABLE>
ドイツ、エルツ地方で丁寧に一つ一つ手作りされた立体の星は、<br>キリストの降誕を



知らせたと言われる星、<br>ベツレヘムの星にちなみツリーの先端に飾るのに最適<br>",【金の星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント　【ベツレヘムの星】：木のおもちゃ　デポー,デポー木のおもちゃ五月人形積み木知育玩具子ども家具子ども食器木のままごと出産祝い木の時計内祝オーガニックオーガニック　コットンお歳暮赤ちゃんギフト雑貨ベビー用品端午の節句おしゃぶり小黒三郎【金の星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント　【ベツレヘムの星】,【金の星（大）】ERZ　　　ドイツ製　木製。【金の星（大）】　ERZ　　　ドイツ製　木製　クリスマス　ツリー　オーナメント　【ベツレヘムの星】[rn]
33-49955,http://tshop.r10s.jp/depot-netshop/cabinet/xmas/02548093/img58188571.jpg?fitin=700:700,800.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【銀の星（小）】　ERZ　　クリスマスツリー　オーナメント【ベツレヘムの星】,シックな雰囲気のドイツ製クリスマスツリー飾り,"<TABLE WIDTH=""250"" BORDER='1' CELLPADDING='3' CELLSPACING='0' align=""center"">
<TR><TD colspan=""2"" bgcolor=""#E6F8CB"" align=""center""><FONT color=""#666666"" SIZE=""2"">商　品　仕　様</FONT></TD></TR>
<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#555555"">メーカー
</FONT></TD><TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#555555"">
ドイツ</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">素材</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">木製</FONT>
</TD></TR>

<TR><TD BGCOLOR=""#ffffcc""><FONT SIZE=""2"" color=""#666666"">サイズ・容量</FONT></TD>
<TD BGCOLOR=""#ffffff""><FONT SIZE=""2"" color=""#666666"">直径：75mm</FONT>
</TD></TR>

</TABLE>
<br>",【銀の星（小）】　ERZ　　クリスマスツリー　オーナメント【ベツレヘムの星】：木のおもちゃ　デポー,デポー木のおもちゃ五月人形積み木知育玩具子ども家具子ども食器木のままごと出産祝い木の時計内祝オーガニックオーガニック　コットンお歳暮赤ちゃんギフト雑貨ベビー用品端午の節句おしゃぶり小黒三郎【銀の星（小）】　ERZ　　クリスマスツリー　オーナメント【ベツレヘムの星】,シックな雰囲気のドイツ製クリスマスツリー飾り。【銀の星（小）】　ERZ　　クリスマスツリー　オーナメント【ベツレヘムの星】[rn]
33-49956,http://tshop.r10s.jp/grandestore/cabinet/christmas/imgrc0065864619.jpg?fitin=700:700,960.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【４０００円以上で送料無料】オーナメント・ベツレヘムのブロンズの星大　ベツレヘムの星★,,"<dic class=""table"">
<table width=""600px"" border=""0"" cellpadding=""20"" cellspacing=""0"">
  <tr class=""tabletr"">
    <th class=""tableth"" width=""30%"">商品名</th>
    <td class=""tabletd"" width=""70%"">オーナメント・ベツレヘムのブロンズの星大
</td>
  </tr>
  <tr>
    <th class=""tableth"">商品説明</th>
    <td class=""tabletd"">ベツレヘムの星は、
 生誕の地ベツレヘムへ導いた星とされ、
 【希望】や【約束が守られた印】などの
意味があります。

 
 少し高価ですが、
 大切に何年もお楽しみいただける逸品です。

</td>
  </tr>
  <tr>
    <th class=""tableth"">仕様</th>
    <td class=""tabletd"">直径約１０cm</td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー名</th>
    <td class=""tabletd"">AlbinPreissler </td>
  </tr>
  <tr>
    <th class=""tableth"">メーカー国</th>
    <td class=""tabletd"">ドイツ</td>
  </tr>
  <tr>
    <th class=""tableth"">備考</th>
    <td class=""tabletd"">ラッピング対象外</td>
  </tr>
  <tr>
    <th class=""tableth"">配送に関して</th>
    <td class=""tabletd""><font color=""#ff0000"">※この商品は定形外・メール便には対応しておりません </font></td>
  </tr>
</table>
</div>",【４０００円以上で送料無料】オーナメント・ベツレヘムのブロンズの星大　ベツレヘムの星★：GRANDE 楽天市場店,木のおもちゃ知育玩具ネフボーネルンド積木出産祝いひも通しパズルＨＡＢＡカタミノマグフォーマープラステン木のおもちゃ スロープ知育玩具 紐通しピタゴラスイッチボードゲームファンファンラキューらきゅーままごと【４０００円以上で送料無料】オーナメント・ベツレヘムのブロンズの星大　ベツレヘムの星★,【４０００円以上で送料無料】オーナメント・ベツレヘムのブロンズの星大　ベツレヘムの星★[rn]
33-49957,http://tshop.r10s.jp/little-mammy/cabinet/05273224/imgrc0069166280.jpg?fitin=700:700,1120.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【クリスマス用品・手作り品】★りとるまみいオリジナル★ベツレヘムの星用Hang holder：ハングホルダー［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,クリスマスツリー・オーナメント・ベツレヘムの星,"<font size=""2"" color=""red""><b>
当店だけのオリジナル人気商品！</font></b>
<br><br>
当店人気のベツレヘムの星のオーナメントを、<br>
窓辺などに飾って頂くためのホルダーを作りました。
<br>
<br>
クリスマスだけでなく1年中…<br>
奇跡を起こす希望の星を眺めることが出来ます。<br>
<br>
手作り作家の津田沙季さんに、マクラメ編みで、<br>
1本1本丁寧に手づくりして頂いた素敵な作品。<br>
5個のスワロフスキービーズも光を通してキラキラと輝きます。<br>
<br>
限定製造の為、在庫数に限りがあります。お早目に。<br>
<br>
★ベツレヘムの星は付属しておりません。<br>
金属のフックがついていますので、別売の<br>
ベツレヘムの星の紐の穴に掛けてお使いください。<br>
星は大小どちらにもお使い頂けます。<br>
<br>
価格は、ハングホルダー1本の価格です。<br>
6色の中からお好きなカラーをお選びください。<br>
※ベツレヘムの星だけでなくほかのオーナメントも<br>
フックの形状によって飾れるものもありますょ♪<br>
<br>
素材：ポリエステル１００％<br>
サイズ：約L25ｃｍ<BR><BR><font size=""-1"" color=""green"">
<b>オーナメントなど盛り沢山の<br>
【クリスマスマーケット】は、こちら♪<BR></FONT></b><div id=""migi-obi"">
 
 <style type=""text/css"">
 #migi-obi * {
 margin: 0;
 padding: 0;
 outline: 0;
 background: url(""https://image.rakuten.co.jp/little-mammy/cabinet/new2009/2016/event052007.jpg"") repeat-y right top ;
 }
 #migi-obi a {
 position: absolute;
 top:80px;
 right:0px;
 height:15000px;/*ページ全体の高さ*/
width: 120px;/*帯の幅*/
}
</style>
</div>",【クリスマス用品・手作り品】★りとるまみいオリジナル★ベツレヘムの星用Hang holder：ハングホルダー［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！：りとるまみい［木のおもちゃ雑貨］,りとるまみいリトルマミイクリスマスツリーベツレヘムの星オーナメントボーネルンド知育玩具ひな人形五月人形木のおもちゃ絵本棚ネフnaef絵本リトルタイクス積み木三輪車ラジオフライヤーしゃぼん玉雑貨【クリスマス用品・手作り品】★りとるまみいオリジナル★ベツレヘムの星用Hang holder：ハングホルダー［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,クリスマスツリー・オーナメント・ベツレヘムの星。【クリスマス用品・手作り品】★りとるまみいオリジナル★ベツレヘムの星用Hang holder：ハングホルダー［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！[rn]
33-49958,http://tshop.r10s.jp/little-mammy/cabinet/new2009/mammy2015/red_big01.jpg?fitin=700:700,960.0000,,おもちゃ・ホビー・ゲーム > パーティー・イベント用品・販促品 > クリスマス用品 > クリスマスオーナメント,【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星大［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,木製オーナメント【ベツレヘムの赤い星大】クリスマス,"<font color=""RED"">
入荷しました！。</font><br>
<br>
キリスト生誕の時。<br>
東方の３人の賢者は、そのことを<br>
夜空に突如として現れた大きな星の<br>　
輝きによって知りました。　<br>
ベツレヘムの星は、<br>
生誕の地ベツレヘムへ導いた星とされ、<br>
【希望】や【約束が守られた印】などの<br>
意味があります。<br>
<br>
クリスマスを象徴する美しい赤の星は、<br>
手作りによる木製の味わいがあります。<br>
少し高価ですが、<br>
大切に何年もお楽しみいただける逸品です。<br>
<br>
<br>
☆こんなお話を聞きました。。☆<br>
<br>
嫁ぎ先のお母様から、初めてのクリスマスに、<br>
とても素敵な25個のオーナメントを<br>
プレゼントされたそうです。<br>
<br>
聞くとそれは、息子さんのために1年に1個は、<br>
上質なオーナメントを買って、<br>
毎年ツリーに飾ってきたものだそう。<br>
<br>
26歳になった息子さんの新しいご家庭に、<br>
大切に受け継がれたオーナメントも、<br>
きっと、初めてのクリスマスに、<br>
1個のオーナメントに喜んだ、<br>
小さなお子さまの笑顔から始まったのだと思います。<br><br>
お届けする1個の星がそんな大切なオーナメントに<br>
なってくれるとうれしいなぁと思いました。<br>
<br>
★・★ベツレヘムの星のお箱ご希望承ります。★・★<br>
ベツレヘムの星は、メーカーからの出荷用に、<br>
大は[4個入り]小は[6個入り]のお箱に入った状態で<br>
当店に届きます。備考欄に「星の箱希望」等お書き添え<br>
頂きましたら出荷時に箱に入れた状態で、<br>
発送させて頂きます。お気軽にお申し付けください。<br>
※金・銀・赤・ブロンズのみ、ナチュラルは除きます。<br><br>
<img src=""http://image.rakuten.co.jp/little-mammy/cabinet/03484206/img61364129.jpg"" alt="""" height=""150"" width=""150"" border=""0"">
<img src=""http://image.rakuten.co.jp/little-mammy/cabinet/03484206/img61364130.jpg"" alt="""" height=""150"" width=""150"" border=""0""><BR>
※厚紙の白い箱です。左が小。右が大。<BR>
★・★・★・★・★・★・★・★・★・★・★・★・★・★
<br><br><font color=""RED"">
☆【ベツレヘムの星】は当店独自の商品名です。<br>
※商標登録出願中</font><br>
<br>
ブランド : ERZ<br>
原産国 : ドイツ<br>
サイズ:10cm　<br>
備考(素材等)：木製<br>
発送状況 : 通常 1日～1週間以内<br>　<BR><BR><font size=""-1"" color=""green"">
<b><big>オーナメントなど盛り沢山の<br>
【クリスマスマーケット】は、こちら♪<BR></FONT></b></big>
<BR><div id=""migi-obi"">
 
 <style type=""text/css"">
 #migi-obi * {
 margin: 0;
 padding: 0;
 outline: 0;
 background: url(""https://image.rakuten.co.jp/little-mammy/cabinet/new2009/2016/event052007.jpg"") repeat-y right top ;
 }
 #migi-obi a {
 position: absolute;
 top:80px;
 right:0px;
 height:15000px;/*ページ全体の高さ*/
width: 120px;/*帯の幅*/
}
</style>
</div>",【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星大［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！：りとるまみい［木のおもちゃ雑貨］,りとるまみいリトルマミイクリスマスツリーベツレヘムの星オーナメントボーネルンド知育玩具ひな人形五月人形木のおもちゃ絵本棚ネフnaef絵本リトルタイクス積み木三輪車ラジオフライヤーしゃぼん玉雑貨【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星大［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！,木製オーナメント【ベツレヘムの赤い星大】クリスマス。【クリスマス用品】【ベツレヘムの星★販売累計1万個突破！】ベツレヘムの赤い星大［ Christmas：クリスマスオーナメント ］★全品ポイントアップ祭！[rn]
