34-30201,http://tshop.r10s.jp/cityliner/cabinet/35334/89494133.jpg?fitin=700:700,301.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シム&ゲージ A型シクネスゲージ バラ0.30X12.7X100L 1枚,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【材質】SK2～5及び同等品<br>【長さ(mm)】100<br>【形状】A<br>【幅(mm)】12.7<br>【厚さ(mm)】0.30<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",シム&amp;ゲージ A型シクネスゲージ バラ0.30X12.7X100L 1枚：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルシム&amp;ゲージ A型シクネスゲージ バラ0.30X12.7X100L 1枚,3240円以上ご購入で送料無料！。シム&amp;ゲージ A型シクネスゲージ バラ0.30X12.7X100L 1枚[rn]
34-30202,http://tshop.r10s.jp/cityliner/cabinet/0217/09604497.jpg?fitin=700:700,24969.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,日本計測システム アナログハンディーフォースゲージAN-500 1台,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】アナログフォースゲージは、小型かつ高精度で操作性・携帯性に優れています。引張り力・圧縮力を簡単に正確に測定でき、置き針式のピーク表示と連続的な荷重指示がつまみ操作ひとつで切替えることができます。<br>【付属品】圧縮・引張冶具6点、取説、専用収納ケース<br>【ストローク(mm)】10<br>【質量(kg)】1.35<br>【最小表示】2.5N<br>【測定範囲(N)】2.5～500<br>【本体寸法(幅W×奥行D×高さH)(mm)】ケース/270×180×70<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",日本計測システム アナログハンディーフォースゲージAN-500 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル日本計測システム アナログハンディーフォースゲージAN-500 1台,3240円以上ご購入で送料無料！。日本計測システム アナログハンディーフォースゲージAN-500 1台[rn]
34-30203,http://tshop.r10s.jp/cityliner/cabinet/0557/48930637.jpg?fitin=700:700,4740.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,TRUSCO アルミレベル(箱型)TL-900M 1本,3240円以上ご購入で送料無料！,"<font color=""red"">※代表画像です</font><font color=blue>3営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】レンズ効果で大きく見えるカマボコ型気泡管です。(水平)45°測定可能です。箱型フレーム・スケール目盛付です。端面カバーが平らですので壁などにしっかりあてて測定が可能です。<br>【用途】傾き測定に。<br>【トラスコ品番】415-8261<br>【材質】本体:アルミニウム、気泡管:アクリル樹脂(PMMA)<br>【長さ(mm)】900<br>【厚さ(mm)】19<br>【高さ(mm)】50.5<br>【質量(g)】640<br>【精度】±1.5mm/m=±0.0859°以内<br>【感度】0.5mm/m=0.0286°<br>【マグネット】2ヵ所<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",TRUSCO アルミレベル(箱型)TL-900M 1本：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルTRUSCO アルミレベル(箱型)TL-900M 1本,3240円以上ご購入で送料無料！。TRUSCO アルミレベル(箱型)TL-900M 1本[rn]
34-30204,http://tshop.r10s.jp/cityliner/cabinet/0271/33025465.jpg?fitin=700:700,1546.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,長野計器 シルバー真空計GS52-131-(-0.1～0MPA) AT G3/8 100* -0.1～0MPa 1台,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】ブルドン管の弾性変形(動き)を指針に伝える構造の圧力計で、構造が簡単なので取扱いが容易です。<br>【仕様】JIS規格<br>【材質】(ガラス)無機ガラス(ケース)電気亜鉛メッキ鋼板(SECC)・黒色(カバー)SUS430・生地<br>【ケース形状】立形A枠ツバなし<br>【測定範囲(MPa)】-0.1～0<br>【使用温度範囲(℃)】-5～40<br>【呼び寸法(mm)】Φ100<br>【精度】±1.6%FS<br>【接続ねじ】G3/8<br>【寸法h(mm)】82<br>【寸法f(mm)】18<br>【寸法j (mm)】17<br>【寸法k(mm)】12.5<br>【材質(接液部)】ブルドン管：C6872T 株：C3604BD<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",長野計器 シルバー真空計GS52-131-(-0.1～0MPA) AT G3/8 100* -0.1～0MPa 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル長野計器 シルバー真空計GS52-131-(-0.1～0MPA) AT G3/8 100* -0.1～0MPa 1台,3240円以上ご購入で送料無料！。長野計器 シルバー真空計GS52-131-(-0.1～0MPA) AT G3/8 100* -0.1～0MPa 1台[rn]
34-30205,http://tshop.r10s.jp/cityliner/cabinet/0554/48860463.jpg?fitin=700:700,733.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,アカツキ製作所(KOD) アイベル・PHガタ穴付きPH-70 1個,3240円以上ご購入で送料無料！,"<font color=""red"">※代表画像です</font><font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】アクリル削り出し加工により精度が優れています。取付穴付です。<br>【用途】水平測定。<br>【トラスコ品番】410-0069<br>【材質】本体:アクリル樹脂(PMMA)、気泡管:アクリル樹脂(PMMA)<br>【長さ(mm)】70<br>【厚さ(mm)】15<br>【高さ(mm)】15<br>【質量(g)】17.0<br>【精度】0.5mm/m=0.0286°<br>【感度】34'/2mm<br>【マグネット】なし<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",アカツキ製作所(KOD) アイベル・PHガタ穴付きPH-70 1個：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルアカツキ製作所(KOD) アイベル・PHガタ穴付きPH-70 1個,3240円以上ご購入で送料無料！。アカツキ製作所(KOD) アイベル・PHガタ穴付きPH-70 1個[rn]
34-30206,http://tshop.r10s.jp/cityliner/cabinet/35309/08160196.jpg?fitin=700:700,1460.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,山本計器 小型圧力計(立形・つばなし)AT 1/4R 50×1MPa 1台,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】小型軽量化した各種機器・装置での使用に最適な圧力計です。<br>【用途】空圧、油圧。その他の一般圧力測定用<br>【ケース形状】A形立形つば無し<br>【大きさ(Φ)】50<br>【使用圧力範囲(MPa)】0～1<br>【精度】±2.5%F.S.<br>【接続ねじ】R1/4<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",山本計器 小型圧力計(立形・つばなし)AT 1/4R 50&times;1MPa 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル山本計器 小型圧力計(立形・つばなし)AT 1/4R 50&times;1MPa 1台,3240円以上ご購入で送料無料！。山本計器 小型圧力計(立形・つばなし)AT 1/4R 50&times;1MPa 1台[rn]
34-30207,http://tshop.r10s.jp/cityliner/cabinet/0738/38475473.jpg?fitin=700:700,6557.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,右下精器製造 ステンレス圧力計Φ75AT3/8x75x0.5MPa 1台,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】接液部にステンレスを使用していますので耐食性に優れています。薬品や食品、医療産業向けです。高温の流体にも使用できます。<br>【用途】薬品や食品、腐食性の高い流体の測定<br>【ケース形状】立型A型(縁なし)<br>【外径(Φmm)】75<br>【精度】±1.6%FS<br>【接続ねじ】G3/8<br>【材質(ケース)】ABS樹脂<br>【材質(接液部)】ステンレス<br>【圧力範囲(MPa)】0～0.5<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",右下精器製造 ステンレス圧力計Φ75AT3/8x75x0.5MPa 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル右下精器製造 ステンレス圧力計Φ75AT3/8x75x0.5MPa 1台,3240円以上ご購入で送料無料！。右下精器製造 ステンレス圧力計Φ75AT3/8x75x0.5MPa 1台[rn]
34-30208,http://tshop.r10s.jp/cityliner/cabinet/0203/09152202.jpg?fitin=700:700,46332.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,小野測器 ディジタルハンドタコメーターHT-5500 1台,3240円以上ご購入で送料無料！,"<font color=blue>翌営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】メモリー機能搭載(最大20データのメモリー可能)接触・非接触測定両用タイプ(1台2役。しかも非接触タイプでライン速度測定可能)アナログ・パルス出力標準装備ピークホールド機能搭載(測定中の最大値、最小値表示が可能)バックライト付き大型LCD)三脚取付対応(*三脚に固定して連続測定が可能)*別途オプション<br>【付属品】接触アダプタ(HT-0502)：1個<br>回転接触子(KS-300)：1個<br>周速リング(KS-200)：1個<br>反射マーク(12mm角×25枚)：1シート<br>単4形乾電池：4本<br>キャリングケース：1個<br>【測定範囲】r/min(Hiレベル)：非接触式 6～99999、接触式 6～20000<br>r/min(Loレベル)：非接触式 6.0～600.0、接触式 6.0～600.0<br>r/s：非接触式 0.10～999.99、接触式 0.10～400.00<br>m/min：非接触式 0.6～9999.9、接触式 0.6～400<br>COUNT：非接触式 0～99999、接触式 0～99999<br>ms：非接触式 0.6～9999.9、接触式 2.5～9999.9<br>【質量(g)】約267(乾電池含む)<br>約329(乾電池含む、接触アダプタ有り)<br>【使用温度範囲(℃)】0～40<br>【電源】単4形乾電池4本 又は、専用ACアダプタ<br>【検出方式】赤色可視光光電反射方式、接触方式(接触アダプタ装着)<br>【出力電圧(V)】アナログ出力：0～1/0～F.S.(フルスケールは任意設定)<br>パルス出力：Hiレベル +4.5以上、Loレベル +0.5以下<br>【測定精度】表示値(*)×(±0.02%)±1カウント<br>*表示値は小数点を除いたカウント値<br>【寸法(幅W×高さH×奥行D)(mm)】180.5×47.5×66<br>237.2×47.5×66(接触アダプタ有り)<br>【測定時間】1s+1周期時間以内<br>(但し、60r/min以下の場合、周期時間の約2倍(max))<br>【表示部】液晶表示、5桁、バックライト付き(文字高さ：10.2mm)<br>【電池寿命(時間)】32以上(バックライトOFF時)<br>8以上(バックライトON時)<br>【測定単位】r/min、r/s(回転速度)<br>m/min(周速度)<br>ms(周期)<br>COUNT(積算カウント)<br>【負荷抵抗】アナログ出力：100kΩ以上<br>パルス出力：100kΩ以上<br>【変換方式】10bit D/A 変換方式<br>【警告】バッテリー警告表示：電池電圧が約4.4V以下になると警告(LOWマーク)マークが表示されます。<br>【保存温度範囲(℃)】-10～50<br>【反射検出距離】20～300<br>【ピークホールド機能】最大値(MAX)、最小値(min)<br>【オーバーレンジ機能】測定値が測定範囲を超えた時にオーバーレンジ(ERRORマーク)表示<br>【回転上限警告機能】回転速度が予め設定された上限値を超えた時、上限警告(↑マーク)表示<br>【表示更新時間】約1秒<br>【メモリー機能】最大20データ<br>【周速度演算機能】非接触式：予め設定された直径値(mm)と測定回転速度から周速度を演算<br>接触式：周速リングKS-100/200を使用<br>【積算機能】入力信号のパルスを積算カウント<br>【周期測定機能】入力パルスの周期を測定(但し、1秒以下の場合は入力パルスの平均値)<br>【リニアニティ】±1%/F.S.<br>【出力更新時間】50ms+1周期 時間以内<br>【温度安定度】±0.05%/F.S./℃(スパン&ゼロ)<br>【フルスケール設定誤差】±0.5%/F.S.<br>【出力論理】正論理<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",小野測器 ディジタルハンドタコメーターHT-5500 1台：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル小野測器 ディジタルハンドタコメーターHT-5500 1台,3240円以上ご購入で送料無料！。小野測器 ディジタルハンドタコメーターHT-5500 1台[rn]
34-30209,http://tshop.r10s.jp/cityliner/cabinet/0566/49022145.jpg?fitin=700:700,1295.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,エビス アイディアルレベルED-38IL 1本,3240円以上ご購入で送料無料！,"<font color=""red"">※代表画像です</font><font color=blue>6営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】測定面がアーチ形状でねじれ・変形に強く、平面測定からパイプ測定までできます。測定基準面がU溝付でパイプなどが測定できます。45°付で、法勾配の測定に大変便利です。<br>【用途】水平・垂直・45°の測定。<br>【トラスコ品番】410-5206<br>【材質】本体:アルミ合金押出材硬化処理 、気泡管:アクリル樹脂(PMMA)、部品:ABS樹脂<br>【長さ(mm)】380<br>【厚さ(mm)】20<br>【高さ(mm)】51<br>【質量(g)】217<br>【精度】±2.50mm/m=±0.1432°以内<br>【感度】0.50mm/m=0.0286°<br>【マグネット】なし<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",エビス アイディアルレベルED-38IL 1本：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルエビス アイディアルレベルED-38IL 1本,3240円以上ご購入で送料無料！。エビス アイディアルレベルED-38IL 1本[rn]
34-30210,http://tshop.r10s.jp/cityliner/cabinet/0214/09490381.jpg?fitin=700:700,1978.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,TOKO(東洋計器興業) 一般圧力計B型Φ100BT3/8G 100×0.5MPa(普及形) 1個,3240円以上ご購入で送料無料！,"<font color=blue>6営業日以内に出荷致します。</font>在庫状況などにより出荷日が遅れる場合がございます。詳細はこちらでご確認下さい。<br><br><font color=red>3,240円以上ご購入で送料無料！</font><br><br>【特長】高品質で、低価格な屋内汎用形圧力計です。本体ケースには、アルミ材を使用し、表面は金色アルマイト処理をほどこしています。<br>【用途】配管設備等、計測用として幅広く使用できます。<br>【注意】※圧力レンジの選定は、測定圧力の約2倍の物をお選びください。<br>【材質】ブルドン管：C2680        株：C3604<br>【形状】立形ツバ有り(BT)<br>【使用圧力範囲(MPa)】0～0.5<br>【寸法A(mm)】103<br>【外径(Φmm)】100<br>【寸法D(mm)】82<br>【接続ねじ】3/8G(PF)<br>【寸法e(mm)】18<br>【寸法b(mm)】42<br>【寸法c(mm)】16<br>【最小目盛(MPa)】0.01<br><div style="" border:solid 1px #333333; background-color:#FFFFFF; padding:5px; font-size:1.1em; line-height:1.4em;"">
	商品画像につきましては、<span style=""color:#990000;"">サイズ・色等が異なる場合がございます</span>のでご注意下さい。<br>
	<span style=""color:#990000;"">複数商品を同時にご注文</span>の場合は、ページ下の<span style=""color:#990000;"">【複数商品の出荷】</span>をご覧ください。
</div>",TOKO(東洋計器興業) 一般圧力計B型Φ100BT3/8G 100&times;0.5MPa(普及形) 1個：プロの工具ショップ　YOSHIMURA,作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルTOKO(東洋計器興業) 一般圧力計B型Φ100BT3/8G 100&times;0.5MPa(普及形) 1個,3240円以上ご購入で送料無料！。TOKO(東洋計器興業) 一般圧力計B型Φ100BT3/8G 100&times;0.5MPa(普及形) 1個[rn]
