4-58345,http://tshop.r10s.jp/soukai/cabinet/22/4972915014822.jpg?fitin=700:700,368.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,スプリングハート オーバルアイブロウ ブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品],スプリングハート / アイブロウ コスメ 化粧品,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウ＞スプリングハート オーバルアイブロウ ブラウン (1本入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z22/z4972915014822.jpg' width='100%'><br><br>商品区分：化粧品<br><br>【スプリングハート オーバルアイブロウ ブラウンの商品詳細】<br>●だ円芯<br>細・太ラインも思いのままに描ける楕円芯。(芯径2*3mm)。眉頭や中央は広い面を使って素早く、眉尻や細かく調整したい箇所は、エッジを立てて細く描くことができます。<br>●描きやすい硬さ<br>描きやすく、色ムラができにくいように、適度な硬さにこだわりました。<br>●スクリューブラシ<br>眉毛の流れを整え、描いた後にぼかすこともできる便利なスクリューブラシがつきました。<br>●ロングラスティングタイプ<br>くずれにくいロングラスティング処方。描いたラインを長時間キープします。<br>●明るい髪色になじむ、自然な明るいブラウン<br><br>【使用方法】<br>・使いはじめは手の甲で芯をならし、描きやすいように整えてからご使用ください。<br>・2mm程度芯をくり出し、眉毛を1本1本描き足します。<br>・仕上げにブラシでぼかすと立体的な眉に仕上がります。<br><br>【成分】<br>モクロウ、ヒマシ油、キャンデリラロウエステルズ、水添ココグリセリル、水添ヒマシ油、キャンデリラロウ、アボカド油、ホホバ種子油、トコフェロール、マイカ、酸化鉄、酸化チタン、ラウロイルリシン、水酸化AL<br>【注意事項】<br>・芯は3mm以上出してご使用にならないでください。出しすぎると折れることがあります。<br>・傷・はれもの・湿疹など、お肌に異常があるときはご使用をおやめください。<br>・ご使用中、赤み・かゆみ・刺激等の異常があらわれた時はご使用を中止し、皮膚科専門医等へご相談ください。そのままご使用を続けると症状が悪化することがあります。<br>・お子様の手の届く所や直射日光、高温下での保管は避けてください。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>スプリングハート<br><br>【発売元、製造元、輸入元又は販売元】<br>コージー本舗<br><br>(アイブロー)<br><br>コージー本舗<br>111-0036 東京都台東区松が谷2-26-1<br>03-3842-0226<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：スプリングハート/]</div><!---->,スプリングハート オーバルアイブロウ ブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスプリングハート オーバルアイブロウ ブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品],スプリングハート / アイブロウ コスメ 化粧品。スプリングハート オーバルアイブロウ ブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品][rn]
4-58346,http://tshop.r10s.jp/soukai/cabinet/39/4972915014839.jpg?fitin=700:700,349.6000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,スプリングハート オーバルアイブロウ ライトブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品],スプリングハート / アイブロウ コスメ 化粧品,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウ＞スプリングハート オーバルアイブロウ ライトブラウン (1本入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z39/z4972915014839.jpg' width='100%'><br><br>商品区分：化粧品<br><br>【スプリングハート オーバルアイブロウ ライトブラウンの商品詳細】<br>●だ円芯<br>細・太ラインも思いのままに描ける楕円芯。(芯径2*3mm)。眉頭や中央は広い面を使って素早く、眉尻や細かく調整したい箇所は、エッジを立てて細く描くことができます。<br>●描きやすい硬さ<br>描きやすく、色ムラができにくいように、適度な硬さにこだわりました。<br>●スクリューブラシ<br>眉毛の流れを整え、描いた後にぼかすこともできる便利なスクリューブラシがつきました。<br>●ロングラスティングタイプ<br>くずれにくいロングラスティング処方。描いたラインを長時間キープします。<br>●ゴールド系の明るい髪色になじむ黄色系のブラウン<br><br>【使用方法】<br>・使いはじめは手の甲で芯をならし、描きやすいように整えてからご使用ください。<br>・2mm程度芯をくり出し、眉毛を1本1本描き足します。<br>・仕上げにブラシでぼかすと立体的な眉に仕上がります。<br><br>【成分】<br>モクロウ、ヒマシ油、キャンデリラロウエステルズ、水添ココグリセリル、水添ヒマシ油、キャンデリラロウ、アボカド油、ホホバ種子油、トコフェロール、マイカ、酸化鉄、酸化チタン、ラウロイルリシン<br>【注意事項】<br>・芯は3mm以上出してご使用にならないでください。出しすぎると折れることがあります。<br>・傷・はれもの・湿疹など、お肌に異常があるときはご使用をおやめください。<br>・ご使用中、赤み・かゆみ・刺激等の異常があらわれた時はご使用を中止し、皮膚科専門医等へご相談ください。そのままご使用を続けると症状が悪化することがあります。<br>・お子様の手の届く所や直射日光、高温下での保管は避けてください。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>スプリングハート<br><br>【発売元、製造元、輸入元又は販売元】<br>コージー本舗<br><br>(アイブロー)<br><br>コージー本舗<br>111-0036 東京都台東区松が谷2-26-1<br>03-3842-0226<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：スプリングハート/]</div><!---->,スプリングハート オーバルアイブロウ ライトブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションスプリングハート オーバルアイブロウ ライトブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品],スプリングハート / アイブロウ コスメ 化粧品。スプリングハート オーバルアイブロウ ライトブラウン(1本入)【スプリングハート】[アイブロウ コスメ 化粧品][rn]
4-58347,http://tshop.r10s.jp/soukai/cabinet/08/4901008309408.jpg?fitin=700:700,480.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,キャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミス(3.5g)【キャンメイク(CANMAKE)】,キャンメイク(CANMAKE)★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウリキッド・パウダー＞キャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミス (3.5g)<br><br>★税抜1900円以上で送料無料★<br><br>【キャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミスの商品詳細】<br>●ふわふわとした軽い触感のエアリーパウダーを使用しているので、ふんわりとした眉に仕上がる<br>●こだわりの斜めカットの平たいブラシで、細眉も太眉も描きやすい！<br>●美容液オイル(エモリエント成分：ホホバ種子油・オリーブ果実油)・美容液成分(保湿成分：ローズマリー葉エキス・セージ葉エキス)配合<br>●パール・ラメなしのマット<br>●便利なWエンドのブラシ・チップ付<br><br>【使用方法】<br>・ブラシに淡い方の色をとり、眉の中央を描く<br>・チップに濃い方の色をとり、眉尻を描く<br>・ブラシに少なめに淡い色をとり、眉頭にふんわりのせる<br>※毛のない所を形取るときはチップで。また2色をミックスしてもOK！<br><br>【成分】<br>水添ポリデセン、ワセリン、イソノナン酸イソトリデシル、オリーブ果実油、ホホバ種子油、セージ葉エキス、ローズマリー葉エキス、ラフィノース、セスキイソステアリン酸ソルビタン、ヒドロキシステアリン酸フィトステリル、エチルヘキシルグリセリン、カプリロイルグリシン、(アクリル酸ヒドロキシエチル／アクリロイルジメチルタウリンNa)コポリマー、グリチルレチン酸ステアリル、水、BG、ケイ酸(アンモニウム／銀／亜鉛／AL)、ブチルカルバミン酸ヨウ化プロピニル、トコフェロール、(+／-)シリカ、ヒドロキシアパタイト、マイカ、酸化鉄、硫酸Ba、酸化チタン、(HDI／トリメチロールヘキシルラクトン)クロスポリマー、ミリスチン酸Mg、トリエトキシカプリリルシラン、ジメチコン、水酸化AL、ヤシ脂肪酸、水酸化Mg<br>【注意事項】<br>・お肌に異常が生じていないかよく注意して使用してください。<br>・お肌に合わないときはご使用をおやめください。<br>・乳幼児の手の届かないところに保管してください。<br>・極端に高温又は低温の場所、直射日光のあたる場所には保管しないでください。<br>・詳しくは製品の注意事項をご覧ください。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>キャンメイク(CANMAKE)<br><br>【発売元、製造元、輸入元又は販売元】<br>井田ラボラトリーズ<br><br>(CANMAKE Natural Chiffon Eyebrow ナチュラルシフォンアイブロー スイートティラミス スィートティラミス)<br><br>井田ラボラトリーズ<br>162-8455 東京都新宿区市谷本村町1-1 住友市ヶ谷ビル3F<br>03-3260-0671<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：キャンメイク(CANMAKE)/]</div><!---->,キャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミス(3.5g)【キャンメイク(CANMAKE)】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションキャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミス(3.5g)【キャンメイク(CANMAKE)】,キャンメイク(CANMAKE)★税抜1900円以上で送料無料★。キャンメイク ナチュラルシフォンアイブロウ 01 スウィートティラミス(3.5g)【キャンメイク(CANMAKE)】[rn]
4-58348,http://tshop.r10s.jp/soukai/cabinet/55/4971710435955.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,リンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品],リンメル(RIMMEL) / コスメ 化粧品★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウリキッド・パウダー＞リンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウン (1本入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z55/z4971710435955.jpg' width='100%'><br><br>【リンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウンの商品詳細】<br>●眉毛をすばやくコート、しっかり発色<br>●ふわ眉仕上がり<br>●ひと塗りで眉色を明るくカラーリング！<br>●ノンパールカラーでナチュ眉仕上がり<br>●汗・水・こすれに強いアイブロウマスカラ<br>●根もとから1本1本、細かい部分にもムラなく均一に塗布できるブラシ採用<br>●眉毛保護成分：パンテノール配合<br>●無香料<br><br>【使用方法】<br>・眉毛の根もとから毛先に向かって、ブラシでとかすようにつけます。<br>※ペンシルタイプやパウダータイプのアイブロウと併用する場合は、そのあとに本品をお使いください。<br>※お手持ちのクレンジング料で落とせます。<br><br>【成分】<br>水、アクリル酸アルキルコポリマーアンモニウム、BG、タルク、エタノール、トコフェロール、パンテノール、EDTA-2Na、TEA、アクリル酸アルキルコポリマー、シメチコン、ジメチコン、セスキオレイン酸ソルビタン、トリセテアレス-4リン酸、ポリソルベート80、ラウリル硫酸Na、レシチン、メチルパラベン、(+／-)、マイカ、酸化チタン、酸化鉄<br>【規格概要】<br>内容量・・・5.5mL<br>【注意事項】<br>・眉以外に使用しないでください。<br>・ご使用後は、ティッシュペーパーなどでブラシをふいてから容器に戻し、キャップをきちんとしめてください。<br>・ブラシへのつきが少なくなった場合は、ブラシを回転させるように、容器の壁面についている液を含ませてください。<br>・高温の場所には置かないでください。<br>・傷やはれもの・湿しん等、お肌に異常のあるときはお使いにならないでください。<br>・使用中、赤味・はれ・かゆみ・刺激等の異常があらわれた場合は、使用を中止し、皮ふ科専門医等へご相談ください。そのまま使用を続けますと症状が悪化することがあります。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>リンメル(RIMMEL)<br><br>【発売元、製造元、輸入元又は販売元】<br>リンメル<br><br>(RIMMEL アイブロー)<br><br>リンメル<br>103-8251 東京都中央区日本橋3-6-2<br>0120-878-653<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：リンメル(RIMMEL)/]</div><!---->,リンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションリンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品],リンメル(RIMMEL) / コスメ 化粧品★税抜1900円以上で送料無料★。リンメル プロフェッショナル アイブロウ マスカラ 002 イエローブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品][rn]
4-58349,http://tshop.r10s.jp/soukai/cabinet/62/4971710435962.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,リンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品],リンメル(RIMMEL) / コスメ 化粧品★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウリキッド・パウダー＞リンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウン (1本入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z62/z4971710435962.jpg' width='100%'><br><br>【リンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウンの商品詳細】<br>●眉毛をすばやくコート、しっかり発色<br>●ふわ眉仕上がり<br>●ひと塗りで眉色を明るくカラーリング！<br>●ノンパールカラーでナチュ眉仕上がり<br>●汗・水・こすれに強いアイブロウマスカラ<br>●根もとから1本1本、細かい部分にもムラなく均一に塗布できるブラシ採用<br>●眉毛保護成分：パンテノール配合<br>●無香料<br><br>【使用方法】<br>・眉毛の根もとから毛先に向かって、ブラシでとかすようにつけます。<br>※ペンシルタイプやパウダータイプのアイブロウと併用する場合は、そのあとに本品をお使いください。<br>※お手持ちのクレンジング料で落とせます。<br><br>【成分】<br>水、アクリル酸アルキルコポリマーアンモニウム、BG、タルク、エタノール、トコフェロール、パンテノール、EDTA-2Na、TEA、アクリル酸アルキルコポリマー、シメチコン、ジメチコン、セスキオレイン酸ソルビタン、トリセテアレス-4リン酸、パーフルオロオクチルトリエトキシシラン、ポリソルベート80、ラウリル硫酸Na、レシチン、メチルパラベン、(+／-)、マイカ、酸化チタン、酸化鉄<br>【規格概要】<br>内容量・・・5.5mL<br>【注意事項】<br>・眉以外に使用しないでください。<br>・ご使用後は、ティッシュペーパーなどでブラシをふいてから容器に戻し、キャップをきちんとしめてください。<br>・ブラシへのつきが少なくなった場合は、ブラシを回転させるように、容器の壁面についている液を含ませてください。<br>・高温の場所には置かないでください。<br>・傷やはれもの・湿しん等、お肌に異常のあるときはお使いにならないでください。<br>・使用中、赤味・はれ・かゆみ・刺激等の異常があらわれた場合は、使用を中止し、皮ふ科専門医等へご相談ください。そのまま使用を続けますと症状が悪化することがあります。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>リンメル(RIMMEL)<br><br>【発売元、製造元、輸入元又は販売元】<br>リンメル<br><br>(RIMMEL アイブロー)<br><br>リンメル<br>103-8251 東京都中央区日本橋3-6-2<br>0120-878-653<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：リンメル(RIMMEL)/]</div><!---->,リンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションリンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品],リンメル(RIMMEL) / コスメ 化粧品★税抜1900円以上で送料無料★。リンメル プロフェッショナル アイブロウ マスカラ 003 ピンクブラウン(1本入)【リンメル(RIMMEL)】[コスメ 化粧品][rn]
4-58350,http://tshop.r10s.jp/soukai/cabinet/25/4948130721425.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,Kパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品],K-パレット / アイブロウ 眉マスカラ コスメ 化粧品,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウリキッド・パウダー＞Kパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02 (1本入)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：化粧品<br><br>【Kパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02の商品詳細】<br>●タトゥー感覚の仕上がりキープ力<br>耐水性高分子ポリマーが優れた密着効果で眉尻ラインまで長時間キープ。タトゥー感覚の驚異的キープ力で、まろ眉ストレスを解消！速乾性にも優れています。<br>●リキッドなのに仕上がりナチュラル！平筆毛筆タイプ<br>コシのある平筆毛筆だから簡単に理想のラインが描け、眉尻ラインも見事にキマル。一度に濃くつかない薄づきタイプだから、これ1本で手間なく自然な美眉が完成！！<br><br>【成分】<br>水、BG、アクリル酸アルキルコポリマーアンモニウム、スルホコハク酸ジエチルヘキシルNa、エタノール、フェノキシエタノール、メチルパラベン、プロピルパラベン、水酸化Na、(+／-)、赤227、青1、黄4<br><br>【注意】<br>・ご使用時以外はきちんとキャップを閉めてください。筆が乾燥して描けなくなることがあります。<br>・筆先の痛みの要因になりますので、キャップの開閉は筆先がキャップ側面に触れないように、水平に開閉して下さい。筆の形が崩れると元には戻りません。<br>・温度が高いところや低いところ、直射日光が当たる所には置かないで下さい。かけなくなることがあります。<br>・筆先を上にした状態で放置すると色が薄くなる場合があります。この場合、筆先を横または下向きにしてしばらく放置してからご使用ください。<br>・液が衣類につきますと落ちにくいのでご注意下さい。<br>・筆を水や化粧水などにつけないで下さい。色が異なったり、描けなくなることがあります。<br>・ファンデーション、汗、皮脂が筆につくと液が出にくくなったり、目詰まりの原因になりますのでご注意下さい。<br>・液が目に入らないようご注意下さい。目に入ってしまった場合は、こすらずに水道水でゆっくりと洗い流してください。異物感が残る場合は眼科医にご相談されることをおすすめします。<br>・キズ、はれもの、湿疹等異常のある時には、使用を中止し、皮膚科専門医などにご相談されることをおすすめします。<br>・振るもしくは落下などの衝撃により液が漏れ、キャップ内や衣類などを汚す恐れがあります。ご注意下さい。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>K-パレット<br><br>【発売元、製造元、輸入元又は販売元】<br>クオレ<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>クオレ<br>564-0052 大阪府吹田市広芝町12-25<br>06-6385-9001<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：K-パレット/]</div><!---->,Kパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションKパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品],K-パレット / アイブロウ 眉マスカラ コスメ 化粧品。Kパレット リアルラスティングアイブロウ24h グレイッシュブラウン 02(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品][rn]
4-58351,http://tshop.r10s.jp/soukai/cabinet/18/4948130721418.jpg?fitin=700:700,960.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,Kパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品],K-パレット / アイブロウ 眉マスカラ コスメ 化粧品,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウリキッド・パウダー＞Kパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01 (1本入)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：化粧品<br><br>【Kパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01の商品詳細】<br>●タトゥー感覚の仕上がりキープ力<br>耐水性高分子ポリマーが優れた密着効果で眉尻ラインまで長時間キープ。タトゥー感覚の驚異的キープ力で、まろ眉ストレスを解消！速乾性にも優れています。<br>●リキッドなのに仕上がりナチュラル！平筆毛筆タイプ<br>コシのある平筆毛筆だから簡単に理想のラインが描け、眉尻ラインも見事にキマル。一度に濃くつかない薄づきタイプだから、これ1本で手間なく自然な美眉が完成！！<br><br>【成分】<br>水、BG、アクリル酸アルキルコポリマーアンモニウム、スルホコハク酸ジエチルヘキシルNa、エタノール、フェノキシエタノール、メチルパラベン、プロピルパラベン、水酸化Na、(+／-)、赤227、青1、黄4<br><br>【注意】<br>・ご使用時以外はきちんとキャップを閉めてください。筆が乾燥して描けなくなることがあります。<br>・筆先の痛みの要因になりますので、キャップの開閉は筆先がキャップ側面に触れないように、水平に開閉して下さい。筆の形が崩れると元には戻りません。<br>・温度が高いところや低いところ、直射日光が当たる所には置かないで下さい。かけなくなることがあります。<br>・筆先を上にした状態で放置すると色が薄くなる場合があります。この場合、筆先を横または下向きにしてしばらく放置してからご使用ください。<br>・液が衣類につきますと落ちにくいのでご注意下さい。<br>・筆を水や化粧水などにつけないで下さい。色が異なったり、描けなくなることがあります。<br>・ファンデーション、汗、皮脂が筆につくと液が出にくくなったり、目詰まりの原因になりますのでご注意下さい。<br>・液が目に入らないようご注意下さい。目に入ってしまった場合は、こすらずに水道水でゆっくりと洗い流してください。異物感が残る場合は眼科医にご相談されることをおすすめします。<br>・キズ、はれもの、湿疹等異常のある時には、使用を中止し、皮膚科専門医などにご相談されることをおすすめします。<br>・振るもしくは落下などの衝撃により液が漏れ、キャップ内や衣類などを汚す恐れがあります。ご注意下さい。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>K-パレット<br><br>【発売元、製造元、輸入元又は販売元】<br>クオレ<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>クオレ<br>564-0052 大阪府吹田市広芝町12-25<br>06-6385-9001<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：K-パレット/]</div><!---->,Kパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションKパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品],K-パレット / アイブロウ 眉マスカラ コスメ 化粧品。Kパレット リアルラスティングアイブロウ24h ナチュラルブラウン 01(1本入)【K-パレット】[アイブロウ 眉マスカラ コスメ 化粧品][rn]
4-58352,http://tshop.r10s.jp/soukai/cabinet/14/4948130726314.jpg?fitin=700:700,400.0000,,美容・コスメ・香水 > ベースメイク・メイクアップ > アイブロウ・眉マスカラ,K-パレット ラスティングアイブロウ 01 キャメルブラウン(1本入)【K-パレット】[アイブロウ コスメ 化粧品],K-パレット / アイブロウ コスメ 化粧品,<div id='prd-page'>お店TOP＞化粧品・コスメ・ビューティー＞メイクアップ＞アイブロウ＞K-パレット ラスティングアイブロウ 01 キャメルブラウン (1本入)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：化粧品<br><br>【K-パレット ラスティングアイブロウ 01 キャメルブラウンの商品詳細】<br>●タトゥー感覚のペンシルタイプアイブロウ<br>●するする描けるのに落ちにくい！<br>するする描けるのに落ちにくく発色の良い柔らかい芯で肌にぴたっと密着<br>●ブラシがついた優秀タイプ！<br>ブラシを使って毛流れを整えたり、描いた部分をぼかしたりも簡単<br><br>【成分】<br>モクロウ、ヒマシ油、ステアリン酸グリセリル、アボカド油、ラウロイルリシン、キャンデリラロウエステルズ、水添ヒマシ油、キャンデリラロウ、ミリスチン酸オクチルドデシル、トコフェロール、(+／-)酸化鉄、酸化チタン、マイカ<br>【注意事項】<br>・温度が高い所や低い所、直射日光が当たる所には置かないでください。描けなくなることがあります。<br>・衣類につきますと落ちにくいのでご注意ください。<br>・ファンデーション、汗、皮脂が芯につくと描きにくくなりますのでご注意ください。この場合は、ティッシュペーパーなどで優しくふき取って、清潔にしてお使いください。<br>・芯が目に入らないようにご注意ください。目に入ってしまった場合は、こすらず水またはぬるま湯でゆっくりと洗い流してください。異物感が残る場合は眼科医にご相談されることをおすすめします。<br>・傷、はれもの、しっしんなど異常のある時には、使用を中止し、皮膚科専門医などにご相談されることをおすすめします。<br>・ペンシルの芯表面に白い粉がつく場合がありますが、品質には問題ありません。<br>・お肌に合わない時は、ご使用をおやめください。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>K-パレット<br><br>【発売元、製造元、輸入元又は販売元】<br>クオレ<br><br>(Kパレット ケイパレット ケーパレット K-PaLette ラスティングアイブロー)<br><br>クオレ<br>564-0052 大阪府吹田市広芝町12-25<br>06-6385-9001<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[メイクアップ/ブランド：K-パレット/]</div><!---->,K-パレット ラスティングアイブロウ 01 キャメルブラウン(1本入)【K-パレット】[アイブロウ コスメ 化粧品]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションK-パレット ラスティングアイブロウ 01 キャメルブラウン(1本入)【K-パレット】[アイブロウ コスメ 化粧品],K-パレット / アイブロウ コスメ 化粧品。K-パレット ラスティングアイブロウ 01 キャメルブラウン(1本入)【K-パレット】[アイブロウ コスメ 化粧品][rn]
