39-48773,http://tshop.r10s.jp/dtc/cabinet/2013022515/4956234002432.jpg?fitin=700:700,17936.0000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,日章 変圧器(ダウントランス)「トランスフォーマ SDXシリーズ」(220/240V・1100W) SDX-1100 (SDX1100W220V),　,"<table width=""710""><tr><td>【入力電圧】220V・240V→【出力電圧】100V</td></tr></table><br><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■切変スイッチで220V、240Vがえらべます。  ■使用中の電気量がわかるインジケータ付  ■過電流プロテクタ付（手動復帰式）  ■過熱防止サーモスタット（自動復帰式）  ■電源スイッチ付  ■アース端子付（中継）  <FONT COLOR=Red>※ご購入の前に滞在される国の電源電圧・プラグ形状を必ずご確認ください。</FONT><br><br></font></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""710"" bordercolor=""#cccccc""><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">商品名</font></td><td width=""530""><font size=""2"">変圧器（ダウントランス）「トランスフォーマSDXシリーズ」（220/240V・1100W）　SDX-1100</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">型番</font></td><td width=""530""><font size=""2"">SDX-1100</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">ＪＡＮコード</font></td><td width=""530""><font size=""2"">4956234002432</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">メーカー</font></td><td width=""530""><font size=""2"">日章</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">メーカー希望小売価格(税込)</font></td><td width=""530""><font size=""2"">23,835円</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">シリーズ名/愛称</font></td><td width=""530""><font size=""2"">SDXシリーズ</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体サイズ(H×W×D)mm</font></td><td width=""530""><font size=""2"">H140×W152×L1190</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体重量</font></td><td width=""530""><font size=""2"">9.5kg</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">対応電圧</font></td><td width=""530""><font size=""2"">AC220/240V（50/60Hz）</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">容量</font></td><td width=""530""><font size=""2"">1100W</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">その他</font></td><td width=""530""><font size=""2"">【注意】この商品は各機種の定格容量VA(W)以内の電気製品でご使用ください。定格容量を超えて使用しますと、本器やご使用電気製品が　壊れますのでご注意ください。</font></td></tr></table><!--

-->



<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>

<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>
<br>
<div style=""width:710px; height:280px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",日章 変圧器(ダウントランス)「トランスフォーマ SDXシリーズ」(220/240V・1100W) SDX-1100 (SDX1100W220V)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone日章 変圧器(ダウントランス)「トランスフォーマ SDXシリーズ」(220/240V・1100W) SDX-1100 (SDX1100W220V),　。日章 変圧器(ダウントランス)「トランスフォーマ SDXシリーズ」(220/240V・1100W) SDX-1100 (SDX1100W220V)[rn]
39-48774,http://tshop.r10s.jp/dtc/cabinet/20170207n30/4966307330478.jpg?fitin=700:700,232.0000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,ヤザワ≪国内用≫ 変換プラグ（SE→Aタイプ） HPJP6,,"<table width=""710""><tr><td>日本で海外の電気製品を使うための変換プラグです。</td></tr></table><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■国によって電圧やコンセント形状が異なりますので、滞在先で購入された電気製品を国内で使用する際に使用できます。<br>　SE→Aプラグ<br>■定格入力：125V 6A<br>■本体材質：耐火性ABS樹脂<br><br>※海外の地域毎にコンセントの差込口の形状は異なります。ご購入の前に滞在される国のプラグ形状・電源電圧を必ずご確認ください。<br>※変換プラグは電圧を変換するアダプタではありません。電圧を変換する際には変圧器が必要です。<br><br></font></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""710"" bordercolor=""#cccccc""><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">色</font></td><td width=""530""><font size=""2"">ブラック</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体サイズ（高さ×幅×奥行）</font></td><td width=""530""><font size=""2"">45×32×14mm</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">重量</font></td><td width=""530""><font size=""2"">13g</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体重量</font></td><td width=""530""><font size=""2"">13g</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">プラグ形状</font></td><td width=""530""><font size=""2"">A</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">この変換プラグが使える壁などの電源コンセント形状</font></td><td width=""530""><font size=""2"">SE</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">この変換プラグに接続できる電化製品などのプラグ形状</font></td><td width=""530""><font size=""2"">SE</font></td></tr></table><!--

-->



<div style=""width:710px; height:180px;  margin:0; overflow:hidden;"">

</div>

<!--
<div style=""width: 700px; margin: 0 5px;"">
<img src=""http://www.rakuten.ne.jp/gold/dtc/frame/images/syouhinsetumei2.gif"" width=""700"" height=""30"">
</div>
<br>
<div style=""width:710px; height:280px;  margin:0 0 20px; overflow:hidden;"">

</div>
-->",ヤザワ≪国内用≫ 変換プラグ（SE&rarr;Aタイプ） HPJP6：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワ≪国内用≫ 変換プラグ（SE&rarr;Aタイプ） HPJP6,ヤザワ≪国内用≫ 変換プラグ（SE&rarr;Aタイプ） HPJP6[rn]
39-48775,http://tshop.r10s.jp/dtc/cabinet/20170414n4/4907986201635.jpg?fitin=700:700,5166.4000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,樫村変圧器 （ダウントランス）（110-130V/220-240V・100/45W・2USB 2.1A） TI-163 (TI163),,"<table width=""710""><tr><td>日本の家電製品を海外で使うための変圧器。</td></tr></table><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2""><br>■日本の家電製品を海外で使うための変圧器<br>■デジタルオーディオ機器が充電できるUSB出力端子2ポート付 （2ポート合計2.1A）<br>　※別途USBケーブルが必要です。<br>■サーマルプロテクタ（自動復帰）内蔵の安全設計<br>■本体にコードを巻き取れる、便利な収納タイプ<br>■ブルーに光る通電ランプ内蔵<br>■2つの電化製品が同時に使える出力コンセント2個口<br>■電圧AC110～130Vの国で100W（2口合計）までの日本の電化製品が使えます<br>■電圧AC220～240Vの国で45W（2口合計）までの日本の電化製品が使えます<br>※連続使用（30分以上）の場合は定格容量の80％を超えないでお使いください。<br>※熱を発生する製品（アイロン等）やモーターの回転する製品（ドライヤー等）は消費電力の3倍以上の定格容量が必要です。<br>※医療器具には使用しないでください。<br>※日本国内では使用できません。<br>≪主な仕様≫<br>・入力電圧： AC110-130V/AC220-240V<br>・周波数： 50Hz/60Hz<br>・出力電圧： AC100V×2 / USB出力： DC5V/2.1A （2口合計）<br>・定格容量： AC130V時 100W （2口合計） / AC240V時 45W （2口合計）<br>・温度過昇防止装置： サーマルプロテクタ<br>・本体電源プラグ： Cプラグ<br>・出力コンセント： Aタイプ （2個付）<br>・コード長： 約76cm<br>・本体サイズ/重量： 88Wx120Hx31Dmm / 490g<br></font></td></tr></table><DIV align=""center"">
<CENTER>
<TABLE border=""0"" cellspacing=""0"" width=""600"" style=""border-collapse: collapse"" bordercolor=""#111111"" cellpadding=""0"">
  <TBODY>
    <TR>
      <TD width=""621""></TD>
    </TR>
  </TBODY>
</TABLE>
</CENTER>
</DIV>",樫村変圧器 （ダウントランス）（110-130V/220-240V・100/45W・2USB 2.1A） TI-163 (TI163)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone樫村変圧器 （ダウントランス）（110-130V/220-240V・100/45W・2USB 2.1A） TI-163 (TI163),樫村変圧器 （ダウントランス）（110-130V/220-240V・100/45W・2USB 2.1A） TI-163 (TI163)[rn]
39-48776,http://tshop.r10s.jp/dtc/cabinet/20170207n8/4907986022131.jpg?fitin=700:700,734.4000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,樫村海外用2口変換プラグAタイプ WP-13 (WP13),,"<DIV align=""center"">
<CENTER>
<TABLE border=""0"" cellspacing=""0"" width=""600"" style=""border-collapse: collapse"" bordercolor=""#111111"" cellpadding=""0"">
  <TBODY>
    <TR>
      <TD width=""621""></TD>
    </TR>
  </TBODY>
</TABLE>
</CENTER>
</DIV>",樫村海外用2口変換プラグAタイプ WP-13 (WP13)：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhone樫村海外用2口変換プラグAタイプ WP-13 (WP13),樫村海外用2口変換プラグAタイプ WP-13 (WP13)[rn]
39-48777,http://tshop.r10s.jp/dtc/cabinet/20131112h/4966307114597.jpg?fitin=700:700,616.0000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,ヤザワACアダプタ用海外用マルチ変換プラグ HPM7WH ホワイト,,"<table width=""710""><tr><td>5タイプのコンセントに対応しているので、渡航先でもお手持ちの電気製品が使えます。</td></tr></table><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""710"" style=""line-height:140%;""><tr><td><font size=""2"">■5タイプのコンセントに対応しているので、渡航先でもお手持ちの電気製品が使えます。<br><br>  ■ノートPCやビデオカメラなどに使用可能な2ピンメガネ型プラグタイプです。<br><br>  ※変圧機能のない機器を使用する場合は、変圧器（別売）が必要な場合があります。<br><br></font></td></tr></table><table cellspacing=""0"" cellpadding=""4"" border=""1"" width=""710"" bordercolor=""#cccccc""><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">商品名</font></td><td width=""530""><font size=""2"">ACアダプタ用海外用マルチ変換プラグ　HPM7WHホワイト</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">型番</font></td><td width=""530""><font size=""2"">HPM7WH</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">メーカー</font></td><td width=""530""><font size=""2"">ヤザワ</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">色</font></td><td width=""530""><font size=""2"">（WH）ホワイト</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体サイズ（H×W×D）mm</font></td><td width=""530""><font size=""2"">65×38×20mm</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">本体重量</font></td><td width=""530""><font size=""2"">88g</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">プラグ形状</font></td><td width=""530""><font size=""2"">2Pストレート型</font></td></tr><tr><td width=""180"" bgcolor=""#efefef""><font size=""2"">この変換プラグが使える壁などの電源コンセント形状</font></td><td width=""530""><font size=""2"">A・C・O・BF・SE</font></td></tr></table><DIV align=""center"">
<CENTER>
<TABLE border=""0"" cellspacing=""0"" width=""600"" style=""border-collapse: collapse"" bordercolor=""#111111"" cellpadding=""0"">
  <TBODY>
    <TR>
      <TD width=""621""></TD>
    </TR>
  </TBODY>
</TABLE>
</CENTER>
</DIV>",ヤザワACアダプタ用海外用マルチ変換プラグ HPM7WH ホワイト：ソフマップ楽天市場店,ソフマップSofmapパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古アウトレットiPadiPhoneヤザワACアダプタ用海外用マルチ変換プラグ HPM7WH ホワイト,ヤザワACアダプタ用海外用マルチ変換プラグ HPM7WH ホワイト[rn]
39-48778,http://tshop.r10s.jp/fkikaku/cabinet/03574889/05180193/imgrc0073023329.jpg?fitin=700:700,2937.6000,,日用品雑貨・文房具・手芸 > 旅行用品 > 旅行用変圧器・変換プラグ,スーツケース同時購入者限定♪海外旅行用変圧器 【全世界対応】【ＵＳＢ充電ポート付】今なら世界各国対応変換プラグ5個セットプレゼント付♪スーツケース同時購入者限定 10P09Jul16,変換プラグプレゼント中♪,"<!--  同梱　　-->



<center>
<img src=http://image.rakuten.co.jp/fkikaku/cabinet/03345366/img60048770.gif> <br>
<br>
<table bgcolor=""#cc131d"" width=""740px"" height=""60px"">
<tr>
<th><a href=""http://item.rakuten.co.jp/fkikaku/10000954-2/""><font color=""#ffffff"" size=""6""><b>単品でご購入の方はコチラ！</b></font></a></th>

</tr>
</table></a>

<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962837.jpg""><br>


<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962838.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962839.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962840.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962841.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962840.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962842.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962843.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962844.jpg""><br>
<img src=""http://image.rakuten.co.jp/fkikaku/cabinet/03574889/05180193/imgrc0072962845.jpg""><br>
<br>

<b>【製品使用】</b>
<table width=""750"" cellpadding=""5"">

<tr align=""center"">
<th bgcolor=""#d6d6d6"">最大規格</th>
<td bgcolor=""#F5F5F5"" align=""left"">110～130Vで80W(100V)

,220～240Vで40W(100V)</td>


</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">入力電圧</th>
<td bgcolor=""#F5F5F5"" align=""left"">AC110V～130V,AC220V～240V(50/60Hz)</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">出力電圧</th>
<td bgcolor=""#F5F5F5"" align=""left"">AC100V　Aタイプ</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">USBポート</th>
<td bgcolor=""#F5F5F5"" align=""left"">DC5V　1A</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">材質(本体)</th>
<td bgcolor=""#F5F5F5"" align=""left"">ポリカーボネート</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">本体サイズ</th>
<td bgcolor=""#F5F5F5"" align=""left""><font size=""2"">約110(W)×74(D)×30(H)mm(突起物含みまず)</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">本体重量</th>
<td bgcolor=""#F5F5F5"" align=""left""><font size=""2"">約360g(ケーブル除く)</td>

</tr>
<tr align=""center"">
<th bgcolor=""#d6d6d6"">付属品</th>
<td bgcolor=""#F5F5F5"" align=""left"">型電源ケーブル(0.3m)Aタイプ,キャリングポーチ,取扱い説明書</td>

</tr>
</table>
</td></tr>
</table>

<img src=http://image.rakuten.co.jp/fkikaku/cabinet/03574889/imgrc0071579582.jpg><br>
<a href=""http://item.rakuten.co.jp/fkikaku/conversion-plug/"" target=""_blank""><img src=http://image.rakuten.co.jp/fkikaku/cabinet/03574889/imgrc0070303073.jpg></a><br>

<img src=http://image.rakuten.co.jp/fkikaku/cabinet/03574889/imgrc0070241581.jpg><br>
<a href=""http://www.rakuten.ne.jp/gold/fkikaku/transformer.html"" target=""_blank"">
<img src=http://image.rakuten.co.jp/fkikaku/cabinet/03574889/imgrc0070241582.jpg></a><br>
<br><br>
<br>
<br> <br> 
<a href=""http://item.rakuten.co.jp/fkikaku/10000954-2/"" target=""_blank"">
<table bgcolor=""#cc131d"" width=""740px"" height=""60px"">
<tr>
<th><font color=""#ffffff"" size=""6""><b>単品でご購入の方はコチラ！</b></font></th>

</tr>
</table></a><style type=""text/css"">
<!-- 

.image1 {
margin-bottom:7px;
}

.image2 {
margin-bottom:4px;
}

.image3 {
margin-bottom:0px;
}


a:hover img {
  opacity:0.7;
  filter: alpha(opacity=70); /* for IE6 */
}
.style1 {
color: #FFFFFF;
font-weight: bold;
}
.style3 {font-size: 10px}
.style5 {font-size: 12px}
.style7 {font-size: 12px; color: #666666; }


iframe#slide {overflow-x : hidden;}


.sidebar-dl {
  font-size: 75%;

}

.sidebar-dl dt {
  text-align: center;
  padding: 4px 0;
  background-color: #3e0204;
  color: #ffffff;
}

.sidebar-dl dd {
margin-left: 0px;
  line-height: 1.3em;
  padding: 8px;
background: -moz-linear-gradient(top, #ffffff, #dbdbdb);
background: -webkit-gradient(linear, left top, left bottom, from(#ffffff), to(#dbdbdb));
  border: 1px solid #3e0204;
}

.stripe{
 /*ここで背景のベースカラーを指定する*/
background-color: #dddddd;
 
/*ここでCSS3のグラデーションをつかってストライプのパターン・色を指定する
（※色を変える場合は#fffffffの部分を変更）*/
background-image: -webkit-gradient(linear, 0 0, 100% 100%,color-stop(.25, #ffffff), color-stop(.25, transparent),color-stop(.5, transparent), color-stop(.5, #ffffff),color-stop(.75, #ffffff), color-stop(.75, transparent),to(transparent));
 
/*ここでパターンの大きさを指定する
（※数字によってはストライプのグラデーションがずれるので注意）*/
-webkit-background-size: 11px 11px;
}


.border1px {
outline: 1px solid #e1e1e1; 
}

table#table-01 {
    width: 430px;
    border: 1px #E3E3E3 solid;
    border-collapse: collapse;
    border-spacing: 0;
font-size: 11px;
}

table#table-01 th {
    padding: 5px;
    border: #E3E3E3 solid;
    border-width: 0 0 1px 1px;
    background: #cc131d;
    font-weight: bold;
    line-height: 120%;
    text-align: center;
font-size: 11px;
}
table#table-01 td {
    padding: 5px;
    border: 1px #E3E3E3 solid;
    border-width: 0 0 1px 1px;
    text-align: center;
font-size: 11px;
}

p{
font-family:
""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif;
}
 

.p{
font-family:""ヒラギノ角ゴ Pro W3"", ""Hiragino Kaku Gothic Pro"", ""メイリオ"", Meiryo, Osaka, ""ＭＳ Ｐゴシック"", ""MS PGothic"", sans-serif;
color:#bd0000;
}


-->
</style>


<p>
全世界対応のマルチタイプなので、渡航先を選ばず使用できるのでとっても便利♪<BR>
便利なＵＳＢ充電ポート付なのでＵＳＢからの充電などにも対応！ <BR>
<BR>
自動復帰保護回路付き（サーマルプロテクター搭載）なので使用時<BR>
本体が加熱し内部の温度が異常に上昇した場合は自動的に<BR>
変圧器内部の保護装置が働き出力電圧を停止します。<BR>
電源プラグをコンセントからはずしていただければ約30分で元の状態に復帰できるようになります。<BR>
<BR>
<BR>
携帯電話、充電器、電気シェーバー、デジタルカメラ等定格内の幅広い電気製品に使用できます <BR>
<BR>
<p class=""p"">※ヘアドライヤーはご使用できません</p>
<p>●商品仕様 <BR>
地域及び定格：電圧使用地域110V～130Vで80W・220～240Vで40W（最大） <BR>
入力電圧・コンセント：AC110V～130V・AC220V～240V及びAC250V（50/60Hz）タイプ <BR>
出力電圧・コンセント：AC100V　Ａタイプ <BR>
USBポート：DC5V・1A <BR>
保証期間：6か月<BR>
<BR>
材質：ポリカーポネート <BR>
本体サイズ：約110(W)×74（H)×30(D)ｍｍ（突起物含まず） <BR>
本体重量：約360ｇ（ケーブル除く） <BR>
付属品：電源ケーブル(0.3M）Aタイプ、キャリングポーチ・取扱い説明書 <BR>

</p><style type=""text/css"">
<!--
a:hover img {
  opacity:0.7;
  filter: alpha(opacity=70); /* for IE6 */
}

/* お気に入り商品差し替えタグ */
#rakutenLimitedId_aroundCart #serviceTableSml td.favorite {
padding-top: 5px;
}
#rakutenLimitedId_aroundCart div.bookmarkArea div.bkm {
width: 308px !important;
height:172px !important;
padding: 0px 0px 10px 0px !important;
}
#rakutenLimitedId_aroundCart div.bookmarkArea div.bkm a.addBkm {
width: 308px !important;
height:172px !important;
}
#rakutenLimitedId_aroundCart div.bookmarkArea div.bkm a.addBkm span.bkmStar {
display: inline-block !important;
width: 308px !important;
height:172px !important;
margin:0px 0px 10px 0px !important;
background: url(""http://image.rakuten.co.jp/fkikaku/cabinet/03288871/imgrc0067995040.gif"") no-repeat !important;
}

/* お気に入りショップ差し替えタグ */
div.bookmarkArea {
width: 262px !important;
}
#rakutenLimitedId_aroundCart div.shopBookmarkArea div.shopBkm {
width: 262px !important;
height:31px !important;
padding: 0px 0px !important;
padding-left: 0px !important;
}
#rakutenLimitedId_aroundCart div.shopBookmarkArea div.shopBkm a.addShopBkm span.shopBkmStar {
display: inline-block !important;
width: 262px !important;
height:31px !important;
margin-right: 0px !important;
background: url(""http://image.rakuten.co.jp/fkikaku/cabinet/03288871/imgrc0067994818.gif"") no-repeat !important;
}


/* サイドバナー変更　http://image.rakuten.co.jp/fkikaku/cabinet/03345366/03401780/toppage/imgrc0072387097.gif */

body {  margin: 0;    padding: 0; 
          /*background-image: url(""http://image.rakuten.co.jp/fkikaku/cabinet/03345366/03401780/toppage/imgrc0073756272.gif"");*/
          background-repeat: repeat-y;
          background-position: center; 
}

/* 選択欄余白 */
td.inventory_choice_name {
padding: 5px;
}


/*買い物かごに入れるボタン*/
#rakutenLimitedId_aroundCart input[value=""買い物かごに入れる""]{
background: url(""http://image.rakuten.co.jp/fkikaku/cabinet/03288871/imgrc0067651120.gif"") left top no-repeat;
width:231px;
height:66px;
text-indent:100%;
white-space:nowrap;
overflow:hidden;
border: none;
padding:0;
margin-top:5px 0;
cursor:pointer;
}
#rakutenLimitedId_aroundCart tbody tr td input:hover{
alpha(opacity=8);
-moz-opacity:0.8;
opacity:0.8;
cursor:pointer;
}

/*IE対応*/
*html td > radio {
background:url() #fcfcfc no-repeat 0px 0px;

}

/* 個数入力欄の大きさ */
input#units {
padding: 0px 0px;
font-weight:normal;
background:url() #fcfcfc no-repeat 0px 0px;
color:#000000;
text-align:center;
}

/* 納期情報フォント設定 */
td.inventory font{font-size:5px;color:#a9a9a9;}
td.inventory{word-wrap:break-word;width:100px;}

div#rakutenLimitedId_aroundCart td font[size=""3""] {
  color: #bf0000 !important;
  font-size: 6px !important;
}

-->
</style>",スーツケース同時購入者限定♪海外旅行用変圧器 【全世界対応】【ＵＳＢ充電ポート付】今なら世界各国対応変換プラグ5個セットプレゼント付♪スーツケース同時購入者限定 10P09Jul16：スーツケース専門店ＦＫＩＫＡＫＵ,スーツケースキャリーケースTSAロックソフトケース旅行用品超軽量キャリーバッグトラベル機内持込海外旅行マネキン変圧器トランクケーストランクビジネストートバッグスーツケース同時購入者限定♪海外旅行用変圧器 【全世界対応】【ＵＳＢ充電ポート付】今なら世界各国対応変換プラグ5個セットプレゼント付♪スーツケース同時購入者限定 10P09Jul16,変換プラグプレゼント中♪。スーツケース同時購入者限定♪海外旅行用変圧器 【全世界対応】【ＵＳＢ充電ポート付】今なら世界各国対応変換プラグ5個セットプレゼント付♪スーツケース同時購入者限定 10P09Jul16[rn]
