39-14611,http://tshop.r10s.jp/argus/cabinet/05063423/imgrc0077989317.jpg?fitin=700:700,14688.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【お取り寄せ・送料無料】RICOH リコー FL-BC1218A-VG CCTV交換レンズ Cマウント[PENTAX ペンタックス 旧型番 B1218A],,"<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/imgrc0077953320.jpg"" border=""0""><br><BR>
<b>メーカー取り寄せ商品です。タイミングによりましてはお時間が掛かる場合がございます。</b><BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/imgrc0077996360.jpg"" border=""0""><br><BR><BR>
画面サイズ  1型<BR>  
焦点距離  12.5 mm<BR>  
最大口径比  1:1.8<BR>  
絞り範囲  1.8～Close<BR>  
マウント  C<BR>  
水平画角<BR>
1/3型  22.0°<BR>  
1/2型  29.1°<BR>  
1/1.8型  32.6°<BR>  
2/3型  39.5°<BR>  
2/3型  55.4°<BR>  
至近距離  0.3 m<BR>  
バックフォーカス  10.36 mm<BR>  
フィルターサイズ  40.5 P=0.5 mm<BR>  
外形寸法  φ42×40 mm<BR>  
質量  95 g<BR>  
備考  ロックネジ付、ロックレバー添付 
<BR> <BR>",【お取り寄せ・送料無料】RICOH リコー FL-BC1218A-VG CCTV交換レンズ Cマウント[PENTAX ペンタックス 旧型番 B1218A]：カメラ虎の穴,【お取り寄せ・送料無料】RICOH リコー FL-BC1218A-VG CCTV交換レンズ Cマウント[PENTAX ペンタックス 旧型番 B1218A],【お取り寄せ・送料無料】RICOH リコー FL-BC1218A-VG CCTV交換レンズ Cマウント[PENTAX ペンタックス 旧型番 B1218A][rn]
39-14612,http://tshop.r10s.jp/argus/cabinet/05063423/05270454/imgrc0081502475.jpg?fitin=700:700,23840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【お取り寄せ・送料無料】TAMRON タムロン 17HF[CCTV交換レンズ 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ2/3][焦点距離16mm][Cマウント],,"<b>メーカー取り寄せ商品です。タイミングによりましてはお時間が掛かる場合がございます。</b><BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081502476.jpg"" border=""0""><br><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081502477.jpg"" border=""0""><BR><BR>",【お取り寄せ・送料無料】TAMRON タムロン 17HF[CCTV交換レンズ 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ2/3][焦点距離16mm][Cマウント]：カメラ虎の穴,【お取り寄せ・送料無料】TAMRON タムロン 17HF[CCTV交換レンズ 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ2/3][焦点距離16mm][Cマウント],【お取り寄せ・送料無料】TAMRON タムロン 17HF[CCTV交換レンズ 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ2/3][焦点距離16mm][Cマウント][rn]
39-14613,http://tshop.r10s.jp/argus/cabinet/05063423/05270454/imgrc0081513247.jpg?fitin=700:700,24800.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【お取り寄せ・送料無料】TAMRON タムロン M118FM08[CCTV交換レンズ 1/1.8型超高性能 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ1/1.8][焦点距離8mm][Cマウント],,"<b>メーカー取り寄せ商品です。タイミングによりましてはお時間が掛かる場合がございます。</b><BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081513248.jpg"" border=""0""><br><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081513249.jpg"" border=""0""><br><BR>",【お取り寄せ・送料無料】TAMRON タムロン M118FM08[CCTV交換レンズ 1/1.8型超高性能 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ1/1.8][焦点距離8mm][Cマウント]：カメラ虎の穴,【お取り寄せ・送料無料】TAMRON タムロン M118FM08[CCTV交換レンズ 1/1.8型超高性能 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ1/1.8][焦点距離8mm][Cマウント],【お取り寄せ・送料無料】TAMRON タムロン M118FM08[CCTV交換レンズ 1/1.8型超高性能 産業・マシンビジョン用単焦点レンズ] [CCTV Lenses][手動・ロック付][イメージャーサイズ1/1.8][焦点距離8mm][Cマウント][rn]
39-14614,http://tshop.r10s.jp/argus/cabinet/03002891/03804772/04849384/imgrc0075803279.jpg?fitin=700:700,79704.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【LAOWA国内正規販売店・3年保証】LAOWA 105mm f/2 'the Bokeh Dreamer ソニーA（α）マウント用,,"<b>作例写真</b><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/04849384/imgrc0075148033.jpg"" border=""0""><br><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/04849384/imgrc0075148034.jpg"" border=""0""><br><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/04849384/imgrc0075148043.jpg"" border=""0""><BR><BR><BR>
・レンズユニット内に「アポダイゼーション（APD）フィルター」を搭載し、<BR>
美しく自然なボケ味を表現します。この効果はAPDフィルターを持つ、透過率を<BR>
中心から周辺部に向かってなだらかに変化させる機能を利用しています。<BR><BR>
・レンズ構成は、低分散レンズ3枚、高屈折レンズ1枚、アポダイゼーションエレメント1枚を<BR>
含む8群11枚の高性能光学設計でシャープで色収差の少ない画像を得られます。<BR><BR>
・14枚の絞り羽根で構成される円形絞りを搭載することで、美しく自然なボケを実現。<BR>
さらにボケ味だけでなく、光量調整（T値）が出来ることも有効です。<BR>
また、通常のF値や被写界深度を制御する8枚羽根絞りも採用。2つの絞り機構を搭載しています。<BR><BR>
・耐久性を強化した金属製のレンズ筐体を使用し、専用フード付属。<BR><BR><BR>
<b>主な仕様</b><BR>
焦点距離：105mm<BR>
最大口径比：F値　F/2～F/22、T値　T/3.2～T/8<BR>
画角：23度<BR>
レンズ構成：8群11枚<BR>
絞り羽根枚数：F　8枚、T 14枚<BR>
最小撮影距離：0.9m<BR>
最大撮影倍率：0.16倍<BR>
フィルター径：67mm<BR>
フォーカス：マニュアルフォーカス（MF)<BR>
サイズ：約76×約98.9mm<BR>
質量：約746ｇ<BR>
付属品：専用フード・日本語取扱説明書・3年間保証付
<BR><BR>　<BR>
<B>当店で販売しているLAOWA全商品は正規代理店の（株）サイトロンジャパンより<BR>
直接仕入れております。国内正規品です。</b><BR><BR><BR>",【LAOWA国内正規販売店・3年保証】LAOWA 105mm f/2 'the Bokeh Dreamer ソニーA（α）マウント用：カメラ虎の穴,【LAOWA国内正規販売店・3年保証】LAOWA 105mm f/2 'the Bokeh Dreamer ソニーA（α）マウント用,【LAOWA国内正規販売店・3年保証】LAOWA 105mm f/2 'the Bokeh Dreamer ソニーA（α）マウント用[rn]
39-14615,http://tshop.r10s.jp/argus/cabinet/03002891/img58560661.jpg?fitin=700:700,35840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【ブロアー＆シリコンクロス付・送料無料】タムロン　TAMRON　SP AF90mm F/2.8 Di MACRO 1:1 (Model272E) (ソニー用),【メーカー取り寄せ】,"<BR><BR><B><FONT COLOR=#ff0000>■■ 日本製シリコンクロスとエツミのブロアーをプレゼント中です！ ■■</FONT></B><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/img58559087.jpg"" border=""0""><BR><BR>
<BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/img58560851.jpg"" border=""0""><br><br>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/img58560852.jpg"" border=""0""><br><br>",【ブロアー＆シリコンクロス付・送料無料】タムロン　TAMRON　SP AF90mm F/2.8 Di MACRO 1:1 (Model272E) (ソニー用)：カメラ虎の穴,【ブロアー＆シリコンクロス付・送料無料】タムロン　TAMRON　SP AF90mm F/2.8 Di MACRO 1:1 (Model272E) (ソニー用),【メーカー取り寄せ】。【ブロアー＆シリコンクロス付・送料無料】タムロン　TAMRON　SP AF90mm F/2.8 Di MACRO 1:1 (Model272E) (ソニー用)[rn]
39-14616,http://tshop.r10s.jp/argus/cabinet/05063423/05270454/imgrc0081256828.jpg?fitin=700:700,21440.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【お取り寄せ・送料無料】TAMRON タムロン 13VM550ASII[CCTV交換レンズ 可視光対応SDバリフォーカルレンズ] [CCTV Lenses][マニュアルアイリス][イメージャーサイズ1/3][焦点距離5-50mm][CSマウント],,"<b>メーカー取り寄せ商品です。タイミングによりましてはお時間が掛かる場合がございます。</b><BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081256829.jpg"" border=""0""><br><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/05270454/imgrc0081256830.jpg"" border=""0""><BR><BR>",【お取り寄せ・送料無料】TAMRON タムロン 13VM550ASII[CCTV交換レンズ 可視光対応SDバリフォーカルレンズ] [CCTV Lenses][マニュアルアイリス][イメージャーサイズ1/3][焦点距離5-50mm][CSマウント]：カメラ虎の穴,【お取り寄せ・送料無料】TAMRON タムロン 13VM550ASII[CCTV交換レンズ 可視光対応SDバリフォーカルレンズ] [CCTV Lenses][マニュアルアイリス][イメージャーサイズ1/3][焦点距離5-50mm][CSマウント],【お取り寄せ・送料無料】TAMRON タムロン 13VM550ASII[CCTV交換レンズ 可視光対応SDバリフォーカルレンズ] [CCTV Lenses][マニュアルアイリス][イメージャーサイズ1/3][焦点距離5-50mm][CSマウント][rn]
39-14617,http://tshop.r10s.jp/argus/cabinet/03002891/03804772/img61279276.jpg?fitin=700:700,59840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【在庫あり・送料無料】タムロン TAMRON SP AF200-500mmF/5-6.3 Di LD [IF]（Model A08M） [ソニー用]［国内正規品］,【ブロアー＆携帯クリーナープレゼント！】,"<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/img61279275.jpg"" border=""0""><br><br><BR><BR>
<BR><BR><B><FONT COLOR=#ff0000>■■ 当店限定ブロアー&携帯クリーナーをプレゼント中です！ ■■</FONT></B><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/img61278633.jpg"" border=""0""><BR><BR>
<BR>
<B>商品特長</b><BR><BR>
<b>高い描写性能を実現させる「タムロンSP」仕様。</b><BR>
SP（SUPER PERFORMANCE）SP AF200-500mmF/5-6.3 Diは、AF200-400mmF/5.6 LD [IF]（モデル175D）に比べ、解像力、コントラストとも、ズーム全域にわたり向上させました。 <BR><BR>
<b>LD（Low Dispersion:低屈折率、低分散）レンズの採用により、諸収差を補正。</b><BR>
LDレンズ2枚を採用することにより、望遠レンズで目立ち易い軸上色収差を低減、ズーム全域にわたって高画質、かつクリアーで抜けの良い発色を実現しました。
<BR><BR>
<b>コントラスト重視の超高画質</b><BR>
非常に高いレベルでバランスのとれた光学設計により、低周波域での高コントラストを達成しつつ、高い解像性能を実現しました。画面中心部から周辺部まで均一でシャープな描写。超高画質を達成しました。
<BR><BR>
<b>軽量化を実現するため、エンジニアリング・プラスチックを採用。</b><BR>
レンズ鏡筒を構成するパーツに、寸法安定性に優れ工業用途にも充分な強度を持つエンジニアリング・プラスチックを採用することにより、大幅に重量を低減させました。<BR><BR>
<b>フード装着時でもPLフィルターが操作できる、フィルター・エフェクト・コントロール（FEC）アダプターを標準付属品として用意。</b><BR>
フィールドでの撮影には欠かせないアイテムとしてPLフィルターがあります。今までのレンズはフードを装着すると、PLフィルターの操作性が悪くなりますが、SP AF200-500mmF/5-6.3 Diはフィルター装着部の周りを回すと、フード装着時でもPLフィルターを回転させることが可能な着脱式のフィルター・エフェクト・コントロール（FEC）アダプターを標準付属品としています。<BR><BR>
<b>最短撮影距離ズーム全域2.5m</b><BR>
超望遠ズームレンズでありながら、最短撮影距離ズーム全域2.5mを達成。最大撮影倍率も焦点距離500mm時に2.5mまで被写体に迫り1:5.0を実現。従来の超望遠表現に加えて、小さな被写体に注目した大胆な写真を撮影することができます。<BR><BR>
<b>着脱式三脚座を採用。</b><BR>
軽量で高剛性を誇るマグネシウム合金を採用したワンタッチで着脱可能な三脚座を採用。三脚使用時の操作性を向上させるとともに、手持ち撮影時のホールディングが大幅に向上しました。<BR><BR><BR>
モデル名 A08<BR>
焦点距離 200-500mm<BR>
画角（対角画角） 12° - 5°（APS-Cサイズ相当）<BR>
明るさ F/5-6.3<BR>
レンズ構成 10群13枚<BR>
絞り羽根枚数 9枚<BR>
最短撮影距離 2.5m（ズーム全域）<BR>
最大撮影倍率 1:5.0<BR>
長さ 224.5mm<BR>
最大径 φ93.5mm<BR> 
フィルター径 φ86mm<BR>
質量 1226g（フィルター・エフェクト・コントロール　アダプター装着時　1291g）<BR>
最小絞り F/32<BR>
標準付属品 丸型フード、ケース、着脱式三脚座、フィルター・エフェクト・コントロール・アダプター<BR>
対応マウント ソニー用<BR>
メーカー1年保証付",【在庫あり・送料無料】タムロン TAMRON SP AF200-500mmF/5-6.3 Di LD [IF]（Model A08M） [ソニー用]［国内正規品］：カメラ虎の穴,【在庫あり・送料無料】タムロン TAMRON SP AF200-500mmF/5-6.3 Di LD [IF]（Model A08M） [ソニー用]［国内正規品］,【ブロアー＆携帯クリーナープレゼント！】。【在庫あり・送料無料】タムロン TAMRON SP AF200-500mmF/5-6.3 Di LD [IF]（Model A08M） [ソニー用]［国内正規品］[rn]
39-14618,http://tshop.r10s.jp/argus/cabinet/05063423/imgrc0078062111.jpg?fitin=700:700,92448.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【お取り寄せ・送料無料】RICOH リコー FL-CC0814-5M[5メガピクセル対応FAレンズ Cマウント][CCTV交換レンズ][PENTAX ペンタックス 旧型番 C814-5M],,"<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/imgrc0077953320.jpg"" border=""0""><br><BR>
<b>メーカー取り寄せ商品です。タイミングによりましてはお時間が掛かる場合がございます。</b><BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/05063423/imgrc0078062126.jpg"" border=""0""><br><BR><BR>
画面サイズ  2/3型<BR>  
焦点距離  8 mm<BR>  
最大口径比  1：1.4<BR>  
絞り範囲  1.4～16<BR>  
マウント  C<BR>  
水平画角<BR>
1/3型  32.9°<BR>  
1/2型  43.2°<BR>  
1/1.8型  48.2°<BR>  
2/3型  57.8°<BR>  
至近距離  0.1 m<BR>  
バックフォーカス  11.5 mm<BR>  
フィルターサイズ  58 P=0.75 mm<BR>  
外形寸法  φ60.8×64 mm<BR>  
質量  260 g<BR>  
備考  ロックネジ付、ロックレバー添付 
<BR><BR>",【お取り寄せ・送料無料】RICOH リコー FL-CC0814-5M[5メガピクセル対応FAレンズ Cマウント][CCTV交換レンズ][PENTAX ペンタックス 旧型番 C814-5M]：カメラ虎の穴,【お取り寄せ・送料無料】RICOH リコー FL-CC0814-5M[5メガピクセル対応FAレンズ Cマウント][CCTV交換レンズ][PENTAX ペンタックス 旧型番 C814-5M],【お取り寄せ・送料無料】RICOH リコー FL-CC0814-5M[5メガピクセル対応FAレンズ Cマウント][CCTV交換レンズ][PENTAX ペンタックス 旧型番 C814-5M][rn]
39-14619,http://tshop.r10s.jp/argus/cabinet/03002891/03804772/img61199389.jpg?fitin=700:700,55589.6000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【在庫あり・送料無料】タムロン TAMRON 16-300mm F/3.5-6.3 Di II VC PZD MACRO（Model B016N） [ニコン用],【レンズクロス＆タムロンロゴ入り携帯クリーナープレゼント】,"<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/img61199390.jpg"" border=""0""><br><br>
<BR><BR><B><FONT COLOR=#ff0000>■■ 当店限定ブロアー&クリーニングクロス&携帯クリーナーをプレゼント中です！ ■■</FONT></B><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/img61199415.jpg"" border=""0""><BR><BR>
<BR>
<B>商品特長</b><BR><BR>
<b>1.広角端16mm（35mm換算25mm）、世界初ズーム倍率約18.8倍を達成し、撮影領域を拡大</b><BR><BR>
従来の高倍率ズームレンズよりもさらに広範囲に被写体を写しとめたいというお客様からのご要望にお応えし、他にはない広角端16mmのレンズを開発しました。さらに望遠側も300mm（35mm換算465mm）の超望遠域まで拡大。広角から超望遠まで、これまでにない圧倒的な迫力の画角変化を楽しめます。 <BR><BR>

<b>2.常用レンズとして信頼の高画質を実現</b><BR><BR>
レンズ構成は12群16枚。ガラスモールド非球面レンズ3枚、 複合非球面レンズ１枚、LD（Low Dispersion : 異常低分散）レンズ2枚、XR（Extra Refractive Index: 高屈折率）ガラス1枚、XRガラスよりも屈折率が高いUXR（Ultra-Extra Refractive Index: 超高屈折率）ガラス1枚など、特殊硝材を贅沢に使用することで諸収差を徹底補正。加えて、最新のコーティング技術により光の反射を抑え、ゴースト・フレアーを大幅に低減することで、クリアーでヌケの良い高画質を提供。 <BR><BR>

<b>3.新たな設計思想の導入により、徹底した小型化を実現</b><BR><BR>
前モデルのB008より広角端・望遠端ともに拡大しながらも、レンズボディが大型化しないよう、最新の光学技術を導入しました。前玉径の小型化に寄与するUXRガラスの導入、ガラスモールド非球面レンズの効果的な配置、設計の自由度を向上する5群移動ズーム方式の採用など、最新の光学設計技術、高度な機構設計技術、高精度なレンズ加工技術の融合により、高倍率化、高画質化を図りながらも、小型化を実現しました。 
<BR><BR>
<b>4.最短撮影距離0.39ｍにより、本格的なマクロ撮影が可能</b><BR><BR>
ズーム全域で最短撮影距離0.39m、最大撮影倍率1：2.9を達成しました。被写体にかなり近づくことができ、ストレスなく本格的なマクロ撮影が楽しめます。　　 
<BR><BR>
<b>5.超音波モーター『PZD（Piezo Drive）』採用により、快適なＡＦ操作を実現</b><BR><BR>
定在波型超音波モーター「PZD」※１）により、AF駆動時の高速化と静音化を実現。コントラストAFへの対応が強化され、ライブビューモード撮影時のピント合わせがよりスムーズになりました。また、B008には無かったフルタイムマニュアルフォーカス機構の搭載で、フォーカス時の利便性を向上させました。<BR><BR>
<b>6.手ブレ補正機構を搭載し、快適な手持ち撮影が可能</b><BR><BR>
安定したファインダー像で定評のある手ブレ補正機構「VC （Vibration Compensation）」※２）を搭載。手ブレによる失敗写真を防ぎ、シャープな画質が得られます。 <BR><BR>
<b>7.レンズ内部に水滴が浸入しにくい簡易防滴構造を採用</b><BR><BR>
<b>8.外観デザインを一新</b><BR><BR>
デジタル一眼レフカメラにふさわしい格調あるレンズを目指し、各部の質感を高めた新しい外観デザインを開発いたしました。直線基調の精緻なグリッドパターンを採用したズームリングとフォーカスリング、重厚な質感をもつタングステンシルバーのブランドリングなど、端正で高級感ある外観デザインを実現しました。 
<BR><BR>
<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/03804772/img61199401.jpg"" border=""0""><BR><BR>
<BR><BR>
モデル名 ： B016<BR> 
焦点距離 ： 16-300mm<BR>
明るさ ： F/3.5-6.3<BR>
画角 (対角画角) ： 82度12分～5度20分<BR> 
レンズ構成 ： 12群16枚<BR>
最短撮影距離 ： 0.39m<BR> 
最大撮影倍率 ： 1：2.9　（f=300mm時：最短撮影距離0.39m） <BR>
フィルター径 ： φ67mm<BR>
最大径 ： φ75mm<BR> 
長さ ： 99.5mm<BR>
質量 ： 540g<BR>
絞り羽根 ： 7枚 （円形絞り）<BR>
最小絞り ： F/22-40<BR>
標準付属品 ： 花型フード<BR>
対応マウント ： ニコン用",【在庫あり・送料無料】タムロン TAMRON 16-300mm F/3.5-6.3 Di II VC PZD MACRO（Model B016N） [ニコン用]：カメラ虎の穴,【在庫あり・送料無料】タムロン TAMRON 16-300mm F/3.5-6.3 Di II VC PZD MACRO（Model B016N） [ニコン用],【レンズクロス＆タムロンロゴ入り携帯クリーナープレゼント】。【在庫あり・送料無料】タムロン TAMRON 16-300mm F/3.5-6.3 Di II VC PZD MACRO（Model B016N） [ニコン用][rn]
39-14620,http://tshop.r10s.jp/argus/cabinet/03002891/img60510307.jpg?fitin=700:700,89691.2000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【通常1～3営業日後の発送予定・送料無料】タムロン　TAMRON　SP 150-600mm F/5-6.3 Di VC USD (Model A011N) [ニコン用],【レンズクロス＆タムロンロゴ入り携帯クリーナープレゼント】,"<img src=""http://image.rakuten.co.jp/argus/cabinet/03002891/img60510306.jpg"" border=""0""><br><br>
<B>商品特長</b><BR><BR>
<B>1.超望遠撮影で多用される焦点域150-600mmをカバーする4倍ズームレンズ</B><BR>
既存機種に比べ広角側を50mm、望遠側を100mm伸ばすことで、野鳥やワイルドライフ、スポーツ、飛行機などの撮影において、さらに迫力ある撮影が可能となりました。また、APS-Cサイズ相当のデジタル一眼レフカメラに装着すると、233-930mmと、焦点距離1000mmに迫る迫力ある焦点距離となります。<BR><BR>
<b>2.トップクラスの画質を実現</b><BR>
レンズ構成は13群20枚。高度な光学設計により、解像性能、コントラスト性能のバランスが良く、シャープでクリアな画質を実現。LD（Low Dispersion：異常低分散）レンズ3枚を1群に2枚、3群に1枚と、補正効果の高い前群に配置することにより、望遠撮影で問題となる軸上色収差を徹底補正しています。また、先進のコーティング技術により開発されたeBANDコーティング※1)と、従来のBBARコーティングを効果的に使用する事で、大幅にゴースト、フレアを抑制します。<BR><BR>
<b>3.テレ側を600mmまで伸ばしながらも、レンズの大型化を抑えました。</b><BR>
光学設計の工夫で、ズーミング時の（レンズ内部の）各レンズ群の移動量を最小限に留める事に成功。また、移動量を抑える事により、鏡筒の繰り出し量を少なくし、レンズ筐体のコンパクト化に寄与しています。<BR><BR>
<b>4.美しいボケ描写</b><BR>
写真表現を豊かにするボケ味。9枚の絞り羽根による円形絞りを採用し、美しいボケ描写を実現しました。絞り開放から2段絞り込んだ状態まで、ほぼ円形の絞り形状を保ちます。<BR><BR>
<B>5.手持ち撮影の機会を増やす手ブレ補正「VC (Vibration Compensation) 」※2)機構搭載</b><BR>
タムロン独自の3コイル方式を採用し、高い補正効果を発揮します。超望遠での手持ち撮影の機会を増やします。<BR><BR>
<b>6.快適AF</b><BR>
AFスピード及び精度を向上させるため、超音波モーター「USD」※3)を採用し、高トルク、高レスポンス、静粛性を実現。フルタイムマニュアル機構搭載で、オートフォーカス時にもマニュアルでのピントの微調整が可能です。<BR><BR>
<b>7.端正で高級感ある新しい外観デザインを採用</b><BR>
フルサイズデジタル一眼レフカメラにふさわしい格調あるレンズを目指し、各部の質感を高めた新しい外観デザインを開発いたしました。
直線基調の精緻なグリッドパターンを採用したズームリングとフォーカスリング、重厚な質感をもつタングステンシルバーのブランドリングなど、端正で高級感ある外観デザインを実現しました。<BR><BR>
<b>8.操作しやすい三脚座</b><BR>
三脚装着時の安定性、頑丈さ、操作性の向上、持ち運び易さを追求し、三脚座を大きく改善しました。
9.SILKYPIX Developer Studio for Tamron　タムロンSPレンズ専用版を付属
「SILKYPIX Developer Studio」は、デジタルカメラで撮影されたRAWデータから、ホワイトバランス、カラー、シャープ、トーンカーブ等のテイスト調整など、高品位な画像を現像するソフトです。タムロンSPレンズ専用版は、基本的な調整機能に加え、レンズの光学データに基づいた各収差補正（倍率色収差、ディストーション、周辺光量）機能を備えておりますので、高い描写性能を発揮するタムロンSPシリーズレンズと合わせて活用する事で作画意図にそった作品作りが効率的に行えます。<BR><BR><BR>

モデル名 ： A011<BR>
焦点距離 ： 150-600mm<BR>
 
明るさ ： F/5-6.3 
<BR>
画角 (対角画角) ： 16°25'～4°8'< 35mm判フルサイズ一眼レフカメラ使用時 ><BR>
10°38'～2°40'< APS-Cサイズ相当デジタル一眼レフカメラ使用時 > 
<BR>
レンズ構成 ： 13群20枚 
<BR>
最短撮影距離 ： 2.7m 
<BR>
最大撮影倍率 ： 1：5 
<BR>
フィルター径 ： φ95mm 
<BR>
最大径 ： φ105.6mm 
<BR>
長さ ： 257.8mm 
<BR>
質量 ： 1,951g（着脱式三脚座を含む） 
<BR>絞り羽根 ： 9枚（円形絞り）) 
<BR>最小絞り ： F32-40 
<BR>標準付属品 ： 丸型フード、着脱式三脚座 
対応マウント ： ニコン用",【通常1～3営業日後の発送予定・送料無料】タムロン　TAMRON　SP 150-600mm F/5-6.3 Di VC USD (Model A011N) [ニコン用]：カメラ虎の穴,【通常1～3営業日後の発送予定・送料無料】タムロン　TAMRON　SP 150-600mm F/5-6.3 Di VC USD (Model A011N) [ニコン用],【レンズクロス＆タムロンロゴ入り携帯クリーナープレゼント】。【通常1～3営業日後の発送予定・送料無料】タムロン　TAMRON　SP 150-600mm F/5-6.3 Di VC USD (Model A011N) [ニコン用][rn]
