7-1001,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/img61198176.jpg?fitin=700:700,864.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,まごころ銘茶深蒸し上煎茶　福寿　ふくじゅ　100ｇ詰袋　静岡産,一番人気の静岡産まごころ銘茶レギュラー茶　深蒸し上煎茶,"<Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/img/img61331160.gif"" ""Align=""Centar""><BR><BR>通年、八十八夜摘み茶使用の上級煎茶。<BR>
静岡産の牧之原台地の数件の茶園の新茶を仕上げた飲みやすいまろやかな深蒸し煎茶です。1年を通じて変わらない安定した味をご提供しています。<BR>
100g1000円のお茶はどのお茶屋さんも看板商品であり、そのお茶屋としてのレベルがわかります。この福寿は当店でも一番の主力商品であり、年間生産量は数トンを誇ります。1年を通じて安定した味を提供するとともに、回転率の良い鮮度の良いお茶です。<BR>
深蒸し茶の特長を生かした、まろやかさとコクのある味に仕上げました。「いつものお茶でないと・・・」という方にはおすすめののど越しのよい深蒸し茶です。<BR><BR>
<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">茶　（国産　静岡産）</font></td>
</tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">賞味期限</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">約180日（未開封）　</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">100g詰</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">保存方法
</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
高温多湿を避け冷暗所で保存してください。開封後はお早めにお召上がりください。</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">製造元</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",まごころ銘茶深蒸し上煎茶　福寿　ふくじゅ　100ｇ詰袋　静岡産：日本茶専門店松田園　楽天市場店,まごころ銘茶深蒸し上煎茶　福寿　ふくじゅ　100ｇ詰袋　静岡産,一番人気の静岡産まごころ銘茶レギュラー茶　深蒸し上煎茶。まごころ銘茶深蒸し上煎茶　福寿　ふくじゅ　100ｇ詰袋　静岡産[rn]
7-1002,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img65047395.jpg?fitin=700:700,950.4000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,掛川茶　お手軽　無農薬抹茶　PUN　ぷん　50g　掛川産松下農園　メール便送料無料,安心安全な農薬・化学肥料不使用の特別栽培茶の抹茶ティーバッグ,"<div align=""center"" style=""width:700px;""><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img65047395.jpg"" width=""700"" height=""700""><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63192648.jpg"" width=""700"" height=""1080""><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63192646.jpg"" width=""700"" height=""1000""><br><br><A Href=""http://item.rakuten.co.jp/auc-matsudaen/3588590/""><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63192644.jpg"" width=""700"" height=""700""></A><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63192647.jpg"" width=""700"" height=""780""><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63736783.jpg"" width=""700"" height=""780""><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img65047395.jpg"" width=""700"" height=""700""><br><br><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/suppin/img63192643.gif"" width=""337"" height=""448""><br><br></div><br><br><div id=""MyReview""></div>静岡県掛川市の有機栽培・松下茶園松下芳春さんが自園（通称：すっぴん農園）で農薬不使用の有機栽培茶を独自の釜炒り製法でつくった抹茶です。<BR>「こどもたちが安心して飲める、栄養価・ビタミン豊富な抹茶を手軽においしく楽しめるように」と考案され、化学肥料・農薬を使用しない、すっぴんのお茶から作られました。静岡県掛川市の有機栽培・松下茶園松下芳春さんが自園（通称：すっぴん農園）で農薬不使用の有機栽培茶を独自の釜炒り製法でつくった抹茶です。<BR><BR>『無農薬茶』としてJAS認定を受けた、有機栽培・無農薬抹茶です。独自の釜入製法で通常のお抹茶に比べ、香りが高く飲みやすいのが特長です。（すっぴんちゃんの抹茶よりワンランク上の原料を使用しております）<BR><BR>空いたペットボトルやマグボトル(水筒)に、スプーン1杯約3gを入れ、お湯を入れてシェークし、さらに氷水を入れてシャカシャカ振るだけで手軽に抹茶が楽しめます。もちろん、通常の抹茶のように茶筅で召し上がってもおいしい抹茶です。また、お好みで簡単に抹茶ラテや抹茶グリーンティーも作れます。<Br><Br>
<Font Color=""#ff0000"">こちらの商品はメール便送料無料でお送りいたします</Font><Br><Br>
<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">抹茶（国産）</font></td></tr><tr>
<th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">賞味期限</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">約240日（未開封）商品に記載</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">50g詰</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">保存方法</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
高温多湿を避け冷暗所で保存してください。開封後はお早めにお召上がりください。</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">販売元</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",掛川茶　お手軽　無農薬抹茶　PUN　ぷん　50g　掛川産松下農園　メール便送料無料：日本茶専門店松田園　楽天市場店,掛川茶　お手軽　無農薬抹茶　PUN　ぷん　50g　掛川産松下農園　メール便送料無料,安心安全な農薬・化学肥料不使用の特別栽培茶の抹茶ティーバッグ。掛川茶　お手軽　無農薬抹茶　PUN　ぷん　50g　掛川産松下農園　メール便送料無料[rn]
7-1003,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/mizudasi/imgrc0068216470.jpg?fitin=700:700,1040.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,水出し緑茶 冷やし緑茶10g×10個/水出し専用ブレンド緑茶 ガッテン 水出し茶 スーパー緑茶【DM便送料無料】,水出し緑茶に最適な松田園オリジナルブレンド,"<div style=""width:700px;""><p style=""margin:0; padding:0;""><a href=""http://item.rakuten.co.jp/auc-matsudaen/c/0000000179/""><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/mizudasi/imgrc0068216598.jpg"" width=""700"" height=""460"" alt=""ためしてガッテン スーパー緑茶 水出し茶""></a></p><br><br><p style=""margin:0; padding:0;""><a href=""http://item.rakuten.co.jp/auc-matsudaen/c/0000000179/""><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/mizudasi/imgrc0068216645.jpg"" width=""700"" height=""525""></a></p><br><br></div><img src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/mizudasi/imgrc0068216470.jpg"" width=""700"" height=""700""></p><br><br></div>10g詰袋×10個入のセット　水出し専用につくった当店オリジナルのブレンド茶。<br>まろやかな味の煎茶と、甘味の強いお茶、口当たりさっぱりの煎茶など、独自のブレンドで仕上げました。<br>きれいな緑の水色と、さわやかな味わいが特長です。<br><br>[水出し茶の特長]<br>1.通常緑茶（日本茶）の主な成分には、カテキン・カフェイン・テアニン・ビタミンがあります。カテキンは主に渋味、カフェインは苦味、テアニンはアミノ酸類で旨味・甘味があり、お茶の種類・品種や淹れ方(温度）により、味の出方が変わります。<br>水出しすることで、カテキン、カフェインがたくさん出ず、アミノ酸の旨味や甘味を多く感じられる、甘いお茶になります。<br>
さらに氷水（約４℃）で淹れることで、より一層渋味や甘味を抑えられ、甘味や旨味が多いお茶ができます。<br><br>2.またカテキンのなかのエピガロカテキン（EGC）は、水出し（冷水・氷水）で淹れることで、免疫系の効果を高める保健効果も期待できるお茶であることも発表されています。<br><br>[冷やし緑茶（水出し緑茶）の作り方］<br>茶葉10gを、水750ｍｌの冷水ポットに入れ、軽く撹拌して、冷蔵庫で約3時間から6時間入れて、冷やすだけ。（夜作って一晩おき朝にはできています）<br><br>さらに氷水を使って、茶葉10gから15gを冷水ポットに入れ、氷水を6分目まで入れて、軽く撹拌し、冷蔵庫で2～3時間冷やします。<br>グラスに氷をいれて注げばできあがり。<br><br>
※濃く感じた場合は水や氷で薄めてお召上り下さい。<br>※1日で飲みきる分量を作りましょう。<br><br>

<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">商品名</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">冷やし緑茶</font></td></tr><tr>
<th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff"">
<font size=""2"" color=""#000000"">茶</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">産地名</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">茶（静岡産）</font></td></tr>
<tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">100g（10g×10袋）</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font 
size=""2"" color=""#000000"">保存方法</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
直射日光を避け、冷暗所で保存</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">
賞味期限</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">商品裏面下部記載　約180日（未開封）</font>
</td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">備考</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">開封後はお早めにお召上がりください</font></td></tr><tr><th width=""94"" 
align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">製造者</font></th><td width=""291"" bgcolor=""#ffffff""><font 
size=""2"" color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",水出し緑茶 冷やし緑茶10g&times;10個/水出し専用ブレンド緑茶 ガッテン 水出し茶 スーパー緑茶【DM便送料無料】：日本茶専門店松田園　楽天市場店,水出し緑茶 冷やし緑茶10g&times;10個/水出し専用ブレンド緑茶 ガッテン 水出し茶 スーパー緑茶【DM便送料無料】,水出し緑茶に最適な松田園オリジナルブレンド。水出し緑茶 冷やし緑茶10g&times;10個/水出し専用ブレンド緑茶 ガッテン 水出し茶 スーパー緑茶【DM便送料無料】[rn]
7-1004,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/fukamushi/imgrc0069234000.jpg?fitin=700:700,1123.2000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,知覧茶ゆたかみどり（特上） 100ｇ詰袋 鹿児島産/日本茶 煎茶 鹿児島茶  2017年新茶,鮮やかな天然の緑色のお茶 ゆたかみどり,"<Font Color=""#ff0000"">【2017年度新茶荷いたしました】</Font><BR><BR><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/03341692/mothersdaygift/img65084577.jpg"" Width=""700"" Height=""1200"" Border=""0""><br><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/img/img61347677.jpg"" Width=""693"" Height=""460"" Border=""0""><br><br><br><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/img/img61347678.jpg"" Width=""693"" Height=""460"" Border=""0""><br><br><Font Color=""#ff0000"">【2017年度新茶入荷いたしました】</Font><BR><BR>[鹿児島　知覧産　ゆたかみどり]<BR>
しっかりとした濃厚な味(青味・苦味）ときれいな緑色の水色（すいしょく・お茶の色）が特長です。<BR>
静岡産のまろやかなタイプのお茶に比べ、やや全体的に味・独特の香りがありますが、クセになる方も多くいらっしゃいます。新茶ならではの鮮度の良い香りをお楽しみください。２、３煎目まで十分に楽しめる深蒸し製法。<BR>
特上ゆたかみどりは、選別された新茶を製茶し、くせのないきれいな味に仕上げました。新茶ならではの香りとおいしさをお求めの方はもちろん、御贈答用にもおすすめいたします。<BR><BR>
○ご挨拶やお土産に…ご用途に応じて個別包装いたします。<BR><BR>
<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">茶　（国産　鹿児島産）</font></td>
</tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">賞味期限</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">約180日（未開封）　</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">100g詰</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">保存方法
</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
高温多湿を避け冷暗所で保存してください。開封後はお早めにお召上がりください。</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">製造元</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",知覧茶ゆたかみどり（特上） 100ｇ詰袋 鹿児島産/日本茶 煎茶 鹿児島茶  2017年新茶：日本茶専門店松田園　楽天市場店,知覧茶ゆたかみどり（特上） 100ｇ詰袋 鹿児島産/日本茶 煎茶 鹿児島茶  2017年新茶,鮮やかな天然の緑色のお茶 ゆたかみどり。知覧茶ゆたかみどり（特上） 100ｇ詰袋 鹿児島産/日本茶 煎茶 鹿児島茶  2017年新茶[rn]
7-1005,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/img61208024.jpg?fitin=700:700,1728.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,特上煎茶　初摘み　100ｇ詰袋　特上深蒸し煎茶　静岡産　2017年度　新茶,静岡産　契約指定茶園限定摘み 特上煎茶「初摘み」,"【2017年度新茶　入荷いたしました】<BR>[特上深蒸し煎茶]<BR>
新茶の初摘み時期に、特別な限定した茶園で丁寧に摘み取られたお茶を原料に、全国のお茶通の皆様に支持されている深蒸し特上品。<BR>

ミル芽のやわらかな新茶の香りが楽しめる、やや形状の細かい深蒸し煎茶です。まろやかな甘味と旨味がお口の中で広がります。ほんのり渋味のある、まろやかな味わいは贈り物にも喜ばれます。<BR>
※レギュラーの特上煎茶瑞鳳ではございません。<BR><BR>
<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">茶　（国産　静岡産）</font></td>
</tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">賞味期限</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">約180日（未開封）　</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">100g詰</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">保存方法
</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">
高温多湿を避け冷暗所で保存してください。開封後はお早めにお召上がりください。</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">製造元</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",特上煎茶　初摘み　100ｇ詰袋　特上深蒸し煎茶　静岡産　2017年度　新茶：日本茶専門店松田園　楽天市場店,特上煎茶　初摘み　100ｇ詰袋　特上深蒸し煎茶　静岡産　2017年度　新茶,静岡産　契約指定茶園限定摘み 特上煎茶「初摘み」。特上煎茶　初摘み　100ｇ詰袋　特上深蒸し煎茶　静岡産　2017年度　新茶[rn]
7-1006,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/gyoumuyou_leaf/imgrc0071269546.jpg?fitin=700:700,1600.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,業務用煎茶　徳用深むし煎茶　100g×5袋　メール便送料無料,,"<Div Align=""center""><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/gyoumuyou_leaf/imgrc0071269546.jpg"" Width=""700"" Height=""700""><br><br><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/gyoumuyou_leaf/imgrc0071269545.jpg"" Width=""700"" Height=""700""><br><br><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/dmbin/imgrc0068217310.jpg"" Width=""700"" Height=""700""><br></Div>■こちらの商品はクロネコDM便（メール便）でのお届けとなります（指定日配達・代金引換不可）<br><br>
たくさんお使いになる職場やご家庭用としてお得な業務用煎茶です。<br>
静岡産深蒸し茶でつくった業務用のブレンド煎茶です。主に業務用として販売している おすすめのお茶です。ご家庭でお茶を多くお飲みご家族に、またオフィス・飲食店など業務用としてもお使いいただけます。<br>
<br>
原材料：茶（国産）<br>
内容量：500g(100g詰×5）<br>
賞味期限：商品ラベルに記載<br>
保存方法：高温多湿を避け冷暗所にて保存<br>
賞味期限：常温　約180日<Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",業務用煎茶　徳用深むし煎茶　100g&times;5袋　メール便送料無料：日本茶専門店松田園　楽天市場店,業務用煎茶　徳用深むし煎茶　100g&times;5袋　メール便送料無料,業務用煎茶　徳用深むし煎茶　100g&times;5袋　メール便送料無料[rn]
7-1007,http://tshop.r10s.jp/auc-matsudaen/cabinet/mtd_tea/houji/img61757293.jpg?fitin=700:700,4320.0000,,水・ソフトドリンク > お茶・紅茶 > 茶葉・ティーバッグ > 日本茶,【期間限定】上くきほうじ茶　浮橋100ｇ袋×10パック/棒茶・棒ほうじ,お得な上くきほうじ茶（棒茶）10パック送料無料,"<Center><Img Src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/mtd_tea/houji/img61781760.jpg""><BR><BR>静岡茶のくきの部分を丁寧に強火で焙じました（棒茶）。いつも煎りたての味をお届けしております。
中煎りの煎りたての香ばしさと飲んだ後のすっきりとした口当たりが自慢のほうじ茶。創業以来全国のお客様に約７日から１０日サイクルで煎ってお届けしております。普段用にも最適のほうじ茶です。<BR><BR>

※一般的なほうじ茶は、通常二番茶以下の”番茶”を焙じますが、こちらの焙じ茶は、上煎茶のくき茶に使われる”棒(くき棒）”の部分のみ使用し、上品な洗練された味に仕上げております。<BR><BR>

<table width=""400"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#000000"">商品説明</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0"">
<font size=""2"" color=""#000000"">名称</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">ほうじ茶（棒茶）
</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">原材料名</font></th><td 
width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">茶（静岡産）</font></td></tr><tr><th width=""94"" align=""center"" 
bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">内容量</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" 
color=""#000000"">100g×10袋</font></td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">賞味期限
</font></th><td width=""291"" bgcolor=""#ffffff""><font size=""2"" color=""#000000"">別途商品ラベルに記載　約180日</font></td></tr><tr>
<th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">保存方法</font></th><td width=""291"" 
bgcolor=""#ffffff""><font size=""2"" color=""#000000"">高温多湿を避け、冷暗所にて保存してください</font></td></tr><tr><th width=""94"" 
align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#000000"">製造元</font></th><td width=""291"" bgcolor=""#ffffff""><font 
size=""2"" color=""#000000"">株式会社松田園</font></td></tr></table><Div><Center>

<IMG src=""http://image.rakuten.co.jp/auc-matsudaen/cabinet/canpain/imgrc0071264072.jpg"" border=""0""><BR>



</div>",【期間限定】上くきほうじ茶　浮橋100ｇ袋&times;10パック/棒茶・棒ほうじ：日本茶専門店松田園　楽天市場店,【期間限定】上くきほうじ茶　浮橋100ｇ袋&times;10パック/棒茶・棒ほうじ,お得な上くきほうじ茶（棒茶）10パック送料無料。【期間限定】上くきほうじ茶　浮橋100ｇ袋&times;10パック/棒茶・棒ほうじ[rn]
