22-7401,http://tshop.r10s.jp/brico/cabinet/34/02083872-233334_1.jpg?fitin=700:700,430.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,【メール便可〒】ニトムズ 防水ソフトテープ 10×15 グレー E0333 厚さ10mm×幅15mm×長さ2m 4904140233334,防水、強力、長持ちタイプ,"■特長<br>
防水性・密閉性があり、しかもクッション性に富んだテープです。<br>
耐久性、耐候性に優れ、ボロボロにならずに長持ちします。<br>
すきまに対する順応性に優れ、すきまにピッタリなじみます。<br><br>
■用途<br>
雨戸やガラス戸のすきまふさぎに<br>
シャッターや物置の戸に<br>
門扉やドアの戸あたり音の解消に<br>
クーラーや換気扇まわりのすきまふさぎ、振動の緩和に<br><br>
●サイズ：10mm（厚さ）×15mm（幅）×2m（長さ）",【メール便可〒】ニトムズ 防水ソフトテープ 10&times;15 グレー E0333 厚さ10mm&times;幅15mm&times;長さ2m 4904140233334：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】ニトムズ 防水ソフトテープ 10&times;15 グレー E0333 厚さ10mm&times;幅15mm&times;長さ2m 4904140233334,防水、強力、長持ちタイプ。【メール便可〒】ニトムズ 防水ソフトテープ 10&times;15 グレー E0333 厚さ10mm&times;幅15mm&times;長さ2m 4904140233334[rn]
22-7402,http://tshop.r10s.jp/brico/cabinet/iroiro2/img56330099.jpg?fitin=700:700,408.8000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,ニトムズ ドア下部シールテープ 透明 E0401 厚さ約1mm×幅40mm×長さ92cm,ドアの下からのすきま風を防ぐ！透明だから目立たない！,"<b><font color=""#A9300F"" size=""4"">ドア下部からのすきま風・ホコリの侵入防止に</font>
<br>
<font color=""#ff0000"">冷・暖房効果アップ＜省エネ＞に</font></b><br>
しなやかでコシのある素材ですきまをしっかりふさぐ！<br>
こすれに強くボロボロになりにくい！<br>
粘着剤つきで作業が簡単！<br>
透明だから目立たない！
<br><br>
<table border=""0"" cellspacing=""1"" cellpadding=""3"" width=""400"">
<tr align=""center""><td bgcolor=""#A9300F""><b><font color=""#ffffff"">使用方法</font></b></td></tr>
<tr><td>
［1］貼る面についたホコリや油、水分をきれいにふきとってください。<br>
（このとき化学雑巾は使用しないでください。）<br>
［2］ハサミなどで必要な長さに切ります。<br>
［3］はくり紙をはがしながら、曲がらないように貼りつけます。<br>
［4］上から強く押えてよく圧着してください。
</td></tr>
<tr align=""center""><td bgcolor=""#EA1A4B""><b><font color=""#ffffff"">使用できない場所</font></b></td></tr>
<tr><td>
ザラザラ面や凹凸の激しい面、壁紙、表面の材質が弱い面、常に水がかかり乾燥しないところには使用できません。
</td></tr></table><br>
<b>【サイズ】</b>厚さ約1mm×幅40mm×長さ92cm<br><br>
<b>【材質表示】</b><br>
基材：アクリル系エラストマー<br>
粘着剤：アクリル系<br>
はくり紙：紙<br><br>
<font color=""#ff0000""><b>【使用上の注意】</b><br>
●</font>温度10℃以上の時に作業してください。<br>
<font color=""#ff0000"">●</font>粘着面に手を触れたり、貼り直しをすると、粘着力が弱くなります。<br>
<font color=""#ff0000"">●</font>はがす際に貼りつけ面を傷めたり、のり残りする場合があります。あとが残っても差し支えのない所で使用してください。<br>
<font color=""#ff0000"">●</font>はがす際は、端からゆっくりはがしてください。のり残りした場合は、市販ののりはがし専用用品をお使いください。<br>
<font color=""#ff0000"">●</font>肌に貼るなど、用途以外での使用をしないでください。<br>
<font color=""#ff0000"">●</font>開閉時に摩擦が強くなるような取りつけはしないでください。",ニトムズ ドア下部シールテープ 透明 E0401 厚さ約1mm&times;幅40mm&times;長さ92cm：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントニトムズ ドア下部シールテープ 透明 E0401 厚さ約1mm&times;幅40mm&times;長さ92cm,ドアの下からのすきま風を防ぐ！透明だから目立たない！。ニトムズ ドア下部シールテープ 透明 E0401 厚さ約1mm&times;幅40mm&times;長さ92cm[rn]
22-7403,http://tshop.r10s.jp/brico/cabinet/34/05146529_1.jpg?fitin=700:700,409.6000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,ニトムズ ドア下部シールテープ 茶色 E0402 厚さ約1mm×幅40mm×長さ92cm,ドアの下からのすきま風を防ぐ！木製ドアにピッタリ！,"<b><font color=""#A9300F"" size=""4"">ドア下部からのすきま風・ホコリの侵入防止に</font>
<br>
<font color=""#ff0000"">冷・暖房効果アップ＜省エネ＞に</font></b><br>
しなやかでコシのある素材ですきまをしっかりふさぐ！<br>
こすれに強くボロボロになりにくい！<br>
粘着剤つきで作業が簡単！<br>
ドアの下からの光もれを防ぐ！
<br><br>
<table border=""0"" cellspacing=""1"" cellpadding=""3"" width=""400"">
<tr align=""center""><td bgcolor=""#A9300F""><b><font color=""#ffffff"">使用方法</font></b></td></tr>
<tr><td>
［1］貼る面についたホコリや油、水分をきれいにふきとってください。<br>
（このとき化学雑巾は使用しないでください。）<br>
［2］ハサミなどで必要な長さに切ります。<br>
［3］はくり紙をはがしながら、曲がらないように貼りつけます。<br>
［4］上から強く押えてよく圧着してください。
</td></tr>
<tr align=""center""><td bgcolor=""#EA1A4B""><b><font color=""#ffffff"">使用できない場所</font></b></td></tr>
<tr><td>
ザラザラ面や凹凸の激しい面、壁紙、表面の材質が弱い面、常に水がかかり乾燥しないところには使用できません。
</td></tr></table><br>
<b>【サイズ】</b>厚さ約1mm×幅40mm×長さ92cm<br><br>
<b>【材質表示】</b><br>
基材：スチレン系エラストマー<br>
粘着剤：アクリル系/ゴム系<br>
はくり紙：紙<br><br>
<font color=""#ff0000""><b>【使用上の注意】</b><br>
●</font>温度10℃以上の時に作業してください。<br>
<font color=""#ff0000"">●</font>粘着面に手を触れたり、貼り直しをすると、粘着力が弱くなります。<br>
<font color=""#ff0000"">●</font>はがす際に貼りつけ面を傷めたり、のり残りする場合があります。あとが残っても差し支えのない所で使用してください。<br>
<font color=""#ff0000"">●</font>はがす際は、端からゆっくりはがしてください。のり残りした場合は、市販ののりはがし専用用品をお使いください。<br>
<font color=""#ff0000"">●</font>肌に貼るなど、用途以外での使用をしないでください。<br>",ニトムズ ドア下部シールテープ 茶色 E0402 厚さ約1mm&times;幅40mm&times;長さ92cm：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントニトムズ ドア下部シールテープ 茶色 E0402 厚さ約1mm&times;幅40mm&times;長さ92cm,ドアの下からのすきま風を防ぐ！木製ドアにピッタリ！。ニトムズ ドア下部シールテープ 茶色 E0402 厚さ約1mm&times;幅40mm&times;長さ92cm[rn]
22-7404,http://tshop.r10s.jp/brico/cabinet/33/4909314411334_1.jpg?fitin=700:700,1408.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,ノムラテック ドアストッパーｆ 外開きドア用 N-2368 ライトグレー＆グレー,ドアと床の間12.5cmまで対応　,"<b>【特長】</b><br>
<font color=""#FF8F17"">●</font>密着性にすぐれていて、横ズレを軽減、ドア面もキズが付きにくい<br>
<font color=""#FF8F17"">●</font>ミクロ吸着シートとマグネットの相乗効果でしっかり固定<br>
<font color=""#FF8F17"">●</font>繰り返しての使用が可能で、はがした後に跡が付きにくい<br>
<br>
<b>【ご使用方法】スチールドアに直接取り付ける場合</b><br>
●本体から補助プレートをはずし、吸着シートの表面のはくり紙を必ずはがしてからご使用下さい。（磁石に直接付いている吸着シートははがさないで下さい。本体と補助プレートに挟まれている「プラスチックカップ」は使用しません。）<br>
●本体をスチール製ドア室内側の右下及び左下のドアの開く側に脚部が上になるように取り付けて下さい。<br>
●ドアを開き脚部を下げ、脚部が地面方向に垂直になるように本体を上下に調整しながら取り付け位置を決めて下さい。<br>
●ご使用後は脚部を上に押し上げると収納できます。使用する時は、脚部の先を押し下げるだけでドアが固定できます。<br>
●商品取り付け後、24時間以上経過してからお使い下さい。より吸着効果が増加します。<br>
※脚ゴムを正しく床面に垂直になる様設置しないとドアを正しくストップする事は出来ません。<br>
<b>［補助プレート使用で木製やアルミのドアにも使用できます。］</b><br>
●木製やアルミ製のドアに取り付ける場合、またスチールドアでも本体を接地面でズレが生じる場合は、付属の補助プレートをご使用下さい。<br>
●補助プレートを使用の場合は本体裏面吸着シートの表面に付いてあるハクリ紙をはがした後、補助プレート上下のツメを本体裏側上下の溝にはめ込んでセットします。<br>
●本体と補助プレートを取り付けた状態でドア面にて正確な取り付け位置を決めた後、鉛筆等でマークしてから補助プレート裏側の接着テープのハクリ紙をはがして、ドアのホコリや汚れ、水気等をきれいに拭きとってからドアに貼り付けて下さい。<br>
●木製ドアの場合は、補助プレートをドアに張り付けた後、プレートの穴に合わせて付属の木ネジで締め付けて頂ければシッカリと固定できます。<br>
※木ネジ使用の場合はネジ穴痕がドアに残ります。ご了承の上お取り付け下さい。<br>
<br>
商品名：ドアストッパーf<br>
サイズ：H180×W52×D16mm（収納時）<br>
材質：本体・脚部…ポリカーボネイト　脚ゴム…合成ゴム　磁石…フェライト　補助プレート・木ネジ…スチール<br>
<br>
<font color=""#f00000""><b>【ご注意】</b>強力磁石を使用していますので本体をドアや補助プレートにつけはずしする際、指などをはさまないようご注意下さい。<br>
●</font>風の強い日には、お使いにならないで下さい。<br>
<font color=""#f00000"">●</font>ご使用時は、小さいお子様をドアのまわりで遊ばせないようにして下さい。<br>
<font color=""#f00000"">●</font>火気の回りでのご使用はお控え下さい。<br>
<font color=""#f00000"">●</font>補助プレートを張り付ける際は、接着テープが強力ですので、慎重に位置決めしてから貼り付け下さい。<br>
<font color=""#f00000"">●</font>ドアの塗装が劣化している場合、塗装が剥離する場合があります。<br>
<font color=""#f00000"">●</font>本体磁石面の吸着シートははがさないで下さい。磁石面のままドアに取り付けますとドアに傷がつく恐れがありますのでおやめ下さい。<br>
<font color=""#f00000"">●</font>高層マンションでご使用の場合、ベランダ側の窓を開けますと突風によりストッパーがはずれる場合がありますので、ご注意下さい。<br>
<font color=""#f00000"">●</font>脚ゴムで床面をこすったりしますと、ゴム素材が削れて床面に付着する場合があります。又床面の素材によっては、接地面に色素が付着する場合もございます。（色の移行）<br>
<font color=""#f00000"">●</font>ドアの周囲の状況は多種多様な為、ドアストッパーを使用していてもドアをストップさせる事ができない場合もございます。ご了承下さい。<br>
※ドアの重さ、ドアクローザーの調整具合、風の強さ、通路側床面の仕上げ、ドア内側設置面の仕上げ等色々な要因でドアストッパーの効果を得られない場合があり、ドアがストップできない等の問い合わせを頂きましても、状況によってはご対応できない場合もございます。",ノムラテック ドアストッパーｆ 外開きドア用 N-2368 ライトグレー＆グレー：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントノムラテック ドアストッパーｆ 外開きドア用 N-2368 ライトグレー＆グレー,ドアと床の間12.5cmまで対応　。ノムラテック ドアストッパーｆ 外開きドア用 N-2368 ライトグレー＆グレー[rn]
22-7405,http://tshop.r10s.jp/brico/cabinet/72/4903757512672_1.jpg?fitin=700:700,1608.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,WAKI 和気産業 ラジアル床付戸当 VA-267,,"■開閉がスムーズに出来るシマリ金具です。一動作で手軽に扉を開閉出来ます。木製扉（開き戸）の簡易戸締りに最適です。<br><br>
●用途：木製の扉、床用の戸当たりに<br>
●材質本体：亜鉛ダイカスト<br>
●仕上げ：クロームメッキ",WAKI 和気産業 ラジアル床付戸当 VA-267：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントWAKI 和気産業 ラジアル床付戸当 VA-267,WAKI 和気産業 ラジアル床付戸当 VA-267[rn]
22-7406,http://tshop.r10s.jp/brico/cabinet/27/4903757512627_1.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,WAKI 和気産業 巾木戸当 VA-262,,"■一動作で手軽に扉を開閉出来ます。木製扉（開き戸）の簡易戸締りに最適です。<br><br>
●用途：木製の扉、巾木用の戸当たりに<br>
●材質本体：亜鉛ダイカスト<br>
●仕上げ：メッキ",WAKI 和気産業 巾木戸当 VA-262：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントWAKI 和気産業 巾木戸当 VA-262,WAKI 和気産業 巾木戸当 VA-262[rn]
22-7407,http://tshop.r10s.jp/brico/cabinet/77/4909314410177_1.jpg?fitin=700:700,984.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,ノムラテック ドアストッパー 万能型スロープ式 ブラック N-1054,どんなドアでもOK！,"【特長】<br>
●ドアがどの位置でも自由にストップできます。<br>
●天然ゴムで底がキューバン式になっていますので、<br>
　凹凸のない平面には軽く足で踏むとより強く固定します。<br>
●本体がラセン状になっておりますので、<br>
　ドアと床面のスキマに合わせて高さを自由に(15mm～48mmまで)ご使用できます。<br>
<br>
【本体サイズ】<br>
95×95×50mm<br>
<br>
【材質】<br>
本体/天然ゴム(硬度60度)",ノムラテック ドアストッパー 万能型スロープ式 ブラック N-1054：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントノムラテック ドアストッパー 万能型スロープ式 ブラック N-1054,どんなドアでもOK！。ノムラテック ドアストッパー 万能型スロープ式 ブラック N-1054[rn]
22-7408,http://tshop.r10s.jp/brico/cabinet/34/4903757512634_1.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,WAKI 和気産業 床付戸当 VA-263,,"■一動作で手軽に扉を開閉出来ます。木製扉（開き戸）の簡易戸締りに最適です。<br><br>
●用途：木製の扉、床用の戸当たりに<br>
●材質本体：亜鉛ダイカスト<br>
●仕上げ：クロームメッキ<br>",WAKI 和気産業 床付戸当 VA-263：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントWAKI 和気産業 床付戸当 VA-263,WAKI 和気産業 床付戸当 VA-263[rn]
22-7409,http://tshop.r10s.jp/brico/cabinet/05/4524963010105_1.jpg?fitin=700:700,638.4000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,ヒューマンシステム UV＆撥水・防汚シャットアウト 150ml,紫外線・雨・雪・汚れをブロック！,"【特長】<br>
■スプレーするだけで、簡単に加工できます。<br>
■有害な紫外線をカットし、同時に撥水・防汚効果で、衣類・布製品を雨・雪・汚れなどから守ります。<br>
■衣類、帽子、カーテン、ストッキング、傘など、様々なものにご利用いただけます。<br><br>
※使用できない物<br>
毛皮、本革、着物、ゴム・ビニール・ポリウレタンなど、樹脂加工等の製品<br><br>
150ml",ヒューマンシステム UV＆撥水・防汚シャットアウト 150ml：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントヒューマンシステム UV＆撥水・防汚シャットアウト 150ml,紫外線・雨・雪・汚れをブロック！。ヒューマンシステム UV＆撥水・防汚シャットアウト 150ml[rn]
22-7410,http://tshop.r10s.jp/brico/cabinet/27/4901490054527_1.jpg?fitin=700:700,464.8000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,コニシ ボンド 防水スプレー ハイパワー 420ml,油汚れもはじく！,"【用途】<br>
■スポーツウェア、レインコート、アウトドア用品、バッグ、傘などの繊維・皮革製品の防水・防汚に。<br><br>
【使えないもの】<br>
ドライクリーニングできない衣類、既に防水加工してあるもの、光沢のある皮革製品、毛皮、爬虫類革、和服、絹・ゴム・プラスチック・ポリウレタン・ビニール・エナメル製品。<br><br>
420ml",コニシ ボンド 防水スプレー ハイパワー 420ml：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントコニシ ボンド 防水スプレー ハイパワー 420ml,油汚れもはじく！。コニシ ボンド 防水スプレー ハイパワー 420ml[rn]
22-7411,http://tshop.r10s.jp/brico/cabinet/34/4901490054534_1.jpg?fitin=700:700,784.0000,,日用品雑貨・文房具・手芸 > 日用品・生活雑貨 > その他,コニシ ボンド 防水スプレー 長時間 420ml,効果長持ち,"【用途】<br>
■スポーツウェア、レインコート、アウトドア用品、バッグ、傘などの繊維製品の防水・防汚に。<br><br>
【使えないもの】<br>
ドライクリーニングできない衣類、既に防水加工してあるもの、皮革製品、毛皮、爬虫類革、和服、絹・ゴム・プラスチック・ポリウレタン・ビニール・エナメル製品。<br><br>
420ml",コニシ ボンド 防水スプレー 長時間 420ml：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントコニシ ボンド 防水スプレー 長時間 420ml,効果長持ち。コニシ ボンド 防水スプレー 長時間 420ml[rn]
