22-68201,http://tshop.r10s.jp/soukai/cabinet/87/4957669656887.jpg?fitin=700:700,901.6000,,ダイエット・健康 > サプリメント > 健康維持 > マカ配合,マルマン 有機マカ＆ザクロ(317mg*84粒),★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞健康食品・サプリメント＞ハーブ サプリメント＞マカ サプリメント＞マルマン 有機マカ＆ザクロ (317mg*84粒)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z87/z4957669656887.jpg' width='100%'><br><br>【マルマン 有機マカ＆ザクロの商品詳細】<br>●活動的な毎日を送りたい、がんばる女性の応援サプリとして女性に嬉しい成分、有機マカ、大豆イソフラボン、葉酸、ザクロなどを配合しました。<br>●無香料、保存料無添加<br>●安心の日本国内GMP工場にて製造<br>●主要成分<br>有機マカ：安心の国内有機JAS認定工場にて滅菌した、南米ペルー産の高品質「有機JASマカ」を使用しています。<br>ザクロ種子エキス：ザクロの中でも特有の成分をたっぷり含んでいるとされる種子から、エキスを抽出＆配合しています。<br>その他に、葉酸、大豆イソフラボン、鉄、ビタミンB12など、女性に嬉しい成分を贅沢に配合しています。<br><br>【召し上がり方】<br>・1日4粒を目安に水やぬるま湯と一緒に飲用してください。<br><br>【マルマン 有機マカ＆ザクロの原材料】<br>有機マカ末、ゼラチン、食用精製加工油脂、大豆胚芽抽出物、ザクロ種子エキス、西洋人参末/ヘム鉄、葉酸、ビタミンB12、カラメル色素、(原材料の一部に大豆、豚肉を含む)<br>【栄養成分】<br>(4粒(1.27g)当たり)<br>エネルギー・・・5.38kcaL<br>たんぱく質・・・0.45g<br>脂質・・・0.13g<br>炭水化物・・・0.59g<br>ナトリウム・・・2.64mg<br>(食塩相当量・・・0.00g)<br>葉酸・・・400μg<br>ビタミンB1・・・23μg<br>鉄・・・4mg<br>有機マカ・・・500mg<br>大豆イソフラボン・・・40mg(アグリコンとして12mg)<br>ザクロ種子エキス・・・10mg<br>【注意事項】<br>・直射日光や湿気の高いところを避け、涼しいところに保存してください。 <br>・食品にアレルギーが認められる方は、原材料名をご確認ください。<br>・自然原料を使用しているため、顆粒の色が若干変わることがありますが、品質には影響ありません。<br>・開封後はなるべくお早めにお召し上がりください。<br>・カプセルどうしがくっつくことがありますが、スプーンなどで軽くかき混ぜると離れます。<br>・乳幼児の手の届かないところに保管してください。<br>・体質や体調によって、まれにお体に合わないことがあります。その場合は摂取を中止してください。<br>・授乳、妊娠中の方、乳幼児および小児は摂取をお控えください。<br>・療中の方は主治医にご相談ください。<br><br>【原産国】<br>日本<br><br>【発売元、製造元、輸入元又は販売元】<br>マルマン<br><br>マルマン<br>101-0021 東京都千代田区外神田1-8-13 4F<br>0120-040-562<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハーブ サプリメント]</div><!---->,マルマン 有機マカ＆ザクロ(317mg*84粒)：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションマルマン 有機マカ＆ザクロ(317mg*84粒),★税抜1900円以上で送料無料★。マルマン 有機マカ＆ザクロ(317mg*84粒)[rn]
22-68202,http://tshop.r10s.jp/soukai/cabinet/53/4946842637553.jpg?fitin=700:700,737.6000,,ダイエット・健康 > サプリメント > 健康維持 > マカ配合,ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分(40粒)【Dear-Natura(ディアナチュラ)】,Dear-Natura(ディアナチュラ)★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞健康食品・サプリメント＞ハーブ サプリメント＞マカ サプリメント＞ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分 (40粒)<br><br>★税抜1900円以上で送料無料★<br><br><img src='https://image.rakuten.co.jp/soukai/cabinet/z53/z4946842637553.jpg' width='100%'><br><br>【ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分の商品詳細】<br>●マカエキス末410mgに、大豆イソフラボンと女性に人気の果物ザクロエキスを配合<br>●女性らしく活動的な毎日を送りたい方に<br>●国内自社工場での一貫管理体制<br>●無香料・無着色、保存料無添加<br><br>【召し上がり方】<br>・1日2粒を目安に、水またはお湯とともにお召し上がりください。<br><br>【ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分の原材料】<br>マカエキス末(マカエキス、デキストリン)、マルチトール、大豆イソフラボン、ザクロエキス末、デキストリン、セルロース、デンプングリコール酸Na、ステアリン酸Ca、セラック<br>【栄養成分】<br>(1日2粒(522mg)当たり)<br>エネルギー・・・1.98kcaL<br>たんぱく質・・・0.027g<br>脂質・・・0.0078g<br>炭水化物・・・0.45g<br>ナトリウム・・・0.46mg<br>※製造工程中、2粒中にマカエキス末410mg、ザクロエキス末10mg、大豆イソフラボンアグリコン8.34mgを配合しています。<br>【アレルギー物質】<br>大豆<br>【注意事項】<br>・1日の摂取目安量を守ってください。<br>・イソフラボンを含む他の特定保健用食品等との併用にはご注意ください。<br>・乳幼児・小児は本品の摂取をさけてください。<br>・妊娠・授乳中の方は、本品の摂取をさけてください。<br>・原材料名をご確認の上、食物アレルギーのある方はお召し上がりにならないでください。<br>・体調や体質によりまれに身体に合わない場合や、発疹などのアレルギー症状が出る場合があります。その場合は使用を中止してください。<br>・治療を受けている方、お薬を服用中の方は、医師にご相談の上、お召し上がりください。<br>・小児の手の届かないところに置いてください。<br>・表面に見える斑点は原料由来のものです。<br>・天然由来の原料を使用しているため、色むらやにおいの変化がある場合がありますが、品質に問題ありません。<br>・開封後はお早めにお召し上がりください。<br>・品質保持のため、開封後は開封口のチャックをしっかり閉めて保管してください。<br><br>【ブランド】<br>Dear-Natura(ディアナチュラ)<br><br>【発売元、製造元、輸入元又は販売元】<br>アサヒグループ食品<br><br>(ディアナチュラスタイル マカ×ザクロ・大豆イソフラボン 20日)<br><br>/(/F245204/)/<br><br>アサヒグループ食品<br>150-0022 東京都渋谷区恵比寿南二丁目4番1号<br>0120-630-557<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハーブ サプリメント/ブランド：Dear-Natura(ディアナチュラ)/]</div><!---->,ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分(40粒)【Dear-Natura(ディアナチュラ)】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分(40粒)【Dear-Natura(ディアナチュラ)】,Dear-Natura(ディアナチュラ)★税抜1900円以上で送料無料★。ディアナチュラスタイル マカ*ザクロ・大豆イソフラボン 20日分(40粒)【Dear-Natura(ディアナチュラ)】[rn]
22-68203,http://tshop.r10s.jp/soukai/cabinet/49/4511413405949.jpg?fitin=700:700,813.6000,,ダイエット・健康 > サプリメント > 健康維持 > マカ配合,【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)(1セット)【DHC】,DHC★税抜1900円以上で送料無料★,<div id='prd-page'>お店TOP＞健康食品・サプリメント＞ハーブ サプリメント＞マカ サプリメント＞【在庫限り】DHC マカ 20日分(ビタミンBミックス付き) (1セット)<br><br>★税抜1900円以上で送料無料★<br><br>商品区分：栄養機能食品：(ビタミンBミックス)ナイアシン・ビオチン・ビタミンB12・葉酸<br><br>【【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)の商品詳細】<br>●マカを買うと、ビタミンBミックスプレゼント！お得なセットパックです！<br>＜マカ＞<br>●毎日の健康を考えた高品質・低価格<br>●マカを高配合(※)。冬虫夏草、ガラナ、亜鉛をプラス！<br>●配合量を強化(※)！1日3粒目安でマカ濃縮エキス405mg(ベンジルグルコシノレート9.72mg含有)<br>●ソフトカプセルタイプ<br>※DHC従来品比<br>＜ビタミンBミックス＞<br>●美と健康の維持をサポート<br>●ナイアシンは、皮膚や粘膜の健康維持を助ける栄養素です。<br>●ビオチンは、皮膚や粘膜の健康維持を助ける栄養素です。<br>●ビタミンB12は、赤血球の形成を助ける栄養素です。<br>●葉酸は、赤血球の形成を助ける栄養素です。<br>●葉酸は、胎児の正常な発育に寄与する栄養素です。<br><br>【召し上がり方】<br>・水またはぬるま湯で噛まずにそのままお召し上がりください。<br>マカ：1日3粒を目安にお召し上がり下さい。<br>ビタミンBミックス：1日2粒を目安にお召し上がり下さい。<br><br>【セット詳細】<br>マカ・・・60粒<br>ビタミンBミックス・・・40粒<br>【【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)の原材料】<br>＜マカ＞<br>マカ濃縮エキス末(マカ抽出物、デキストリン)、ガラナエキス末、亜鉛酵母、冬虫夏草菌糸体末、セレン酵母、ゼラチン、セルロース、グリセリン脂肪酸エステル、着色料(カラメル、酸化チタン)<br>＜ビタミンBミックス＞<br>主要原材料・・・イノシトール、パントテン酸Ca、ビタミンB1、ナイアシン、ビタミンB6、ビタミンB2、葉酸、ビオチン、ビタミンB12<br>調整剤等・・・澱粉、セルロース、グリセリン脂肪酸エステル、セラック<br>【栄養成分】<br>★マカ<br>(1日あたり：3粒1065mg)<br>熱量・・・4.4kcaL<br>たんぱく質・・・0.36g<br>脂質・・・0.08g<br>炭水化物・・・0.55g<br>ナトリウム・・・0.89mg<br>亜鉛・・・10mg<br>セレン・・・60μg<br>マカ濃縮エキス末・・・405mg<br>(ベンジルグルコシノレートとして9.72mg)<br>ガラナエキス末・・・120mg<br>冬虫夏草菌糸体末・・・60mg<br>★ビタミンBミックス<br>(ビタミンBミックス1日2粒総重量(＝内容量)400mgあたり)<br>ナイアシン・・・40mg<br>葉酸・・・200μg<br>ビオチン・・・50μg<br>ビタミンB12・・・20μg<br>パントテン酸・・・40mg<br>ビタミンB1・・・40mg<br>ビタミンB2・・・30mg<br>ビタミンB6・・・30mg<br>イノシトール・・・50mg<br>【注意事項】<br>・本品は、多量摂取により疾病が治癒したり、より健康が増進するものではありません。1日の摂取目安量を守ってください。<br>・本品は、胎児の正常な発育に寄与する栄養素ですが、多量摂取により胎児の発育が良くなるものではありません。<br>・本品は、特定保健用食品と異なり、消費者庁長官による個別審査を受けたものではありません。<br>・原材料をご確認の上、食品アレルギーのある方はお召し上がりにならないでください。<br>・本品は過剰摂取を避け、1日の目安量を超えないようにお召し上がりください。<br><br>【原産国】<br>日本<br><br>【ブランド】<br>DHC<br><br>【発売元、製造元、輸入元又は販売元】<br>DHC 健康食品相談室<br><br>DHC 健康食品相談室<br>106-0047 東京都港区南麻布2-7-1<br>0120-575-368<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハーブ サプリメント/ブランド：DHC/]</div><!---->,【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)(1セット)【DHC】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)(1セット)【DHC】,DHC★税抜1900円以上で送料無料★。【在庫限り】DHC マカ 20日分(ビタミンBミックス付き)(1セット)【DHC】[rn]
22-68204,http://tshop.r10s.jp/wakan-akyou/cabinet/5maca/maca_kago2.jpg?fitin=700:700,3192.0000,,ダイエット・健康 > サプリメント > 健康維持 > マカ配合,「マカ冬虫夏草」お徳用 約3ヵ月分　300mg×360粒　マカ　冬虫夏草　西洋人参 サプリメント30代　40代　50代　60代　男性女性　和漢　サプリ【父の日】【メール便OK】,非アルコール性脂肪肝炎 NASHに アキョウ専門店のマカ冬虫夏草,"<!--ここから送料の表-->
<table cellpadding=""0"" cellspacing=""2"" border=""0"" width=""440"">
<tr>
<td colspan=""6"" style=""padding:10px; text-align:center; background-color:#dcdcdc;font-size:13pt;""><b>この商品の送料の目安</b></td>
</tr>
<tr>
<td style=""padding:5px; text-align:center; background-color:#dcdcdc;font-size:10pt; line-height:13pt; width: 90px;""><b>西濃<br>カンガルー便</b></td>
<td colspan=""6"" style=""padding:7px; text-align:center; background-color:#f5f5f5;font-size:13pt; line-height:13pt;""><font color=""#cc3333""><b>全国550円</b></font>（沖縄・離島を除く）</td>
</tr>
<tr>
<td style=""padding:5px; text-align:center; background-color:#dcdcdc;font-size:10pt; line-height:13pt;""><b>日本郵便<BR>（ゆうパック）</b></td>
<td style=""padding:5px; text-align:center; background-color:#f5f5f5;font-size:10pt; line-height:13pt;"">関東<br>信越<br>南東北<br>北陸<br>中部<br>
<font color=""#cc3333""><b>650円</b></font></td>
<td style=""padding:5px; text-align:center; background-color:#f5f5f5;font-size:10pt; line-height:13pt;"">北東北<br>関西<br><font color=""#cc3333""><b>700円</b></font></td>
<td style=""padding:5px; text-align:center; background-color:#f5f5f5;font-size:10pt; line-height:13pt;"">中国<br>四国<br>
  <font color=""#cc3333""><b>870円</b></font></td>
<td style=""padding:5px; text-align:center; background-color:#f5f5f5;font-size:10pt; line-height:13pt;"">北海道<br>九州<br>
  <font color=""#cc3333""><b>1080円</b></font></td>
<td style=""padding:5px; text-align:center; background-color:#f5f5f5;font-size:10pt; line-height:13pt;"">沖縄<br>離島<br><font color=""#dc143c""><b>1300円</b></font></td>
</tr>
<tr>
<td style=""padding:5px; text-align:center; background-color:#dcdcdc;font-size:10pt; line-height:13pt; width: 90px;""><b>ゆうパケット<br>（メール便）</b></td>
<td colspan=""6"" style=""padding:7px; text-align:center; background-color:#f5f5f5;font-size:13pt; line-height:13pt;""><font color=""#cc3333""><b>全国220円</b></font></td>
</tr>
</table>
<BR>
※基本的に２個までのご購入は、ゆうパケット（メール便）へ変更させていただきます。<BR>
※ゆうパケットは日時指定ができないポスト投函となりますので、ご了承ください。<BR><BR><BR>
<!--
<FONT SIZE=""+1"" COLOR=""RED"">◆こちらの商品は送料無料です！◆</FONT><br><br>

ただし、下記の場合は送料をご負担いただくことがございます。<br><br>

<b>・沖縄・離島地域（ゆうパケット／２袋までなら送料無料です）<br>
・発送方法でゆうパックをご希望の場合</b><br><br>

送料無料を適用する為、基本的に２袋までのご購入はゆうパケットへ変更させていただきます。<br>
ゆうパケットは配達時間指定ができないポスト投函となりますので、ご了承ください。<br><br>

なお、代金引換をご希望の方は、合わせて下記の【◆代金引換をご希望の方へ◆】をご確認ください。<br><br><br>
<FONT SIZE=""+1"" COLOR=""RED"">◆代金引換をご希望の方へ◆</FONT><BR><BR>こちらのお支払方法をご希望される場合は、<br><font size=""+1"" color=""red""><u>送料（地域別）+代引手数料(324円）</u></font>がかかる場合があります。<BR>
送料について≫詳しくはこちら</font><BR><br>
ご注文時の発送方法欄には、<br>
<font size=""+1"" color=""orange"">西濃運輸、または日本郵便（ゆうパック）</font>をご選択ください。<br>
（※沖縄・離島は日本郵便（ゆうパック）のみとなります。）<br><font color=""red"">ご注文の際は、◆代引希望の方へ◆詳細は下記へのところを、【手数料を負担する】にしてください。</font>
<br>※ご注文が確認でき次第、金額を修正しメールにてご連絡差し上げます。
<br>※ご選択されていない場合は、当店にて決めさせていただきます。<br>その場合、ご希望の配送日時を承りかねる場合がございます。
<br><br>【手数料の目安】
<br><b>1個購入…<font color=""red"">送料（地域別）＋代引手数料324円</font></b>
<br><b>2個購入…<font color=""red"">西濃なら送料無料・代引手数料324円</font></b>
<br><b>3個以上購入…<font color=""red"">西濃なら送料・代引手数料無料（当店負担）</font></b><br><br><br>
-->

<!--
<u>送料の詳細は【こちら】</u><br><br><br>
-->

<!--商品明細-->
<table border=0 bgcolor=""#999999"" cellspacing=0 cellpadding=0 style=""width: 440px;"">
<tr>
<td>
<table cellpadding=""0"" cellspacing=""1"" border=""0"" style=""width: 440px;"">
<tr>
<td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">商品名</font></td>
<td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">マカ冬虫夏草</td></tr>
<td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">内容量</font></td>
<td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">108g（300mg×360粒）&nbsp;約3ヵ月分</td></tr>
<td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">賞味期限</font></td>
<td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">2020年8月</td></tr>
<td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">名称</font></td>
<td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">冬虫夏草・マカ・西洋人参・高麗人参加工食品</td></tr>
<td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">原材料名</font></td>
<td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">冬虫夏草菌糸体末、マカエキス、西洋人参・高麗人参エキス末／セルロース、カルボキシメチルセルロースナトリウム、ステアリン酸カルシウム、二酸化ケイ素</td>
</tr>
  <td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">お召し上り方</font></td>
    <td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">1日4粒程度を目安に、水またはぬるま湯と一緒にお召し上がりください。</td>
</tr>
  <td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">保存方法</font></td>
    <td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">高温多湿および直射日光を避け、冷暗所に保存してください。</td>
</tr>
  <td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">使用上の注意</font></td>
    <td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">小児の手の届かないところに保管してください。アレルギー体質の方、疾病などで治療中の方、妊娠中の方は後使用前に必ず医師にご相談ください。
    原材料をご参照の上、アレルギーのある方はお召し上がりにならないでください。まれに体質に合わない場合もございます。ご使用後体調がすぐれない場合は、ご利用をお控えください。開封後はチャックをしっかり閉めて冷暗所に保存してください。
   </td>
</tr>
  <td style=""padding:5px; text-align:center; background-color:#ffffff; font-size:11pt; width:100px;""><font color=""#71280B"">販売元</font></td>
    <td style=""padding:5px; background-color:#ffffff; font-size:10pt; line-height:13pt;"">株式会社健康ビジネスインフォ<br>東京都港区海岸2-2-6 プレミア海岸ビル10F</td>
</tr>
</table>
</td>
</tr></table>
<font size=""2"">食生活は、主食、主菜、副菜を基本に、食事のバランスを。</font><br>

<br><font size=""2"">●広告文責　（株）健康ビジネスインフォ 03-6435-3538<br>
●メーカー　（株）健康ビジネスインフォ<br>
●製造国　日本<br>
●商品区分　健康食品</font>
<br><br><style type=""text/css"">
body {
background-image: url(""https://image.rakuten.co.jp/wakan-akyou/cabinet/etc/31tateba/img60731774.jpg"");
background-repeat: repeat-y;

background-position: 100% 0%;
}
</style>

<!-- background-position:top right; -->
<img src=""https://image.rakuten.co.jp/wakan-akyou/cabinet/etc/30top/imgrc0066537838.gif"">


<!--
<IMG src=""https://image.rakuten.co.jp/wakan-akyou/cabinet/img57707517.gif"" alt=""研修にて不在""><br><br><br>
-->",「マカ冬虫夏草」お徳用 約3ヵ月分　300mg&times;360粒　マカ　冬虫夏草　西洋人参 サプリメント30代　40代　50代　60代　男性女性　和漢　サプリ【父の日】【メール便OK】：和漢メディカ,阿膠アキョウロバコラーゲンあきょう白髪染め白髪黒髪精力剤薄毛ダイエット更年期シワシミ美容液潤い美白美肌やせる紫外線不妊症育毛シワ生理血液「マカ冬虫夏草」お徳用 約3ヵ月分　300mg&times;360粒　マカ　冬虫夏草　西洋人参 サプリメント30代　40代　50代　60代　男性女性　和漢　サプリ【父の日】【メール便OK】,非アルコール性脂肪肝炎 NASHに アキョウ専門店のマカ冬虫夏草 。「マカ冬虫夏草」お徳用 約3ヵ月分　300mg&times;360粒　マカ　冬虫夏草　西洋人参 サプリメント30代　40代　50代　60代　男性女性　和漢　サプリ【父の日】【メール便OK】[rn]
22-68205,http://tshop.r10s.jp/soukai/cabinet/08/19208.jpg?fitin=700:700,3676.0000,,ダイエット・健康 > サプリメント > 健康維持 > マカ配合,ディアナチュラスタイル マカ*亜鉛 60日分(120粒*2コセット)【Dear-Natura(ディアナチュラ)】【送料無料】,Dear-Natura(ディアナチュラ)☆送料無料☆,<div id='prd-page'>お店TOP＞健康食品・サプリメント＞ハーブ サプリメント＞マカ サプリメント＞ディアナチュラスタイル マカ*亜鉛 60日分 (120粒*2コセット)<br><br>☆送料無料☆<br><br>商品区分：栄養機能食品(亜鉛)<br><br>【ディアナチュラスタイル マカ*亜鉛 60日分の商品詳細】<br>●マカ410mgと1日分の亜鉛を1日2粒で手軽に摂取できます。<br>●一緒に摂取したい成分として上位にあがる、にんにくと1日分のビタミンB群も配合<br>●香料・着色料・保存料 無添加<br>●亜鉛は、味覚を正常に保つのに必要な栄養素です。<br>●亜鉛は、皮膚や粘膜の健康維持を助ける栄養素です。<br>●亜鉛は、たんぱく質・核酸の代謝に関与して、健康の維持に役立つ栄養素です。<br><br>【召し上がり方】<br>・1日2粒が目安<br><br>【ディアナチュラスタイル マカ*亜鉛 60日分の原材料】<br>マカエキス末(マカエキス、デキストリン)、デキストリン、醗酵黒にんにく末、グルコン酸亜鉛、ステアリン酸Ca、糊料(プルラン)、セラック、V.B6、V.B2、V.B1<br>【栄養成分】<br>(1日2粒(562mg)当たり)<br>エネルギー・・・2.06kcaL<br>たんぱく質・・・0.029g<br>脂質・・・0.007g<br>炭水化物・・・0.47g<br>ナトリウム・・・0.02～0.3mg<br>亜鉛・・・7.0mg(100％)<br>ビタミンB1・・・1.0mg(100％)<br>ビタミンB2・・・1.1mg(100％)<br>ビタミンB6・・・1.0mg(100％)<br>製造工程中、2粒中にマカエキス末410mg、醗酵黒にんにく末10mgを配合しています。<br>( )内の数値は栄養素等表示基準値に占める割合です。<br>【注意事項】<br>・本品は、多量摂取により疾病が治癒したり、より健康が増進するものではありません。<br>・1日の摂取目安量を守ってください。<br>・亜鉛の摂りすぎは、銅の吸収を阻害するおそれがありますので、過剰摂取にならないよう注意してください。<br>・乳幼児・小児は本品の摂取をさけてください。<br>・妊娠・授乳中の方は本品の摂取をさけてください。<br>・体調や体質によりまれに身体に合わない場合があります。その場合は使用を中止してください。<br>・小児の手の届かないところに置いてください。<br>・治療を受けている方、お薬を服用中の方は、医師にご相談の上、お召し上がりください。<br>・ビタミンB2により尿が黄色くなることがあります。<br>・天然由来の原料を使用しているため、斑点が見られたり、色むらやにおいの変化がある場合がありますが、品質に問題ありません。<br>・開封後はお早めにお召し上がりください。<br>・品質保持のため、開封後は開封口のチャックをしっかり閉めて保管してください。<br>・本品は、特定保健用食品と異なり、消費者庁長官による個別審査を受けたものではありません。<br><br>【ブランド】<br>Dear-Natura(ディアナチュラ)<br><br>【発売元、製造元、輸入元又は販売元】<br>アサヒグループ食品<br><br><font color='red'><br>※説明文は単品の内容です。</font><br><br><font color='red'>おまけはなくなり次第終了です。</font><br><br>(Dear-Natura マカ×亜鉛)<br><br>・単品JAN：4946842638161<br><br>アサヒグループ食品<br>150-0022 東京都渋谷区恵比寿南二丁目4番1号<br>0120-630-557<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[ハーブ サプリメント/ブランド：Dear-Natura(ディアナチュラ)/]</div><!---->,ディアナチュラスタイル マカ*亜鉛 60日分(120粒*2コセット)【Dear-Natura(ディアナチュラ)】【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションディアナチュラスタイル マカ*亜鉛 60日分(120粒*2コセット)【Dear-Natura(ディアナチュラ)】【送料無料】,Dear-Natura(ディアナチュラ)☆送料無料☆。ディアナチュラスタイル マカ*亜鉛 60日分(120粒*2コセット)【Dear-Natura(ディアナチュラ)】【送料無料】[rn]
22-68206,http://tshop.r10s.jp/genky/cabinet/v9-b/4511413404393.jpg?fitin=700:700,518.4000,,ダイエット・健康 > サプリメント > 健康維持 > コンドロイチン配合,DHC コンドロイチン 20日分 60粒  ★全品ポイント10倍 ～最大35倍★税抜5000円以上で送料無料★激安祭,DHC コンドロイチン 20日分 60粒,"<!--検索窓-->
<br>
<!--検索窓_END-->


<!--カテゴリリンク-->
<br>

<!--お買いもの説明-->",DHC コンドロイチン 20日分 60粒  ★全品ポイント10倍 ～最大35倍★税抜5000円以上で送料無料★激安祭：ゲンキー,ゲンキー通販通信販売健康食品ダイエットサプリメント食品化粧品スキンケアヘアケア送料無料ベビー日用雑貨ペット健康機器DHC コンドロイチン 20日分 60粒  ★全品ポイント10倍 ～最大35倍★税抜5000円以上で送料無料★激安祭,DHC コンドロイチン 20日分 60粒 。DHC コンドロイチン 20日分 60粒  ★全品ポイント10倍 ～最大35倍★税抜5000円以上で送料無料★激安祭[rn]
