20-90901,http://tshop.r10s.jp/ecolife-araisk2011/cabinet/roadbike/txed_road/txed_road.jpg?fitin=700:700,16640.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,ロードバイク  自転車 700C シマノ14段変速 自転車 通販  【送料無料】但し沖縄・離島は除く,,"【送料無料】但し沖縄・離島は除く。シマノ14段変速、シマノF/Rディレーラーの人気ロードバイクです。<br /><br />
    【自転車名称】TXED ROAD S3<br />
    【フレーム】ハイテンスチール<br />
    【フレームサイズ】500mm<br />
    【変速】  シマノ14段変速<br />
    【フリーホイール】シマノ MF-TZ21<br />
    【リアディレイラー】シマノ RD-A070<br />
    【ブレーキ】キャリパーブレーキ <br />
    【チェーン】KMC Z50<br />
    【タイヤ】700C x 23C<br />
      【ご注意】<br />
      ・出荷時：ハンドル、サドル、ペダル、フロントホイールは外した状態です。<br />
      ・ブレーキや変速機などデリケートな部分は再調整が必要です。<br />
      ・左ペダルは逆ネジですので、回す方向にご注意下さい。<br /><br />
 ※仕様変更などがある場合は、最新型モデルに変更になる場合がございます。<br /><br />
【自転車防犯登録のお願い】<br />
<br />
自転車購入時や友人等から譲り受けた場合は法律(自転車法第12条第3項)で防犯登録を行う事が義務付けられています。最寄りの自転車販売店で必ず手続きをお願いします。",ロードバイク  自転車 700C シマノ14段変速 自転車 通販  【送料無料】但し沖縄・離島は除く：ECOLIFE,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ロードバイク  自転車 700C シマノ14段変速 自転車 通販  【送料無料】但し沖縄・離島は除く,ロードバイク  自転車 700C シマノ14段変速 自転車 通販 。ロードバイク  自転車 700C シマノ14段変速 自転車 通販  【送料無料】但し沖縄・離島は除く[rn]
20-90902,http://tshop.r10s.jp/gorri/cabinet/006/hnw/tr-ps701_thumbs.jpg?fitin=700:700,20148.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【送料無料】 【今だけ鍵のプレゼント】ロードバイク 700Cクロモリ シングルスピード TRAILER （自転車 クール ドロップハンドル 男女兼用 700C) 北欧 ギフト5P03Sep16,,"<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_01.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_02.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_03.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_04.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_05.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_06.jpg"" width=""100%""/><br/>
<img src=""http://image.rakuten.co.jp/k-akaya/cabinet/00551720/tr-ps701_07.jpg"" width=""100%""/><br/>
<br/>
<table width=""100%"" border=""0"" cellpadding=""2"" cellspacing=""1"" bgcolor=""#333333"">
  <tr> 
    <td width=""100"" height=""35"" bgcolor=""#000000""> 
    <p><b><font color=""#FFFFFF"" size=""-1"">商品説明</font></b></p>    </td>
    <td width=""489"" bgcolor=""#FFFFFF"">
      <p><font size=""-1""><br />
        <b>クールに、颯爽と走る”余裕”を魅せて</b><br />
クールな配色、シンプルなフォルムが都会的なイメージ。<br />
ドロップハンドルで都会でも走りやすいようにと、フラット部分にブレーキを装備。オフィス街を颯爽と走り、余裕のあるキャリアウーマン、ビジネスマンを気取ってみて。</font><font size=""-1""><br />
</font><font size=""-1""><br />
</font></p>
    </td>
  </tr>

  <tr> 
    <td width=""100"" height=""35"" bgcolor=""#000000""> 
    <p><b><font color=""#FFFFFF"" size=""-1"">仕様</font></b></p>    </td>
    <td width=""489"" bgcolor=""#FFFFFF"">
      <p><font size=""-1""><br />
        ※製品の仕様や詳細は改良の為、予告なく変更される場合があります。予めご了承ください。<br />
※車体は約85～95％完成した状態でお届けいたします。同封の取扱説明書をよくお読みの上、手順に従って組み立ててください。<br />
※全車体は工場出荷時に点検・調整済みですが、運送中の振動などにより調整に狂いが生じる場合があります。<br />
そのためブレーキ・変速機については購入後にお客様に調整をお願いしております。(これらの調整は製品保証の対象となりません)&#160;<br />
<br />
防犯登録に関しましてはお客様ご自身にて行っていただく必要がございます。

「防犯登録」は自転車防犯登録会に加入している自転車販売店（自転車店、ホームセンターなど）にて登録が可能です。 
（料金は各都道府県によっても異なりますが、500～1,000円(非課税)程度の金額が必要です。）

【ご登録の際に必要なもの】
・自転車本体
・身分証明書
・販売証明書（ご注文時にお申付けください）
※ご希望のお客様のみメールに販売証明書を添付しています。
※販売証明書に代金等は一切かかりません。</font><font size=""-1""><br />
</font><font size=""-1""><br />
</font></p>
    </td>
  </tr>

 <tr> 
    <td width=""100"" bgcolor=""#000000""><b><font color=""#FFFFFF"" size=""-1"">備考</font></b></td>
  <td width=""489"" bgcolor=""#FFFFFF""><p><font color=""#FF6600"" size=""-1"">※</font><font size=""-1"">この商品は<font color=""#FF6600"">送料無料</font>です。<br/>
  </font><font size=""-1"">
（但し、北海道・沖縄・離島にお届けの場合は別途お見積もりになります。）</font><br />
<font color=""#FF6600"" size=""-1"">※</font><font size=""-1"">この商品は<font color=""#FF6600"">組立式</font>です。</font><br/>
<font color=""#FF6600"" size=""-1"">※注文が集中した場合など、発送が遅れたり、在庫切れで販売できなく
なる可能性がございます</font><font color=""#FF6600"" size=""-1""><br/>
※</font><font size=""-1"">小物類は撮影用のイメージです。 <br/>
<font color=""#FF6600"">※</font>商品画像の色については製作環境、お使いのモニター等の影響もあり多少の誤差が生じますのでご了承ください。</font></p>    </td>
  </tr>
  </table>",【送料無料】 【今だけ鍵のプレゼント】ロードバイク 700Cクロモリ シングルスピード TRAILER （自転車 クール ドロップハンドル 男女兼用 700C) 北欧 ギフト5P03Sep16：リビングインテリアgorri（ゴリ）,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ソファマガジンラックローソファラグローテーブルセンターテーブルリクライニングソファリビングテーブルソファ　2人掛けソファ　3人掛けこたつゴミ箱　ダストボックス座椅子シェルフテレビ台折りたたみテーブルテレビボードソファーベッドスライド本棚ドレッサー【送料無料】 【今だけ鍵のプレゼント】ロードバイク 700Cクロモリ シングルスピード TRAILER （自転車 クール ドロップハンドル 男女兼用 700C) 北欧 ギフト5P03Sep16,【今だけ鍵のプレゼント】 700Cクロモリ TRAILER。【送料無料】 【今だけ鍵のプレゼント】ロードバイク 700Cクロモリ シングルスピード TRAILER （自転車 クール ドロップハンドル 男女兼用 700C) 北欧 ギフト5P03Sep16[rn]
20-90903,http://tshop.r10s.jp/premoa/cabinet/image/177/4544507019425.jpg?fitin=700:700,17040.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【送料無料】Grandir Sensitive ブラック [ロードバイク(700×28C・21段変速・フレーム520mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,,<img src='http://image.rakuten.co.jp/a-price/cabinet/picture45/picture45_1/bicycle_raku04.jpg?003' width='100%'><br /><br />★ 2サイズロードフレーム<br />フレームは振動吸収力の高いスチールが素材。男性向けとしてブラックは520mmのフレームサイズを使用しています。<br /><br />★ シマノ製21段変速<br />シマノ7スピードリアディレラー、スプロケットを採用。7スピード14T-28Tのワイドレシオは、フロントチェーンホイル3スピードの組み合わせて、平地から坂道まであらゆるシーンを走破します。<br /><br />★ シマノ製サムシフター<br />変速機シフターは、信頼のシマノ製を採用しています。手元にあるため、素早く変速ができます。現在のシフトレベルも一目瞭然です。<br /><br />★ 2wayブレーキシステム<br />2パターンのブレーキレバーを装着したブレーキシステムです。フラット/ロードタイプどちらの乗車姿勢でもブレーキをかけることが可能です。<br /><br />★ 前後キャリパーブレーキ<br />フロント・リアブレーキには、程よくブレーキングできるキャリパーブレーキを採用し。効き過ぎを防止し、転倒を防ぎます。<br /><br />★ クイックリリースハブ<br />クイックリリースを組み込んだハブ。工具を使わずに、速やかに車輪を外すことができる機構。輪行などにも最適な機能。<br /><br />★ カットアウトサドル<br />軽量でコンパクトなカットアウトサドル。女性にも向いており、ボルト一本でライディングポジションの調整が出来ます。<br /><br />★ 700Cロードタイヤ<br />スピード性と安定性の両立を図りを28Cのロードタイヤを装着しています。通勤・サイクリングにも使用できるオーソドックスなサイズです。<br /><br />★ カラーリム<br />採用したカラーリムはリム幅を小さめに。フレームとの調和を大切にしたカラーリングへのこだわりです。バルブ変換アダプター×1が付属します。<br /><br />【スペック】<br />* タイヤサイズ：700x28C<br />* フレーム材質：スチール<br />* フレームサイズ：520mm<br />* リム：アルミ<br />* 重量：14.6kg<br />* 変速機：シマノ21段<br />* 適応身長：175cm以上<br />* サドルの高さ（地上より）：885-1080<br />* サイズ（横×高さ×幅）：1690x930x440mm<br />* 箱サイズ（横×高さ×幅）：1320x730x200mm<br />* ハンドルバーの材質：アルミ<br />* ハンドルポストの材質：アルミ<br />* ブレーキレバーの材質：アルミ/スチール<br />* シートポスト材質：スチール<br />* シートポスト径：25.5mm<br />* 泥除けの材質：-,【送料無料】Grandir Sensitive ブラック [ロードバイク(700&times;28C・21段変速・フレーム520mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】：総合通販PREMOA 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得テレビテレビ 価格モニター液晶 テレビディスプレイ液晶 テレビ おすすめ液晶 テレビ 激安価格 com テレビ【送料無料】Grandir Sensitive ブラック [ロードバイク(700&times;28C・21段変速・フレーム520mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,　。【送料無料】Grandir Sensitive ブラック [ロードバイク(700&times;28C・21段変速・フレーム520mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】[rn]
20-90904,http://tshop.r10s.jp/premoa/cabinet/image/177/4544507019432.jpg?fitin=700:700,16960.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【送料無料】Grandir Sensitive ホワイト [ロードバイク(700×28C・21段変速・フレーム470mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,,<img src='http://image.rakuten.co.jp/a-price/cabinet/picture45/picture45_1/bicycle_raku04.jpg?003' width='100%'><br /><br />★ 2サイズロードフレーム<br />フレームは振動吸収力の高いスチールが素材。女性向けのホワイトは470mmのフレームサイズを使用しています。<br /><br />★ シマノ製21段変速<br />シマノ7スピードリアディレラー、スプロケットを採用。7スピード14T-28Tのワイドレシオは、フロントチェーンホイル3スピードの組み合わせて、平地から坂道まであらゆるシーンを走破します。<br /><br />★ シマノ製サムシフター<br />変速機シフターは、信頼のシマノ製を採用しています。手元にあるため、素早く変速ができます。現在のシフトレベルも一目瞭然です。<br /><br />★ 2wayブレーキシステム<br />2パターンのブレーキレバーを装着したブレーキシステムです。フラット/ロードタイプどちらの乗車姿勢でもブレーキをかけることが可能です。<br /><br />★ 前後キャリパーブレーキ<br />フロント・リアブレーキには、程よくブレーキングできるキャリパーブレーキを採用し。効き過ぎを防止し、転倒を防ぎます。<br /><br />★ クイックリリースハブ<br />クイックリリースを組み込んだハブ。工具を使わずに、速やかに車輪を外すことができる機構。輪行などにも最適な機能。<br /><br />★ カットアウトサドル<br />軽量でコンパクトなカットアウトサドル。女性にも向いており、ボルト一本でライディングポジションの調整が出来ます。<br /><br />★ 700Cロードタイヤ<br />スピード性と安定性の両立を図りを28Cのロードタイヤを装着しています。通勤・サイクリングにも使用できるオーソドックスなサイズです。<br /><br />★ カラーリム<br />採用したカラーリムはリム幅を小さめに。フレームとの調和を大切にしたカラーリングへのこだわりです。バルブ変換アダプター×1が付属します。<br /><br />【スペック】<br />* タイヤサイズ：700x28C<br />* フレーム材質：スチール<br />* フレームサイズ：470mm<br />* リム：アルミ<br />* 重量：14.6kg<br />* 変速機：シマノ21段<br />* 適応身長：160cm以上<br />* サドルの高さ（地上より）：835-1030<br />* サイズ（横×高さ×幅）：1690x930x440mm<br />* 箱サイズ（横×高さ×幅）：1320x730x200mm<br />* ハンドルバーの材質：アルミ<br />* ハンドルポストの材質：アルミ<br />* ブレーキレバーの材質：アルミ/スチール<br />* シートポスト材質：スチール<br />* シートポスト径：25.5mm<br />* 泥除けの材質：-,【送料無料】Grandir Sensitive ホワイト [ロードバイク(700&times;28C・21段変速・フレーム470mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】：総合通販PREMOA 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得テレビテレビ 価格モニター液晶 テレビディスプレイ液晶 テレビ おすすめ液晶 テレビ 激安価格 com テレビ【送料無料】Grandir Sensitive ホワイト [ロードバイク(700&times;28C・21段変速・フレーム470mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,　。【送料無料】Grandir Sensitive ホワイト [ロードバイク(700&times;28C・21段変速・フレーム470mm)]【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】[rn]
20-90905,http://tshop.r10s.jp/spoke-seya/cabinet/bike/anchor/17rl6_ex_01.jpg?fitin=700:700,85000.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【2000円オフクーポン対象】ANCHOR RL6EX アンカー 2017【SORA/ソラ/R3000】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車,,"上位モデルと同じ、ロングライドに理想的な性能をアルミで実現したRL6フレームに、シマノ・SORAコンポを採用して、手が届きやすい価格に抑えたモデルがこのRL6 EXである。カラーはエッジスタイルレッド、エッジスタイルスカイブルーの２色のみ。走りの好みに応じてアップグレードを重ねていくベースモデルとして最適だ。カーボンと間違えるようなRL6の乗り心地を、このモデルから体感してほしい。
<br>
<br>
フレーム:PROFORMAT Aluminium A6061<br>
フォーク:HMカーボンモノコックフォーク カーボンコラム ベンド型 スーパーオーバーサイズ<br>
コンポーネント:シマノ SORA 9速<br>
ホイール:ホイール<br>
タイヤ:ブリヂストン エクステンザ RR-3X 700x25c<br>
重量:",【2000円オフクーポン対象】ANCHOR RL6EX アンカー 2017【SORA/ソラ/R3000】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車：スポークネット店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【2000円オフクーポン対象】ANCHOR RL6EX アンカー 2017【SORA/ソラ/R3000】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車,　。【2000円オフクーポン対象】ANCHOR RL6EX アンカー 2017【SORA/ソラ/R3000】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車[rn]
20-90906,http://tshop.r10s.jp/spoke-seya/cabinet/bike/anchor/17rs6_epse_01.jpg?fitin=700:700,125800.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【2000円オフクーポン対象】【限定モデル】ANCHOR RS6 EPSE アンカー 2017【105/5800】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車,,"RS9開発による独自の解析技術PROFORMAT〈プロフォーマット〉を用いた、アルミ・ロードレーシングバイク、RS6。アンカーが現在考え得る最高の性能理論を、アルミモデルに使用したバイクだ。さらに、アンカー基準のロードレーシングバイクとして、確かな耐久性と高い性能を保ったまま、最大限に重量をそぎ落として軽量化を行った。コンポーネントにはシマノ・105を搭載。最新理論による高次元の走りを、高いプライスパフォーマンスで。<br>
<br>
フレーム:PROFORMAT Aluminium A6061 プレスフィットBB<br>
フォーク:カーボンモノコックフォーク スーパーオーバーサイズ<br>
コンポーネント:シマノ 105 5800系<br>
ホイール:フルクラム レーシングスポーツ<br>
タイヤ:ブリヂストン エクステンザ RR-2X 700x23c<br>
重量:8.4kg<br>
<br>
※こちらの商品はペダルが含まれておりません。",【2000円オフクーポン対象】【限定モデル】ANCHOR RS6 EPSE アンカー 2017【105/5800】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車：スポークネット店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【2000円オフクーポン対象】【限定モデル】ANCHOR RS6 EPSE アンカー 2017【105/5800】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車,　。【2000円オフクーポン対象】【限定モデル】ANCHOR RS6 EPSE アンカー 2017【105/5800】【完成車】【送料無料】ブリヂストン ブリジストン BRIDGESTONE ロードバイク スポーツ自転車 ロードバイク スポーツ自転車[rn]
20-90907,http://tshop.r10s.jp/spoke-seya/cabinet/bike/felt/17_f75_5.jpg?fitin=700:700,106560.0000,,スポーツ・アウトドア > 自転車・サイクリング > ロードバイク,【2000円オフクーポン対象】自転車 ロードバイク【22変速】2017 フェルト F75【105】FELT Fシリーズ【送料無料】【ペダルプレゼント】【期間限定防犯登録無料】,,"<font color=""0000FF"">レース</font>を<font color=""FF0000"">勝つ</font>ために生まれたピュアレーサー<br>◆FELTのこだわりはもちろんフレーム設計。◆<br>◆レーサーとして究極に扱いやすい走行性能を実現した質実剛健なバイクです。◆<br>・「SuperLite 7005 アルミ」強度が高く高価な7005アルミを、フレームサイズ毎に最適な、<br>バテッド位置・厚み・形状に加工<br>・「UHC Perfomance カーボンフォーク」キビキビとした走行感と振動吸収性をあわせ持つ、FELT自慢の高品質カーボンフォーク<br>・「レースジオメトリ」鋭いコーナーリングと高い反応性を実現したロードレースで勝負できるフレーム設計<br>■サイズ(適正身長)：<br>480:155-165cm<br>510:160-175cm<br>540:170-180cm<br>560:175-185cm<br>■カラー：<br>マットブラック、マットホワイト<br>■重量：<br>8.84kg<br>■フレーム：<br>SuperLite Custom バテッド7005アルミニウム、スレッドBB<br>■フォーク：<br>UHC Performanceカーボン、アルミニウムコラム<br>■ヘッドセット：<br>FSA NO.38/42B-CUP、1.125""-1.5""<br>■ステム：<br>Felt SuperLite、+/-7°ライズ、&Phi;31.8mm、<br>48cm=80mm、51cm=90mm、54-56cm=100mm<br>■ハンドルバー：<br>Felt SuperLite Road、ショート 65mm リーチ、125mm ドロップ、&Phi;31.8mm、<br>48cm=380mm、51cm=400mm、54-56cm=420mm<br>■シフター：<br>Shimano 105<br>■<font color=""FF0000"">フロントディレイラー</font>：<br>Shimano 105 バンド式、&Phi;34.9mm<br>■<font color=""0000FF"">リアディレイラー</font>：<br>Shimano 105 ショートケージ<br>■クランクセット：<br>Shimano 105、48cm=165mm、51cm=170mm、54-56cm=172.5mm<br>■チェーンホイール：<br>Shimano 50/34T<br>■ボトムブラケット：<br>Shimano Hollowtech2<br>■フリーホイール/カセット：<br>Shimano 11スピード、11-28T<br>■ブレーキレバー：<br>Shimano 105<br>■<font color=""FF0000"">フロントブレーキ</font>：<br>Shimano BR-R561<br>■<font color=""0000FF"">リアブレーキ</font>：<br>Shimano dual pivot caliper<br>■サドル：<br>Prologo Nago Evo T2.0<br>■シートポスト：<br>UHC Performanceカーボン、&Phi;27.2mm、300mm<br>■シートポストクランプ：<br>Felt シングルボルト、&Phi;30.6mm<br>■リム/ホイールセット：<br>Felt Road RSL3 (チューブレスレディ)、22mm ワイド、24mm ディープ<br>■<font color=""FF0000"">フロントハブ</font>：<br>Felt R3、シールド ベアリング、28H<br>■<font color=""0000FF"">リアハブ</font>：<br>Felt R3、シールドカートリッジベアリング、32H、11スピード<br>■スポーク：<br>2.0mm ステンレス<br>■タイヤ：<br>Schwalbe Lugano HS 471、700c×23c<br>■アクセサリー：<br>N/A<br><br>FELT【To design, develop, and deliver the best bicycles in the world.】<br><br>1980年、モトクロスのメカニックだったジム・フェルトが当時のスーパースター、<br>ジョニー・オメーラのトレーニングの為にトライアスロンバイクを設計したのでFELTの始まるです<br>制作にあたり、空気抵抗の削減とライディングスタイルの最適化を重視したジムは、<br>幾たびも風洞実験を重ねてバイクのデザインを練り上げました。<br>開発されたバイクは驚異的な性能を誇り、ジョニーは優勝。<br>やがて彼の名声はチューブメーカーであるEASTON者に伝わり、EASTONブランドのチューブ開発を依頼されるようになりました。<br>カーボン、アルミ、チタンといった素材を独自の理論でブレンドしたチューブは、<br>GT、トレック、スペシャライズドなど名だたるブランドに採用されたのです。<br>最初のトライアスロンバイクを作ってから10年後に、事務は自転車業界に広く顔の利くビル・ドーリングと、<br>欧州市場のディストリビュータとして活躍していたマイケル・ミュルマンと、ドイツでFELT社を設立し共同経営に乗り出しました。<br><font color=""0000FF"">「To design, develop, and deliver the best bicycles in the world.」</font><br>という言葉は、会社を大きくすることでなどではなく、<br>実直に、より良い製品づくりを目指す三人の共通した思いを表しています。<br>独自の理論によりアスリートの能力を極限まで引き出すフレームを開発し、<br>ツール・ド・フランス、世界選手権、五輪、アイアンマンで数多くの勝利を獲得したFELTは、<br>世界で最も尊敬されるレーシングブランドの1つになりました。<br>近年ｎはカーボン生成方法を改良し、数年前までトップグレードモデルにしか採用されていなかったカーボンを<br>惜しみなくエントリーモデルに採用することで、バイクの性能を飛躍的に向上させました。<br>加えてエアロダイナミクスの考えをロードレースに持ち込み、更なる進化を続けています。<br>FELTの限界への挑戦は決して終わることがありません。<br>
<font color=""FF0000""><br>※商品仕様(パーツなど)は予告なく変更される場合がございます。<br>また、当店では注文を確認した後にメーカーに在庫を確認する形を取らせて頂きますのでご希望の品をご用意する事が出来ない場合がございます。<br>※配送後に関しまして、傷や破損などの商品自体に不備がございます場合以外はサイズ変更などは受け付けておりませんので、よくご確認してからのご購入をお願いいたします。</font>",【2000円オフクーポン対象】自転車 ロードバイク【22変速】2017 フェルト F75【105】FELT Fシリーズ【送料無料】【ペダルプレゼント】【期間限定防犯登録無料】：スポークネット店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ビアンキルイガノロードバイククロスバイクMTBBIANCHIマンハッタンDAHONオルトリーブTOPEAKセンチュリオンGTパールイズミSCHWINNブリヂストングラベルロードピストシクロクロス子供用ヘルメット横浜【2000円オフクーポン対象】自転車 ロードバイク【22変速】2017 フェルト F75【105】FELT Fシリーズ【送料無料】【ペダルプレゼント】【期間限定防犯登録無料】,【完全組立・調整】。【2000円オフクーポン対象】自転車 ロードバイク【22変速】2017 フェルト F75【105】FELT Fシリーズ【送料無料】【ペダルプレゼント】【期間限定防犯登録無料】[rn]
